tick,day,snapshot_key,restored_room,restored_resident,restored_memory_key,restored_debt_name,replay_rows,audit_scrub_ready,restored_ok,localstorage_backed
41,3,ssrm:v60:snapshot:d003:t00041,rain court,Sera,v60:sera:repair_promise:d003:s05,repair promise,42,True,True,True
42,3,ssrm:v60:snapshot:d003:t00042,fiber loft,Tovan,v60:tovan:missed_greeting:d003:s06,missed greeting,43,True,True,True
43,3,ssrm:v60:snapshot:d003:t00043,west hearth,Nia,v60:nia:care_favor:d003:s07,care favor,44,True,True,True
44,3,ssrm:v60:snapshot:d003:t00044,river gate,Ari,v60:ari:route_warning:d003:s08,route warning,45,True,True,True
45,3,ssrm:v60:snapshot:d003:t00045,arrival court,Fay,v60:fay:tool_loan:d003:s09,tool loan,46,True,True,True
46,3,ssrm:v60:snapshot:d003:t00046,tool alcove,Milo,v60:milo:water_carry:d003:s10,water carry,47,True,True,True
47,3,ssrm:v60:snapshot:d003:t00047,rain court,Sera,v60:sera:repair_promise:d003:s11,repair promise,48,True,True,True
48,3,ssrm:v60:snapshot:d003:t00048,fiber loft,Tovan,v60:tovan:missed_greeting:d003:s12,missed greeting,49,True,True,True
49,3,ssrm:v60:snapshot:d003:t00049,west hearth,Nia,v60:nia:care_favor:d003:s13,care favor,50,True,True,True
50,3,ssrm:v60:snapshot:d003:t00050,river gate,Ari,v60:ari:route_warning:d003:s14,route warning,51,True,True,True
51,3,ssrm:v60:snapshot:d003:t00051,arrival court,Fay,v60:fay:tool_loan:d003:s15,tool loan,52,True,True,True
52,3,ssrm:v60:snapshot:d003:t00052,tool alcove,Milo,v60:milo:water_carry:d003:s16,water carry,53,True,True,True
53,3,ssrm:v60:snapshot:d003:t00053,rain court,Sera,v60:sera:repair_promise:d003:s17,repair promise,54,True,True,True
54,4,ssrm:v60:snapshot:d004:t00054,west hearth,Tovan,v60:tovan:care_favor:d004:s00,care favor,55,True,True,True
55,4,ssrm:v60:snapshot:d004:t00055,river gate,Nia,v60:nia:route_warning:d004:s01,route warning,56,True,True,True
56,4,ssrm:v60:snapshot:d004:t00056,arrival court,Ari,v60:ari:tool_loan:d004:s02,tool loan,57,True,True,True
57,4,ssrm:v60:snapshot:d004:t00057,tool alcove,Fay,v60:fay:water_carry:d004:s03,water carry,58,True,True,True
58,4,ssrm:v60:snapshot:d004:t00058,rain court,Milo,v60:milo:repair_promise:d004:s04,repair promise,59,True,True,True
59,4,ssrm:v60:snapshot:d004:t00059,fiber loft,Sera,v60:sera:missed_greeting:d004:s05,missed greeting,60,True,True,True
60,4,ssrm:v60:snapshot:d004:t00060,west hearth,Tovan,v60:tovan:care_favor:d004:s06,care favor,61,True,True,True
61,4,ssrm:v60:snapshot:d004:t00061,river gate,Nia,v60:nia:route_warning:d004:s07,route warning,62,True,True,True
62,4,ssrm:v60:snapshot:d004:t00062,arrival court,Ari,v60:ari:tool_loan:d004:s08,tool loan,63,True,True,True
63,4,ssrm:v60:snapshot:d004:t00063,tool alcove,Fay,v60:fay:water_carry:d004:s09,water carry,64,True,True,True
64,4,ssrm:v60:snapshot:d004:t00064,rain court,Milo,v60:milo:repair_promise:d004:s10,repair promise,65,True,True,True
65,4,ssrm:v60:snapshot:d004:t00065,fiber loft,Sera,v60:sera:missed_greeting:d004:s11,missed greeting,66,True,True,True
66,4,ssrm:v60:snapshot:d004:t00066,west hearth,Tovan,v60:tovan:care_favor:d004:s12,care favor,67,True,True,True
67,4,ssrm:v60:snapshot:d004:t00067,river gate,Nia,v60:nia:route_warning:d004:s13,route warning,68,True,True,True
68,4,ssrm:v60:snapshot:d004:t00068,arrival court,Ari,v60:ari:tool_loan:d004:s14,tool loan,69,True,True,True
69,4,ssrm:v60:snapshot:d004:t00069,tool alcove,Fay,v60:fay:water_carry:d004:s15,water carry,70,True,True,True
70,4,ssrm:v60:snapshot:d004:t00070,rain court,Milo,v60:milo:repair_promise:d004:s16,repair promise,71,True,True,True
71,4,ssrm:v60:snapshot:d004:t00071,fiber loft,Sera,v60:sera:missed_greeting:d004:s17,missed greeting,72,True,True,True
72,5,ssrm:v60:snapshot:d005:t00072,river gate,Tovan,v60:tovan:route_warning:d005:s00,route warning,73,True,True,True
73,5,ssrm:v60:snapshot:d005:t00073,arrival court,Nia,v60:nia:tool_loan:d005:s01,tool loan,74,True,True,True
74,5,ssrm:v60:snapshot:d005:t00074,tool alcove,Ari,v60:ari:water_carry:d005:s02,water carry,75,True,True,True
75,5,ssrm:v60:snapshot:d005:t00075,rain court,Fay,v60:fay:repair_promise:d005:s03,repair promise,76,True,True,True
76,5,ssrm:v60:snapshot:d005:t00076,fiber loft,Milo,v60:milo:missed_greeting:d005:s04,missed greeting,77,True,True,True
77,5,ssrm:v60:snapshot:d005:t00077,west hearth,Sera,v60:sera:care_favor:d005:s05,care favor,78,True,True,True
78,5,ssrm:v60:snapshot:d005:t00078,river gate,Tovan,v60:tovan:route_warning:d005:s06,route warning,79,True,True,True
79,5,ssrm:v60:snapshot:d005:t00079,arrival court,Nia,v60:nia:tool_loan:d005:s07,tool loan,80,True,True,True
80,5,ssrm:v60:snapshot:d005:t00080,tool alcove,Ari,v60:ari:water_carry:d005:s08,water carry,81,True,True,True
81,5,ssrm:v60:snapshot:d005:t00081,rain court,Fay,v60:fay:repair_promise:d005:s09,repair promise,82,True,True,True
82,5,ssrm:v60:snapshot:d005:t00082,fiber loft,Milo,v60:milo:missed_greeting:d005:s10,missed greeting,83,True,True,True
83,5,ssrm:v60:snapshot:d005:t00083,west hearth,Sera,v60:sera:care_favor:d005:s11,care favor,84,True,True,True
84,5,ssrm:v60:snapshot:d005:t00084,river gate,Tovan,v60:tovan:route_warning:d005:s12,route warning,85,True,True,True
85,5,ssrm:v60:snapshot:d005:t00085,arrival court,Nia,v60:nia:tool_loan:d005:s13,tool loan,86,True,True,True
86,5,ssrm:v60:snapshot:d005:t00086,tool alcove,Ari,v60:ari:water_carry:d005:s14,water carry,87,True,True,True
87,5,ssrm:v60:snapshot:d005:t00087,rain court,Fay,v60:fay:repair_promise:d005:s15,repair promise,88,True,True,True
88,5,ssrm:v60:snapshot:d005:t00088,fiber loft,Milo,v60:milo:missed_greeting:d005:s16,missed greeting,89,True,True,True
89,5,ssrm:v60:snapshot:d005:t00089,west hearth,Sera,v60:sera:care_favor:d005:s17,care favor,90,True,True,True
90,6,ssrm:v60:snapshot:d006:t00090,arrival court,Tovan,v60:tovan:tool_loan:d006:s00,tool loan,91,True,True,True
91,6,ssrm:v60:snapshot:d006:t00091,tool alcove,Nia,v60:nia:water_carry:d006:s01,water carry,92,True,True,True
92,6,ssrm:v60:snapshot:d006:t00092,rain court,Ari,v60:ari:repair_promise:d006:s02,repair promise,93,True,True,True
93,6,ssrm:v60:snapshot:d006:t00093,fiber loft,Fay,v60:fay:missed_greeting:d006:s03,missed greeting,94,True,True,True
94,6,ssrm:v60:snapshot:d006:t00094,west hearth,Milo,v60:milo:care_favor:d006:s04,care favor,95,True,True,True
95,6,ssrm:v60:snapshot:d006:t00095,river gate,Sera,v60:sera:route_warning:d006:s05,route warning,96,True,True,True
96,6,ssrm:v60:snapshot:d006:t00096,arrival court,Tovan,v60:tovan:tool_loan:d006:s06,tool loan,97,True,True,True
97,6,ssrm:v60:snapshot:d006:t00097,tool alcove,Nia,v60:nia:water_carry:d006:s07,water carry,98,True,True,True
98,6,ssrm:v60:snapshot:d006:t00098,rain court,Ari,v60:ari:repair_promise:d006:s08,repair promise,99,True,True,True
99,6,ssrm:v60:snapshot:d006:t00099,fiber loft,Fay,v60:fay:missed_greeting:d006:s09,missed greeting,100,True,True,True
100,6,ssrm:v60:snapshot:d006:t00100,west hearth,Milo,v60:milo:care_favor:d006:s10,care favor,101,True,True,True
101,6,ssrm:v60:snapshot:d006:t00101,river gate,Sera,v60:sera:route_warning:d006:s11,route warning,102,True,True,True
102,6,ssrm:v60:snapshot:d006:t00102,arrival court,Tovan,v60:tovan:tool_loan:d006:s12,tool loan,103,True,True,True
103,6,ssrm:v60:snapshot:d006:t00103,tool alcove,Nia,v60:nia:water_carry:d006:s13,water carry,104,True,True,True
104,6,ssrm:v60:snapshot:d006:t00104,rain court,Ari,v60:ari:repair_promise:d006:s14,repair promise,105,True,True,True
105,6,ssrm:v60:snapshot:d006:t00105,fiber loft,Fay,v60:fay:missed_greeting:d006:s15,missed greeting,106,True,True,True
106,6,ssrm:v60:snapshot:d006:t00106,west hearth,Milo,v60:milo:care_favor:d006:s16,care favor,107,True,True,True
107,6,ssrm:v60:snapshot:d006:t00107,river gate,Sera,v60:sera:route_warning:d006:s17,route warning,108,True,True,True
108,7,ssrm:v60:snapshot:d007:t00108,tool alcove,Tovan,v60:tovan:water_carry:d007:s00,water carry,109,True,True,True
109,7,ssrm:v60:snapshot:d007:t00109,rain court,Nia,v60:nia:repair_promise:d007:s01,repair promise,110,True,True,True
110,7,ssrm:v60:snapshot:d007:t00110,fiber loft,Ari,v60:ari:missed_greeting:d007:s02,missed greeting,111,True,True,True
111,7,ssrm:v60:snapshot:d007:t00111,west hearth,Fay,v60:fay:care_favor:d007:s03,care favor,112,True,True,True
112,7,ssrm:v60:snapshot:d007:t00112,river gate,Milo,v60:milo:route_warning:d007:s04,route warning,113,True,True,True
113,7,ssrm:v60:snapshot:d007:t00113,arrival court,Sera,v60:sera:tool_loan:d007:s05,tool loan,114,True,True,True
114,7,ssrm:v60:snapshot:d007:t00114,tool alcove,Tovan,v60:tovan:water_carry:d007:s06,water carry,115,True,True,True
115,7,ssrm:v60:snapshot:d007:t00115,rain court,Nia,v60:nia:repair_promise:d007:s07,repair promise,116,True,True,True
116,7,ssrm:v60:snapshot:d007:t00116,fiber loft,Ari,v60:ari:missed_greeting:d007:s08,missed greeting,117,True,True,True
117,7,ssrm:v60:snapshot:d007:t00117,west hearth,Fay,v60:fay:care_favor:d007:s09,care favor,118,True,True,True
118,7,ssrm:v60:snapshot:d007:t00118,river gate,Milo,v60:milo:route_warning:d007:s10,route warning,119,True,True,True
119,7,ssrm:v60:snapshot:d007:t00119,arrival court,Sera,v60:sera:tool_loan:d007:s11,tool loan,120,True,True,True
120,7,ssrm:v60:snapshot:d007:t00120,tool alcove,Tovan,v60:tovan:water_carry:d007:s12,water carry,121,True,True,True
121,7,ssrm:v60:snapshot:d007:t00121,rain court,Nia,v60:nia:repair_promise:d007:s13,repair promise,122,True,True,True
122,7,ssrm:v60:snapshot:d007:t00122,fiber loft,Ari,v60:ari:missed_greeting:d007:s14,missed greeting,123,True,True,True
123,7,ssrm:v60:snapshot:d007:t00123,west hearth,Fay,v60:fay:care_favor:d007:s15,care favor,124,True,True,True
124,7,ssrm:v60:snapshot:d007:t00124,river gate,Milo,v60:milo:route_warning:d007:s16,route warning,125,True,True,True
125,7,ssrm:v60:snapshot:d007:t00125,arrival court,Sera,v60:sera:tool_loan:d007:s17,tool loan,126,True,True,True
126,8,ssrm:v60:snapshot:d008:t00126,rain court,Tovan,v60:tovan:repair_promise:d008:s00,repair promise,127,True,True,True
127,8,ssrm:v60:snapshot:d008:t00127,fiber loft,Nia,v60:nia:missed_greeting:d008:s01,missed greeting,128,True,True,True
128,8,ssrm:v60:snapshot:d008:t00128,west hearth,Ari,v60:ari:care_favor:d008:s02,care favor,129,True,True,True
129,8,ssrm:v60:snapshot:d008:t00129,river gate,Fay,v60:fay:route_warning:d008:s03,route warning,130,True,True,True
130,8,ssrm:v60:snapshot:d008:t00130,arrival court,Milo,v60:milo:tool_loan:d008:s04,tool loan,131,True,True,True
131,8,ssrm:v60:snapshot:d008:t00131,tool alcove,Sera,v60:sera:water_carry:d008:s05,water carry,132,True,True,True
132,8,ssrm:v60:snapshot:d008:t00132,rain court,Tovan,v60:tovan:repair_promise:d008:s06,repair promise,133,True,True,True
133,8,ssrm:v60:snapshot:d008:t00133,fiber loft,Nia,v60:nia:missed_greeting:d008:s07,missed greeting,134,True,True,True
134,8,ssrm:v60:snapshot:d008:t00134,west hearth,Ari,v60:ari:care_favor:d008:s08,care favor,135,True,True,True
135,8,ssrm:v60:snapshot:d008:t00135,river gate,Fay,v60:fay:route_warning:d008:s09,route warning,136,True,True,True
136,8,ssrm:v60:snapshot:d008:t00136,arrival court,Milo,v60:milo:tool_loan:d008:s10,tool loan,137,True,True,True
137,8,ssrm:v60:snapshot:d008:t00137,tool alcove,Sera,v60:sera:water_carry:d008:s11,water carry,138,True,True,True
138,8,ssrm:v60:snapshot:d008:t00138,rain court,Tovan,v60:tovan:repair_promise:d008:s12,repair promise,139,True,True,True
139,8,ssrm:v60:snapshot:d008:t00139,fiber loft,Nia,v60:nia:missed_greeting:d008:s13,missed greeting,140,True,True,True
140,8,ssrm:v60:snapshot:d008:t00140,west hearth,Ari,v60:ari:care_favor:d008:s14,care favor,141,True,True,True
141,8,ssrm:v60:snapshot:d008:t00141,river gate,Fay,v60:fay:route_warning:d008:s15,route warning,142,True,True,True
142,8,ssrm:v60:snapshot:d008:t00142,arrival court,Milo,v60:milo:tool_loan:d008:s16,tool loan,143,True,True,True
143,8,ssrm:v60:snapshot:d008:t00143,tool alcove,Sera,v60:sera:water_carry:d008:s17,water carry,144,True,True,True
144,9,ssrm:v60:snapshot:d009:t00144,fiber loft,Tovan,v60:tovan:missed_greeting:d009:s00,missed greeting,145,True,True,True
145,9,ssrm:v60:snapshot:d009:t00145,west hearth,Nia,v60:nia:care_favor:d009:s01,care favor,146,True,True,True
146,9,ssrm:v60:snapshot:d009:t00146,river gate,Ari,v60:ari:route_warning:d009:s02,route warning,147,True,True,True
147,9,ssrm:v60:snapshot:d009:t00147,arrival court,Fay,v60:fay:tool_loan:d009:s03,tool loan,148,True,True,True
148,9,ssrm:v60:snapshot:d009:t00148,tool alcove,Milo,v60:milo:water_carry:d009:s04,water carry,149,True,True,True
149,9,ssrm:v60:snapshot:d009:t00149,rain court,Sera,v60:sera:repair_promise:d009:s05,repair promise,150,True,True,True
150,9,ssrm:v60:snapshot:d009:t00150,fiber loft,Tovan,v60:tovan:missed_greeting:d009:s06,missed greeting,151,True,True,True
151,9,ssrm:v60:snapshot:d009:t00151,west hearth,Nia,v60:nia:care_favor:d009:s07,care favor,152,True,True,True
152,9,ssrm:v60:snapshot:d009:t00152,river gate,Ari,v60:ari:route_warning:d009:s08,route warning,153,True,True,True
153,9,ssrm:v60:snapshot:d009:t00153,arrival court,Fay,v60:fay:tool_loan:d009:s09,tool loan,154,True,True,True
154,9,ssrm:v60:snapshot:d009:t00154,tool alcove,Milo,v60:milo:water_carry:d009:s10,water carry,155,True,True,True
155,9,ssrm:v60:snapshot:d009:t00155,rain court,Sera,v60:sera:repair_promise:d009:s11,repair promise,156,True,True,True
156,9,ssrm:v60:snapshot:d009:t00156,fiber loft,Tovan,v60:tovan:missed_greeting:d009:s12,missed greeting,157,True,True,True
157,9,ssrm:v60:snapshot:d009:t00157,west hearth,Nia,v60:nia:care_favor:d009:s13,care favor,158,True,True,True
158,9,ssrm:v60:snapshot:d009:t00158,river gate,Ari,v60:ari:route_warning:d009:s14,route warning,159,True,True,True
159,9,ssrm:v60:snapshot:d009:t00159,arrival court,Fay,v60:fay:tool_loan:d009:s15,tool loan,160,True,True,True
160,9,ssrm:v60:snapshot:d009:t00160,tool alcove,Milo,v60:milo:water_carry:d009:s16,water carry,161,True,True,True
161,9,ssrm:v60:snapshot:d009:t00161,rain court,Sera,v60:sera:repair_promise:d009:s17,repair promise,162,True,True,True
162,10,ssrm:v60:snapshot:d010:t00162,west hearth,Tovan,v60:tovan:care_favor:d010:s00,care favor,163,True,True,True
163,10,ssrm:v60:snapshot:d010:t00163,river gate,Nia,v60:nia:route_warning:d010:s01,route warning,164,True,True,True
164,10,ssrm:v60:snapshot:d010:t00164,arrival court,Ari,v60:ari:tool_loan:d010:s02,tool loan,165,True,True,True
165,10,ssrm:v60:snapshot:d010:t00165,tool alcove,Fay,v60:fay:water_carry:d010:s03,water carry,166,True,True,True
166,10,ssrm:v60:snapshot:d010:t00166,rain court,Milo,v60:milo:repair_promise:d010:s04,repair promise,167,True,True,True
167,10,ssrm:v60:snapshot:d010:t00167,fiber loft,Sera,v60:sera:missed_greeting:d010:s05,missed greeting,168,True,True,True
168,10,ssrm:v60:snapshot:d010:t00168,west hearth,Tovan,v60:tovan:care_favor:d010:s06,care favor,169,True,True,True
169,10,ssrm:v60:snapshot:d010:t00169,river gate,Nia,v60:nia:route_warning:d010:s07,route warning,170,True,True,True
170,10,ssrm:v60:snapshot:d010:t00170,arrival court,Ari,v60:ari:tool_loan:d010:s08,tool loan,171,True,True,True
171,10,ssrm:v60:snapshot:d010:t00171,tool alcove,Fay,v60:fay:water_carry:d010:s09,water carry,172,True,True,True
172,10,ssrm:v60:snapshot:d010:t00172,rain court,Milo,v60:milo:repair_promise:d010:s10,repair promise,173,True,True,True
173,10,ssrm:v60:snapshot:d010:t00173,fiber loft,Sera,v60:sera:missed_greeting:d010:s11,missed greeting,174,True,True,True
174,10,ssrm:v60:snapshot:d010:t00174,west hearth,Tovan,v60:tovan:care_favor:d010:s12,care favor,175,True,True,True
175,10,ssrm:v60:snapshot:d010:t00175,river gate,Nia,v60:nia:route_warning:d010:s13,route warning,176,True,True,True
176,10,ssrm:v60:snapshot:d010:t00176,arrival court,Ari,v60:ari:tool_loan:d010:s14,tool loan,177,True,True,True
177,10,ssrm:v60:snapshot:d010:t00177,tool alcove,Fay,v60:fay:water_carry:d010:s15,water carry,178,True,True,True
178,10,ssrm:v60:snapshot:d010:t00178,rain court,Milo,v60:milo:repair_promise:d010:s16,repair promise,179,True,True,True
179,10,ssrm:v60:snapshot:d010:t00179,fiber loft,Sera,v60:sera:missed_greeting:d010:s17,missed greeting,180,True,True,True
180,11,ssrm:v60:snapshot:d011:t00180,river gate,Tovan,v60:tovan:route_warning:d011:s00,route warning,181,True,True,True
181,11,ssrm:v60:snapshot:d011:t00181,arrival court,Nia,v60:nia:tool_loan:d011:s01,tool loan,182,True,True,True
182,11,ssrm:v60:snapshot:d011:t00182,tool alcove,Ari,v60:ari:water_carry:d011:s02,water carry,183,True,True,True
183,11,ssrm:v60:snapshot:d011:t00183,rain court,Fay,v60:fay:repair_promise:d011:s03,repair promise,184,True,True,True
184,11,ssrm:v60:snapshot:d011:t00184,fiber loft,Milo,v60:milo:missed_greeting:d011:s04,missed greeting,185,True,True,True
185,11,ssrm:v60:snapshot:d011:t00185,west hearth,Sera,v60:sera:care_favor:d011:s05,care favor,186,True,True,True
186,11,ssrm:v60:snapshot:d011:t00186,river gate,Tovan,v60:tovan:route_warning:d011:s06,route warning,187,True,True,True
187,11,ssrm:v60:snapshot:d011:t00187,arrival court,Nia,v60:nia:tool_loan:d011:s07,tool loan,188,True,True,True
188,11,ssrm:v60:snapshot:d011:t00188,tool alcove,Ari,v60:ari:water_carry:d011:s08,water carry,189,True,True,True
189,11,ssrm:v60:snapshot:d011:t00189,rain court,Fay,v60:fay:repair_promise:d011:s09,repair promise,190,True,True,True
190,11,ssrm:v60:snapshot:d011:t00190,fiber loft,Milo,v60:milo:missed_greeting:d011:s10,missed greeting,191,True,True,True
191,11,ssrm:v60:snapshot:d011:t00191,west hearth,Sera,v60:sera:care_favor:d011:s11,care favor,192,True,True,True
192,11,ssrm:v60:snapshot:d011:t00192,river gate,Tovan,v60:tovan:route_warning:d011:s12,route warning,193,True,True,True
193,11,ssrm:v60:snapshot:d011:t00193,arrival court,Nia,v60:nia:tool_loan:d011:s13,tool loan,194,True,True,True
194,11,ssrm:v60:snapshot:d011:t00194,tool alcove,Ari,v60:ari:water_carry:d011:s14,water carry,195,True,True,True
195,11,ssrm:v60:snapshot:d011:t00195,rain court,Fay,v60:fay:repair_promise:d011:s15,repair promise,196,True,True,True
196,11,ssrm:v60:snapshot:d011:t00196,fiber loft,Milo,v60:milo:missed_greeting:d011:s16,missed greeting,197,True,True,True
197,11,ssrm:v60:snapshot:d011:t00197,west hearth,Sera,v60:sera:care_favor:d011:s17,care favor,198,True,True,True
198,12,ssrm:v60:snapshot:d012:t00198,arrival court,Tovan,v60:tovan:tool_loan:d012:s00,tool loan,199,True,True,True
199,12,ssrm:v60:snapshot:d012:t00199,tool alcove,Nia,v60:nia:water_carry:d012:s01,water carry,200,True,True,True
200,12,ssrm:v60:snapshot:d012:t00200,rain court,Ari,v60:ari:repair_promise:d012:s02,repair promise,201,True,True,True
201,12,ssrm:v60:snapshot:d012:t00201,fiber loft,Fay,v60:fay:missed_greeting:d012:s03,missed greeting,202,True,True,True
202,12,ssrm:v60:snapshot:d012:t00202,west hearth,Milo,v60:milo:care_favor:d012:s04,care favor,203,True,True,True
203,12,ssrm:v60:snapshot:d012:t00203,river gate,Sera,v60:sera:route_warning:d012:s05,route warning,204,True,True,True
204,12,ssrm:v60:snapshot:d012:t00204,arrival court,Tovan,v60:tovan:tool_loan:d012:s06,tool loan,205,True,True,True
205,12,ssrm:v60:snapshot:d012:t00205,tool alcove,Nia,v60:nia:water_carry:d012:s07,water carry,206,True,True,True
206,12,ssrm:v60:snapshot:d012:t00206,rain court,Ari,v60:ari:repair_promise:d012:s08,repair promise,207,True,True,True
207,12,ssrm:v60:snapshot:d012:t00207,fiber loft,Fay,v60:fay:missed_greeting:d012:s09,missed greeting,208,True,True,True
208,12,ssrm:v60:snapshot:d012:t00208,west hearth,Milo,v60:milo:care_favor:d012:s10,care favor,209,True,True,True
209,12,ssrm:v60:snapshot:d012:t00209,river gate,Sera,v60:sera:route_warning:d012:s11,route warning,210,True,True,True
210,12,ssrm:v60:snapshot:d012:t00210,arrival court,Tovan,v60:tovan:tool_loan:d012:s12,tool loan,211,True,True,True
211,12,ssrm:v60:snapshot:d012:t00211,tool alcove,Nia,v60:nia:water_carry:d012:s13,water carry,212,True,True,True
212,12,ssrm:v60:snapshot:d012:t00212,rain court,Ari,v60:ari:repair_promise:d012:s14,repair promise,213,True,True,True
213,12,ssrm:v60:snapshot:d012:t00213,fiber loft,Fay,v60:fay:missed_greeting:d012:s15,missed greeting,214,True,True,True
214,12,ssrm:v60:snapshot:d012:t00214,west hearth,Milo,v60:milo:care_favor:d012:s16,care favor,215,True,True,True
215,12,ssrm:v60:snapshot:d012:t00215,river gate,Sera,v60:sera:route_warning:d012:s17,route warning,216,True,True,True
216,13,ssrm:v60:snapshot:d013:t00216,tool alcove,Tovan,v60:tovan:water_carry:d013:s00,water carry,217,True,True,True
