seed,pulse_id,actor,event,actor_entropy,event_entropy,intensity_entropy,intensity,resources_before,resources_after,resource_delta,need_before,need_after,schedule_coupling,trust_after,progress_after,debt_after,consequence
36247,36247-SP-02,Fay,neighbor_help,6,153,157,1.116,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 3, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay made 36247-AIS-01 easier to attempt after neighbor_help,0.549,0.381,0,Fay encountered neighbor_help with intensity 1.116
36247,36247-SP-03,Fay,tool_snag,101,47,8,0.531,"{""care"": 3, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 3, ""fiber"": 4, ""water"": 6, ""wood"": 8}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay stochastically delayed 36247-AIS-02 while sort herbs competed with tool_snag,0.548,0.376,0,Fay encountered tool_snag with intensity 0.531
36247,36247-SP-04,Ari,roof_leak,195,19,167,1.155,"{""care"": 3, ""fiber"": 4, ""water"": 6, ""wood"": 8}","{""care"": 3, ""fiber"": 4, ""water"": 4, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -2, ""wood"": -2}",finish-work,finish-work,Ari stochastically delayed 36247-AIS-01 while repair awning competed with roof_leak,0.615,0.333,1,Ari encountered roof_leak with intensity 1.155
36247,36247-SP-05,Fay,roof_leak,81,13,220,1.363,"{""care"": 3, ""fiber"": 4, ""water"": 4, ""wood"": 6}","{""care"": 3, ""fiber"": 4, ""water"": 2, ""wood"": 4}","{""care"": 0, ""fiber"": 0, ""water"": -2, ""wood"": -2}",finish-work,finish-work,,0.543,0.368,1,Fay encountered roof_leak with intensity 1.363
36247,36247-SP-06,Ari,tool_snag,225,76,110,0.931,"{""care"": 3, ""fiber"": 4, ""water"": 2, ""wood"": 4}","{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.613,0.324,1,Ari encountered tool_snag with intensity 0.931
36247,36247-SP-07,Tovan,argument_echo,174,182,221,1.367,"{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically disputed 36247-AIS-05 while map safe route competed with argument_echo,0.48,0.437,0,Tovan encountered argument_echo with intensity 1.367
36247,36247-SP-08,Tovan,neighbor_help,19,97,172,1.175,"{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 4, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.489,0.453,0,Tovan encountered neighbor_help with intensity 1.175
36263,36263-SP-01,Fay,roof_leak,116,39,62,0.743,"{""care"": 2, ""fiber"": 5, ""water"": 7, ""wood"": 8}","{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",finish-work,finish-work,Fay stochastically delayed 36263-AIS-01 while repair awning competed with roof_leak,0.507,0.361,2,Fay encountered roof_leak with intensity 0.743
36263,36263-SP-02,Milo,quiet_recovery,32,232,88,0.845,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 7}","{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.623,0.395,0,Milo encountered quiet_recovery with intensity 0.845
36263,36263-SP-03,Fay,tool_snag,201,76,65,0.755,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 7}","{""care"": 2, ""fiber"": 4, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay stochastically delayed 36263-AIS-02 while sort herbs competed with tool_snag,0.505,0.353,2,Fay encountered tool_snag with intensity 0.755
36263,36263-SP-04,Fay,argument_echo,186,155,159,1.124,"{""care"": 2, ""fiber"": 4, ""water"": 6, ""wood"": 7}","{""care"": 2, ""fiber"": 4, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.497,0.351,2,Fay encountered argument_echo with intensity 1.124
36263,36263-SP-05,Milo,roof_leak,127,15,114,0.947,"{""care"": 2, ""fiber"": 4, ""water"": 6, ""wood"": 7}","{""care"": 2, ""fiber"": 4, ""water"": 5, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",finish-work,finish-work,Milo stochastically delayed 36263-AIS-03 while carry water competed with roof_leak,0.619,0.389,1,Milo encountered roof_leak with intensity 0.947
36263,36263-SP-06,Ari,roof_leak,125,27,194,1.261,"{""care"": 2, ""fiber"": 4, ""water"": 5, ""wood"": 6}","{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 4}","{""care"": 0, ""fiber"": 0, ""water"": -2, ""wood"": -2}",finish-work,finish-work,Ari stochastically delayed 36263-AIS-04 while dry cloaks competed with roof_leak,0.585,0.332,1,Ari encountered roof_leak with intensity 1.261
36263,36263-SP-07,Sera,tool_snag,73,71,40,0.657,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 4}","{""care"": 2, ""fiber"": 3, ""water"": 3, ""wood"": 4}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.539,0.408,1,Sera encountered tool_snag with intensity 0.657
36263,36263-SP-08,Sera,neighbor_help,33,107,68,0.767,"{""care"": 2, ""fiber"": 3, ""water"": 3, ""wood"": 4}","{""care"": 3, ""fiber"": 3, ""water"": 3, ""wood"": 4}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.545,0.419,0,Sera encountered neighbor_help with intensity 0.767
36281,36281-SP-01,Fay,tool_snag,176,90,5,0.52,"{""care"": 2, ""fiber"": 5, ""water"": 7, ""wood"": 6}","{""care"": 2, ""fiber"": 4, ""water"": 7, ""wood"": 6}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay stochastically delayed 36281-AIS-01 while repair awning competed with tool_snag,0.499,0.36,1,Fay encountered tool_snag with intensity 0.52
36281,36281-SP-02,Tovan,found_material,4,223,214,1.339,"{""care"": 2, ""fiber"": 4, ""water"": 7, ""wood"": 6}","{""care"": 2, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",explore,explore,Tovan made 36281-AIS-05 easier to attempt after found_material,0.645,0.451,0,Tovan encountered found_material with intensity 1.339
36281,36281-SP-03,Fay,neighbor_help,26,132,173,1.178,"{""care"": 2, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 3, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay made 36281-AIS-02 easier to attempt after neighbor_help,0.508,0.376,0,Fay encountered neighbor_help with intensity 1.178
36281,36281-SP-04,Milo,neighbor_help,222,134,101,0.896,"{""care"": 3, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 4, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36281-AIS-03 easier to attempt after neighbor_help,0.617,0.403,0,Milo encountered neighbor_help with intensity 0.896
36281,36281-SP-05,Fay,roof_leak,216,1,86,0.837,"{""care"": 4, ""fiber"": 5, ""water"": 7, ""wood"": 7}","{""care"": 4, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",finish-work,finish-work,Fay stochastically delayed 36281-AIS-02 while sort herbs competed with roof_leak,0.505,0.371,1,Fay encountered roof_leak with intensity 0.837
36281,36281-SP-06,Tovan,tool_snag,34,93,134,1.025,"{""care"": 4, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically delayed 36281-AIS-03 while carry water competed with tool_snag,0.643,0.441,0,Tovan encountered tool_snag with intensity 1.025
36281,36281-SP-07,Sera,quiet_recovery,68,247,144,1.065,"{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.533,0.421,0,Sera encountered quiet_recovery with intensity 1.065
36281,36281-SP-08,Tovan,argument_echo,44,206,2,0.508,"{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 4, ""water"": 6, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically disputed 36281-AIS-05 while map safe route competed with argument_echo,0.639,0.44,0,Tovan encountered argument_echo with intensity 0.508
36307,36307-SP-01,Fay,roof_leak,116,35,209,1.32,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 2, ""fiber"": 5, ""water"": 4, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -2, ""wood"": -2}",finish-work,finish-work,Fay stochastically delayed 36307-AIS-02 while sort herbs competed with roof_leak,0.565,0.357,2,Fay encountered roof_leak with intensity 1.32
36307,36307-SP-02,Sera,roof_leak,248,13,135,1.029,"{""care"": 2, ""fiber"": 5, ""water"": 4, ""wood"": 6}","{""care"": 2, ""fiber"": 5, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",explore,finish-work,Sera stochastically delayed 36307-AIS-04 while dry cloaks competed with roof_leak,0.596,0.409,2,Sera encountered roof_leak with intensity 1.029
36307,36307-SP-03,Fay,tool_snag,36,53,125,0.99,"{""care"": 2, ""fiber"": 5, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.563,0.347,2,Fay encountered tool_snag with intensity 0.99
36307,36307-SP-04,Milo,quiet_recovery,17,237,113,0.943,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.493,0.396,0,Milo encountered quiet_recovery with intensity 0.943
36307,36307-SP-05,Sera,argument_echo,243,186,232,1.41,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Sera stochastically disputed 36307-AIS-01 while repair awning competed with argument_echo,0.586,0.406,2,Sera encountered argument_echo with intensity 1.41
36307,36307-SP-06,Tovan,tool_snag,64,57,187,1.233,"{""care"": 2, ""fiber"": 4, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": -2, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically delayed 36307-AIS-03 while carry water competed with tool_snag,0.518,0.428,0,Tovan encountered tool_snag with intensity 1.233
36307,36307-SP-07,Milo,argument_echo,32,171,120,0.971,"{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo stochastically disputed 36307-AIS-05 while map safe route competed with argument_echo,0.486,0.394,0,Milo encountered argument_echo with intensity 0.971
36307,36307-SP-08,Tovan,tool_snag,134,57,80,0.814,"{""care"": 2, ""fiber"": 2, ""water"": 3, ""wood"": 5}","{""care"": 2, ""fiber"": 1, ""water"": 3, ""wood"": 5}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.516,0.42,0,Tovan encountered tool_snag with intensity 0.814
