tick_index,agent,event_kind,public_body_marker,public_affect_marker,private_trace_hint,care_or_refusal,replay_import_export_token,trace_integrity_token
1,Ari,ordinary_walk,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.745; affordance=ordinary_self_regulation,ordinary,import_export_ready:True,r242:1:Ari:ordinary_walk:attachment:0.745
12,Sol,curious_discovery,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.838; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:12:Sol:curious_discovery:attachment:0.838
13,Ari,rest_cycle,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.940; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:13:Ari:rest_cycle:attachment:0.94
14,Fay,ritual_hum,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.967; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:14:Fay:ritual_hum:overload:0.967
15,Milo,tool_returned,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=autonomy; coupling=0.921; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:15:Milo:tool_returned:autonomy:0.921
16,Sol,ordinary_walk,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.811; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:16:Sol:ordinary_walk:attachment:0.811
17,Ari,cold_wet_crossing,Ari: settled_recovering; settled open stance; seek_warmth,settled_recovering,driver=cold_wet; coupling=0.828; affordance=seek_dry_warm_route,ordinary,import_export_ready:False,r242:17:Ari:cold_wet_crossing:cold_wet:0.828
18,Fay,heavy_carry,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=movement; coupling=0.816; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:18:Fay:heavy_carry:movement:0.816
19,Milo,sharp_noise,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=overload; coupling=0.828; affordance=lower_sound_and_distance,ordinary,import_export_ready:False,r242:19:Milo:sharp_noise:overload:0.828
20,Sol,crowding,Sol: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=autonomy; coupling=0.824; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:True,r242:20:Sol:crowding:autonomy:0.824
21,Ari,missed_meal,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.816; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:21:Ari:missed_meal:attachment:0.816
22,Fay,pain_twinge,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.820; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:22:Fay:pain_twinge:attachment:0.82
23,Milo,avatar_gives_space,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.934; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:23:Milo:avatar_gives_space:attachment:0.934
24,Sol,warm_shelter,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.914; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:24:Sol:warm_shelter:attachment:0.914
25,Ari,trusted_help,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.947; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:25:Ari:trusted_help:autonomy:0.947
26,Fay,autonomy_pressure,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.797; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:False,r242:26:Fay:autonomy_pressure:autonomy:0.797
27,Milo,curious_discovery,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.839; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:27:Milo:curious_discovery:attachment:0.839
28,Sol,rest_cycle,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.944; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:28:Sol:rest_cycle:attachment:0.944
29,Ari,ritual_hum,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.969; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:29:Ari:ritual_hum:overload:0.969
30,Fay,tool_returned,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.923; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:30:Fay:tool_returned:autonomy:0.923
31,Sol,ordinary_walk,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.817; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:31:Sol:ordinary_walk:attachment:0.817
32,Ari,cold_wet_crossing,Ari: settled_recovering; settled open stance; seek_warmth,settled_recovering,driver=cold_wet; coupling=0.832; affordance=seek_dry_warm_route,ordinary,import_export_ready:False,r242:32:Ari:cold_wet_crossing:cold_wet:0.832
33,Fay,heavy_carry,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=movement; coupling=0.815; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:33:Fay:heavy_carry:movement:0.815
34,Milo,sharp_noise,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=overload; coupling=0.829; affordance=lower_sound_and_distance,ordinary,import_export_ready:False,r242:34:Milo:sharp_noise:overload:0.829
35,Sol,crowding,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.829; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:False,r242:35:Sol:crowding:autonomy:0.829
36,Ari,missed_meal,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.819; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:36:Ari:missed_meal:attachment:0.819
37,Fay,pain_twinge,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=pain; coupling=0.820; affordance=ask_for_help_or_reduce_load,ordinary,import_export_ready:False,r242:37:Fay:pain_twinge:pain:0.82
38,Milo,avatar_gives_space,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.936; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:38:Milo:avatar_gives_space:attachment:0.936
39,Sol,warm_shelter,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.911; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:39:Sol:warm_shelter:attachment:0.911
40,Ari,trusted_help,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.951; affordance=active_recovery_present,ordinary,import_export_ready:True,r242:40:Ari:trusted_help:autonomy:0.951
41,Fay,autonomy_pressure,Fay: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=autonomy; coupling=0.797; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:False,r242:41:Fay:autonomy_pressure:autonomy:0.797
42,Milo,curious_discovery,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.841; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:42:Milo:curious_discovery:attachment:0.841
43,Sol,rest_cycle,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.943; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:43:Sol:rest_cycle:attachment:0.943
44,Ari,ritual_hum,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.970; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:44:Ari:ritual_hum:overload:0.97
45,Fay,tool_returned,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.925; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:45:Fay:tool_returned:autonomy:0.925
46,Milo,ordinary_walk,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.815; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:46:Milo:ordinary_walk:attachment:0.815
47,Sol,cold_wet_crossing,Sol: settled_recovering; settled open stance; seek_warmth,settled_recovering,driver=cold_wet; coupling=0.834; affordance=seek_dry_warm_route,ordinary,import_export_ready:False,r242:47:Sol:cold_wet_crossing:cold_wet:0.834
48,Ari,heavy_carry,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=movement; coupling=0.825; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:48:Ari:heavy_carry:movement:0.825
49,Fay,sharp_noise,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.833; affordance=lower_sound_and_distance,ordinary,import_export_ready:False,r242:49:Fay:sharp_noise:overload:0.833
50,Milo,crowding,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.828; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:50:Milo:crowding:attachment:0.828
51,Sol,missed_meal,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.819; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:51:Sol:missed_meal:attachment:0.819
52,Ari,pain_twinge,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=pain; coupling=0.829; affordance=ask_for_help_or_reduce_load,ordinary,import_export_ready:False,r242:52:Ari:pain_twinge:pain:0.829
53,Fay,avatar_gives_space,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.938; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:53:Fay:avatar_gives_space:attachment:0.938
54,Milo,warm_shelter,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.917; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:54:Milo:warm_shelter:attachment:0.917
55,Sol,trusted_help,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.949; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:55:Sol:trusted_help:autonomy:0.949
56,Ari,autonomy_pressure,Ari: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=autonomy; coupling=0.805; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:False,r242:56:Ari:autonomy_pressure:autonomy:0.805
57,Fay,curious_discovery,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.843; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:57:Fay:curious_discovery:attachment:0.843
58,Milo,rest_cycle,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.950; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:58:Milo:rest_cycle:attachment:0.95
59,Sol,ritual_hum,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.967; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:59:Sol:ritual_hum:overload:0.967
60,Ari,tool_returned,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.931; affordance=active_recovery_present,ordinary,import_export_ready:True,r242:60:Ari:tool_returned:autonomy:0.931
61,Milo,ordinary_walk,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.820; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:61:Milo:ordinary_walk:attachment:0.82
62,Sol,cold_wet_crossing,Sol: settled_recovering; settled open stance; seek_warmth,settled_recovering,driver=cold_wet; coupling=0.838; affordance=seek_dry_warm_route,ordinary,import_export_ready:False,r242:62:Sol:cold_wet_crossing:cold_wet:0.838
63,Ari,heavy_carry,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=movement; coupling=0.823; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:63:Ari:heavy_carry:movement:0.823
64,Fay,sharp_noise,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.832; affordance=lower_sound_and_distance,ordinary,import_export_ready:False,r242:64:Fay:sharp_noise:overload:0.832
65,Milo,crowding,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.831; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:65:Milo:crowding:attachment:0.831
66,Sol,missed_meal,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.822; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:66:Sol:missed_meal:attachment:0.822
67,Ari,pain_twinge,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=pain; coupling=0.828; affordance=ask_for_help_or_reduce_load,ordinary,import_export_ready:False,r242:67:Ari:pain_twinge:pain:0.828
68,Fay,avatar_gives_space,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.939; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:68:Fay:avatar_gives_space:attachment:0.939
69,Milo,warm_shelter,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.916; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:69:Milo:warm_shelter:attachment:0.916
70,Sol,trusted_help,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.954; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:70:Sol:trusted_help:autonomy:0.954
71,Ari,autonomy_pressure,Ari: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=autonomy; coupling=0.805; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:False,r242:71:Ari:autonomy_pressure:autonomy:0.805
72,Fay,curious_discovery,Fay: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.845; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:72:Fay:curious_discovery:attachment:0.845
73,Milo,rest_cycle,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.947; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:73:Milo:rest_cycle:attachment:0.947
74,Sol,ritual_hum,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.972; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:74:Sol:ritual_hum:overload:0.972
75,Ari,tool_returned,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.931; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:75:Ari:tool_returned:autonomy:0.931
76,Fay,ordinary_walk,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.818; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:76:Fay:ordinary_walk:attachment:0.818
77,Milo,cold_wet_crossing,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=movement; coupling=0.833; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:77:Milo:cold_wet_crossing:movement:0.833
78,Sol,heavy_carry,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=movement; coupling=0.827; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:78:Sol:heavy_carry:movement:0.827
79,Ari,sharp_noise,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.840; affordance=lower_sound_and_distance,ordinary,import_export_ready:False,r242:79:Ari:sharp_noise:overload:0.84
80,Fay,crowding,Fay: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=attachment; coupling=0.831; affordance=ordinary_self_regulation,ordinary,import_export_ready:True,r242:80:Fay:crowding:attachment:0.831
81,Milo,missed_meal,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.823; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:81:Milo:missed_meal:attachment:0.823
82,Sol,pain_twinge,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=pain; coupling=0.831; affordance=ask_for_help_or_reduce_load,ordinary,import_export_ready:False,r242:82:Sol:pain_twinge:pain:0.831
83,Ari,avatar_gives_space,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.944; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:83:Ari:avatar_gives_space:attachment:0.944
84,Fay,warm_shelter,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.920; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:84:Fay:warm_shelter:attachment:0.92
85,Milo,trusted_help,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=autonomy; coupling=0.954; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:85:Milo:trusted_help:autonomy:0.954
86,Sol,autonomy_pressure,Sol: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=autonomy; coupling=0.807; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:False,r242:86:Sol:autonomy_pressure:autonomy:0.807
87,Ari,curious_discovery,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.850; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:87:Ari:curious_discovery:attachment:0.85
88,Fay,rest_cycle,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.951; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:88:Fay:rest_cycle:attachment:0.951
89,Milo,ritual_hum,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=overload; coupling=0.974; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:89:Milo:ritual_hum:overload:0.974
90,Sol,tool_returned,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.933; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:90:Sol:tool_returned:autonomy:0.933
91,Fay,ordinary_walk,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.825; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:91:Fay:ordinary_walk:attachment:0.825
92,Milo,cold_wet_crossing,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=movement; coupling=0.836; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:92:Milo:cold_wet_crossing:movement:0.836
93,Sol,heavy_carry,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=movement; coupling=0.825; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:93:Sol:heavy_carry:movement:0.825
94,Ari,sharp_noise,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.840; affordance=lower_sound_and_distance,ordinary,import_export_ready:False,r242:94:Ari:sharp_noise:overload:0.84
95,Fay,crowding,Fay: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=attachment; coupling=0.837; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:95:Fay:crowding:attachment:0.837
96,Milo,missed_meal,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.827; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:96:Milo:missed_meal:attachment:0.827
97,Sol,pain_twinge,Sol: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=pain; coupling=0.831; affordance=ask_for_help_or_reduce_load,ordinary,import_export_ready:False,r242:97:Sol:pain_twinge:pain:0.831
98,Ari,avatar_gives_space,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.947; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:98:Ari:avatar_gives_space:attachment:0.947
99,Fay,warm_shelter,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.923; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:99:Fay:warm_shelter:attachment:0.923
100,Milo,trusted_help,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=autonomy; coupling=0.958; affordance=active_recovery_present,ordinary,import_export_ready:True,r242:100:Milo:trusted_help:autonomy:0.958
101,Sol,autonomy_pressure,Sol: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=autonomy; coupling=0.807; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:False,r242:101:Sol:autonomy_pressure:autonomy:0.807
102,Ari,curious_discovery,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.851; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:102:Ari:curious_discovery:attachment:0.851
103,Fay,rest_cycle,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.954; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:103:Fay:rest_cycle:attachment:0.954
104,Milo,ritual_hum,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=overload; coupling=0.975; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:104:Milo:ritual_hum:overload:0.975
105,Sol,tool_returned,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.933; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:105:Sol:tool_returned:autonomy:0.933
106,Ari,ordinary_walk,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.825; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:106:Ari:ordinary_walk:attachment:0.825
107,Fay,cold_wet_crossing,Fay: settled_recovering; settled open stance; seek_warmth,settled_recovering,driver=cold_wet; coupling=0.841; affordance=seek_dry_warm_route,ordinary,import_export_ready:False,r242:107:Fay:cold_wet_crossing:cold_wet:0.841
108,Milo,heavy_carry,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=movement; coupling=0.831; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:108:Milo:heavy_carry:movement:0.831
109,Sol,sharp_noise,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.840; affordance=lower_sound_and_distance,ordinary,import_export_ready:False,r242:109:Sol:sharp_noise:overload:0.84
110,Ari,crowding,Ari: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=attachment; coupling=0.836; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:110:Ari:crowding:attachment:0.836
111,Fay,missed_meal,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.830; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:111:Fay:missed_meal:attachment:0.83
112,Milo,pain_twinge,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.834; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:112:Milo:pain_twinge:attachment:0.834
113,Sol,avatar_gives_space,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.947; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:113:Sol:avatar_gives_space:attachment:0.947
114,Ari,warm_shelter,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.927; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:114:Ari:warm_shelter:attachment:0.927
115,Fay,trusted_help,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.961; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:115:Fay:trusted_help:autonomy:0.961
116,Milo,autonomy_pressure,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=autonomy; coupling=0.812; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:False,r242:116:Milo:autonomy_pressure:autonomy:0.812
117,Sol,curious_discovery,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.852; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:117:Sol:curious_discovery:attachment:0.852
118,Ari,rest_cycle,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.964; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:118:Ari:rest_cycle:attachment:0.964
119,Fay,ritual_hum,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.986; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:119:Fay:ritual_hum:overload:0.986
120,Milo,tool_returned,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=autonomy; coupling=0.938; affordance=active_recovery_present,ordinary,import_export_ready:True,r242:120:Milo:tool_returned:autonomy:0.938
