tick_id,day,settlement_id,resident_id,project_id,project_name,scheduled_slot,task_site,project_stage,progress_before,progress_after,resident_owned_schedule,schedule_conflict_present,schedule_conflict_resolved,world_state_target,private_workspace_sealed,frequency_hz,flower_phase
27,2,orchid_engine,Eli,2432f12bb3,listen to valve pulse,day-002:tick-09:resident-led,engine ring,restock,0.08,0.091,True,False,True,engine ring:listen to valve pulse,True,10.26839,0.158111
28,2,moss_ward,Ari,2ea8f2d96e,copy root ledger,day-002:tick-10:resident-led,blanket room,survey,0.08,0.091,True,False,True,blanket room:copy root ledger,True,5.62139,0.115444
29,2,glass_harbor,Oren,fd03ad5da8,relight public lamp,day-002:tick-11:resident-led,fog rail,prepare,0.08,0.091,True,False,True,fog rail:relight public lamp,True,6.76474,0.131778
30,2,cinder_garden,Vale,5e37aea90d,cool ash path,day-002:tick-12:resident-led,seed shelf,work,0.08,0.091,True,False,True,seed shelf:cool ash path,True,9.3276,0.156111
31,2,lichen_bridge,Sol,72a63892cd,test rope bridge,day-002:tick-13:resident-led,signal post,inspect,0.08,0.091,True,False,True,signal post:test rope bridge,True,8.00074,0.148444
32,2,orchid_engine,Bea,ff802a82b5,tend orchid lamp,day-002:tick-14:resident-led,orchid bay,handoff,0.08,0.091,True,False,True,orchid bay:tend orchid lamp,True,10.3336,0.174778
33,2,moss_ward,Fay,b4068fee47,drain rain path,day-002:tick-15:resident-led,rain gate,restock,0.08,0.089,True,True,False,rain gate:drain rain path,True,5.68656,0.132111
34,2,glass_harbor,Puck,b9f27156b1,seal fog catcher,day-002:tick-16:resident-led,net room,survey,0.08,0.091,True,False,True,net room:seal fog catcher,True,6.8296,0.148444
35,2,cinder_garden,Wren,8d7a6c2aa4,shade seed rows,day-002:tick-17:resident-led,shade tent,prepare,0.08,0.091,True,False,True,shade tent:shade seed rows,True,9.39274,0.172778
36,3,orchid_engine,Eli,b41913dbe2,stabilize steam kettle,day-003:tick-00:resident-led,gear wash,inspect,0.08,0.091,True,False,True,gear wash:stabilize steam kettle,True,10.3856,0.188667
37,3,moss_ward,Ari,572d4e939c,patch blanket loom,day-003:tick-01:resident-led,root alcove,handoff,0.08,0.091,True,False,True,root alcove:patch blanket loom,True,5.73874,0.146
38,3,glass_harbor,Oren,5a399028bb,mark crossing rope,day-003:tick-02:resident-led,lamp pier,restock,0.08,0.091,True,False,True,lamp pier:mark crossing rope,True,6.88195,0.162333
39,3,cinder_garden,Vale,cc7272cc69,sort ember fruit,day-003:tick-03:resident-led,ash path,survey,0.08,0.091,True,False,True,ash path:sort ember fruit,True,9.44495,0.186667
40,3,lichen_bridge,Sol,76f402ab6a,repair meal ledger,day-003:tick-04:resident-led,meal room,prepare,0.08,0.091,True,False,True,meal room:repair meal ledger,True,8.11795,0.179
41,3,orchid_engine,Bea,9a2f344251,clean gear wash,day-003:tick-05:resident-led,engine ring,work,0.08,0.091,True,False,True,engine ring:clean gear wash,True,10.45095,0.205333
42,3,moss_ward,Fay,69fbe1ae68,raise warm-cup shelf,day-003:tick-06:resident-led,blanket room,inspect,0.08,0.091,True,False,True,blanket room:raise warm-cup shelf,True,5.80409,0.162667
43,3,glass_harbor,Puck,cf04a81caf,mend fog net,day-003:tick-07:resident-led,fog rail,handoff,0.08,0.091,True,False,True,fog rail:mend fog net,True,6.94695,0.179
44,3,cinder_garden,Wren,88d6240bdd,repair seed calendar,day-003:tick-08:resident-led,seed shelf,restock,0.08,0.091,True,True,True,seed shelf:repair seed calendar,True,9.50995,0.203333
45,3,lichen_bridge,Kio,87e730b100,weave spare rope,day-003:tick-09:resident-led,signal post,survey,0.08,0.091,True,False,True,signal post:weave spare rope,True,8.1826,0.195667
46,3,orchid_engine,Cai,b805ef5f3b,stabilize steam kettle,day-003:tick-10:resident-led,orchid bay,prepare,0.08,0.091,True,False,True,orchid bay:stabilize steam kettle,True,10.51574,0.222
47,3,moss_ward,Milo,037725c0bc,patch blanket loom,day-003:tick-11:resident-led,rain gate,work,0.08,0.091,True,False,True,rain gate:patch blanket loom,True,5.86895,0.179333
48,3,glass_harbor,Sera,39906512c4,mark crossing rope,day-003:tick-12:resident-led,net room,inspect,0.08,0.091,True,False,True,net room:mark crossing rope,True,7.01195,0.195667
49,3,cinder_garden,Juno,5d450b0d31,sort ember fruit,day-003:tick-13:resident-led,shade tent,handoff,0.08,0.091,True,False,True,shade tent:sort ember fruit,True,9.57495,0.22
50,3,lichen_bridge,Luma,c11ee45638,repair meal ledger,day-003:tick-14:resident-led,rope bridge,restock,0.08,0.091,True,False,True,rope bridge:repair meal ledger,True,8.24795,0.212333
51,3,orchid_engine,Dax,fa2f54a5f1,clean gear wash,day-003:tick-15:resident-led,gear wash,survey,0.08,0.091,True,False,True,gear wash:clean gear wash,True,10.58095,0.238667
52,3,moss_ward,Tala,5b51e19d49,raise warm-cup shelf,day-003:tick-16:resident-led,root alcove,prepare,0.08,0.091,True,False,True,root alcove:raise warm-cup shelf,True,5.93395,0.196
53,3,glass_harbor,Nia,b58364559a,mend fog net,day-003:tick-17:resident-led,lamp pier,work,0.08,0.091,True,False,True,lamp pier:mend fog net,True,7.07695,0.212333
54,4,lichen_bridge,Kio,505b3ed3bc,test rope bridge,day-004:tick-00:resident-led,meal room,handoff,0.08,0.091,True,False,True,meal room:test rope bridge,True,8.29981,0.226222
55,4,orchid_engine,Cai,9567222324,tend orchid lamp,day-004:tick-01:resident-led,engine ring,restock,0.08,0.091,True,True,True,engine ring:tend orchid lamp,True,10.63309,0.252556
56,4,moss_ward,Milo,022ca473b4,drain rain path,day-004:tick-02:resident-led,blanket room,survey,0.08,0.091,True,False,True,blanket room:drain rain path,True,5.98616,0.209889
57,4,glass_harbor,Sera,e2517cc645,seal fog catcher,day-004:tick-03:resident-led,fog rail,prepare,0.08,0.091,True,False,True,fog rail:seal fog catcher,True,7.1293,0.226222
58,4,cinder_garden,Juno,46bd9e887d,shade seed rows,day-004:tick-04:resident-led,seed shelf,work,0.08,0.091,True,False,True,seed shelf:shade seed rows,True,9.69216,0.250556
59,4,lichen_bridge,Luma,ef4a1eb826,mark signal bell,day-004:tick-05:resident-led,signal post,inspect,0.08,0.091,True,False,True,signal post:mark signal bell,True,8.3653,0.242889
60,4,orchid_engine,Dax,5ea66d74e7,listen to valve pulse,day-004:tick-06:resident-led,orchid bay,handoff,0.08,0.091,True,False,True,orchid bay:listen to valve pulse,True,10.69816,0.269222
61,4,moss_ward,Tala,825eef3be9,copy root ledger,day-004:tick-07:resident-led,rain gate,restock,0.08,0.091,True,False,True,rain gate:copy root ledger,True,6.0513,0.226556
62,4,glass_harbor,Nia,aa85d5f3cf,relight public lamp,day-004:tick-08:resident-led,net room,survey,0.08,0.091,True,False,True,net room:relight public lamp,True,7.19416,0.242889
63,4,cinder_garden,Pax,bfe20f64e9,cool ash path,day-004:tick-09:resident-led,shade tent,prepare,0.08,0.091,True,False,True,shade tent:cool ash path,True,9.75695,0.267222
64,4,lichen_bridge,Rin,1ca3ca05c1,test rope bridge,day-004:tick-10:resident-led,rope bridge,work,0.08,0.091,True,False,True,rope bridge:test rope bridge,True,8.42995,0.259556
65,4,orchid_engine,Eli,79a49a3901,tend orchid lamp,day-004:tick-11:resident-led,gear wash,inspect,0.08,0.091,True,False,True,gear wash:tend orchid lamp,True,10.76295,0.285889
66,4,moss_ward,Ari,27a5f6be30,drain rain path,day-004:tick-12:resident-led,root alcove,handoff,0.08,0.091,True,True,True,root alcove:drain rain path,True,6.11595,0.243222
67,4,glass_harbor,Oren,139ed15166,seal fog catcher,day-004:tick-13:resident-led,lamp pier,restock,0.08,0.091,True,False,True,lamp pier:seal fog catcher,True,7.2593,0.259556
68,4,cinder_garden,Vale,50e2b859c6,shade seed rows,day-004:tick-14:resident-led,ash path,survey,0.08,0.091,True,False,True,ash path:shade seed rows,True,9.82216,0.283889
69,4,lichen_bridge,Sol,878bf0af37,mark signal bell,day-004:tick-15:resident-led,meal room,prepare,0.08,0.091,True,False,True,meal room:mark signal bell,True,8.4953,0.276222
70,4,orchid_engine,Bea,2899e764df,listen to valve pulse,day-004:tick-16:resident-led,engine ring,work,0.08,0.091,True,False,True,engine ring:listen to valve pulse,True,10.82816,0.302556
71,4,moss_ward,Fay,5147eb41b9,copy root ledger,day-004:tick-17:resident-led,blanket room,inspect,0.08,0.091,True,False,True,blanket room:copy root ledger,True,6.18144,0.259889
72,5,cinder_garden,Pax,f91854767d,sort ember fruit,day-005:tick-00:resident-led,seed shelf,restock,0.091,0.102,True,False,True,seed shelf:sort ember fruit,True,9.87515,0.297778
73,5,lichen_bridge,Rin,47513db752,repair meal ledger,day-005:tick-01:resident-led,signal post,survey,0.091,0.102,True,False,True,signal post:repair meal ledger,True,8.54829,0.290111
74,5,orchid_engine,Eli,ee36774892,clean gear wash,day-005:tick-02:resident-led,orchid bay,prepare,0.08,0.091,True,False,True,orchid bay:clean gear wash,True,10.88016,0.316444
75,5,moss_ward,Ari,6666182d43,raise warm-cup shelf,day-005:tick-03:resident-led,rain gate,work,0.08,0.091,True,False,True,rain gate:raise warm-cup shelf,True,6.2333,0.273778
76,5,glass_harbor,Oren,4691632fda,mend fog net,day-005:tick-04:resident-led,net room,inspect,0.089,0.1,True,False,True,net room:mend fog net,True,7.37732,0.290111
77,5,cinder_garden,Vale,669e90cbc3,repair seed calendar,day-005:tick-05:resident-led,shade tent,handoff,0.091,0.1,True,True,False,shade tent:repair seed calendar,True,9.94032,0.314444
78,5,lichen_bridge,Sol,797e050dde,weave spare rope,day-005:tick-06:resident-led,rope bridge,restock,0.091,0.102,True,False,True,rope bridge:weave spare rope,True,8.6135,0.306778
79,5,orchid_engine,Bea,936769c116,stabilize steam kettle,day-005:tick-07:resident-led,gear wash,survey,0.091,0.102,True,False,True,gear wash:stabilize steam kettle,True,10.9465,0.333111
80,5,moss_ward,Fay,23961e054e,patch blanket loom,day-005:tick-08:resident-led,root alcove,prepare,0.091,0.102,True,False,True,root alcove:patch blanket loom,True,6.29964,0.290444
81,5,glass_harbor,Puck,4e34e5eca9,mark crossing rope,day-005:tick-09:resident-led,lamp pier,work,0.091,0.102,True,False,True,lamp pier:mark crossing rope,True,7.44215,0.306778
82,5,cinder_garden,Wren,f54993de4d,sort ember fruit,day-005:tick-10:resident-led,ash path,inspect,0.091,0.102,True,False,True,ash path:sort ember fruit,True,10.00529,0.331111
83,5,lichen_bridge,Kio,e74a8726db,repair meal ledger,day-005:tick-11:resident-led,meal room,handoff,0.091,0.102,True,False,True,meal room:repair meal ledger,True,8.67815,0.323444
84,5,orchid_engine,Cai,fee339b1d9,clean gear wash,day-005:tick-12:resident-led,engine ring,restock,0.091,0.102,True,False,True,engine ring:clean gear wash,True,11.01129,0.349778
85,5,moss_ward,Milo,d27f39c290,raise warm-cup shelf,day-005:tick-13:resident-led,blanket room,survey,0.091,0.102,True,False,True,blanket room:raise warm-cup shelf,True,6.3645,0.307111
86,5,glass_harbor,Sera,c5ce3bb82a,mend fog net,day-005:tick-14:resident-led,fog rail,prepare,0.091,0.102,True,False,True,fog rail:mend fog net,True,7.5075,0.323444
87,5,cinder_garden,Juno,ab3857f6de,repair seed calendar,day-005:tick-15:resident-led,seed shelf,work,0.091,0.102,True,False,True,seed shelf:repair seed calendar,True,10.0705,0.347778
88,5,lichen_bridge,Luma,6e76849c77,weave spare rope,day-005:tick-16:resident-led,signal post,inspect,0.091,0.102,True,True,True,signal post:weave spare rope,True,8.7435,0.340111
89,5,orchid_engine,Dax,1194905158,stabilize steam kettle,day-005:tick-17:resident-led,orchid bay,handoff,0.091,0.102,True,False,True,orchid bay:stabilize steam kettle,True,11.0765,0.366444
90,6,glass_harbor,Puck,b9f27156b1,seal fog catcher,day-006:tick-00:resident-led,net room,survey,0.091,0.102,True,False,True,net room:seal fog catcher,True,7.55936,0.337333
91,6,cinder_garden,Wren,8d7a6c2aa4,shade seed rows,day-006:tick-01:resident-led,shade tent,prepare,0.091,0.102,True,False,True,shade tent:shade seed rows,True,10.12264,0.361667
92,6,lichen_bridge,Kio,a9335a1d29,mark signal bell,day-006:tick-02:resident-led,rope bridge,work,0.08,0.091,True,False,True,rope bridge:mark signal bell,True,8.79437,0.354
93,6,orchid_engine,Cai,b31fad0817,listen to valve pulse,day-006:tick-03:resident-led,gear wash,inspect,0.08,0.091,True,False,True,gear wash:listen to valve pulse,True,11.12765,0.380333
94,6,moss_ward,Milo,48ae12c016,copy root ledger,day-006:tick-04:resident-led,root alcove,handoff,0.091,0.102,True,False,True,root alcove:copy root ledger,True,6.48171,0.337667
95,6,glass_harbor,Sera,ea7173b0ad,relight public lamp,day-006:tick-05:resident-led,lamp pier,restock,0.091,0.102,True,False,True,lamp pier:relight public lamp,True,7.62485,0.354
96,6,cinder_garden,Juno,5f79a57e6f,cool ash path,day-006:tick-06:resident-led,ash path,survey,0.091,0.102,True,False,True,ash path:cool ash path,True,10.18771,0.378333
97,6,lichen_bridge,Luma,e1bab827b9,test rope bridge,day-006:tick-07:resident-led,meal room,prepare,0.091,0.102,True,False,True,meal room:test rope bridge,True,8.86085,0.370667
98,6,orchid_engine,Dax,3645f43e1d,tend orchid lamp,day-006:tick-08:resident-led,engine ring,work,0.091,0.102,True,False,True,engine ring:tend orchid lamp,True,11.19371,0.397
99,6,moss_ward,Tala,28589c06c6,drain rain path,day-006:tick-09:resident-led,blanket room,inspect,0.091,0.102,True,True,True,blanket room:drain rain path,True,6.5465,0.354333
100,6,glass_harbor,Nia,9a5c1e063a,seal fog catcher,day-006:tick-10:resident-led,fog rail,handoff,0.091,0.102,True,False,True,fog rail:seal fog catcher,True,7.6895,0.370667
101,6,cinder_garden,Pax,da2b247900,shade seed rows,day-006:tick-11:resident-led,seed shelf,restock,0.091,0.102,True,False,True,seed shelf:shade seed rows,True,10.2525,0.395
102,6,lichen_bridge,Rin,0d07f43a57,mark signal bell,day-006:tick-12:resident-led,signal post,survey,0.091,0.102,True,False,True,signal post:mark signal bell,True,8.9255,0.387333
103,6,orchid_engine,Eli,2432f12bb3,listen to valve pulse,day-006:tick-13:resident-led,orchid bay,prepare,0.091,0.102,True,False,True,orchid bay:listen to valve pulse,True,11.2585,0.413667
104,6,moss_ward,Ari,2ea8f2d96e,copy root ledger,day-006:tick-14:resident-led,rain gate,work,0.091,0.102,True,False,True,rain gate:copy root ledger,True,6.6115,0.371
105,6,glass_harbor,Oren,fd03ad5da8,relight public lamp,day-006:tick-15:resident-led,net room,inspect,0.091,0.102,True,False,True,net room:relight public lamp,True,7.75485,0.387333
106,6,cinder_garden,Vale,5e37aea90d,cool ash path,day-006:tick-16:resident-led,shade tent,handoff,0.091,0.102,True,False,True,shade tent:cool ash path,True,10.31785,0.411667
107,6,lichen_bridge,Sol,72a63892cd,test rope bridge,day-006:tick-17:resident-led,rope bridge,restock,0.091,0.102,True,False,True,rope bridge:test rope bridge,True,8.99085,0.404
108,7,moss_ward,Tala,5b51e19d49,raise warm-cup shelf,day-007:tick-00:resident-led,root alcove,prepare,0.091,0.102,True,False,True,root alcove:raise warm-cup shelf,True,6.66371,0.384889
109,7,glass_harbor,Nia,b58364559a,mend fog net,day-007:tick-01:resident-led,lamp pier,work,0.091,0.102,True,False,True,lamp pier:mend fog net,True,7.80685,0.401222
110,7,cinder_garden,Pax,301d0ea001,repair seed calendar,day-007:tick-02:resident-led,ash path,inspect,0.08,0.091,True,True,True,ash path:repair seed calendar,True,10.36872,0.425556
111,7,lichen_bridge,Rin,84fdd2bf40,weave spare rope,day-007:tick-03:resident-led,meal room,handoff,0.08,0.091,True,False,True,meal room:weave spare rope,True,9.04186,0.417889
112,7,orchid_engine,Eli,b41913dbe2,stabilize steam kettle,day-007:tick-04:resident-led,engine ring,restock,0.091,0.102,True,False,True,engine ring:stabilize steam kettle,True,11.37571,0.444222
113,7,moss_ward,Ari,572d4e939c,patch blanket loom,day-007:tick-05:resident-led,blanket room,survey,0.091,0.102,True,False,True,blanket room:patch blanket loom,True,6.72885,0.401556
114,7,glass_harbor,Oren,5a399028bb,mark crossing rope,day-007:tick-06:resident-led,fog rail,prepare,0.091,0.102,True,False,True,fog rail:mark crossing rope,True,7.87206,0.417889
115,7,cinder_garden,Vale,cc7272cc69,sort ember fruit,day-007:tick-07:resident-led,seed shelf,work,0.091,0.102,True,False,True,seed shelf:sort ember fruit,True,10.4352,0.442222
116,7,lichen_bridge,Sol,76f402ab6a,repair meal ledger,day-007:tick-08:resident-led,signal post,inspect,0.091,0.102,True,False,True,signal post:repair meal ledger,True,9.10806,0.434556
117,7,orchid_engine,Bea,9a2f344251,clean gear wash,day-007:tick-09:resident-led,orchid bay,handoff,0.091,0.102,True,False,True,orchid bay:clean gear wash,True,11.44071,0.460889
118,7,moss_ward,Fay,69fbe1ae68,raise warm-cup shelf,day-007:tick-10:resident-led,rain gate,restock,0.091,0.102,True,False,True,rain gate:raise warm-cup shelf,True,6.79399,0.418222
119,7,glass_harbor,Puck,cf04a81caf,mend fog net,day-007:tick-11:resident-led,net room,survey,0.091,0.102,True,False,True,net room:mend fog net,True,7.93671,0.434556
120,7,cinder_garden,Wren,88d6240bdd,repair seed calendar,day-007:tick-12:resident-led,shade tent,prepare,0.091,0.102,True,False,True,shade tent:repair seed calendar,True,10.49985,0.458889
121,7,lichen_bridge,Kio,87e730b100,weave spare rope,day-007:tick-13:resident-led,rope bridge,work,0.091,0.102,True,True,True,rope bridge:weave spare rope,True,9.17271,0.451222
122,7,orchid_engine,Cai,b805ef5f3b,stabilize steam kettle,day-007:tick-14:resident-led,gear wash,inspect,0.091,0.102,True,False,True,gear wash:stabilize steam kettle,True,11.50585,0.477556
123,7,moss_ward,Milo,037725c0bc,patch blanket loom,day-007:tick-15:resident-led,root alcove,handoff,0.091,0.102,True,False,True,root alcove:patch blanket loom,True,6.85906,0.434889
124,7,glass_harbor,Sera,39906512c4,mark crossing rope,day-007:tick-16:resident-led,lamp pier,restock,0.091,0.102,True,False,True,lamp pier:mark crossing rope,True,8.00206,0.451222
125,7,cinder_garden,Juno,5d450b0d31,sort ember fruit,day-007:tick-17:resident-led,ash path,survey,0.091,0.102,True,False,True,ash path:sort ember fruit,True,10.56506,0.475556
126,8,orchid_engine,Bea,2899e764df,listen to valve pulse,day-008:tick-00:resident-led,engine ring,work,0.091,0.102,True,False,True,engine ring:listen to valve pulse,True,11.55792,0.491444
127,8,moss_ward,Fay,5147eb41b9,copy root ledger,day-008:tick-01:resident-led,blanket room,inspect,0.091,0.102,True,False,True,blanket room:copy root ledger,True,6.91134,0.448778
128,8,glass_harbor,Puck,ed218dd38f,relight public lamp,day-008:tick-02:resident-led,fog rail,handoff,0.08,0.091,True,False,True,fog rail:relight public lamp,True,8.05293,0.465111
129,8,cinder_garden,Wren,a66b280afe,cool ash path,day-008:tick-03:resident-led,seed shelf,restock,0.08,0.091,True,False,True,seed shelf:cool ash path,True,10.61621,0.489444
130,8,lichen_bridge,Kio,505b3ed3bc,test rope bridge,day-008:tick-04:resident-led,signal post,survey,0.091,0.102,True,False,True,signal post:test rope bridge,True,9.28992,0.481778
131,8,orchid_engine,Cai,9567222324,tend orchid lamp,day-008:tick-05:resident-led,orchid bay,prepare,0.091,0.102,True,False,True,orchid bay:tend orchid lamp,True,11.6232,0.508111
132,8,moss_ward,Milo,022ca473b4,drain rain path,day-008:tick-06:resident-led,rain gate,work,0.091,0.102,True,True,True,rain gate:drain rain path,True,6.97627,0.465444
133,8,glass_harbor,Sera,e2517cc645,seal fog catcher,day-008:tick-07:resident-led,net room,inspect,0.091,0.102,True,False,True,net room:seal fog catcher,True,8.11941,0.481778
134,8,cinder_garden,Juno,46bd9e887d,shade seed rows,day-008:tick-08:resident-led,shade tent,handoff,0.091,0.102,True,False,True,shade tent:shade seed rows,True,10.68227,0.506111
135,8,lichen_bridge,Luma,ef4a1eb826,mark signal bell,day-008:tick-09:resident-led,rope bridge,restock,0.091,0.102,True,False,True,rope bridge:mark signal bell,True,9.35506,0.498444
136,8,orchid_engine,Dax,5ea66d74e7,listen to valve pulse,day-008:tick-10:resident-led,gear wash,survey,0.091,0.102,True,False,True,gear wash:listen to valve pulse,True,11.68806,0.524778
137,8,moss_ward,Tala,825eef3be9,copy root ledger,day-008:tick-11:resident-led,root alcove,prepare,0.091,0.102,True,False,True,root alcove:copy root ledger,True,7.04106,0.482111
138,8,glass_harbor,Nia,aa85d5f3cf,relight public lamp,day-008:tick-12:resident-led,lamp pier,work,0.091,0.102,True,False,True,lamp pier:relight public lamp,True,8.18406,0.498444
139,8,cinder_garden,Pax,bfe20f64e9,cool ash path,day-008:tick-13:resident-led,ash path,inspect,0.091,0.102,True,False,True,ash path:cool ash path,True,10.74706,0.522778
140,8,lichen_bridge,Rin,1ca3ca05c1,test rope bridge,day-008:tick-14:resident-led,meal room,handoff,0.091,0.102,True,False,True,meal room:test rope bridge,True,9.42006,0.515111
141,8,orchid_engine,Eli,79a49a3901,tend orchid lamp,day-008:tick-15:resident-led,engine ring,restock,0.091,0.102,True,False,True,engine ring:tend orchid lamp,True,11.75306,0.541444
142,8,moss_ward,Ari,27a5f6be30,drain rain path,day-008:tick-16:resident-led,blanket room,survey,0.091,0.102,True,False,True,blanket room:drain rain path,True,7.10606,0.498778
143,8,glass_harbor,Oren,139ed15166,seal fog catcher,day-008:tick-17:resident-led,fog rail,prepare,0.091,0.102,True,True,True,fog rail:seal fog catcher,True,8.24941,0.515111
144,9,lichen_bridge,Luma,6e76849c77,weave spare rope,day-009:tick-00:resident-led,signal post,inspect,0.102,0.111,True,True,False,signal post:weave spare rope,True,9.47308,0.529
145,9,orchid_engine,Dax,1194905158,stabilize steam kettle,day-009:tick-01:resident-led,orchid bay,handoff,0.102,0.113,True,False,True,orchid bay:stabilize steam kettle,True,11.8064,0.555333
146,9,moss_ward,Tala,ffd144b235,patch blanket loom,day-009:tick-02:resident-led,rain gate,restock,0.091,0.102,True,False,True,rain gate:patch blanket loom,True,7.15827,0.512667
147,9,glass_harbor,Nia,e283abe06a,mark crossing rope,day-009:tick-03:resident-led,net room,survey,0.091,0.102,True,False,True,net room:mark crossing rope,True,8.30141,0.529
148,9,cinder_garden,Pax,f91854767d,sort ember fruit,day-009:tick-04:resident-led,shade tent,prepare,0.102,0.113,True,True,True,shade tent:sort ember fruit,True,10.86526,0.553333
149,9,lichen_bridge,Rin,47513db752,repair meal ledger,day-009:tick-05:resident-led,rope bridge,work,0.102,0.113,True,False,True,rope bridge:repair meal ledger,True,9.5384,0.545667
150,9,orchid_engine,Eli,ee36774892,clean gear wash,day-009:tick-06:resident-led,gear wash,inspect,0.091,0.102,True,False,True,gear wash:clean gear wash,True,11.87027,0.572
