tick,day,scene_id,agent,initiated_kind,target_object,initiated_by_reaction,initiated_by_inventory_need,visible_to_avatar,later_behavior_effect,initiation_score
53,4,v23-scene-d04,Nari,calls-for-return,fern key,1,1,1,pathing and access changed,1.0
54,4,v23-scene-d04,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
55,4,v23-scene-d04,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
56,4,v23-scene-d04,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
57,4,v23-scene-d04,Vonn,none,rain mirror,0,0,0,pathing and access changed,1.0
58,4,v23-scene-d04,Vonn,asks-to-inspect,listening shell,1,1,1,pathing and access changed,1.0
59,4,v23-scene-d04,Ori,none,sap hook,0,0,0,no visible later change,1.0
60,4,v23-scene-d04,Vonn,calls-for-return,listening shell,1,1,1,pathing and access changed,1.0
61,4,v23-scene-d04,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
62,4,v23-scene-d04,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
63,4,v23-scene-d04,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
64,5,v23-scene-d05,Nari,calls-for-return,fern key,1,1,1,pathing and access changed,1.0
65,5,v23-scene-d05,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
66,5,v23-scene-d05,Nari,invites-help,fern key,1,1,0,pathing and access changed,0.75
67,5,v23-scene-d05,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
68,5,v23-scene-d05,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
69,5,v23-scene-d05,Keth,none,path cord,0,0,0,no visible later change,1.0
70,5,v23-scene-d05,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
71,5,v23-scene-d05,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
72,5,v23-scene-d05,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
73,5,v23-scene-d05,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
74,5,v23-scene-d05,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
75,5,v23-scene-d05,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
76,5,v23-scene-d05,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
77,5,v23-scene-d05,Vonn,none,listening shell,0,0,0,pathing and access changed,1.0
78,5,v23-scene-d05,Ori,none,sap hook,0,1,0,no visible later change,1.0
79,5,v23-scene-d05,Ori,calls-for-return,sap hook,1,1,1,pathing and access changed,1.0
80,6,v23-scene-d06,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
81,6,v23-scene-d06,Vonn,asks-to-inspect,rain mirror,1,1,1,pathing and access changed,1.0
82,6,v23-scene-d06,Sova,asks-to-inspect,ember bowl,1,1,1,pathing and access changed,1.0
83,6,v23-scene-d06,Sova,none,moth lantern,0,0,0,pathing and access changed,1.0
84,6,v23-scene-d06,Vonn,calls-for-return,listening shell,1,1,1,pathing and access changed,1.0
85,6,v23-scene-d06,Nari,none,fern key,0,0,0,pathing and access changed,1.0
86,6,v23-scene-d06,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
87,6,v23-scene-d06,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
88,6,v23-scene-d06,Ori,calls-for-return,sap hook,1,1,1,pathing and access changed,1.0
89,6,v23-scene-d06,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
90,6,v23-scene-d06,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
91,6,v23-scene-d06,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
92,6,v23-scene-d06,Sova,asks-to-inspect,ember bowl,1,1,1,pathing and access changed,1.0
93,6,v23-scene-d06,Ori,calls-for-return,sap hook,1,1,1,pathing and access changed,1.0
94,6,v23-scene-d06,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
95,6,v23-scene-d06,Vonn,invites-help,rain mirror,1,1,0,pathing and access changed,0.75
96,7,v23-scene-d07,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
97,7,v23-scene-d07,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
98,7,v23-scene-d07,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
99,7,v23-scene-d07,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
100,7,v23-scene-d07,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
101,7,v23-scene-d07,Keth,none,path cord,0,0,0,no visible later change,1.0
102,7,v23-scene-d07,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
103,7,v23-scene-d07,Vonn,calls-for-return,listening shell,1,1,1,pathing and access changed,1.0
104,7,v23-scene-d07,Vonn,calls-for-return,rain mirror,1,1,1,pathing and access changed,1.0
105,7,v23-scene-d07,Sova,none,ember bowl,0,0,0,pathing and access changed,1.0
106,7,v23-scene-d07,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
107,7,v23-scene-d07,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
108,7,v23-scene-d07,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
109,7,v23-scene-d07,Vonn,none,listening shell,0,0,0,pathing and access changed,1.0
110,7,v23-scene-d07,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
111,7,v23-scene-d07,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
112,8,v23-scene-d08,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
113,8,v23-scene-d08,Vonn,none,rain mirror,0,0,0,pathing and access changed,1.0
114,8,v23-scene-d08,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
115,8,v23-scene-d08,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
116,8,v23-scene-d08,Melo,asks-to-inspect,tally beads,1,1,1,pathing and access changed,1.0
117,8,v23-scene-d08,Sova,none,moth lantern,0,0,0,pathing and access changed,1.0
118,8,v23-scene-d08,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
119,8,v23-scene-d08,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
120,8,v23-scene-d08,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
121,8,v23-scene-d08,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
122,8,v23-scene-d08,Nari,calls-for-return,ink ledger,1,1,1,pathing and access changed,1.0
123,8,v23-scene-d08,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
124,8,v23-scene-d08,Sova,invites-help,ember bowl,1,1,0,pathing and access changed,0.75
125,8,v23-scene-d08,Vonn,none,rain mirror,0,0,0,pathing and access changed,1.0
126,8,v23-scene-d08,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
127,8,v23-scene-d08,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
128,9,v23-scene-d09,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
129,9,v23-scene-d09,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
130,9,v23-scene-d09,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
131,9,v23-scene-d09,Keth,none,path cord,0,0,0,no visible later change,1.0
132,9,v23-scene-d09,Keth,invites-help,path cord,1,1,1,no visible later change,0.75
133,9,v23-scene-d09,Sova,none,ember bowl,0,0,0,pathing and access changed,1.0
134,9,v23-scene-d09,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
135,9,v23-scene-d09,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
136,9,v23-scene-d09,Keth,none,path cord,0,0,0,pathing and access changed,0.75
137,9,v23-scene-d09,Nari,none,ink ledger,0,0,0,pathing and access changed,1.0
138,9,v23-scene-d09,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
139,9,v23-scene-d09,Sova,asks-to-inspect,ember bowl,1,1,1,pathing and access changed,1.0
140,9,v23-scene-d09,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
141,9,v23-scene-d09,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
142,9,v23-scene-d09,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
143,9,v23-scene-d09,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
144,10,v23-scene-d10,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
145,10,v23-scene-d10,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
146,10,v23-scene-d10,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
147,10,v23-scene-d10,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
148,10,v23-scene-d10,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
149,10,v23-scene-d10,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
150,10,v23-scene-d10,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
151,10,v23-scene-d10,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
152,10,v23-scene-d10,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
153,10,v23-scene-d10,Keth,invites-help,path cord,1,1,0,pathing and access changed,0.75
154,10,v23-scene-d10,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
155,10,v23-scene-d10,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
156,10,v23-scene-d10,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
157,10,v23-scene-d10,Vonn,none,rain mirror,0,0,0,pathing and access changed,0.75
158,10,v23-scene-d10,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
159,10,v23-scene-d10,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
160,11,v23-scene-d11,Keth,invites-help,path cord,1,1,1,no visible later change,0.75
161,11,v23-scene-d11,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
162,11,v23-scene-d11,Vonn,calls-for-return,rain mirror,1,1,1,pathing and access changed,1.0
163,11,v23-scene-d11,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
164,11,v23-scene-d11,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
165,11,v23-scene-d11,Vonn,calls-for-return,listening shell,1,1,1,pathing and access changed,1.0
166,11,v23-scene-d11,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
167,11,v23-scene-d11,Vonn,later-followup,listening shell,1,0,1,pathing and access changed,1.0
168,11,v23-scene-d11,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
169,11,v23-scene-d11,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
170,11,v23-scene-d11,Ori,calls-for-return,sap hook,1,1,1,pathing and access changed,1.0
171,11,v23-scene-d11,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
172,11,v23-scene-d11,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
173,11,v23-scene-d11,Vonn,calls-for-return,listening shell,1,1,1,pathing and access changed,1.0
174,11,v23-scene-d11,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
175,11,v23-scene-d11,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
176,12,v23-scene-d12,Melo,asks-to-inspect,tally beads,1,1,1,pathing and access changed,1.0
177,12,v23-scene-d12,Keth,none,path cord,0,0,0,no visible later change,1.0
178,12,v23-scene-d12,Keth,invites-help,path cord,1,1,1,no visible later change,0.75
179,12,v23-scene-d12,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
180,12,v23-scene-d12,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
181,12,v23-scene-d12,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
182,12,v23-scene-d12,Nari,invites-help,ink ledger,1,1,0,pathing and access changed,0.75
183,12,v23-scene-d12,Nari,calls-for-return,fern key,1,1,1,pathing and access changed,1.0
184,12,v23-scene-d12,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
185,12,v23-scene-d12,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
186,12,v23-scene-d12,Vonn,calls-for-return,listening shell,1,1,1,pathing and access changed,1.0
187,12,v23-scene-d12,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
188,12,v23-scene-d12,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
189,12,v23-scene-d12,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
190,12,v23-scene-d12,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
191,12,v23-scene-d12,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
192,13,v23-scene-d13,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
193,13,v23-scene-d13,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
194,13,v23-scene-d13,Sova,none,moth lantern,0,0,0,pathing and access changed,1.0
195,13,v23-scene-d13,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
196,13,v23-scene-d13,Nari,calls-for-return,fern key,1,1,1,pathing and access changed,1.0
197,13,v23-scene-d13,Vonn,calls-for-return,listening shell,1,1,1,pathing and access changed,1.0
198,13,v23-scene-d13,Keth,later-followup,path cord,1,0,1,pathing and access changed,1.0
199,13,v23-scene-d13,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
200,13,v23-scene-d13,Nari,calls-for-return,fern key,1,1,1,pathing and access changed,1.0
201,13,v23-scene-d13,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
202,13,v23-scene-d13,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
203,13,v23-scene-d13,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
204,13,v23-scene-d13,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
205,13,v23-scene-d13,Nari,none,ink ledger,0,0,0,pathing and access changed,1.0
206,13,v23-scene-d13,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
207,13,v23-scene-d13,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
208,14,v23-scene-d14,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
209,14,v23-scene-d14,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
210,14,v23-scene-d14,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
211,14,v23-scene-d14,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
212,14,v23-scene-d14,Melo,asks-to-inspect,tally beads,1,1,1,pathing and access changed,1.0
213,14,v23-scene-d14,Vonn,none,rain mirror,0,0,0,pathing and access changed,1.0
214,14,v23-scene-d14,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
215,14,v23-scene-d14,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
216,14,v23-scene-d14,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
217,14,v23-scene-d14,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
218,14,v23-scene-d14,Vonn,none,listening shell,0,0,0,pathing and access changed,1.0
219,14,v23-scene-d14,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
220,14,v23-scene-d14,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
221,14,v23-scene-d14,Sova,none,moth lantern,0,0,0,pathing and access changed,1.0
222,14,v23-scene-d14,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
223,14,v23-scene-d14,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
224,15,v23-scene-d15,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
225,15,v23-scene-d15,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
226,15,v23-scene-d15,Sova,asks-to-inspect,moth lantern,1,1,1,pathing and access changed,1.0
227,15,v23-scene-d15,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
228,15,v23-scene-d15,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
229,15,v23-scene-d15,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
230,15,v23-scene-d15,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
231,15,v23-scene-d15,Nari,none,ink ledger,0,0,0,pathing and access changed,1.0
232,15,v23-scene-d15,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
233,15,v23-scene-d15,Vonn,calls-for-return,listening shell,1,1,1,pathing and access changed,1.0
234,15,v23-scene-d15,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
235,15,v23-scene-d15,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
236,15,v23-scene-d15,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
237,15,v23-scene-d15,Vonn,calls-for-return,listening shell,1,1,1,pathing and access changed,1.0
238,15,v23-scene-d15,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
239,15,v23-scene-d15,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
240,16,v23-scene-d16,Melo,calls-for-return,tally beads,1,1,0,pathing and access changed,0.75
241,16,v23-scene-d16,Sova,none,moth lantern,0,0,0,pathing and access changed,1.0
242,16,v23-scene-d16,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
243,16,v23-scene-d16,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
244,16,v23-scene-d16,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
245,16,v23-scene-d16,Keth,asks-to-inspect,path cord,1,1,1,pathing and access changed,1.0
246,16,v23-scene-d16,Ori,calls-for-return,sap hook,1,1,1,pathing and access changed,1.0
247,16,v23-scene-d16,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
248,16,v23-scene-d16,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
249,16,v23-scene-d16,Nari,none,fern key,0,0,0,pathing and access changed,1.0
250,16,v23-scene-d16,Nari,asks-to-inspect,ink ledger,1,1,1,pathing and access changed,1.0
251,16,v23-scene-d16,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
252,16,v23-scene-d16,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
253,16,v23-scene-d16,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
254,16,v23-scene-d16,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
255,16,v23-scene-d16,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
256,17,v23-scene-d17,Nari,asks-to-inspect,fern key,1,1,1,pathing and access changed,1.0
257,17,v23-scene-d17,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
258,17,v23-scene-d17,Sova,asks-to-inspect,moth lantern,1,1,1,pathing and access changed,1.0
259,17,v23-scene-d17,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
260,17,v23-scene-d17,Sova,none,moth lantern,0,0,0,pathing and access changed,1.0
261,17,v23-scene-d17,Nari,calls-for-return,ink ledger,1,1,1,pathing and access changed,1.0
262,17,v23-scene-d17,Sova,asks-to-inspect,moth lantern,1,1,1,pathing and access changed,1.0
263,17,v23-scene-d17,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
264,17,v23-scene-d17,Vonn,asks-to-inspect,rain mirror,1,1,1,pathing and access changed,1.0
265,17,v23-scene-d17,Keth,none,path cord,0,0,0,pathing and access changed,1.0
266,17,v23-scene-d17,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
267,17,v23-scene-d17,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
268,17,v23-scene-d17,Melo,later-followup,tally beads,1,0,1,pathing and access changed,1.0
269,17,v23-scene-d17,Melo,invites-help,tally beads,1,1,0,pathing and access changed,0.75
270,17,v23-scene-d17,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
271,17,v23-scene-d17,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
272,18,v23-scene-d18,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
273,18,v23-scene-d18,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
274,18,v23-scene-d18,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
275,18,v23-scene-d18,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
276,18,v23-scene-d18,Nari,calls-for-return,ink ledger,1,1,1,pathing and access changed,1.0
277,18,v23-scene-d18,Nari,asks-to-inspect,fern key,1,1,1,pathing and access changed,1.0
278,18,v23-scene-d18,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
279,18,v23-scene-d18,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
280,18,v23-scene-d18,Nari,none,ink ledger,0,0,0,pathing and access changed,1.0
281,18,v23-scene-d18,Keth,none,path cord,0,0,0,pathing and access changed,1.0
282,18,v23-scene-d18,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
283,18,v23-scene-d18,Ori,calls-for-return,sap hook,1,1,1,pathing and access changed,1.0
284,18,v23-scene-d18,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
285,18,v23-scene-d18,Nari,none,fern key,0,0,0,pathing and access changed,1.0
286,18,v23-scene-d18,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
287,18,v23-scene-d18,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
288,19,v23-scene-d19,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
289,19,v23-scene-d19,Keth,asks-to-inspect,path cord,1,1,1,pathing and access changed,1.0
290,19,v23-scene-d19,Vonn,calls-for-return,rain mirror,1,1,1,pathing and access changed,1.0
291,19,v23-scene-d19,Keth,none,path cord,0,0,0,pathing and access changed,1.0
292,19,v23-scene-d19,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
293,19,v23-scene-d19,Nari,none,ink ledger,0,0,0,pathing and access changed,1.0
294,19,v23-scene-d19,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
295,19,v23-scene-d19,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
296,19,v23-scene-d19,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
297,19,v23-scene-d19,Keth,none,path cord,0,0,0,pathing and access changed,1.0
298,19,v23-scene-d19,Melo,invites-help,tally beads,1,1,0,pathing and access changed,0.75
299,19,v23-scene-d19,Ori,calls-for-return,sap hook,1,1,1,pathing and access changed,1.0
300,19,v23-scene-d19,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
301,19,v23-scene-d19,Sova,none,ember bowl,0,0,0,pathing and access changed,1.0
302,19,v23-scene-d19,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
303,19,v23-scene-d19,Keth,invites-help,path cord,1,1,1,no visible later change,0.75
304,20,v23-scene-d20,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
305,20,v23-scene-d20,Vonn,later-followup,rain mirror,1,0,1,pathing and access changed,1.0
306,20,v23-scene-d20,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
307,20,v23-scene-d20,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
308,20,v23-scene-d20,Ori,calls-for-return,sap hook,1,1,1,pathing and access changed,1.0
