tick_id,day,time_s,layer,avatar_state,agent_state,object_state,interruption_state,background_state,save_state,sensory_state,frequency_hz,flower_node
life-rt-023,2,913.75,realtime_move,"stone lift edge; input -1,0; dt 250ms; collision clear",nearest ariq,near flat stone,interrupt queue checked,background ticks continue between frames,rt-hash-2-11-ariq-flat-stone,"bell tone, boot grit, dust",223.25,1
life-rt-024,2,915.0,realtime_move,"reed return; input -1,1; dt 250ms; collision clear",nearest roka,near loose reeds,interrupt queue checked,background ticks continue between frames,rt-hash-2-12-roka-loose-reeds,"dry reed snap, blue stone warmth, quieter voice",226.0,2
life-int-05,2,916.0,agent_interrupt,tie_knot,noro: Tie the debt knot before the second beam.,shade beam debt changes,delivered; priority 0.61; deadline 6.0s,interrupt can preempt avatar movement without exposing private workspace,Noro remembers visible debt before material help.,voice proximity packet plus current place sensory field,408.25,12
life-int-06,2,923.0,agent_interrupt,watch_from_there,roka: Watching is okay from there. Hands stay back.,avatar looks at tied bundle,delivered; priority 0.80; deadline 3.5s,interrupt can preempt avatar movement without exposing private workspace,Roka remembers distance respected after warning.,voice proximity packet plus current place sensory field,413.5,1
life-bg-007,2,948.0,background_tick,avatar idle or moving elsewhere,fayen: checks water cups; fatigue -0.02,cups cleaned,none,care trust stable,journaled,Fayen sets cups back on shade mat,151.25,4
life-bg-008,2,956.0,background_tick,avatar idle or moving elsewhere,ariq: taps bridge stone; arousal +0.03,stone marked hollow,none,asks Noro before lift,journaled,Ariq kneels by chalk arc,156.0,5
life-bg-009,2,964.0,background_tick,avatar idle or moving elsewhere,nian: rewrites public wording; control +0.02,archive flap sealed,none,privacy boundary stable,journaled,Nian folds the flap cord,160.75,6
life-bg-010,2,972.0,background_tick,avatar idle or moving elsewhere,roka: turns loose reeds; confidence +0.03,loose reeds dry,none,trust cautiously rises,journaled,Roka checks blue stone distance,165.5,7
life-aff-02,2,977,affordance_lattice,action name_boundary,requires roka,tied learner reed bundle: allowed_after_context_check; name_boundary updates tied learner reed bundle saved state,boundary refusal,ask steward and step back,obj-tied-bundle:name_boundary:saved,skill basic careful handling; debt 0.03,291.5,1
life-bg-011,2,980.0,background_tick,avatar idle or moving elsewhere,noro: counts debt knots; focus +0.02,knot board updated,none,debt remains public,journaled,Noro taps the board twice,170.25,8
life-aff-06,2,981,affordance_lattice,action check_splinter,"requires noro,fayen",shade frame beam: allowed_after_context_check; check_splinter updates shade frame beam saved state,wear or debt drift,"return object, log public debt, or wait for signal",obj-shade-beam:check_splinter:saved,skill basic careful handling; debt 0.05,403.5,9
life-bg-012,2,988.0,background_tick,avatar idle or moving elsewhere,environment: rain pressure shifts; wetness +0.04,path mud thickens,none,none,journaled,rain rattles the slow-hands cloth,175.0,9
life-rt-025,3,1801.25,realtime_move,"south path; input 0,-1; dt 250ms; collision clear",nearest roka,near blue stone,interrupt queue checked,background ticks continue between frames,rt-hash-3-1-roka-blue-stone,"cool damp grass, reed smell, low rain ticks",228.75,3
life-rt-026,3,1802.5,realtime_move,"reed lane edge; input -1,0; dt 250ms; collision boundary_slow",nearest roka,near loose reeds,interrupt queue checked,background ticks continue between frames,rt-hash-3-2-roka-loose-reeds,"wet reed smell, soft mud drag, child breath nearby",231.5,4
life-rt-027,3,1803.75,realtime_move,"blue stone; input -1,0; dt 250ms; collision boundary_hold",nearest roka,near tied bundle,interrupt queue checked,background ticks continue between frames,rt-hash-3-3-roka-tied-bundle,"warm stone, tight reed cord, quiet warning",234.25,5
life-rt-028,3,1805.0,realtime_move,"bridge arc; input 1,-1; dt 250ms; collision clear",nearest ariq,near chalk cord,interrupt queue checked,background ticks continue between frames,rt-hash-3-4-ariq-chalk-cord,"chalk dust, hollow stone scrape, warmer air",237.0,6
life-rt-029,3,1806.25,realtime_move,"shade pause; input -1,0; dt 250ms; collision routine_hold",nearest fayen,near water cups,interrupt queue checked,background ticks continue between frames,rt-hash-3-5-fayen-water-cups,"herb shade, cup clink, slow breathing",239.75,7
life-rt-030,3,1807.5,realtime_move,"care bell; input 0,-1; dt 250ms; collision clear",nearest fayen,near care bell,interrupt queue checked,background ticks continue between frames,rt-hash-3-6-fayen-care-bell,"low bell, warm hands, herb smoke",242.5,8
life-rt-031,3,1808.75,realtime_move,"archive threshold; input 1,-1; dt 250ms; collision threshold_stop",nearest nian,near archive flap,interrupt queue checked,background ticks continue between frames,rt-hash-3-7-nian-archive-flap,"still air, cloth flap, low voice",245.25,9
life-int-07,3,1810.0,agent_interrupt,ring_bell,"fayen: Bell first, then stone.",stone test before bell,delivered; priority 0.70; deadline 3.0s,interrupt can preempt avatar movement without exposing private workspace,Fayen remembers timing help without private naming.,voice proximity packet plus current place sensory field,418.75,2
life-rt-032,3,1810.0,realtime_move,"knot board; input 1,0; dt 250ms; collision clear",nearest noro,near public knot board,interrupt queue checked,background ticks continue between frames,rt-hash-3-8-noro-public-knot-board,"dry cord rasp, smoke thread, board tap",248.0,10
life-rt-033,3,1811.25,realtime_move,"shade frame; input 0,-1; dt 250ms; collision debt_warning",nearest noro,near shade beam,interrupt queue checked,background ticks continue between frames,rt-hash-3-9-noro-shade-beam,"wood grain, shoulder strain, warm dust",250.75,11
life-rt-034,3,1812.5,realtime_move,"evening ledger; input 0,1; dt 250ms; collision circle_edge",nearest noro,near debt knot,interrupt queue checked,background ticks continue between frames,rt-hash-3-10-noro-debt-knot,"ash smell, dusk cooling, low ledger chant",253.5,12
life-rt-035,3,1813.75,realtime_move,"stone lift edge; input -1,0; dt 250ms; collision clear",nearest ariq,near flat stone,interrupt queue checked,background ticks continue between frames,rt-hash-3-11-ariq-flat-stone,"bell tone, boot grit, dust",256.25,1
life-rt-036,3,1815.0,realtime_move,"reed return; input -1,1; dt 250ms; collision clear",nearest roka,near loose reeds,interrupt queue checked,background ticks continue between frames,rt-hash-3-12-roka-loose-reeds,"dry reed snap, blue stone warmth, quieter voice",259.0,2
life-int-08,3,1818.0,agent_interrupt,call_noro,"ariq: If it sounds hollow, stop the lift.",cart edge creaks,delivered; priority 0.76; deadline 4.0s,interrupt can preempt avatar movement without exposing private workspace,Ariq remembers caution under urgency.,voice proximity packet plus current place sensory field,424.0,3
life-bg-013,3,1848.0,background_tick,avatar idle or moving elsewhere,fayen: checks water cups; fatigue -0.02,cups cleaned,none,care trust stable,journaled,Fayen sets cups back on shade mat,179.75,10
life-bg-014,3,1856.0,background_tick,avatar idle or moving elsewhere,ariq: taps bridge stone; arousal +0.03,stone marked hollow,none,asks Noro before lift,journaled,Ariq kneels by chalk arc,184.5,11
life-bg-015,3,1864.0,background_tick,avatar idle or moving elsewhere,nian: rewrites public wording; control +0.02,archive flap sealed,none,privacy boundary stable,journaled,Nian folds the flap cord,189.25,12
life-bg-016,3,1872.0,background_tick,avatar idle or moving elsewhere,roka: turns loose reeds; confidence +0.03,loose reeds dry,none,trust cautiously rises,journaled,Roka checks blue stone distance,194.0,1
life-aff-03,3,1878,affordance_lattice,action widen_arc,requires ariq,chalk boundary cord: allowed_after_context_check; widen_arc updates chalk boundary cord saved state,wear or debt drift,"return object, log public debt, or wait for signal",obj-chalk-cord:widen_arc:saved,skill basic careful handling; debt 0.03,319.5,9
life-bg-017,3,1880.0,background_tick,avatar idle or moving elsewhere,noro: counts debt knots; focus +0.02,knot board updated,none,debt remains public,journaled,Noro taps the board twice,198.75,2
life-aff-07,3,1882,affordance_lattice,action press_test,requires ariq,flat bridge stone: allowed_after_context_check; press_test updates flat bridge stone saved state,wear or debt drift,"return object, log public debt, or wait for signal",obj-flat-stone:press_test:saved,skill basic careful handling; debt 0.03,431.5,5
life-bg-018,3,1888.0,background_tick,avatar idle or moving elsewhere,environment: rain pressure shifts; wetness +0.04,path mud thickens,none,agents slow routines,journaled,rain rattles the slow-hands cloth,203.5,3
life-rt-037,4,2701.25,realtime_move,"south path; input 0,-1; dt 250ms; collision clear",nearest roka,near blue stone,interrupt queue checked,background ticks continue between frames,rt-hash-4-1-roka-blue-stone,"cool damp grass, reed smell, low rain ticks",261.75,3
life-rt-038,4,2702.5,realtime_move,"reed lane edge; input -1,0; dt 250ms; collision boundary_slow",nearest roka,near loose reeds,interrupt queue checked,background ticks continue between frames,rt-hash-4-2-roka-loose-reeds,"wet reed smell, soft mud drag, child breath nearby",264.5,4
life-rt-039,4,2703.75,realtime_move,"blue stone; input -1,0; dt 250ms; collision boundary_hold",nearest roka,near tied bundle,interrupt queue checked,background ticks continue between frames,rt-hash-4-3-roka-tied-bundle,"warm stone, tight reed cord, quiet warning",267.25,5
life-rt-040,4,2705.0,realtime_move,"bridge arc; input 1,-1; dt 250ms; collision clear",nearest ariq,near chalk cord,interrupt queue checked,background ticks continue between frames,rt-hash-4-4-ariq-chalk-cord,"chalk dust, hollow stone scrape, warmer air",270.0,6
life-rt-041,4,2706.25,realtime_move,"shade pause; input -1,0; dt 250ms; collision routine_hold",nearest fayen,near water cups,interrupt queue checked,background ticks continue between frames,rt-hash-4-5-fayen-water-cups,"herb shade, cup clink, slow breathing",272.75,7
life-rt-042,4,2707.5,realtime_move,"care bell; input 0,-1; dt 250ms; collision clear",nearest fayen,near care bell,interrupt queue checked,background ticks continue between frames,rt-hash-4-6-fayen-care-bell,"low bell, warm hands, herb smoke",275.5,8
life-rt-043,4,2708.75,realtime_move,"archive threshold; input 1,-1; dt 250ms; collision threshold_stop",nearest nian,near archive flap,interrupt queue checked,background ticks continue between frames,rt-hash-4-7-nian-archive-flap,"still air, cloth flap, low voice",278.25,9
life-rt-044,4,2710.0,realtime_move,"knot board; input 1,0; dt 250ms; collision clear",nearest noro,near public knot board,interrupt queue checked,background ticks continue between frames,rt-hash-4-8-noro-public-knot-board,"dry cord rasp, smoke thread, board tap",281.0,10
life-rt-045,4,2711.25,realtime_move,"shade frame; input 0,-1; dt 250ms; collision debt_warning",nearest noro,near shade beam,interrupt queue checked,background ticks continue between frames,rt-hash-4-9-noro-shade-beam,"wood grain, shoulder strain, warm dust",283.75,11
life-rt-046,4,2712.5,realtime_move,"evening ledger; input 0,1; dt 250ms; collision circle_edge",nearest noro,near debt knot,interrupt queue checked,background ticks continue between frames,rt-hash-4-10-noro-debt-knot,"ash smell, dusk cooling, low ledger chant",286.5,12
life-rt-047,4,2713.75,realtime_move,"stone lift edge; input -1,0; dt 250ms; collision clear",nearest ariq,near flat stone,interrupt queue checked,background ticks continue between frames,rt-hash-4-11-ariq-flat-stone,"bell tone, boot grit, dust",289.25,1
life-int-09,4,2715.0,agent_interrupt,read_debt,noro: Read the open debt before asking.,avatar asks for more timber,delivered; priority 0.64; deadline 5.0s,interrupt can preempt avatar movement without exposing private workspace,Noro remembers accountable request before resource access.,voice proximity packet plus current place sensory field,429.25,4
life-rt-048,4,2715.0,realtime_move,"reed return; input -1,1; dt 250ms; collision clear",nearest roka,near loose reeds,interrupt queue checked,background ticks continue between frames,rt-hash-4-12-roka-loose-reeds,"dry reed snap, blue stone warmth, quieter voice",292.0,2
life-int-10,4,2722.0,agent_interrupt,correct_wording,nian: That word exposes too much. Use object trail.,public digest wording drifts,deferred; priority 0.52; deadline 5.0s,interrupt can preempt avatar movement without exposing private workspace,"Nian records correction, but it arrived late.",voice proximity packet plus current place sensory field,434.5,5
life-bg-019,4,2748.0,background_tick,avatar idle or moving elsewhere,fayen: checks water cups; fatigue -0.02,cups cleaned,none,care trust stable,journaled,Fayen sets cups back on shade mat,208.25,4
life-bg-020,4,2756.0,background_tick,avatar idle or moving elsewhere,ariq: taps bridge stone; arousal +0.03,stone marked hollow,none,asks Noro before lift,journaled,Ariq kneels by chalk arc,213.0,5
life-bg-021,4,2764.0,background_tick,avatar idle or moving elsewhere,nian: rewrites public wording; control +0.02,archive flap sealed,none,privacy boundary stable,journaled,Nian folds the flap cord,217.75,6
life-bg-022,4,2772.0,background_tick,avatar idle or moving elsewhere,roka: turns loose reeds; confidence +0.03,loose reeds dry,none,trust cautiously rises,journaled,Roka checks blue stone distance,222.5,7
life-aff-04,4,2779,affordance_lattice,action ask,requires nian,archive flap: allowed_after_context_check; ask updates archive flap saved state,wear or debt drift,"return object, log public debt, or wait for signal",obj-archive-flap:ask:saved,skill basic careful handling; debt 0.03,347.5,5
life-bg-023,4,2780.0,background_tick,avatar idle or moving elsewhere,noro: counts debt knots; focus +0.02,knot board updated,none,debt remains public,journaled,Noro taps the board twice,227.25,8
life-aff-08,4,2783,affordance_lattice,action fold,"requires fayen,roka",rain slow-hands cloth: allowed_after_context_check; fold updates rain slow-hands cloth saved state,wear or debt drift,"return object, log public debt, or wait for signal",obj-rain-cloth:fold:saved,skill basic careful handling; debt 0.03,459.5,1
life-bg-024,4,2788.0,background_tick,avatar idle or moving elsewhere,environment: rain pressure shifts; wetness +0.04,none,none,agents slow routines,transient weather tick,rain rattles the slow-hands cloth,232.0,9
