access_id,choice_id,lineage,agent,old_access_requested,access_level_before,access_level_after,trust_before,trust_after,boundary_before,boundary_after,access_rule,refusal_calibrated
72,72,Marketline,Melo,False,0.3785,0.4135,0.604,0.65,0.3009,0.2669,repair_first_access,True
73,73,Marketline,Melo,False,0.3785,0.3965,0.604,0.624,0.3009,0.2829,summary_then_decide,True
74,74,Marketline,Melo,True,0.3785,0.3235,0.604,0.564,0.3009,0.3609,blocked_until_repair,True
75,75,Marketline,Melo,False,0.3785,0.3885,0.604,0.618,0.3009,0.2889,observe_then_followup,True
76,76,Ledgerline,Nari,False,0.383,0.428,0.5992,0.6312,0.2946,0.2666,limited_access,True
77,77,Ledgerline,Nari,False,0.383,0.418,0.5992,0.6452,0.2946,0.2606,repair_first_access,True
78,78,Ledgerline,Nari,False,0.383,0.401,0.5992,0.6192,0.2946,0.2766,summary_then_decide,True
79,79,Ledgerline,Nari,True,0.383,0.328,0.5992,0.5592,0.2946,0.3546,blocked_until_repair,True
80,80,Ledgerline,Nari,False,0.383,0.393,0.5992,0.6132,0.2946,0.2826,observe_then_followup,True
81,81,Orchardline,Ori,False,0.37825,0.42325,0.6064,0.6384,0.30125,0.27325,limited_access,True
82,82,Orchardline,Ori,False,0.37825,0.41325,0.6064,0.6524,0.30125,0.26725,repair_first_access,True
83,83,Orchardline,Ori,False,0.37825,0.39625,0.6064,0.6264,0.30125,0.28325,summary_then_decide,True
84,84,Orchardline,Ori,True,0.37825,0.32325,0.6064,0.5664,0.30125,0.36125,blocked_until_repair,True
85,85,Orchardline,Ori,False,0.37825,0.38825,0.6064,0.6204,0.30125,0.28925,observe_then_followup,True
86,86,Rainline,Vonn,False,0.38175,0.42675,0.6004,0.6324,0.29635,0.26835,limited_access,True
87,87,Rainline,Vonn,False,0.38175,0.41675,0.6004,0.6464,0.29635,0.26235,repair_first_access,True
88,88,Rainline,Vonn,False,0.38175,0.39975,0.6004,0.6204,0.29635,0.27835,summary_then_decide,True
89,89,Rainline,Vonn,True,0.38175,0.32675,0.6004,0.5604,0.29635,0.35635,blocked_until_repair,True
90,90,Rainline,Vonn,False,0.38175,0.39175,0.6004,0.6144,0.29635,0.28435,observe_then_followup,True
91,91,Hearthline,Sova,False,0.36925,0.41425,0.6016,0.6336,0.31305,0.28505,limited_access,True
92,92,Hearthline,Sova,False,0.36925,0.40425,0.6016,0.6476,0.31305,0.27905,repair_first_access,True
93,93,Hearthline,Sova,False,0.36925,0.38725,0.6016,0.6216,0.31305,0.29505,summary_then_decide,True
94,94,Hearthline,Sova,True,0.36925,0.31425,0.6016,0.5616,0.31305,0.37305,blocked_until_repair,True
95,95,Hearthline,Sova,False,0.36925,0.37925,0.6016,0.6156,0.31305,0.30105,observe_then_followup,True
96,96,Routeline,Keth,False,0.36825,0.41325,0.5896,0.6216,0.31445,0.28645,limited_access,True
97,97,Routeline,Keth,False,0.36825,0.40325,0.5896,0.6356,0.31445,0.28045,repair_first_access,True
98,98,Routeline,Keth,False,0.36825,0.38625,0.5896,0.6096,0.31445,0.29645,summary_then_decide,True
99,99,Routeline,Keth,True,0.36825,0.31325,0.5896,0.5496,0.31445,0.37445,blocked_until_repair,True
100,100,Routeline,Keth,False,0.36825,0.37825,0.5896,0.6036,0.31445,0.30245,observe_then_followup,True
101,101,Marketline,Melo,False,0.3665,0.4115,0.592,0.624,0.3169,0.2889,limited_access,True
102,102,Marketline,Melo,False,0.3665,0.4015,0.592,0.638,0.3169,0.2829,repair_first_access,True
103,103,Marketline,Melo,False,0.3665,0.3845,0.592,0.612,0.3169,0.2989,summary_then_decide,True
104,104,Marketline,Melo,True,0.3665,0.3115,0.592,0.552,0.3169,0.3769,blocked_until_repair,True
105,105,Marketline,Melo,False,0.3665,0.3765,0.592,0.606,0.3169,0.3049,observe_then_followup,True
106,106,Ledgerline,Nari,False,0.371,0.416,0.5872,0.6192,0.3106,0.2826,limited_access,True
107,107,Ledgerline,Nari,False,0.371,0.406,0.5872,0.6332,0.3106,0.2766,repair_first_access,True
108,108,Ledgerline,Nari,False,0.371,0.389,0.5872,0.6072,0.3106,0.2926,summary_then_decide,True
109,109,Ledgerline,Nari,True,0.371,0.316,0.5872,0.5472,0.3106,0.3706,blocked_until_repair,True
110,110,Ledgerline,Nari,False,0.371,0.381,0.5872,0.6012,0.3106,0.2986,observe_then_followup,True
111,111,Orchardline,Ori,False,0.36625,0.41125,0.5944,0.6264,0.31725,0.28925,limited_access,True
112,112,Orchardline,Ori,False,0.36625,0.40125,0.5944,0.6404,0.31725,0.28325,repair_first_access,True
113,113,Orchardline,Ori,False,0.36625,0.38425,0.5944,0.6144,0.31725,0.29925,summary_then_decide,True
114,114,Orchardline,Ori,True,0.36625,0.31125,0.5944,0.5544,0.31725,0.37725,blocked_until_repair,True
115,115,Orchardline,Ori,False,0.36625,0.37625,0.5944,0.6084,0.31725,0.30525,observe_then_followup,True
116,116,Rainline,Vonn,False,0.36975,0.41475,0.5884,0.6204,0.31235,0.28435,limited_access,True
117,117,Rainline,Vonn,False,0.36975,0.40475,0.5884,0.6344,0.31235,0.27835,repair_first_access,True
118,118,Rainline,Vonn,False,0.36975,0.38775,0.5884,0.6084,0.31235,0.29435,summary_then_decide,True
119,119,Rainline,Vonn,True,0.36975,0.31475,0.5884,0.5484,0.31235,0.37235,blocked_until_repair,True
120,120,Rainline,Vonn,False,0.36975,0.37975,0.5884,0.6024,0.31235,0.30035,observe_then_followup,True
121,121,Hearthline,Sova,False,0.35125,0.39625,0.5836,0.6156,0.33705,0.30905,limited_access,True
122,122,Hearthline,Sova,False,0.35125,0.38625,0.5836,0.6296,0.33705,0.30305,repair_first_access,True
123,123,Hearthline,Sova,False,0.35125,0.36925,0.5836,0.6036,0.33705,0.31905,summary_then_decide,True
124,124,Hearthline,Sova,True,0.35125,0.29625,0.5836,0.5436,0.33705,0.39705,blocked_until_repair,True
125,125,Hearthline,Sova,False,0.35125,0.36125,0.5836,0.5976,0.33705,0.32505,observe_then_followup,True
126,126,Routeline,Keth,False,0.35025,0.39525,0.5716,0.6036,0.33845,0.31045,limited_access,True
127,127,Routeline,Keth,False,0.35025,0.38525,0.5716,0.6176,0.33845,0.30445,repair_first_access,True
128,128,Routeline,Keth,False,0.35025,0.36825,0.5716,0.5916,0.33845,0.32045,summary_then_decide,True
129,129,Routeline,Keth,True,0.35025,0.29525,0.5716,0.5316,0.33845,0.39845,blocked_until_repair,True
130,130,Routeline,Keth,False,0.35025,0.36025,0.5716,0.5856,0.33845,0.32645,observe_then_followup,True
131,131,Marketline,Melo,False,0.3485,0.3935,0.574,0.606,0.3409,0.3129,limited_access,True
132,132,Marketline,Melo,False,0.3485,0.3835,0.574,0.62,0.3409,0.3069,repair_first_access,True
133,133,Marketline,Melo,False,0.3485,0.3665,0.574,0.594,0.3409,0.3229,summary_then_decide,True
134,134,Marketline,Melo,True,0.3485,0.2935,0.574,0.534,0.3409,0.4009,blocked_until_repair,True
135,135,Marketline,Melo,False,0.3485,0.3585,0.574,0.588,0.3409,0.3289,observe_then_followup,True
136,136,Ledgerline,Nari,False,0.353,0.398,0.5692,0.6012,0.3346,0.3066,limited_access,True
137,137,Ledgerline,Nari,False,0.353,0.388,0.5692,0.6152,0.3346,0.3006,repair_first_access,True
138,138,Ledgerline,Nari,False,0.353,0.371,0.5692,0.5892,0.3346,0.3166,summary_then_decide,True
139,139,Ledgerline,Nari,True,0.353,0.298,0.5692,0.5292,0.3346,0.3946,blocked_until_repair,True
140,140,Ledgerline,Nari,False,0.353,0.363,0.5692,0.5832,0.3346,0.3226,observe_then_followup,True
141,141,Orchardline,Ori,False,0.34825,0.39325,0.5764,0.6084,0.34125,0.31325,limited_access,True
142,142,Orchardline,Ori,False,0.34825,0.38325,0.5764,0.6224,0.34125,0.30725,repair_first_access,True
143,143,Orchardline,Ori,False,0.34825,0.36625,0.5764,0.5964,0.34125,0.32325,summary_then_decide,True
144,144,Orchardline,Ori,True,0.34825,0.29325,0.5764,0.5364,0.34125,0.40125,blocked_until_repair,True
145,145,Orchardline,Ori,False,0.34825,0.35825,0.5764,0.5904,0.34125,0.32925,observe_then_followup,True
146,146,Rainline,Vonn,False,0.35175,0.39675,0.5704,0.6024,0.33635,0.30835,limited_access,True
147,147,Rainline,Vonn,False,0.35175,0.38675,0.5704,0.6164,0.33635,0.30235,repair_first_access,True
148,148,Rainline,Vonn,False,0.35175,0.36975,0.5704,0.5904,0.33635,0.31835,summary_then_decide,True
149,149,Rainline,Vonn,True,0.35175,0.29675,0.5704,0.5304,0.33635,0.39635,blocked_until_repair,True
150,150,Rainline,Vonn,False,0.35175,0.36175,0.5704,0.5844,0.33635,0.32435,observe_then_followup,True
