seed,ledger_id,event,material_sources,material_transformation,time_cost,labor_or_attention_cost,resident_effort,hidden_law_involved,public_observation,resident_interpretation,resources_before,resources_after,conservation_check,maintenance_obligation_created,unintended_consequence,normal_view_hidden_law_exposed
36217,36217-HRL-03-01,36217-HRC-03-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Milo carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36217,36217-HRL-03-02,36217-HRC-03-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36217,36217-HRL-03-03,36217-HRC-03-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Tovan carries ritualized as remembered_ritual,10,9,True,36217-HRC-03-03,ongoing social memory,False
36217,36217-HRL-03-04,36217-HRC-03-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36217,36217-HRL-03-05,36217-HRC-03-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,needs_maintenance,Tovan carries useful_practice as needs_maintenance,10,8,True,36217-HRC-03-05,ongoing social memory,False
36217,36217-HRL-03-06,36217-HRC-03-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Nia carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36231,36231-HRL-01-01,36231-HRC-01-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,still_disputed,Ari carries disputed as still_disputed,10,10,True,none,ongoing social memory,False
36231,36231-HRL-01-02,36231-HRC-01-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Fay carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36231,36231-HRL-01-03,36231-HRC-01-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Milo carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36231,36231-HRL-01-04,36231-HRC-01-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36231,36231-HRL-01-05,36231-HRC-01-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Milo carries ritualized as remembered_ritual,10,9,True,36231-HRC-01-05,ongoing social memory,False
36231,36231-HRL-01-06,36231-HRC-01-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,still_disputed,Sera carries disputed as still_disputed,10,10,True,none,ongoing social memory,False
36231,36231-HRL-02-01,36231-HRC-02-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Ari carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36231,36231-HRL-02-02,36231-HRC-02-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Fay carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36231,36231-HRL-02-03,36231-HRC-02-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Milo carries taboo as ritual_warning,10,9,True,36231-HRC-02-03,ongoing social memory,False
36231,36231-HRL-02-04,36231-HRC-02-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36231,36231-HRL-02-05,36231-HRC-02-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Milo carries ritualized as remembered_ritual,10,9,True,36231-HRC-02-05,ongoing social memory,False
36231,36231-HRL-02-06,36231-HRC-02-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36231,36231-HRL-03-01,36231-HRC-03-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Ari carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36231,36231-HRL-03-02,36231-HRC-03-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Fay carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36231,36231-HRL-03-03,36231-HRC-03-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Milo carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36231,36231-HRL-03-04,36231-HRC-03-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36231,36231-HRL-03-05,36231-HRC-03-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Milo carries ritualized as remembered_ritual,10,9,True,36231-HRC-03-05,ongoing social memory,False
36231,36231-HRL-03-06,36231-HRC-03-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36247,36247-HRL-01-01,36247-HRC-01-01,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,burdened_ritual,Ari carries ritualized as burdened_ritual,10,9,True,36247-HRC-01-01,ongoing social memory,False
36247,36247-HRL-01-02,36247-HRC-01-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,still_disputed,Fay carries disputed as still_disputed,10,10,True,none,ongoing social memory,False
36247,36247-HRL-01-03,36247-HRC-01-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Milo carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36247,36247-HRL-01-04,36247-HRC-01-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Fay carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36247,36247-HRL-01-05,36247-HRC-01-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Milo carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36247,36247-HRL-01-06,36247-HRC-01-06,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Sera carries ritualized as remembered_ritual,10,9,True,36247-HRC-01-06,ongoing social memory,False
36247,36247-HRL-02-01,36247-HRC-02-01,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,burdened_ritual,Ari carries ritualized as burdened_ritual,10,9,True,36247-HRC-02-01,ongoing social memory,False
36247,36247-HRL-02-02,36247-HRC-02-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36247,36247-HRL-02-03,36247-HRC-02-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Milo carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36247,36247-HRL-02-04,36247-HRC-02-04,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Fay carries taboo as ritual_warning,10,9,True,36247-HRC-02-04,ongoing social memory,False
36247,36247-HRL-02-05,36247-HRC-02-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Milo carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36247,36247-HRL-02-06,36247-HRC-02-06,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Sera carries ritualized as remembered_ritual,10,9,True,36247-HRC-02-06,ongoing social memory,False
36247,36247-HRL-03-01,36247-HRC-03-01,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,burdened_ritual,Ari carries ritualized as burdened_ritual,10,9,True,36247-HRC-03-01,ongoing social memory,False
36247,36247-HRL-03-02,36247-HRC-03-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36247,36247-HRL-03-03,36247-HRC-03-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Milo carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36247,36247-HRL-03-04,36247-HRC-03-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Fay carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36247,36247-HRL-03-05,36247-HRC-03-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Milo carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36247,36247-HRL-03-06,36247-HRC-03-06,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Sera carries ritualized as remembered_ritual,10,9,True,36247-HRC-03-06,ongoing social memory,False
36263,36263-HRL-01-01,36263-HRC-01-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Ari carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36263,36263-HRL-01-02,36263-HRC-01-02,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Fay carries ritualized as remembered_ritual,10,9,True,36263-HRC-01-02,ongoing social memory,False
36263,36263-HRL-01-03,36263-HRC-01-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,still_disputed,Milo carries disputed as still_disputed,10,10,True,none,ongoing social memory,False
36263,36263-HRL-01-04,36263-HRC-01-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Fay carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36263,36263-HRL-01-05,36263-HRC-01-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Milo carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36263,36263-HRL-01-06,36263-HRC-01-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36263,36263-HRL-02-01,36263-HRC-02-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Ari carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36263,36263-HRL-02-02,36263-HRC-02-02,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Fay carries ritualized as remembered_ritual,10,9,True,36263-HRC-02-02,ongoing social memory,False
36263,36263-HRL-02-03,36263-HRC-02-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Milo carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36263,36263-HRL-02-04,36263-HRC-02-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Fay carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36263,36263-HRL-02-05,36263-HRC-02-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Milo carries taboo as ritual_warning,10,9,True,36263-HRC-02-05,ongoing social memory,False
36263,36263-HRL-02-06,36263-HRC-02-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36263,36263-HRL-03-01,36263-HRC-03-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Ari carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36263,36263-HRL-03-02,36263-HRC-03-02,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Fay carries ritualized as remembered_ritual,10,9,True,36263-HRC-03-02,ongoing social memory,False
36263,36263-HRL-03-03,36263-HRC-03-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Milo carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36263,36263-HRL-03-04,36263-HRC-03-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Fay carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36263,36263-HRL-03-05,36263-HRC-03-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Milo carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36263,36263-HRL-03-06,36263-HRC-03-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36281,36281-HRL-01-01,36281-HRC-01-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Milo carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36281,36281-HRL-01-02,36281-HRC-01-02,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Sera carries ritualized as remembered_ritual,10,9,True,36281-HRC-01-02,ongoing social memory,False
36281,36281-HRL-01-03,36281-HRC-01-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,still_disputed,Tovan carries disputed as still_disputed,10,10,True,none,ongoing social memory,False
36281,36281-HRL-01-04,36281-HRC-01-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Sera carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36281,36281-HRL-01-05,36281-HRC-01-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Tovan carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36281,36281-HRL-01-06,36281-HRC-01-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Nia carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36281,36281-HRL-02-01,36281-HRC-02-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Milo carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36281,36281-HRL-02-02,36281-HRC-02-02,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Sera carries ritualized as remembered_ritual,10,9,True,36281-HRC-02-02,ongoing social memory,False
36281,36281-HRL-02-03,36281-HRC-02-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Tovan carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36281,36281-HRL-02-04,36281-HRC-02-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Sera carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36281,36281-HRL-02-05,36281-HRC-02-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Tovan carries taboo as ritual_warning,10,9,True,36281-HRC-02-05,ongoing social memory,False
36281,36281-HRL-02-06,36281-HRC-02-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Nia carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36281,36281-HRL-03-01,36281-HRC-03-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Milo carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36281,36281-HRL-03-02,36281-HRC-03-02,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Sera carries ritualized as remembered_ritual,10,9,True,36281-HRC-03-02,ongoing social memory,False
36281,36281-HRL-03-03,36281-HRC-03-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Tovan carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36281,36281-HRL-03-04,36281-HRC-03-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Sera carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36281,36281-HRL-03-05,36281-HRC-03-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Tovan carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36281,36281-HRL-03-06,36281-HRC-03-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Nia carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36307,36307-HRL-01-01,36307-HRC-01-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Ari carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36307,36307-HRL-01-02,36307-HRC-01-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36307,36307-HRL-01-03,36307-HRC-01-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Milo carries ritualized as remembered_ritual,10,9,True,36307-HRC-01-03,ongoing social memory,False
36307,36307-HRL-01-04,36307-HRC-01-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,still_disputed,Fay carries disputed as still_disputed,10,10,True,none,ongoing social memory,False
36307,36307-HRL-01-05,36307-HRC-01-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Milo carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36307,36307-HRL-01-06,36307-HRC-01-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Sera carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36307,36307-HRL-02-01,36307-HRC-02-01,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Ari carries taboo as ritual_warning,10,9,True,36307-HRC-02-01,ongoing social memory,False
36307,36307-HRL-02-02,36307-HRC-02-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36307,36307-HRL-02-03,36307-HRC-02-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Milo carries ritualized as remembered_ritual,10,9,True,36307-HRC-02-03,ongoing social memory,False
36307,36307-HRL-02-04,36307-HRC-02-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36307,36307-HRL-02-05,36307-HRC-02-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,needs_maintenance,Milo carries useful_practice as needs_maintenance,10,8,True,36307-HRC-02-05,ongoing social memory,False
36307,36307-HRL-02-06,36307-HRC-02-06,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Sera carries taboo as ritual_warning,10,9,True,36307-HRC-02-06,ongoing social memory,False
36307,36307-HRL-03-01,36307-HRC-03-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Ari carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36307,36307-HRL-03-02,36307-HRC-03-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36307,36307-HRL-03-03,36307-HRC-03-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Milo carries ritualized as remembered_ritual,10,9,True,36307-HRC-03-03,ongoing social memory,False
36307,36307-HRL-03-04,36307-HRC-03-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Fay carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36307,36307-HRL-03-05,36307-HRC-03-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,needs_maintenance,Milo carries useful_practice as needs_maintenance,10,8,True,36307-HRC-03-05,ongoing social memory,False
36307,36307-HRL-03-06,36307-HRC-03-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Sera carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36319,36319-HRL-01-01,36319-HRC-01-01,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,burdened_ritual,Milo carries ritualized as burdened_ritual,10,9,True,36319-HRC-01-01,ongoing social memory,False
36319,36319-HRL-01-02,36319-HRC-01-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,still_disputed,Sera carries disputed as still_disputed,10,10,True,none,ongoing social memory,False
36319,36319-HRL-01-03,36319-HRC-01-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Tovan carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36319,36319-HRL-01-04,36319-HRC-01-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Sera carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36319,36319-HRL-01-05,36319-HRC-01-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Tovan carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36319,36319-HRL-01-06,36319-HRC-01-06,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Nia carries ritualized as remembered_ritual,10,9,True,36319-HRC-01-06,ongoing social memory,False
