tick_id,day,agent,route_id,public_memory_key,remembered_route_choice,remembered_forecast_revision,remembered_avatar_task,remembered_drill,remembered_reload_recovery,private_workspace_sealed,replay_pointer
11,1,Juno,central_repair_ring,v30:Juno:central_repair_ring:day1,outer bell path,rev:1 risk:0.46,tasks:0,score:0.28,recovery:0.56,True,replay:11:central_repair_ring
12,1,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day1,river ford,rev:1 risk:0.38,tasks:0,score:0.28,recovery:0.67,True,replay:12:riverbend_roofward
13,1,Fay,roofward_archive,v30:Fay:roofward_archive:day1,glass stair,rev:1 risk:0.39,tasks:0,score:0.28,recovery:0.64,True,replay:13:roofward_archive
14,1,Nia,archive_signal,v30:Nia:archive_signal:day1,paper lane,rev:2 risk:0.46,tasks:0,score:0.28,recovery:0.63,True,replay:14:archive_signal
15,1,Milo,signal_orchard,v30:Milo:signal_orchard:day1,dusk road,rev:1 risk:0.45,tasks:0,score:0.28,recovery:0.60,True,replay:15:signal_orchard
16,2,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day2,fen track,rev:2 risk:0.51,tasks:0,score:0.28,recovery:0.59,True,replay:16:orchard_riverbend
17,2,Juno,central_repair_ring,v30:Juno:central_repair_ring:day2,outer bell path,rev:1 risk:0.45,tasks:0,score:0.28,recovery:0.58,True,replay:17:central_repair_ring
18,2,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day2,river ford,rev:1 risk:0.40,tasks:0,score:0.28,recovery:0.67,True,replay:18:riverbend_roofward
19,2,Fay,roofward_archive,v30:Fay:roofward_archive:day2,glass stair,rev:1 risk:0.43,tasks:0,score:0.28,recovery:0.64,True,replay:19:roofward_archive
20,2,Nia,archive_signal,v30:Nia:archive_signal:day2,paper lane,rev:2 risk:0.44,tasks:0,score:0.28,recovery:0.63,True,replay:20:archive_signal
21,2,Milo,signal_orchard,v30:Milo:signal_orchard:day2,river lantern loop,rev:1 risk:0.45,tasks:0,score:0.28,recovery:0.61,True,replay:21:signal_orchard
22,2,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day2,fen track,rev:2 risk:0.51,tasks:0,score:0.28,recovery:0.59,True,replay:22:orchard_riverbend
23,2,Juno,central_repair_ring,v30:Juno:central_repair_ring:day2,outer bell path,rev:1 risk:0.44,tasks:0,score:0.28,recovery:0.59,True,replay:23:central_repair_ring
24,2,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day2,river ford,rev:2 risk:0.46,tasks:0,score:0.28,recovery:0.68,True,replay:24:riverbend_roofward
25,2,Fay,roofward_archive,v30:Fay:roofward_archive:day2,cool archive lane,rev:1 risk:0.44,tasks:0,score:0.28,recovery:0.66,True,replay:25:roofward_archive
26,2,Nia,archive_signal,v30:Nia:archive_signal:day2,paper lane,rev:2 risk:0.42,tasks:0,score:0.28,recovery:0.63,True,replay:26:archive_signal
27,2,Milo,signal_orchard,v30:Milo:signal_orchard:day2,river lantern loop,rev:1 risk:0.44,tasks:0,score:0.28,recovery:0.61,True,replay:27:signal_orchard
28,2,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day2,market plank route,rev:2 risk:0.52,tasks:0,score:0.28,recovery:0.60,True,replay:28:orchard_riverbend
29,2,Juno,central_repair_ring,v30:Juno:central_repair_ring:day2,outer bell path,rev:1 risk:0.46,tasks:0,score:0.28,recovery:0.60,True,replay:29:central_repair_ring
30,2,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day2,river ford,rev:2 risk:0.45,tasks:0,score:0.28,recovery:0.68,True,replay:30:riverbend_roofward
31,2,Fay,roofward_archive,v30:Fay:roofward_archive:day2,cool archive lane,rev:1 risk:0.45,tasks:0,score:0.28,recovery:0.67,True,replay:31:roofward_archive
32,3,Nia,archive_signal,v30:Nia:archive_signal:day3,paper lane,rev:3 risk:0.48,tasks:0,score:0.28,recovery:0.65,True,replay:32:archive_signal
33,3,Milo,signal_orchard,v30:Milo:signal_orchard:day3,dusk road,rev:1 risk:0.42,tasks:0,score:0.28,recovery:0.62,True,replay:33:signal_orchard
34,3,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day3,market plank route,rev:2 risk:0.50,tasks:0,score:0.28,recovery:0.61,True,replay:34:orchard_riverbend
35,3,Juno,central_repair_ring,v30:Juno:central_repair_ring:day3,outer bell path,rev:1 risk:0.48,tasks:0,score:0.28,recovery:0.61,True,replay:35:central_repair_ring
36,3,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day3,river ford,rev:2 risk:0.43,tasks:0,score:0.28,recovery:0.68,True,replay:36:riverbend_roofward
37,3,Fay,roofward_archive,v30:Fay:roofward_archive:day3,cool archive lane,rev:1 risk:0.44,tasks:0,score:0.28,recovery:0.68,True,replay:37:roofward_archive
38,3,Nia,archive_signal,v30:Nia:archive_signal:day3,paper lane,rev:3 risk:0.48,tasks:0,score:0.28,recovery:0.65,True,replay:38:archive_signal
39,3,Milo,signal_orchard,v30:Milo:signal_orchard:day3,dusk road,rev:1 risk:0.46,tasks:0,score:0.28,recovery:0.62,True,replay:39:signal_orchard
40,3,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day3,market plank route,rev:3 risk:0.46,tasks:0,score:0.28,recovery:0.63,True,replay:40:orchard_riverbend
41,3,Juno,central_repair_ring,v30:Juno:central_repair_ring:day3,outer bell path,rev:1 risk:0.47,tasks:0,score:0.28,recovery:0.62,True,replay:41:central_repair_ring
42,3,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day3,river ford,rev:2 risk:0.45,tasks:0,score:0.28,recovery:0.69,True,replay:42:riverbend_roofward
43,3,Fay,roofward_archive,v30:Fay:roofward_archive:day3,cool archive lane,rev:1 risk:0.43,tasks:0,score:0.28,recovery:0.68,True,replay:43:roofward_archive
44,3,Nia,archive_signal,v30:Nia:archive_signal:day3,paper lane,rev:3 risk:0.49,tasks:0,score:0.28,recovery:0.65,True,replay:44:archive_signal
45,3,Milo,signal_orchard,v30:Milo:signal_orchard:day3,river lantern loop,rev:1 risk:0.47,tasks:0,score:0.28,recovery:0.63,True,replay:45:signal_orchard
46,3,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day3,market plank route,rev:3 risk:0.43,tasks:0,score:0.28,recovery:0.64,True,replay:46:orchard_riverbend
47,3,Juno,central_repair_ring,v30:Juno:central_repair_ring:day3,outer bell path,rev:1 risk:0.46,tasks:0,score:0.28,recovery:0.64,True,replay:47:central_repair_ring
48,4,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day4,river ford,rev:3 risk:0.51,tasks:0,score:0.28,recovery:0.70,True,replay:48:riverbend_roofward
49,4,Fay,roofward_archive,v30:Fay:roofward_archive:day4,cool archive lane,rev:1 risk:0.45,tasks:0,score:0.28,recovery:0.69,True,replay:49:roofward_archive
50,4,Nia,archive_signal,v30:Nia:archive_signal:day4,paper lane,rev:3 risk:0.47,tasks:0,score:0.28,recovery:0.66,True,replay:50:archive_signal
51,4,Milo,signal_orchard,v30:Milo:signal_orchard:day4,river lantern loop,rev:1 risk:0.48,tasks:0,score:0.28,recovery:0.64,True,replay:51:signal_orchard
52,4,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day4,market plank route,rev:3 risk:0.45,tasks:0,score:0.28,recovery:0.65,True,replay:52:orchard_riverbend
53,4,Juno,central_repair_ring,v30:Juno:central_repair_ring:day4,inner repair yard,rev:1 risk:0.44,tasks:0,score:0.28,recovery:0.64,True,replay:53:central_repair_ring
54,4,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day4,river ford,rev:3 risk:0.50,tasks:0,score:0.28,recovery:0.71,True,replay:54:riverbend_roofward
55,4,Fay,roofward_archive,v30:Fay:roofward_archive:day4,cool archive lane,rev:1 risk:0.47,tasks:0,score:0.28,recovery:0.70,True,replay:55:roofward_archive
56,4,Nia,archive_signal,v30:Nia:archive_signal:day4,paper lane,rev:4 risk:0.40,tasks:0,score:0.28,recovery:0.67,True,replay:56:archive_signal
57,4,Milo,signal_orchard,v30:Milo:signal_orchard:day4,river lantern loop,rev:1 risk:0.47,tasks:0,score:0.28,recovery:0.65,True,replay:57:signal_orchard
58,4,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day4,market plank route,rev:3 risk:0.45,tasks:1,score:0.28,recovery:0.70,True,replay:58:orchard_riverbend
59,4,Juno,central_repair_ring,v30:Juno:central_repair_ring:day4,inner repair yard,rev:1 risk:0.46,tasks:0,score:0.28,recovery:0.65,True,replay:59:central_repair_ring
60,4,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day4,river ford,rev:3 risk:0.50,tasks:0,score:0.28,recovery:0.71,True,replay:60:riverbend_roofward
61,4,Fay,roofward_archive,v30:Fay:roofward_archive:day4,cool archive lane,rev:1 risk:0.48,tasks:0,score:0.28,recovery:0.71,True,replay:61:roofward_archive
62,4,Nia,archive_signal,v30:Nia:archive_signal:day4,paper lane,rev:4 risk:0.43,tasks:1,score:0.28,recovery:0.70,True,replay:62:archive_signal
63,4,Milo,signal_orchard,v30:Milo:signal_orchard:day4,river lantern loop,rev:1 risk:0.45,tasks:0,score:0.28,recovery:0.67,True,replay:63:signal_orchard
64,5,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day5,market plank route,rev:4 risk:0.42,tasks:1,score:0.28,recovery:0.71,True,replay:64:orchard_riverbend
65,5,Juno,central_repair_ring,v30:Juno:central_repair_ring:day5,outer bell path,rev:1 risk:0.46,tasks:0,score:0.28,recovery:0.66,True,replay:65:central_repair_ring
66,5,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day5,river ford,rev:3 risk:0.47,tasks:1,score:0.28,recovery:0.74,True,replay:66:riverbend_roofward
67,5,Fay,roofward_archive,v30:Fay:roofward_archive:day5,cool archive lane,rev:1 risk:0.48,tasks:0,score:0.31,recovery:0.74,True,replay:67:roofward_archive
68,5,Nia,archive_signal,v30:Nia:archive_signal:day5,paper lane,rev:4 risk:0.43,tasks:1,score:0.28,recovery:0.71,True,replay:68:archive_signal
69,5,Milo,signal_orchard,v30:Milo:signal_orchard:day5,river lantern loop,rev:1 risk:0.47,tasks:0,score:0.28,recovery:0.68,True,replay:69:signal_orchard
70,5,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day5,market plank route,rev:4 risk:0.41,tasks:1,score:0.28,recovery:0.72,True,replay:70:orchard_riverbend
71,5,Juno,central_repair_ring,v30:Juno:central_repair_ring:day5,outer bell path,rev:1 risk:0.47,tasks:0,score:0.31,recovery:0.68,True,replay:71:central_repair_ring
72,5,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day5,river ford,rev:4 risk:0.54,tasks:1,score:0.28,recovery:0.75,True,replay:72:riverbend_roofward
73,5,Fay,roofward_archive,v30:Fay:roofward_archive:day5,cool archive lane,rev:1 risk:0.46,tasks:0,score:0.31,recovery:0.75,True,replay:73:roofward_archive
74,5,Nia,archive_signal,v30:Nia:archive_signal:day5,paper lane,rev:4 risk:0.43,tasks:2,score:0.28,recovery:0.74,True,replay:74:archive_signal
75,5,Milo,signal_orchard,v30:Milo:signal_orchard:day5,river lantern loop,rev:1 risk:0.47,tasks:0,score:0.28,recovery:0.70,True,replay:75:signal_orchard
76,5,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day5,market plank route,rev:4 risk:0.41,tasks:1,score:0.28,recovery:0.72,True,replay:76:orchard_riverbend
77,5,Juno,central_repair_ring,v30:Juno:central_repair_ring:day5,inner repair yard,rev:1 risk:0.46,tasks:0,score:0.31,recovery:0.68,True,replay:77:central_repair_ring
78,5,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day5,orchard ridge detour,rev:4 risk:0.54,tasks:2,score:0.28,recovery:0.80,True,replay:78:riverbend_roofward
79,5,Fay,roofward_archive,v30:Fay:roofward_archive:day5,cool archive lane,rev:1 risk:0.44,tasks:0,score:0.31,recovery:0.76,True,replay:79:roofward_archive
80,6,Milo,signal_orchard,v30:Milo:signal_orchard:day6,river lantern loop,rev:2 risk:0.42,tasks:0,score:0.28,recovery:0.71,True,replay:80:signal_orchard
81,6,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day6,fen track,rev:4 risk:0.42,tasks:1,score:0.28,recovery:0.72,True,replay:81:orchard_riverbend
82,6,Juno,central_repair_ring,v30:Juno:central_repair_ring:day6,inner repair yard,rev:1 risk:0.48,tasks:1,score:0.31,recovery:0.71,True,replay:82:central_repair_ring
83,6,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day6,orchard ridge detour,rev:4 risk:0.53,tasks:2,score:0.31,recovery:0.82,True,replay:83:riverbend_roofward
84,6,Fay,roofward_archive,v30:Fay:roofward_archive:day6,cool archive lane,rev:1 risk:0.44,tasks:0,score:0.31,recovery:0.77,True,replay:84:roofward_archive
85,6,Nia,archive_signal,v30:Nia:archive_signal:day6,stone kiosk path,rev:4 risk:0.45,tasks:2,score:0.28,recovery:0.75,True,replay:85:archive_signal
86,6,Milo,signal_orchard,v30:Milo:signal_orchard:day6,river lantern loop,rev:2 risk:0.41,tasks:0,score:0.28,recovery:0.72,True,replay:86:signal_orchard
87,6,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day6,fen track,rev:4 risk:0.44,tasks:1,score:0.31,recovery:0.73,True,replay:87:orchard_riverbend
88,6,Juno,central_repair_ring,v30:Juno:central_repair_ring:day6,inner repair yard,rev:2 risk:0.55,tasks:1,score:0.31,recovery:0.73,True,replay:88:central_repair_ring
89,6,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day6,orchard ridge detour,rev:4 risk:0.51,tasks:2,score:0.31,recovery:0.83,True,replay:89:riverbend_roofward
90,6,Fay,roofward_archive,v30:Fay:roofward_archive:day6,cool archive lane,rev:1 risk:0.44,tasks:0,score:0.31,recovery:0.78,True,replay:90:roofward_archive
91,6,Nia,archive_signal,v30:Nia:archive_signal:day6,stone kiosk path,rev:4 risk:0.46,tasks:2,score:0.28,recovery:0.76,True,replay:91:archive_signal
92,6,Milo,signal_orchard,v30:Milo:signal_orchard:day6,river lantern loop,rev:2 risk:0.41,tasks:0,score:0.28,recovery:0.72,True,replay:92:signal_orchard
93,6,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day6,fen track,rev:4 risk:0.43,tasks:1,score:0.31,recovery:0.74,True,replay:93:orchard_riverbend
94,6,Juno,central_repair_ring,v30:Juno:central_repair_ring:day6,outer bell path,rev:2 risk:0.54,tasks:2,score:0.31,recovery:0.77,True,replay:94:central_repair_ring
95,6,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day6,orchard ridge detour,rev:4 risk:0.48,tasks:2,score:0.31,recovery:0.85,True,replay:95:riverbend_roofward
96,7,Fay,roofward_archive,v30:Fay:roofward_archive:day7,cool archive lane,rev:2 risk:0.39,tasks:0,score:0.31,recovery:0.80,True,replay:96:roofward_archive
97,7,Nia,archive_signal,v30:Nia:archive_signal:day7,stone kiosk path,rev:4 risk:0.46,tasks:2,score:0.28,recovery:0.77,True,replay:97:archive_signal
98,7,Milo,signal_orchard,v30:Milo:signal_orchard:day7,river lantern loop,rev:2 risk:0.43,tasks:1,score:0.28,recovery:0.76,True,replay:98:signal_orchard
99,7,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day7,fen track,rev:4 risk:0.43,tasks:1,score:0.34,recovery:0.76,True,replay:99:orchard_riverbend
100,7,Juno,central_repair_ring,v30:Juno:central_repair_ring:day7,outer bell path,rev:3 risk:0.49,tasks:2,score:0.31,recovery:0.80,True,replay:100:central_repair_ring
101,7,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day7,orchard ridge detour,rev:4 risk:0.48,tasks:2,score:0.31,recovery:0.86,True,replay:101:riverbend_roofward
102,7,Fay,roofward_archive,v30:Fay:roofward_archive:day7,cool archive lane,rev:2 risk:0.38,tasks:0,score:0.31,recovery:0.80,True,replay:102:roofward_archive
103,7,Nia,archive_signal,v30:Nia:archive_signal:day7,stone kiosk path,rev:4 risk:0.47,tasks:2,score:0.31,recovery:0.80,True,replay:103:archive_signal
104,7,Milo,signal_orchard,v30:Milo:signal_orchard:day7,river lantern loop,rev:3 risk:0.48,tasks:1,score:0.28,recovery:0.78,True,replay:104:signal_orchard
105,7,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day7,market plank route,rev:4 risk:0.45,tasks:1,score:0.34,recovery:0.77,True,replay:105:orchard_riverbend
106,7,Juno,central_repair_ring,v30:Juno:central_repair_ring:day7,outer bell path,rev:4 risk:0.45,tasks:3,score:0.31,recovery:0.85,True,replay:106:central_repair_ring
107,7,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day7,orchard ridge detour,rev:4 risk:0.48,tasks:2,score:0.34,recovery:0.89,True,replay:107:riverbend_roofward
108,7,Fay,roofward_archive,v30:Fay:roofward_archive:day7,cool archive lane,rev:2 risk:0.42,tasks:0,score:0.31,recovery:0.80,True,replay:108:roofward_archive
109,7,Nia,archive_signal,v30:Nia:archive_signal:day7,stone kiosk path,rev:4 risk:0.45,tasks:2,score:0.31,recovery:0.81,True,replay:109:archive_signal
110,7,Milo,signal_orchard,v30:Milo:signal_orchard:day7,river lantern loop,rev:3 risk:0.47,tasks:1,score:0.28,recovery:0.79,True,replay:110:signal_orchard
111,7,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day7,market plank route,rev:4 risk:0.46,tasks:1,score:0.34,recovery:0.79,True,replay:111:orchard_riverbend
112,8,Juno,central_repair_ring,v30:Juno:central_repair_ring:day8,outer bell path,rev:5 risk:0.53,tasks:3,score:0.31,recovery:0.88,True,replay:112:central_repair_ring
113,8,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day8,orchard ridge detour,rev:4 risk:0.47,tasks:2,score:0.34,recovery:0.90,True,replay:113:riverbend_roofward
114,8,Fay,roofward_archive,v30:Fay:roofward_archive:day8,cool archive lane,rev:2 risk:0.43,tasks:1,score:0.31,recovery:0.84,True,replay:114:roofward_archive
115,8,Nia,archive_signal,v30:Nia:archive_signal:day8,stone kiosk path,rev:4 risk:0.48,tasks:2,score:0.34,recovery:0.83,True,replay:115:archive_signal
116,8,Milo,signal_orchard,v30:Milo:signal_orchard:day8,river lantern loop,rev:3 risk:0.45,tasks:1,score:0.28,recovery:0.80,True,replay:116:signal_orchard
117,8,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day8,market plank route,rev:5 risk:0.42,tasks:1,score:0.34,recovery:0.80,True,replay:117:orchard_riverbend
118,8,Juno,central_repair_ring,v30:Juno:central_repair_ring:day8,outer bell path,rev:5 risk:0.53,tasks:3,score:0.31,recovery:0.89,True,replay:118:central_repair_ring
119,8,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day8,orchard ridge detour,rev:4 risk:0.47,tasks:2,score:0.34,recovery:0.91,True,replay:119:riverbend_roofward
120,8,Fay,roofward_archive,v30:Fay:roofward_archive:day8,cool archive lane,rev:3 risk:0.49,tasks:1,score:0.31,recovery:0.86,True,replay:120:roofward_archive
121,8,Nia,archive_signal,v30:Nia:archive_signal:day8,paper lane,rev:4 risk:0.49,tasks:2,score:0.34,recovery:0.83,True,replay:121:archive_signal
122,8,Milo,signal_orchard,v30:Milo:signal_orchard:day8,river lantern loop,rev:3 risk:0.43,tasks:2,score:0.28,recovery:0.84,True,replay:122:signal_orchard
123,8,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day8,market plank route,rev:6 risk:0.38,tasks:1,score:0.34,recovery:0.81,True,replay:123:orchard_riverbend
124,8,Juno,central_repair_ring,v30:Juno:central_repair_ring:day8,outer bell path,rev:5 risk:0.54,tasks:3,score:0.31,recovery:0.91,True,replay:124:central_repair_ring
125,8,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day8,orchard ridge detour,rev:4 risk:0.45,tasks:2,score:0.34,recovery:0.92,True,replay:125:riverbend_roofward
126,8,Fay,roofward_archive,v30:Fay:roofward_archive:day8,cool archive lane,rev:3 risk:0.47,tasks:2,score:0.31,recovery:0.91,True,replay:126:roofward_archive
127,8,Nia,archive_signal,v30:Nia:archive_signal:day8,paper lane,rev:4 risk:0.49,tasks:2,score:0.34,recovery:0.84,True,replay:127:archive_signal
128,9,Milo,signal_orchard,v30:Milo:signal_orchard:day9,river lantern loop,rev:4 risk:0.49,tasks:2,score:0.28,recovery:0.87,True,replay:128:signal_orchard
129,9,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day9,fen track,rev:6 risk:0.37,tasks:1,score:0.34,recovery:0.81,True,replay:129:orchard_riverbend
130,9,Juno,central_repair_ring,v30:Juno:central_repair_ring:day9,outer bell path,rev:5 risk:0.52,tasks:3,score:0.31,recovery:0.92,True,replay:130:central_repair_ring
131,9,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day9,orchard ridge detour,rev:4 risk:0.47,tasks:2,score:0.37,recovery:0.94,True,replay:131:riverbend_roofward
132,9,Fay,roofward_archive,v30:Fay:roofward_archive:day9,cool archive lane,rev:3 risk:0.45,tasks:2,score:0.31,recovery:0.92,True,replay:132:roofward_archive
133,9,Nia,archive_signal,v30:Nia:archive_signal:day9,stone kiosk path,rev:4 risk:0.47,tasks:2,score:0.34,recovery:0.85,True,replay:133:archive_signal
134,9,Milo,signal_orchard,v30:Milo:signal_orchard:day9,river lantern loop,rev:5 risk:0.44,tasks:2,score:0.28,recovery:0.89,True,replay:134:signal_orchard
135,9,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day9,fen track,rev:6 risk:0.42,tasks:1,score:0.37,recovery:0.83,True,replay:135:orchard_riverbend
136,9,Juno,central_repair_ring,v30:Juno:central_repair_ring:day9,outer bell path,rev:6 risk:0.47,tasks:3,score:0.31,recovery:0.94,True,replay:136:central_repair_ring
137,9,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day9,orchard ridge detour,rev:4 risk:0.48,tasks:2,score:0.37,recovery:0.94,True,replay:137:riverbend_roofward
138,9,Fay,roofward_archive,v30:Fay:roofward_archive:day9,cool archive lane,rev:3 risk:0.47,tasks:3,score:0.31,recovery:0.94,True,replay:138:roofward_archive
139,9,Nia,archive_signal,v30:Nia:archive_signal:day9,stone kiosk path,rev:4 risk:0.46,tasks:2,score:0.37,recovery:0.88,True,replay:139:archive_signal
140,9,Milo,signal_orchard,v30:Milo:signal_orchard:day9,river lantern loop,rev:6 risk:0.50,tasks:2,score:0.28,recovery:0.91,True,replay:140:signal_orchard
141,9,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day9,fen track,rev:6 risk:0.43,tasks:1,score:0.37,recovery:0.83,True,replay:141:orchard_riverbend
142,9,Juno,central_repair_ring,v30:Juno:central_repair_ring:day9,outer bell path,rev:6 risk:0.45,tasks:4,score:0.31,recovery:0.94,True,replay:142:central_repair_ring
143,9,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day9,orchard ridge detour,rev:4 risk:0.47,tasks:2,score:0.37,recovery:0.94,True,replay:143:riverbend_roofward
144,10,Fay,roofward_archive,v30:Fay:roofward_archive:day10,cool archive lane,rev:4 risk:0.52,tasks:3,score:0.31,recovery:0.94,True,replay:144:roofward_archive
145,10,Nia,archive_signal,v30:Nia:archive_signal:day10,stone kiosk path,rev:4 risk:0.47,tasks:2,score:0.37,recovery:0.88,True,replay:145:archive_signal
146,10,Milo,signal_orchard,v30:Milo:signal_orchard:day10,river lantern loop,rev:6 risk:0.48,tasks:3,score:0.28,recovery:0.94,True,replay:146:signal_orchard
147,10,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day10,fen track,rev:6 risk:0.45,tasks:1,score:0.40,recovery:0.84,True,replay:147:orchard_riverbend
148,10,Juno,central_repair_ring,v30:Juno:central_repair_ring:day10,outer bell path,rev:6 risk:0.46,tasks:4,score:0.31,recovery:0.94,True,replay:148:central_repair_ring
149,10,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day10,orchard ridge detour,rev:4 risk:0.45,tasks:2,score:0.37,recovery:0.94,True,replay:149:riverbend_roofward
150,10,Fay,roofward_archive,v30:Fay:roofward_archive:day10,cool archive lane,rev:4 risk:0.51,tasks:3,score:0.31,recovery:0.94,True,replay:150:roofward_archive
151,10,Nia,archive_signal,v30:Nia:archive_signal:day10,stone kiosk path,rev:5 risk:0.56,tasks:2,score:0.37,recovery:0.90,True,replay:151:archive_signal
152,10,Milo,signal_orchard,v30:Milo:signal_orchard:day10,river lantern loop,rev:7 risk:0.41,tasks:3,score:0.28,recovery:0.94,True,replay:152:signal_orchard
153,10,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day10,fen track,rev:6 risk:0.44,tasks:1,score:0.40,recovery:0.84,True,replay:153:orchard_riverbend
154,10,Juno,central_repair_ring,v30:Juno:central_repair_ring:day10,outer bell path,rev:6 risk:0.46,tasks:5,score:0.31,recovery:0.94,True,replay:154:central_repair_ring
155,10,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day10,orchard ridge detour,rev:4 risk:0.43,tasks:2,score:0.40,recovery:0.94,True,replay:155:riverbend_roofward
156,10,Fay,roofward_archive,v30:Fay:roofward_archive:day10,cool archive lane,rev:4 risk:0.51,tasks:3,score:0.31,recovery:0.94,True,replay:156:roofward_archive
157,10,Nia,archive_signal,v30:Nia:archive_signal:day10,stone kiosk path,rev:6 risk:0.52,tasks:2,score:0.37,recovery:0.92,True,replay:157:archive_signal
158,10,Milo,signal_orchard,v30:Milo:signal_orchard:day10,river lantern loop,rev:7 risk:0.43,tasks:4,score:0.28,recovery:0.94,True,replay:158:signal_orchard
