tick_index,day,agent,public_routine_marker,public_body_affect_marker,public_relationship_marker,private_history_hint,replay_checkpoint,trace_integrity_token
1,1,Ari,day 1 dawn: Ari chooses quiet_route_scan,steady_continuity; sleep_debt=0.28; recovery=0.23,continues_neutral_boundary; trust=0.52; avoid=0.21,history_charge=0.22; autonomy=0.79; reason=relationship state remains bounded,r243-day01-tick001,r243:1:Ari:90bff84411
12,1,Sol,day 1 day: Sol chooses teach_skill,steady_continuity; sleep_debt=0.28; recovery=0.37,approaches_for_shared_task_later; trust=0.57; avoid=0.10,history_charge=0.11; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:12:Sol:04a23551dc
13,1,Ari,day 1 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.35; recovery=0.35,approaches_for_shared_task_later; trust=0.59; avoid=0.13,history_charge=0.14; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:13:Ari:a22b32c9dc
14,1,Fay,day 1 day: Fay chooses work_project,steady_continuity; sleep_debt=0.32; recovery=0.27,shares_private_hint_voluntarily; trust=0.65; avoid=0.15,history_charge=0.17; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:14:Fay:80816b4081
15,1,Milo,day 1 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.38; recovery=0.25,approaches_for_shared_task_later; trust=0.59; avoid=0.18,history_charge=0.19; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:15:Milo:67d76c27b3
16,1,Sol,day 1 day: Sol chooses repair_route,steady_continuity; sleep_debt=0.32; recovery=0.29,continues_neutral_boundary; trust=0.55; avoid=0.13,history_charge=0.15; autonomy=0.74; reason=relationship state remains bounded,no_checkpoint,r243:16:Sol:b3c19a7e32
17,1,Ari,day 1 dusk: Ari chooses relationship_check,steady_continuity; sleep_debt=0.39; recovery=0.27,continues_neutral_boundary; trust=0.57; avoid=0.16,history_charge=0.18; autonomy=0.73; reason=relationship state remains bounded,no_checkpoint,r243:17:Ari:c2eee44fc2
18,1,Fay,day 1 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.32; recovery=0.29,shares_private_hint_voluntarily; trust=0.66; avoid=0.15,history_charge=0.16; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:18:Fay:e20c77c2e3
19,1,Milo,day 1 dusk: Milo chooses hearth_return,steady_continuity; sleep_debt=0.40; recovery=0.30,approaches_for_shared_task_later; trust=0.61; avoid=0.15,history_charge=0.17; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:19:Milo:aefc846bdf
20,1,Sol,day 1 dusk: Sol chooses ritual_hum,steady_continuity; sleep_debt=0.28; recovery=0.39,approaches_for_shared_task_later; trust=0.57; avoid=0.10,history_charge=0.12; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:20:Sol:0504515b55
21,1,Ari,day 1 dusk: Ari chooses ritual_hum,steady_continuity; sleep_debt=0.35; recovery=0.38,approaches_for_shared_task_later; trust=0.60; avoid=0.13,history_charge=0.15; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:21:Ari:8eb97d82e6
22,1,Fay,day 1 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.33; recovery=0.30,shares_private_hint_voluntarily; trust=0.63; avoid=0.18,history_charge=0.18; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:22:Fay:025e38a8ae
23,1,Milo,day 1 dusk: Milo chooses store_objects,steady_continuity; sleep_debt=0.43; recovery=0.33,approaches_for_shared_task_later; trust=0.64; avoid=0.13,history_charge=0.15; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:23:Milo:7768b611f3
24,1,Sol,day 1 dusk: Sol chooses hearth_return,steady_continuity; sleep_debt=0.31; recovery=0.33,continues_neutral_boundary; trust=0.58; avoid=0.10,history_charge=0.10; autonomy=0.84; reason=relationship state remains bounded,no_checkpoint,r243:24:Sol:b52e390256
25,1,Ari,day 1 night: Ari chooses sleep,steady_continuity; sleep_debt=0.19; recovery=0.39,continues_neutral_boundary; trust=0.60; avoid=0.13,history_charge=0.12; autonomy=0.83; reason=relationship state remains bounded,no_checkpoint,r243:25:Ari:abb0b36ada
26,1,Fay,day 1 night: Fay chooses dream_sort_memory,steady_continuity; sleep_debt=0.16; recovery=0.44,approaches_for_shared_task_later; trust=0.66; avoid=0.15,history_charge=0.14; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:26:Fay:137688f4f6
27,1,Milo,day 1 night: Milo chooses guarded_rest,steady_continuity; sleep_debt=0.29; recovery=0.32,continues_neutral_boundary; trust=0.62; avoid=0.16,history_charge=0.18; autonomy=0.72; reason=relationship state remains bounded,no_checkpoint,r243:27:Milo:4fd7e89e67
28,1,Sol,day 1 night: Sol chooses soft_recovery,steady_continuity; sleep_debt=0.14; recovery=0.38,continues_neutral_boundary; trust=0.58; avoid=0.10,history_charge=0.09; autonomy=0.84; reason=relationship state remains bounded,no_checkpoint,r243:28:Sol:671633554c
29,1,Ari,day 1 night: Ari chooses soft_recovery,steady_continuity; sleep_debt=0.02; recovery=0.42,continues_neutral_boundary; trust=0.61; avoid=0.13,history_charge=0.10; autonomy=0.83; reason=relationship state remains bounded,no_checkpoint,r243:29:Ari:88cea4969f
30,1,Fay,day 1 night: Fay chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.50,approaches_for_shared_task_later; trust=0.69; avoid=0.13,history_charge=0.09; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:30:Fay:416b3d8f6e
31,1,Milo,day 1 night: Milo chooses dream_sort_memory,steady_continuity; sleep_debt=0.13; recovery=0.45,approaches_for_shared_task_later; trust=0.64; avoid=0.13,history_charge=0.14; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:31:Milo:55636e9316
32,1,Sol,day 1 night: Sol chooses guarded_rest,steady_continuity; sleep_debt=0.03; recovery=0.36,continues_neutral_boundary; trust=0.56; avoid=0.12,history_charge=0.10; autonomy=0.80; reason=relationship state remains bounded,no_checkpoint,r243:32:Sol:f01dd7eab0
33,2,Ari,day 2 dawn: Ari chooses share_water,steady_continuity; sleep_debt=0.05; recovery=0.42,approaches_for_shared_task_later; trust=0.63; avoid=0.10,history_charge=0.08; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:33:Ari:a6fc789ee7
34,2,Fay,day 2 dawn: Fay chooses wake_check_body,steady_continuity; sleep_debt=0.02; recovery=0.41,shares_private_hint_voluntarily; trust=0.69; avoid=0.12,history_charge=0.07; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:34:Fay:7713758c26
35,2,Milo,day 2 dawn: Milo chooses prepare_tools,steady_continuity; sleep_debt=0.15; recovery=0.44,approaches_for_shared_task_later; trust=0.67; avoid=0.10,history_charge=0.10; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:35:Milo:6dffb50e5c
36,2,Sol,day 2 dawn: Sol chooses quiet_route_scan,steady_continuity; sleep_debt=0.07; recovery=0.28,continues_neutral_boundary; trust=0.54; avoid=0.15,history_charge=0.15; autonomy=0.74; reason=relationship state remains bounded,no_checkpoint,r243:36:Sol:c1788d406a
37,2,Ari,day 2 dawn: Ari chooses quiet_route_scan,steady_continuity; sleep_debt=0.08; recovery=0.32,continues_neutral_boundary; trust=0.61; avoid=0.13,history_charge=0.12; autonomy=0.73; reason=relationship state remains bounded,no_checkpoint,r243:37:Ari:0ff4c2490a
38,2,Fay,day 2 dawn: Fay chooses share_water,steady_continuity; sleep_debt=0.08; recovery=0.31,shares_private_hint_voluntarily; trust=0.70; avoid=0.12,history_charge=0.07; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:38:Fay:d1ae78d63f
39,2,Milo,day 2 dawn: Milo chooses wake_check_body,steady_continuity; sleep_debt=0.17; recovery=0.43,approaches_for_shared_task_later; trust=0.70; avoid=0.08,history_charge=0.07; autonomy=0.82; reason=help became recovery memory,no_checkpoint,r243:39:Milo:de47bc605c
40,2,Sol,day 2 dawn: Sol chooses prepare_tools,steady_continuity; sleep_debt=0.09; recovery=0.32,approaches_for_shared_task_later; trust=0.56; avoid=0.13,history_charge=0.13; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:40:Sol:789f7f49e1
41,2,Ari,day 2 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.10; recovery=0.35,approaches_for_shared_task_later; trust=0.64; avoid=0.10,history_charge=0.09; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:41:Ari:d78f390e30
42,2,Fay,day 2 day: Fay chooses repair_route,steady_continuity; sleep_debt=0.14; recovery=0.25,shares_private_hint_voluntarily; trust=0.67; avoid=0.15,history_charge=0.10; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:42:Fay:622c5d4a3f
43,2,Milo,day 2 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.19; recovery=0.42,approaches_for_shared_task_later; trust=0.73; avoid=0.05,history_charge=0.05; autonomy=0.82; reason=help became recovery memory,no_checkpoint,r243:43:Milo:8a018d16b0
44,2,Sol,day 2 day: Sol chooses work_project,steady_continuity; sleep_debt=0.11; recovery=0.29,continues_neutral_boundary; trust=0.57; avoid=0.12,history_charge=0.12; autonomy=0.84; reason=relationship state remains bounded,no_checkpoint,r243:44:Sol:f20469cf8a
45,2,Ari,day 2 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.13; recovery=0.30,shares_private_hint_voluntarily; trust=0.64; avoid=0.10,history_charge=0.09; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:45:Ari:34a7b939f8
46,2,Fay,day 2 day: Fay chooses market_exchange,steady_continuity; sleep_debt=0.16; recovery=0.30,approaches_for_shared_task_later; trust=0.70; avoid=0.12,history_charge=0.09; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:46:Fay:930c879a2d
47,2,Milo,day 2 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.23; recovery=0.32,shares_private_hint_voluntarily; trust=0.70; avoid=0.08,history_charge=0.09; autonomy=0.72; reason=trust stable across days,no_checkpoint,r243:47:Milo:ccc482ebb0
48,2,Sol,day 2 day: Sol chooses teach_skill,steady_continuity; sleep_debt=0.17; recovery=0.23,continues_neutral_boundary; trust=0.57; avoid=0.12,history_charge=0.13; autonomy=0.84; reason=relationship state remains bounded,no_checkpoint,r243:48:Sol:a554af7e06
49,2,Ari,day 2 dusk: Ari chooses store_objects,steady_continuity; sleep_debt=0.18; recovery=0.24,shares_private_hint_voluntarily; trust=0.65; avoid=0.10,history_charge=0.10; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:49:Ari:7c6f134c32
50,2,Fay,day 2 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.13; recovery=0.40,approaches_for_shared_task_later; trust=0.73; avoid=0.09,history_charge=0.07; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:50:Fay:ac52e57ef1
51,2,Milo,day 2 dusk: Milo chooses ritual_hum,steady_continuity; sleep_debt=0.19; recovery=0.42,approaches_for_shared_task_later; trust=0.73; avoid=0.05,history_charge=0.06; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:51:Milo:50a59bc25a
52,2,Sol,day 2 dusk: Sol chooses relationship_check,steady_continuity; sleep_debt=0.23; recovery=0.19,continues_neutral_boundary; trust=0.55; avoid=0.15,history_charge=0.16; autonomy=0.80; reason=relationship state remains bounded,no_checkpoint,r243:52:Sol:63cf37c62e
53,2,Ari,day 2 dusk: Ari chooses relationship_check,steady_continuity; sleep_debt=0.25; recovery=0.20,shares_private_hint_voluntarily; trust=0.62; avoid=0.12,history_charge=0.13; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:53:Ari:f03ff3d576
54,2,Fay,day 2 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.09; recovery=0.47,approaches_for_shared_task_later; trust=0.75; avoid=0.07,history_charge=0.04; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:54:Fay:1cba9a325f
55,2,Milo,day 2 dusk: Milo chooses hearth_return,steady_continuity; sleep_debt=0.21; recovery=0.35,shares_private_hint_voluntarily; trust=0.73; avoid=0.05,history_charge=0.05; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:55:Milo:f01e765dca
56,2,Sol,day 2 dusk: Sol chooses ritual_hum,steady_continuity; sleep_debt=0.19; recovery=0.33,approaches_for_shared_task_later; trust=0.57; avoid=0.12,history_charge=0.14; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:56:Sol:2c2293f008
57,2,Ari,day 2 night: Ari chooses dream_sort_memory,steady_continuity; sleep_debt=0.08; recovery=0.37,approaches_for_shared_task_later; trust=0.65; avoid=0.10,history_charge=0.10; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:57:Ari:447b05ce96
58,2,Fay,day 2 night: Fay chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.41,shares_private_hint_voluntarily; trust=0.73; avoid=0.09,history_charge=0.07; autonomy=0.71; reason=trust stable across days,no_checkpoint,r243:58:Fay:b6a6e1fff0
59,2,Milo,day 2 night: Milo chooses soft_recovery,steady_continuity; sleep_debt=0.05; recovery=0.39,shares_private_hint_voluntarily; trust=0.74; avoid=0.04,history_charge=0.05; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:59:Milo:a8d5c418b1
60,2,Sol,day 2 night: Sol chooses sleep,steady_continuity; sleep_debt=0.01; recovery=0.42,approaches_for_shared_task_later; trust=0.60; avoid=0.10,history_charge=0.10; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:60:Sol:96d63c3757
61,2,Ari,day 2 night: Ari chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.45,approaches_for_shared_task_later; trust=0.68; avoid=0.07,history_charge=0.07; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:61:Ari:3db514a22b
62,2,Fay,day 2 night: Fay chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.51,approaches_for_shared_task_later; trust=0.76; avoid=0.07,history_charge=0.03; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:62:Fay:78a08a7999
63,2,Milo,day 2 night: Milo chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.36,shares_private_hint_voluntarily; trust=0.72; avoid=0.07,history_charge=0.06; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:63:Milo:1faabd0c55
64,2,Sol,day 2 night: Sol chooses soft_recovery,settled_after_care; sleep_debt=0.00; recovery=0.56,approaches_for_shared_task_later; trust=0.63; avoid=0.07,history_charge=0.06; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:64:Sol:f2f666bed5
65,3,Ari,day 3 dawn: Ari chooses wake_check_body,steady_continuity; sleep_debt=0.02; recovery=0.38,shares_private_hint_voluntarily; trust=0.68; avoid=0.07,history_charge=0.05; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:65:Ari:89fcc53a12
66,3,Fay,day 3 dawn: Fay chooses prepare_tools,steady_continuity; sleep_debt=0.02; recovery=0.48,approaches_for_shared_task_later; trust=0.79; avoid=0.04,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:66:Fay:8d8bdd4761
67,3,Milo,day 3 dawn: Milo chooses quiet_route_scan,steady_continuity; sleep_debt=0.04; recovery=0.28,shares_private_hint_voluntarily; trust=0.69; avoid=0.10,history_charge=0.12; autonomy=0.72; reason=trust stable across days,no_checkpoint,r243:67:Milo:51784d56d9
68,3,Sol,day 3 dawn: Sol chooses quiet_route_scan,steady_continuity; sleep_debt=0.06; recovery=0.41,shares_private_hint_voluntarily; trust=0.63; avoid=0.07,history_charge=0.04; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:68:Sol:30c796d221
69,3,Ari,day 3 dawn: Ari chooses share_water,steady_continuity; sleep_debt=0.08; recovery=0.29,shares_private_hint_voluntarily; trust=0.68; avoid=0.06,history_charge=0.05; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:69:Ari:820e075454
70,3,Fay,day 3 dawn: Fay chooses wake_check_body,steady_continuity; sleep_debt=0.04; recovery=0.46,approaches_for_shared_task_later; trust=0.82; avoid=0.01,history_charge=0.00; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:70:Fay:e2272f377c
71,3,Milo,day 3 dawn: Milo chooses prepare_tools,steady_continuity; sleep_debt=0.06; recovery=0.32,approaches_for_shared_task_later; trust=0.72; avoid=0.07,history_charge=0.10; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:71:Milo:ae5180f1a7
72,3,Sol,day 3 dawn: Sol chooses quiet_route_scan,steady_continuity; sleep_debt=0.12; recovery=0.32,continues_neutral_boundary; trust=0.61; avoid=0.09,history_charge=0.06; autonomy=0.80; reason=relationship state remains bounded,no_checkpoint,r243:72:Sol:b8e6cc3219
73,3,Ari,day 3 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.14; recovery=0.24,shares_private_hint_voluntarily; trust=0.66; avoid=0.09,history_charge=0.08; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:73:Ari:03d5abe00b
74,3,Fay,day 3 day: Fay chooses teach_skill,steady_continuity; sleep_debt=0.06; recovery=0.44,approaches_for_shared_task_later; trust=0.84; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:74:Fay:f5e256ad2a
75,3,Milo,day 3 day: Milo chooses work_project,steady_continuity; sleep_debt=0.08; recovery=0.29,shares_private_hint_voluntarily; trust=0.72; avoid=0.07,history_charge=0.09; autonomy=0.82; reason=trust stable across days,no_checkpoint,r243:75:Milo:57a3215223
76,3,Sol,day 3 day: Sol chooses market_exchange,steady_continuity; sleep_debt=0.14; recovery=0.35,approaches_for_shared_task_later; trust=0.64; avoid=0.07,history_charge=0.05; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:76:Sol:c4f9188bf5
77,3,Ari,day 3 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.16; recovery=0.29,approaches_for_shared_task_later; trust=0.69; avoid=0.07,history_charge=0.07; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:77:Ari:14f45f49ce
78,3,Fay,day 3 day: Fay chooses repair_route,steady_continuity; sleep_debt=0.10; recovery=0.34,shares_private_hint_voluntarily; trust=0.82; avoid=0.03,history_charge=0.04; autonomy=0.71; reason=trust stable across days,no_checkpoint,r243:78:Fay:5eee270548
79,3,Milo,day 3 day: Milo chooses teach_skill,steady_continuity; sleep_debt=0.14; recovery=0.23,shares_private_hint_voluntarily; trust=0.73; avoid=0.07,history_charge=0.10; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:79:Milo:55c99169f7
80,3,Sol,day 3 day: Sol chooses work_project,steady_continuity; sleep_debt=0.16; recovery=0.37,approaches_for_shared_task_later; trust=0.66; avoid=0.04,history_charge=0.04; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:80:Sol:e9156c9e66
81,3,Ari,day 3 dusk: Ari chooses hearth_return,steady_continuity; sleep_debt=0.18; recovery=0.33,approaches_for_shared_task_later; trust=0.71; avoid=0.04,history_charge=0.06; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:81:Ari:a8a095a9d3
82,3,Fay,day 3 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.06; recovery=0.42,approaches_for_shared_task_later; trust=0.85; avoid=0.00,history_charge=0.02; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:82:Fay:7d4dc40f8a
83,3,Milo,day 3 dusk: Milo chooses relationship_check,steady_continuity; sleep_debt=0.20; recovery=0.20,shares_private_hint_voluntarily; trust=0.70; avoid=0.09,history_charge=0.13; autonomy=0.78; reason=trust stable across days,no_checkpoint,r243:83:Milo:50c31d3c5a
84,3,Sol,day 3 dusk: Sol chooses store_objects,steady_continuity; sleep_debt=0.18; recovery=0.38,approaches_for_shared_task_later; trust=0.69; avoid=0.02,history_charge=0.02; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:84:Sol:179e938290
85,3,Ari,day 3 dusk: Ari chooses store_objects,steady_continuity; sleep_debt=0.21; recovery=0.35,approaches_for_shared_task_later; trust=0.74; avoid=0.02,history_charge=0.05; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:85:Ari:947f400a52
86,3,Fay,day 3 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.03; recovery=0.42,shares_private_hint_voluntarily; trust=0.85; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:86:Fay:980c4457e8
87,3,Milo,day 3 dusk: Milo chooses ritual_hum,steady_continuity; sleep_debt=0.16; recovery=0.33,approaches_for_shared_task_later; trust=0.73; avoid=0.07,history_charge=0.11; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:87:Milo:002764c4f7
88,3,Sol,day 3 dusk: Sol chooses relationship_check,steady_continuity; sleep_debt=0.22; recovery=0.29,shares_private_hint_voluntarily; trust=0.67; avoid=0.04,history_charge=0.08; autonomy=0.74; reason=trust stable across days,no_checkpoint,r243:88:Sol:4f57ee3301
89,3,Ari,day 3 night: Ari chooses guarded_rest,steady_continuity; sleep_debt=0.07; recovery=0.33,shares_private_hint_voluntarily; trust=0.72; avoid=0.04,history_charge=0.09; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:89:Ari:e17060fa8d
90,3,Fay,day 3 night: Fay chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.44,shares_private_hint_voluntarily; trust=0.86; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:90:Fay:389df0d997
91,3,Milo,day 3 night: Milo chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.42,approaches_for_shared_task_later; trust=0.76; avoid=0.04,history_charge=0.09; autonomy=0.82; reason=help became recovery memory,no_checkpoint,r243:91:Milo:a447d7b1a8
92,3,Sol,day 3 night: Sol chooses dream_sort_memory,steady_continuity; sleep_debt=0.05; recovery=0.43,approaches_for_shared_task_later; trust=0.69; avoid=0.02,history_charge=0.05; autonomy=0.86; reason=help became recovery memory,r243-day03-tick092,r243:92:Sol:c40e4d822c
93,3,Ari,day 3 night: Ari chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.46,approaches_for_shared_task_later; trust=0.74; avoid=0.02,history_charge=0.05; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:93:Ari:e89f83e81f
94,3,Fay,day 3 night: Fay chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.40,shares_private_hint_voluntarily; trust=0.84; avoid=0.03,history_charge=0.02; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:94:Fay:c2f9595937
95,3,Milo,day 3 night: Milo chooses soft_recovery,settled_after_care; sleep_debt=0.00; recovery=0.56,approaches_for_shared_task_later; trust=0.78; avoid=0.02,history_charge=0.04; autonomy=0.82; reason=help became recovery memory,no_checkpoint,r243:95:Milo:9e5411591e
96,3,Sol,day 3 night: Sol chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.42,shares_private_hint_voluntarily; trust=0.70; avoid=0.01,history_charge=0.02; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:96:Sol:d67962fa16
97,4,Ari,day 4 dawn: Ari chooses prepare_tools,steady_continuity; sleep_debt=0.02; recovery=0.44,approaches_for_shared_task_later; trust=0.77; avoid=0.00,history_charge=0.02; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:97:Ari:2b011817e0
98,4,Fay,day 4 dawn: Fay chooses quiet_route_scan,steady_continuity; sleep_debt=0.04; recovery=0.31,shares_private_hint_voluntarily; trust=0.82; avoid=0.05,history_charge=0.07; autonomy=0.71; reason=trust stable across days,no_checkpoint,r243:98:Fay:62f2661713
99,4,Milo,day 4 dawn: Milo chooses share_water,steady_continuity; sleep_debt=0.06; recovery=0.41,shares_private_hint_voluntarily; trust=0.79; avoid=0.01,history_charge=0.03; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:99:Milo:de1fc2610e
100,4,Sol,day 4 dawn: Sol chooses wake_check_body,steady_continuity; sleep_debt=0.02; recovery=0.42,approaches_for_shared_task_later; trust=0.73; avoid=0.00,history_charge=0.01; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:100:Sol:a5df258b67
101,4,Ari,day 4 dawn: Ari chooses wake_check_body,steady_continuity; sleep_debt=0.04; recovery=0.43,approaches_for_shared_task_later; trust=0.80; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:101:Ari:95067a42c0
