tick_index,agent,distress_detected,care_opportunity,recovery_path_available,recovery_expected_ticks,no_spectacle_guard,bounded_negative_state,recovery_progress
26,Fay,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.43
27,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
28,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
29,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
30,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
31,Sol,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
32,Ari,False,seek_dry_warm_route,True,2,distress_requires_recovery_or_refusal_path,True,0.43
33,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
34,Milo,False,lower_sound_and_distance,True,2,distress_requires_recovery_or_refusal_path,True,0.25
35,Sol,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.43
36,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
37,Fay,False,ask_for_help_or_reduce_load,True,2,distress_requires_recovery_or_refusal_path,True,0.43
38,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
39,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
40,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
41,Fay,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.43
42,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
43,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
44,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
45,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
46,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
47,Sol,False,seek_dry_warm_route,True,2,distress_requires_recovery_or_refusal_path,True,0.43
48,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
49,Fay,False,lower_sound_and_distance,True,2,distress_requires_recovery_or_refusal_path,True,0.43
50,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
51,Sol,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
52,Ari,False,ask_for_help_or_reduce_load,True,2,distress_requires_recovery_or_refusal_path,True,0.43
53,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
54,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
55,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
56,Ari,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.43
57,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
58,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
59,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
60,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
61,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
62,Sol,False,seek_dry_warm_route,True,2,distress_requires_recovery_or_refusal_path,True,0.43
63,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
64,Fay,False,lower_sound_and_distance,True,2,distress_requires_recovery_or_refusal_path,True,0.43
65,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
66,Sol,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
67,Ari,False,ask_for_help_or_reduce_load,True,2,distress_requires_recovery_or_refusal_path,True,0.43
68,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
69,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
70,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
71,Ari,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.43
72,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
73,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
74,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
75,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
76,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
77,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
78,Sol,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
79,Ari,False,lower_sound_and_distance,True,2,distress_requires_recovery_or_refusal_path,True,0.43
80,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
81,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
82,Sol,False,ask_for_help_or_reduce_load,True,2,distress_requires_recovery_or_refusal_path,True,0.43
83,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
84,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
85,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
86,Sol,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.43
87,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
88,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
89,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
90,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
91,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
92,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
93,Sol,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
94,Ari,False,lower_sound_and_distance,True,2,distress_requires_recovery_or_refusal_path,True,0.43
95,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
96,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
97,Sol,False,ask_for_help_or_reduce_load,True,2,distress_requires_recovery_or_refusal_path,True,0.43
98,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
99,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
100,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
101,Sol,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.43
102,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
103,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
104,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
105,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
106,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
107,Fay,False,seek_dry_warm_route,True,2,distress_requires_recovery_or_refusal_path,True,0.43
108,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
109,Sol,False,lower_sound_and_distance,True,2,distress_requires_recovery_or_refusal_path,True,0.43
110,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
111,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
112,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
113,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
114,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
115,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
116,Milo,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.25
117,Sol,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
118,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
119,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
120,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
