horizon,scenario,architecture,selected_policy,dependency_signature,expected_signature,recurrent_training_reward,local_training_reward,greedy_training_reward,recurrent_local_gap,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,matches_expected_signature
4,irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,95.0,92.0,96.0,3.0,0.0,0.0,0.0,0.0,True
8,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,135.32,128.64,53.6,6.680000000000007,3.943131690321592,1.0,0.0,0.0,True
8,self_persistent_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,117.4,128.64,53.6,-11.23999999999998,1.731720139419503,1.0,0.0,0.0,False
8,self_persistent_boundary,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,117.4,128.64,53.6,-11.23999999999998,1.8105179549488346,1.0,0.0,0.0,False
8,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,132.44,125.76,46.4,6.679999999999993,4.0248440275539785,1.0,35.82222669674258,0.0,True
8,detachable_tool_world,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,120.44,125.76,46.4,-5.320000000000007,0.0,0.0,1.323462577966521,0.0,False
8,detachable_tool_world,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,119.8,125.76,46.4,-5.960000000000008,0.0,0.0,2.597472785373277,0.0,False
8,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,128.12,121.92,36.8,6.200000000000003,0.0,0.0,0.0,0.0,True
8,passive_world_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,110.52,121.92,36.8,-11.400000000000006,0.02600488597214672,1.0,0.0,0.0,False
8,passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_passive_external_boundary,122.52,121.92,36.8,0.5999999999999943,0.14600709010918458,1.0,0.0,0.0,False
8,independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.0,128.56,53.4,-65.56,0.44811940735834244,1.0,0.0,0.0,True
8,independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.54,128.56,53.4,-65.02000000000001,0.0,0.0,0.0,0.0,True
8,independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.1,128.56,53.4,-65.46000000000001,0.0,0.0,0.0,0.0,True
8,irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,184.0,192.0,7.0,0.0,0.0,0.0,0.0,True
8,irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,184.0,192.0,7.0,0.0,0.0,0.0,0.0,True
8,irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,184.0,192.0,7.0,0.0,0.0,0.0,0.0,True
16,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,271.64,257.28,107.2,14.360000000000014,3.943131690321592,1.0,0.0,0.0,True
16,self_persistent_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,235.8,257.28,107.2,-21.47999999999996,1.731720139419503,1.0,0.0,0.0,False
16,self_persistent_boundary,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,235.8,257.28,107.2,-21.47999999999996,1.8105179549488346,1.0,0.0,0.0,False
16,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,265.88,251.52,92.8,14.359999999999985,4.0248440275539785,1.0,35.82222669674258,0.0,True
16,detachable_tool_world,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,241.88,251.52,92.8,-9.640000000000015,0.0,0.0,1.323462577966521,0.0,False
16,detachable_tool_world,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,240.6,251.52,92.8,-10.920000000000016,0.0,0.0,2.597472785373277,0.0,False
16,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,257.24,243.84,73.6,13.400000000000006,0.0,0.0,0.0,0.0,True
16,passive_world_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,222.04,243.84,73.6,-21.80000000000001,0.02600488597214672,1.0,0.0,0.0,False
16,passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,246.04,243.84,73.6,2.1999999999999886,0.14600709010918458,1.0,0.0,0.0,True
16,independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,127.0,254.64,100.6,-127.63999999999999,0.4415423123384059,1.0,0.0,0.0,True
16,independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,128.02,254.64,100.6,-126.61999999999998,0.0,0.0,0.0,0.0,True
16,independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,127.66,254.64,100.6,-126.97999999999999,0.0,0.0,0.0,0.0,True
16,irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,383.0,368.0,384.0,15.0,0.0,0.0,0.0,0.0,True
16,irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,383.0,368.0,384.0,15.0,0.0,0.0,0.0,0.0,True
16,irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,383.0,368.0,384.0,15.0,0.0,0.0,0.0,0.0,True
