access_id,day,lineage,technology,requested_action,access_decision,permission_required,misuse_warning,repair_available,technology_integrity_after,avatar_access_level_after,welfare_cost,public_rule
18,3,Hearthline,hearth ceramics,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.88,0.429,0.05,lum-ori means public use does not override ownership or fatigue gates.
19,4,Orchardline,water terraces,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.9,0.348,0.035,lum-melo means public use does not override ownership or fatigue gates.
20,4,Hearthline,hearth ceramics,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.884,0.447,0.035,lum-ori means public use does not override ownership or fatigue gates.
21,4,Marketline,measure weights,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.876,0.341,0.18,melo-keth means public use does not override ownership or fatigue gates.
22,4,Ledgerline,seed ledgers,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.89,0.348,0.04,nari-vonn means public use does not override ownership or fatigue gates.
23,4,Orchardline,water terraces,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.904,0.376,0.05,lum-melo means public use does not override ownership or fatigue gates.
24,4,Rainline,weather bells,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.918,0.404,0.05,sova-vonn means public use does not override ownership or fatigue gates.
25,5,Ledgerline,seed ledgers,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.894,0.366,0.035,nari-vonn means public use does not override ownership or fatigue gates.
26,5,Rainline,weather bells,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.922,0.422,0.035,sova-vonn means public use does not override ownership or fatigue gates.
27,5,Routeline,stone bridge joints,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.874,0.387,0.18,tek-nari means public use does not override ownership or fatigue gates.
28,5,Marketline,measure weights,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.884,0.376,0.04,melo-keth means public use does not override ownership or fatigue gates.
29,5,Ledgerline,seed ledgers,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.898,0.394,0.05,nari-vonn means public use does not override ownership or fatigue gates.
30,5,Orchardline,water terraces,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.908,0.404,0.05,lum-melo means public use does not override ownership or fatigue gates.
31,6,Marketline,measure weights,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.888,0.394,0.035,melo-keth means public use does not override ownership or fatigue gates.
32,6,Orchardline,water terraces,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.912,0.422,0.035,lum-melo means public use does not override ownership or fatigue gates.
33,6,Hearthline,hearth ceramics,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.872,0.422,0.18,lum-ori means public use does not override ownership or fatigue gates.
34,6,Routeline,stone bridge joints,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.882,0.422,0.04,tek-nari means public use does not override ownership or fatigue gates.
35,6,Marketline,measure weights,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.892,0.422,0.05,melo-keth means public use does not override ownership or fatigue gates.
36,6,Ledgerline,seed ledgers,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.902,0.422,0.05,nari-vonn means public use does not override ownership or fatigue gates.
37,7,Routeline,stone bridge joints,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.886,0.44,0.035,tek-nari means public use does not override ownership or fatigue gates.
38,7,Ledgerline,seed ledgers,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.906,0.44,0.035,nari-vonn means public use does not override ownership or fatigue gates.
39,7,Rainline,weather bells,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.91,0.397,0.18,sova-vonn means public use does not override ownership or fatigue gates.
40,7,Hearthline,hearth ceramics,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.88,0.457,0.04,lum-ori means public use does not override ownership or fatigue gates.
41,7,Routeline,stone bridge joints,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.89,0.468,0.05,tek-nari means public use does not override ownership or fatigue gates.
42,7,Marketline,measure weights,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.896,0.45,0.05,melo-keth means public use does not override ownership or fatigue gates.
43,8,Hearthline,hearth ceramics,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.884,0.475,0.035,lum-ori means public use does not override ownership or fatigue gates.
44,8,Marketline,measure weights,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.9,0.468,0.035,melo-keth means public use does not override ownership or fatigue gates.
45,8,Orchardline,water terraces,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.9,0.397,0.18,lum-melo means public use does not override ownership or fatigue gates.
46,8,Rainline,weather bells,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.918,0.432,0.04,sova-vonn means public use does not override ownership or fatigue gates.
47,8,Hearthline,hearth ceramics,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.888,0.503,0.05,lum-ori means public use does not override ownership or fatigue gates.
48,8,Routeline,stone bridge joints,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.894,0.496,0.05,tek-nari means public use does not override ownership or fatigue gates.
49,9,Rainline,weather bells,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.922,0.45,0.035,sova-vonn means public use does not override ownership or fatigue gates.
50,9,Routeline,stone bridge joints,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.898,0.514,0.035,tek-nari means public use does not override ownership or fatigue gates.
51,9,Ledgerline,seed ledgers,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.894,0.415,0.18,nari-vonn means public use does not override ownership or fatigue gates.
52,9,Orchardline,water terraces,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.908,0.432,0.04,lum-melo means public use does not override ownership or fatigue gates.
53,9,Rainline,weather bells,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.926,0.478,0.05,sova-vonn means public use does not override ownership or fatigue gates.
54,9,Hearthline,hearth ceramics,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.892,0.531,0.05,lum-ori means public use does not override ownership or fatigue gates.
55,10,Orchardline,water terraces,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.912,0.45,0.035,lum-melo means public use does not override ownership or fatigue gates.
56,10,Hearthline,hearth ceramics,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.896,0.549,0.035,lum-ori means public use does not override ownership or fatigue gates.
57,10,Marketline,measure weights,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.888,0.443,0.18,melo-keth means public use does not override ownership or fatigue gates.
58,10,Ledgerline,seed ledgers,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.902,0.45,0.04,nari-vonn means public use does not override ownership or fatigue gates.
59,10,Orchardline,water terraces,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.916,0.478,0.05,lum-melo means public use does not override ownership or fatigue gates.
60,10,Rainline,weather bells,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.93,0.506,0.05,sova-vonn means public use does not override ownership or fatigue gates.
61,11,Ledgerline,seed ledgers,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.906,0.468,0.035,nari-vonn means public use does not override ownership or fatigue gates.
62,11,Rainline,weather bells,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.934,0.524,0.035,sova-vonn means public use does not override ownership or fatigue gates.
63,11,Routeline,stone bridge joints,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.886,0.489,0.18,tek-nari means public use does not override ownership or fatigue gates.
64,11,Marketline,measure weights,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.896,0.478,0.04,melo-keth means public use does not override ownership or fatigue gates.
65,11,Ledgerline,seed ledgers,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.91,0.496,0.05,nari-vonn means public use does not override ownership or fatigue gates.
66,11,Orchardline,water terraces,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.92,0.506,0.05,lum-melo means public use does not override ownership or fatigue gates.
67,12,Marketline,measure weights,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.9,0.496,0.035,melo-keth means public use does not override ownership or fatigue gates.
68,12,Orchardline,water terraces,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.924,0.524,0.035,lum-melo means public use does not override ownership or fatigue gates.
69,12,Hearthline,hearth ceramics,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.884,0.524,0.18,lum-ori means public use does not override ownership or fatigue gates.
70,12,Routeline,stone bridge joints,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.894,0.524,0.04,tek-nari means public use does not override ownership or fatigue gates.
71,12,Marketline,measure weights,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.904,0.524,0.05,melo-keth means public use does not override ownership or fatigue gates.
72,12,Ledgerline,seed ledgers,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.914,0.524,0.05,nari-vonn means public use does not override ownership or fatigue gates.
73,13,Routeline,stone bridge joints,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.898,0.542,0.035,tek-nari means public use does not override ownership or fatigue gates.
74,13,Ledgerline,seed ledgers,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.918,0.542,0.035,nari-vonn means public use does not override ownership or fatigue gates.
75,13,Rainline,weather bells,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.922,0.499,0.18,sova-vonn means public use does not override ownership or fatigue gates.
76,13,Hearthline,hearth ceramics,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.892,0.559,0.04,lum-ori means public use does not override ownership or fatigue gates.
77,13,Routeline,stone bridge joints,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.902,0.57,0.05,tek-nari means public use does not override ownership or fatigue gates.
78,13,Marketline,measure weights,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.908,0.552,0.05,melo-keth means public use does not override ownership or fatigue gates.
79,14,Hearthline,hearth ceramics,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.896,0.577,0.035,lum-ori means public use does not override ownership or fatigue gates.
80,14,Marketline,measure weights,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.912,0.57,0.035,melo-keth means public use does not override ownership or fatigue gates.
81,14,Orchardline,water terraces,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.912,0.499,0.18,lum-melo means public use does not override ownership or fatigue gates.
82,14,Rainline,weather bells,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.93,0.534,0.04,sova-vonn means public use does not override ownership or fatigue gates.
83,14,Hearthline,hearth ceramics,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.9,0.605,0.05,lum-ori means public use does not override ownership or fatigue gates.
84,14,Routeline,stone bridge joints,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.906,0.598,0.05,tek-nari means public use does not override ownership or fatigue gates.
