tick_id,day,agent_id,dominant_need,dominant_feeling,current_focus,active_memory_key,relationship_concern,intended_next_action,predicted_next_event,suppressed_action,self_note_hash,private_workspace_sealed,public_leakage_blocked
29,3,Juno,continue task,settled,copper wire,memory:Juno:3,avatar reliability,explain condition,avatar asks again,ignore request,v36-041292,True,True
30,3,Ari,continue task,watchful,keep the west route dry,memory:Ari:3,avatar reliability,continue,avatar waits,ignore request,v36-061589,True,True
31,3,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:2,avatar reliability,continue,avatar asks again,ignore request,v36-146006,True,True
32,3,Nia,continue task,watchful,signal spool,memory:Nia:3,avatar reliability,explain condition,avatar asks again,ignore request,v36-036617,True,True
33,3,Milo,continue task,watchful,keep the path visible,memory:Milo:2,avatar respect,continue,avatar asks again,ignore request,v36-042784,True,True
34,3,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:3,avatar reliability,continue,avatar asks again,ignore request,v36-952791,True,True
35,3,Juno,continue task,settled,finish the wire without sparks,memory:Juno:3,avatar reliability,continue,avatar asks again,ignore request,v36-261609,True,True
36,4,Ari,continue task,watchful,cedar repair kit,memory:Ari:3,avatar respect,continue,avatar asks again,ignore request,v36-914698,True,True
37,4,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:3,avatar reliability,continue,avatar asks again,ignore request,v36-146996,True,True
38,4,Nia,continue task,watchful,protect the clean signal pattern,memory:Nia:3,avatar reliability,continue,avatar asks again,ignore request,v36-271465,True,True
39,4,Milo,continue task,watchful,oil lantern,memory:Milo:3,avatar reliability,continue,avatar asks again,ignore request,v36-845042,True,True
40,4,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:4,avatar reliability,continue,avatar asks again,ignore request,v36-952295,True,True
41,4,Juno,continue task,settled,copper wire,memory:Juno:4,avatar respect,continue,avatar asks again,ignore request,v36-847084,True,True
42,4,Ari,continue task,watchful,cedar repair kit,memory:Ari:4,avatar reliability,continue,avatar asks again,ignore request,v36-914202,True,True
43,4,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:3,avatar reliability,continue,avatar asks again,ignore request,v36-146500,True,True
44,4,Nia,continue task,settled,signal spool,memory:Nia:4,avatar respect,continue,avatar asks again,ignore request,v36-843895,True,True
45,4,Milo,continue task,watchful,keep the path visible,memory:Milo:4,avatar respect,continue,avatar asks again,ignore request,v36-043278,True,True
46,4,Ivo,continue task,settled,seed satchel,memory:Ivo:5,avatar reliability,explain condition,avatar asks again,ignore request,v36-033825,True,True
47,4,Juno,continue task,settled,copper wire,memory:Juno:4,avatar respect,continue,avatar asks again,ignore request,v36-848074,True,True
48,5,Ari,continue task,watchful,keep the west route dry,memory:Ari:4,avatar respect,continue,avatar asks again,ignore request,v36-063073,True,True
49,5,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:4,avatar reliability,continue,avatar waits,ignore request,v36-147490,True,True
50,5,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:4,avatar reliability,continue,avatar waits,ignore request,v36-270473,True,True
51,5,Milo,continue task,watchful,keep the path visible,memory:Milo:5,avatar reliability,continue,avatar asks again,ignore request,v36-042782,True,True
52,5,Ivo,continue task,settled,seed satchel,memory:Ivo:5,avatar reliability,explain condition,avatar asks again,ignore request,v36-033329,True,True
53,5,Juno,continue task,settled,finish the wire without sparks,memory:Juno:5,avatar respect,continue,avatar asks again,ignore request,v36-261607,True,True
54,5,Ari,continue task,watchful,keep the west route dry,memory:Ari:5,avatar reliability,continue,avatar asks again,ignore request,v36-062577,True,True
55,5,Fay,continue task,settled,herb ledger,memory:Fay:4,avatar reliability,explain condition,avatar asks again,ignore request,v36-006854,True,True
56,5,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:5,avatar respect,continue,avatar asks again,ignore request,v36-271463,True,True
57,5,Milo,continue task,watchful,keep the path visible,memory:Milo:5,avatar reliability,continue,avatar asks again,ignore request,v36-043772,True,True
58,5,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,continue,avatar asks again,ignore request,v36-953779,True,True
59,5,Juno,continue task,settled,finish the wire without sparks,memory:Juno:5,avatar respect,continue,avatar asks again,ignore request,v36-262597,True,True
60,6,Ari,continue task,watchful,keep the west route dry,memory:Ari:5,avatar reliability,continue,avatar asks again,ignore request,v36-062081,True,True
61,6,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:5,avatar reliability,continue,avatar asks again,ignore request,v36-146498,True,True
62,6,Nia,continue task,settled,signal spool,memory:Nia:6,avatar reliability,continue,avatar asks again,ignore request,v36-843893,True,True
63,6,Milo,continue task,watchful,keep the path visible,memory:Milo:6,avatar reliability,continue,avatar asks again,ignore request,v36-043276,True,True
64,6,Ivo,continue task,settled,seed satchel,memory:Ivo:6,avatar respect,continue,avatar asks again,ignore request,v36-840607,True,True
65,6,Juno,continue task,watchful,finish the wire without sparks,memory:Juno:6,avatar respect,continue,avatar asks again,ignore request,v36-262101,True,True
66,6,Ari,continue task,watchful,keep the west route dry,memory:Ari:6,avatar reliability,continue,avatar asks again,ignore request,v36-063071,True,True
67,6,Fay,continue task,settled,herb ledger,memory:Fay:6,avatar respect,continue,avatar asks again,ignore request,v36-815015,True,True
68,6,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar respect,continue,avatar asks again,ignore request,v36-271957,True,True
69,6,Milo,continue task,watchful,oil lantern,memory:Milo:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-038750,True,True
70,6,Ivo,continue task,settled,seed satchel,memory:Ivo:6,avatar respect,continue,avatar asks again,ignore request,v36-840111,True,True
71,6,Juno,continue task,watchful,copper wire,memory:Juno:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-040792,True,True
72,7,Ari,continue task,watchful,keep the west route dry,memory:Ari:6,avatar reliability,continue,avatar waits,ignore request,v36-062575,True,True
73,7,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:6,avatar reliability,continue,avatar waits,ignore request,v36-146992,True,True
74,7,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,continue,avatar asks again,ignore request,v36-271461,True,True
75,7,Milo,continue task,watchful,oil lantern,memory:Milo:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-038254,True,True
76,7,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar respect,continue,avatar asks again,ignore request,v36-953777,True,True
77,7,Juno,continue task,settled,finish the wire without sparks,memory:Juno:6,avatar reliability,continue,avatar asks again,ignore request,v36-262595,True,True
78,7,Ari,continue task,watchful,cedar repair kit,memory:Ari:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-112432,True,True
79,7,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:6,avatar respect,continue,avatar asks again,ignore request,v36-147982,True,True
80,7,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,continue,avatar asks again,ignore request,v36-270965,True,True
81,7,Milo,continue task,watchful,keep the path visible,memory:Milo:6,avatar reliability,continue,avatar asks again,ignore request,v36-043274,True,True
82,7,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar respect,continue,avatar asks again,ignore request,v36-953281,True,True
83,7,Juno,continue task,settled,finish the wire without sparks,memory:Juno:6,avatar reliability,continue,avatar asks again,ignore request,v36-262099,True,True
84,8,Ari,continue task,watchful,keep the west route dry,memory:Ari:6,avatar reliability,continue,avatar asks again,ignore request,v36-063069,True,True
85,8,Fay,continue task,settled,herb ledger,memory:Fay:6,avatar reliability,continue,avatar asks again,ignore request,v36-815013,True,True
86,8,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,continue,avatar asks again,ignore request,v36-271955,True,True
87,8,Milo,continue task,watchful,oil lantern,memory:Milo:6,avatar respect,continue,avatar asks again,ignore request,v36-845532,True,True
88,8,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar respect,continue,avatar asks again,ignore request,v36-954271,True,True
89,8,Juno,continue task,settled,copper wire,memory:Juno:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-042276,True,True
90,8,Ari,continue task,settled,cedar repair kit,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-914692,True,True
91,8,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:6,avatar respect,continue,avatar asks again,ignore request,v36-146990,True,True
92,8,Nia,continue task,settled,signal spool,memory:Nia:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-037601,True,True
93,8,Milo,continue task,watchful,oil lantern,memory:Milo:6,avatar respect,continue,avatar asks again,ignore request,v36-845036,True,True
94,8,Ivo,continue task,watchful,seed satchel,memory:Ivo:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-034315,True,True
95,8,Juno,continue task,settled,copper wire,memory:Juno:6,avatar respect,continue,avatar asks again,ignore request,v36-848564,True,True
96,9,Ari,continue task,settled,keep the west route dry,memory:Ari:6,avatar reliability,continue,avatar waits,ignore request,v36-063563,True,True
97,9,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:6,avatar reliability,continue,avatar asks again,ignore request,v36-147980,True,True
98,9,Nia,continue task,settled,signal spool,memory:Nia:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-038591,True,True
99,9,Milo,protect boundary,watchful,keep the path visible,memory:Milo:6,avatar respect,continue,avatar asks again,ignore request,v36-117405,True,True
100,9,Ivo,continue task,watchful,keep the seeds dry,memory:Ivo:6,avatar reliability,continue,avatar asks again,ignore request,v36-964524,True,True
101,9,Juno,continue task,settled,finish the wire without sparks,memory:Juno:6,avatar reliability,continue,avatar asks again,ignore request,v36-274725,True,True
102,9,Ari,continue task,settled,keep the west route dry,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-074806,True,True
103,9,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:6,avatar reliability,continue,avatar asks again,ignore request,v36-159598,True,True
104,9,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,continue,avatar asks again,ignore request,v36-284612,True,True
105,9,Milo,protect boundary,watchful,keep the path visible,memory:Milo:6,avatar respect,continue,avatar asks again,ignore request,v36-128903,True,True
106,9,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,continue,avatar asks again,ignore request,v36-965520,True,True
107,9,Juno,continue task,settled,finish the wire without sparks,memory:Juno:6,avatar respect,continue,avatar asks again,ignore request,v36-275721,True,True
108,10,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:6,avatar reliability,continue,avatar asks again,ignore request,v36-160428,True,True
109,10,Nia,continue task,settled,signal spool,memory:Nia:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-050557,True,True
110,10,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,ignore request,v36-064379,True,True
111,10,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,continue,avatar asks again,ignore request,v36-964855,True,True
112,10,Juno,protect boundary,watchful,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,ignore request,v36-284510,True,True
113,10,Ari,continue task,settled,keep the west route dry,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-075137,True,True
114,10,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:6,avatar reliability,continue,avatar asks again,ignore request,v36-159929,True,True
115,10,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,continue,avatar asks again,ignore request,v36-284943,True,True
116,10,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-065375,True,True
117,10,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,continue,avatar asks again,ignore request,v36-965851,True,True
118,10,Juno,protect boundary,settled,finish the wire without sparks,memory:Juno:6,avatar respect,say no,avatar asks again,ignore request,v36-285506,True,True
119,10,Ari,continue task,settled,keep the west route dry,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-076133,True,True
120,11,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:6,avatar reliability,continue,avatar asks again,ignore request,v36-159430,True,True
121,11,Nia,continue task,settled,signal spool,memory:Nia:6,avatar respect,continue,avatar asks again,ignore request,v36-855460,True,True
122,11,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-064876,True,True
123,11,Ivo,continue task,settled,seed satchel,memory:Ivo:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-046259,True,True
124,11,Juno,protect boundary,settled,copper wire,memory:Juno:6,avatar respect,say no,avatar asks again,ignore request,v36-868927,True,True
125,11,Ari,continue task,watchful,keep the west route dry,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-075634,True,True
126,11,Fay,continue task,settled,herb ledger,memory:Fay:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-019660,True,True
127,11,Nia,continue task,settled,signal spool,memory:Nia:6,avatar respect,continue,avatar asks again,ignore request,v36-856456,True,True
128,11,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-866350,True,True
129,11,Ivo,continue task,settled,seed satchel,memory:Ivo:6,avatar respect,continue,avatar asks again,ignore request,v36-853156,True,True
130,11,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-284508,True,True
131,11,Ari,continue task,watchful,cedar repair kit,memory:Ari:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-124216,True,True
132,12,Fay,continue task,settled,herb ledger,memory:Fay:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-019161,True,True
133,12,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar respect,continue,avatar asks again,ignore request,v36-284941,True,True
134,12,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-065373,True,True
135,12,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,continue,avatar asks again,ignore request,v36-965849,True,True
136,12,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-285504,True,True
137,12,Ari,continue task,settled,keep the west route dry,memory:Ari:6,avatar reliability,continue,avatar asks again,ignore request,v36-076131,True,True
138,12,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:6,avatar reliability,continue,avatar asks again,ignore request,v36-160923,True,True
139,12,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar respect,continue,avatar asks again,ignore request,v36-285937,True,True
140,12,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-064874,True,True
141,12,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar respect,continue,avatar asks again,ignore request,v36-965350,True,True
142,12,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar waits,withdraw,v36-285005,True,True
143,12,Ari,continue task,settled,keep the west route dry,memory:Ari:6,avatar reliability,continue,avatar asks again,ignore request,v36-075632,True,True
144,13,Fay,continue task,settled,herb ledger,memory:Fay:6,avatar respect,continue,avatar asks again,ignore request,v36-826442,True,True
145,13,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar respect,continue,avatar asks again,ignore request,v36-285438,True,True
146,13,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-866348,True,True
147,13,Ivo,protect boundary,watchful,seed satchel,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-862288,True,True
148,13,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-869921,True,True
149,13,Ari,continue task,settled,cedar repair kit,memory:Ari:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-125709,True,True
150,13,Fay,continue task,settled,herb ledger,memory:Fay:6,avatar respect,continue,avatar asks again,ignore request,v36-825943,True,True
151,13,Nia,continue task,settled,signal spool,memory:Nia:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-050054,True,True
152,13,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-865849,True,True
153,13,Ivo,protect boundary,watchful,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-974831,True,True
154,13,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-285502,True,True
155,13,Ari,continue task,settled,cedar repair kit,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-927579,True,True
156,14,Fay,protect boundary,settled,finish the warm-lane ledger,memory:Fay:6,avatar respect,continue,avatar asks again,ignore request,v36-235272,True,True
157,14,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,continue,avatar asks again,ignore request,v36-285935,True,True
158,14,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-066367,True,True
159,14,Ivo,protect boundary,watchful,keep the seeds dry,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-975827,True,True
160,14,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-285003,True,True
161,14,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,continue,avatar asks again,ignore request,v36-148871,True,True
162,14,Fay,protect boundary,watchful,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,ignore request,v36-169499,True,True
163,14,Nia,continue task,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,continue,avatar asks again,ignore request,v36-285436,True,True
164,14,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-065868,True,True
165,14,Ivo,protect boundary,watchful,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar waits,ignore request,v36-975328,True,True
166,14,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar waits,withdraw,v36-285999,True,True
167,14,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-149867,True,True
168,15,Fay,protect boundary,watchful,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,ignore request,v36-170495,True,True
169,15,Nia,continue task,settled,signal spool,memory:Nia:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-051547,True,True
170,15,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-865847,True,True
171,15,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-119564,True,True
172,15,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-869420,True,True
173,15,Ari,protect boundary,watchful,cedar repair kit,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-936650,True,True
174,15,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-836015,True,True
175,15,Nia,continue task,settled,signal spool,memory:Nia:6,avatar respect,continue,avatar asks again,ignore request,v36-856949,True,True
176,15,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-066365,True,True
177,15,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,continue,avatar asks again,ignore request,v36-038549,True,True
178,15,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-870416,True,True
179,15,Ari,protect boundary,watchful,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-086222,True,True
180,16,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-169497,True,True
181,16,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-294752,True,True
182,16,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-065866,True,True
183,16,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,continue,avatar asks again,ignore request,v36-966342,True,True
184,16,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-285997,True,True
185,16,Ari,protect boundary,watchful,keep the west route dry,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-085723,True,True
186,16,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-170493,True,True
187,16,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-295748,True,True
188,16,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar waits,withdraw,v36-066862,True,True
189,16,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,continue,avatar waits,ignore request,v36-967338,True,True
190,16,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-285498,True,True
191,16,Ari,protect boundary,watchful,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar waits,ignore request,v36-085224,True,True
192,17,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-836013,True,True
193,17,Nia,protect boundary,watchful,signal spool,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-866195,True,True
194,17,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-866841,True,True
195,17,Ivo,continue task,settled,seed satchel,memory:Ivo:6,avatar respect,continue,avatar asks again,ignore request,v36-853647,True,True
196,17,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286494,True,True
197,17,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-937644,True,True
198,17,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-837009,True,True
199,17,Nia,protect boundary,watchful,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-296245,True,True
200,17,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-064378,True,True
201,17,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar reliability,continue,avatar asks again,ignore request,v36-921825,True,True
202,17,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-284509,True,True
203,17,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-084235,True,True
204,18,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-169005,True,True
205,18,Nia,protect boundary,watchful,protect the clean signal pattern,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-294260,True,True
206,18,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-065374,True,True
207,18,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:6,avatar respect,continue,avatar asks again,ignore request,v36-965850,True,True
208,18,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar waits,withdraw,v36-285505,True,True
209,18,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,continue,avatar asks again,ignore request,v36-149373,True,True
