tick_id,day,settlement_id,start_room,target_room,path,path_length,next_room,graph_valid,continuous_progress,saved_path_key
37,4,roofward,warm lane,arrival court,warm lane > glass stair > arrival court,3,glass stair,True,True,ssrm.v40.path.roofward
38,4,archive,stone stacks,spool room,stone stacks > spool room,2,spool room,True,True,ssrm.v40.path.archive
39,4,signal,arrival court,lantern walk,arrival court > mast base > lantern walk,3,mast base,True,True,ssrm.v40.path.signal
40,4,orchard,market plank,satchel shed,market plank > satchel shed,2,satchel shed,True,True,ssrm.v40.path.orchard
41,4,repair_ring,cool corner,cool corner,cool corner,1,cool corner,True,True,ssrm.v40.path.repair_ring
42,4,riverbend,kit alcove,arrival court,kit alcove > dry ridge > plank hall > arrival court,4,dry ridge,True,True,ssrm.v40.path.riverbend
43,4,roofward,glass stair,warm lane,glass stair > warm lane,2,warm lane,True,True,ssrm.v40.path.roofward
44,4,archive,spool room,spool room,spool room,1,spool room,True,True,ssrm.v40.path.archive
45,4,signal,mast base,lantern walk,mast base > lantern walk,2,lantern walk,True,True,ssrm.v40.path.signal
46,4,orchard,satchel shed,satchel shed,satchel shed,1,satchel shed,True,True,ssrm.v40.path.orchard
47,4,repair_ring,cool corner,cool corner,cool corner,1,cool corner,True,True,ssrm.v40.path.repair_ring
48,5,riverbend,dry ridge,arrival court,dry ridge > plank hall > arrival court,3,plank hall,True,True,ssrm.v40.path.riverbend
49,5,roofward,warm lane,glass stair,warm lane > glass stair,2,glass stair,True,True,ssrm.v40.path.roofward
50,5,archive,spool room,spool room,spool room,1,spool room,True,True,ssrm.v40.path.archive
51,5,signal,lantern walk,lantern walk,lantern walk,1,lantern walk,True,True,ssrm.v40.path.signal
52,5,orchard,satchel shed,satchel shed,satchel shed,1,satchel shed,True,True,ssrm.v40.path.orchard
53,5,repair_ring,cool corner,spark lane,cool corner > wire bench > spark lane,3,wire bench,True,True,ssrm.v40.path.repair_ring
54,5,riverbend,plank hall,kit alcove,plank hall > wet crossing > kit alcove,3,wet crossing,True,True,ssrm.v40.path.riverbend
55,5,roofward,glass stair,warm lane,glass stair > warm lane,2,warm lane,True,True,ssrm.v40.path.roofward
56,5,archive,spool room,ink niche,spool room > ink niche,2,ink niche,True,True,ssrm.v40.path.archive
57,5,signal,lantern walk,signal perch,lantern walk > mast base > signal perch,3,mast base,True,True,ssrm.v40.path.signal
58,5,orchard,satchel shed,arrival court,satchel shed > market plank > seed lane > arrival court,4,market plank,True,True,ssrm.v40.path.orchard
59,5,repair_ring,wire bench,wire bench,wire bench,1,wire bench,True,True,ssrm.v40.path.repair_ring
60,6,riverbend,wet crossing,plank hall,wet crossing > plank hall,2,plank hall,True,True,ssrm.v40.path.riverbend
61,6,roofward,warm lane,ledger loft,warm lane > ledger loft,2,ledger loft,True,True,ssrm.v40.path.roofward
62,6,archive,ink niche,ink niche,ink niche,1,ink niche,True,True,ssrm.v40.path.archive
63,6,signal,mast base,lantern walk,mast base > lantern walk,2,lantern walk,True,True,ssrm.v40.path.signal
64,6,orchard,market plank,arrival court,market plank > seed lane > arrival court,3,seed lane,True,True,ssrm.v40.path.orchard
65,6,repair_ring,wire bench,cool corner,wire bench > cool corner,2,cool corner,True,True,ssrm.v40.path.repair_ring
66,6,riverbend,plank hall,kit alcove,plank hall > wet crossing > kit alcove,3,wet crossing,True,True,ssrm.v40.path.riverbend
67,6,roofward,ledger loft,ledger loft,ledger loft,1,ledger loft,True,True,ssrm.v40.path.roofward
68,6,archive,ink niche,memory desk,ink niche > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
69,6,signal,lantern walk,arrival court,lantern walk > mast base > arrival court,3,mast base,True,True,ssrm.v40.path.signal
70,6,orchard,seed lane,arrival court,seed lane > arrival court,2,arrival court,True,True,ssrm.v40.path.orchard
71,6,repair_ring,cool corner,spark lane,cool corner > wire bench > spark lane,3,wire bench,True,True,ssrm.v40.path.repair_ring
72,7,riverbend,wet crossing,wet crossing,wet crossing,1,wet crossing,True,True,ssrm.v40.path.riverbend
73,7,roofward,ledger loft,ledger loft,ledger loft,1,ledger loft,True,True,ssrm.v40.path.roofward
74,7,archive,memory desk,memory desk,memory desk,1,memory desk,True,True,ssrm.v40.path.archive
75,7,signal,mast base,arrival court,mast base > arrival court,2,arrival court,True,True,ssrm.v40.path.signal
76,7,orchard,arrival court,satchel shed,arrival court > seed lane > mud row > satchel shed,4,seed lane,True,True,ssrm.v40.path.orchard
77,7,repair_ring,wire bench,spark lane,wire bench > spark lane,2,spark lane,True,True,ssrm.v40.path.repair_ring
78,7,riverbend,wet crossing,dry ridge,wet crossing > plank hall > dry ridge,3,plank hall,True,True,ssrm.v40.path.riverbend
79,7,roofward,ledger loft,glass stair,ledger loft > warm lane > glass stair,3,warm lane,True,True,ssrm.v40.path.roofward
80,7,archive,memory desk,arrival court,memory desk > stone stacks > arrival court,3,stone stacks,True,True,ssrm.v40.path.archive
81,7,signal,arrival court,mast base,arrival court > mast base,2,mast base,True,True,ssrm.v40.path.signal
82,7,orchard,seed lane,mud row,seed lane > mud row,2,mud row,True,True,ssrm.v40.path.orchard
83,7,repair_ring,spark lane,cool corner,spark lane > wire bench > cool corner,3,wire bench,True,True,ssrm.v40.path.repair_ring
84,8,roofward,warm lane,ledger loft,warm lane > ledger loft,2,ledger loft,True,True,ssrm.v40.path.roofward
85,8,archive,stone stacks,memory desk,stone stacks > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
86,8,signal,mast base,arrival court,mast base > arrival court,2,arrival court,True,True,ssrm.v40.path.signal
87,8,orchard,mud row,satchel shed,mud row > satchel shed,2,satchel shed,True,True,ssrm.v40.path.orchard
88,8,repair_ring,wire bench,spark lane,wire bench > spark lane,2,spark lane,True,True,ssrm.v40.path.repair_ring
89,8,riverbend,plank hall,dry ridge,plank hall > dry ridge,2,dry ridge,True,True,ssrm.v40.path.riverbend
90,8,roofward,ledger loft,glass stair,ledger loft > warm lane > glass stair,3,warm lane,True,True,ssrm.v40.path.roofward
91,8,archive,memory desk,arrival court,memory desk > stone stacks > arrival court,3,stone stacks,True,True,ssrm.v40.path.archive
92,8,signal,arrival court,mast base,arrival court > mast base,2,mast base,True,True,ssrm.v40.path.signal
93,8,orchard,satchel shed,mud row,satchel shed > mud row,2,mud row,True,True,ssrm.v40.path.orchard
94,8,repair_ring,spark lane,cool corner,spark lane > wire bench > cool corner,3,wire bench,True,True,ssrm.v40.path.repair_ring
95,8,riverbend,dry ridge,kit alcove,dry ridge > kit alcove,2,kit alcove,True,True,ssrm.v40.path.riverbend
96,9,roofward,warm lane,sun sill,warm lane > sun sill,2,sun sill,True,True,ssrm.v40.path.roofward
97,9,archive,stone stacks,memory desk,stone stacks > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
98,9,signal,mast base,mast base,mast base,1,mast base,True,True,ssrm.v40.path.signal
99,9,orchard,mud row,satchel shed,mud row > satchel shed,2,satchel shed,True,True,ssrm.v40.path.orchard
100,9,repair_ring,wire bench,bell alcove,wire bench > spark lane > bell alcove,3,spark lane,True,True,ssrm.v40.path.repair_ring
101,9,riverbend,kit alcove,kit alcove,kit alcove,1,kit alcove,True,True,ssrm.v40.path.riverbend
102,9,roofward,sun sill,warm lane,sun sill > warm lane,2,warm lane,True,True,ssrm.v40.path.roofward
103,9,archive,memory desk,stone stacks,memory desk > stone stacks,2,stone stacks,True,True,ssrm.v40.path.archive
104,9,signal,mast base,lens room,mast base > lantern walk > lens room,3,lantern walk,True,True,ssrm.v40.path.signal
105,9,orchard,satchel shed,market plank,satchel shed > market plank,2,market plank,True,True,ssrm.v40.path.orchard
106,9,repair_ring,spark lane,cool corner,spark lane > wire bench > cool corner,3,wire bench,True,True,ssrm.v40.path.repair_ring
107,9,riverbend,kit alcove,arrival court,kit alcove > dry ridge > plank hall > arrival court,4,dry ridge,True,True,ssrm.v40.path.riverbend
108,10,roofward,warm lane,warm lane,warm lane,1,warm lane,True,True,ssrm.v40.path.roofward
109,10,archive,stone stacks,stone stacks,stone stacks,1,stone stacks,True,True,ssrm.v40.path.archive
110,10,signal,lantern walk,mast base,lantern walk > mast base,2,mast base,True,True,ssrm.v40.path.signal
111,10,orchard,market plank,market plank,market plank,1,market plank,True,True,ssrm.v40.path.orchard
112,10,repair_ring,wire bench,cool corner,wire bench > cool corner,2,cool corner,True,True,ssrm.v40.path.repair_ring
113,10,riverbend,dry ridge,kit alcove,dry ridge > kit alcove,2,kit alcove,True,True,ssrm.v40.path.riverbend
114,10,roofward,warm lane,glass stair,warm lane > glass stair,2,glass stair,True,True,ssrm.v40.path.roofward
115,10,archive,stone stacks,spool room,stone stacks > spool room,2,spool room,True,True,ssrm.v40.path.archive
116,10,signal,mast base,lens room,mast base > lantern walk > lens room,3,lantern walk,True,True,ssrm.v40.path.signal
117,10,orchard,market plank,satchel shed,market plank > satchel shed,2,satchel shed,True,True,ssrm.v40.path.orchard
118,10,repair_ring,cool corner,arrival court,cool corner > wire bench > arrival court,3,wire bench,True,True,ssrm.v40.path.repair_ring
119,10,riverbend,kit alcove,plank hall,kit alcove > dry ridge > plank hall,3,dry ridge,True,True,ssrm.v40.path.riverbend
120,11,roofward,glass stair,warm lane,glass stair > warm lane,2,warm lane,True,True,ssrm.v40.path.roofward
121,11,archive,spool room,spool room,spool room,1,spool room,True,True,ssrm.v40.path.archive
122,11,signal,lantern walk,lantern walk,lantern walk,1,lantern walk,True,True,ssrm.v40.path.signal
123,11,orchard,satchel shed,satchel shed,satchel shed,1,satchel shed,True,True,ssrm.v40.path.orchard
124,11,repair_ring,wire bench,spark lane,wire bench > spark lane,2,spark lane,True,True,ssrm.v40.path.repair_ring
125,11,riverbend,dry ridge,kit alcove,dry ridge > kit alcove,2,kit alcove,True,True,ssrm.v40.path.riverbend
126,11,roofward,warm lane,warm lane,warm lane,1,warm lane,True,True,ssrm.v40.path.roofward
127,11,archive,spool room,ink niche,spool room > ink niche,2,ink niche,True,True,ssrm.v40.path.archive
128,11,signal,lantern walk,signal perch,lantern walk > mast base > signal perch,3,mast base,True,True,ssrm.v40.path.signal
129,11,orchard,satchel shed,satchel shed,satchel shed,1,satchel shed,True,True,ssrm.v40.path.orchard
130,11,repair_ring,spark lane,wire bench,spark lane > wire bench,2,wire bench,True,True,ssrm.v40.path.repair_ring
131,11,riverbend,kit alcove,wet crossing,kit alcove > wet crossing,2,wet crossing,True,True,ssrm.v40.path.riverbend
132,12,roofward,warm lane,warm lane,warm lane,1,warm lane,True,True,ssrm.v40.path.roofward
133,12,archive,ink niche,spool room,ink niche > spool room,2,spool room,True,True,ssrm.v40.path.archive
134,12,signal,mast base,signal perch,mast base > signal perch,2,signal perch,True,True,ssrm.v40.path.signal
135,12,orchard,satchel shed,arrival court,satchel shed > market plank > seed lane > arrival court,4,market plank,True,True,ssrm.v40.path.orchard
136,12,repair_ring,wire bench,wire bench,wire bench,1,wire bench,True,True,ssrm.v40.path.repair_ring
137,12,riverbend,wet crossing,wet crossing,wet crossing,1,wet crossing,True,True,ssrm.v40.path.riverbend
138,12,roofward,warm lane,ledger loft,warm lane > ledger loft,2,ledger loft,True,True,ssrm.v40.path.roofward
139,12,archive,spool room,memory desk,spool room > stone stacks > memory desk,3,stone stacks,True,True,ssrm.v40.path.archive
140,12,signal,signal perch,lantern walk,signal perch > lens room > lantern walk,3,lens room,True,True,ssrm.v40.path.signal
141,12,orchard,market plank,seed lane,market plank > seed lane,2,seed lane,True,True,ssrm.v40.path.orchard
142,12,repair_ring,wire bench,cool corner,wire bench > cool corner,2,cool corner,True,True,ssrm.v40.path.repair_ring
143,12,riverbend,wet crossing,kit alcove,wet crossing > kit alcove,2,kit alcove,True,True,ssrm.v40.path.riverbend
144,13,roofward,ledger loft,ledger loft,ledger loft,1,ledger loft,True,True,ssrm.v40.path.roofward
145,13,archive,stone stacks,memory desk,stone stacks > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
146,13,signal,lens room,arrival court,lens room > lantern walk > mast base > arrival court,4,lantern walk,True,True,ssrm.v40.path.signal
147,13,orchard,seed lane,satchel shed,seed lane > mud row > satchel shed,3,mud row,True,True,ssrm.v40.path.orchard
148,13,repair_ring,cool corner,spark lane,cool corner > wire bench > spark lane,3,wire bench,True,True,ssrm.v40.path.repair_ring
149,13,riverbend,kit alcove,dry ridge,kit alcove > dry ridge,2,dry ridge,True,True,ssrm.v40.path.riverbend
150,13,roofward,ledger loft,glass stair,ledger loft > warm lane > glass stair,3,warm lane,True,True,ssrm.v40.path.roofward
151,13,archive,memory desk,arrival court,memory desk > stone stacks > arrival court,3,stone stacks,True,True,ssrm.v40.path.archive
152,13,signal,lantern walk,lantern walk,lantern walk,1,lantern walk,True,True,ssrm.v40.path.signal
153,13,orchard,mud row,mud row,mud row,1,mud row,True,True,ssrm.v40.path.orchard
154,13,repair_ring,wire bench,cool corner,wire bench > cool corner,2,cool corner,True,True,ssrm.v40.path.repair_ring
155,13,riverbend,dry ridge,kit alcove,dry ridge > kit alcove,2,kit alcove,True,True,ssrm.v40.path.riverbend
156,14,roofward,warm lane,ledger loft,warm lane > ledger loft,2,ledger loft,True,True,ssrm.v40.path.roofward
157,14,archive,stone stacks,arrival court,stone stacks > arrival court,2,arrival court,True,True,ssrm.v40.path.archive
158,14,signal,lantern walk,mast base,lantern walk > mast base,2,mast base,True,True,ssrm.v40.path.signal
159,14,orchard,mud row,mud row,mud row,1,mud row,True,True,ssrm.v40.path.orchard
160,14,repair_ring,cool corner,cool corner,cool corner,1,cool corner,True,True,ssrm.v40.path.repair_ring
161,14,riverbend,kit alcove,kit alcove,kit alcove,1,kit alcove,True,True,ssrm.v40.path.riverbend
162,14,roofward,ledger loft,arrival court,ledger loft > warm lane > glass stair > arrival court,4,warm lane,True,True,ssrm.v40.path.roofward
163,14,archive,arrival court,memory desk,arrival court > stone stacks > memory desk,3,stone stacks,True,True,ssrm.v40.path.archive
164,14,signal,mast base,lantern walk,mast base > lantern walk,2,lantern walk,True,True,ssrm.v40.path.signal
165,14,orchard,mud row,arrival court,mud row > seed lane > arrival court,3,seed lane,True,True,ssrm.v40.path.orchard
166,14,repair_ring,cool corner,cool corner,cool corner,1,cool corner,True,True,ssrm.v40.path.repair_ring
167,14,riverbend,kit alcove,arrival court,kit alcove > dry ridge > plank hall > arrival court,4,dry ridge,True,True,ssrm.v40.path.riverbend
168,15,roofward,warm lane,warm lane,warm lane,1,warm lane,True,True,ssrm.v40.path.roofward
169,15,archive,stone stacks,stone stacks,stone stacks,1,stone stacks,True,True,ssrm.v40.path.archive
170,15,signal,lantern walk,mast base,lantern walk > mast base,2,mast base,True,True,ssrm.v40.path.signal
171,15,orchard,seed lane,market plank,seed lane > market plank,2,market plank,True,True,ssrm.v40.path.orchard
172,15,repair_ring,cool corner,cool corner,cool corner,1,cool corner,True,True,ssrm.v40.path.repair_ring
173,15,riverbend,dry ridge,kit alcove,dry ridge > kit alcove,2,kit alcove,True,True,ssrm.v40.path.riverbend
174,15,roofward,warm lane,glass stair,warm lane > glass stair,2,glass stair,True,True,ssrm.v40.path.roofward
175,15,archive,stone stacks,memory desk,stone stacks > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
176,15,signal,mast base,lens room,mast base > lantern walk > lens room,3,lantern walk,True,True,ssrm.v40.path.signal
177,15,orchard,market plank,satchel shed,market plank > satchel shed,2,satchel shed,True,True,ssrm.v40.path.orchard
178,15,repair_ring,cool corner,arrival court,cool corner > wire bench > arrival court,3,wire bench,True,True,ssrm.v40.path.repair_ring
179,15,riverbend,kit alcove,plank hall,kit alcove > dry ridge > plank hall,3,dry ridge,True,True,ssrm.v40.path.riverbend
180,16,archive,memory desk,stone stacks,memory desk > stone stacks,2,stone stacks,True,True,ssrm.v40.path.archive
181,16,signal,lantern walk,mast base,lantern walk > mast base,2,mast base,True,True,ssrm.v40.path.signal
182,16,orchard,satchel shed,market plank,satchel shed > market plank,2,market plank,True,True,ssrm.v40.path.orchard
183,16,repair_ring,wire bench,cool corner,wire bench > cool corner,2,cool corner,True,True,ssrm.v40.path.repair_ring
184,16,riverbend,dry ridge,kit alcove,dry ridge > kit alcove,2,kit alcove,True,True,ssrm.v40.path.riverbend
185,16,roofward,glass stair,glass stair,glass stair,1,glass stair,True,True,ssrm.v40.path.roofward
186,16,archive,stone stacks,memory desk,stone stacks > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
187,16,signal,mast base,lens room,mast base > lantern walk > lens room,3,lantern walk,True,True,ssrm.v40.path.signal
188,16,orchard,market plank,satchel shed,market plank > satchel shed,2,satchel shed,True,True,ssrm.v40.path.orchard
189,16,repair_ring,cool corner,arrival court,cool corner > wire bench > arrival court,3,wire bench,True,True,ssrm.v40.path.repair_ring
190,16,riverbend,kit alcove,plank hall,kit alcove > dry ridge > plank hall,3,dry ridge,True,True,ssrm.v40.path.riverbend
191,16,roofward,glass stair,warm lane,glass stair > warm lane,2,warm lane,True,True,ssrm.v40.path.roofward
192,17,archive,memory desk,spool room,memory desk > ink niche > spool room,3,ink niche,True,True,ssrm.v40.path.archive
193,17,signal,lantern walk,lens room,lantern walk > lens room,2,lens room,True,True,ssrm.v40.path.signal
194,17,orchard,satchel shed,satchel shed,satchel shed,1,satchel shed,True,True,ssrm.v40.path.orchard
195,17,repair_ring,wire bench,arrival court,wire bench > arrival court,2,arrival court,True,True,ssrm.v40.path.repair_ring
196,17,riverbend,dry ridge,plank hall,dry ridge > plank hall,2,plank hall,True,True,ssrm.v40.path.riverbend
197,17,roofward,warm lane,warm lane,warm lane,1,warm lane,True,True,ssrm.v40.path.roofward
198,17,archive,ink niche,ink niche,ink niche,1,ink niche,True,True,ssrm.v40.path.archive
199,17,signal,lens room,lens room,lens room,1,lens room,True,True,ssrm.v40.path.signal
200,17,orchard,satchel shed,arrival court,satchel shed > market plank > seed lane > arrival court,4,market plank,True,True,ssrm.v40.path.orchard
201,17,repair_ring,arrival court,wire bench,arrival court > wire bench,2,wire bench,True,True,ssrm.v40.path.repair_ring
202,17,riverbend,plank hall,arrival court,plank hall > arrival court,2,arrival court,True,True,ssrm.v40.path.riverbend
203,17,roofward,warm lane,ledger loft,warm lane > ledger loft,2,ledger loft,True,True,ssrm.v40.path.roofward
204,18,archive,ink niche,spool room,ink niche > spool room,2,spool room,True,True,ssrm.v40.path.archive
205,18,signal,lens room,signal perch,lens room > signal perch,2,signal perch,True,True,ssrm.v40.path.signal
206,18,orchard,market plank,satchel shed,market plank > satchel shed,2,satchel shed,True,True,ssrm.v40.path.orchard
207,18,repair_ring,wire bench,wire bench,wire bench,1,wire bench,True,True,ssrm.v40.path.repair_ring
208,18,riverbend,arrival court,wet crossing,arrival court > plank hall > wet crossing,3,plank hall,True,True,ssrm.v40.path.riverbend
209,18,roofward,ledger loft,warm lane,ledger loft > warm lane,2,warm lane,True,True,ssrm.v40.path.roofward
210,18,archive,spool room,memory desk,spool room > stone stacks > memory desk,3,stone stacks,True,True,ssrm.v40.path.archive
211,18,signal,signal perch,lantern walk,signal perch > lens room > lantern walk,3,lens room,True,True,ssrm.v40.path.signal
212,18,orchard,satchel shed,seed lane,satchel shed > market plank > seed lane,3,market plank,True,True,ssrm.v40.path.orchard
213,18,repair_ring,wire bench,cool corner,wire bench > cool corner,2,cool corner,True,True,ssrm.v40.path.repair_ring
214,18,riverbend,plank hall,kit alcove,plank hall > wet crossing > kit alcove,3,wet crossing,True,True,ssrm.v40.path.riverbend
215,18,roofward,warm lane,sun sill,warm lane > sun sill,2,sun sill,True,True,ssrm.v40.path.roofward
216,19,archive,stone stacks,memory desk,stone stacks > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
217,19,signal,lens room,lantern walk,lens room > lantern walk,2,lantern walk,True,True,ssrm.v40.path.signal
218,19,orchard,market plank,seed lane,market plank > seed lane,2,seed lane,True,True,ssrm.v40.path.orchard
219,19,repair_ring,cool corner,spark lane,cool corner > wire bench > spark lane,3,wire bench,True,True,ssrm.v40.path.repair_ring
220,19,riverbend,wet crossing,kit alcove,wet crossing > kit alcove,2,kit alcove,True,True,ssrm.v40.path.riverbend
221,19,roofward,sun sill,sun sill,sun sill,1,sun sill,True,True,ssrm.v40.path.roofward
222,19,archive,memory desk,ink niche,memory desk > ink niche,2,ink niche,True,True,ssrm.v40.path.archive
223,19,signal,lantern walk,mast base,lantern walk > mast base,2,mast base,True,True,ssrm.v40.path.signal
224,19,orchard,seed lane,mud row,seed lane > mud row,2,mud row,True,True,ssrm.v40.path.orchard
225,19,repair_ring,wire bench,bell alcove,wire bench > spark lane > bell alcove,3,spark lane,True,True,ssrm.v40.path.repair_ring
226,19,riverbend,kit alcove,kit alcove,kit alcove,1,kit alcove,True,True,ssrm.v40.path.riverbend
227,19,roofward,sun sill,arrival court,sun sill > warm lane > glass stair > arrival court,4,warm lane,True,True,ssrm.v40.path.roofward
228,20,archive,ink niche,arrival court,ink niche > spool room > stone stacks > arrival court,4,spool room,True,True,ssrm.v40.path.archive
229,20,signal,mast base,lantern walk,mast base > lantern walk,2,lantern walk,True,True,ssrm.v40.path.signal
230,20,orchard,mud row,mud row,mud row,1,mud row,True,True,ssrm.v40.path.orchard
231,20,repair_ring,spark lane,cool corner,spark lane > wire bench > cool corner,3,wire bench,True,True,ssrm.v40.path.repair_ring
232,20,riverbend,kit alcove,kit alcove,kit alcove,1,kit alcove,True,True,ssrm.v40.path.riverbend
233,20,roofward,warm lane,arrival court,warm lane > glass stair > arrival court,3,glass stair,True,True,ssrm.v40.path.roofward
234,20,archive,spool room,memory desk,spool room > stone stacks > memory desk,3,stone stacks,True,True,ssrm.v40.path.archive
235,20,signal,lantern walk,lantern walk,lantern walk,1,lantern walk,True,True,ssrm.v40.path.signal
236,20,orchard,mud row,market plank,mud row > seed lane > market plank,3,seed lane,True,True,ssrm.v40.path.orchard
237,20,repair_ring,wire bench,cool corner,wire bench > cool corner,2,cool corner,True,True,ssrm.v40.path.repair_ring
238,20,riverbend,kit alcove,arrival court,kit alcove > dry ridge > plank hall > arrival court,4,dry ridge,True,True,ssrm.v40.path.riverbend
239,20,roofward,glass stair,arrival court,glass stair > arrival court,2,arrival court,True,True,ssrm.v40.path.roofward
240,21,archive,stone stacks,memory desk,stone stacks > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
241,21,signal,lantern walk,lantern walk,lantern walk,1,lantern walk,True,True,ssrm.v40.path.signal
242,21,orchard,seed lane,seed lane,seed lane,1,seed lane,True,True,ssrm.v40.path.orchard
243,21,repair_ring,cool corner,cool corner,cool corner,1,cool corner,True,True,ssrm.v40.path.repair_ring
244,21,riverbend,dry ridge,arrival court,dry ridge > plank hall > arrival court,3,plank hall,True,True,ssrm.v40.path.riverbend
245,21,roofward,arrival court,warm lane,arrival court > glass stair > warm lane,3,glass stair,True,True,ssrm.v40.path.roofward
246,21,archive,memory desk,spool room,memory desk > ink niche > spool room,3,ink niche,True,True,ssrm.v40.path.archive
247,21,signal,lantern walk,lens room,lantern walk > lens room,2,lens room,True,True,ssrm.v40.path.signal
248,21,orchard,seed lane,satchel shed,seed lane > mud row > satchel shed,3,mud row,True,True,ssrm.v40.path.orchard
249,21,repair_ring,cool corner,cool corner,cool corner,1,cool corner,True,True,ssrm.v40.path.repair_ring
250,21,riverbend,plank hall,plank hall,plank hall,1,plank hall,True,True,ssrm.v40.path.riverbend
251,21,roofward,glass stair,warm lane,glass stair > warm lane,2,warm lane,True,True,ssrm.v40.path.roofward
252,22,archive,ink niche,memory desk,ink niche > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
253,22,signal,lens room,lens room,lens room,1,lens room,True,True,ssrm.v40.path.signal
