tick_id,day,route_id,probe_kind,state_before_hash,state_after_hash,restored_route_choice,restored_forecast_revision,restored_recovery,restored_avatar_tasks,persistence_ok
66,5,riverbend_roofward,none,v30-532852,v30-472989,river ford,3,0.738,1,True
67,5,roofward_archive,none,v30-587849,v30-526231,cool archive lane,1,0.738,0,True
68,5,archive_signal,none,v30-473947,v30-415769,paper lane,4,0.706,1,True
69,5,signal_orchard,none,v30-573870,v30-518291,river lantern loop,1,0.684,0,True
70,5,orchard_riverbend,none,v30-620552,v30-557433,market plank route,4,0.716,1,True
71,5,central_repair_ring,none,v30-606784,v30-541770,outer bell path,1,0.682,0,True
72,5,riverbend_roofward,none,v30-533587,v30-465977,river ford,4,0.75,1,True
73,5,roofward_archive,none,v30-588411,v30-518832,cool archive lane,1,0.75,0,True
74,5,archive_signal,none,v30-474192,v30-415989,paper lane,4,0.736,2,True
75,5,signal_orchard,none,v30-580806,v30-518415,river lantern loop,1,0.696,0,True
76,5,orchard_riverbend,none,v30-620952,v30-558211,market plank route,4,0.718,1,True
77,5,central_repair_ring,none,v30-604670,v30-570151,inner repair yard,1,0.684,0,True
78,5,riverbend_roofward,none,v30-526568,v30-600299,orchard ridge detour,4,0.798,2,True
79,5,roofward_archive,restore,v30-582650,v30-526744,cool archive lane,1,0.758,0,True
80,6,signal_orchard,reload,v30-581000,v30-517046,river lantern loop,2,0.714,0,True
81,6,orchard_riverbend,none,v30-621406,v30-434815,fen track,4,0.72,1,True
82,6,central_repair_ring,none,v30-634181,v30-569153,inner repair yard,1,0.714,1,True
83,6,riverbend_roofward,none,v30-664682,v30-598351,orchard ridge detour,4,0.822,2,True
84,6,roofward_archive,none,v30-589109,v30-519259,cool archive lane,1,0.77,0,True
85,6,archive_signal,none,v30-475102,v30-490813,stone kiosk path,4,0.748,2,True
86,6,signal_orchard,none,v30-580189,v30-517818,river lantern loop,2,0.716,0,True
87,6,orchard_riverbend,none,v30-487335,v30-441969,fen track,4,0.734,1,True
88,6,central_repair_ring,none,v30-626750,v30-570190,inner repair yard,2,0.726,1,True
89,6,riverbend_roofward,none,v30-664463,v30-599268,orchard ridge detour,4,0.834,2,True
90,6,roofward_archive,none,v30-581155,v30-525750,cool archive lane,1,0.782,0,True
91,6,archive_signal,none,v30-551291,v30-483574,stone kiosk path,4,0.76,2,True
92,6,signal_orchard,none,v30-579547,v30-517815,river lantern loop,2,0.718,0,True
93,6,orchard_riverbend,restore,v30-501218,v30-441587,fen track,4,0.742,1,True
94,6,central_repair_ring,none,v30-627051,v30-542845,outer bell path,2,0.774,2,True
95,6,riverbend_roofward,restore,v30-664877,v30-599007,orchard ridge detour,4,0.852,2,True
96,7,roofward_archive,reload,v30-589215,v30-512554,cool archive lane,2,0.8,0,True
97,7,archive_signal,none,v30-544772,v30-490689,stone kiosk path,4,0.772,2,True
98,7,signal_orchard,none,v30-580612,v30-518713,river lantern loop,2,0.756,1,True
99,7,orchard_riverbend,none,v30-502203,v30-442712,fen track,4,0.756,1,True
100,7,central_repair_ring,none,v30-613784,v30-551097,outer bell path,3,0.796,2,True
101,7,riverbend_roofward,none,v30-673447,v30-607448,orchard ridge detour,4,0.864,2,True
102,7,roofward_archive,none,v30-581657,v30-532960,cool archive lane,2,0.802,0,True
103,7,archive_signal,none,v30-559496,v30-498642,stone kiosk path,4,0.796,2,True
104,7,signal_orchard,none,v30-588177,v30-526767,river lantern loop,3,0.778,1,True
105,7,orchard_riverbend,none,v30-510310,v30-567022,market plank route,4,0.768,1,True
106,7,central_repair_ring,none,v30-615141,v30-551224,outer bell path,4,0.854,3,True
107,7,riverbend_roofward,none,v30-672909,v30-608778,orchard ridge detour,4,0.888,2,True
108,7,roofward_archive,none,v30-596667,v30-533742,cool archive lane,2,0.804,0,True
109,7,archive_signal,none,v30-561603,v30-498409,stone kiosk path,4,0.808,2,True
110,7,signal_orchard,none,v30-573760,v30-519364,river lantern loop,3,0.79,1,True
111,7,orchard_riverbend,restore,v30-629685,v30-566758,market plank route,4,0.786,1,True
112,8,central_repair_ring,reload,v30-614308,v30-551215,outer bell path,5,0.882,3,True
113,8,riverbend_roofward,none,v30-672969,v30-593237,orchard ridge detour,4,0.9,2,True
114,8,roofward_archive,none,v30-595901,v30-533868,cool archive lane,2,0.842,1,True
115,8,archive_signal,none,v30-561042,v30-497763,stone kiosk path,4,0.832,2,True
116,8,signal_orchard,none,v30-581920,v30-525484,river lantern loop,3,0.802,1,True
117,8,orchard_riverbend,none,v30-631395,v30-567801,market plank route,5,0.798,1,True
118,8,central_repair_ring,none,v30-615511,v30-552129,outer bell path,5,0.894,3,True
119,8,riverbend_roofward,none,v30-656786,v30-607423,orchard ridge detour,4,0.912,2,True
120,8,roofward_archive,none,v30-596032,v30-534248,cool archive lane,3,0.864,1,True
121,8,archive_signal,none,v30-553097,v30-422878,paper lane,4,0.834,2,True
122,8,signal_orchard,none,v30-588129,v30-519241,river lantern loop,3,0.84,2,True
123,8,orchard_riverbend,none,v30-630626,v30-559182,market plank route,6,0.81,1,True
124,8,central_repair_ring,restore,v30-614734,v30-550694,outer bell path,5,0.912,3,True
125,8,riverbend_roofward,none,v30-672332,v30-607565,orchard ridge detour,4,0.924,2,True
126,8,roofward_archive,none,v30-597757,v30-534125,cool archive lane,3,0.912,2,True
127,8,archive_signal,restore,v30-482974,v30-423278,paper lane,4,0.842,2,True
128,9,signal_orchard,reload,v30-582820,v30-527540,river lantern loop,4,0.868,2,True
129,9,orchard_riverbend,none,v30-622830,v30-449414,fen track,6,0.812,1,True
130,9,central_repair_ring,none,v30-613362,v30-550824,outer bell path,5,0.924,3,True
131,9,riverbend_roofward,none,v30-673041,v30-600377,orchard ridge detour,4,0.94,2,True
132,9,roofward_archive,none,v30-597588,v30-534252,cool archive lane,3,0.924,2,True
133,9,archive_signal,none,v30-475393,v30-498267,stone kiosk path,4,0.854,2,True
134,9,signal_orchard,none,v30-590392,v30-520387,river lantern loop,5,0.89,2,True
135,9,orchard_riverbend,none,v30-508683,v30-449766,fen track,6,0.826,1,True
136,9,central_repair_ring,none,v30-614947,v30-544744,outer bell path,6,0.94,3,True
137,9,riverbend_roofward,none,v30-665292,v30-600899,orchard ridge detour,4,0.94,2,True
138,9,roofward_archive,none,v30-598148,v30-528229,cool archive lane,3,0.94,3,True
139,9,archive_signal,none,v30-560419,v30-499549,stone kiosk path,4,0.878,2,True
140,9,signal_orchard,none,v30-582305,v30-525975,river lantern loop,6,0.912,2,True
141,9,orchard_riverbend,none,v30-508076,v30-449750,fen track,6,0.828,1,True
142,9,central_repair_ring,none,v30-607452,v30-544614,outer bell path,6,0.94,4,True
143,9,riverbend_roofward,restore,v30-665833,v30-600637,orchard ridge detour,4,0.94,2,True
144,10,roofward_archive,reload,v30-583039,v30-528091,cool archive lane,4,0.94,3,True
145,10,archive_signal,none,v30-561864,v30-498905,stone kiosk path,4,0.884,2,True
146,10,signal_orchard,none,v30-588663,v30-520387,river lantern loop,6,0.94,3,True
147,10,orchard_riverbend,none,v30-508850,v30-449778,fen track,6,0.842,1,True
148,10,central_repair_ring,none,v30-607307,v30-545136,outer bell path,6,0.94,4,True
149,10,riverbend_roofward,none,v30-666096,v30-601159,orchard ridge detour,4,0.94,2,True
150,10,roofward_archive,none,v30-589900,v30-527829,cool archive lane,4,0.94,3,True
151,10,archive_signal,none,v30-560029,v30-499144,stone kiosk path,5,0.896,2,True
152,10,signal_orchard,none,v30-582429,v30-520248,river lantern loop,7,0.94,3,True
153,10,orchard_riverbend,none,v30-510038,v30-449762,fen track,6,0.844,1,True
154,10,central_repair_ring,none,v30-608098,v30-545006,outer bell path,6,0.94,5,True
155,10,riverbend_roofward,restore,v30-664210,v30-600897,orchard ridge detour,4,0.94,2,True
156,10,roofward_archive,none,v30-589377,v30-528351,cool archive lane,4,0.94,3,True
157,10,archive_signal,none,v30-554715,v30-499158,stone kiosk path,6,0.918,2,True
158,10,signal_orchard,none,v30-582581,v30-520900,river lantern loop,7,0.94,4,True
159,10,orchard_riverbend,restore,v30-510097,v30-450160,fen track,6,0.852,1,True
160,11,central_repair_ring,reload,v30-608361,v30-544869,outer bell path,7,0.94,5,True
161,11,riverbend_roofward,none,v30-664750,v30-600635,orchard ridge detour,4,0.94,2,True
162,11,roofward_archive,none,v30-589897,v30-528344,cool archive lane,5,0.94,4,True
163,11,archive_signal,none,v30-560173,v30-491988,stone kiosk path,6,0.94,2,True
164,11,signal_orchard,none,v30-581289,v30-520638,river lantern loop,7,0.94,4,True
165,11,orchard_riverbend,none,v30-509944,v30-450144,fen track,6,0.854,1,True
166,11,central_repair_ring,none,v30-608125,v30-545391,outer bell path,7,0.94,5,True
167,11,riverbend_roofward,none,v30-666496,v30-601157,orchard ridge detour,4,0.94,2,True
168,11,roofward_archive,none,v30-590683,v30-528990,cool archive lane,6,0.94,4,True
169,11,archive_signal,none,v30-554367,v30-492510,stone kiosk path,6,0.94,2,True
170,11,signal_orchard,none,v30-582040,v30-520376,river lantern loop,7,0.94,4,True
171,11,orchard_riverbend,none,v30-508938,v30-450496,fen track,6,0.868,1,True
172,11,central_repair_ring,none,v30-599643,v30-545129,outer bell path,7,0.94,5,True
173,11,riverbend_roofward,none,v30-665565,v30-600895,orchard ridge detour,4,0.94,2,True
174,11,roofward_archive,none,v30-590953,v30-528859,cool archive lane,6,0.94,5,True
175,11,archive_signal,restore,v30-551693,v30-492248,stone kiosk path,6,0.94,2,True
176,12,orchard_riverbend,reload,v30-509666,v30-451046,fen track,7,0.886,1,True
177,12,central_repair_ring,none,v30-600873,v30-573297,inner repair yard,7,0.94,5,True
178,12,riverbend_roofward,none,v30-666680,v30-601595,orchard ridge detour,5,0.94,3,True
179,12,roofward_archive,none,v30-591397,v30-529294,cool archive lane,6,0.94,5,True
180,12,archive_signal,none,v30-552105,v30-491899,stone kiosk path,6,0.94,2,True
181,12,signal_orchard,none,v30-568285,v30-520549,river lantern loop,7,0.94,4,True
182,12,orchard_riverbend,none,v30-510768,v30-451030,fen track,7,0.888,1,True
183,12,central_repair_ring,none,v30-636156,v30-573035,inner repair yard,7,0.94,5,True
184,12,riverbend_roofward,none,v30-665471,v30-601462,orchard ridge detour,6,0.94,3,True
185,12,roofward_archive,none,v30-592297,v30-529032,cool archive lane,6,0.94,5,True
186,12,archive_signal,restore,v30-554043,v30-492549,stone kiosk path,6,0.94,3,True
187,12,signal_orchard,none,v30-583265,v30-521071,river lantern loop,7,0.94,4,True
188,12,orchard_riverbend,none,v30-512290,v30-444613,fen track,7,0.89,1,True
189,12,central_repair_ring,none,v30-637478,v30-573557,inner repair yard,7,0.94,5,True
190,12,riverbend_roofward,none,v30-663995,v30-601329,orchard ridge detour,7,0.94,3,True
191,12,roofward_archive,restore,v30-592298,v30-528770,cool archive lane,6,0.94,5,True
192,13,archive_signal,reload,v30-538896,v30-492408,stone kiosk path,7,0.94,3,True
193,13,signal_orchard,none,v30-582614,v30-520809,river lantern loop,7,0.94,4,True
194,13,orchard_riverbend,none,v30-503317,v30-443742,fen track,7,0.92,2,True
195,13,central_repair_ring,none,v30-637084,v30-573295,inner repair yard,7,0.94,5,True
196,13,riverbend_roofward,none,v30-665742,v30-601851,orchard ridge detour,7,0.94,3,True
197,13,roofward_archive,none,v30-592301,v30-529292,cool archive lane,6,0.94,5,True
198,13,archive_signal,none,v30-554552,v30-492930,stone kiosk path,7,0.94,3,True
199,13,signal_orchard,none,v30-583914,v30-521331,river lantern loop,7,0.94,4,True
200,13,orchard_riverbend,none,v30-494236,v30-449268,fen track,8,0.932,2,True
201,13,central_repair_ring,none,v30-636700,v30-544525,outer bell path,7,0.94,5,True
202,13,riverbend_roofward,none,v30-665908,v30-600950,orchard ridge detour,7,0.94,4,True
203,13,roofward_archive,none,v30-590990,v30-528255,cool archive lane,6,0.94,5,True
204,13,archive_signal,none,v30-544770,v30-491893,stone kiosk path,7,0.94,3,True
205,13,signal_orchard,none,v30-581834,v30-520294,river lantern loop,7,0.94,4,True
206,13,orchard_riverbend,none,v30-508860,v30-443712,fen track,8,0.94,3,True
207,13,central_repair_ring,restore,v30-599025,v30-545047,outer bell path,7,0.94,5,True
208,14,riverbend_roofward,reload,v30-667651,v30-601601,orchard ridge detour,8,0.94,4,True
209,14,roofward_archive,none,v30-591263,v30-461008,glass stair,6,0.94,5,True
210,14,archive_signal,none,v30-551840,v30-491631,stone kiosk path,7,0.94,3,True
211,14,signal_orchard,none,v30-582343,v30-520032,river lantern loop,7,0.94,4,True
212,14,orchard_riverbend,none,v30-502249,v30-443450,fen track,8,0.94,3,True
213,14,central_repair_ring,none,v30-606562,v30-544785,outer bell path,7,0.94,5,True
214,14,riverbend_roofward,none,v30-666714,v30-601339,orchard ridge detour,8,0.94,4,True
215,14,roofward_archive,none,v30-520422,v30-460746,glass stair,6,0.94,5,True
216,14,archive_signal,none,v30-551991,v30-492274,stone kiosk path,8,0.94,3,True
217,14,signal_orchard,restore,v30-582481,v30-520554,river lantern loop,7,0.94,4,True
218,14,orchard_riverbend,none,v30-503039,v30-444096,fen track,8,0.94,4,True
219,14,central_repair_ring,none,v30-608281,v30-545307,outer bell path,7,0.94,5,True
220,14,riverbend_roofward,none,v30-665518,v30-474562,river ford,8,0.94,4,True
221,14,roofward_archive,none,v30-519420,v30-528253,cool archive lane,6,0.94,5,True
222,14,archive_signal,none,v30-552896,v30-492140,stone kiosk path,8,0.94,4,True
223,14,signal_orchard,restore,v30-582336,v30-520292,river lantern loop,7,0.94,4,True
224,15,orchard_riverbend,reload,v30-502164,v30-443951,fen track,9,0.94,4,True
225,15,central_repair_ring,none,v30-609083,v30-572778,inner repair yard,7,0.94,5,True
226,15,riverbend_roofward,none,v30-534859,v30-475210,river ford,8,0.94,5,True
227,15,roofward_archive,none,v30-592433,v30-528775,cool archive lane,6,0.94,5,True
228,15,archive_signal,none,v30-552392,v30-492662,stone kiosk path,8,0.94,4,True
229,15,signal_orchard,none,v30-582617,v30-520814,river lantern loop,7,0.94,4,True
230,15,orchard_riverbend,none,v30-503367,v30-443689,fen track,9,0.94,4,True
231,15,central_repair_ring,none,v30-636010,v30-572516,inner repair yard,7,0.94,5,True
232,15,riverbend_roofward,none,v30-527124,v30-481751,river ford,8,0.936,5,True
233,15,roofward_archive,none,v30-590599,v30-528513,cool archive lane,6,0.94,5,True
234,15,archive_signal,none,v30-552012,v30-492528,stone kiosk path,8,0.94,5,True
235,15,signal_orchard,none,v30-582487,v30-520552,river lantern loop,7,0.94,4,True
236,15,orchard_riverbend,none,v30-502400,v30-444211,fen track,9,0.94,4,True
237,15,central_repair_ring,none,v30-635878,v30-545305,outer bell path,7,0.94,5,True
238,15,riverbend_roofward,none,v30-543385,v30-475596,river ford,8,0.94,6,True
239,15,roofward_archive,restore,v30-592044,v30-529035,cool archive lane,6,0.94,5,True
240,16,archive_signal,reload,v30-552002,v30-492387,stone kiosk path,9,0.94,5,True
241,16,signal_orchard,none,v30-582475,v30-520290,river lantern loop,7,0.94,4,True
242,16,orchard_riverbend,none,v30-501655,v30-444073,fen track,9,0.94,5,True
243,16,central_repair_ring,none,v30-607877,v30-545043,outer bell path,7,0.94,5,True
244,16,riverbend_roofward,none,v30-536128,v30-475334,river ford,8,0.94,6,True
245,16,roofward_archive,none,v30-584930,v30-528773,cool archive lane,6,0.94,5,True
246,16,archive_signal,none,v30-554439,v30-492909,stone kiosk path,9,0.94,5,True
247,16,signal_orchard,none,v30-583131,v30-520812,river lantern loop,7,0.94,4,True
248,16,orchard_riverbend,restore,v30-503791,v30-449827,fen track,10,0.94,5,True
249,16,central_repair_ring,none,v30-600075,v30-545565,outer bell path,7,0.94,5,True
250,16,riverbend_roofward,none,v30-534861,v30-475072,river ford,8,0.94,6,True
251,16,roofward_archive,none,v30-589555,v30-528511,cool archive lane,6,0.94,5,True
252,16,archive_signal,none,v30-554676,v30-492647,stone kiosk path,9,0.94,5,True
253,16,signal_orchard,none,v30-582599,v30-406771,dusk road,7,0.94,4,True
254,16,orchard_riverbend,none,v30-496786,v30-449690,fen track,10,0.94,6,True
255,16,central_repair_ring,restore,v30-607491,v30-545303,outer bell path,7,0.94,5,True
256,17,riverbend_roofward,reload,v30-536139,v30-475713,river ford,9,0.94,6,True
257,17,roofward_archive,none,v30-591136,v30-529033,cool archive lane,6,0.94,5,True
258,17,archive_signal,none,v30-546218,v30-493297,stone kiosk path,9,0.94,6,True
259,17,signal_orchard,none,v30-465811,v30-407293,dusk road,7,0.94,4,True
260,17,orchard_riverbend,none,v30-502793,v30-449428,fen track,10,0.94,6,True
261,17,central_repair_ring,none,v30-608263,v30-545041,outer bell path,7,0.94,5,True
262,17,riverbend_roofward,none,v30-535391,v30-475451,river ford,9,0.94,6,True
263,17,roofward_archive,none,v30-591517,v30-528771,cool archive lane,6,0.94,5,True
264,17,archive_signal,none,v30-553177,v30-498428,stone kiosk path,10,0.94,6,True
265,17,signal_orchard,none,v30-465070,v30-520810,river lantern loop,7,0.94,4,True
266,17,orchard_riverbend,none,v30-502580,v30-450075,fen track,10,0.94,7,True
267,17,central_repair_ring,none,v30-609331,v30-545563,outer bell path,7,0.94,5,True
268,17,riverbend_roofward,none,v30-536286,v30-475973,river ford,9,0.94,6,True
269,17,roofward_archive,none,v30-592167,v30-529293,cool archive lane,6,0.94,5,True
270,17,archive_signal,none,v30-552784,v30-498166,stone kiosk path,10,0.94,6,True
271,17,signal_orchard,restore,v30-582880,v30-520548,river lantern loop,7,0.94,4,True
272,18,central_repair_ring,reload,v30-608459,v30-545339,outer bell path,8,0.94,5,True
273,18,riverbend_roofward,none,v30-535423,v30-602169,orchard ridge detour,9,0.94,6,True
274,18,roofward_archive,none,v30-590784,v30-529075,cool archive lane,6,0.94,6,True
275,18,archive_signal,none,v30-553990,v30-423730,paper lane,10,0.94,6,True
276,18,signal_orchard,none,v30-581492,v30-520983,river lantern loop,7,0.94,4,True
277,18,orchard_riverbend,none,v30-502379,v30-567338,market plank route,10,0.94,7,True
278,18,central_repair_ring,none,v30-608329,v30-545861,outer bell path,8,0.94,5,True
279,18,riverbend_roofward,restore,v30-668099,v30-602691,orchard ridge detour,9,0.94,6,True
280,18,roofward_archive,none,v30-568959,v30-528937,cool archive lane,7,0.94,6,True
281,18,archive_signal,none,v30-476089,v30-498339,stone kiosk path,10,0.94,6,True
282,18,signal_orchard,none,v30-581633,v30-520851,river lantern loop,7,0.94,5,True
283,18,orchard_riverbend,none,v30-625235,v30-567076,market plank route,10,0.94,7,True
284,18,central_repair_ring,none,v30-607163,v30-545599,outer bell path,8,0.94,5,True
285,18,riverbend_roofward,none,v30-667164,v30-602429,orchard ridge detour,9,0.94,6,True
286,18,roofward_archive,none,v30-583697,v30-461803,glass stair,7,0.94,7,True
287,18,archive_signal,restore,v30-553228,v30-498861,stone kiosk path,10,0.94,6,True
288,19,signal_orchard,reload,v30-582024,v30-521496,river lantern loop,8,0.94,5,True
289,19,orchard_riverbend,none,v30-625084,v30-567598,market plank route,10,0.94,7,True
290,19,central_repair_ring,none,v30-607407,v30-552458,outer bell path,8,0.936,5,True
291,19,riverbend_roofward,none,v30-658589,v30-602167,orchard ridge detour,9,0.94,6,True
292,19,roofward_archive,none,v30-520499,v30-529328,cool archive lane,7,0.94,7,True
293,19,archive_signal,none,v30-554859,v30-498599,stone kiosk path,10,0.94,6,True
294,19,signal_orchard,none,v30-582910,v30-521234,river lantern loop,8,0.94,5,True
295,19,orchard_riverbend,none,v30-624957,v30-567336,market plank route,10,0.94,7,True
296,19,central_repair_ring,none,v30-608270,v30-545984,outer bell path,9,0.94,5,True
297,19,riverbend_roofward,none,v30-667287,v30-476144,river ford,9,0.94,6,True
298,19,roofward_archive,none,v30-584732,v30-529981,cool archive lane,7,0.94,8,True
299,19,archive_signal,none,v30-554884,v30-499121,stone kiosk path,10,0.94,6,True
300,19,signal_orchard,none,v30-579685,v30-520197,river lantern loop,8,0.94,5,True
301,19,orchard_riverbend,none,v30-624442,v30-566299,market plank route,10,0.94,7,True
302,19,central_repair_ring,none,v30-599464,v30-550632,outer bell path,10,0.94,6,True
303,19,riverbend_roofward,restore,v30-534915,v30-475107,river ford,9,0.94,6,True
304,20,roofward_archive,reload,v30-591848,v30-529068,cool archive lane,8,0.94,8,True
305,20,archive_signal,none,v30-552807,v30-498084,stone kiosk path,10,0.94,6,True
306,20,signal_orchard,none,v30-582290,v30-520849,river lantern loop,8,0.94,6,True
307,20,orchard_riverbend,none,v30-624442,v30-566948,market plank route,11,0.94,7,True
308,20,central_repair_ring,none,v30-607818,v30-551154,outer bell path,10,0.94,6,True
309,20,riverbend_roofward,none,v30-534930,v30-602174,orchard ridge detour,9,0.94,6,True
310,20,roofward_archive,restore,v30-591576,v30-528806,cool archive lane,8,0.94,8,True
311,20,archive_signal,none,v30-553700,v30-497822,stone kiosk path,10,0.94,6,True
312,20,signal_orchard,none,v30-575352,v30-520710,river lantern loop,9,0.94,6,True
313,20,orchard_riverbend,none,v30-624187,v30-566813,market plank route,12,0.94,7,True
314,20,central_repair_ring,none,v30-605596,v30-551025,outer bell path,10,0.94,7,True
315,20,riverbend_roofward,none,v30-665548,v30-601912,orchard ridge detour,9,0.94,6,True
316,20,roofward_archive,none,v30-593154,v30-529328,cool archive lane,8,0.94,8,True
317,20,archive_signal,none,v30-553347,v30-498344,stone kiosk path,10,0.94,6,True
318,20,signal_orchard,none,v30-581026,v30-521362,river lantern loop,9,0.94,7,True
319,20,orchard_riverbend,restore,v30-623652,v30-450227,fen track,12,0.94,7,True
320,21,central_repair_ring,reload,v30-608086,v30-550889,outer bell path,11,0.94,7,True
321,21,riverbend_roofward,none,v30-665421,v30-601650,orchard ridge detour,9,0.94,6,True
322,21,roofward_archive,none,v30-591577,v30-529197,cool archive lane,8,0.94,9,True
323,21,archive_signal,none,v30-553074,v30-498082,stone kiosk path,10,0.94,6,True
324,21,signal_orchard,none,v30-583331,v30-526574,river lantern loop,10,0.94,7,True
325,21,orchard_riverbend,none,v30-502953,v30-567073,market plank route,12,0.94,7,True
326,21,central_repair_ring,none,v30-608345,v30-551411,outer bell path,11,0.94,7,True
327,21,riverbend_roofward,none,v30-666362,v30-602172,orchard ridge detour,9,0.94,6,True
