tick,day,avatar_x,avatar_y,avatar_room,entered_world,movement_command,collision_or_boundary,nearby_resident,visible_scene_changed,playable_input_bound
55,4,175,258,river gate,True,wait,clear path,Nia,True,True
56,4,192,282,arrival court,True,click,clear path,Ari,True,True
57,4,209,306,tool alcove,True,north,clear path,Fay,True,True
58,4,226,330,rain court,True,south,clear path,Milo,True,True
59,4,243,354,fiber loft,True,east,clear path,Sera,True,True
60,4,260,378,west hearth,True,west,clear path,Tovan,True,True
61,4,277,402,river gate,True,wait,clear path,Nia,True,True
62,4,294,426,arrival court,True,click,clear path,Ari,True,True
63,4,311,450,tool alcove,True,north,clear path,Fay,True,True
64,4,328,474,rain court,True,south,clear path,Milo,True,True
65,4,345,498,fiber loft,True,east,clear path,Sera,True,True
66,4,362,82,west hearth,True,west,soft room boundary,Tovan,True,True
67,4,379,106,river gate,True,wait,soft room boundary,Nia,True,True
68,4,396,130,arrival court,True,click,clear path,Ari,True,True
69,4,413,154,tool alcove,True,north,clear path,Fay,True,True
70,4,430,178,rain court,True,south,clear path,Milo,True,True
71,4,447,202,fiber loft,True,east,clear path,Sera,True,True
72,5,469,432,river gate,True,wait,clear path,Tovan,True,True
73,5,486,456,arrival court,True,click,clear path,Nia,True,True
74,5,503,480,tool alcove,True,north,clear path,Ari,True,True
75,5,520,504,rain court,True,south,clear path,Fay,True,True
76,5,537,88,fiber loft,True,east,soft room boundary,Milo,True,True
77,5,554,112,west hearth,True,west,clear path,Sera,True,True
78,5,571,136,river gate,True,wait,clear path,Tovan,True,True
79,5,588,160,arrival court,True,click,clear path,Nia,True,True
80,5,605,184,tool alcove,True,north,clear path,Ari,True,True
81,5,622,208,rain court,True,south,clear path,Fay,True,True
82,5,639,232,fiber loft,True,east,clear path,Milo,True,True
83,5,656,256,west hearth,True,west,clear path,Sera,True,True
84,5,673,280,river gate,True,wait,clear path,Tovan,True,True
85,5,690,304,arrival court,True,click,clear path,Nia,True,True
86,5,707,328,tool alcove,True,north,clear path,Ari,True,True
87,5,724,352,rain court,True,south,clear path,Fay,True,True
88,5,741,376,fiber loft,True,east,clear path,Milo,True,True
89,5,758,400,west hearth,True,west,clear path,Sera,True,True
90,6,780,190,arrival court,True,click,clear path,Tovan,True,True
91,6,797,214,tool alcove,True,north,clear path,Nia,True,True
92,6,814,238,rain court,True,south,clear path,Ari,True,True
93,6,831,262,fiber loft,True,east,clear path,Fay,True,True
94,6,848,286,west hearth,True,west,clear path,Milo,True,True
95,6,865,310,river gate,True,wait,clear path,Sera,True,True
96,6,882,334,arrival court,True,click,clear path,Tovan,True,True
97,6,899,358,tool alcove,True,north,clear path,Nia,True,True
98,6,916,382,rain court,True,south,clear path,Ari,True,True
99,6,933,406,fiber loft,True,east,clear path,Fay,True,True
100,6,90,430,west hearth,True,west,soft room boundary,Milo,True,True
101,6,107,454,river gate,True,wait,soft room boundary,Sera,True,True
102,6,124,478,arrival court,True,click,clear path,Tovan,True,True
103,6,141,502,tool alcove,True,north,clear path,Nia,True,True
104,6,158,86,rain court,True,south,soft room boundary,Ari,True,True
105,6,175,110,fiber loft,True,east,clear path,Fay,True,True
106,6,192,134,west hearth,True,west,clear path,Milo,True,True
107,6,209,158,river gate,True,wait,clear path,Sera,True,True
108,7,231,388,tool alcove,True,north,clear path,Tovan,True,True
109,7,248,412,rain court,True,south,clear path,Nia,True,True
110,7,265,436,fiber loft,True,east,clear path,Ari,True,True
111,7,282,460,west hearth,True,west,clear path,Fay,True,True
112,7,299,484,river gate,True,wait,clear path,Milo,True,True
113,7,316,508,arrival court,True,click,clear path,Sera,True,True
114,7,333,92,tool alcove,True,north,soft room boundary,Tovan,True,True
115,7,350,116,rain court,True,south,clear path,Nia,True,True
116,7,367,140,fiber loft,True,east,clear path,Ari,True,True
117,7,384,164,west hearth,True,west,clear path,Fay,True,True
118,7,401,188,river gate,True,wait,clear path,Milo,True,True
119,7,418,212,arrival court,True,click,clear path,Sera,True,True
120,7,435,236,tool alcove,True,north,clear path,Tovan,True,True
121,7,452,260,rain court,True,south,clear path,Nia,True,True
122,7,469,284,fiber loft,True,east,clear path,Ari,True,True
123,7,486,308,west hearth,True,west,clear path,Fay,True,True
124,7,503,332,river gate,True,wait,clear path,Milo,True,True
125,7,520,356,arrival court,True,click,clear path,Sera,True,True
126,8,542,146,rain court,True,south,clear path,Tovan,True,True
127,8,559,170,fiber loft,True,east,clear path,Nia,True,True
128,8,576,194,west hearth,True,west,clear path,Ari,True,True
129,8,593,218,river gate,True,wait,clear path,Fay,True,True
130,8,610,242,arrival court,True,click,clear path,Milo,True,True
131,8,627,266,tool alcove,True,north,clear path,Sera,True,True
132,8,644,290,rain court,True,south,clear path,Tovan,True,True
133,8,661,314,fiber loft,True,east,clear path,Nia,True,True
134,8,678,338,west hearth,True,west,clear path,Ari,True,True
135,8,695,362,river gate,True,wait,clear path,Fay,True,True
136,8,712,386,arrival court,True,click,clear path,Milo,True,True
137,8,729,410,tool alcove,True,north,clear path,Sera,True,True
138,8,746,434,rain court,True,south,clear path,Tovan,True,True
139,8,763,458,fiber loft,True,east,clear path,Nia,True,True
140,8,780,482,west hearth,True,west,clear path,Ari,True,True
141,8,797,506,river gate,True,wait,clear path,Fay,True,True
142,8,814,90,arrival court,True,click,soft room boundary,Milo,True,True
143,8,831,114,tool alcove,True,north,clear path,Sera,True,True
144,9,853,344,fiber loft,True,east,clear path,Tovan,True,True
145,9,870,368,west hearth,True,west,clear path,Nia,True,True
146,9,887,392,river gate,True,wait,clear path,Ari,True,True
147,9,904,416,arrival court,True,click,clear path,Fay,True,True
148,9,921,440,tool alcove,True,north,clear path,Milo,True,True
149,9,938,464,rain court,True,south,clear path,Sera,True,True
150,9,95,488,fiber loft,True,east,soft room boundary,Tovan,True,True
151,9,112,512,west hearth,True,west,clear path,Nia,True,True
152,9,129,96,river gate,True,wait,soft room boundary,Ari,True,True
153,9,146,120,arrival court,True,click,clear path,Fay,True,True
154,9,163,144,tool alcove,True,north,clear path,Milo,True,True
155,9,180,168,rain court,True,south,clear path,Sera,True,True
156,9,197,192,fiber loft,True,east,clear path,Tovan,True,True
157,9,214,216,west hearth,True,west,clear path,Nia,True,True
158,9,231,240,river gate,True,wait,clear path,Ari,True,True
159,9,248,264,arrival court,True,click,clear path,Fay,True,True
160,9,265,288,tool alcove,True,north,clear path,Milo,True,True
161,9,282,312,rain court,True,south,clear path,Sera,True,True
162,10,304,102,west hearth,True,west,soft room boundary,Tovan,True,True
163,10,321,126,river gate,True,wait,clear path,Nia,True,True
164,10,338,150,arrival court,True,click,clear path,Ari,True,True
165,10,355,174,tool alcove,True,north,clear path,Fay,True,True
166,10,372,198,rain court,True,south,clear path,Milo,True,True
167,10,389,222,fiber loft,True,east,clear path,Sera,True,True
168,10,406,246,west hearth,True,west,clear path,Tovan,True,True
169,10,423,270,river gate,True,wait,clear path,Nia,True,True
170,10,440,294,arrival court,True,click,clear path,Ari,True,True
171,10,457,318,tool alcove,True,north,clear path,Fay,True,True
172,10,474,342,rain court,True,south,clear path,Milo,True,True
173,10,491,366,fiber loft,True,east,clear path,Sera,True,True
174,10,508,390,west hearth,True,west,clear path,Tovan,True,True
175,10,525,414,river gate,True,wait,clear path,Nia,True,True
176,10,542,438,arrival court,True,click,clear path,Ari,True,True
177,10,559,462,tool alcove,True,north,clear path,Fay,True,True
178,10,576,486,rain court,True,south,clear path,Milo,True,True
179,10,593,510,fiber loft,True,east,clear path,Sera,True,True
180,11,615,300,river gate,True,wait,clear path,Tovan,True,True
181,11,632,324,arrival court,True,click,clear path,Nia,True,True
182,11,649,348,tool alcove,True,north,clear path,Ari,True,True
183,11,666,372,rain court,True,south,clear path,Fay,True,True
184,11,683,396,fiber loft,True,east,clear path,Milo,True,True
185,11,700,420,west hearth,True,west,clear path,Sera,True,True
186,11,717,444,river gate,True,wait,clear path,Tovan,True,True
187,11,734,468,arrival court,True,click,clear path,Nia,True,True
188,11,751,492,tool alcove,True,north,clear path,Ari,True,True
189,11,768,516,rain court,True,south,clear path,Fay,True,True
190,11,785,100,fiber loft,True,east,soft room boundary,Milo,True,True
191,11,802,124,west hearth,True,west,clear path,Sera,True,True
192,11,819,148,river gate,True,wait,clear path,Tovan,True,True
193,11,836,172,arrival court,True,click,clear path,Nia,True,True
194,11,853,196,tool alcove,True,north,clear path,Ari,True,True
195,11,870,220,rain court,True,south,clear path,Fay,True,True
196,11,887,244,fiber loft,True,east,clear path,Milo,True,True
197,11,904,268,west hearth,True,west,clear path,Sera,True,True
198,12,926,498,arrival court,True,click,clear path,Tovan,True,True
199,12,83,82,tool alcove,True,north,soft room boundary,Nia,True,True
200,12,100,106,rain court,True,south,soft room boundary,Ari,True,True
201,12,117,130,fiber loft,True,east,clear path,Fay,True,True
202,12,134,154,west hearth,True,west,clear path,Milo,True,True
203,12,151,178,river gate,True,wait,clear path,Sera,True,True
204,12,168,202,arrival court,True,click,clear path,Tovan,True,True
205,12,185,226,tool alcove,True,north,clear path,Nia,True,True
206,12,202,250,rain court,True,south,clear path,Ari,True,True
207,12,219,274,fiber loft,True,east,clear path,Fay,True,True
208,12,236,298,west hearth,True,west,clear path,Milo,True,True
209,12,253,322,river gate,True,wait,clear path,Sera,True,True
210,12,270,346,arrival court,True,click,clear path,Tovan,True,True
211,12,287,370,tool alcove,True,north,clear path,Nia,True,True
212,12,304,394,rain court,True,south,clear path,Ari,True,True
213,12,321,418,fiber loft,True,east,clear path,Fay,True,True
214,12,338,442,west hearth,True,west,clear path,Milo,True,True
215,12,355,466,river gate,True,wait,clear path,Sera,True,True
216,13,377,256,tool alcove,True,north,clear path,Tovan,True,True
217,13,394,280,rain court,True,south,clear path,Nia,True,True
218,13,411,304,fiber loft,True,east,clear path,Ari,True,True
219,13,428,328,west hearth,True,west,clear path,Fay,True,True
220,13,445,352,river gate,True,wait,clear path,Milo,True,True
221,13,462,376,arrival court,True,click,clear path,Sera,True,True
222,13,479,400,tool alcove,True,north,clear path,Tovan,True,True
223,13,496,424,rain court,True,south,clear path,Nia,True,True
224,13,513,448,fiber loft,True,east,clear path,Ari,True,True
225,13,530,472,west hearth,True,west,clear path,Fay,True,True
226,13,547,496,river gate,True,wait,clear path,Milo,True,True
227,13,564,80,arrival court,True,click,soft room boundary,Sera,True,True
228,13,581,104,tool alcove,True,north,soft room boundary,Tovan,True,True
229,13,598,128,rain court,True,south,clear path,Nia,True,True
230,13,615,152,fiber loft,True,east,clear path,Ari,True,True
231,13,632,176,west hearth,True,west,clear path,Fay,True,True
232,13,649,200,river gate,True,wait,clear path,Milo,True,True
233,13,666,224,arrival court,True,click,clear path,Sera,True,True
234,14,688,454,rain court,True,south,clear path,Tovan,True,True
235,14,705,478,fiber loft,True,east,clear path,Nia,True,True
236,14,722,502,west hearth,True,west,clear path,Ari,True,True
237,14,739,86,river gate,True,wait,soft room boundary,Fay,True,True
238,14,756,110,arrival court,True,click,clear path,Milo,True,True
239,14,773,134,tool alcove,True,north,clear path,Sera,True,True
240,14,790,158,rain court,True,south,clear path,Tovan,True,True
241,14,807,182,fiber loft,True,east,clear path,Nia,True,True
242,14,824,206,west hearth,True,west,clear path,Ari,True,True
243,14,841,230,river gate,True,wait,clear path,Fay,True,True
244,14,858,254,arrival court,True,click,clear path,Milo,True,True
245,14,875,278,tool alcove,True,north,clear path,Sera,True,True
246,14,892,302,rain court,True,south,clear path,Tovan,True,True
247,14,909,326,fiber loft,True,east,clear path,Nia,True,True
248,14,926,350,west hearth,True,west,clear path,Ari,True,True
249,14,83,374,river gate,True,wait,soft room boundary,Fay,True,True
250,14,100,398,arrival court,True,click,soft room boundary,Milo,True,True
251,14,117,422,tool alcove,True,north,clear path,Sera,True,True
252,15,139,212,fiber loft,True,east,clear path,Tovan,True,True
253,15,156,236,west hearth,True,west,clear path,Nia,True,True
254,15,173,260,river gate,True,wait,clear path,Ari,True,True
255,15,190,284,arrival court,True,click,clear path,Fay,True,True
256,15,207,308,tool alcove,True,north,clear path,Milo,True,True
257,15,224,332,rain court,True,south,clear path,Sera,True,True
258,15,241,356,fiber loft,True,east,clear path,Tovan,True,True
259,15,258,380,west hearth,True,west,clear path,Nia,True,True
260,15,275,404,river gate,True,wait,clear path,Ari,True,True
261,15,292,428,arrival court,True,click,clear path,Fay,True,True
262,15,309,452,tool alcove,True,north,clear path,Milo,True,True
263,15,326,476,rain court,True,south,clear path,Sera,True,True
264,15,343,500,fiber loft,True,east,clear path,Tovan,True,True
265,15,360,84,west hearth,True,west,soft room boundary,Nia,True,True
266,15,377,108,river gate,True,wait,soft room boundary,Ari,True,True
267,15,394,132,arrival court,True,click,clear path,Fay,True,True
268,15,411,156,tool alcove,True,north,clear path,Milo,True,True
269,15,428,180,rain court,True,south,clear path,Sera,True,True
270,16,450,410,west hearth,True,west,clear path,Tovan,True,True
271,16,467,434,river gate,True,wait,clear path,Nia,True,True
272,16,484,458,arrival court,True,click,clear path,Ari,True,True
273,16,501,482,tool alcove,True,north,clear path,Fay,True,True
274,16,518,506,rain court,True,south,clear path,Milo,True,True
275,16,535,90,fiber loft,True,east,soft room boundary,Sera,True,True
276,16,552,114,west hearth,True,west,clear path,Tovan,True,True
277,16,569,138,river gate,True,wait,clear path,Nia,True,True
278,16,586,162,arrival court,True,click,clear path,Ari,True,True
279,16,603,186,tool alcove,True,north,clear path,Fay,True,True
280,16,620,210,rain court,True,south,clear path,Milo,True,True
281,16,637,234,fiber loft,True,east,clear path,Sera,True,True
282,16,654,258,west hearth,True,west,clear path,Tovan,True,True
283,16,671,282,river gate,True,wait,clear path,Nia,True,True
284,16,688,306,arrival court,True,click,clear path,Ari,True,True
285,16,705,330,tool alcove,True,north,clear path,Fay,True,True
286,16,722,354,rain court,True,south,clear path,Milo,True,True
287,16,739,378,fiber loft,True,east,clear path,Sera,True,True
288,17,761,168,river gate,True,wait,clear path,Tovan,True,True
289,17,778,192,arrival court,True,click,clear path,Nia,True,True
290,17,795,216,tool alcove,True,north,clear path,Ari,True,True
291,17,812,240,rain court,True,south,clear path,Fay,True,True
292,17,829,264,fiber loft,True,east,clear path,Milo,True,True
293,17,846,288,west hearth,True,west,clear path,Sera,True,True
294,17,863,312,river gate,True,wait,clear path,Tovan,True,True
295,17,880,336,arrival court,True,click,clear path,Nia,True,True
296,17,897,360,tool alcove,True,north,clear path,Ari,True,True
297,17,914,384,rain court,True,south,clear path,Fay,True,True
298,17,931,408,fiber loft,True,east,clear path,Milo,True,True
299,17,88,432,west hearth,True,west,soft room boundary,Sera,True,True
300,17,105,456,river gate,True,wait,soft room boundary,Tovan,True,True
301,17,122,480,arrival court,True,click,clear path,Nia,True,True
302,17,139,504,tool alcove,True,north,clear path,Ari,True,True
303,17,156,88,rain court,True,south,soft room boundary,Fay,True,True
304,17,173,112,fiber loft,True,east,clear path,Milo,True,True
305,17,190,136,west hearth,True,west,clear path,Sera,True,True
306,18,212,366,arrival court,True,click,clear path,Tovan,True,True
307,18,229,390,tool alcove,True,north,clear path,Nia,True,True
308,18,246,414,rain court,True,south,clear path,Ari,True,True
309,18,263,438,fiber loft,True,east,clear path,Fay,True,True
310,18,280,462,west hearth,True,west,clear path,Milo,True,True
311,18,297,486,river gate,True,wait,clear path,Sera,True,True
312,18,314,510,arrival court,True,click,clear path,Tovan,True,True
313,18,331,94,tool alcove,True,north,soft room boundary,Nia,True,True
314,18,348,118,rain court,True,south,clear path,Ari,True,True
315,18,365,142,fiber loft,True,east,clear path,Fay,True,True
316,18,382,166,west hearth,True,west,clear path,Milo,True,True
317,18,399,190,river gate,True,wait,clear path,Sera,True,True
318,18,416,214,arrival court,True,click,clear path,Tovan,True,True
319,18,433,238,tool alcove,True,north,clear path,Nia,True,True
320,18,450,262,rain court,True,south,clear path,Ari,True,True
321,18,467,286,fiber loft,True,east,clear path,Fay,True,True
322,18,484,310,west hearth,True,west,clear path,Milo,True,True
323,18,501,334,river gate,True,wait,clear path,Sera,True,True
324,19,523,124,tool alcove,True,north,clear path,Tovan,True,True
325,19,540,148,rain court,True,south,clear path,Nia,True,True
326,19,557,172,fiber loft,True,east,clear path,Ari,True,True
327,19,574,196,west hearth,True,west,clear path,Fay,True,True
328,19,591,220,river gate,True,wait,clear path,Milo,True,True
329,19,608,244,arrival court,True,click,clear path,Sera,True,True
330,19,625,268,tool alcove,True,north,clear path,Tovan,True,True
331,19,642,292,rain court,True,south,clear path,Nia,True,True
332,19,659,316,fiber loft,True,east,clear path,Ari,True,True
333,19,676,340,west hearth,True,west,clear path,Fay,True,True
334,19,693,364,river gate,True,wait,clear path,Milo,True,True
335,19,710,388,arrival court,True,click,clear path,Sera,True,True
336,19,727,412,tool alcove,True,north,clear path,Tovan,True,True
337,19,744,436,rain court,True,south,clear path,Nia,True,True
338,19,761,460,fiber loft,True,east,clear path,Ari,True,True
339,19,778,484,west hearth,True,west,clear path,Fay,True,True
340,19,795,508,river gate,True,wait,clear path,Milo,True,True
341,19,812,92,arrival court,True,click,soft room boundary,Sera,True,True
342,20,834,322,rain court,True,south,clear path,Tovan,True,True
343,20,851,346,fiber loft,True,east,clear path,Nia,True,True
344,20,868,370,west hearth,True,west,clear path,Ari,True,True
345,20,885,394,river gate,True,wait,clear path,Fay,True,True
346,20,902,418,arrival court,True,click,clear path,Milo,True,True
347,20,919,442,tool alcove,True,north,clear path,Sera,True,True
348,20,936,466,rain court,True,south,clear path,Tovan,True,True
349,20,93,490,fiber loft,True,east,soft room boundary,Nia,True,True
350,20,110,514,west hearth,True,west,clear path,Ari,True,True
351,20,127,98,river gate,True,wait,soft room boundary,Fay,True,True
352,20,144,122,arrival court,True,click,clear path,Milo,True,True
353,20,161,146,tool alcove,True,north,clear path,Sera,True,True
354,20,178,170,rain court,True,south,clear path,Tovan,True,True
355,20,195,194,fiber loft,True,east,clear path,Nia,True,True
356,20,212,218,west hearth,True,west,clear path,Ari,True,True
357,20,229,242,river gate,True,wait,clear path,Fay,True,True
358,20,246,266,arrival court,True,click,clear path,Milo,True,True
359,20,263,290,tool alcove,True,north,clear path,Sera,True,True
360,21,285,80,fiber loft,True,east,soft room boundary,Tovan,True,True
361,21,302,104,west hearth,True,west,soft room boundary,Nia,True,True
362,21,319,128,river gate,True,wait,clear path,Ari,True,True
363,21,336,152,arrival court,True,click,clear path,Fay,True,True
364,21,353,176,tool alcove,True,north,clear path,Milo,True,True
365,21,370,200,rain court,True,south,clear path,Sera,True,True
366,21,387,224,fiber loft,True,east,clear path,Tovan,True,True
367,21,404,248,west hearth,True,west,clear path,Nia,True,True
368,21,421,272,river gate,True,wait,clear path,Ari,True,True
369,21,438,296,arrival court,True,click,clear path,Fay,True,True
370,21,455,320,tool alcove,True,north,clear path,Milo,True,True
371,21,472,344,rain court,True,south,clear path,Sera,True,True
372,21,489,368,fiber loft,True,east,clear path,Tovan,True,True
373,21,506,392,west hearth,True,west,clear path,Nia,True,True
374,21,523,416,river gate,True,wait,clear path,Ari,True,True
375,21,540,440,arrival court,True,click,clear path,Fay,True,True
376,21,557,464,tool alcove,True,north,clear path,Milo,True,True
377,21,574,488,rain court,True,south,clear path,Sera,True,True
378,22,596,278,west hearth,True,west,clear path,Tovan,True,True
379,22,613,302,river gate,True,wait,clear path,Nia,True,True
380,22,630,326,arrival court,True,click,clear path,Ari,True,True
381,22,647,350,tool alcove,True,north,clear path,Fay,True,True
382,22,664,374,rain court,True,south,clear path,Milo,True,True
383,22,681,398,fiber loft,True,east,clear path,Sera,True,True
384,22,698,422,west hearth,True,west,clear path,Tovan,True,True
385,22,715,446,river gate,True,wait,clear path,Nia,True,True
386,22,732,470,arrival court,True,click,clear path,Ari,True,True
387,22,749,494,tool alcove,True,north,clear path,Fay,True,True
388,22,766,518,rain court,True,south,clear path,Milo,True,True
389,22,783,102,fiber loft,True,east,soft room boundary,Sera,True,True
390,22,800,126,west hearth,True,west,clear path,Tovan,True,True
391,22,817,150,river gate,True,wait,clear path,Nia,True,True
392,22,834,174,arrival court,True,click,clear path,Ari,True,True
393,22,851,198,tool alcove,True,north,clear path,Fay,True,True
394,22,868,222,rain court,True,south,clear path,Milo,True,True
395,22,885,246,fiber loft,True,east,clear path,Sera,True,True
396,23,907,476,river gate,True,wait,clear path,Tovan,True,True
397,23,924,500,arrival court,True,click,clear path,Nia,True,True
398,23,81,84,tool alcove,True,north,soft room boundary,Ari,True,True
399,23,98,108,rain court,True,south,soft room boundary,Fay,True,True
400,23,115,132,fiber loft,True,east,clear path,Milo,True,True
401,23,132,156,west hearth,True,west,clear path,Sera,True,True
402,23,149,180,river gate,True,wait,clear path,Tovan,True,True
403,23,166,204,arrival court,True,click,clear path,Nia,True,True
404,23,183,228,tool alcove,True,north,clear path,Ari,True,True
405,23,200,252,rain court,True,south,clear path,Fay,True,True
406,23,217,276,fiber loft,True,east,clear path,Milo,True,True
407,23,234,300,west hearth,True,west,clear path,Sera,True,True
408,23,251,324,river gate,True,wait,clear path,Tovan,True,True
409,23,268,348,arrival court,True,click,clear path,Nia,True,True
410,23,285,372,tool alcove,True,north,clear path,Ari,True,True
411,23,302,396,rain court,True,south,clear path,Fay,True,True
412,23,319,420,fiber loft,True,east,clear path,Milo,True,True
413,23,336,444,west hearth,True,west,clear path,Sera,True,True
414,24,358,234,arrival court,True,click,clear path,Tovan,True,True
415,24,375,258,tool alcove,True,north,clear path,Nia,True,True
416,24,392,282,rain court,True,south,clear path,Ari,True,True
417,24,409,306,fiber loft,True,east,clear path,Fay,True,True
418,24,426,330,west hearth,True,west,clear path,Milo,True,True
419,24,443,354,river gate,True,wait,clear path,Sera,True,True
420,24,460,378,arrival court,True,click,clear path,Tovan,True,True
421,24,477,402,tool alcove,True,north,clear path,Nia,True,True
422,24,494,426,rain court,True,south,clear path,Ari,True,True
423,24,511,450,fiber loft,True,east,clear path,Fay,True,True
424,24,528,474,west hearth,True,west,clear path,Milo,True,True
425,24,545,498,river gate,True,wait,clear path,Sera,True,True
426,24,562,82,arrival court,True,click,soft room boundary,Tovan,True,True
427,24,579,106,tool alcove,True,north,soft room boundary,Nia,True,True
428,24,596,130,rain court,True,south,clear path,Ari,True,True
429,24,613,154,fiber loft,True,east,clear path,Fay,True,True
430,24,630,178,west hearth,True,west,clear path,Milo,True,True
431,24,647,202,river gate,True,wait,clear path,Sera,True,True
432,25,669,432,tool alcove,True,north,clear path,Tovan,True,True
433,25,686,456,rain court,True,south,clear path,Nia,True,True
434,25,703,480,fiber loft,True,east,clear path,Ari,True,True
435,25,720,504,west hearth,True,west,clear path,Fay,True,True
436,25,737,88,river gate,True,wait,soft room boundary,Milo,True,True
437,25,754,112,arrival court,True,click,clear path,Sera,True,True
438,25,771,136,tool alcove,True,north,clear path,Tovan,True,True
439,25,788,160,rain court,True,south,clear path,Nia,True,True
440,25,805,184,fiber loft,True,east,clear path,Ari,True,True
441,25,822,208,west hearth,True,west,clear path,Fay,True,True
442,25,839,232,river gate,True,wait,clear path,Milo,True,True
443,25,856,256,arrival court,True,click,clear path,Sera,True,True
444,25,873,280,tool alcove,True,north,clear path,Tovan,True,True
445,25,890,304,rain court,True,south,clear path,Nia,True,True
446,25,907,328,fiber loft,True,east,clear path,Ari,True,True
447,25,924,352,west hearth,True,west,clear path,Fay,True,True
448,25,81,376,river gate,True,wait,soft room boundary,Milo,True,True
449,25,98,400,arrival court,True,click,soft room boundary,Sera,True,True
450,26,120,190,rain court,True,south,clear path,Tovan,True,True
451,26,137,214,fiber loft,True,east,clear path,Nia,True,True
452,26,154,238,west hearth,True,west,clear path,Ari,True,True
453,26,171,262,river gate,True,wait,clear path,Fay,True,True
454,26,188,286,arrival court,True,click,clear path,Milo,True,True
455,26,205,310,tool alcove,True,north,clear path,Sera,True,True
456,26,222,334,rain court,True,south,clear path,Tovan,True,True
457,26,239,358,fiber loft,True,east,clear path,Nia,True,True
458,26,256,382,west hearth,True,west,clear path,Ari,True,True
459,26,273,406,river gate,True,wait,clear path,Fay,True,True
460,26,290,430,arrival court,True,click,clear path,Milo,True,True
461,26,307,454,tool alcove,True,north,clear path,Sera,True,True
462,26,324,478,rain court,True,south,clear path,Tovan,True,True
463,26,341,502,fiber loft,True,east,clear path,Nia,True,True
464,26,358,86,west hearth,True,west,soft room boundary,Ari,True,True
465,26,375,110,river gate,True,wait,clear path,Fay,True,True
466,26,392,134,arrival court,True,click,clear path,Milo,True,True
