tick_id,day,mentor,apprentice,skill_domain,apprentice_skill_before,practice_delta,apprentice_skill_after,mentor_fatigue,succession_event,inherits_responsibility,visible_teaching_marker
40,3,Ari,Toma,Bridgewright Guild,0.244,0.006,0.25,0.34,False,practice only,Ari->Toma:0.25
41,3,Fay,Lio,Glassgarden Guild,0.265,0.002,0.267,0.346,False,practice only,Fay->Lio:0.27
42,3,Nia,Sera,Index Guild,0.294,0.002,0.296,0.413,False,practice only,Nia->Sera:0.30
43,3,Milo,Ren,Signal Guild,0.331,0.002,0.333,0.504,False,practice only,Milo->Ren:0.33
44,3,Ivo,Mara,Seed Guild,0.356,0.006,0.362,0.546,False,practice only,Ivo->Mara:0.36
45,3,Ari,Toma,Bridgewright Guild,0.25,0.006,0.256,0.358,False,practice only,Ari->Toma:0.26
46,3,Fay,Lio,Glassgarden Guild,0.267,0.002,0.269,0.352,False,practice only,Fay->Lio:0.27
47,3,Nia,Sera,Index Guild,0.296,0.002,0.298,0.394,False,practice only,Nia->Sera:0.30
48,4,Milo,Ren,Signal Guild,0.333,0.002,0.335,0.485,False,practice only,Milo->Ren:0.34
49,4,Ivo,Mara,Seed Guild,0.362,0.002,0.364,0.552,False,practice only,Ivo->Mara:0.36
50,4,Ari,Toma,Bridgewright Guild,0.256,0.002,0.258,0.364,False,practice only,Ari->Toma:0.26
51,4,Fay,Lio,Glassgarden Guild,0.269,0.006,0.275,0.37,False,practice only,Fay->Lio:0.28
52,4,Nia,Sera,Index Guild,0.298,0.002,0.3,0.4,False,practice only,Nia->Sera:0.30
53,4,Milo,Ren,Signal Guild,0.335,0.002,0.337,0.491,False,practice only,Milo->Ren:0.34
54,4,Ivo,Mara,Seed Guild,0.364,0.002,0.366,0.558,False,practice only,Ivo->Mara:0.37
55,4,Ari,Toma,Bridgewright Guild,0.258,0.002,0.26,0.37,False,practice only,Ari->Toma:0.26
56,4,Fay,Lio,Glassgarden Guild,0.275,0.006,0.281,0.388,False,practice only,Fay->Lio:0.28
57,4,Nia,Sera,Index Guild,0.3,0.002,0.302,0.406,False,practice only,Nia->Sera:0.30
58,4,Milo,Ren,Signal Guild,0.337,0.002,0.339,0.497,False,practice only,Milo->Ren:0.34
59,4,Ivo,Mara,Seed Guild,0.366,0.002,0.368,0.564,False,practice only,Ivo->Mara:0.37
60,4,Ari,Toma,Bridgewright Guild,0.26,0.002,0.262,0.376,False,practice only,Ari->Toma:0.26
61,4,Fay,Lio,Glassgarden Guild,0.281,0.006,0.287,0.406,False,practice only,Fay->Lio:0.29
62,4,Nia,Sera,Index Guild,0.302,0.002,0.304,0.412,False,practice only,Nia->Sera:0.30
63,4,Milo,Ren,Signal Guild,0.339,0.002,0.341,0.478,False,practice only,Milo->Ren:0.34
64,5,Ivo,Mara,Seed Guild,0.368,0.002,0.37,0.545,False,practice only,Ivo->Mara:0.37
65,5,Ari,Toma,Bridgewright Guild,0.262,0.002,0.264,0.382,False,practice only,Ari->Toma:0.26
66,5,Fay,Lio,Glassgarden Guild,0.287,0.002,0.289,0.412,False,practice only,Fay->Lio:0.29
67,5,Nia,Sera,Index Guild,0.304,0.006,0.31,0.43,False,practice only,Nia->Sera:0.31
68,5,Milo,Ren,Signal Guild,0.341,0.002,0.343,0.484,False,practice only,Milo->Ren:0.34
69,5,Ivo,Mara,Seed Guild,0.37,0.002,0.372,0.551,False,practice only,Ivo->Mara:0.37
70,5,Ari,Toma,Bridgewright Guild,0.264,0.002,0.266,0.388,False,practice only,Ari->Toma:0.27
71,5,Fay,Lio,Glassgarden Guild,0.289,0.002,0.291,0.418,False,practice only,Fay->Lio:0.29
72,5,Nia,Sera,Index Guild,0.31,0.006,0.316,0.448,False,practice only,Nia->Sera:0.32
73,5,Milo,Ren,Signal Guild,0.343,0.002,0.345,0.49,False,practice only,Milo->Ren:0.35
74,5,Ivo,Mara,Seed Guild,0.372,0.002,0.374,0.557,False,practice only,Ivo->Mara:0.37
75,5,Ari,Toma,Bridgewright Guild,0.266,0.002,0.268,0.394,False,practice only,Ari->Toma:0.27
76,5,Fay,Lio,Glassgarden Guild,0.291,0.002,0.293,0.424,False,practice only,Fay->Lio:0.29
77,5,Nia,Sera,Index Guild,0.316,0.006,0.322,0.466,False,practice only,Nia->Sera:0.32
78,5,Milo,Ren,Signal Guild,0.345,0.002,0.347,0.496,False,practice only,Milo->Ren:0.35
79,5,Ivo,Mara,Seed Guild,0.374,0.002,0.376,0.538,False,practice only,Ivo->Mara:0.38
80,6,Fay,Lio,Glassgarden Guild,0.293,0.002,0.295,0.405,False,practice only,Fay->Lio:0.30
81,6,Nia,Sera,Index Guild,0.322,0.002,0.324,0.472,False,practice only,Nia->Sera:0.32
82,6,Milo,Ren,Signal Guild,0.347,0.002,0.349,0.502,False,practice only,Milo->Ren:0.35
83,6,Ivo,Mara,Seed Guild,0.376,0.006,0.382,0.556,False,practice only,Ivo->Mara:0.38
84,6,Ari,Toma,Bridgewright Guild,0.268,0.002,0.27,0.4,False,practice only,Ari->Toma:0.27
85,6,Fay,Lio,Glassgarden Guild,0.295,0.002,0.297,0.411,False,practice only,Fay->Lio:0.30
86,6,Nia,Sera,Index Guild,0.324,0.002,0.326,0.478,False,practice only,Nia->Sera:0.33
87,6,Milo,Ren,Signal Guild,0.349,0.002,0.351,0.508,False,practice only,Milo->Ren:0.35
88,6,Ivo,Mara,Seed Guild,0.382,0.006,0.388,0.574,False,practice only,Ivo->Mara:0.39
89,6,Ari,Toma,Bridgewright Guild,0.27,0.002,0.272,0.406,False,practice only,Ari->Toma:0.27
90,6,Fay,Lio,Glassgarden Guild,0.297,0.002,0.299,0.417,False,practice only,Fay->Lio:0.30
91,6,Nia,Sera,Index Guild,0.326,0.002,0.328,0.484,False,practice only,Nia->Sera:0.33
92,6,Milo,Ren,Signal Guild,0.351,0.002,0.353,0.514,False,practice only,Milo->Ren:0.35
93,6,Ivo,Mara,Seed Guild,0.388,0.006,0.394,0.592,False,practice only,Ivo->Mara:0.39
94,6,Ari,Toma,Bridgewright Guild,0.272,0.002,0.274,0.412,False,practice only,Ari->Toma:0.27
95,6,Fay,Lio,Glassgarden Guild,0.299,0.002,0.301,0.398,False,practice only,Fay->Lio:0.30
96,7,Nia,Sera,Index Guild,0.328,0.002,0.33,0.465,False,practice only,Nia->Sera:0.33
97,7,Milo,Ren,Signal Guild,0.353,0.002,0.355,0.52,False,practice only,Milo->Ren:0.36
98,7,Ivo,Mara,Seed Guild,0.394,0.002,0.396,0.598,False,practice only,Ivo->Mara:0.40
99,7,Ari,Toma,Bridgewright Guild,0.274,0.006,0.28,0.43,False,practice only,Ari->Toma:0.28
100,7,Fay,Lio,Glassgarden Guild,0.301,0.002,0.303,0.404,False,practice only,Fay->Lio:0.30
101,7,Nia,Sera,Index Guild,0.33,0.002,0.332,0.471,False,practice only,Nia->Sera:0.33
102,7,Milo,Ren,Signal Guild,0.355,0.002,0.357,0.526,False,practice only,Milo->Ren:0.36
103,7,Ivo,Mara,Seed Guild,0.396,0.002,0.398,0.604,False,practice only,Ivo->Mara:0.40
104,7,Ari,Toma,Bridgewright Guild,0.28,0.006,0.286,0.448,False,practice only,Ari->Toma:0.29
105,7,Fay,Lio,Glassgarden Guild,0.303,0.002,0.305,0.41,False,practice only,Fay->Lio:0.31
106,7,Nia,Sera,Index Guild,0.332,0.002,0.334,0.477,False,practice only,Nia->Sera:0.33
107,7,Milo,Ren,Signal Guild,0.357,0.002,0.359,0.532,False,practice only,Milo->Ren:0.36
108,7,Ivo,Mara,Seed Guild,0.398,0.002,0.4,0.61,False,practice only,Ivo->Mara:0.40
109,7,Ari,Toma,Bridgewright Guild,0.286,0.006,0.292,0.466,False,practice only,Ari->Toma:0.29
110,7,Fay,Lio,Glassgarden Guild,0.305,0.002,0.307,0.416,False,practice only,Fay->Lio:0.31
111,7,Nia,Sera,Index Guild,0.334,0.002,0.336,0.458,False,practice only,Nia->Sera:0.34
112,8,Milo,Ren,Signal Guild,0.359,0.002,0.361,0.513,False,practice only,Milo->Ren:0.36
113,8,Ivo,Mara,Seed Guild,0.4,0.002,0.402,0.616,False,practice only,Ivo->Mara:0.40
114,8,Ari,Toma,Bridgewright Guild,0.292,0.002,0.294,0.472,False,practice only,Ari->Toma:0.29
115,8,Fay,Lio,Glassgarden Guild,0.307,0.006,0.313,0.434,False,practice only,Fay->Lio:0.31
116,8,Nia,Sera,Index Guild,0.336,0.002,0.338,0.464,False,practice only,Nia->Sera:0.34
117,8,Milo,Ren,Signal Guild,0.361,0.002,0.363,0.519,False,practice only,Milo->Ren:0.36
118,8,Ivo,Mara,Seed Guild,0.402,0.002,0.404,0.622,False,practice only,Ivo->Mara:0.40
119,8,Ari,Toma,Bridgewright Guild,0.294,0.002,0.296,0.478,False,practice only,Ari->Toma:0.30
120,8,Fay,Lio,Glassgarden Guild,0.313,0.006,0.319,0.452,False,practice only,Fay->Lio:0.32
121,8,Nia,Sera,Index Guild,0.338,0.002,0.34,0.47,False,practice only,Nia->Sera:0.34
122,8,Milo,Ren,Signal Guild,0.363,0.002,0.365,0.525,False,practice only,Milo->Ren:0.37
123,8,Ivo,Mara,Seed Guild,0.404,0.002,0.406,0.628,False,practice only,Ivo->Mara:0.41
124,8,Ari,Toma,Bridgewright Guild,0.296,0.002,0.298,0.484,False,practice only,Ari->Toma:0.30
125,8,Fay,Lio,Glassgarden Guild,0.319,0.006,0.325,0.47,False,practice only,Fay->Lio:0.33
126,8,Nia,Sera,Index Guild,0.34,0.002,0.342,0.476,False,practice only,Nia->Sera:0.34
127,8,Milo,Ren,Signal Guild,0.365,0.002,0.367,0.506,False,practice only,Milo->Ren:0.37
128,9,Ivo,Mara,Seed Guild,0.406,0.002,0.408,0.609,False,practice only,Ivo->Mara:0.41
129,9,Ari,Toma,Bridgewright Guild,0.298,0.002,0.3,0.49,False,practice only,Ari->Toma:0.30
130,9,Fay,Lio,Glassgarden Guild,0.325,0.002,0.327,0.476,False,practice only,Fay->Lio:0.33
131,9,Nia,Sera,Index Guild,0.342,0.006,0.348,0.494,False,practice only,Nia->Sera:0.35
132,9,Milo,Ren,Signal Guild,0.367,0.002,0.369,0.512,False,practice only,Milo->Ren:0.37
133,9,Ivo,Mara,Seed Guild,0.408,0.002,0.41,0.615,False,practice only,Ivo->Mara:0.41
134,9,Ari,Toma,Bridgewright Guild,0.3,0.002,0.302,0.496,False,practice only,Ari->Toma:0.30
135,9,Fay,Lio,Glassgarden Guild,0.327,0.002,0.329,0.482,False,practice only,Fay->Lio:0.33
136,9,Nia,Sera,Index Guild,0.348,0.006,0.354,0.512,False,practice only,Nia->Sera:0.35
137,9,Milo,Ren,Signal Guild,0.369,0.002,0.371,0.518,False,practice only,Milo->Ren:0.37
138,9,Ivo,Mara,Seed Guild,0.41,0.002,0.412,0.621,False,practice only,Ivo->Mara:0.41
139,9,Ari,Toma,Bridgewright Guild,0.302,0.002,0.304,0.502,False,practice only,Ari->Toma:0.30
140,9,Fay,Lio,Glassgarden Guild,0.329,0.002,0.331,0.488,False,practice only,Fay->Lio:0.33
141,9,Nia,Sera,Index Guild,0.354,0.006,0.36,0.53,False,practice only,Nia->Sera:0.36
142,9,Milo,Ren,Signal Guild,0.371,0.002,0.373,0.524,False,practice only,Milo->Ren:0.37
143,9,Ivo,Mara,Seed Guild,0.412,0.002,0.414,0.602,False,practice only,Ivo->Mara:0.41
144,10,Ari,Toma,Bridgewright Guild,0.304,0.002,0.306,0.483,False,practice only,Ari->Toma:0.31
145,10,Fay,Lio,Glassgarden Guild,0.331,0.002,0.333,0.494,False,practice only,Fay->Lio:0.33
146,10,Nia,Sera,Index Guild,0.36,0.002,0.362,0.536,False,practice only,Nia->Sera:0.36
147,10,Milo,Ren,Signal Guild,0.373,0.006,0.379,0.542,False,practice only,Milo->Ren:0.38
148,10,Ivo,Mara,Seed Guild,0.414,0.002,0.416,0.608,False,practice only,Ivo->Mara:0.42
149,10,Ari,Toma,Bridgewright Guild,0.306,0.002,0.308,0.489,False,practice only,Ari->Toma:0.31
150,10,Fay,Lio,Glassgarden Guild,0.333,0.002,0.335,0.5,False,practice only,Fay->Lio:0.34
151,10,Nia,Sera,Index Guild,0.362,0.002,0.364,0.542,False,practice only,Nia->Sera:0.36
152,10,Milo,Ren,Signal Guild,0.379,0.006,0.385,0.56,False,practice only,Milo->Ren:0.39
153,10,Ivo,Mara,Seed Guild,0.416,0.002,0.418,0.614,False,practice only,Ivo->Mara:0.42
154,10,Ari,Toma,Bridgewright Guild,0.308,0.002,0.31,0.495,False,practice only,Ari->Toma:0.31
155,10,Fay,Lio,Glassgarden Guild,0.335,0.002,0.337,0.506,False,practice only,Fay->Lio:0.34
156,10,Nia,Sera,Index Guild,0.364,0.002,0.366,0.548,False,practice only,Nia->Sera:0.37
157,10,Milo,Ren,Signal Guild,0.385,0.006,0.391,0.578,False,practice only,Milo->Ren:0.39
158,10,Ivo,Mara,Seed Guild,0.418,0.002,0.42,0.62,False,practice only,Ivo->Mara:0.42
159,10,Ari,Toma,Bridgewright Guild,0.31,0.002,0.312,0.476,False,practice only,Ari->Toma:0.31
160,11,Fay,Lio,Glassgarden Guild,0.337,0.002,0.339,0.487,False,practice only,Fay->Lio:0.34
161,11,Nia,Sera,Index Guild,0.366,0.002,0.368,0.554,False,practice only,Nia->Sera:0.37
162,11,Milo,Ren,Signal Guild,0.391,0.002,0.393,0.584,False,practice only,Milo->Ren:0.39
163,11,Ivo,Mara,Seed Guild,0.42,0.006,0.426,0.638,False,practice only,Ivo->Mara:0.43
164,11,Ari,Toma,Bridgewright Guild,0.312,0.002,0.314,0.482,False,practice only,Ari->Toma:0.31
165,11,Fay,Lio,Glassgarden Guild,0.339,0.002,0.341,0.493,False,practice only,Fay->Lio:0.34
166,11,Nia,Sera,Index Guild,0.368,0.002,0.37,0.56,False,practice only,Nia->Sera:0.37
167,11,Milo,Ren,Signal Guild,0.393,0.002,0.395,0.59,False,practice only,Milo->Ren:0.40
168,11,Ivo,Mara,Seed Guild,0.426,0.006,0.432,0.656,False,practice only,Ivo->Mara:0.43
169,11,Ari,Toma,Bridgewright Guild,0.314,0.002,0.316,0.488,False,practice only,Ari->Toma:0.32
170,11,Fay,Lio,Glassgarden Guild,0.341,0.002,0.343,0.499,False,practice only,Fay->Lio:0.34
171,11,Nia,Sera,Index Guild,0.37,0.002,0.372,0.566,False,practice only,Nia->Sera:0.37
172,11,Milo,Ren,Signal Guild,0.395,0.002,0.397,0.596,False,practice only,Milo->Ren:0.40
173,11,Ivo,Mara,Seed Guild,0.432,0.006,0.438,0.674,False,practice only,Ivo->Mara:0.44
174,11,Ari,Toma,Bridgewright Guild,0.316,0.002,0.318,0.494,False,practice only,Ari->Toma:0.32
175,11,Fay,Lio,Glassgarden Guild,0.343,0.002,0.345,0.48,False,practice only,Fay->Lio:0.35
176,12,Milo,Ren,Signal Guild,0.397,0.002,0.399,0.577,False,practice only,Milo->Ren:0.40
177,12,Ivo,Mara,Seed Guild,0.438,0.002,0.44,0.68,False,practice only,Ivo->Mara:0.44
178,12,Ari,Toma,Bridgewright Guild,0.318,0.002,0.32,0.5,False,practice only,Ari->Toma:0.32
179,12,Fay,Lio,Glassgarden Guild,0.345,0.006,0.351,0.498,False,practice only,Fay->Lio:0.35
180,12,Nia,Sera,Index Guild,0.372,0.002,0.374,0.572,False,practice only,Nia->Sera:0.37
181,12,Milo,Ren,Signal Guild,0.399,0.002,0.401,0.583,False,practice only,Milo->Ren:0.40
182,12,Ivo,Mara,Seed Guild,0.44,0.002,0.442,0.686,False,practice only,Ivo->Mara:0.44
183,12,Ari,Toma,Bridgewright Guild,0.32,0.002,0.322,0.506,False,practice only,Ari->Toma:0.32
184,12,Fay,Lio,Glassgarden Guild,0.351,0.006,0.357,0.516,False,practice only,Fay->Lio:0.36
185,12,Nia,Sera,Index Guild,0.374,0.002,0.376,0.578,False,practice only,Nia->Sera:0.38
186,12,Milo,Ren,Signal Guild,0.401,0.002,0.403,0.589,False,practice only,Milo->Ren:0.40
187,12,Ivo,Mara,Seed Guild,0.442,0.002,0.444,0.692,False,practice only,Ivo->Mara:0.44
188,12,Ari,Toma,Bridgewright Guild,0.322,0.002,0.324,0.512,False,practice only,Ari->Toma:0.32
189,12,Fay,Lio,Glassgarden Guild,0.357,0.006,0.363,0.534,False,practice only,Fay->Lio:0.36
190,12,Nia,Sera,Index Guild,0.376,0.002,0.378,0.584,False,practice only,Nia->Sera:0.38
191,12,Milo,Ren,Signal Guild,0.403,0.002,0.405,0.57,False,practice only,Milo->Ren:0.41
192,13,Ivo,Mara,Seed Guild,0.444,0.002,0.446,0.673,False,practice only,Ivo->Mara:0.45
193,13,Ari,Toma,Bridgewright Guild,0.324,0.002,0.326,0.518,False,practice only,Ari->Toma:0.33
194,13,Fay,Lio,Glassgarden Guild,0.363,0.002,0.365,0.54,False,practice only,Fay->Lio:0.37
195,13,Nia,Sera,Index Guild,0.378,0.006,0.384,0.602,False,practice only,Nia->Sera:0.38
196,13,Milo,Ren,Signal Guild,0.405,0.002,0.407,0.576,False,practice only,Milo->Ren:0.41
197,13,Ivo,Mara,Seed Guild,0.446,0.002,0.448,0.679,False,practice only,Ivo->Mara:0.45
198,13,Ari,Toma,Bridgewright Guild,0.326,0.002,0.328,0.524,False,practice only,Ari->Toma:0.33
199,13,Fay,Lio,Glassgarden Guild,0.365,0.002,0.367,0.546,False,practice only,Fay->Lio:0.37
200,13,Nia,Sera,Index Guild,0.384,0.006,0.39,0.62,False,practice only,Nia->Sera:0.39
201,13,Milo,Ren,Signal Guild,0.407,0.002,0.409,0.582,False,practice only,Milo->Ren:0.41
202,13,Ivo,Mara,Seed Guild,0.448,0.002,0.45,0.685,False,practice only,Ivo->Mara:0.45
203,13,Ari,Toma,Bridgewright Guild,0.328,0.002,0.33,0.53,False,practice only,Ari->Toma:0.33
204,13,Fay,Lio,Glassgarden Guild,0.367,0.002,0.369,0.552,False,practice only,Fay->Lio:0.37
205,13,Nia,Sera,Index Guild,0.39,0.006,0.396,0.638,False,practice only,Nia->Sera:0.40
206,13,Milo,Ren,Signal Guild,0.409,0.002,0.411,0.588,False,practice only,Milo->Ren:0.41
207,13,Ivo,Mara,Seed Guild,0.45,0.006,0.456,0.678,False,practice only,Ivo->Mara:0.46
208,14,Ari,Toma,Bridgewright Guild,0.33,0.002,0.332,0.511,False,practice only,Ari->Toma:0.33
209,14,Fay,Lio,Glassgarden Guild,0.369,0.002,0.371,0.558,False,practice only,Fay->Lio:0.37
210,14,Nia,Sera,Index Guild,0.396,0.002,0.398,0.644,False,practice only,Nia->Sera:0.40
211,14,Milo,Ren,Signal Guild,0.411,0.006,0.417,0.606,False,practice only,Milo->Ren:0.42
212,14,Ivo,Mara,Seed Guild,0.456,0.002,0.458,0.684,False,practice only,Ivo->Mara:0.46
213,14,Ari,Toma,Bridgewright Guild,0.332,0.002,0.334,0.517,False,practice only,Ari->Toma:0.33
214,14,Fay,Lio,Glassgarden Guild,0.371,0.002,0.373,0.564,False,practice only,Fay->Lio:0.37
215,14,Nia,Sera,Index Guild,0.398,0.002,0.4,0.65,False,practice only,Nia->Sera:0.40
216,14,Milo,Ren,Signal Guild,0.417,0.006,0.423,0.624,False,practice only,Milo->Ren:0.42
217,14,Ivo,Mara,Seed Guild,0.458,0.002,0.46,0.69,False,practice only,Ivo->Mara:0.46
218,14,Ari,Toma,Bridgewright Guild,0.334,0.002,0.336,0.523,False,practice only,Ari->Toma:0.34
219,14,Fay,Lio,Glassgarden Guild,0.373,0.002,0.375,0.57,False,practice only,Fay->Lio:0.38
220,14,Nia,Sera,Index Guild,0.4,0.002,0.402,0.656,False,practice only,Nia->Sera:0.40
221,14,Milo,Ren,Signal Guild,0.423,0.006,0.429,0.642,False,practice only,Milo->Ren:0.43
222,14,Ivo,Mara,Seed Guild,0.46,0.002,0.462,0.696,False,practice only,Ivo->Mara:0.46
223,14,Ari,Toma,Bridgewright Guild,0.336,0.002,0.338,0.504,False,practice only,Ari->Toma:0.34
224,15,Fay,Lio,Glassgarden Guild,0.375,0.002,0.377,0.551,False,practice only,Fay->Lio:0.38
225,15,Nia,Sera,Index Guild,0.402,0.002,0.404,0.662,False,practice only,Nia->Sera:0.40
226,15,Milo,Ren,Signal Guild,0.429,0.006,0.435,0.66,False,practice only,Milo->Ren:0.44
227,15,Ivo,Mara,Seed Guild,0.462,0.006,0.468,0.714,False,practice only,Ivo->Mara:0.47
228,15,Ari,Toma,Bridgewright Guild,0.338,0.002,0.34,0.51,False,practice only,Ari->Toma:0.34
229,15,Fay,Lio,Glassgarden Guild,0.377,0.002,0.379,0.557,False,practice only,Fay->Lio:0.38
230,15,Nia,Sera,Index Guild,0.404,0.002,0.406,0.668,False,practice only,Nia->Sera:0.41
231,15,Milo,Ren,Signal Guild,0.435,0.006,0.441,0.678,False,practice only,Milo->Ren:0.44
232,15,Ivo,Mara,Seed Guild,0.468,0.006,0.474,0.732,False,practice only,Ivo->Mara:0.47
233,15,Ari,Toma,Bridgewright Guild,0.34,0.002,0.342,0.516,False,practice only,Ari->Toma:0.34
234,15,Fay,Lio,Glassgarden Guild,0.379,0.002,0.381,0.563,False,practice only,Fay->Lio:0.38
235,15,Nia,Sera,Index Guild,0.406,0.002,0.408,0.674,False,practice only,Nia->Sera:0.41
236,15,Milo,Ren,Signal Guild,0.441,0.002,0.443,0.684,False,practice only,Milo->Ren:0.44
237,15,Ivo,Mara,Seed Guild,0.474,0.006,0.48,0.75,False,practice only,Ivo->Mara:0.48
238,15,Ari,Toma,Bridgewright Guild,0.342,0.002,0.344,0.522,False,practice only,Ari->Toma:0.34
239,15,Fay,Lio,Glassgarden Guild,0.381,0.002,0.383,0.544,False,practice only,Fay->Lio:0.38
240,16,Nia,Sera,Index Guild,0.408,0.002,0.41,0.655,False,practice only,Nia->Sera:0.41
241,16,Milo,Ren,Signal Guild,0.443,0.002,0.445,0.69,False,practice only,Milo->Ren:0.45
242,16,Ivo,Mara,Seed Guild,0.48,0.006,0.486,0.768,False,practice only,Ivo->Mara:0.49
243,16,Ari,Toma,Bridgewright Guild,0.344,0.006,0.35,0.54,False,practice only,Ari->Toma:0.35
244,16,Fay,Lio,Glassgarden Guild,0.383,0.002,0.385,0.55,False,practice only,Fay->Lio:0.39
245,16,Nia,Sera,Index Guild,0.41,0.002,0.412,0.661,False,practice only,Nia->Sera:0.41
246,16,Milo,Ren,Signal Guild,0.445,0.002,0.447,0.696,False,practice only,Milo->Ren:0.45
247,16,Ivo,Mara,Seed Guild,0.486,0.006,0.492,0.786,False,practice only,Ivo->Mara:0.49
248,16,Ari,Toma,Bridgewright Guild,0.35,0.006,0.356,0.558,False,practice only,Ari->Toma:0.36
249,16,Fay,Lio,Glassgarden Guild,0.385,0.002,0.387,0.556,False,practice only,Fay->Lio:0.39
250,16,Nia,Sera,Index Guild,0.412,0.002,0.414,0.667,False,practice only,Nia->Sera:0.41
251,16,Milo,Ren,Signal Guild,0.447,0.002,0.449,0.702,False,practice only,Milo->Ren:0.45
252,16,Ivo,Mara,Seed Guild,0.492,0.006,0.498,0.804,False,practice only,Ivo->Mara:0.50
253,16,Ari,Toma,Bridgewright Guild,0.356,0.006,0.362,0.576,False,practice only,Ari->Toma:0.36
