tick_id,day,season,region,forecast_key,stored_by,hazard,risk_score,valid_until_day,used_for_route,forecast_revision,public_archive_visible
57,5,spring_rain,signal_ridge,forecast:signal_orchard:d5:r3,Milo,dusk ice,0.492025,10,signal_orchard,3,True
58,5,spring_rain,orchard_fen,forecast:orchard_riverbend:d5:r3,Ivo,fen mud,0.544763,10,orchard_riverbend,3,True
59,5,spring_rain,central_exchange,forecast:central_repair_ring:d5:r1,Juno,crowded repair yard,0.590988,10,central_repair_ring,2,True
60,5,spring_rain,riverbend,forecast:riverbend_roofward:d5:r2,Ari,river flood,0.565899,10,riverbend_roofward,2,True
61,5,spring_rain,roofward,forecast:roofward_archive:d5:r4,Fay,glasshouse heat surge,0.474528,10,roofward_archive,4,True
62,5,spring_rain,archive_quarter,forecast:archive_signal:d5:r4,Nia,wind archive scatter,0.497526,10,archive_signal,4,True
63,5,spring_rain,signal_ridge,forecast:signal_orchard:d5:r3,Milo,dusk ice,0.405709,10,signal_orchard,4,True
64,5,spring_rain,orchard_fen,forecast:orchard_riverbend:d5:r3,Ivo,fen mud,0.544763,10,orchard_riverbend,3,True
65,5,spring_rain,central_exchange,forecast:central_repair_ring:d5:r2,Juno,crowded repair yard,0.610251,10,central_repair_ring,3,True
66,5,spring_rain,riverbend,forecast:riverbend_roofward:d5:r2,Ari,river flood,0.565899,10,riverbend_roofward,2,True
67,5,spring_rain,roofward,forecast:roofward_archive:d5:r4,Fay,glasshouse heat surge,0.474528,10,roofward_archive,4,True
68,5,spring_rain,archive_quarter,forecast:archive_signal:d5:r4,Nia,wind archive scatter,0.497526,10,archive_signal,4,True
69,5,spring_rain,signal_ridge,forecast:signal_orchard:d5:r4,Milo,dusk ice,0.405709,10,signal_orchard,4,True
70,6,spring_rain,orchard_fen,forecast:orchard_riverbend:d6:r3,Ivo,fen mud,0.421076,11,orchard_riverbend,4,True
71,6,spring_rain,central_exchange,forecast:central_repair_ring:d6:r3,Juno,crowded repair yard,0.610251,11,central_repair_ring,3,True
72,6,spring_rain,riverbend,forecast:riverbend_roofward:d6:r2,Ari,river flood,0.565899,11,riverbend_roofward,2,True
73,6,spring_rain,roofward,forecast:roofward_archive:d6:r4,Fay,glasshouse heat surge,0.474528,11,roofward_archive,4,True
74,6,spring_rain,archive_quarter,forecast:archive_signal:d6:r4,Nia,wind archive scatter,0.497526,11,archive_signal,4,True
75,6,spring_rain,signal_ridge,forecast:signal_orchard:d6:r4,Milo,dusk ice,0.405709,11,signal_orchard,4,True
76,6,spring_rain,orchard_fen,forecast:orchard_riverbend:d6:r4,Ivo,fen mud,0.421076,11,orchard_riverbend,4,True
77,6,spring_rain,central_exchange,forecast:central_repair_ring:d6:r3,Juno,crowded repair yard,0.566806,11,central_repair_ring,4,True
78,6,spring_rain,riverbend,forecast:riverbend_roofward:d6:r2,Ari,river flood,0.565899,11,riverbend_roofward,2,True
79,6,spring_rain,roofward,forecast:roofward_archive:d6:r4,Fay,glasshouse heat surge,0.474528,11,roofward_archive,4,True
80,6,spring_rain,archive_quarter,forecast:archive_signal:d6:r4,Nia,wind archive scatter,0.497526,11,archive_signal,4,True
81,6,spring_rain,signal_ridge,forecast:signal_orchard:d6:r4,Milo,dusk ice,0.405709,11,signal_orchard,4,True
82,6,spring_rain,orchard_fen,forecast:orchard_riverbend:d6:r4,Ivo,fen mud,0.421076,11,orchard_riverbend,4,True
83,6,spring_rain,central_exchange,forecast:central_repair_ring:d6:r4,Juno,crowded repair yard,0.566806,11,central_repair_ring,4,True
84,7,spring_rain,roofward,forecast:roofward_archive:d7:r4,Fay,glasshouse heat surge,0.524548,12,roofward_archive,5,True
85,7,spring_rain,archive_quarter,forecast:archive_signal:d7:r4,Nia,wind archive scatter,0.497526,12,archive_signal,4,True
86,7,spring_rain,signal_ridge,forecast:signal_orchard:d7:r4,Milo,dusk ice,0.405709,12,signal_orchard,4,True
87,7,spring_rain,orchard_fen,forecast:orchard_riverbend:d7:r4,Ivo,fen mud,0.421076,12,orchard_riverbend,4,True
88,7,spring_rain,central_exchange,forecast:central_repair_ring:d7:r4,Juno,crowded repair yard,0.566806,12,central_repair_ring,4,True
89,7,spring_rain,riverbend,forecast:riverbend_roofward:d7:r2,Ari,river flood,0.565899,12,riverbend_roofward,2,True
90,7,spring_rain,roofward,forecast:roofward_archive:d7:r5,Fay,glasshouse heat surge,0.524548,12,roofward_archive,5,True
91,7,spring_rain,archive_quarter,forecast:archive_signal:d7:r4,Nia,wind archive scatter,0.444587,12,archive_signal,5,True
92,7,spring_rain,signal_ridge,forecast:signal_orchard:d7:r4,Milo,dusk ice,0.405709,12,signal_orchard,4,True
93,7,spring_rain,orchard_fen,forecast:orchard_riverbend:d7:r4,Ivo,fen mud,0.421076,12,orchard_riverbend,4,True
94,7,spring_rain,central_exchange,forecast:central_repair_ring:d7:r4,Juno,crowded repair yard,0.566806,12,central_repair_ring,4,True
95,7,spring_rain,riverbend,forecast:riverbend_roofward:d7:r2,Ari,river flood,0.565899,12,riverbend_roofward,2,True
96,7,spring_rain,roofward,forecast:roofward_archive:d7:r5,Fay,glasshouse heat surge,0.524548,12,roofward_archive,5,True
97,7,spring_rain,archive_quarter,forecast:archive_signal:d7:r5,Nia,wind archive scatter,0.444587,12,archive_signal,5,True
98,8,spring_rain,signal_ridge,forecast:signal_orchard:d8:r4,Milo,dusk ice,0.425764,13,signal_orchard,5,True
99,8,spring_rain,orchard_fen,forecast:orchard_riverbend:d8:r4,Ivo,fen mud,0.421076,13,orchard_riverbend,4,True
100,8,spring_rain,central_exchange,forecast:central_repair_ring:d8:r4,Juno,crowded repair yard,0.566806,13,central_repair_ring,4,True
101,8,spring_rain,riverbend,forecast:riverbend_roofward:d8:r2,Ari,river flood,0.565899,13,riverbend_roofward,2,True
102,8,spring_rain,roofward,forecast:roofward_archive:d8:r5,Fay,glasshouse heat surge,0.524548,13,roofward_archive,5,True
103,8,spring_rain,archive_quarter,forecast:archive_signal:d8:r5,Nia,wind archive scatter,0.444587,13,archive_signal,5,True
104,8,spring_rain,signal_ridge,forecast:signal_orchard:d8:r5,Milo,dusk ice,0.425764,13,signal_orchard,5,True
105,8,spring_rain,orchard_fen,forecast:orchard_riverbend:d8:r4,Ivo,fen mud,0.552781,13,orchard_riverbend,5,True
106,8,spring_rain,central_exchange,forecast:central_repair_ring:d8:r4,Juno,crowded repair yard,0.566806,13,central_repair_ring,4,True
107,8,spring_rain,riverbend,forecast:riverbend_roofward:d8:r2,Ari,river flood,0.565899,13,riverbend_roofward,2,True
108,8,spring_rain,roofward,forecast:roofward_archive:d8:r5,Fay,glasshouse heat surge,0.524548,13,roofward_archive,5,True
109,8,spring_rain,archive_quarter,forecast:archive_signal:d8:r5,Nia,wind archive scatter,0.444587,13,archive_signal,5,True
110,8,spring_rain,signal_ridge,forecast:signal_orchard:d8:r5,Milo,dusk ice,0.425764,13,signal_orchard,5,True
111,8,spring_rain,orchard_fen,forecast:orchard_riverbend:d8:r5,Ivo,fen mud,0.552781,13,orchard_riverbend,5,True
112,9,spring_rain,central_exchange,forecast:central_repair_ring:d9:r4,Juno,crowded repair yard,0.593586,14,central_repair_ring,5,True
113,9,spring_rain,riverbend,forecast:riverbend_roofward:d9:r2,Ari,river flood,0.420532,14,riverbend_roofward,3,True
114,9,spring_rain,roofward,forecast:roofward_archive:d9:r5,Fay,glasshouse heat surge,0.524548,14,roofward_archive,5,True
115,9,spring_rain,archive_quarter,forecast:archive_signal:d9:r5,Nia,wind archive scatter,0.444587,14,archive_signal,5,True
116,9,spring_rain,signal_ridge,forecast:signal_orchard:d9:r5,Milo,dusk ice,0.425764,14,signal_orchard,5,True
117,9,spring_rain,orchard_fen,forecast:orchard_riverbend:d9:r5,Ivo,fen mud,0.552781,14,orchard_riverbend,5,True
118,9,spring_rain,central_exchange,forecast:central_repair_ring:d9:r5,Juno,crowded repair yard,0.593586,14,central_repair_ring,5,True
119,9,spring_rain,riverbend,forecast:riverbend_roofward:d9:r3,Ari,river flood,0.423029,14,riverbend_roofward,4,True
120,9,spring_rain,roofward,forecast:roofward_archive:d9:r5,Fay,glasshouse heat surge,0.524548,14,roofward_archive,5,True
121,9,spring_rain,archive_quarter,forecast:archive_signal:d9:r5,Nia,wind archive scatter,0.444587,14,archive_signal,5,True
122,9,spring_rain,signal_ridge,forecast:signal_orchard:d9:r5,Milo,dusk ice,0.425764,14,signal_orchard,5,True
123,9,spring_rain,orchard_fen,forecast:orchard_riverbend:d9:r5,Ivo,fen mud,0.552781,14,orchard_riverbend,5,True
124,9,spring_rain,central_exchange,forecast:central_repair_ring:d9:r5,Juno,crowded repair yard,0.593586,14,central_repair_ring,5,True
125,9,spring_rain,riverbend,forecast:riverbend_roofward:d9:r4,Ari,river flood,0.466928,14,riverbend_roofward,5,True
126,10,spring_rain,roofward,forecast:roofward_archive:d10:r5,Fay,glasshouse heat surge,0.452153,15,roofward_archive,6,True
127,10,spring_rain,archive_quarter,forecast:archive_signal:d10:r5,Nia,wind archive scatter,0.444587,15,archive_signal,5,True
128,10,spring_rain,signal_ridge,forecast:signal_orchard:d10:r5,Milo,dusk ice,0.425764,15,signal_orchard,5,True
129,10,spring_rain,orchard_fen,forecast:orchard_riverbend:d10:r5,Ivo,fen mud,0.552781,15,orchard_riverbend,5,True
130,10,spring_rain,central_exchange,forecast:central_repair_ring:d10:r5,Juno,crowded repair yard,0.593586,15,central_repair_ring,5,True
131,10,spring_rain,riverbend,forecast:riverbend_roofward:d10:r5,Ari,river flood,0.466928,15,riverbend_roofward,5,True
132,10,spring_rain,roofward,forecast:roofward_archive:d10:r6,Fay,glasshouse heat surge,0.475083,15,roofward_archive,7,True
133,10,spring_rain,archive_quarter,forecast:archive_signal:d10:r5,Nia,wind archive scatter,0.559364,15,archive_signal,6,True
134,10,spring_rain,signal_ridge,forecast:signal_orchard:d10:r5,Milo,dusk ice,0.425764,15,signal_orchard,5,True
135,10,spring_rain,orchard_fen,forecast:orchard_riverbend:d10:r5,Ivo,fen mud,0.552781,15,orchard_riverbend,5,True
136,10,spring_rain,central_exchange,forecast:central_repair_ring:d10:r5,Juno,crowded repair yard,0.593586,15,central_repair_ring,5,True
137,10,spring_rain,riverbend,forecast:riverbend_roofward:d10:r5,Ari,river flood,0.466928,15,riverbend_roofward,5,True
138,10,spring_rain,roofward,forecast:roofward_archive:d10:r7,Fay,glasshouse heat surge,0.611103,15,roofward_archive,8,True
139,10,spring_rain,archive_quarter,forecast:archive_signal:d10:r6,Nia,wind archive scatter,0.559364,15,archive_signal,6,True
140,11,spring_rain,signal_ridge,forecast:signal_orchard:d11:r5,Milo,dusk ice,0.554094,16,signal_orchard,6,True
141,11,spring_rain,orchard_fen,forecast:orchard_riverbend:d11:r5,Ivo,fen mud,0.552781,16,orchard_riverbend,5,True
142,11,spring_rain,central_exchange,forecast:central_repair_ring:d11:r5,Juno,crowded repair yard,0.593586,16,central_repair_ring,5,True
143,11,spring_rain,riverbend,forecast:riverbend_roofward:d11:r5,Ari,river flood,0.466928,16,riverbend_roofward,5,True
144,11,spring_rain,roofward,forecast:roofward_archive:d11:r8,Fay,glasshouse heat surge,0.611103,16,roofward_archive,8,True
145,11,spring_rain,archive_quarter,forecast:archive_signal:d11:r6,Nia,wind archive scatter,0.548302,16,archive_signal,7,True
146,11,spring_rain,signal_ridge,forecast:signal_orchard:d11:r6,Milo,dusk ice,0.554094,16,signal_orchard,6,True
147,11,spring_rain,orchard_fen,forecast:orchard_riverbend:d11:r5,Ivo,fen mud,0.503259,16,orchard_riverbend,6,True
148,11,spring_rain,central_exchange,forecast:central_repair_ring:d11:r5,Juno,crowded repair yard,0.593586,16,central_repair_ring,5,True
149,11,spring_rain,riverbend,forecast:riverbend_roofward:d11:r5,Ari,river flood,0.466928,16,riverbend_roofward,5,True
150,11,spring_rain,roofward,forecast:roofward_archive:d11:r8,Fay,glasshouse heat surge,0.611103,16,roofward_archive,8,True
151,11,spring_rain,archive_quarter,forecast:archive_signal:d11:r7,Nia,wind archive scatter,0.588405,16,archive_signal,8,True
152,11,spring_rain,signal_ridge,forecast:signal_orchard:d11:r6,Milo,dusk ice,0.554094,16,signal_orchard,6,True
153,11,spring_rain,orchard_fen,forecast:orchard_riverbend:d11:r6,Ivo,fen mud,0.503259,16,orchard_riverbend,6,True
154,12,spring_rain,central_exchange,forecast:central_repair_ring:d12:r5,Juno,crowded repair yard,0.514684,17,central_repair_ring,6,True
155,12,spring_rain,riverbend,forecast:riverbend_roofward:d12:r5,Ari,river flood,0.466928,17,riverbend_roofward,5,True
156,12,spring_rain,roofward,forecast:roofward_archive:d12:r8,Fay,glasshouse heat surge,0.611103,17,roofward_archive,8,True
157,12,spring_rain,archive_quarter,forecast:archive_signal:d12:r8,Nia,wind archive scatter,0.588405,17,archive_signal,8,True
158,12,spring_rain,signal_ridge,forecast:signal_orchard:d12:r6,Milo,dusk ice,0.590026,17,signal_orchard,7,True
159,12,spring_rain,orchard_fen,forecast:orchard_riverbend:d12:r6,Ivo,fen mud,0.503259,17,orchard_riverbend,6,True
160,12,spring_rain,central_exchange,forecast:central_repair_ring:d12:r6,Juno,crowded repair yard,0.514684,17,central_repair_ring,6,True
161,12,spring_rain,riverbend,forecast:riverbend_roofward:d12:r5,Ari,river flood,0.56562,17,riverbend_roofward,6,True
162,12,spring_rain,roofward,forecast:roofward_archive:d12:r8,Fay,glasshouse heat surge,0.611103,17,roofward_archive,8,True
163,12,spring_rain,archive_quarter,forecast:archive_signal:d12:r8,Nia,wind archive scatter,0.588405,17,archive_signal,8,True
164,12,spring_rain,signal_ridge,forecast:signal_orchard:d12:r7,Milo,dusk ice,0.427287,17,signal_orchard,8,True
165,12,spring_rain,orchard_fen,forecast:orchard_riverbend:d12:r6,Ivo,fen mud,0.503259,17,orchard_riverbend,6,True
166,12,spring_rain,central_exchange,forecast:central_repair_ring:d12:r6,Juno,crowded repair yard,0.514684,17,central_repair_ring,6,True
167,12,spring_rain,riverbend,forecast:riverbend_roofward:d12:r6,Ari,river flood,0.56562,17,riverbend_roofward,6,True
168,13,spring_rain,roofward,forecast:roofward_archive:d13:r8,Fay,glasshouse heat surge,0.605989,18,roofward_archive,9,True
169,13,spring_rain,archive_quarter,forecast:archive_signal:d13:r8,Nia,wind archive scatter,0.588405,18,archive_signal,8,True
170,13,spring_rain,signal_ridge,forecast:signal_orchard:d13:r8,Milo,dusk ice,0.427287,18,signal_orchard,8,True
171,13,spring_rain,orchard_fen,forecast:orchard_riverbend:d13:r6,Ivo,fen mud,0.489393,18,orchard_riverbend,7,True
172,13,spring_rain,central_exchange,forecast:central_repair_ring:d13:r6,Juno,crowded repair yard,0.514684,18,central_repair_ring,6,True
173,13,spring_rain,riverbend,forecast:riverbend_roofward:d13:r6,Ari,river flood,0.56562,18,riverbend_roofward,6,True
174,13,spring_rain,roofward,forecast:roofward_archive:d13:r9,Fay,glasshouse heat surge,0.605989,18,roofward_archive,9,True
175,13,spring_rain,archive_quarter,forecast:archive_signal:d13:r8,Nia,wind archive scatter,0.513233,18,archive_signal,9,True
176,13,spring_rain,signal_ridge,forecast:signal_orchard:d13:r8,Milo,dusk ice,0.427287,18,signal_orchard,8,True
177,13,spring_rain,orchard_fen,forecast:orchard_riverbend:d13:r7,Ivo,fen mud,0.44231,18,orchard_riverbend,8,True
178,13,spring_rain,central_exchange,forecast:central_repair_ring:d13:r6,Juno,crowded repair yard,0.514684,18,central_repair_ring,6,True
179,13,spring_rain,riverbend,forecast:riverbend_roofward:d13:r6,Ari,river flood,0.56562,18,riverbend_roofward,6,True
180,13,spring_rain,roofward,forecast:roofward_archive:d13:r9,Fay,glasshouse heat surge,0.605989,18,roofward_archive,9,True
181,13,spring_rain,archive_quarter,forecast:archive_signal:d13:r9,Nia,wind archive scatter,0.513233,18,archive_signal,9,True
182,14,spring_rain,orchard_fen,forecast:orchard_riverbend:d14:r8,Ivo,fen mud,0.515527,19,orchard_riverbend,9,True
183,14,spring_rain,central_exchange,forecast:central_repair_ring:d14:r6,Juno,crowded repair yard,0.406192,19,central_repair_ring,7,True
184,14,spring_rain,riverbend,forecast:riverbend_roofward:d14:r6,Ari,river flood,0.56562,19,riverbend_roofward,6,True
185,14,spring_rain,roofward,forecast:roofward_archive:d14:r9,Fay,glasshouse heat surge,0.605989,19,roofward_archive,9,True
186,14,spring_rain,archive_quarter,forecast:archive_signal:d14:r9,Nia,wind archive scatter,0.513233,19,archive_signal,9,True
187,14,spring_rain,signal_ridge,forecast:signal_orchard:d14:r8,Milo,dusk ice,0.427287,19,signal_orchard,8,True
188,14,spring_rain,orchard_fen,forecast:orchard_riverbend:d14:r9,Ivo,fen mud,0.515527,19,orchard_riverbend,9,True
189,14,spring_rain,central_exchange,forecast:central_repair_ring:d14:r7,Juno,crowded repair yard,0.419014,19,central_repair_ring,8,True
190,14,spring_rain,riverbend,forecast:riverbend_roofward:d14:r6,Ari,river flood,0.56562,19,riverbend_roofward,6,True
191,14,spring_rain,roofward,forecast:roofward_archive:d14:r9,Fay,glasshouse heat surge,0.605989,19,roofward_archive,9,True
192,14,spring_rain,archive_quarter,forecast:archive_signal:d14:r9,Nia,wind archive scatter,0.513233,19,archive_signal,9,True
193,14,spring_rain,signal_ridge,forecast:signal_orchard:d14:r8,Milo,dusk ice,0.427287,19,signal_orchard,8,True
194,14,spring_rain,orchard_fen,forecast:orchard_riverbend:d14:r9,Ivo,fen mud,0.515527,19,orchard_riverbend,9,True
195,14,spring_rain,central_exchange,forecast:central_repair_ring:d14:r8,Juno,crowded repair yard,0.465804,19,central_repair_ring,9,True
196,15,spring_rain,riverbend,forecast:riverbend_roofward:d15:r6,Ari,river flood,0.420454,20,riverbend_roofward,7,True
197,15,spring_rain,roofward,forecast:roofward_archive:d15:r9,Fay,glasshouse heat surge,0.605989,20,roofward_archive,9,True
198,15,spring_rain,archive_quarter,forecast:archive_signal:d15:r9,Nia,wind archive scatter,0.513233,20,archive_signal,9,True
199,15,spring_rain,signal_ridge,forecast:signal_orchard:d15:r8,Milo,dusk ice,0.427287,20,signal_orchard,8,True
200,15,spring_rain,orchard_fen,forecast:orchard_riverbend:d15:r9,Ivo,fen mud,0.515527,20,orchard_riverbend,9,True
201,15,spring_rain,central_exchange,forecast:central_repair_ring:d15:r9,Juno,crowded repair yard,0.465804,20,central_repair_ring,9,True
202,15,spring_rain,riverbend,forecast:riverbend_roofward:d15:r7,Ari,river flood,0.420454,20,riverbend_roofward,7,True
203,15,spring_rain,roofward,forecast:roofward_archive:d15:r9,Fay,glasshouse heat surge,0.561357,20,roofward_archive,10,True
204,15,spring_rain,archive_quarter,forecast:archive_signal:d15:r9,Nia,wind archive scatter,0.513233,20,archive_signal,9,True
205,15,spring_rain,signal_ridge,forecast:signal_orchard:d15:r8,Milo,dusk ice,0.427287,20,signal_orchard,8,True
206,15,spring_rain,orchard_fen,forecast:orchard_riverbend:d15:r9,Ivo,fen mud,0.515527,20,orchard_riverbend,9,True
207,15,spring_rain,central_exchange,forecast:central_repair_ring:d15:r9,Juno,crowded repair yard,0.465804,20,central_repair_ring,9,True
208,15,spring_rain,riverbend,forecast:riverbend_roofward:d15:r7,Ari,river flood,0.420454,20,riverbend_roofward,7,True
209,15,spring_rain,roofward,forecast:roofward_archive:d15:r10,Fay,glasshouse heat surge,0.561357,20,roofward_archive,10,True
210,16,spring_rain,archive_quarter,forecast:archive_signal:d16:r9,Nia,wind archive scatter,0.535385,21,archive_signal,10,True
211,16,spring_rain,signal_ridge,forecast:signal_orchard:d16:r8,Milo,dusk ice,0.427287,21,signal_orchard,8,True
212,16,spring_rain,orchard_fen,forecast:orchard_riverbend:d16:r9,Ivo,fen mud,0.515527,21,orchard_riverbend,9,True
213,16,spring_rain,central_exchange,forecast:central_repair_ring:d16:r9,Juno,crowded repair yard,0.465804,21,central_repair_ring,9,True
214,16,spring_rain,riverbend,forecast:riverbend_roofward:d16:r7,Ari,river flood,0.420454,21,riverbend_roofward,7,True
215,16,spring_rain,roofward,forecast:roofward_archive:d16:r10,Fay,glasshouse heat surge,0.561357,21,roofward_archive,10,True
216,16,spring_rain,archive_quarter,forecast:archive_signal:d16:r10,Nia,wind archive scatter,0.535385,21,archive_signal,10,True
217,16,spring_rain,signal_ridge,forecast:signal_orchard:d16:r8,Milo,dusk ice,0.42492,21,signal_orchard,9,True
218,16,spring_rain,orchard_fen,forecast:orchard_riverbend:d16:r9,Ivo,fen mud,0.515527,21,orchard_riverbend,9,True
