tick_id,day,tick,project_id,subproject_id,assignee,delegated_by,role,dependency,dependency_ready,progress_before,progress_delta,progress_after,accepted,blocked_reason,visible_status
14,1,14,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
15,1,15,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
16,1,16,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
17,1,17,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
18,1,18,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
19,1,19,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
20,2,0,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.0,0.0,0.0,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
21,2,1,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.0,0.044,0.044,True,none,delegated progress
22,2,2,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
23,2,3,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.0,0.026,0.026,True,none,delegated progress
24,2,4,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.0,0.044,0.044,True,none,delegated progress
25,2,5,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.044,0.044,0.088,True,none,delegated progress
26,2,6,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
27,2,7,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.026,0.026,0.052,True,none,delegated progress
28,2,8,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.044,0.044,0.088,True,none,delegated progress
29,2,9,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.088,0.044,0.132,True,none,delegated progress
30,2,10,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
31,2,11,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.052,0.026,0.078,True,none,delegated progress
32,2,12,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.088,0.044,0.132,True,none,delegated progress
33,2,13,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.132,0.044,0.176,True,none,delegated progress
34,2,14,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
35,2,15,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.078,0.026,0.104,True,none,delegated progress
36,2,16,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.132,0.044,0.176,True,none,delegated progress
37,2,17,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.176,0.0,0.176,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
38,2,18,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
39,2,19,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.104,0.026,0.13,True,none,delegated progress
40,3,0,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
41,3,1,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
42,3,2,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
43,3,3,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
44,3,4,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
45,3,5,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
46,3,6,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
47,3,7,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
48,3,8,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
49,3,9,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
50,3,10,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
51,3,11,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
52,3,12,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
53,3,13,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
54,3,14,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
55,3,15,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
56,3,16,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
57,3,17,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
58,3,18,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
59,3,19,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
60,4,0,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.0,0.032,0.032,True,none,delegated progress
61,4,1,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
62,4,2,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.0,0.026,0.026,True,none,material conflict: archive_public_kiosk priority
63,4,3,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
64,4,4,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.032,0.02624,0.05824,True,none,material conflict: greenhouse_heat_loop priority
65,4,5,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
66,4,6,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.026,0.026,0.052,True,none,material conflict: archive_public_kiosk priority
67,4,7,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
68,4,8,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.05824,0.02624,0.08448,True,none,material conflict: greenhouse_heat_loop priority
69,4,9,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
70,4,10,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.052,0.0,0.052,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
71,4,11,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
72,4,12,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.08448,0.032,0.11648,True,none,delegated progress
73,4,13,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
74,4,14,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.052,0.0,0.052,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
75,4,15,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
76,4,16,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.11648,0.0,0.11648,True,material priority lost,blocked: material priority lost
77,4,17,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
78,4,18,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.052,0.026,0.078,True,none,material conflict: archive_public_kiosk priority
79,4,19,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
80,5,0,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
81,5,1,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.078,0.026,0.104,True,none,material conflict: archive_public_kiosk priority
82,5,2,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
83,5,3,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.11648,0.02624,0.14272,True,none,material conflict: greenhouse_heat_loop priority
84,5,4,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
85,5,5,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.104,0.0,0.104,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
86,5,6,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
87,5,7,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.14272,0.0,0.14272,True,workshop over capacity,blocked: workshop over capacity
88,5,8,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
89,5,9,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.104,0.026,0.13,True,none,delegated progress
90,5,10,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
91,5,11,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.14272,0.032,0.17472,True,none,delegated progress
92,5,12,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
93,5,13,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.13,0.026,0.156,True,none,material conflict: archive_public_kiosk priority
94,5,14,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
95,5,15,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.17472,0.02624,0.20096,True,none,material conflict: greenhouse_heat_loop priority
96,5,16,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
97,5,17,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.156,0.026,0.182,True,none,material conflict: archive_public_kiosk priority
98,5,18,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
99,5,19,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.20096,0.0,0.20096,True,workshop over capacity,blocked: workshop over capacity
100,6,0,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
101,6,1,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
102,6,2,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
103,6,3,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
104,6,4,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
105,6,5,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
106,6,6,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
107,6,7,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
108,6,8,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
109,6,9,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
110,6,10,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
111,6,11,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
112,6,12,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
113,6,13,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
114,6,14,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
115,6,15,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
116,6,16,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
117,6,17,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
118,6,18,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
119,6,19,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
120,7,0,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.176,0.044,0.22,True,none,material conflict: flood_bridge_market_route priority
121,7,1,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
122,7,2,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.13,0.01924,0.14924,True,none,material conflict: dusk_signal_court priority
123,7,3,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.176,0.044,0.22,True,none,delegated progress
124,7,4,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.22,0.0,0.22,True,material priority lost,blocked: material priority lost
125,7,5,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
126,7,6,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.14924,0.026,0.17524,True,none,delegated progress
127,7,7,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.22,0.044,0.264,True,none,material conflict: greenhouse_heat_loop priority
128,7,8,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.22,0.044,0.264,True,none,delegated progress
129,7,9,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
130,7,10,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.17524,0.01924,0.19448,True,none,material conflict: dusk_signal_court priority
131,7,11,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.264,0.044,0.308,True,none,material conflict: greenhouse_heat_loop priority
132,7,12,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.264,0.0,0.264,True,material priority lost,blocked: material priority lost
133,7,13,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
134,7,14,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.19448,0.026,0.22048,True,none,material conflict: dusk_signal_court priority
135,7,15,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.308,0.0,0.308,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
136,7,16,flood_bridge_market_route,survey_piers,Nia,Ari,Nia owns survey_piers,none,True,0.264,0.044,0.308,True,none,material conflict: flood_bridge_market_route priority
137,7,17,archive_public_kiosk,weather_copy,Fay,Nia,Fay owns weather_copy,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
138,7,18,dusk_signal_court,stake_posts,Ari,Milo,Ari owns stake_posts,none,True,0.22048,0.026,0.24648,True,none,delegated progress
139,7,19,greenhouse_heat_loop,plant_bed,Fay,Fay,Fay owns plant_bed,none,True,0.308,0.03256,0.34056,True,none,material conflict: greenhouse_heat_loop priority
140,8,0,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
141,8,1,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
142,8,2,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
143,8,3,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,True,0.0,0.032,0.032,True,none,delegated progress
144,8,4,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
145,8,5,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
146,8,6,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
147,8,7,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,True,0.032,0.032,0.064,True,none,delegated progress
148,8,8,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
149,8,9,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
150,8,10,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
151,8,11,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,True,0.064,0.032,0.096,True,none,material conflict: greenhouse_heat_loop priority
152,8,12,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
153,8,13,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
154,8,14,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
155,8,15,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,True,0.096,0.032,0.128,True,none,delegated progress
156,8,16,flood_bridge_market_route,cut_planks,Ari,Ari,Ari owns cut_planks,survey_piers,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
157,8,17,archive_public_kiosk,lamp_mount,Milo,Nia,Milo owns lamp_mount,build_frame,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
158,8,18,dusk_signal_court,string_wire,Milo,Milo,Milo owns string_wire,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
159,8,19,greenhouse_heat_loop,index_care,Nia,Fay,Nia owns index_care,plant_bed,True,0.128,0.032,0.16,True,none,delegated progress
160,9,0,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
161,9,1,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.182,0.026,0.208,True,none,material conflict: archive_public_kiosk priority
162,9,2,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
163,9,3,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.20096,0.02624,0.2272,True,none,material conflict: greenhouse_heat_loop priority
164,9,4,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
165,9,5,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.208,0.0,0.208,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
166,9,6,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
167,9,7,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.2272,0.032,0.2592,True,none,delegated progress
168,9,8,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
169,9,9,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.208,0.0,0.208,True,material priority lost,blocked: material priority lost
170,9,10,dusk_signal_court,signal_code,Nia,Milo,Nia owns signal_code,string_wire,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
171,9,11,greenhouse_heat_loop,fit_glass,Ari,Fay,Ari owns fit_glass,none,True,0.2592,0.0,0.2592,True,workshop over capacity,blocked: workshop over capacity
172,9,12,flood_bridge_market_route,seal_joints,Fay,Ari,Fay owns seal_joints,cut_planks,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
173,9,13,archive_public_kiosk,sort_index,Nia,Nia,Nia owns sort_index,none,True,0.208,0.026,0.234,True,none,material conflict: archive_public_kiosk priority
