tick_id,day,settlement_id,resident_id,tool_id,owner_id,avatar_action,claim_visible,permission_state,claim_respected,relationship_before,relationship_after,queue_pressure_before,queue_pressure_after,consequence_label,visible_claim_marker
141,8,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.79,0.796,0.534,0.542,claim understood,True
144,9,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.644,0.65,0.455,0.449,claim understood,True
147,9,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.627,0.633,0.491,0.485,claim understood,True
149,9,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.86,0.866,0.542,0.55,claim understood,True
150,9,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.654,0.657,0.449,0.455,boundary respected,True
152,9,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.81,0.816,0.55,0.558,claim understood,True
153,9,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.633,0.636,0.485,0.491,boundary respected,True
156,9,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.653,0.659,0.455,0.449,claim understood,True
159,9,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.636,0.642,0.491,0.485,claim understood,True
161,9,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.88,0.886,0.558,0.566,claim understood,True
162,10,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.634,0.626,0.886,0.94,queue interrupted,True
165,10,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.632,0.638,0.894,0.902,claim understood,True
166,10,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.89,0.896,0.566,0.574,claim understood,True
167,10,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.663,0.666,0.449,0.455,boundary respected,True
168,10,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.63,0.636,0.94,0.922,claim understood,True
169,10,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.84,0.846,0.574,0.582,claim understood,True
170,10,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.652,0.655,0.479,0.485,boundary respected,True
171,10,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.638,0.63,0.902,0.884,queue interrupted,True
174,10,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.64,0.632,0.922,0.904,queue interrupted,True
177,10,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.63,0.636,0.884,0.892,claim understood,True
178,10,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.91,0.916,0.582,0.59,claim understood,True
179,10,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.672,0.675,0.449,0.455,boundary respected,True
180,11,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.86,0.866,0.59,0.598,claim understood,True
183,11,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.92,0.926,0.59,0.598,claim understood,True
184,11,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,not_requested,False,0.675,0.649,0.455,0.5,ownership wound,True
186,11,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.87,0.876,0.598,0.606,claim understood,True
187,11,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.667,0.67,0.473,0.479,boundary respected,True
189,11,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.93,0.936,0.598,0.606,claim understood,True
192,11,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.88,0.886,0.606,0.614,claim understood,True
195,11,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.94,0.946,0.606,0.614,claim understood,True
196,11,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,not_requested,False,0.655,0.629,0.494,0.539,ownership wound,True
198,12,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.676,0.682,0.473,0.467,claim understood,True
200,12,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.95,0.956,0.614,0.622,claim understood,True
201,12,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.625,0.628,0.539,0.545,boundary respected,True
203,12,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.89,0.896,0.614,0.622,claim understood,True
204,12,archive,Nia,signal spool,Nia,touch_claimed_tool,True,not_requested,False,0.686,0.66,0.467,0.512,ownership wound,True
207,12,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.628,0.634,0.545,0.539,claim understood,True
210,12,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.656,0.662,0.512,0.506,claim understood,True
212,12,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.97,0.976,0.63,0.638,claim understood,True
213,12,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.634,0.637,0.539,0.545,boundary respected,True
215,12,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.91,0.916,0.63,0.638,claim understood,True
216,13,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.656,0.662,0.894,0.902,claim understood,True
217,13,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.638,0.646,claim understood,True
218,13,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.637,0.64,0.545,0.551,boundary respected,True
219,13,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.656,0.662,0.894,0.902,claim understood,True
220,13,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.92,0.926,0.638,0.646,claim understood,True
221,13,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.666,0.669,0.506,0.512,boundary respected,True
222,13,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.666,0.658,0.902,0.884,queue interrupted,True
225,13,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.662,0.654,0.902,0.884,queue interrupted,True
228,13,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.662,0.668,0.884,0.892,claim understood,True
229,13,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.654,0.662,claim understood,True
230,13,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.646,0.649,0.545,0.551,boundary respected,True
231,13,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.654,0.66,0.884,0.892,claim understood,True
232,13,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.94,0.946,0.654,0.662,claim understood,True
233,13,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.675,0.678,0.506,0.512,boundary respected,True
234,14,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.662,0.67,claim understood,True
235,14,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.645,0.648,0.551,0.557,boundary respected,True
237,14,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.95,0.956,0.662,0.67,claim understood,True
238,14,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.678,0.681,0.512,0.518,boundary respected,True
240,14,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.98,0.98,0.67,0.678,claim understood,True
243,14,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.96,0.966,0.67,0.678,claim understood,True
246,14,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.678,0.686,claim understood,True
247,14,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.654,0.657,0.551,0.557,boundary respected,True
249,14,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.97,0.976,0.678,0.686,claim understood,True
250,14,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.687,0.69,0.512,0.518,boundary respected,True
252,15,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,not_requested,False,0.657,0.631,0.557,0.602,ownership wound,True
254,15,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.686,0.694,claim understood,True
255,15,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.686,0.689,0.518,0.524,boundary respected,True
258,15,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.627,0.633,0.602,0.596,claim understood,True
261,15,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.689,0.695,0.524,0.518,claim understood,True
263,15,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.694,0.702,claim understood,True
264,15,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,not_requested,False,0.637,0.611,0.596,0.641,ownership wound,True
266,15,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.702,0.71,claim understood,True
267,15,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.695,0.698,0.518,0.524,boundary respected,True
270,16,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.68,0.686,0.894,0.902,claim understood,True
271,16,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.71,0.718,claim understood,True
272,16,archive,Nia,signal spool,Nia,touch_claimed_tool,True,not_requested,False,0.698,0.672,0.524,0.569,ownership wound,True
273,16,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.664,0.656,0.94,0.922,queue interrupted,True
276,16,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.69,0.682,0.902,0.884,queue interrupted,True
279,16,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.656,0.662,0.922,0.904,claim understood,True
280,16,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.718,0.726,claim understood,True
281,16,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.613,0.616,0.635,0.641,boundary respected,True
282,16,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.686,0.692,0.884,0.892,claim understood,True
283,16,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.726,0.734,claim understood,True
284,16,archive,Nia,signal spool,Nia,touch_claimed_tool,True,not_requested,False,0.678,0.652,0.563,0.608,ownership wound,True
285,16,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.662,0.654,0.904,0.886,queue interrupted,True
288,17,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.734,0.742,claim understood,True
289,17,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.648,0.651,0.608,0.614,boundary respected,True
291,17,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.98,0.98,0.734,0.742,claim understood,True
294,17,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.98,0.98,0.742,0.75,claim understood,True
297,17,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.742,0.75,claim understood,True
298,17,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.632,0.635,0.629,0.635,boundary respected,True
300,17,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.75,0.758,claim understood,True
301,17,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.657,0.66,0.608,0.614,boundary respected,True
303,17,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.98,0.98,0.75,0.758,claim understood,True
306,18,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.66,0.663,0.614,0.62,boundary respected,True
309,18,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.641,0.647,0.629,0.623,claim understood,True
312,18,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.659,0.665,0.62,0.614,claim understood,True
314,18,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.766,0.774,claim understood,True
315,18,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.647,0.65,0.623,0.629,boundary respected,True
317,18,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.766,0.774,claim understood,True
318,18,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.669,0.672,0.614,0.62,boundary respected,True
321,18,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.65,0.656,0.629,0.623,claim understood,True
324,19,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.646,0.638,0.94,0.922,queue interrupted,True
327,19,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.688,0.68,0.94,0.922,queue interrupted,True
330,19,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.642,0.648,0.922,0.904,claim understood,True
331,19,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.79,0.798,claim understood,True
332,19,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,not_requested,False,0.666,0.64,0.617,0.662,ownership wound,True
333,19,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.68,0.686,0.922,0.904,claim understood,True
334,19,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.79,0.798,claim understood,True
335,19,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.674,0.677,0.614,0.62,boundary respected,True
336,19,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.652,0.644,0.904,0.886,queue interrupted,True
339,19,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.686,0.678,0.904,0.886,queue interrupted,True
342,20,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.98,0.98,0.806,0.814,claim understood,True
345,20,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.98,0.98,0.806,0.814,claim understood,True
348,20,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.814,0.822,claim understood,True
349,20,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.652,0.655,0.65,0.656,boundary respected,True
351,20,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.814,0.822,claim understood,True
352,20,archive,Nia,signal spool,Nia,touch_claimed_tool,True,not_requested,False,0.693,0.667,0.608,0.653,ownership wound,True
354,20,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.98,0.98,0.822,0.83,claim understood,True
357,20,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.98,0.98,0.822,0.83,claim understood,True
360,21,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.661,0.667,0.65,0.644,claim understood,True
363,21,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.673,0.679,0.647,0.641,claim understood,True
365,21,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.83,0.838,claim understood,True
366,21,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.671,0.674,0.644,0.65,boundary respected,True
368,21,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.838,0.846,claim understood,True
369,21,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.679,0.682,0.641,0.647,boundary respected,True
372,21,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.67,0.676,0.65,0.644,claim understood,True
375,21,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.682,0.688,0.647,0.641,claim understood,True
377,21,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.846,0.854,claim understood,True
378,22,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.67,0.662,0.94,0.922,queue interrupted,True
381,22,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.668,0.674,0.894,0.902,claim understood,True
382,22,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.854,0.862,claim understood,True
383,22,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.68,0.683,0.644,0.65,boundary respected,True
384,22,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.666,0.672,0.922,0.904,claim understood,True
385,22,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.862,0.87,claim understood,True
386,22,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.698,0.701,0.635,0.641,boundary respected,True
387,22,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.674,0.666,0.902,0.884,queue interrupted,True
390,22,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.676,0.668,0.904,0.886,queue interrupted,True
393,22,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.666,0.672,0.884,0.892,claim understood,True
394,22,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.87,0.878,claim understood,True
395,22,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.689,0.692,0.644,0.65,boundary respected,True
396,23,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.98,0.98,0.878,0.886,claim understood,True
399,23,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.98,0.98,0.878,0.886,claim understood,True
400,23,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,not_requested,False,0.692,0.666,0.65,0.695,ownership wound,True
402,23,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.98,0.98,0.886,0.894,claim understood,True
403,23,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.713,0.716,0.629,0.635,boundary respected,True
