tick_id,day,agent_id,avatar_event,ego_wound,ego_repair,posture,gaze,distance_delta,voice_shape,movement_speed,visible_expression,expression_tied_to_ego_state
47,4,Juno,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
48,5,Ari,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
50,5,Nia,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
52,5,Ivo,request_owned_object,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
55,5,Fay,request_owned_object,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
56,5,Nia,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
57,5,Milo,ask_permission,none,none,lantern held between body and road,task gaze,-0.01,steady,normal,True,True
59,5,Juno,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
60,6,Ari,ask_help,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
61,6,Fay,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
62,6,Nia,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
64,6,Ivo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
67,6,Fay,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
69,6,Milo,request_owned_object,none,none,lantern held between body and road,task gaze,-0.01,steady,normal,True,True
71,6,Juno,request_owned_object,none,none,elbows tucked around the wire,task gaze,-0.01,steady,normal,True,True
72,7,Ari,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
74,7,Nia,ask_help,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
76,7,Ivo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
78,7,Ari,request_owned_object,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
79,7,Fay,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
81,7,Milo,ask_permission,none,none,lantern held between body and road,task gaze,-0.01,steady,normal,True,True
83,7,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,normal,True,True
84,8,Ari,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
86,8,Nia,ask_status,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
88,8,Ivo,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
91,8,Fay,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
93,8,Milo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
95,8,Juno,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
96,9,Ari,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
98,9,Nia,request_owned_object,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
100,9,Ivo,ask_permission,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
101,9,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,normal,True,True
103,9,Fay,ask_permission,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
105,9,Milo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
107,9,Juno,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
108,10,Fay,ask_help,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
110,10,Milo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
111,10,Ivo,ask_permission,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
112,10,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,normal,True,True
115,10,Nia,ask_permission,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
117,10,Ivo,ask_permission,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
119,10,Ari,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
120,11,Fay,ask_status,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
122,11,Milo,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
124,11,Juno,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
127,11,Nia,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
128,11,Milo,request_owned_object,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
129,11,Ivo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
131,11,Ari,request_owned_object,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
132,12,Fay,request_owned_object,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
133,12,Nia,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
134,12,Milo,ask_permission,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
136,12,Juno,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
139,12,Nia,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
141,12,Ivo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
143,12,Ari,ask_permission,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
144,13,Fay,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
146,13,Milo,request_owned_object,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
148,13,Juno,request_owned_object,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
150,13,Fay,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
151,13,Nia,request_owned_object,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
153,13,Ivo,ask_help,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
155,13,Ari,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
156,14,Fay,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
158,14,Milo,ask_permission,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
160,14,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
161,14,Ari,ask_permission,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
163,14,Nia,ask_permission,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
165,14,Ivo,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
167,14,Ari,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
168,15,Fay,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
170,15,Milo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
172,15,Juno,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
175,15,Nia,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
177,15,Ivo,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
179,15,Ari,ask_help,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
180,16,Fay,ask_permission,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
182,16,Milo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
184,16,Juno,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
187,16,Nia,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
189,16,Ivo,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
190,16,Juno,ask_help,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
191,16,Ari,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
192,17,Fay,request_owned_object,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
194,17,Milo,request_owned_object,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
195,17,Ivo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
196,17,Juno,ask_help,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
199,17,Nia,ask_help,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
201,17,Ivo,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
203,17,Ari,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
204,18,Fay,ask_permission,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
206,18,Milo,ask_permission,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
208,18,Juno,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,slower,True,True
211,18,Nia,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
212,18,Milo,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,slower,True,True
213,18,Ivo,ask_help,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
215,18,Ari,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
216,19,Fay,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
217,19,Nia,request_owned_object,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
218,19,Milo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
220,19,Juno,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,slower,True,True
223,19,Nia,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
225,19,Ivo,ask_status,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
227,19,Ari,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
228,20,Nia,request_owned_object,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
230,20,Ivo,ask_help,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
232,20,Ari,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
233,20,Fay,ask_help,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
235,20,Milo,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,slower,True,True
237,20,Juno,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
239,20,Fay,ask_status,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
240,21,Nia,ask_permission,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
242,21,Ivo,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
244,21,Ari,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
247,21,Milo,ask_help,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
249,21,Juno,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
250,21,Ari,ask_help,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
251,21,Fay,request_owned_object,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
252,22,Nia,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
254,22,Ivo,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
256,22,Ari,ask_help,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
259,22,Milo,ask_status,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
261,22,Juno,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
263,22,Fay,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
264,23,Nia,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
266,23,Ivo,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
267,23,Juno,ask_help,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
268,23,Ari,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
271,23,Milo,request_owned_object,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
273,23,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
275,23,Fay,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
276,24,Nia,ask_help,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
278,24,Ivo,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
280,24,Ari,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
283,24,Milo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
284,24,Ivo,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
285,24,Juno,request_owned_object,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
287,24,Fay,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
288,25,Nia,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
289,25,Milo,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,slower,True,True
290,25,Ivo,ask_help,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
292,25,Ari,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
295,25,Milo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
297,25,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
299,25,Fay,ask_permission,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
300,26,Nia,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
302,26,Ivo,ask_status,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
304,26,Ari,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
306,26,Nia,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
307,26,Milo,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
309,26,Juno,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
311,26,Fay,request_owned_object,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
312,27,Nia,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
314,27,Ivo,request_owned_object,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
316,27,Ari,ask_help,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
317,27,Fay,request_owned_object,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
319,27,Milo,ask_permission,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
321,27,Juno,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
323,27,Fay,ask_permission,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
324,28,Nia,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
326,28,Ivo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
328,28,Ari,ask_status,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
331,28,Milo,request_owned_object,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
333,28,Juno,request_owned_object,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
334,28,Ari,request_owned_object,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
335,28,Fay,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
336,29,Nia,ask_help,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
338,29,Ivo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
340,29,Ari,request_owned_object,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
343,29,Milo,ask_permission,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
345,29,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
347,29,Fay,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
348,30,Milo,request_owned_object,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
350,30,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
352,30,Fay,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
355,30,Ivo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
356,30,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
357,30,Ari,ask_permission,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
359,30,Nia,ask_permission,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
360,31,Milo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
361,31,Ivo,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
362,31,Juno,request_owned_object,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
364,31,Fay,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
367,31,Ivo,request_owned_object,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
369,31,Ari,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
371,31,Nia,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
372,32,Milo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
374,32,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
376,32,Fay,ask_permission,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
378,32,Milo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
379,32,Ivo,ask_permission,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
381,32,Ari,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
383,32,Nia,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
384,33,Milo,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
386,33,Juno,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
388,33,Fay,request_owned_object,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
389,33,Nia,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
391,33,Ivo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
393,33,Ari,request_owned_object,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
395,33,Nia,ask_help,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
396,34,Milo,ask_permission,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
398,34,Juno,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
400,34,Fay,ask_permission,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
403,34,Ivo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
405,34,Ari,ask_permission,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
406,34,Fay,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
407,34,Nia,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
408,35,Milo,request_owned_object,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
410,35,Juno,request_owned_object,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
411,35,Ari,request_owned_object,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
412,35,Fay,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
415,35,Ivo,ask_help,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
417,35,Ari,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
419,35,Nia,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
420,36,Milo,ask_permission,none,none,lantern held between body and road,task gaze,-0.01,steady,slower,True,True
422,36,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,slower,True,True
424,36,Fay,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
427,36,Ivo,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
429,36,Ari,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
431,36,Nia,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
432,37,Milo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
434,37,Juno,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
436,37,Fay,request_owned_object,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
439,37,Ivo,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
440,37,Juno,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,slower,True,True
441,37,Ari,ask_help,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
443,37,Nia,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
444,38,Milo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
445,38,Ivo,ask_permission,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
446,38,Juno,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,slower,True,True
448,38,Fay,ask_permission,none,none,hands open near the ledger,task gaze,-0.01,steady,slower,True,True
451,38,Ivo,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
453,38,Ari,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
