tick_index,agent,owned_object,home_place,unfinished_task,boundary_claim,ownership_challenge,boundary_response,self_respect_after
43,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,False,no ownership claim needed,0.6248
44,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,False,no ownership claim needed,0.79408
45,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,False,no ownership claim needed,0.611496
46,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.767928
47,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,True,names ownership and asks for tool back,0.665968
48,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,False,no ownership claim needed,0.78624
49,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.728728
50,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,True,keeps object within reachable personal space,0.600544
51,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,True,marks task as mine and requests space,0.538384
52,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,False,no ownership claim needed,0.779632
53,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,True,accepts object return and relaxes boundary,0.915368
54,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,True,keeps object within reachable personal space,0.777868
55,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,False,no ownership claim needed,0.565672
56,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,False,no ownership claim needed,0.789432
57,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.775768
58,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,False,no ownership claim needed,0.633896
59,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,False,no ownership claim needed,0.626312
60,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,True,keeps object within reachable personal space,0.791392
61,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.613512
62,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,True,keeps object within reachable personal space,0.767088
63,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,True,names ownership and asks for tool back,0.66748
64,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,True,keeps object within reachable personal space,0.783552
65,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.728728
66,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,False,no ownership claim needed,0.600544
67,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,True,marks task as mine and requests space,0.538384
68,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,False,no ownership claim needed,0.779632
69,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,True,accepts object return and relaxes boundary,0.915368
70,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,False,no ownership claim needed,0.777868
71,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,True,keeps object within reachable personal space,0.565672
72,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,False,no ownership claim needed,0.789432
73,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,True,keeps object within reachable personal space,0.774928
74,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,True,keeps object within reachable personal space,0.635408
75,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,False,no ownership claim needed,0.623624
76,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.793408
77,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,False,no ownership claim needed,0.612672
78,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,False,no ownership claim needed,0.7686
79,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,True,names ownership and asks for tool back,0.664792
80,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.785568
81,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,False,no ownership claim needed,0.727888
82,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,False,no ownership claim needed,0.602056
83,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,True,marks task as mine and requests space,0.535696
84,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.781648
85,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,True,accepts object return and relaxes boundary,0.914528
86,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,False,no ownership claim needed,0.77938
87,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,False,no ownership claim needed,0.562984
88,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.791448
89,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,False,no ownership claim needed,0.774928
90,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,False,no ownership claim needed,0.635408
91,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,True,keeps object within reachable personal space,0.623624
92,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,False,no ownership claim needed,0.793408
93,Sol,stone seed ledger,quiet corner,count the stored winter bulbs,my stone seed ledger / my task: count the stored winter bulbs,False,no ownership claim needed,0.612672
94,Ari,west-route repair kit,workbench alcove,seal the rain bridge joints,my west-route repair kit / my task: seal the rain bridge joints,False,no ownership claim needed,0.7686
95,Fay,warm blue blanket,hearth nest,teach the evening hum ritual,my warm blue blanket / my task: teach the evening hum ritual,True,names ownership and asks for tool back,0.664792
96,Milo,copper clicker lens,market canopy,map the beetle-clock shadows,my copper clicker lens / my task: map the beetle-clock shadows,True,keeps object within reachable personal space,0.785568
