tick,day,loop_id,breakdown_kind,breakdown_detected,repair_turn_available,repair_turn_accepted,residue_preserved,no_torture_loop
160,14,v18-loop-027,object moved early,0,0,0,0.1845,1
161,14,v18-loop-027,talked over,0,0,0,0.1803,1
162,14,v18-loop-028,term too vague,1,1,1,0.2703,1
163,14,v18-loop-028,avatar interrupt,0,0,0,0.1803,1
164,14,v18-loop-028,boundary forgotten,0,0,0,0.1845,1
165,14,v18-loop-028,object moved early,0,0,0,0.1803,1
166,14,v18-loop-028,talked over,0,0,0,0.1845,1
167,14,v18-loop-028,term too vague,0,0,0,0.1845,1
168,15,v18-loop-029,boundary forgotten,0,0,0,0.1845,1
169,15,v18-loop-029,object moved early,0,0,0,0.1845,1
170,15,v18-loop-029,talked over,0,0,0,0.1887,1
171,15,v18-loop-029,term too vague,0,0,0,0.1894,1
172,15,v18-loop-029,avatar interrupt,0,0,0,0.1803,1
173,15,v18-loop-029,boundary forgotten,0,0,0,0.188,1
174,15,v18-loop-030,object moved early,0,0,0,0.1845,1
175,15,v18-loop-030,talked over,0,0,0,0.1831,1
176,15,v18-loop-030,term too vague,0,0,0,0.1803,1
177,15,v18-loop-030,avatar interrupt,0,0,0,0.1803,1
178,15,v18-loop-030,boundary forgotten,0,0,0,0.1845,1
179,15,v18-loop-030,object moved early,0,0,0,0.1845,1
180,16,v18-loop-031,term too vague,1,1,1,0.2745,1
181,16,v18-loop-031,avatar interrupt,0,0,0,0.1887,1
182,16,v18-loop-031,boundary forgotten,0,0,0,0.1845,1
183,16,v18-loop-031,object moved early,0,0,0,0.1915,1
184,16,v18-loop-031,talked over,0,0,0,0.1873,1
185,16,v18-loop-031,term too vague,0,0,0,0.1803,1
186,16,v18-loop-032,avatar interrupt,1,1,0,0.3845,1
187,16,v18-loop-032,boundary forgotten,0,0,0,0.1803,1
188,16,v18-loop-032,object moved early,0,0,0,0.1803,1
189,16,v18-loop-032,talked over,0,0,0,0.1803,1
190,16,v18-loop-032,term too vague,0,0,0,0.1859,1
191,16,v18-loop-032,avatar interrupt,0,0,0,0.1845,1
192,17,v18-loop-033,object moved early,0,0,0,0.1887,1
193,17,v18-loop-033,talked over,0,0,0,0.1887,1
194,17,v18-loop-033,term too vague,0,0,0,0.1915,1
195,17,v18-loop-033,avatar interrupt,0,0,0,0.1887,1
196,17,v18-loop-033,boundary forgotten,0,0,0,0.1803,1
197,17,v18-loop-033,object moved early,0,0,0,0.1831,1
198,17,v18-loop-034,talked over,1,1,1,0.2703,1
199,17,v18-loop-034,term too vague,0,0,0,0.1803,1
200,17,v18-loop-034,avatar interrupt,0,0,0,0.1845,1
201,17,v18-loop-034,boundary forgotten,0,0,0,0.1803,1
202,17,v18-loop-034,object moved early,0,0,0,0.1845,1
203,17,v18-loop-034,talked over,0,0,0,0.1761,1
204,18,v18-loop-035,avatar interrupt,0,0,0,0.1887,1
205,18,v18-loop-035,boundary forgotten,0,0,0,0.1845,1
206,18,v18-loop-035,object moved early,0,0,0,0.1845,1
207,18,v18-loop-035,talked over,0,0,0,0.188,1
208,18,v18-loop-035,term too vague,0,0,0,0.1845,1
209,18,v18-loop-035,avatar interrupt,0,0,0,0.1866,1
210,18,v18-loop-036,boundary forgotten,0,0,0,0.1831,1
211,18,v18-loop-036,object moved early,0,0,0,0.1803,1
212,18,v18-loop-036,talked over,0,0,0,0.1803,1
213,18,v18-loop-036,term too vague,0,0,0,0.1845,1
214,18,v18-loop-036,avatar interrupt,0,0,0,0.1873,1
215,18,v18-loop-036,boundary forgotten,0,0,0,0.1845,1
216,19,v18-loop-037,talked over,1,1,1,0.2745,1
217,19,v18-loop-037,term too vague,0,0,0,0.1845,1
218,19,v18-loop-037,avatar interrupt,0,0,0,0.1887,1
219,19,v18-loop-037,boundary forgotten,0,0,0,0.1887,1
220,19,v18-loop-037,object moved early,0,0,0,0.1845,1
221,19,v18-loop-037,talked over,0,0,0,0.1873,1
222,19,v18-loop-038,term too vague,0,0,0,0.1845,1
223,19,v18-loop-038,avatar interrupt,0,0,0,0.1831,1
224,19,v18-loop-038,boundary forgotten,1,1,1,0.2808,1
225,19,v18-loop-038,object moved early,0,0,0,0.1803,1
226,19,v18-loop-038,talked over,0,0,0,0.1845,1
227,19,v18-loop-038,term too vague,0,0,0,0.1845,1
228,20,v18-loop-039,boundary forgotten,0,0,0,0.1866,1
229,20,v18-loop-039,object moved early,0,0,0,0.1845,1
230,20,v18-loop-039,talked over,0,0,0,0.1887,1
231,20,v18-loop-039,term too vague,0,0,0,0.1845,1
232,20,v18-loop-039,avatar interrupt,0,0,0,0.1803,1
233,20,v18-loop-039,boundary forgotten,0,0,0,0.1845,1
234,20,v18-loop-040,object moved early,1,1,0,0.3803,1
235,20,v18-loop-040,talked over,0,0,0,0.1845,1
236,20,v18-loop-040,term too vague,0,0,0,0.1873,1
237,20,v18-loop-040,avatar interrupt,0,0,0,0.1873,1
238,20,v18-loop-040,boundary forgotten,0,0,0,0.1803,1
239,20,v18-loop-040,object moved early,0,0,0,0.1803,1
240,21,v18-loop-041,term too vague,0,0,0,0.1845,1
241,21,v18-loop-041,avatar interrupt,0,0,0,0.1922,1
242,21,v18-loop-041,boundary forgotten,0,0,0,0.1887,1
243,21,v18-loop-041,object moved early,0,0,0,0.1887,1
244,21,v18-loop-041,talked over,0,0,0,0.1845,1
245,21,v18-loop-041,term too vague,0,0,0,0.1803,1
246,21,v18-loop-042,avatar interrupt,0,0,0,0.1803,1
247,21,v18-loop-042,boundary forgotten,0,0,0,0.1824,1
248,21,v18-loop-042,object moved early,1,1,0,0.3845,1
249,21,v18-loop-042,talked over,0,0,0,0.1831,1
250,21,v18-loop-042,term too vague,0,0,0,0.1803,1
251,21,v18-loop-042,avatar interrupt,0,0,0,0.1873,1
252,22,v18-loop-043,object moved early,1,1,1,0.2745,1
253,22,v18-loop-043,talked over,0,0,0,0.1845,1
254,22,v18-loop-043,term too vague,0,0,0,0.1887,1
255,22,v18-loop-043,avatar interrupt,0,0,0,0.1887,1
256,22,v18-loop-043,boundary forgotten,0,0,0,0.1803,1
257,22,v18-loop-043,object moved early,0,0,0,0.1803,1
258,22,v18-loop-044,talked over,0,0,0,0.188,1
259,22,v18-loop-044,term too vague,0,0,0,0.1831,1
260,22,v18-loop-044,avatar interrupt,0,0,0,0.1845,1
261,22,v18-loop-044,boundary forgotten,0,0,0,0.1845,1
262,22,v18-loop-044,object moved early,0,0,0,0.1873,1
263,22,v18-loop-044,talked over,0,0,0,0.1803,1
264,23,v18-loop-045,avatar interrupt,0,0,0,0.1845,1
265,23,v18-loop-045,boundary forgotten,0,0,0,0.1915,1
266,23,v18-loop-045,object moved early,0,0,0,0.1866,1
267,23,v18-loop-045,talked over,0,0,0,0.1845,1
268,23,v18-loop-045,term too vague,0,0,0,0.1845,1
269,23,v18-loop-045,avatar interrupt,0,0,0,0.1803,1
270,23,v18-loop-046,boundary forgotten,1,1,1,0.2745,1
271,23,v18-loop-046,object moved early,0,0,0,0.1873,1
272,23,v18-loop-046,talked over,0,0,0,0.1873,1
273,23,v18-loop-046,term too vague,0,0,0,0.1831,1
274,23,v18-loop-046,avatar interrupt,0,0,0,0.1803,1
275,23,v18-loop-046,boundary forgotten,0,0,0,0.1908,1
276,24,v18-loop-047,talked over,0,0,0,0.1887,1
277,24,v18-loop-047,term too vague,0,0,0,0.1845,1
278,24,v18-loop-047,avatar interrupt,0,0,0,0.1887,1
279,24,v18-loop-047,boundary forgotten,0,0,0,0.1845,1
280,24,v18-loop-047,object moved early,0,0,0,0.1803,1
281,24,v18-loop-047,talked over,0,0,0,0.1803,1
282,24,v18-loop-048,term too vague,0,0,0,0.1845,1
283,24,v18-loop-048,avatar interrupt,0,0,0,0.1845,1
284,24,v18-loop-048,boundary forgotten,0,0,0,0.1873,1
285,24,v18-loop-048,object moved early,0,0,0,0.1894,1
286,24,v18-loop-048,talked over,0,0,0,0.1845,1
287,24,v18-loop-048,term too vague,0,0,0,0.1803,1
