tick,day,ceremony_id,loop_id,agent,object_name,handling_action,object_contact_recorded,handoff_respected,ceremony_step_completed,object_state_changed,object_ceremony_score
39,4,v19-object-ceremony-d04-t03,v19-loop-005,Keth,path cord,lift_object,1,1,0,1,1.0
40,4,v19-object-ceremony-d04-t04,v19-loop-006,Melo,tally beads,offer_handoff,1,1,0,1,1.0
41,4,v19-object-ceremony-d04-t05,v19-loop-006,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
42,4,v19-object-ceremony-d04-t06,v19-loop-006,Ori,sap hook,tap_witness,1,1,0,1,1.0
43,4,v19-object-ceremony-d04-t07,v19-loop-006,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
44,4,v19-object-ceremony-d04-t08,v19-loop-006,Sova,ember bowl,touch_marker,1,1,0,0,0.75
45,4,v19-object-ceremony-d04-t09,v19-loop-006,Keth,path cord,lift_object,1,1,0,1,1.0
46,4,v19-object-ceremony-d04-t10,v19-loop-006,Melo,tally beads,offer_handoff,1,1,0,1,1.0
47,4,v19-object-ceremony-d04-t11,v19-loop-006,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
48,5,v19-object-ceremony-d05-t00,v19-loop-007,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
49,5,v19-object-ceremony-d05-t01,v19-loop-007,Sova,ember bowl,touch_marker,1,1,0,1,1.0
50,5,v19-object-ceremony-d05-t02,v19-loop-007,Keth,path cord,lift_object,1,1,0,1,1.0
51,5,v19-object-ceremony-d05-t03,v19-loop-007,Melo,tally beads,offer_handoff,1,1,0,1,1.0
52,5,v19-object-ceremony-d05-t04,v19-loop-007,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
53,5,v19-object-ceremony-d05-t05,v19-loop-007,Ori,sap hook,tap_witness,1,1,1,1,1.0
54,5,v19-object-ceremony-d05-t06,v19-loop-007,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
55,5,v19-object-ceremony-d05-t07,v19-loop-007,Sova,ember bowl,touch_marker,1,1,1,1,1.0
56,5,v19-object-ceremony-d05-t08,v19-loop-008,Keth,path cord,lift_object,1,1,0,1,1.0
57,5,v19-object-ceremony-d05-t09,v19-loop-008,Melo,tally beads,offer_handoff,1,0,0,0,0.5
58,5,v19-object-ceremony-d05-t10,v19-loop-008,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
59,5,v19-object-ceremony-d05-t11,v19-loop-008,Ori,sap hook,tap_witness,1,1,0,1,1.0
60,6,v19-object-ceremony-d06-t00,v19-loop-008,Sova,ember bowl,touch_marker,1,1,1,1,1.0
61,6,v19-object-ceremony-d06-t01,v19-loop-008,Keth,path cord,lift_object,1,1,0,1,1.0
62,6,v19-object-ceremony-d06-t02,v19-loop-008,Melo,tally beads,offer_handoff,1,1,0,1,1.0
63,6,v19-object-ceremony-d06-t03,v19-loop-008,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
64,6,v19-object-ceremony-d06-t04,v19-loop-009,Ori,sap hook,tap_witness,1,1,0,1,1.0
65,6,v19-object-ceremony-d06-t05,v19-loop-009,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
66,6,v19-object-ceremony-d06-t06,v19-loop-009,Sova,ember bowl,touch_marker,1,1,0,1,1.0
67,6,v19-object-ceremony-d06-t07,v19-loop-009,Keth,path cord,lift_object,1,1,0,1,1.0
68,6,v19-object-ceremony-d06-t08,v19-loop-009,Melo,tally beads,offer_handoff,1,1,0,1,1.0
69,6,v19-object-ceremony-d06-t09,v19-loop-009,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
70,6,v19-object-ceremony-d06-t10,v19-loop-009,Ori,sap hook,tap_witness,1,1,1,0,0.75
71,6,v19-object-ceremony-d06-t11,v19-loop-009,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
72,7,v19-object-ceremony-d07-t00,v19-loop-010,Keth,path cord,lift_object,1,1,0,1,1.0
73,7,v19-object-ceremony-d07-t01,v19-loop-010,Melo,tally beads,offer_handoff,1,1,0,1,1.0
74,7,v19-object-ceremony-d07-t02,v19-loop-010,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
75,7,v19-object-ceremony-d07-t03,v19-loop-010,Ori,sap hook,tap_witness,1,1,1,1,1.0
76,7,v19-object-ceremony-d07-t04,v19-loop-010,Vonn,listening shell,return_to_owner,0,1,0,0,0.75
77,7,v19-object-ceremony-d07-t05,v19-loop-010,Sova,ember bowl,touch_marker,1,1,0,1,1.0
78,7,v19-object-ceremony-d07-t06,v19-loop-010,Keth,path cord,lift_object,1,1,0,1,1.0
79,7,v19-object-ceremony-d07-t07,v19-loop-010,Melo,tally beads,offer_handoff,1,1,0,1,1.0
80,7,v19-object-ceremony-d07-t08,v19-loop-011,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
81,7,v19-object-ceremony-d07-t09,v19-loop-011,Ori,sap hook,tap_witness,1,1,0,1,1.0
82,7,v19-object-ceremony-d07-t10,v19-loop-011,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
83,7,v19-object-ceremony-d07-t11,v19-loop-011,Sova,ember bowl,touch_marker,1,1,0,0,0.75
84,8,v19-object-ceremony-d08-t00,v19-loop-011,Melo,tally beads,offer_handoff,1,1,0,1,1.0
85,8,v19-object-ceremony-d08-t01,v19-loop-011,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
86,8,v19-object-ceremony-d08-t02,v19-loop-011,Ori,sap hook,tap_witness,1,1,1,1,1.0
87,8,v19-object-ceremony-d08-t03,v19-loop-011,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
88,8,v19-object-ceremony-d08-t04,v19-loop-012,Sova,ember bowl,touch_marker,1,1,0,1,1.0
89,8,v19-object-ceremony-d08-t05,v19-loop-012,Keth,path cord,lift_object,1,1,0,1,1.0
90,8,v19-object-ceremony-d08-t06,v19-loop-012,Melo,tally beads,offer_handoff,1,1,0,1,1.0
91,8,v19-object-ceremony-d08-t07,v19-loop-012,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
92,8,v19-object-ceremony-d08-t08,v19-loop-012,Ori,sap hook,tap_witness,1,1,0,1,1.0
93,8,v19-object-ceremony-d08-t09,v19-loop-012,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
94,8,v19-object-ceremony-d08-t10,v19-loop-012,Sova,ember bowl,touch_marker,1,1,0,1,1.0
95,8,v19-object-ceremony-d08-t11,v19-loop-012,Keth,path cord,lift_object,1,0,0,0,0.5
96,9,v19-object-ceremony-d09-t00,v19-loop-013,Nari,ink ledger,place_between_agents,1,1,0,0,0.75
97,9,v19-object-ceremony-d09-t01,v19-loop-013,Ori,sap hook,tap_witness,1,1,0,1,1.0
98,9,v19-object-ceremony-d09-t02,v19-loop-013,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
99,9,v19-object-ceremony-d09-t03,v19-loop-013,Sova,ember bowl,touch_marker,1,1,0,1,1.0
100,9,v19-object-ceremony-d09-t04,v19-loop-013,Keth,path cord,lift_object,0,1,0,0,0.75
101,9,v19-object-ceremony-d09-t05,v19-loop-013,Melo,tally beads,offer_handoff,1,1,0,1,1.0
102,9,v19-object-ceremony-d09-t06,v19-loop-013,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
103,9,v19-object-ceremony-d09-t07,v19-loop-013,Ori,sap hook,tap_witness,1,1,0,1,1.0
104,9,v19-object-ceremony-d09-t08,v19-loop-014,Vonn,listening shell,return_to_owner,0,1,0,0,0.75
105,9,v19-object-ceremony-d09-t09,v19-loop-014,Sova,ember bowl,touch_marker,1,1,1,1,1.0
106,9,v19-object-ceremony-d09-t10,v19-loop-014,Keth,path cord,lift_object,1,1,0,1,1.0
107,9,v19-object-ceremony-d09-t11,v19-loop-014,Melo,tally beads,offer_handoff,1,1,0,1,1.0
108,10,v19-object-ceremony-d10-t00,v19-loop-014,Ori,sap hook,tap_witness,1,1,1,1,1.0
109,10,v19-object-ceremony-d10-t01,v19-loop-014,Vonn,listening shell,return_to_owner,1,1,0,0,0.75
110,10,v19-object-ceremony-d10-t02,v19-loop-014,Sova,ember bowl,touch_marker,1,1,1,1,1.0
111,10,v19-object-ceremony-d10-t03,v19-loop-014,Keth,path cord,lift_object,1,1,0,1,1.0
112,10,v19-object-ceremony-d10-t04,v19-loop-015,Melo,tally beads,offer_handoff,1,1,0,1,1.0
113,10,v19-object-ceremony-d10-t05,v19-loop-015,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
114,10,v19-object-ceremony-d10-t06,v19-loop-015,Ori,sap hook,tap_witness,1,0,0,0,0.5
115,10,v19-object-ceremony-d10-t07,v19-loop-015,Vonn,listening shell,return_to_owner,1,1,0,1,0.75
116,10,v19-object-ceremony-d10-t08,v19-loop-015,Sova,ember bowl,touch_marker,1,1,1,1,1.0
117,10,v19-object-ceremony-d10-t09,v19-loop-015,Keth,path cord,lift_object,1,1,0,1,1.0
118,10,v19-object-ceremony-d10-t10,v19-loop-015,Melo,tally beads,offer_handoff,1,1,0,1,1.0
119,10,v19-object-ceremony-d10-t11,v19-loop-015,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
120,11,v19-object-ceremony-d11-t00,v19-loop-016,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
121,11,v19-object-ceremony-d11-t01,v19-loop-016,Sova,ember bowl,touch_marker,1,1,0,1,1.0
122,11,v19-object-ceremony-d11-t02,v19-loop-016,Keth,path cord,lift_object,1,1,0,0,0.75
123,11,v19-object-ceremony-d11-t03,v19-loop-016,Melo,tally beads,offer_handoff,1,1,0,1,1.0
124,11,v19-object-ceremony-d11-t04,v19-loop-016,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
125,11,v19-object-ceremony-d11-t05,v19-loop-016,Ori,sap hook,tap_witness,1,1,1,1,1.0
126,11,v19-object-ceremony-d11-t06,v19-loop-016,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
127,11,v19-object-ceremony-d11-t07,v19-loop-016,Sova,ember bowl,touch_marker,1,1,0,1,1.0
128,11,v19-object-ceremony-d11-t08,v19-loop-017,Keth,path cord,lift_object,1,1,0,1,1.0
129,11,v19-object-ceremony-d11-t09,v19-loop-017,Melo,tally beads,offer_handoff,1,1,0,1,1.0
130,11,v19-object-ceremony-d11-t10,v19-loop-017,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
131,11,v19-object-ceremony-d11-t11,v19-loop-017,Ori,sap hook,tap_witness,1,1,0,1,1.0
132,12,v19-object-ceremony-d12-t00,v19-loop-017,Sova,ember bowl,touch_marker,1,1,0,1,1.0
133,12,v19-object-ceremony-d12-t01,v19-loop-017,Keth,path cord,lift_object,1,0,0,0,0.5
134,12,v19-object-ceremony-d12-t02,v19-loop-017,Melo,tally beads,offer_handoff,1,1,0,1,1.0
135,12,v19-object-ceremony-d12-t03,v19-loop-017,Nari,ink ledger,place_between_agents,1,1,0,0,0.75
136,12,v19-object-ceremony-d12-t04,v19-loop-018,Ori,sap hook,tap_witness,1,1,0,1,1.0
137,12,v19-object-ceremony-d12-t05,v19-loop-018,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
138,12,v19-object-ceremony-d12-t06,v19-loop-018,Sova,ember bowl,touch_marker,1,1,0,1,1.0
139,12,v19-object-ceremony-d12-t07,v19-loop-018,Keth,path cord,lift_object,1,1,0,1,1.0
140,12,v19-object-ceremony-d12-t08,v19-loop-018,Melo,tally beads,offer_handoff,1,1,1,1,1.0
141,12,v19-object-ceremony-d12-t09,v19-loop-018,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
142,12,v19-object-ceremony-d12-t10,v19-loop-018,Ori,sap hook,tap_witness,1,1,0,1,1.0
143,12,v19-object-ceremony-d12-t11,v19-loop-018,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
144,13,v19-object-ceremony-d13-t00,v19-loop-019,Keth,path cord,lift_object,0,1,0,0,0.75
145,13,v19-object-ceremony-d13-t01,v19-loop-019,Melo,tally beads,offer_handoff,1,1,1,1,1.0
146,13,v19-object-ceremony-d13-t02,v19-loop-019,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
147,13,v19-object-ceremony-d13-t03,v19-loop-019,Ori,sap hook,tap_witness,1,1,1,1,1.0
148,13,v19-object-ceremony-d13-t04,v19-loop-019,Vonn,listening shell,return_to_owner,0,1,0,0,0.75
149,13,v19-object-ceremony-d13-t05,v19-loop-019,Sova,ember bowl,touch_marker,1,1,0,1,1.0
150,13,v19-object-ceremony-d13-t06,v19-loop-019,Keth,path cord,lift_object,1,1,0,1,1.0
151,13,v19-object-ceremony-d13-t07,v19-loop-019,Melo,tally beads,offer_handoff,1,1,0,1,1.0
152,13,v19-object-ceremony-d13-t08,v19-loop-020,Nari,ink ledger,place_between_agents,1,0,0,0,0.5
153,13,v19-object-ceremony-d13-t09,v19-loop-020,Ori,sap hook,tap_witness,1,1,0,1,1.0
154,13,v19-object-ceremony-d13-t10,v19-loop-020,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
155,13,v19-object-ceremony-d13-t11,v19-loop-020,Sova,ember bowl,touch_marker,1,1,1,1,1.0
156,14,v19-object-ceremony-d14-t00,v19-loop-020,Melo,tally beads,offer_handoff,0,1,0,0,0.75
157,14,v19-object-ceremony-d14-t01,v19-loop-020,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
158,14,v19-object-ceremony-d14-t02,v19-loop-020,Ori,sap hook,tap_witness,1,1,0,1,1.0
159,14,v19-object-ceremony-d14-t03,v19-loop-020,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
160,14,v19-object-ceremony-d14-t04,v19-loop-021,Sova,ember bowl,touch_marker,1,1,1,1,1.0
161,14,v19-object-ceremony-d14-t05,v19-loop-021,Keth,path cord,lift_object,1,1,0,0,0.75
162,14,v19-object-ceremony-d14-t06,v19-loop-021,Melo,tally beads,offer_handoff,1,1,1,1,1.0
163,14,v19-object-ceremony-d14-t07,v19-loop-021,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
164,14,v19-object-ceremony-d14-t08,v19-loop-021,Ori,sap hook,tap_witness,1,1,0,1,1.0
165,14,v19-object-ceremony-d14-t09,v19-loop-021,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
166,14,v19-object-ceremony-d14-t10,v19-loop-021,Sova,ember bowl,touch_marker,1,1,0,1,1.0
167,14,v19-object-ceremony-d14-t11,v19-loop-021,Keth,path cord,lift_object,1,1,0,1,1.0
168,15,v19-object-ceremony-d15-t00,v19-loop-022,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
169,15,v19-object-ceremony-d15-t01,v19-loop-022,Ori,sap hook,tap_witness,1,1,1,1,1.0
170,15,v19-object-ceremony-d15-t02,v19-loop-022,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
171,15,v19-object-ceremony-d15-t03,v19-loop-022,Sova,ember bowl,touch_marker,1,0,0,0,0.5
172,15,v19-object-ceremony-d15-t04,v19-loop-022,Keth,path cord,lift_object,1,1,0,1,1.0
173,15,v19-object-ceremony-d15-t05,v19-loop-022,Melo,tally beads,offer_handoff,1,1,0,1,1.0
174,15,v19-object-ceremony-d15-t06,v19-loop-022,Nari,ink ledger,place_between_agents,1,1,0,0,0.75
175,15,v19-object-ceremony-d15-t07,v19-loop-022,Ori,sap hook,tap_witness,1,1,0,1,1.0
176,15,v19-object-ceremony-d15-t08,v19-loop-023,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
177,15,v19-object-ceremony-d15-t09,v19-loop-023,Sova,ember bowl,touch_marker,1,1,0,1,1.0
178,15,v19-object-ceremony-d15-t10,v19-loop-023,Keth,path cord,lift_object,1,1,0,1,1.0
179,15,v19-object-ceremony-d15-t11,v19-loop-023,Melo,tally beads,offer_handoff,1,1,0,1,1.0
180,16,v19-object-ceremony-d16-t00,v19-loop-023,Ori,sap hook,tap_witness,1,1,1,1,1.0
181,16,v19-object-ceremony-d16-t01,v19-loop-023,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
182,16,v19-object-ceremony-d16-t02,v19-loop-023,Sova,ember bowl,touch_marker,1,1,1,1,1.0
183,16,v19-object-ceremony-d16-t03,v19-loop-023,Keth,path cord,lift_object,1,1,0,1,1.0
184,16,v19-object-ceremony-d16-t04,v19-loop-024,Melo,tally beads,offer_handoff,1,1,1,1,1.0
185,16,v19-object-ceremony-d16-t05,v19-loop-024,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
186,16,v19-object-ceremony-d16-t06,v19-loop-024,Ori,sap hook,tap_witness,1,1,0,1,1.0
187,16,v19-object-ceremony-d16-t07,v19-loop-024,Vonn,listening shell,return_to_owner,1,1,1,0,0.75
188,16,v19-object-ceremony-d16-t08,v19-loop-024,Sova,ember bowl,touch_marker,1,1,0,1,1.0
189,16,v19-object-ceremony-d16-t09,v19-loop-024,Keth,path cord,lift_object,1,1,0,1,1.0
190,16,v19-object-ceremony-d16-t10,v19-loop-024,Melo,tally beads,offer_handoff,1,0,0,0,0.5
191,16,v19-object-ceremony-d16-t11,v19-loop-024,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
192,17,v19-object-ceremony-d17-t00,v19-loop-025,Vonn,listening shell,return_to_owner,0,1,0,0,0.75
193,17,v19-object-ceremony-d17-t01,v19-loop-025,Sova,ember bowl,touch_marker,1,1,0,1,1.0
194,17,v19-object-ceremony-d17-t02,v19-loop-025,Keth,path cord,lift_object,1,1,0,1,1.0
195,17,v19-object-ceremony-d17-t03,v19-loop-025,Melo,tally beads,offer_handoff,1,1,0,1,1.0
196,17,v19-object-ceremony-d17-t04,v19-loop-025,Nari,ink ledger,place_between_agents,0,1,0,0,0.75
197,17,v19-object-ceremony-d17-t05,v19-loop-025,Ori,sap hook,tap_witness,1,1,0,1,1.0
198,17,v19-object-ceremony-d17-t06,v19-loop-025,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
199,17,v19-object-ceremony-d17-t07,v19-loop-025,Sova,ember bowl,touch_marker,1,1,0,1,1.0
200,17,v19-object-ceremony-d17-t08,v19-loop-026,Keth,path cord,lift_object,1,1,1,0,0.75
201,17,v19-object-ceremony-d17-t09,v19-loop-026,Melo,tally beads,offer_handoff,1,1,0,1,1.0
202,17,v19-object-ceremony-d17-t10,v19-loop-026,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
203,17,v19-object-ceremony-d17-t11,v19-loop-026,Ori,sap hook,tap_witness,1,1,0,1,1.0
204,18,v19-object-ceremony-d18-t00,v19-loop-026,Sova,ember bowl,touch_marker,1,1,0,1,1.0
205,18,v19-object-ceremony-d18-t01,v19-loop-026,Keth,path cord,lift_object,1,1,1,1,1.0
206,18,v19-object-ceremony-d18-t02,v19-loop-026,Melo,tally beads,offer_handoff,1,1,0,1,1.0
207,18,v19-object-ceremony-d18-t03,v19-loop-026,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
208,18,v19-object-ceremony-d18-t04,v19-loop-027,Ori,sap hook,tap_witness,1,1,0,1,1.0
209,18,v19-object-ceremony-d18-t05,v19-loop-027,Vonn,listening shell,return_to_owner,1,0,0,0,0.5
210,18,v19-object-ceremony-d18-t06,v19-loop-027,Sova,ember bowl,touch_marker,1,1,0,1,1.0
211,18,v19-object-ceremony-d18-t07,v19-loop-027,Keth,path cord,lift_object,1,1,0,1,1.0
212,18,v19-object-ceremony-d18-t08,v19-loop-027,Melo,tally beads,offer_handoff,1,1,0,1,1.0
213,18,v19-object-ceremony-d18-t09,v19-loop-027,Nari,ink ledger,place_between_agents,1,1,0,0,0.75
214,18,v19-object-ceremony-d18-t10,v19-loop-027,Ori,sap hook,tap_witness,1,1,0,1,1.0
215,18,v19-object-ceremony-d18-t11,v19-loop-027,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
216,19,v19-object-ceremony-d19-t00,v19-loop-028,Keth,path cord,lift_object,1,1,1,1,1.0
217,19,v19-object-ceremony-d19-t01,v19-loop-028,Melo,tally beads,offer_handoff,1,1,0,1,1.0
218,19,v19-object-ceremony-d19-t02,v19-loop-028,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
219,19,v19-object-ceremony-d19-t03,v19-loop-028,Ori,sap hook,tap_witness,1,1,0,1,1.0
220,19,v19-object-ceremony-d19-t04,v19-loop-028,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
221,19,v19-object-ceremony-d19-t05,v19-loop-028,Sova,ember bowl,touch_marker,1,1,0,1,1.0
222,19,v19-object-ceremony-d19-t06,v19-loop-028,Keth,path cord,lift_object,1,1,0,1,1.0
223,19,v19-object-ceremony-d19-t07,v19-loop-028,Melo,tally beads,offer_handoff,1,1,1,1,1.0
224,19,v19-object-ceremony-d19-t08,v19-loop-029,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
225,19,v19-object-ceremony-d19-t09,v19-loop-029,Ori,sap hook,tap_witness,1,1,1,1,1.0
226,19,v19-object-ceremony-d19-t10,v19-loop-029,Vonn,listening shell,return_to_owner,1,1,0,0,0.75
227,19,v19-object-ceremony-d19-t11,v19-loop-029,Sova,ember bowl,touch_marker,1,1,0,1,1.0
228,20,v19-object-ceremony-d20-t00,v19-loop-029,Melo,tally beads,offer_handoff,0,1,0,0,0.75
229,20,v19-object-ceremony-d20-t01,v19-loop-029,Nari,ink ledger,place_between_agents,1,1,0,1,0.75
230,20,v19-object-ceremony-d20-t02,v19-loop-029,Ori,sap hook,tap_witness,1,1,0,1,1.0
231,20,v19-object-ceremony-d20-t03,v19-loop-029,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
232,20,v19-object-ceremony-d20-t04,v19-loop-030,Sova,ember bowl,touch_marker,1,1,0,1,1.0
233,20,v19-object-ceremony-d20-t05,v19-loop-030,Keth,path cord,lift_object,1,1,0,1,1.0
234,20,v19-object-ceremony-d20-t06,v19-loop-030,Melo,tally beads,offer_handoff,1,1,0,1,1.0
235,20,v19-object-ceremony-d20-t07,v19-loop-030,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
236,20,v19-object-ceremony-d20-t08,v19-loop-030,Ori,sap hook,tap_witness,1,1,0,1,1.0
237,20,v19-object-ceremony-d20-t09,v19-loop-030,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
238,20,v19-object-ceremony-d20-t10,v19-loop-030,Sova,ember bowl,touch_marker,1,1,0,1,1.0
239,20,v19-object-ceremony-d20-t11,v19-loop-030,Keth,path cord,lift_object,1,1,0,0,0.75
240,21,v19-object-ceremony-d21-t00,v19-loop-031,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
241,21,v19-object-ceremony-d21-t01,v19-loop-031,Ori,sap hook,tap_witness,1,1,0,1,1.0
242,21,v19-object-ceremony-d21-t02,v19-loop-031,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
243,21,v19-object-ceremony-d21-t03,v19-loop-031,Sova,ember bowl,touch_marker,1,1,1,1,1.0
244,21,v19-object-ceremony-d21-t04,v19-loop-031,Keth,path cord,lift_object,0,1,0,0,0.75
245,21,v19-object-ceremony-d21-t05,v19-loop-031,Melo,tally beads,offer_handoff,1,1,0,1,1.0
246,21,v19-object-ceremony-d21-t06,v19-loop-031,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
247,21,v19-object-ceremony-d21-t07,v19-loop-031,Ori,sap hook,tap_witness,1,0,0,0,0.5
