day,season,agent,kind,note,tradeoff,care_from,care_success,care_delayed,relationship,relationship_before,relationship_after,adverse_body_before,adverse_body_after,hunger,warmth_deficit,wetness,fatigue,illness_risk,symptoms,pain,market_stress_before,market_stress_after,care_capacity,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
30,cold scarcity,Ari,delayed_care,"Milo can only bring lamp warmth late, so Ari improves only slightly.",,Milo,False,True,Milo,0.590,0.600,0.325,0.322,0.443,0.518,0.417,0.406,0.209,0.150,0.110,0.330,0.330,0.530,True,6.998,60,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
34,cold scarcity,Milo,tradeoff,"Milo chooses food debt over warmth, straining Fay's patience.",borrows food and skips heat,,False,False,Fay,0.610,0.580,0.307,0.309,0.372,0.493,0.412,0.449,0.295,0.080,0.060,0.650,0.710,0.430,True,0.449,1,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
38,thaw sickness,Fay,exposure,Thaw damp raises Fay's illness risk during care rounds.,,,False,False,,,,0.272,0.302,0.573,0.287,0.386,0.418,0.278,0.130,0.040,0.420,0.440,0.560,True,2.109,16,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
41,thaw sickness,Fay,care_capacity_strain,Fay keeps caring while tired and becomes less patient with Milo's debt avoidance.,,,False,False,Milo,0.578,0.557,0.306,0.325,0.581,0.292,0.399,0.506,0.277,0.180,0.040,0.440,0.470,0.560,True,4.775,40,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
44,thaw sickness,Milo,care,Ari repairs the archive draft cloth after Milo accepts a shorter work day.,,Ari,True,False,Ari,0.573,0.623,0.314,0.301,0.380,0.439,0.425,0.427,0.295,0.080,0.060,0.710,0.710,0.430,True,4.441,37,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
47,thaw sickness,Ari,market_stress,Tool scarcity pushes Ari to ask too much from Fay's care shelf.,,,False,False,Fay,0.693,0.662,0.326,0.332,0.450,0.523,0.430,0.454,0.208,0.150,0.110,0.330,0.410,0.470,True,6.666,57,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
50,thaw sickness,Ari,relationship_repair,Ari returns care shelf herbs and names the over-ask.,,,False,False,Fay,0.662,0.713,0.337,0.334,0.458,0.528,0.442,0.442,0.207,0.150,0.110,0.410,0.380,0.470,True,0.670,3,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
53,thaw sickness,Fay,recovery,Fay recovers after two protected low-light nights.,,,False,False,Ari,0.728,0.748,0.329,0.304,0.588,0.298,0.412,0.474,0.225,0.090,0.040,0.470,0.470,0.560,True,0.775,4,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
56,dry recovery,Milo,market_stress,Milo's remaining debt makes him avoid Fay's stove corner.,,,False,False,Fay,0.565,0.535,0.297,0.307,0.412,0.433,0.417,0.452,0.295,0.080,0.060,0.710,0.760,0.430,True,2.780,22,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
59,dry recovery,Milo,relationship_repair,Milo brings a small ration token and sits near the edge instead of disappearing.,,,False,False,Fay,0.535,0.575,0.303,0.298,0.365,0.428,0.409,0.448,0.295,0.080,0.060,0.760,0.740,0.430,True,4.774,40,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
62,dry recovery,Ari,recovery,Dry recovery lowers Ari's wrist ache but not all fatigue.,,,False,False,Milo,0.637,0.657,0.330,0.306,0.450,0.523,0.354,0.437,0.205,0.090,0.080,0.380,0.380,0.470,True,4.782,40,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
65,dry recovery,Fay,communal_care,Fay hosts a small care meal; care helps warmth but costs energy.,,,False,False,Milo,0.565,0.595,0.300,0.297,0.581,0.252,0.404,0.489,0.224,0.090,0.040,0.470,0.470,0.560,True,6.671,57,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
68,dry recovery,Milo,recovery,"Milo's body risk drops, but debt stress stays visible.",,,False,False,Fay,0.597,0.617,0.294,0.284,0.358,0.422,0.401,0.413,0.254,0.080,0.060,0.740,0.720,0.430,True,7.551,65,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
72,dry recovery,Milo,season_review,Season review records partial recovery with residual debt-linked avoidance.,,,False,False,Fay,0.617,0.617,0.280,0.277,0.331,0.417,0.393,0.408,0.253,0.080,0.060,0.720,0.720,0.430,True,1.897,14,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
