tick_id,day,agent_id,trust_avatar,respect_felt,autonomy_pressure,gratitude,guardedness,relationship_badge_visible,bounded_change
84,8,Ari,0.67,0.67,0.457,0.375,0.263,True,True
86,8,Nia,0.63,0.67,0.607,0.375,0.263,True,True
87,8,Milo,0.736,0.76,0.641,0.319,0.189,True,True
89,8,Juno,0.66,0.71,0.682,0.43,0.228,True,True
91,8,Fay,0.71,0.67,0.397,0.375,0.263,True,True
93,8,Milo,0.791,0.8,0.616,0.374,0.154,True,True
94,8,Ivo,0.63,0.64,0.527,0.381,0.313,True,True
96,9,Fay,0.75,0.71,0.372,0.43,0.228,True,True
97,9,Nia,0.685,0.71,0.582,0.43,0.228,True,True
98,9,Milo,0.841,0.84,0.591,0.429,0.119,True,True
99,9,Ivo,0.644,0.65,0.531,0.387,0.309,True,True
101,9,Ari,0.72,0.71,0.432,0.43,0.228,True,True
103,9,Nia,0.725,0.75,0.557,0.485,0.193,True,True
105,9,Ivo,0.658,0.66,0.535,0.393,0.305,True,True
106,9,Juno,0.676,0.72,0.686,0.436,0.224,True,True
108,10,Fay,0.77,0.72,0.376,0.436,0.224,True,True
110,10,Milo,0.781,0.81,0.641,0.435,0.169,True,True
111,10,Ivo,0.672,0.67,0.539,0.399,0.301,True,True
113,10,Ari,0.66,0.68,0.482,0.436,0.278,True,True
114,10,Fay,0.725,0.69,0.426,0.442,0.274,True,True
115,10,Nia,0.745,0.76,0.561,0.491,0.189,True,True
117,10,Ivo,0.686,0.68,0.543,0.405,0.297,True,True
118,10,Juno,0.631,0.69,0.736,0.442,0.274,True,True
120,11,Fay,0.78,0.73,0.401,0.497,0.239,True,True
122,11,Milo,0.797,0.82,0.645,0.441,0.165,True,True
123,11,Ivo,0.7,0.69,0.547,0.411,0.293,True,True
125,11,Ari,0.676,0.69,0.486,0.442,0.274,True,True
127,11,Nia,0.8,0.8,0.536,0.546,0.154,True,True
129,11,Ivo,0.714,0.7,0.551,0.417,0.289,True,True
130,11,Juno,0.671,0.73,0.711,0.497,0.239,True,True
131,11,Ari,0.726,0.73,0.461,0.497,0.239,True,True
132,12,Fay,0.794,0.74,0.405,0.503,0.235,True,True
134,12,Milo,0.752,0.79,0.695,0.447,0.215,True,True
135,12,Ivo,0.728,0.71,0.555,0.423,0.285,True,True
137,12,Ari,0.681,0.7,0.511,0.503,0.289,True,True
139,12,Nia,0.814,0.81,0.54,0.552,0.15,True,True
141,12,Ivo,0.742,0.72,0.559,0.429,0.281,True,True
142,12,Juno,0.691,0.74,0.715,0.503,0.235,True,True
144,13,Fay,0.844,0.78,0.38,0.558,0.2,True,True
146,13,Milo,0.792,0.83,0.67,0.502,0.18,True,True
147,13,Ivo,0.756,0.73,0.563,0.435,0.277,True,True
149,13,Ari,0.721,0.74,0.486,0.558,0.254,True,True
151,13,Nia,0.864,0.85,0.515,0.607,0.115,True,True
153,13,Ivo,0.77,0.74,0.567,0.441,0.273,True,True
154,13,Juno,0.746,0.78,0.69,0.558,0.2,True,True
156,14,Fay,0.784,0.75,0.43,0.564,0.25,True,True
158,14,Milo,0.812,0.84,0.674,0.508,0.176,True,True
159,14,Ivo,0.784,0.75,0.571,0.447,0.269,True,True
161,14,Ari,0.741,0.75,0.49,0.564,0.25,True,True
163,14,Nia,0.804,0.82,0.565,0.613,0.165,True,True
165,14,Ivo,0.798,0.76,0.575,0.453,0.265,True,True
166,14,Juno,0.76,0.79,0.694,0.564,0.196,True,True
168,15,Fay,0.8,0.76,0.434,0.57,0.246,True,True
170,15,Milo,0.867,0.88,0.649,0.563,0.141,True,True
171,15,Ivo,0.812,0.77,0.579,0.459,0.261,True,True
173,15,Ari,0.796,0.79,0.465,0.619,0.215,True,True
175,15,Nia,0.82,0.83,0.569,0.619,0.161,True,True
177,15,Ivo,0.826,0.78,0.583,0.465,0.257,True,True
178,15,Juno,0.81,0.83,0.669,0.619,0.161,True,True
180,16,Fay,0.755,0.73,0.484,0.576,0.296,True,True
182,16,Milo,0.881,0.89,0.653,0.569,0.137,True,True
183,16,Ivo,0.84,0.79,0.587,0.471,0.253,True,True
185,16,Ari,0.81,0.8,0.469,0.625,0.211,True,True
187,16,Nia,0.775,0.8,0.619,0.625,0.211,True,True
189,16,Ivo,0.854,0.8,0.591,0.477,0.249,True,True
190,16,Juno,0.75,0.8,0.719,0.625,0.211,True,True
192,17,Fay,0.795,0.77,0.459,0.631,0.261,True,True
194,17,Milo,0.931,0.93,0.628,0.624,0.102,True,True
195,17,Ivo,0.868,0.81,0.595,0.483,0.245,True,True
196,17,Juno,0.79,0.84,0.694,0.68,0.176,True,True
197,17,Ari,0.86,0.84,0.444,0.68,0.176,True,True
199,17,Nia,0.815,0.84,0.594,0.68,0.176,True,True
201,17,Ivo,0.882,0.82,0.599,0.489,0.241,True,True
202,17,Juno,0.806,0.85,0.698,0.686,0.172,True,True
204,18,Nia,0.87,0.88,0.569,0.735,0.141,True,True
206,18,Ivo,0.898,0.83,0.603,0.495,0.237,True,True
207,18,Juno,0.82,0.86,0.702,0.692,0.168,True,True
209,18,Fay,0.811,0.78,0.463,0.637,0.257,True,True
211,18,Milo,0.96,0.96,0.603,0.679,0.067,True,True
212,18,Ivo,0.948,0.87,0.578,0.55,0.202,True,True
213,18,Juno,0.834,0.87,0.706,0.698,0.164,True,True
214,18,Ari,0.915,0.88,0.419,0.735,0.141,True,True
216,19,Nia,0.884,0.89,0.573,0.741,0.137,True,True
217,19,Milo,0.9,0.93,0.653,0.685,0.117,True,True
218,19,Ivo,0.903,0.84,0.628,0.556,0.252,True,True
219,19,Juno,0.848,0.88,0.71,0.704,0.16,True,True
221,19,Fay,0.766,0.75,0.513,0.643,0.307,True,True
223,19,Milo,0.914,0.94,0.657,0.691,0.113,True,True
225,19,Juno,0.862,0.89,0.714,0.71,0.156,True,True
226,19,Ari,0.929,0.89,0.423,0.741,0.137,True,True
228,20,Nia,0.934,0.93,0.548,0.796,0.102,True,True
230,20,Ivo,0.943,0.88,0.603,0.611,0.217,True,True
231,20,Juno,0.876,0.9,0.718,0.716,0.152,True,True
233,20,Fay,0.806,0.79,0.488,0.698,0.272,True,True
234,20,Nia,0.96,0.96,0.523,0.851,0.067,True,True
235,20,Milo,0.96,0.96,0.632,0.746,0.078,True,True
237,20,Juno,0.89,0.91,0.722,0.722,0.148,True,True
238,20,Ari,0.96,0.93,0.398,0.796,0.102,True,True
240,21,Nia,0.9,0.93,0.573,0.857,0.117,True,True
242,21,Ivo,0.96,0.89,0.607,0.617,0.213,True,True
243,21,Juno,0.904,0.92,0.726,0.728,0.144,True,True
245,21,Fay,0.826,0.8,0.492,0.704,0.268,True,True
247,21,Milo,0.9,0.93,0.682,0.752,0.128,True,True
249,21,Juno,0.918,0.93,0.73,0.734,0.14,True,True
250,21,Ari,0.9,0.9,0.448,0.802,0.152,True,True
251,21,Fay,0.781,0.77,0.542,0.71,0.318,True,True
252,22,Nia,0.916,0.94,0.577,0.863,0.113,True,True
254,22,Ivo,0.96,0.93,0.582,0.672,0.178,True,True
255,22,Juno,0.932,0.94,0.734,0.74,0.136,True,True
256,22,Ari,0.94,0.94,0.423,0.857,0.117,True,True
257,22,Fay,0.836,0.81,0.517,0.765,0.283,True,True
259,22,Milo,0.916,0.94,0.686,0.758,0.124,True,True
261,22,Juno,0.946,0.95,0.738,0.746,0.132,True,True
262,22,Ari,0.956,0.95,0.427,0.863,0.113,True,True
264,23,Nia,0.871,0.91,0.627,0.869,0.163,True,True
266,23,Ivo,0.96,0.94,0.586,0.678,0.174,True,True
267,23,Juno,0.96,0.96,0.742,0.752,0.128,True,True
269,23,Fay,0.85,0.82,0.521,0.771,0.279,True,True
271,23,Milo,0.871,0.91,0.736,0.764,0.174,True,True
273,23,Juno,0.96,0.96,0.746,0.758,0.124,True,True
274,23,Ari,0.911,0.92,0.477,0.869,0.163,True,True
276,24,Nia,0.911,0.95,0.602,0.924,0.128,True,True
278,24,Ivo,0.96,0.96,0.561,0.733,0.139,True,True
279,24,Juno,0.96,0.96,0.75,0.764,0.12,True,True
281,24,Fay,0.9,0.86,0.496,0.826,0.244,True,True
283,24,Milo,0.911,0.95,0.711,0.819,0.139,True,True
285,24,Juno,0.96,0.96,0.754,0.77,0.116,True,True
286,24,Ari,0.951,0.96,0.452,0.924,0.128,True,True
288,25,Nia,0.931,0.96,0.606,0.93,0.124,True,True
290,25,Ivo,0.9,0.93,0.611,0.739,0.189,True,True
291,25,Juno,0.96,0.96,0.758,0.776,0.112,True,True
293,25,Fay,0.84,0.83,0.546,0.832,0.294,True,True
295,25,Milo,0.931,0.96,0.715,0.825,0.135,True,True
297,25,Juno,0.96,0.96,0.762,0.782,0.108,True,True
298,25,Ari,0.96,0.96,0.456,0.93,0.124,True,True
300,26,Nia,0.96,0.96,0.581,0.96,0.089,True,True
302,26,Ivo,0.916,0.94,0.615,0.745,0.185,True,True
303,26,Juno,0.96,0.96,0.766,0.788,0.104,True,True
305,26,Fay,0.856,0.84,0.55,0.838,0.29,True,True
307,26,Milo,0.96,0.96,0.69,0.88,0.1,True,True
309,26,Juno,0.96,0.96,0.77,0.794,0.1,True,True
310,26,Ari,0.96,0.96,0.431,0.96,0.089,True,True
312,27,Milo,0.96,0.96,0.665,0.935,0.065,True,True
314,27,Juno,0.96,0.96,0.745,0.849,0.065,True,True
315,27,Ari,0.96,0.96,0.435,0.96,0.085,True,True
317,27,Nia,0.96,0.96,0.556,0.96,0.054,True,True
319,27,Ivo,0.96,0.96,0.59,0.8,0.15,True,True
321,27,Ari,0.96,0.96,0.439,0.96,0.081,True,True
322,27,Fay,0.906,0.88,0.525,0.893,0.255,True,True
324,28,Milo,0.9,0.93,0.715,0.941,0.115,True,True
326,28,Juno,0.96,0.96,0.749,0.855,0.061,True,True
327,28,Ari,0.96,0.96,0.443,0.96,0.077,True,True
329,28,Nia,0.96,0.96,0.56,0.96,0.05,True,True
331,28,Ivo,0.9,0.93,0.64,0.806,0.2,True,True
332,28,Juno,0.915,0.93,0.799,0.861,0.111,True,True
333,28,Ari,0.96,0.96,0.447,0.96,0.073,True,True
334,28,Fay,0.846,0.85,0.575,0.899,0.305,True,True
336,29,Milo,0.916,0.94,0.719,0.947,0.111,True,True
337,29,Ivo,0.94,0.96,0.615,0.861,0.165,True,True
338,29,Juno,0.96,0.96,0.774,0.916,0.076,True,True
339,29,Ari,0.96,0.96,0.451,0.96,0.069,True,True
341,29,Nia,0.96,0.96,0.535,0.96,0.015,True,True
343,29,Ivo,0.956,0.96,0.619,0.867,0.161,True,True
345,29,Ari,0.96,0.96,0.455,0.96,0.065,True,True
346,29,Fay,0.862,0.86,0.579,0.905,0.301,True,True
348,30,Milo,0.871,0.91,0.769,0.953,0.161,True,True
350,30,Juno,0.96,0.96,0.778,0.922,0.072,True,True
351,30,Ari,0.96,0.96,0.459,0.96,0.061,True,True
353,30,Nia,0.96,0.96,0.539,0.96,0.011,True,True
354,30,Milo,0.811,0.88,0.819,0.959,0.211,True,True
355,30,Ivo,0.911,0.93,0.669,0.873,0.211,True,True
357,30,Ari,0.96,0.96,0.463,0.96,0.057,True,True
358,30,Fay,0.817,0.83,0.629,0.911,0.351,True,True
360,31,Milo,0.851,0.92,0.794,0.96,0.176,True,True
362,31,Juno,0.96,0.96,0.753,0.96,0.037,True,True
363,31,Ari,0.96,0.96,0.467,0.96,0.053,True,True
365,31,Nia,0.96,0.96,0.514,0.96,0.0,True,True
367,31,Ivo,0.951,0.96,0.644,0.928,0.176,True,True
369,31,Ari,0.96,0.96,0.471,0.96,0.049,True,True
370,31,Fay,0.857,0.87,0.604,0.96,0.316,True,True
371,31,Nia,0.96,0.96,0.489,0.96,0.0,True,True
372,32,Milo,0.871,0.93,0.798,0.96,0.172,True,True
374,32,Juno,0.9,0.93,0.803,0.96,0.087,True,True
375,32,Ari,0.96,0.96,0.475,0.96,0.045,True,True
376,32,Fay,0.871,0.88,0.608,0.96,0.312,True,True
377,32,Nia,0.9,0.93,0.539,0.96,0.05,True,True
379,32,Ivo,0.96,0.96,0.648,0.934,0.172,True,True
381,32,Ari,0.96,0.96,0.479,0.96,0.041,True,True
382,32,Fay,0.891,0.89,0.612,0.96,0.308,True,True
384,33,Milo,0.926,0.96,0.773,0.96,0.137,True,True
386,33,Juno,0.916,0.94,0.807,0.96,0.083,True,True
387,33,Ari,0.96,0.96,0.454,0.96,0.006,True,True
389,33,Nia,0.916,0.94,0.543,0.96,0.046,True,True
391,33,Ivo,0.96,0.96,0.623,0.96,0.137,True,True
393,33,Ari,0.96,0.96,0.429,0.96,0.0,True,True
394,33,Fay,0.946,0.93,0.587,0.96,0.273,True,True
396,34,Milo,0.94,0.96,0.777,0.96,0.133,True,True
398,34,Juno,0.871,0.91,0.857,0.96,0.133,True,True
399,34,Ari,0.96,0.96,0.433,0.96,0.0,True,True
401,34,Nia,0.871,0.91,0.593,0.96,0.096,True,True
403,34,Ivo,0.96,0.96,0.627,0.96,0.133,True,True
405,34,Ari,0.96,0.96,0.437,0.96,0.0,True,True
406,34,Fay,0.96,0.94,0.591,0.96,0.269,True,True
408,35,Milo,0.96,0.96,0.752,0.96,0.098,True,True
410,35,Juno,0.911,0.95,0.832,0.96,0.098,True,True
411,35,Ari,0.96,0.96,0.441,0.96,0.0,True,True
413,35,Nia,0.911,0.95,0.568,0.96,0.061,True,True
415,35,Ivo,0.96,0.96,0.602,0.96,0.098,True,True
417,35,Ari,0.96,0.96,0.445,0.96,0.0,True,True
418,35,Fay,0.96,0.96,0.566,0.96,0.234,True,True
420,36,Ivo,0.96,0.96,0.606,0.96,0.094,True,True
422,36,Ari,0.96,0.96,0.42,0.96,0.0,True,True
423,36,Fay,0.96,0.96,0.57,0.96,0.23,True,True
425,36,Milo,0.96,0.96,0.727,0.96,0.063,True,True
427,36,Juno,0.927,0.96,0.836,0.96,0.094,True,True
429,36,Fay,0.96,0.96,0.574,0.96,0.226,True,True
430,36,Nia,0.927,0.96,0.572,0.96,0.057,True,True
432,37,Ivo,0.915,0.93,0.656,0.96,0.144,True,True
434,37,Ari,0.9,0.93,0.47,0.96,0.05,True,True
435,37,Fay,0.96,0.96,0.578,0.96,0.222,True,True
437,37,Milo,0.96,0.96,0.731,0.96,0.059,True,True
439,37,Juno,0.882,0.93,0.886,0.96,0.144,True,True
441,37,Fay,0.96,0.96,0.582,0.96,0.218,True,True
442,37,Nia,0.882,0.93,0.622,0.96,0.107,True,True
444,38,Ivo,0.955,0.96,0.631,0.96,0.109,True,True
446,38,Ari,0.916,0.94,0.474,0.96,0.046,True,True
447,38,Fay,0.96,0.96,0.586,0.96,0.214,True,True
449,38,Milo,0.96,0.96,0.706,0.96,0.024,True,True
451,38,Juno,0.922,0.96,0.861,0.96,0.109,True,True
453,38,Fay,0.96,0.96,0.59,0.96,0.21,True,True
454,38,Nia,0.922,0.96,0.597,0.96,0.072,True,True
456,39,Ivo,0.96,0.96,0.635,0.96,0.105,True,True
457,39,Juno,0.936,0.96,0.865,0.96,0.105,True,True
458,39,Ari,0.871,0.91,0.524,0.96,0.096,True,True
459,39,Fay,0.96,0.96,0.594,0.96,0.206,True,True
461,39,Milo,0.9,0.93,0.756,0.96,0.074,True,True
463,39,Juno,0.956,0.96,0.869,0.96,0.101,True,True
465,39,Fay,0.96,0.96,0.598,0.96,0.202,True,True
466,39,Nia,0.942,0.96,0.601,0.96,0.068,True,True
468,40,Ivo,0.96,0.96,0.61,0.96,0.07,True,True
470,40,Ari,0.911,0.95,0.499,0.96,0.061,True,True
471,40,Fay,0.96,0.96,0.602,0.96,0.198,True,True
473,40,Milo,0.916,0.94,0.76,0.96,0.07,True,True
474,40,Ivo,0.96,0.96,0.585,0.96,0.035,True,True
475,40,Juno,0.96,0.96,0.844,0.96,0.066,True,True
477,40,Fay,0.96,0.96,0.606,0.96,0.194,True,True
478,40,Nia,0.96,0.96,0.576,0.96,0.033,True,True
480,41,Ivo,0.96,0.96,0.589,0.96,0.031,True,True
482,41,Ari,0.931,0.96,0.503,0.96,0.057,True,True
483,41,Fay,0.96,0.96,0.61,0.96,0.19,True,True
485,41,Milo,0.871,0.91,0.81,0.96,0.12,True,True
487,41,Juno,0.96,0.96,0.848,0.96,0.062,True,True
489,41,Fay,0.96,0.96,0.614,0.96,0.186,True,True
490,41,Nia,0.96,0.96,0.58,0.96,0.029,True,True
491,41,Milo,0.811,0.88,0.86,0.96,0.17,True,True
492,42,Ivo,0.96,0.96,0.564,0.96,0.0,True,True
494,42,Ari,0.96,0.96,0.478,0.96,0.022,True,True
495,42,Fay,0.96,0.96,0.618,0.96,0.182,True,True
496,42,Nia,0.96,0.96,0.584,0.96,0.025,True,True
497,42,Milo,0.851,0.92,0.835,0.96,0.135,True,True
499,42,Juno,0.96,0.96,0.823,0.96,0.027,True,True
501,42,Fay,0.96,0.96,0.622,0.96,0.178,True,True
502,42,Nia,0.96,0.96,0.559,0.96,0.0,True,True
504,43,Ivo,0.9,0.93,0.614,0.96,0.05,True,True
506,43,Ari,0.96,0.96,0.482,0.96,0.018,True,True
507,43,Fay,0.9,0.93,0.672,0.96,0.228,True,True
509,43,Milo,0.871,0.93,0.839,0.96,0.131,True,True
511,43,Juno,0.9,0.93,0.873,0.96,0.077,True,True
513,43,Fay,0.914,0.94,0.676,0.96,0.224,True,True
514,43,Nia,0.9,0.93,0.609,0.96,0.05,True,True
516,44,Ivo,0.916,0.94,0.618,0.96,0.046,True,True
518,44,Ari,0.96,0.96,0.457,0.96,0.0,True,True
519,44,Fay,0.928,0.95,0.68,0.96,0.22,True,True
521,44,Milo,0.926,0.96,0.814,0.96,0.096,True,True
523,44,Juno,0.916,0.94,0.877,0.96,0.073,True,True
524,44,Ari,0.96,0.96,0.432,0.96,0.0,True,True
525,44,Fay,0.942,0.96,0.684,0.96,0.216,True,True
526,44,Nia,0.916,0.94,0.613,0.96,0.046,True,True
528,45,Juno,0.956,0.96,0.852,0.96,0.038,True,True
530,45,Fay,0.958,0.96,0.688,0.96,0.212,True,True
531,45,Nia,0.93,0.95,0.617,0.96,0.042,True,True
533,45,Ivo,0.96,0.96,0.593,0.96,0.011,True,True
535,45,Ari,0.96,0.96,0.407,0.96,0.0,True,True
537,45,Nia,0.944,0.96,0.621,0.96,0.038,True,True
538,45,Milo,0.96,0.96,0.789,0.96,0.061,True,True
540,46,Juno,0.96,0.96,0.856,0.96,0.034,True,True
542,46,Fay,0.913,0.93,0.738,0.96,0.262,True,True
543,46,Nia,0.958,0.96,0.625,0.96,0.034,True,True
545,46,Ivo,0.9,0.93,0.643,0.96,0.061,True,True
547,46,Ari,0.96,0.96,0.411,0.96,0.0,True,True
549,46,Nia,0.96,0.96,0.629,0.96,0.03,True,True
550,46,Milo,0.96,0.96,0.793,0.96,0.057,True,True
552,47,Juno,0.96,0.96,0.831,0.96,0.0,True,True
554,47,Fay,0.953,0.96,0.713,0.96,0.227,True,True
555,47,Nia,0.96,0.96,0.633,0.96,0.026,True,True
557,47,Ivo,0.916,0.94,0.647,0.96,0.057,True,True
559,47,Ari,0.96,0.96,0.386,0.96,0.0,True,True
561,47,Nia,0.96,0.96,0.637,0.96,0.022,True,True
562,47,Milo,0.96,0.96,0.768,0.96,0.022,True,True
564,48,Juno,0.96,0.96,0.835,0.96,0.0,True,True
566,48,Fay,0.96,0.96,0.717,0.96,0.223,True,True
567,48,Nia,0.96,0.96,0.641,0.96,0.018,True,True
569,48,Ivo,0.871,0.91,0.697,0.96,0.107,True,True
571,48,Ari,0.9,0.93,0.436,0.96,0.05,True,True
573,48,Nia,0.96,0.96,0.645,0.96,0.014,True,True
574,48,Milo,0.96,0.96,0.772,0.96,0.018,True,True
576,49,Juno,0.96,0.96,0.81,0.96,0.0,True,True
578,49,Fay,0.96,0.96,0.692,0.96,0.188,True,True
579,49,Nia,0.96,0.96,0.649,0.96,0.01,True,True
581,49,Ivo,0.911,0.95,0.672,0.96,0.072,True,True
583,49,Ari,0.916,0.94,0.44,0.96,0.046,True,True
585,49,Nia,0.96,0.96,0.653,0.96,0.006,True,True
586,49,Milo,0.96,0.96,0.747,0.96,0.0,True,True
588,50,Juno,0.9,0.93,0.86,0.96,0.05,True,True
590,50,Fay,0.96,0.96,0.696,0.96,0.184,True,True
591,50,Nia,0.96,0.96,0.657,0.96,0.002,True,True
593,50,Ivo,0.931,0.96,0.676,0.96,0.068,True,True
594,50,Juno,0.914,0.94,0.864,0.96,0.046,True,True
595,50,Ari,0.871,0.91,0.49,0.96,0.096,True,True
597,50,Nia,0.96,0.96,0.661,0.96,0.0,True,True
598,50,Milo,0.9,0.93,0.797,0.96,0.05,True,True
600,51,Juno,0.93,0.95,0.868,0.96,0.042,True,True
602,51,Fay,0.96,0.96,0.671,0.96,0.149,True,True
603,51,Nia,0.96,0.96,0.665,0.96,0.0,True,True
605,51,Ivo,0.96,0.96,0.651,0.96,0.033,True,True
607,51,Ari,0.911,0.95,0.465,0.96,0.061,True,True
609,51,Nia,0.96,0.96,0.669,0.96,0.0,True,True
610,51,Milo,0.916,0.94,0.801,0.96,0.046,True,True
611,51,Ivo,0.96,0.96,0.626,0.96,0.0,True,True
612,52,Juno,0.885,0.92,0.918,0.96,0.092,True,True
614,52,Fay,0.9,0.93,0.721,0.96,0.199,True,True
615,52,Nia,0.96,0.96,0.673,0.96,0.0,True,True
616,52,Milo,0.936,0.95,0.805,0.96,0.042,True,True
617,52,Ivo,0.96,0.96,0.63,0.96,0.0,True,True
619,52,Ari,0.931,0.96,0.469,0.96,0.057,True,True
621,52,Nia,0.96,0.96,0.677,0.96,0.0,True,True
622,52,Milo,0.891,0.92,0.855,0.96,0.092,True,True
624,53,Juno,0.925,0.96,0.893,0.96,0.057,True,True
626,53,Fay,0.916,0.94,0.725,0.96,0.195,True,True
627,53,Nia,0.96,0.96,0.652,0.96,0.0,True,True
629,53,Ivo,0.96,0.96,0.605,0.96,0.0,True,True
631,53,Ari,0.96,0.96,0.444,0.96,0.022,True,True
633,53,Nia,0.96,0.96,0.656,0.96,0.0,True,True
634,53,Milo,0.931,0.96,0.83,0.96,0.057,True,True
636,54,Ari,0.96,0.96,0.419,0.96,0.0,True,True
637,54,Fay,0.932,0.95,0.729,0.96,0.191,True,True
638,54,Nia,0.96,0.96,0.631,0.96,0.0,True,True
639,54,Milo,0.945,0.96,0.834,0.96,0.053,True,True
641,54,Juno,0.941,0.96,0.897,0.96,0.053,True,True
643,54,Fay,0.96,0.96,0.704,0.96,0.156,True,True
645,54,Milo,0.959,0.96,0.838,0.96,0.049,True,True
646,54,Ivo,0.96,0.96,0.58,0.96,0.0,True,True
648,55,Ari,0.9,0.93,0.469,0.96,0.05,True,True
650,55,Nia,0.96,0.96,0.635,0.96,0.0,True,True
651,55,Milo,0.96,0.96,0.842,0.96,0.045,True,True
653,55,Juno,0.896,0.93,0.947,0.96,0.103,True,True
654,55,Ari,0.914,0.94,0.473,0.96,0.046,True,True
655,55,Fay,0.9,0.93,0.754,0.96,0.206,True,True
657,55,Milo,0.96,0.96,0.846,0.96,0.041,True,True
658,55,Ivo,0.96,0.96,0.584,0.96,0.0,True,True
660,56,Ari,0.93,0.95,0.477,0.96,0.042,True,True
662,56,Nia,0.96,0.96,0.61,0.96,0.0,True,True
663,56,Milo,0.96,0.96,0.85,0.96,0.037,True,True
665,56,Juno,0.936,0.96,0.922,0.96,0.068,True,True
667,56,Fay,0.916,0.94,0.758,0.96,0.202,True,True
669,56,Milo,0.96,0.96,0.854,0.96,0.033,True,True
670,56,Ivo,0.96,0.96,0.559,0.96,0.0,True,True
672,57,Ari,0.885,0.92,0.527,0.96,0.092,True,True
674,57,Nia,0.96,0.96,0.614,0.96,0.0,True,True
675,57,Milo,0.96,0.96,0.858,0.96,0.029,True,True
677,57,Juno,0.956,0.96,0.926,0.96,0.064,True,True
679,57,Fay,0.871,0.91,0.808,0.96,0.252,True,True
681,57,Milo,0.96,0.96,0.862,0.96,0.025,True,True
682,57,Ivo,0.9,0.93,0.609,0.96,0.05,True,True
684,58,Ari,0.925,0.96,0.502,0.96,0.057,True,True
686,58,Nia,0.96,0.96,0.589,0.96,0.0,True,True
687,58,Milo,0.96,0.96,0.866,0.96,0.021,True,True
689,58,Juno,0.96,0.96,0.901,0.96,0.029,True,True
691,58,Fay,0.911,0.95,0.783,0.96,0.217,True,True
693,58,Milo,0.96,0.96,0.87,0.96,0.017,True,True
