seed,ledger_id,event,material_sources,material_transformation,time_cost,labor_or_attention_cost,tool_wear,resident_effort,hidden_law_involved,public_observation,resident_interpretation,resources_before,resources_after,conservation_check,maintenance_obligation_created,unintended_consequence,normal_view_hidden_law_exposed
36217,36217-AHR-001-1,36217-AHB-001-1,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,12,True,none,taboo,False
36231,36231-AHR-004-3,36231-AHB-004-3,reed_fiber;dry_resin,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,small local effect shown once,"wet scraps dull the sign, so the old story may be incomplete",12,11,True,none,disputed,False
36247,36247-AHR-005-1,36247-AHB-005-1,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the sign should be respected before work resumes,12,12,True,quiet sign waiting around grain pull/water-hush safety limit practice,ritualized,False
36247,36247-AHR-005-2,36247-AHB-005-2,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,"wet scraps dull the sign, so the old story may be incomplete",12,12,True,none,disputed,False
36247,36247-AHR-005-3,36247-AHB-005-3,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,dry things keep the small bite quieter and easier to repeat,12,12,True,dry keeping habit around grain pull/water-hush safety limit practice,useful_practice,False
36247,36247-AHR-006-1,36247-AHB-006-1,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,12,True,none,taboo,False
36247,36247-AHR-006-2,36247-AHB-006-2,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the hint can wait because roof work matters more,12,12,True,none,rejected,False
36247,36247-AHR-006-3,36247-AHB-006-3,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the sign should be respected before work resumes,12,12,True,quiet sign waiting around grain pull/water-hush schedule conflict practice,ritualized,False
36263,36263-AHR-007-1,36263-AHB-007-1,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the hint can wait because roof work matters more,12,12,True,none,rejected,False
36263,36263-AHR-007-2,36263-AHB-007-2,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the sign should be respected before work resumes,12,12,True,quiet sign waiting around quiet sting/quiet-doubt safety limit practice,ritualized,False
36263,36263-AHR-007-3,36263-AHB-007-3,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,"wet scraps dull the sign, so the old story may be incomplete",12,12,True,none,disputed,False
36263,36263-AHR-008-1,36263-AHB-008-1,reed_fiber;dry_resin,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,dry things keep the small bite quieter and easier to repeat,12,11,True,dry keeping habit around quiet sting/quiet-doubt schedule conflict practice,useful_practice,False
36263,36263-AHR-008-2,36263-AHB-008-2,reed_fiber;dry_resin,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,11,True,none,taboo,False
36263,36263-AHR-008-3,36263-AHB-008-3,reed_fiber;dry_resin,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the hint can wait because roof work matters more,12,11,True,none,rejected,False
36281,36281-AHR-009-1,36281-AHB-009-1,reed_fiber;wet_wood,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,small local effect shown once,the hint can wait because roof work matters more,12,11,True,none,rejected,False
36281,36281-AHR-009-2,36281-AHB-009-2,reed_fiber;wet_wood,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,small local effect shown once,the sign should be respected before work resumes,12,11,True,quiet sign waiting around edge-shame/quiet-doubt safety limit practice,ritualized,False
36281,36281-AHR-009-3,36281-AHB-009-3,reed_fiber;wet_wood,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,small local effect shown once,"wet scraps dull the sign, so the old story may be incomplete",12,11,True,none,disputed,False
36281,36281-AHR-010-1,36281-AHB-010-1,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,dry things keep the small bite quieter and easier to repeat,12,12,True,dry keeping habit around edge-shame/quiet-doubt schedule conflict practice,useful_practice,False
36281,36281-AHR-010-2,36281-AHB-010-2,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,12,True,none,taboo,False
36281,36281-AHR-010-3,36281-AHB-010-3,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the hint can wait because roof work matters more,12,12,True,none,rejected,False
36307,36307-AHR-011-1,36307-AHB-011-1,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,12,True,none,taboo,False
36307,36307-AHR-011-2,36307-AHB-011-2,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the hint can wait because roof work matters more,12,12,True,none,rejected,False
36307,36307-AHR-011-3,36307-AHB-011-3,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the sign should be respected before work resumes,12,12,True,quiet sign waiting around safe-gap/half-sign safety limit practice,ritualized,False
36307,36307-AHR-012-1,36307-AHB-012-1,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,"wet scraps dull the sign, so the old story may be incomplete",12,12,True,none,disputed,False
36307,36307-AHR-012-2,36307-AHB-012-2,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,dry things keep the small bite quieter and easier to repeat,12,12,True,dry keeping habit around safe-gap/half-sign schedule conflict practice,useful_practice,False
36307,36307-AHR-012-3,36307-AHB-012-3,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,12,True,none,taboo,False
36319,36319-AHR-013-1,36319-AHB-013-1,reed_fiber;wet_wood,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the sign should be respected before work resumes,12,11,True,quiet sign waiting around fiber-rise/edge-shame safety limit practice,ritualized,False
36319,36319-AHR-013-2,36319-AHB-013-2,reed_fiber;wet_wood,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,"wet scraps dull the sign, so the old story may be incomplete",12,11,True,none,disputed,False
36319,36319-AHR-013-3,36319-AHB-013-3,reed_fiber;wet_wood,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,dry things keep the small bite quieter and easier to repeat,12,11,True,dry keeping habit around fiber-rise/edge-shame safety limit practice,useful_practice,False
36319,36319-AHR-014-1,36319-AHB-014-1,reed_fiber;dry_resin,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,small local effect shown once,children should stay away from dry thread after storms,12,11,True,none,taboo,False
36319,36319-AHR-014-2,36319-AHB-014-2,reed_fiber;dry_resin,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,small local effect shown once,the hint can wait because roof work matters more,12,11,True,none,rejected,False
36319,36319-AHR-014-3,36319-AHB-014-3,reed_fiber;dry_resin,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,small local effect shown once,the sign should be respected before work resumes,12,11,True,quiet sign waiting around fiber-rise/edge-shame schedule conflict practice,ritualized,False
36343,36343-AHR-015-1,36343-AHB-015-1,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,12,True,none,taboo,False
36343,36343-AHR-015-2,36343-AHB-015-2,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the hint can wait because roof work matters more,12,12,True,none,rejected,False
36343,36343-AHR-015-3,36343-AHB-015-3,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the sign should be respected before work resumes,12,12,True,quiet sign waiting around smoke-bound/tool-anger safety limit practice,ritualized,False
36343,36343-AHR-016-1,36343-AHB-016-1,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,"wet scraps dull the sign, so the old story may be incomplete",12,12,True,none,disputed,False
36343,36343-AHR-016-2,36343-AHB-016-2,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,dry things keep the small bite quieter and easier to repeat,12,12,True,dry keeping habit around smoke-bound/tool-anger schedule conflict practice,useful_practice,False
36343,36343-AHR-016-3,36343-AHB-016-3,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,12,True,none,taboo,False
