tick_id,day,time_s,layer,dialogue_state,crafting_state,schedule_state,body_state,project_state,visible_world_state,saved_state,frequency_hz,flower_node
tick-thread-debt-review-2,3,2721.482,multi_turn_dialogue,"nian: No. It names beam, shade, and debt. Not body reasons.; open",review privacy safe,review touches shade care,object trail only,Nian records review privacy boundary.,Does the review expose care reasons?,dialogue:thread-debt-review:2,357.25,1
tick-conflict-shade-ledger,3,2722.0,schedule_conflict,public debt review before more timber,shade beam,"noro,fayen,avatar: shade help vs timber scarcity; review scheduled, second beam locked",delay 0.28; recovery 0.70,Noro carries shade debt to evening review,avatar asks before public debt closes,conflict:conflict-shade-ledger,381.0,1
tick-thread-debt-review-3,3,2722.943,multi_turn_dialogue,noro: Edge of circle. Read the debt first.; resolved,evening review promise,"review allowed, private reasons sealed",circle edge only,Noro records a public review promise.,Then I will ask at evening circle.,dialogue:thread-debt-review:3,364.0,2
tick-thread-archive-wording-1,4,910.193,multi_turn_dialogue,"nian: Untie that phrase. Keep object, place, day.; open",digest wording repaired,digest knot wording drift,remove body reason,Nian records repair before public posting.,I wrote object trail but added too much detail.,dialogue:thread-archive-wording:1,370.75,3
tick-thread-archive-wording-2,4,911.266,multi_turn_dialogue,"noro: Yes. Shade frame, day four, open debt.; open",knot phrase approved,Nian approved object/place/day,ledger public only,Noro records approved public phrase.,Can the knot say shade frame and day four?,dialogue:thread-archive-wording:2,377.5,4
tick-thread-archive-wording-3,4,912.936,multi_turn_dialogue,nian: Good. That is the line.; resolved,privacy-safe knot,public phrase ready,reason remains sealed,Nian records privacy commitment held.,I will leave out the reason for shade.,dialogue:thread-archive-wording:3,384.25,5
tick-conflict-archive-review,4,913.0,schedule_conflict,object/place/day grammar,digest knot,"nian,noro: privacy vs ledger speed; phrase repaired before posting",delay 0.10; recovery 0.92,Noro checks Nian before public digest knots,ledger wants phrase before Nian approves,conflict:conflict-archive-review,388.0,2
tick-conflict-care-cloth,4,1160.0,schedule_conflict,care item can borrow after reed turn,clean cloth,"fayen,roka: care kit vs reed drying; cloth shared with drying deadline",delay 0.20; recovery 0.76,Fayen checks reed drying before taking cloth,care kit needs cloth while reed strips are damp,conflict:conflict-care-cloth,395.0,3
tick-rec-noro-focus,4,2730.0,body_recovery,accepted,public debt read before request,debt review pressure,energy 0.58->0.62; fatigue 0.38->0.31; pain 0.10->0.08,Noro remembers accountable review request,"board taps slow, voice steadies",recovery:rec-noro-focus,205.25,10
tick-rec-ariq-delayed,4,2810.0,body_recovery,accepted_partial,schedule catchup and no solo lift,repair delayed by timber review,energy 0.50->0.54; fatigue 0.52->0.47; pain 0.28->0.24,Ariq remembers delay without project loss,steps back from stone without dropping project,recovery:rec-ariq-delayed,217.5,11
tick-proj-care-kit,4,3035.0,persistent_project,Nian wording approval,chain-care-kit,shade pause schedule,fatigue recovery,public care kit standard: 0.35->0.72; standard drafted,wash cloth and test second care pause,Fayen keeps care kit standard across days,432.5,4
tick-proj-bridge-edge,4,3036.0,persistent_project,Noro debt review,chain-bridge-edge,bell-gated repair,pain-aware lift recovery,cart-safe bridge edge: 0.42->0.69; partial edge safe,brace second half after review,Ariq keeps bridge project despite delay,439.0,5
tick-proj-privacy-ledger,4,3037.0,persistent_project,Noro phrase check,chain-ledger-review,archive review schedule,control recovery,privacy ledger grammar: 0.58->0.84; grammar active,teach object/place/day phrase,Nian keeps grammar as public norm,445.5,6
tick-proj-reed-lesson,4,3038.0,persistent_project,Fayen support at shade edge,chain-reed-tray,after rain check,wetness recovery,reed lesson tray: 0.30->0.61; loose tray conditional,repeat ask-each-time lesson,Roka keeps tied bundle boundary and opens loose tray,452.0,7
tick-proj-shade-debt,4,3039.0,persistent_project,Nian privacy approval,chain-ledger-review,evening circle edge,focus recovery,shade debt review: 0.40->0.66; review scheduled,hold review before timber release,Noro keeps debt visible while allowing review,458.5,8
