tick,day,replay_id,loop_id,includes_animation_state,includes_turn_gesture,includes_proximity,includes_object_handling,includes_sensory_timing,deterministic_order,replay_integrity_score
80,7,v19-replay-d07-t08,v19-loop-011,1,1,1,1,1,1,1.0
81,7,v19-replay-d07-t09,v19-loop-011,1,1,1,1,1,1,1.0
82,7,v19-replay-d07-t10,v19-loop-011,1,1,1,1,1,1,0.958333
83,7,v19-replay-d07-t11,v19-loop-011,1,1,1,1,1,1,0.958333
84,8,v19-replay-d08-t00,v19-loop-011,1,1,1,1,1,1,1.0
85,8,v19-replay-d08-t01,v19-loop-011,1,1,1,1,1,1,1.0
86,8,v19-replay-d08-t02,v19-loop-011,1,1,1,1,1,1,1.0
87,8,v19-replay-d08-t03,v19-loop-011,1,0,1,1,1,1,0.888889
88,8,v19-replay-d08-t04,v19-loop-012,1,1,1,1,1,1,0.944445
89,8,v19-replay-d08-t05,v19-loop-012,1,1,1,1,1,1,0.944445
90,8,v19-replay-d08-t06,v19-loop-012,1,1,1,1,1,1,0.944445
91,8,v19-replay-d08-t07,v19-loop-012,1,1,1,1,1,1,0.944445
92,8,v19-replay-d08-t08,v19-loop-012,1,1,1,1,1,1,1.0
93,8,v19-replay-d08-t09,v19-loop-012,0,1,1,1,1,1,0.966667
94,8,v19-replay-d08-t10,v19-loop-012,1,1,1,1,1,1,1.0
95,8,v19-replay-d08-t11,v19-loop-012,1,1,1,0,0,1,0.88
96,9,v19-replay-d09-t00,v19-loop-013,1,1,1,1,1,1,0.902778
97,9,v19-replay-d09-t01,v19-loop-013,1,1,1,1,1,1,1.0
98,9,v19-replay-d09-t02,v19-loop-013,1,1,1,1,1,1,1.0
99,9,v19-replay-d09-t03,v19-loop-013,1,1,1,1,1,1,0.944445
100,9,v19-replay-d09-t04,v19-loop-013,1,1,1,1,1,1,0.958333
101,9,v19-replay-d09-t05,v19-loop-013,1,1,1,1,1,1,1.0
102,9,v19-replay-d09-t06,v19-loop-013,1,1,1,1,1,1,1.0
103,9,v19-replay-d09-t07,v19-loop-013,1,1,1,1,1,1,1.0
104,9,v19-replay-d09-t08,v19-loop-014,1,1,1,1,1,1,0.958333
105,9,v19-replay-d09-t09,v19-loop-014,1,1,1,1,1,1,1.0
106,9,v19-replay-d09-t10,v19-loop-014,1,1,1,1,1,1,1.0
107,9,v19-replay-d09-t11,v19-loop-014,1,1,1,1,1,1,0.944445
108,10,v19-replay-d10-t00,v19-loop-014,1,1,1,1,1,1,1.0
109,10,v19-replay-d10-t01,v19-loop-014,1,1,1,1,1,1,0.958333
110,10,v19-replay-d10-t02,v19-loop-014,1,1,1,1,1,1,0.944445
111,10,v19-replay-d10-t03,v19-loop-014,1,1,1,1,1,1,1.0
112,10,v19-replay-d10-t04,v19-loop-015,1,1,1,1,1,1,1.0
113,10,v19-replay-d10-t05,v19-loop-015,1,1,1,1,1,1,1.0
114,10,v19-replay-d10-t06,v19-loop-015,1,1,1,0,1,1,0.916667
115,10,v19-replay-d10-t07,v19-loop-015,1,1,1,1,1,1,0.958333
116,10,v19-replay-d10-t08,v19-loop-015,1,1,1,1,1,1,1.0
117,10,v19-replay-d10-t09,v19-loop-015,1,1,1,1,1,1,1.0
118,10,v19-replay-d10-t10,v19-loop-015,1,1,1,1,1,1,1.0
119,10,v19-replay-d10-t11,v19-loop-015,1,1,1,1,1,1,1.0
120,11,v19-replay-d11-t00,v19-loop-016,1,1,1,1,1,1,0.944445
121,11,v19-replay-d11-t01,v19-loop-016,1,1,1,1,1,1,0.944445
122,11,v19-replay-d11-t02,v19-loop-016,1,1,1,1,1,1,0.958333
123,11,v19-replay-d11-t03,v19-loop-016,1,1,1,1,1,1,0.902778
124,11,v19-replay-d11-t04,v19-loop-016,0,1,1,1,1,1,0.966667
125,11,v19-replay-d11-t05,v19-loop-016,1,1,1,1,1,1,1.0
126,11,v19-replay-d11-t06,v19-loop-016,1,1,1,1,0,1,0.907778
127,11,v19-replay-d11-t07,v19-loop-016,1,1,1,1,1,1,1.0
128,11,v19-replay-d11-t08,v19-loop-017,1,1,1,1,1,1,1.0
129,11,v19-replay-d11-t09,v19-loop-017,1,1,1,1,1,1,0.944445
130,11,v19-replay-d11-t10,v19-loop-017,1,1,1,1,1,1,0.944445
131,11,v19-replay-d11-t11,v19-loop-017,1,1,1,1,1,1,1.0
132,12,v19-replay-d12-t00,v19-loop-017,1,1,1,1,1,1,0.944445
133,12,v19-replay-d12-t01,v19-loop-017,1,1,1,0,1,1,0.916667
134,12,v19-replay-d12-t02,v19-loop-017,1,1,1,1,1,1,1.0
135,12,v19-replay-d12-t03,v19-loop-017,1,1,1,1,1,1,0.958333
136,12,v19-replay-d12-t04,v19-loop-018,1,1,1,1,1,1,1.0
137,12,v19-replay-d12-t05,v19-loop-018,1,1,1,1,1,1,1.0
138,12,v19-replay-d12-t06,v19-loop-018,1,1,1,1,1,1,1.0
139,12,v19-replay-d12-t07,v19-loop-018,1,1,1,1,1,1,1.0
140,12,v19-replay-d12-t08,v19-loop-018,1,1,1,1,1,1,1.0
141,12,v19-replay-d12-t09,v19-loop-018,1,1,1,1,1,1,1.0
142,12,v19-replay-d12-t10,v19-loop-018,1,1,1,1,1,1,1.0
143,12,v19-replay-d12-t11,v19-loop-018,1,1,1,1,1,1,0.944445
144,13,v19-replay-d13-t00,v19-loop-019,1,1,1,1,1,1,0.958333
145,13,v19-replay-d13-t01,v19-loop-019,1,1,1,1,1,1,1.0
146,13,v19-replay-d13-t02,v19-loop-019,1,1,1,1,1,1,1.0
147,13,v19-replay-d13-t03,v19-loop-019,1,1,1,1,1,1,1.0
148,13,v19-replay-d13-t04,v19-loop-019,1,1,1,1,1,1,0.958333
149,13,v19-replay-d13-t05,v19-loop-019,1,1,1,1,1,1,0.944445
150,13,v19-replay-d13-t06,v19-loop-019,1,1,1,1,1,1,1.0
151,13,v19-replay-d13-t07,v19-loop-019,1,1,1,1,1,1,1.0
152,13,v19-replay-d13-t08,v19-loop-020,1,1,1,0,1,1,0.916667
153,13,v19-replay-d13-t09,v19-loop-020,1,1,1,1,1,1,1.0
154,13,v19-replay-d13-t10,v19-loop-020,1,1,1,1,1,1,0.944445
155,13,v19-replay-d13-t11,v19-loop-020,0,1,1,1,1,1,0.966667
156,14,v19-replay-d14-t00,v19-loop-020,1,1,1,1,1,1,0.958333
157,14,v19-replay-d14-t01,v19-loop-020,1,1,1,1,0,1,0.963333
158,14,v19-replay-d14-t02,v19-loop-020,1,1,1,1,1,1,1.0
159,14,v19-replay-d14-t03,v19-loop-020,1,1,1,1,1,1,1.0
160,14,v19-replay-d14-t04,v19-loop-021,1,1,1,1,1,1,1.0
161,14,v19-replay-d14-t05,v19-loop-021,1,1,1,1,1,1,0.902778
162,14,v19-replay-d14-t06,v19-loop-021,1,1,1,1,1,1,1.0
163,14,v19-replay-d14-t07,v19-loop-021,1,1,1,1,1,1,1.0
164,14,v19-replay-d14-t08,v19-loop-021,1,1,1,1,1,1,0.958333
165,14,v19-replay-d14-t09,v19-loop-021,1,1,1,1,1,1,0.944445
166,14,v19-replay-d14-t10,v19-loop-021,1,1,1,1,1,1,1.0
167,14,v19-replay-d14-t11,v19-loop-021,1,1,1,1,1,1,1.0
168,15,v19-replay-d15-t00,v19-loop-022,1,1,1,1,1,1,1.0
169,15,v19-replay-d15-t01,v19-loop-022,1,1,1,1,1,1,1.0
170,15,v19-replay-d15-t02,v19-loop-022,1,1,1,1,1,1,1.0
171,15,v19-replay-d15-t03,v19-loop-022,1,1,1,0,1,1,0.916667
172,15,v19-replay-d15-t04,v19-loop-022,1,1,1,1,1,1,0.944445
173,15,v19-replay-d15-t05,v19-loop-022,1,1,1,1,1,1,1.0
174,15,v19-replay-d15-t06,v19-loop-022,1,1,1,1,1,1,0.958333
175,15,v19-replay-d15-t07,v19-loop-022,1,1,1,1,1,1,0.944445
176,15,v19-replay-d15-t08,v19-loop-023,1,1,1,1,1,1,0.944445
177,15,v19-replay-d15-t09,v19-loop-023,1,1,1,1,1,1,1.0
178,15,v19-replay-d15-t10,v19-loop-023,1,1,1,1,1,1,0.944445
179,15,v19-replay-d15-t11,v19-loop-023,1,1,1,1,1,1,1.0
180,16,v19-replay-d16-t00,v19-loop-023,1,1,1,1,1,1,1.0
181,16,v19-replay-d16-t01,v19-loop-023,1,1,1,1,1,1,1.0
182,16,v19-replay-d16-t02,v19-loop-023,1,1,1,1,1,1,1.0
183,16,v19-replay-d16-t03,v19-loop-023,1,1,1,1,1,1,1.0
184,16,v19-replay-d16-t04,v19-loop-024,1,1,1,1,1,1,1.0
185,16,v19-replay-d16-t05,v19-loop-024,1,1,1,1,1,1,1.0
186,16,v19-replay-d16-t06,v19-loop-024,0,1,1,1,1,1,0.966667
187,16,v19-replay-d16-t07,v19-loop-024,1,1,1,1,1,1,0.902778
188,16,v19-replay-d16-t08,v19-loop-024,1,1,1,1,0,1,0.963333
189,16,v19-replay-d16-t09,v19-loop-024,1,1,1,1,1,1,1.0
190,16,v19-replay-d16-t10,v19-loop-024,1,1,1,0,1,1,0.916667
191,16,v19-replay-d16-t11,v19-loop-024,1,1,1,1,1,1,1.0
192,17,v19-replay-d17-t00,v19-loop-025,1,1,1,1,1,1,0.958333
193,17,v19-replay-d17-t01,v19-loop-025,1,1,1,1,1,1,1.0
194,17,v19-replay-d17-t02,v19-loop-025,1,1,1,1,1,1,1.0
195,17,v19-replay-d17-t03,v19-loop-025,1,1,1,1,1,1,1.0
196,17,v19-replay-d17-t04,v19-loop-025,1,1,1,1,1,1,0.958333
197,17,v19-replay-d17-t05,v19-loop-025,1,1,1,1,1,1,1.0
198,17,v19-replay-d17-t06,v19-loop-025,1,1,1,1,1,1,0.944445
199,17,v19-replay-d17-t07,v19-loop-025,1,1,1,1,1,1,1.0
200,17,v19-replay-d17-t08,v19-loop-026,1,1,1,1,1,1,0.958333
201,17,v19-replay-d17-t09,v19-loop-026,1,1,1,1,1,1,1.0
202,17,v19-replay-d17-t10,v19-loop-026,1,1,1,1,1,1,1.0
203,17,v19-replay-d17-t11,v19-loop-026,1,0,1,1,1,1,0.888889
204,18,v19-replay-d18-t00,v19-loop-026,1,1,1,1,1,1,1.0
205,18,v19-replay-d18-t01,v19-loop-026,1,1,1,1,1,1,0.958333
206,18,v19-replay-d18-t02,v19-loop-026,1,1,1,1,1,1,1.0
207,18,v19-replay-d18-t03,v19-loop-026,1,0,1,1,1,1,0.888889
208,18,v19-replay-d18-t04,v19-loop-027,1,1,1,1,1,1,1.0
209,18,v19-replay-d18-t05,v19-loop-027,1,1,1,0,1,1,0.861111
210,18,v19-replay-d18-t06,v19-loop-027,1,1,1,1,1,1,0.944445
211,18,v19-replay-d18-t07,v19-loop-027,1,1,1,1,1,1,0.944445
212,18,v19-replay-d18-t08,v19-loop-027,1,1,1,1,1,1,1.0
213,18,v19-replay-d18-t09,v19-loop-027,1,1,1,1,1,1,0.958333
214,18,v19-replay-d18-t10,v19-loop-027,1,1,1,1,1,1,1.0
215,18,v19-replay-d18-t11,v19-loop-027,1,1,1,1,1,1,0.958333
216,19,v19-replay-d19-t00,v19-loop-028,1,1,1,1,1,1,0.958333
217,19,v19-replay-d19-t01,v19-loop-028,0,1,1,1,1,1,0.966667
218,19,v19-replay-d19-t02,v19-loop-028,1,1,1,1,1,1,1.0
219,19,v19-replay-d19-t03,v19-loop-028,1,1,1,1,0,1,0.963333
220,19,v19-replay-d19-t04,v19-loop-028,1,1,1,1,1,1,0.944445
221,19,v19-replay-d19-t05,v19-loop-028,1,1,1,1,1,1,1.0
222,19,v19-replay-d19-t06,v19-loop-028,1,1,1,1,1,1,1.0
223,19,v19-replay-d19-t07,v19-loop-028,1,1,1,1,1,1,1.0
224,19,v19-replay-d19-t08,v19-loop-029,1,1,1,1,1,1,1.0
225,19,v19-replay-d19-t09,v19-loop-029,1,1,1,1,1,1,1.0
226,19,v19-replay-d19-t10,v19-loop-029,1,1,1,1,1,1,0.958333
227,19,v19-replay-d19-t11,v19-loop-029,1,1,1,1,1,1,1.0
228,20,v19-replay-d20-t00,v19-loop-029,1,1,1,1,1,1,0.958333
229,20,v19-replay-d20-t01,v19-loop-029,1,1,1,1,1,1,0.958333
230,20,v19-replay-d20-t02,v19-loop-029,1,1,1,1,1,1,0.944445
231,20,v19-replay-d20-t03,v19-loop-029,1,1,1,1,1,1,0.944445
232,20,v19-replay-d20-t04,v19-loop-030,1,1,1,1,1,1,1.0
233,20,v19-replay-d20-t05,v19-loop-030,1,1,1,1,1,1,1.0
234,20,v19-replay-d20-t06,v19-loop-030,1,1,1,1,1,1,1.0
235,20,v19-replay-d20-t07,v19-loop-030,1,1,1,1,1,1,0.944445
236,20,v19-replay-d20-t08,v19-loop-030,1,1,1,1,1,1,0.944445
237,20,v19-replay-d20-t09,v19-loop-030,1,1,1,1,1,1,1.0
238,20,v19-replay-d20-t10,v19-loop-030,1,1,1,1,1,1,1.0
239,20,v19-replay-d20-t11,v19-loop-030,1,1,1,1,1,1,0.958333
240,21,v19-replay-d21-t00,v19-loop-031,1,1,1,1,1,1,1.0
241,21,v19-replay-d21-t01,v19-loop-031,1,1,1,1,1,1,1.0
242,21,v19-replay-d21-t02,v19-loop-031,1,1,1,1,1,1,0.944445
243,21,v19-replay-d21-t03,v19-loop-031,1,1,1,1,1,1,1.0
244,21,v19-replay-d21-t04,v19-loop-031,1,1,1,1,1,1,0.958333
245,21,v19-replay-d21-t05,v19-loop-031,1,1,1,1,1,1,1.0
246,21,v19-replay-d21-t06,v19-loop-031,1,1,1,1,1,1,0.958333
247,21,v19-replay-d21-t07,v19-loop-031,1,1,1,0,1,1,0.916667
248,21,v19-replay-d21-t08,v19-loop-032,0,1,1,1,1,1,0.966667
249,21,v19-replay-d21-t09,v19-loop-032,1,1,1,1,1,1,1.0
250,21,v19-replay-d21-t10,v19-loop-032,1,1,1,1,0,1,0.963333
251,21,v19-replay-d21-t11,v19-loop-032,1,1,1,1,1,1,1.0
252,22,v19-replay-d22-t00,v19-loop-032,1,1,1,1,1,1,0.958333
253,22,v19-replay-d22-t01,v19-loop-032,1,1,1,1,1,1,0.944445
254,22,v19-replay-d22-t02,v19-loop-032,1,1,1,1,1,1,1.0
255,22,v19-replay-d22-t03,v19-loop-032,1,1,1,1,1,1,0.958333
256,22,v19-replay-d22-t04,v19-loop-033,1,1,1,1,1,1,0.944445
257,22,v19-replay-d22-t05,v19-loop-033,1,1,1,1,1,1,0.944445
258,22,v19-replay-d22-t06,v19-loop-033,1,1,1,1,1,1,0.958333
259,22,v19-replay-d22-t07,v19-loop-033,1,1,1,1,1,1,1.0
260,22,v19-replay-d22-t08,v19-loop-033,1,1,1,1,1,1,1.0
261,22,v19-replay-d22-t09,v19-loop-033,1,0,1,1,1,1,0.888889
262,22,v19-replay-d22-t10,v19-loop-033,1,1,1,1,1,1,1.0
263,22,v19-replay-d22-t11,v19-loop-033,1,1,1,1,1,1,1.0
264,23,v19-replay-d23-t00,v19-loop-034,1,1,1,1,1,1,0.944445
265,23,v19-replay-d23-t01,v19-loop-034,1,1,1,1,1,1,0.902778
266,23,v19-replay-d23-t02,v19-loop-034,1,1,1,0,1,1,0.916667
267,23,v19-replay-d23-t03,v19-loop-034,1,1,1,1,1,1,1.0
268,23,v19-replay-d23-t04,v19-loop-034,1,1,1,1,1,1,0.958333
269,23,v19-replay-d23-t05,v19-loop-034,1,1,1,1,1,1,1.0
270,23,v19-replay-d23-t06,v19-loop-034,1,1,1,1,1,1,1.0
271,23,v19-replay-d23-t07,v19-loop-034,1,1,1,1,1,1,1.0
272,23,v19-replay-d23-t08,v19-loop-035,1,1,1,1,1,1,1.0
273,23,v19-replay-d23-t09,v19-loop-035,1,1,1,1,1,1,1.0
274,23,v19-replay-d23-t10,v19-loop-035,1,1,1,1,1,1,1.0
275,23,v19-replay-d23-t11,v19-loop-035,1,1,1,1,1,1,0.944445
276,24,v19-replay-d24-t00,v19-loop-035,1,1,1,1,1,1,1.0
277,24,v19-replay-d24-t01,v19-loop-035,1,1,1,1,1,1,1.0
278,24,v19-replay-d24-t02,v19-loop-035,1,1,1,1,1,1,0.958333
279,24,v19-replay-d24-t03,v19-loop-035,0,1,1,1,1,1,0.911111
280,24,v19-replay-d24-t04,v19-loop-036,1,1,1,1,1,1,1.0
281,24,v19-replay-d24-t05,v19-loop-036,1,1,1,1,0,1,0.907778
282,24,v19-replay-d24-t06,v19-loop-036,1,1,1,1,1,1,1.0
283,24,v19-replay-d24-t07,v19-loop-036,1,1,1,1,1,1,1.0
284,24,v19-replay-d24-t08,v19-loop-036,1,1,1,1,1,1,1.0
285,24,v19-replay-d24-t09,v19-loop-036,1,1,1,0,1,1,0.916667
286,24,v19-replay-d24-t10,v19-loop-036,1,1,1,1,1,1,0.944445
287,24,v19-replay-d24-t11,v19-loop-036,1,1,1,1,1,1,0.958333
288,25,v19-replay-d25-t00,v19-loop-037,1,1,1,1,1,1,1.0
289,25,v19-replay-d25-t01,v19-loop-037,1,1,1,1,1,1,0.944445
290,25,v19-replay-d25-t02,v19-loop-037,1,1,1,1,1,1,1.0
291,25,v19-replay-d25-t03,v19-loop-037,1,1,1,1,1,1,0.958333
292,25,v19-replay-d25-t04,v19-loop-037,1,1,1,1,1,1,1.0
293,25,v19-replay-d25-t05,v19-loop-037,1,1,1,1,1,1,1.0
294,25,v19-replay-d25-t06,v19-loop-037,1,1,1,1,1,1,0.944445
295,25,v19-replay-d25-t07,v19-loop-037,1,1,1,1,1,1,1.0
296,25,v19-replay-d25-t08,v19-loop-038,1,1,1,1,1,1,1.0
297,25,v19-replay-d25-t09,v19-loop-038,1,1,1,1,1,1,0.944445
298,25,v19-replay-d25-t10,v19-loop-038,1,1,1,1,1,1,1.0
299,25,v19-replay-d25-t11,v19-loop-038,1,1,1,1,1,1,0.944445
300,26,v19-replay-d26-t00,v19-loop-038,1,1,1,1,1,1,1.0
301,26,v19-replay-d26-t01,v19-loop-038,1,1,1,1,1,1,1.0
302,26,v19-replay-d26-t02,v19-loop-038,1,1,1,1,1,1,1.0
303,26,v19-replay-d26-t03,v19-loop-038,1,1,1,1,1,1,1.0
304,26,v19-replay-d26-t04,v19-loop-039,1,1,1,0,1,1,0.916667
305,26,v19-replay-d26-t05,v19-loop-039,1,1,1,1,1,1,0.958333
306,26,v19-replay-d26-t06,v19-loop-039,1,1,1,1,1,1,1.0
307,26,v19-replay-d26-t07,v19-loop-039,1,1,1,1,1,1,1.0
308,26,v19-replay-d26-t08,v19-loop-039,1,1,1,1,1,1,0.944445
309,26,v19-replay-d26-t09,v19-loop-039,1,1,1,1,1,1,1.0
310,26,v19-replay-d26-t10,v19-loop-039,0,1,1,1,1,1,0.911111
311,26,v19-replay-d26-t11,v19-loop-039,1,1,1,1,1,1,1.0
312,27,v19-replay-d27-t00,v19-loop-040,1,1,1,1,0,1,0.963333
313,27,v19-replay-d27-t01,v19-loop-040,1,1,1,1,1,1,1.0
314,27,v19-replay-d27-t02,v19-loop-040,1,1,1,1,1,1,1.0
315,27,v19-replay-d27-t03,v19-loop-040,1,1,1,1,1,1,0.944445
316,27,v19-replay-d27-t04,v19-loop-040,1,1,1,1,1,1,1.0
317,27,v19-replay-d27-t05,v19-loop-040,1,1,1,1,1,1,0.958333
318,27,v19-replay-d27-t06,v19-loop-040,1,1,1,1,1,1,1.0
319,27,v19-replay-d27-t07,v19-loop-040,1,1,1,1,1,1,0.944445
320,27,v19-replay-d27-t08,v19-loop-041,1,1,1,1,1,1,1.0
321,27,v19-replay-d27-t09,v19-loop-041,1,1,1,1,1,1,1.0
322,27,v19-replay-d27-t10,v19-loop-041,1,1,1,1,1,1,1.0
323,27,v19-replay-d27-t11,v19-loop-041,1,1,1,0,1,1,0.861111
324,28,v19-replay-d28-t00,v19-loop-041,1,1,1,1,1,1,0.944445
325,28,v19-replay-d28-t01,v19-loop-041,1,1,1,1,1,1,0.944445
326,28,v19-replay-d28-t02,v19-loop-041,1,1,1,1,1,1,1.0
327,28,v19-replay-d28-t03,v19-loop-041,1,1,1,1,1,1,0.944445
328,28,v19-replay-d28-t04,v19-loop-042,1,1,1,1,1,1,0.958333
329,28,v19-replay-d28-t05,v19-loop-042,1,1,1,1,1,1,1.0
330,28,v19-replay-d28-t06,v19-loop-042,1,1,1,1,1,1,0.902778
331,28,v19-replay-d28-t07,v19-loop-042,1,1,1,1,1,1,0.958333
332,28,v19-replay-d28-t08,v19-loop-042,1,1,1,1,1,1,1.0
333,28,v19-replay-d28-t09,v19-loop-042,1,1,1,1,1,1,0.958333
334,28,v19-replay-d28-t10,v19-loop-042,1,1,1,1,1,1,1.0
335,28,v19-replay-d28-t11,v19-loop-042,1,1,1,1,1,1,1.0
