tick,day,scene_id,focus_agent,keyboard_movement_visible,collision_prompt_visible,object_ceremony_state_visible,save_restore_visible,local_storage_state_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
47,4,v21-scene-d04,Nari,True,1,1,1,1,1.1,43.944908,object ceremony state persists,1
48,4,v21-scene-d04,Ori,True,1,1,0,1,1.1,182.022672,object ceremony state persists,1
49,4,v21-scene-d04,Vonn,1,1,1,0,1,1.26,325.060436,object ceremony state persists,1
50,4,v21-scene-d04,Sova,True,1,1,0,1,1.1,98.1782,object ceremony state persists,1
51,4,v21-scene-d04,Keth,1,1,1,0,1,1.26,241.215964,object ceremony state persists,1
52,4,v21-scene-d04,Melo,1,1,1,0,1,1.26,19.293728,object ceremony state persists,1
53,4,v21-scene-d04,Nari,1,1,1,0,1,1.26,157.371492,object ceremony state persists,1
54,4,v21-scene-d04,Ori,True,1,1,0,1,1.1,290.489256,object ceremony state persists,1
55,4,v21-scene-d04,Vonn,1,1,1,0,1,1.26,73.52702,object ceremony state persists,1
56,4,v21-scene-d04,Sova,True,1,1,0,1,1.1,206.644784,object ceremony state persists,1
57,4,v21-scene-d04,Keth,1,1,1,0,1,1.26,349.682548,object ceremony state persists,1
58,4,v21-scene-d04,Melo,True,1,1,0,1,1.1,122.800312,object ceremony state persists,1
59,4,v21-scene-d04,Nari,1,1,1,0,1,1.26,265.838076,object ceremony state persists,1
60,5,v21-scene-d05,Vonn,1,1,1,0,1,1.26,35.36584,object ceremony state persists,1
61,5,v21-scene-d05,Sova,True,1,1,1,1,1.1,168.483604,object ceremony state persists,1
62,5,v21-scene-d05,Keth,True,1,1,0,1,1.1,306.561368,object ceremony state persists,1
63,5,v21-scene-d05,Melo,1,1,1,0,1,1.26,89.599132,object ceremony state persists,1
64,5,v21-scene-d05,Nari,1,1,0,0,1,1.21,226.126896,avatar moves through scene,1
65,5,v21-scene-d05,Ori,1,1,1,0,1,1.26,5.75466,object ceremony state persists,1
66,5,v21-scene-d05,Vonn,1,0,0,0,1,1.21,141.142424,avatar moves through scene,1
67,5,v21-scene-d05,Sova,1,1,1,0,1,1.26,281.910188,object ceremony state persists,1
68,5,v21-scene-d05,Keth,1,1,1,0,1,1.26,59.987952,object ceremony state persists,1
69,5,v21-scene-d05,Melo,True,1,1,1,1,1.1,193.105716,object ceremony state persists,1
70,5,v21-scene-d05,Nari,True,1,1,0,1,1.1,331.18348,object ceremony state persists,1
71,5,v21-scene-d05,Ori,1,0,0,0,1,1.21,111.531244,avatar moves through scene,1
72,5,v21-scene-d05,Vonn,True,1,1,0,1,1.1,247.339008,object ceremony state persists,1
73,5,v21-scene-d05,Sova,1,1,1,0,1,1.26,30.376772,object ceremony state persists,1
74,5,v21-scene-d05,Keth,True,1,1,0,1,1.1,163.494536,object ceremony state persists,1
75,6,v21-scene-d06,Nari,True,1,1,0,1,1.1,293.0223,object ceremony state persists,1
76,6,v21-scene-d06,Ori,True,1,1,0,1,1.1,71.100064,object ceremony state persists,1
77,6,v21-scene-d06,Vonn,1,1,1,0,1,1.26,214.137828,object ceremony state persists,1
78,6,v21-scene-d06,Sova,True,1,1,0,1,1.1,347.255592,object ceremony state persists,1
79,6,v21-scene-d06,Keth,True,1,1,0,1,1.1,125.333356,object ceremony state persists,1
80,6,v21-scene-d06,Melo,True,1,1,1,1,1.1,263.41112,object ceremony state persists,1
81,6,v21-scene-d06,Nari,1,1,1,0,1,1.26,46.448884,object ceremony state persists,1
82,6,v21-scene-d06,Ori,1,1,1,1,1,1.26,184.526648,object ceremony state persists,1
83,6,v21-scene-d06,Vonn,1,1,1,0,1,1.26,322.604412,object ceremony state persists,1
84,6,v21-scene-d06,Sova,True,1,1,0,1,1.1,95.722176,object ceremony state persists,1
85,6,v21-scene-d06,Keth,1,1,1,0,1,1.26,238.75994,object ceremony state persists,1
86,6,v21-scene-d06,Melo,True,1,1,0,1,1.1,11.877704,object ceremony state persists,1
87,6,v21-scene-d06,Nari,1,1,1,0,1,1.26,154.915468,object ceremony state persists,1
88,6,v21-scene-d06,Ori,True,1,1,0,1,1.1,288.033232,object ceremony state persists,1
89,6,v21-scene-d06,Vonn,True,1,1,0,1,1.1,66.110996,object ceremony state persists,1
90,7,v21-scene-d07,Keth,True,1,1,0,1,1.1,195.63876,object ceremony state persists,1
91,7,v21-scene-d07,Melo,1,1,1,0,1,1.26,338.676524,object ceremony state persists,1
92,7,v21-scene-d07,Nari,True,1,1,0,1,1.1,111.794288,object ceremony state persists,1
93,7,v21-scene-d07,Ori,True,1,1,0,1,1.1,249.872052,object ceremony state persists,1
94,7,v21-scene-d07,Vonn,1,1,1,0,1,1.26,32.909816,object ceremony state persists,1
95,7,v21-scene-d07,Sova,1,1,0,0,1,1.21,169.43758,avatar moves through scene,1
96,7,v21-scene-d07,Keth,True,1,1,0,1,1.1,304.105344,object ceremony state persists,1
97,7,v21-scene-d07,Melo,True,0,1,0,1,1.1,81.043108,object ceremony state persists,1
98,7,v21-scene-d07,Nari,1,1,1,0,1,1.26,225.220872,object ceremony state persists,1
99,7,v21-scene-d07,Ori,1,1,1,0,1,1.26,3.298636,object ceremony state persists,1
100,7,v21-scene-d07,Vonn,True,1,1,0,1,1.1,136.4164,object ceremony state persists,1
101,7,v21-scene-d07,Sova,True,1,1,1,1,1.1,274.494164,object ceremony state persists,1
102,7,v21-scene-d07,Keth,True,1,1,0,1,1.1,52.571928,object ceremony state persists,1
103,7,v21-scene-d07,Melo,True,1,1,0,1,1.1,190.649692,object ceremony state persists,1
104,7,v21-scene-d07,Nari,True,1,1,0,1,1.1,328.727456,object ceremony state persists,1
105,8,v21-scene-d08,Vonn,1,1,1,0,1,1.26,103.21522,object ceremony state persists,1
106,8,v21-scene-d08,Sova,True,1,1,0,1,1.1,236.332984,object ceremony state persists,1
107,8,v21-scene-d08,Keth,1,1,1,0,1,1.26,19.370748,object ceremony state persists,1
108,8,v21-scene-d08,Melo,1,1,1,0,1,1.26,157.448512,object ceremony state persists,1
109,8,v21-scene-d08,Nari,1,1,1,0,1,1.26,295.526276,object ceremony state persists,1
110,8,v21-scene-d08,Ori,True,1,1,0,1,1.1,68.64404,object ceremony state persists,1
111,8,v21-scene-d08,Vonn,1,0,0,0,1,1.21,208.991804,avatar moves through scene,1
112,8,v21-scene-d08,Sova,1,1,1,0,1,1.26,349.759568,object ceremony state persists,1
113,8,v21-scene-d08,Keth,True,1,1,0,1,1.1,122.877332,object ceremony state persists,1
114,8,v21-scene-d08,Melo,1,1,1,0,1,1.26,265.915096,object ceremony state persists,1
115,8,v21-scene-d08,Nari,True,1,1,0,1,1.1,39.03286,object ceremony state persists,1
116,8,v21-scene-d08,Ori,1,0,1,0,1,1.26,180.930624,object ceremony state persists,1
117,8,v21-scene-d08,Vonn,True,1,1,0,1,1.1,315.188388,object ceremony state persists,1
118,8,v21-scene-d08,Sova,True,1,1,1,1,1.1,93.266152,object ceremony state persists,1
119,8,v21-scene-d08,Keth,1,1,1,0,1,1.26,236.303916,object ceremony state persists,1
120,9,v21-scene-d09,Nari,True,1,1,0,1,1.1,0.87168,object ceremony state persists,1
121,9,v21-scene-d09,Ori,1,0,1,0,1,1.26,142.769444,object ceremony state persists,1
122,9,v21-scene-d09,Vonn,True,1,1,1,1,1.1,277.027208,object ceremony state persists,1
123,9,v21-scene-d09,Sova,1,1,1,1,1,1.26,60.064972,object ceremony state persists,1
124,9,v21-scene-d09,Keth,True,1,1,0,1,1.1,193.182736,object ceremony state persists,1
125,9,v21-scene-d09,Melo,1,1,1,0,1,1.26,336.2205,object ceremony state persists,1
126,9,v21-scene-d09,Nari,1,0,0,0,1,1.21,111.608264,avatar moves through scene,1
127,9,v21-scene-d09,Ori,True,1,1,0,1,1.1,247.416028,object ceremony state persists,1
128,9,v21-scene-d09,Vonn,1,0,1,0,1,1.26,29.313792,object ceremony state persists,1
129,9,v21-scene-d09,Sova,1,1,1,0,1,1.26,168.531556,object ceremony state persists,1
130,9,v21-scene-d09,Keth,True,1,1,0,1,1.1,301.64932,object ceremony state persists,1
131,9,v21-scene-d09,Melo,1,1,1,0,1,1.26,84.687084,object ceremony state persists,1
132,9,v21-scene-d09,Nari,1,1,1,0,1,1.26,222.764848,object ceremony state persists,1
133,9,v21-scene-d09,Ori,True,1,1,0,1,1.1,355.882612,object ceremony state persists,1
134,9,v21-scene-d09,Vonn,True,1,1,0,1,1.1,133.960376,object ceremony state persists,1
135,10,v21-scene-d10,Keth,1,1,1,0,1,1.26,268.44814,object ceremony state persists,1
136,10,v21-scene-d10,Melo,1,1,1,0,1,1.26,46.525904,object ceremony state persists,1
137,10,v21-scene-d10,Nari,1,1,1,0,1,1.26,184.603668,object ceremony state persists,1
138,10,v21-scene-d10,Ori,True,1,1,0,1,1.1,317.721432,object ceremony state persists,1
139,10,v21-scene-d10,Vonn,True,1,1,0,1,1.1,95.799196,object ceremony state persists,1
140,10,v21-scene-d10,Sova,1,1,1,0,1,1.26,238.83696,object ceremony state persists,1
141,10,v21-scene-d10,Keth,True,1,1,0,1,1.1,11.954724,object ceremony state persists,1
142,10,v21-scene-d10,Melo,1,1,1,0,1,1.26,154.992488,object ceremony state persists,1
143,10,v21-scene-d10,Nari,1,1,1,0,1,1.26,293.070252,object ceremony state persists,1
144,10,v21-scene-d10,Ori,True,1,1,0,1,1.1,66.188016,object ceremony state persists,1
145,10,v21-scene-d10,Vonn,1,1,1,0,1,1.26,209.22578,object ceremony state persists,1
146,10,v21-scene-d10,Sova,True,1,1,0,1,1.1,342.343544,object ceremony state persists,1
147,10,v21-scene-d10,Keth,1,1,1,0,1,1.26,125.381308,object ceremony state persists,1
148,10,v21-scene-d10,Melo,True,1,1,0,1,1.1,258.499072,object ceremony state persists,1
149,10,v21-scene-d10,Nari,1,1,1,0,1,1.26,41.536836,object ceremony state persists,1
150,11,v21-scene-d11,Vonn,True,1,1,0,1,1.1,166.1046,object ceremony state persists,1
151,11,v21-scene-d11,Sova,True,1,1,0,1,1.1,304.182364,object ceremony state persists,1
152,11,v21-scene-d11,Keth,1,1,1,0,1,1.26,87.220128,object ceremony state persists,1
153,11,v21-scene-d11,Melo,True,1,1,0,1,1.1,220.337892,object ceremony state persists,1
154,11,v21-scene-d11,Nari,True,1,1,1,1,1.1,358.415656,object ceremony state persists,1
155,11,v21-scene-d11,Ori,False,1,1,0,1,1.17,138.66342,collision-aware prompt blocks movement,1
156,11,v21-scene-d11,Vonn,True,1,1,0,1,1.1,274.571184,object ceremony state persists,1
157,11,v21-scene-d11,Sova,True,1,0,0,1,1.05,51.098948,avatar waits in scene,1
158,11,v21-scene-d11,Keth,True,1,1,0,1,1.1,190.726712,object ceremony state persists,1
159,11,v21-scene-d11,Melo,True,0,1,0,1,1.1,327.664476,object ceremony state persists,1
160,11,v21-scene-d11,Nari,True,1,1,1,1,1.1,106.88224,object ceremony state persists,1
161,11,v21-scene-d11,Ori,True,1,1,0,1,1.1,244.960004,object ceremony state persists,1
162,11,v21-scene-d11,Vonn,1,1,1,0,1,1.26,27.997768,object ceremony state persists,1
163,11,v21-scene-d11,Sova,1,1,1,0,1,1.26,166.075532,object ceremony state persists,1
164,11,v21-scene-d11,Keth,False,1,1,1,1,1.17,301.363296,collision-aware prompt blocks movement,1
165,12,v21-scene-d12,Nari,True,1,1,0,1,1.1,68.72106,object ceremony state persists,1
166,12,v21-scene-d12,Ori,True,1,1,0,1,1.1,206.798824,object ceremony state persists,1
167,12,v21-scene-d12,Vonn,True,1,1,0,1,1.1,344.876588,object ceremony state persists,1
168,12,v21-scene-d12,Sova,1,1,1,0,1,1.26,127.914352,object ceremony state persists,1
169,12,v21-scene-d12,Keth,1,1,1,0,1,1.26,265.992116,object ceremony state persists,1
170,12,v21-scene-d12,Melo,1,1,1,0,1,1.26,44.06988,object ceremony state persists,1
171,12,v21-scene-d12,Nari,1,0,0,0,1,1.21,179.457644,avatar moves through scene,1
172,12,v21-scene-d12,Ori,True,1,1,0,1,1.1,315.265408,object ceremony state persists,1
173,12,v21-scene-d12,Vonn,1,1,1,0,1,1.26,98.303172,object ceremony state persists,1
174,12,v21-scene-d12,Sova,True,1,1,1,1,1.1,231.420936,object ceremony state persists,1
175,12,v21-scene-d12,Keth,1,1,1,0,1,1.26,14.4587,object ceremony state persists,1
176,12,v21-scene-d12,Melo,1,1,0,0,1,1.21,150.986464,avatar moves through scene,1
177,12,v21-scene-d12,Nari,1,1,1,0,1,1.26,290.614228,object ceremony state persists,1
178,12,v21-scene-d12,Ori,1,1,1,0,1,1.26,68.691992,object ceremony state persists,1
179,12,v21-scene-d12,Vonn,1,1,1,0,1,1.26,206.769756,object ceremony state persists,1
180,13,v21-scene-d13,Keth,1,1,1,0,1,1.26,336.29752,object ceremony state persists,1
181,13,v21-scene-d13,Melo,True,1,1,1,1,1.1,109.415284,object ceremony state persists,1
182,13,v21-scene-d13,Nari,1,1,1,0,1,1.26,252.453048,object ceremony state persists,1
183,13,v21-scene-d13,Ori,True,1,1,0,1,1.1,25.570812,object ceremony state persists,1
184,13,v21-scene-d13,Vonn,True,1,1,0,1,1.1,163.648576,object ceremony state persists,1
185,13,v21-scene-d13,Sova,1,1,1,0,1,1.26,306.68634,object ceremony state persists,1
186,13,v21-scene-d13,Keth,True,1,1,1,1,1.1,79.804104,object ceremony state persists,1
187,13,v21-scene-d13,Melo,True,1,1,0,1,1.1,217.881868,object ceremony state persists,1
188,13,v21-scene-d13,Nari,True,1,0,0,1,1.05,354.409632,avatar waits in scene,1
189,13,v21-scene-d13,Ori,True,1,1,0,1,1.1,134.037396,object ceremony state persists,1
190,13,v21-scene-d13,Vonn,True,0,1,0,1,1.1,270.97516,object ceremony state persists,1
191,13,v21-scene-d13,Sova,True,1,1,0,1,1.1,50.192924,object ceremony state persists,1
192,13,v21-scene-d13,Keth,1,1,1,0,1,1.26,193.230688,object ceremony state persists,1
193,13,v21-scene-d13,Melo,1,1,1,0,1,1.26,331.308452,object ceremony state persists,1
194,13,v21-scene-d13,Nari,True,1,1,0,1,1.1,104.426216,object ceremony state persists,1
195,14,v21-scene-d14,Vonn,True,1,1,0,1,1.1,233.95398,object ceremony state persists,1
196,14,v21-scene-d14,Sova,1,0,0,0,0,1.21,14.301744,avatar moves through scene,1
197,14,v21-scene-d14,Keth,1,1,1,0,1,1.26,155.069508,object ceremony state persists,1
198,14,v21-scene-d14,Melo,1,1,1,0,1,1.26,293.147272,object ceremony state persists,1
199,14,v21-scene-d14,Nari,1,1,1,0,1,1.26,71.225036,object ceremony state persists,1
200,14,v21-scene-d14,Ori,True,1,1,0,1,1.1,204.3428,object ceremony state persists,1
201,14,v21-scene-d14,Vonn,1,0,1,0,1,1.26,346.240564,object ceremony state persists,1
202,14,v21-scene-d14,Sova,True,1,1,0,1,1.1,120.498328,object ceremony state persists,1
203,14,v21-scene-d14,Keth,True,1,1,0,1,1.1,258.576092,object ceremony state persists,1
204,14,v21-scene-d14,Melo,True,1,1,0,1,1.1,36.653856,object ceremony state persists,1
205,14,v21-scene-d14,Nari,True,1,1,1,1,1.1,174.73162,object ceremony state persists,1
206,14,v21-scene-d14,Ori,True,1,1,0,1,1.1,312.809384,object ceremony state persists,1
207,14,v21-scene-d14,Vonn,True,1,1,1,1,1.1,90.887148,object ceremony state persists,1
208,14,v21-scene-d14,Sova,1,1,1,0,1,1.26,233.924912,object ceremony state persists,1
209,14,v21-scene-d14,Keth,True,1,1,1,1,1.1,7.042676,object ceremony state persists,1
210,15,v21-scene-d15,Nari,True,1,1,0,1,1.1,136.57044,object ceremony state persists,1
211,15,v21-scene-d15,Ori,1,0,1,0,1,1.26,278.468204,object ceremony state persists,1
212,15,v21-scene-d15,Vonn,1,1,1,0,1,1.26,57.685968,object ceremony state persists,1
213,15,v21-scene-d15,Sova,True,1,1,0,1,1.1,190.803732,object ceremony state persists,1
214,15,v21-scene-d15,Keth,1,1,1,0,0,1.26,333.841496,object ceremony state persists,1
215,15,v21-scene-d15,Melo,True,1,1,1,1,1.1,106.95926,object ceremony state persists,1
216,15,v21-scene-d15,Nari,1,0,0,0,1,1.21,247.307024,avatar moves through scene,1
217,15,v21-scene-d15,Ori,False,1,1,0,1,1.17,25.284788,collision-aware prompt blocks movement,1
218,15,v21-scene-d15,Vonn,True,1,1,0,1,1.1,161.192552,object ceremony state persists,1
219,15,v21-scene-d15,Sova,True,1,0,0,1,1.05,297.720316,avatar waits in scene,1
220,15,v21-scene-d15,Keth,False,1,1,0,1,1.17,79.51808,collision-aware prompt blocks movement,1
221,15,v21-scene-d15,Melo,True,0,1,0,1,1.1,214.285844,object ceremony state persists,1
222,15,v21-scene-d15,Nari,True,1,1,0,1,1.1,353.503608,object ceremony state persists,1
223,15,v21-scene-d15,Ori,True,1,1,0,1,1.1,131.581372,object ceremony state persists,1
224,15,v21-scene-d15,Vonn,1,1,1,0,1,1.26,274.619136,object ceremony state persists,1
225,16,v21-scene-d16,Keth,True,1,1,0,1,1.1,39.1869,object ceremony state persists,1
226,16,v21-scene-d16,Melo,1,1,1,0,1,1.26,182.224664,object ceremony state persists,1
227,16,v21-scene-d16,Nari,1,1,1,0,1,1.26,320.302428,object ceremony state persists,1
228,16,v21-scene-d16,Ori,1,1,1,0,1,1.26,98.380192,object ceremony state persists,1
229,16,v21-scene-d16,Vonn,True,1,1,0,1,1.1,231.497956,object ceremony state persists,1
230,16,v21-scene-d16,Sova,True,1,1,1,1,1.1,9.57572,object ceremony state persists,1
231,16,v21-scene-d16,Keth,1,1,1,0,1,1.26,152.613484,object ceremony state persists,1
232,16,v21-scene-d16,Melo,True,1,1,0,1,1.1,285.731248,object ceremony state persists,1
233,16,v21-scene-d16,Nari,1,1,1,0,1,1.26,68.769012,object ceremony state persists,1
234,16,v21-scene-d16,Ori,True,1,1,1,1,1.1,201.886776,object ceremony state persists,1
235,16,v21-scene-d16,Vonn,1,1,1,0,1,1.26,344.92454,object ceremony state persists,1
236,16,v21-scene-d16,Sova,True,1,1,0,1,1.1,118.042304,object ceremony state persists,1
237,16,v21-scene-d16,Keth,1,1,1,0,1,1.26,261.080068,object ceremony state persists,1
238,16,v21-scene-d16,Melo,True,1,1,0,1,1.1,34.197832,object ceremony state persists,1
239,16,v21-scene-d16,Nari,1,1,1,0,1,1.26,177.235596,object ceremony state persists,1
240,17,v21-scene-d17,Vonn,1,1,1,0,1,1.26,306.76336,object ceremony state persists,1
241,17,v21-scene-d17,Sova,True,1,1,0,1,1.1,79.881124,object ceremony state persists,1
242,17,v21-scene-d17,Keth,True,1,1,0,1,1.1,217.958888,object ceremony state persists,1
243,17,v21-scene-d17,Melo,1,1,1,0,1,1.26,0.996652,object ceremony state persists,1
244,17,v21-scene-d17,Nari,True,1,1,0,1,1.1,134.114416,object ceremony state persists,1
245,17,v21-scene-d17,Ori,1,1,1,0,1,1.26,277.15218,object ceremony state persists,1
246,17,v21-scene-d17,Vonn,True,1,1,1,1,1.1,50.269944,object ceremony state persists,1
247,17,v21-scene-d17,Sova,True,1,1,0,1,1.1,188.347708,object ceremony state persists,1
248,17,v21-scene-d17,Keth,True,1,1,0,1,1.1,326.425472,object ceremony state persists,1
249,17,v21-scene-d17,Melo,1,1,1,0,1,1.26,109.463236,object ceremony state persists,1
250,17,v21-scene-d17,Nari,1,1,0,0,1,1.21,245.991,avatar moves through scene,1
251,17,v21-scene-d17,Ori,True,1,1,0,1,1.1,20.658764,object ceremony state persists,1
252,17,v21-scene-d17,Vonn,True,0,1,0,1,1.1,157.596528,object ceremony state persists,1
253,17,v21-scene-d17,Sova,True,1,1,1,1,1.1,296.814292,object ceremony state persists,1
254,17,v21-scene-d17,Keth,True,1,1,0,1,1.1,74.892056,object ceremony state persists,1
255,18,v21-scene-d18,Nari,True,1,1,0,1,1.1,204.41982,object ceremony state persists,1
256,18,v21-scene-d18,Ori,1,0,0,0,0,1.21,344.767584,avatar moves through scene,1
257,18,v21-scene-d18,Vonn,True,1,1,1,1,1.1,120.575348,object ceremony state persists,1
258,18,v21-scene-d18,Sova,1,1,1,0,1,1.26,263.613112,object ceremony state persists,1
259,18,v21-scene-d18,Keth,True,1,1,0,1,1.1,36.730876,object ceremony state persists,1
260,18,v21-scene-d18,Melo,True,1,1,0,1,1.1,174.80864,object ceremony state persists,1
261,18,v21-scene-d18,Nari,1,0,0,0,1,1.21,315.156404,avatar moves through scene,1
262,18,v21-scene-d18,Ori,1,1,1,0,1,1.26,95.924168,object ceremony state persists,1
263,18,v21-scene-d18,Vonn,True,1,1,0,1,1.1,229.041932,object ceremony state persists,1
264,18,v21-scene-d18,Sova,True,1,1,0,1,1.1,7.119696,object ceremony state persists,1
265,18,v21-scene-d18,Keth,1,1,1,0,1,1.26,150.15746,object ceremony state persists,1
266,18,v21-scene-d18,Melo,True,1,1,0,1,1.1,283.275224,object ceremony state persists,1
267,18,v21-scene-d18,Nari,True,1,1,0,1,1.1,61.352988,object ceremony state persists,1
268,18,v21-scene-d18,Ori,1,1,1,0,1,1.26,204.390752,object ceremony state persists,1
269,18,v21-scene-d18,Vonn,True,1,1,0,1,1.1,337.508516,object ceremony state persists,1
270,19,v21-scene-d19,Keth,True,1,1,0,1,1.1,107.03628,object ceremony state persists,1
271,19,v21-scene-d19,Melo,1,1,1,0,1,1.26,250.074044,object ceremony state persists,1
272,19,v21-scene-d19,Nari,True,1,1,0,1,1.1,23.191808,object ceremony state persists,1
273,19,v21-scene-d19,Ori,1,1,1,0,1,1.26,166.229572,object ceremony state persists,1
274,19,v21-scene-d19,Vonn,1,1,1,0,1,1.26,304.307336,object ceremony state persists,1
275,19,v21-scene-d19,Sova,1,1,1,0,1,1.26,82.3851,object ceremony state persists,1
276,19,v21-scene-d19,Keth,1,1,1,0,1,1.26,220.462864,object ceremony state persists,1
277,19,v21-scene-d19,Melo,True,1,1,1,1,1.1,353.580628,object ceremony state persists,1
278,19,v21-scene-d19,Nari,True,1,1,1,1,1.1,131.658392,object ceremony state persists,1
279,19,v21-scene-d19,Ori,False,1,1,0,1,1.17,271.906156,collision-aware prompt blocks movement,1
280,19,v21-scene-d19,Vonn,1,1,1,0,1,1.26,52.77392,object ceremony state persists,1
281,19,v21-scene-d19,Sova,True,1,0,0,1,1.05,184.341684,avatar waits in scene,1
282,19,v21-scene-d19,Keth,1,1,1,0,1,1.26,328.929448,object ceremony state persists,1
283,19,v21-scene-d19,Melo,1,0,1,0,1,1.26,105.867212,object ceremony state persists,1
284,19,v21-scene-d19,Nari,True,1,1,0,1,1.1,240.124976,object ceremony state persists,1
285,20,v21-scene-d20,Vonn,True,1,1,0,1,1.1,9.65274,object ceremony state persists,1
286,20,v21-scene-d20,Sova,1,1,1,0,1,1.26,152.690504,object ceremony state persists,1
287,20,v21-scene-d20,Keth,False,1,1,1,1,1.17,287.978268,collision-aware prompt blocks movement,1
288,20,v21-scene-d20,Melo,1,1,1,0,1,1.26,68.846032,object ceremony state persists,1
289,20,v21-scene-d20,Nari,1,1,1,0,1,1.26,206.923796,object ceremony state persists,1
290,20,v21-scene-d20,Ori,1,1,1,0,1,1.26,345.00156,object ceremony state persists,1
