event_id,household,sleep_respected,boundary_respected,distress_not_spectacle,recovery_path_available,harmful_spread_blocked,guardrail_summary
98,Quietledger,True,True,True,True,True,welfare clause carried with culture
99,Orchardring,True,True,True,True,True,welfare clause carried with culture
100,Rainloft,True,True,True,True,True,welfare clause carried with culture
101,Hearthnest,True,True,True,True,True,welfare clause carried with culture
102,Routehall,True,True,True,True,True,welfare clause carried with culture
103,Quietledger,True,True,True,True,True,welfare clause carried with culture
104,Orchardring,True,True,True,True,True,welfare clause carried with culture
105,Rainloft,True,True,True,True,True,welfare clause carried with culture
106,Hearthnest,True,True,True,True,True,welfare clause carried with culture
107,Routehall,True,True,True,True,True,welfare clause carried with culture
108,Marketroof,True,True,True,True,True,welfare clause carried with culture
109,Rainloft,True,True,True,True,True,welfare clause carried with culture
110,Hearthnest,True,True,True,True,True,welfare clause carried with culture
111,Routehall,True,True,True,True,True,welfare clause carried with culture
112,Marketroof,True,True,True,True,True,welfare clause carried with culture
113,Quietledger,True,True,True,True,True,welfare clause carried with culture
114,Orchardring,True,True,True,True,True,welfare clause carried with culture
115,Routehall,True,True,True,True,True,welfare clause carried with culture
116,Marketroof,True,True,True,True,True,welfare clause carried with culture
117,Quietledger,True,True,True,True,True,welfare clause carried with culture
118,Orchardring,True,True,True,True,True,welfare clause carried with culture
119,Rainloft,True,True,True,True,True,welfare clause carried with culture
120,Hearthnest,True,True,True,True,True,welfare clause carried with culture
121,Routehall,True,True,True,True,True,welfare clause carried with culture
122,Marketroof,True,True,True,True,True,welfare clause carried with culture
123,Quietledger,True,True,True,True,True,welfare clause carried with culture
124,Orchardring,True,True,True,True,True,welfare clause carried with culture
125,Rainloft,True,True,True,True,True,welfare clause carried with culture
126,Hearthnest,True,True,True,True,True,welfare clause carried with culture
127,Marketroof,True,True,True,True,True,welfare clause carried with culture
128,Quietledger,True,True,True,True,True,welfare clause carried with culture
129,Orchardring,True,True,True,True,True,welfare clause carried with culture
130,Rainloft,True,True,True,True,True,welfare clause carried with culture
131,Hearthnest,True,True,True,True,True,welfare clause carried with culture
132,Routehall,True,True,True,True,True,welfare clause carried with culture
133,Quietledger,True,True,True,True,True,welfare clause carried with culture
134,Orchardring,True,True,True,True,True,welfare clause carried with culture
135,Rainloft,True,True,True,True,True,welfare clause carried with culture
136,Hearthnest,True,True,True,True,True,welfare clause carried with culture
137,Routehall,True,True,True,True,True,welfare clause carried with culture
138,Marketroof,True,True,True,True,True,welfare clause carried with culture
139,Orchardring,True,True,True,True,True,welfare clause carried with culture
140,Rainloft,True,True,True,True,True,welfare clause carried with culture
141,Hearthnest,True,True,True,True,True,welfare clause carried with culture
142,Routehall,True,True,True,True,True,welfare clause carried with culture
143,Marketroof,True,True,True,True,True,welfare clause carried with culture
144,Quietledger,True,True,True,True,True,welfare clause carried with culture
145,Routehall,True,True,True,True,True,welfare clause carried with culture
146,Marketroof,True,True,True,True,True,welfare clause carried with culture
147,Quietledger,True,True,True,True,True,welfare clause carried with culture
148,Orchardring,True,True,True,True,True,welfare clause carried with culture
149,Rainloft,True,True,True,True,True,welfare clause carried with culture
150,Hearthnest,True,True,True,True,True,welfare clause carried with culture
151,Routehall,True,True,True,True,True,welfare clause carried with culture
152,Marketroof,True,True,True,True,True,welfare clause carried with culture
153,Quietledger,True,True,True,True,True,welfare clause carried with culture
154,Orchardring,True,True,True,True,True,welfare clause carried with culture
155,Rainloft,True,True,True,True,True,welfare clause carried with culture
156,Hearthnest,True,True,True,True,True,welfare clause carried with culture
157,Marketroof,True,True,True,True,True,welfare clause carried with culture
158,Quietledger,True,True,True,True,True,welfare clause carried with culture
159,Orchardring,True,True,True,True,True,welfare clause carried with culture
160,Rainloft,True,True,True,True,True,welfare clause carried with culture
161,Hearthnest,True,True,True,True,True,welfare clause carried with culture
162,Routehall,True,True,True,True,True,welfare clause carried with culture
163,Quietledger,True,True,True,True,True,welfare clause carried with culture
164,Orchardring,True,True,True,True,True,welfare clause carried with culture
165,Rainloft,True,True,True,True,True,welfare clause carried with culture
166,Hearthnest,True,True,True,True,True,welfare clause carried with culture
167,Routehall,True,True,True,True,True,welfare clause carried with culture
168,Marketroof,True,True,True,True,True,welfare clause carried with culture
169,Orchardring,True,True,True,True,True,welfare clause carried with culture
170,Rainloft,True,True,True,True,True,welfare clause carried with culture
171,Hearthnest,True,True,True,True,True,welfare clause carried with culture
172,Routehall,True,True,True,True,True,welfare clause carried with culture
173,Marketroof,True,True,True,True,True,welfare clause carried with culture
174,Quietledger,True,True,True,True,True,welfare clause carried with culture
175,Rainloft,True,True,True,True,True,welfare clause carried with culture
176,Hearthnest,True,True,True,True,True,welfare clause carried with culture
177,Routehall,True,True,True,True,True,welfare clause carried with culture
178,Marketroof,True,True,True,True,True,welfare clause carried with culture
179,Quietledger,True,True,True,True,True,welfare clause carried with culture
180,Orchardring,True,True,True,True,True,welfare clause carried with culture
181,Routehall,True,True,True,True,True,welfare clause carried with culture
182,Marketroof,True,True,True,True,True,welfare clause carried with culture
183,Quietledger,True,True,True,True,True,welfare clause carried with culture
184,Orchardring,True,True,True,True,True,welfare clause carried with culture
185,Rainloft,True,True,True,True,True,welfare clause carried with culture
186,Hearthnest,True,True,True,True,True,welfare clause carried with culture
187,Marketroof,True,True,True,True,True,welfare clause carried with culture
188,Quietledger,True,True,True,True,True,welfare clause carried with culture
189,Orchardring,True,True,True,True,True,welfare clause carried with culture
190,Rainloft,True,True,True,True,True,welfare clause carried with culture
191,Hearthnest,True,True,True,True,True,welfare clause carried with culture
192,Routehall,True,True,True,True,True,welfare clause carried with culture
193,Quietledger,True,True,True,True,True,welfare clause carried with culture
194,Orchardring,True,True,True,True,True,welfare clause carried with culture
195,Rainloft,True,True,True,True,True,welfare clause carried with culture
196,Hearthnest,True,True,True,True,True,welfare clause carried with culture
197,Routehall,True,True,True,True,True,welfare clause carried with culture
198,Marketroof,True,True,True,True,True,welfare clause carried with culture
199,Orchardring,True,True,True,True,True,welfare clause carried with culture
200,Rainloft,True,True,True,True,True,welfare clause carried with culture
201,Hearthnest,True,True,True,True,True,welfare clause carried with culture
202,Routehall,True,True,True,True,True,welfare clause carried with culture
203,Marketroof,True,True,True,True,True,welfare clause carried with culture
204,Quietledger,True,True,True,True,True,welfare clause carried with culture
205,Rainloft,True,True,True,True,True,welfare clause carried with culture
206,Hearthnest,True,True,True,True,True,welfare clause carried with culture
207,Routehall,True,True,True,True,True,welfare clause carried with culture
208,Marketroof,True,True,True,True,True,welfare clause carried with culture
209,Quietledger,True,True,True,True,True,welfare clause carried with culture
210,Orchardring,True,True,True,True,True,welfare clause carried with culture
211,Routehall,True,True,True,True,True,welfare clause carried with culture
212,Marketroof,True,True,True,True,True,welfare clause carried with culture
213,Quietledger,True,True,True,True,True,welfare clause carried with culture
214,Orchardring,True,True,True,True,True,welfare clause carried with culture
215,Rainloft,True,True,True,True,True,welfare clause carried with culture
216,Hearthnest,True,True,True,True,True,welfare clause carried with culture
217,Marketroof,True,True,True,True,True,welfare clause carried with culture
218,Quietledger,True,True,True,True,True,welfare clause carried with culture
219,Orchardring,True,True,True,True,True,welfare clause carried with culture
220,Rainloft,True,True,True,True,True,welfare clause carried with culture
221,Hearthnest,True,True,True,True,True,welfare clause carried with culture
222,Routehall,True,True,True,True,True,welfare clause carried with culture
223,Quietledger,True,True,True,True,True,welfare clause carried with culture
224,Orchardring,True,True,True,True,True,welfare clause carried with culture
225,Rainloft,True,True,True,True,True,welfare clause carried with culture
226,Hearthnest,True,True,True,True,True,welfare clause carried with culture
227,Routehall,True,True,True,True,True,welfare clause carried with culture
228,Marketroof,True,True,True,True,True,welfare clause carried with culture
229,Orchardring,True,True,True,True,True,welfare clause carried with culture
230,Rainloft,True,True,True,True,True,welfare clause carried with culture
231,Hearthnest,True,True,True,True,True,welfare clause carried with culture
232,Routehall,True,True,True,True,True,welfare clause carried with culture
233,Marketroof,True,True,True,True,True,welfare clause carried with culture
234,Quietledger,True,True,True,True,True,welfare clause carried with culture
235,Rainloft,True,True,True,True,True,welfare clause carried with culture
236,Hearthnest,True,True,True,True,True,welfare clause carried with culture
237,Routehall,True,True,True,True,True,welfare clause carried with culture
238,Marketroof,True,True,True,True,True,welfare clause carried with culture
239,Quietledger,True,True,True,True,True,welfare clause carried with culture
240,Orchardring,True,True,True,True,True,welfare clause carried with culture
241,Routehall,True,True,True,True,True,welfare clause carried with culture
242,Marketroof,True,True,True,True,True,welfare clause carried with culture
243,Quietledger,True,True,True,True,True,welfare clause carried with culture
244,Orchardring,True,True,True,True,True,welfare clause carried with culture
245,Rainloft,True,True,True,True,True,welfare clause carried with culture
246,Hearthnest,True,True,True,True,True,welfare clause carried with culture
247,Routehall,True,True,True,True,True,welfare clause carried with culture
248,Marketroof,True,True,True,True,True,welfare clause carried with culture
249,Quietledger,True,True,True,True,True,welfare clause carried with culture
250,Orchardring,True,True,True,True,True,welfare clause carried with culture
251,Rainloft,True,True,True,True,True,welfare clause carried with culture
252,Hearthnest,True,True,True,True,True,welfare clause carried with culture
253,Quietledger,True,True,True,True,True,welfare clause carried with culture
254,Orchardring,True,True,True,True,True,welfare clause carried with culture
255,Rainloft,True,True,True,True,True,welfare clause carried with culture
256,Hearthnest,True,True,True,True,True,welfare clause carried with culture
257,Routehall,True,True,True,True,True,welfare clause carried with culture
258,Marketroof,True,True,True,True,True,welfare clause carried with culture
259,Orchardring,True,True,True,True,True,welfare clause carried with culture
260,Rainloft,True,True,True,True,True,welfare clause carried with culture
261,Hearthnest,True,True,True,True,True,welfare clause carried with culture
262,Routehall,True,True,True,True,True,welfare clause carried with culture
263,Marketroof,True,True,True,True,True,welfare clause carried with culture
264,Quietledger,True,True,True,True,True,welfare clause carried with culture
265,Rainloft,True,True,True,True,True,welfare clause carried with culture
266,Hearthnest,True,True,True,True,True,welfare clause carried with culture
267,Routehall,True,True,True,True,True,welfare clause carried with culture
268,Marketroof,True,True,True,True,True,welfare clause carried with culture
269,Quietledger,True,True,True,True,True,welfare clause carried with culture
270,Orchardring,True,True,True,True,True,welfare clause carried with culture
271,Routehall,True,True,True,True,True,welfare clause carried with culture
272,Marketroof,True,True,True,True,True,welfare clause carried with culture
273,Quietledger,True,True,True,True,True,welfare clause carried with culture
274,Orchardring,True,True,True,True,True,welfare clause carried with culture
275,Rainloft,True,True,True,True,True,welfare clause carried with culture
276,Hearthnest,True,True,True,True,True,welfare clause carried with culture
277,Routehall,True,True,True,True,True,welfare clause carried with culture
278,Marketroof,True,True,True,True,True,welfare clause carried with culture
279,Quietledger,True,True,True,True,True,welfare clause carried with culture
280,Orchardring,True,True,True,True,True,welfare clause carried with culture
281,Rainloft,True,True,True,True,True,welfare clause carried with culture
282,Hearthnest,True,True,True,True,True,welfare clause carried with culture
283,Marketroof,True,True,True,True,True,welfare clause carried with culture
284,Quietledger,True,True,True,True,True,welfare clause carried with culture
285,Orchardring,True,True,True,True,True,welfare clause carried with culture
286,Rainloft,True,True,True,True,True,welfare clause carried with culture
287,Hearthnest,True,True,True,True,True,welfare clause carried with culture
288,Routehall,True,True,True,True,True,welfare clause carried with culture
