tick,day,scene_id,agent,agent_x_before,agent_y_before,agent_x_after,agent_y_after,neutral_x,neutral_y,path_goal,avoided_avatar,approached_avatar,request_initiated,behavior_changed_by_reaction,pathing_consequence_score
63,4,v23-scene-d04,Sova,4.25718,2.758023,4.568198,2.725561,4.228887,2.738579,approach-and-request,0,1,1,1,1.0
64,5,v23-scene-d05,Nari,5.30082,5.596252,4.712531,6.030663,5.165672,5.636527,avoidance-path,1,0,1,1,1.0
65,5,v23-scene-d05,Vonn,3.940525,4.65243,4.22378,4.515855,3.85763,4.657392,approach-and-request,0,1,1,1,1.0
66,5,v23-scene-d05,Nari,4.712531,6.030663,4.974247,5.75428,4.683275,5.992744,approach-and-request,0,1,1,1,1.0
67,5,v23-scene-d05,Sova,4.568198,2.725561,4.778166,2.742032,4.483923,2.71196,approach-and-request,0,1,0,1,0.75
68,5,v23-scene-d05,Vonn,4.22378,4.515855,4.428944,4.49453,4.0899,4.545401,nearby-help,0,1,0,1,1.0
69,5,v23-scene-d05,Keth,7.962177,3.209776,7.959046,3.235689,7.941985,3.181016,nearby-help,0,1,0,0,0.75
70,5,v23-scene-d05,Vonn,4.428944,4.49453,4.558666,4.46683,4.258134,4.527915,nearby-help,0,1,0,1,1.0
71,5,v23-scene-d05,Melo,6.821997,5.022252,6.815729,4.997814,6.719038,5.117246,nearby-help,0,1,0,1,1.0
72,5,v23-scene-d05,Vonn,4.558666,4.46683,4.647906,4.422017,4.364506,4.505201,nearby-help,0,1,0,1,1.0
73,5,v23-scene-d05,Melo,6.815729,4.997814,6.813255,4.954344,6.713898,5.097208,nearby-help,0,1,0,1,1.0
74,5,v23-scene-d05,Melo,6.813255,4.954344,6.820273,4.911476,6.711869,5.061562,nearby-help,0,1,0,1,1.0
75,5,v23-scene-d05,Nari,4.974247,5.75428,5.16393,5.553345,4.897882,5.766109,nearby-help,0,1,0,1,1.0
76,5,v23-scene-d05,Nari,5.16393,5.553345,5.321314,5.400152,5.053423,5.601343,nearby-help,0,1,0,1,1.0
77,5,v23-scene-d05,Vonn,4.647906,4.422017,4.768734,4.361235,4.437683,4.468454,nearby-help,0,1,0,1,1.0
78,5,v23-scene-d05,Ori,8.654435,5.709191,8.688237,5.803137,8.648237,5.783137,watchful-default,0,0,0,0,0.75
79,5,v23-scene-d05,Ori,8.688237,5.803137,8.752134,6.206301,8.675954,5.860172,conditional-access,1,0,1,1,1.0
80,6,v23-scene-d06,Sova,4.778166,2.742032,4.958828,2.724826,4.656096,2.725466,approach-and-request,0,1,1,1,1.0
81,6,v23-scene-d06,Vonn,4.768734,4.361235,4.696762,4.498613,4.536762,4.418613,object-inspection,0,0,1,1,1.0
82,6,v23-scene-d06,Sova,4.958828,2.724826,4.964239,2.791357,4.804239,2.711357,object-inspection,0,0,0,1,0.75
83,6,v23-scene-d06,Sova,4.964239,2.791357,5.094319,2.84873,4.808676,2.765913,nearby-help,0,1,0,1,1.0
84,6,v23-scene-d06,Vonn,4.696762,4.498613,4.194963,4.70273,4.477745,4.531263,conditional-access,1,0,1,1,1.0
85,6,v23-scene-d06,Nari,5.321314,5.400152,5.411374,5.333917,5.182477,5.475725,nearby-help,0,1,0,1,1.0
86,6,v23-scene-d06,Sova,5.094319,2.84873,5.156686,2.874126,4.915342,2.812959,nearby-help,0,1,0,1,1.0
87,6,v23-scene-d06,Melo,6.820273,4.911476,6.81083,4.898194,6.717624,5.02641,nearby-help,0,1,0,1,1.0
88,6,v23-scene-d06,Ori,8.752134,6.206301,8.724409,6.667873,8.72835,6.190767,avoidance-path,1,0,1,1,1.0
89,6,v23-scene-d06,Melo,6.81083,4.898194,6.812236,4.864231,6.70988,5.015519,nearby-help,0,1,0,1,1.0
90,6,v23-scene-d06,Vonn,4.194963,4.70273,4.363719,4.500262,4.066269,4.698639,approach-and-request,0,1,1,1,1.0
91,6,v23-scene-d06,Sova,5.156686,2.874126,5.233317,2.845345,4.966483,2.833783,nearby-help,0,0,0,1,0.75
92,6,v23-scene-d06,Sova,5.233317,2.845345,5.18932,2.890183,5.02932,2.810183,object-inspection,0,0,0,1,0.75
93,6,v23-scene-d06,Ori,8.724409,6.667873,8.625702,7.103697,8.705615,6.569256,avoidance-path,1,0,1,1,1.0
94,6,v23-scene-d06,Sova,5.18932,2.890183,5.294128,2.874655,4.993243,2.84695,nearby-help,0,1,0,1,1.0
95,6,v23-scene-d06,Vonn,4.363719,4.500262,4.545276,4.373295,4.204649,4.532615,approach-and-request,0,1,1,1,1.0
96,7,v23-scene-d07,Ori,8.625702,7.103697,8.606627,6.587769,8.624676,6.926631,approach-and-request,0,1,1,1,1.0
97,7,v23-scene-d07,Melo,6.812236,4.864231,6.863859,4.877689,6.711033,4.98767,nearby-help,0,0,0,1,0.75
98,7,v23-scene-d07,Nari,5.411374,5.333917,5.512444,5.282076,5.256327,5.421412,nearby-help,0,1,0,1,1.0
99,7,v23-scene-d07,Sova,5.294128,2.874655,5.335085,2.902378,5.079185,2.834217,nearby-help,0,1,0,1,1.0
100,7,v23-scene-d07,Vonn,4.545276,4.373295,4.626349,4.300339,4.353526,4.428502,approach-and-request,0,1,1,1,1.0
101,7,v23-scene-d07,Keth,7.959046,3.235689,7.942328,3.227977,7.939418,3.202265,nearby-help,0,1,0,0,0.75
102,7,v23-scene-d07,Sova,5.335085,2.902378,5.33566,2.898714,5.11277,2.85695,nearby-help,0,0,0,1,0.75
103,7,v23-scene-d07,Vonn,4.626349,4.300339,4.162545,4.580124,4.420006,4.368678,conditional-access,1,0,1,1,1.0
104,7,v23-scene-d07,Vonn,4.162545,4.580124,3.738216,4.847582,4.039687,4.598102,conditional-access,1,0,1,1,1.0
105,7,v23-scene-d07,Sova,5.33566,2.898714,5.34972,2.861543,5.113241,2.853946,nearby-help,0,0,0,1,0.75
106,7,v23-scene-d07,Ori,8.606627,6.587769,8.578802,6.213604,8.609034,6.503571,nearby-help,0,1,0,1,1.0
107,7,v23-scene-d07,Vonn,3.738216,4.847582,4.041661,4.597146,3.691737,4.817417,approach-and-request,0,1,0,1,0.75
108,7,v23-scene-d07,Nari,5.512444,5.282076,5.598564,5.182232,5.339204,5.378903,nearby-help,0,1,0,1,1.0
109,7,v23-scene-d07,Vonn,4.041661,4.597146,4.322661,4.485155,3.940562,4.612059,nearby-help,0,1,0,1,1.0
110,7,v23-scene-d07,Nari,5.598564,5.182232,5.680814,5.12678,5.409823,5.29703,nearby-help,0,1,0,1,1.0
111,7,v23-scene-d07,Keth,7.942328,3.227977,7.996481,3.206543,7.925709,3.195941,nearby-help,0,0,0,1,0.75
112,8,v23-scene-d08,Keth,7.996481,3.206543,8.029359,3.201032,7.970114,3.178366,nearby-help,0,0,0,1,0.75
113,8,v23-scene-d08,Vonn,4.322661,4.485155,4.522223,4.442707,4.170982,4.520227,nearby-help,0,1,0,1,1.0
114,8,v23-scene-d08,Sova,5.34972,2.861543,5.385607,2.884278,5.12477,2.823465,nearby-help,0,1,0,1,1.0
115,8,v23-scene-d08,Sova,5.385607,2.884278,5.398528,2.899061,5.154197,2.842108,nearby-help,0,1,0,1,1.0
116,8,v23-scene-d08,Melo,6.863859,4.877689,6.913364,5.078705,6.753364,4.998705,object-inspection,0,0,1,1,1.0
117,8,v23-scene-d08,Sova,5.398528,2.899061,5.388014,2.89271,5.164793,2.85423,nearby-help,0,0,0,1,0.75
118,8,v23-scene-d08,Sova,5.388014,2.89271,5.377014,2.875413,5.156171,2.849022,nearby-help,0,0,0,1,0.75
119,8,v23-scene-d08,Keth,8.029359,3.201032,8.091472,3.285595,7.997074,3.173846,conditional-access,1,0,1,1,1.0
120,8,v23-scene-d08,Melo,6.913364,5.078705,6.894004,4.981355,6.793959,5.163538,nearby-help,0,1,0,1,1.0
121,8,v23-scene-d08,Ori,8.578802,6.213604,8.55464,5.924525,8.586217,6.196755,nearby-help,0,1,0,1,1.0
122,8,v23-scene-d08,Nari,5.680814,5.12678,5.2778,5.597406,5.477267,5.251559,conditional-access,1,0,0,1,0.75
123,8,v23-scene-d08,Ori,8.55464,5.924525,8.564653,5.705678,8.566404,5.95971,nearby-help,0,1,0,1,1.0
124,8,v23-scene-d08,Sova,5.377014,2.875413,5.431182,2.837535,5.147152,2.834838,nearby-help,0,1,0,1,1.0
125,8,v23-scene-d08,Vonn,4.522223,4.442707,4.692096,4.366441,4.334623,4.48542,nearby-help,0,1,0,1,1.0
126,8,v23-scene-d08,Nari,5.2778,5.597406,5.415066,5.374374,5.146796,5.637473,approach-and-request,0,1,1,1,1.0
127,8,v23-scene-d08,Melo,6.894004,4.981355,6.941246,4.941962,6.778083,5.083711,nearby-help,0,0,0,1,0.75
128,9,v23-scene-d09,Nari,5.415066,5.374374,5.505949,5.227559,5.259354,5.454586,approach-and-request,0,1,1,1,1.0
129,9,v23-scene-d09,Keth,8.091472,3.285595,8.058068,3.197666,8.048007,3.243188,approach-and-request,0,1,1,1,1.0
130,9,v23-scene-d09,Melo,6.941246,4.941962,6.938581,4.925336,6.816821,5.051409,nearby-help,0,1,0,1,1.0
131,9,v23-scene-d09,Keth,8.058068,3.197666,8.032882,3.190302,8.020616,3.171086,nearby-help,0,1,0,0,0.75
132,9,v23-scene-d09,Keth,8.032882,3.190302,8.00388,3.175539,7.999963,3.165048,nearby-help,0,1,0,0,0.75
133,9,v23-scene-d09,Sova,5.431182,2.837535,5.414845,2.831274,5.19157,2.803779,nearby-help,0,0,0,1,0.75
134,9,v23-scene-d09,Keth,8.00388,3.175539,8.06483,3.265987,7.976182,3.152942,conditional-access,1,0,1,1,1.0
135,9,v23-scene-d09,Nari,5.505949,5.227559,5.551579,5.134682,5.333878,5.334198,nearby-help,0,1,0,1,1.0
136,9,v23-scene-d09,Keth,8.06483,3.265987,8.09995,3.373533,8.026161,3.22711,conditional-access,1,0,1,1,1.0
137,9,v23-scene-d09,Nari,5.551579,5.134682,5.609579,5.050775,5.371295,5.258039,nearby-help,0,1,0,1,1.0
138,9,v23-scene-d09,Ori,8.564653,5.705678,8.571034,5.531231,8.574615,5.780256,nearby-help,0,1,0,1,1.0
139,9,v23-scene-d09,Sova,5.414845,2.831274,5.338173,2.878645,5.178173,2.798645,object-inspection,0,0,1,1,1.0
140,9,v23-scene-d09,Keth,8.09995,3.373533,8.067551,3.459212,8.054959,3.315297,conditional-access,0,0,1,1,0.75
141,9,v23-scene-d09,Ori,8.571034,5.531231,8.604983,5.425318,8.579848,5.63721,nearby-help,0,1,0,1,1.0
142,9,v23-scene-d09,Nari,5.609579,5.050775,5.697006,5.025981,5.418855,5.189236,nearby-help,0,1,0,1,1.0
143,9,v23-scene-d09,Nari,5.697006,5.025981,5.757613,5.019161,5.490545,5.168904,nearby-help,0,1,0,1,1.0
144,10,v23-scene-d10,Sova,5.338173,2.878645,5.399966,2.880732,5.115302,2.837489,nearby-help,0,1,0,1,1.0
145,10,v23-scene-d10,Keth,8.067551,3.459212,8.071193,3.480569,8.028392,3.385553,conditional-access,0,0,1,1,0.75
146,10,v23-scene-d10,Vonn,4.692096,4.366441,4.781682,4.337919,4.473919,4.422881,nearby-help,0,1,0,1,1.0
147,10,v23-scene-d10,Melo,6.938581,4.925336,6.92359,4.89598,6.814637,5.037775,nearby-help,0,1,0,1,1.0
148,10,v23-scene-d10,Keth,8.071193,3.480569,8.007976,3.316676,8.031379,3.403067,approach-and-request,0,1,1,1,1.0
149,10,v23-scene-d10,Keth,8.007976,3.316676,8.061318,3.395041,7.97954,3.268675,conditional-access,1,0,1,1,1.0
150,10,v23-scene-d10,Melo,6.92359,4.89598,6.906105,4.837772,6.802344,5.013704,nearby-help,0,1,0,1,1.0
151,10,v23-scene-d10,Melo,6.906105,4.837772,6.901386,4.783509,6.788006,4.965973,nearby-help,0,1,0,1,1.0
152,10,v23-scene-d10,Sova,5.399966,2.880732,5.421377,2.820167,5.165972,2.8392,nearby-help,0,0,0,1,0.75
153,10,v23-scene-d10,Keth,8.061318,3.395041,8.036713,3.207939,8.023281,3.332934,approach-and-request,0,1,1,1,1.0
154,10,v23-scene-d10,Ori,8.604983,5.425318,8.615993,5.315267,8.607686,5.550361,nearby-help,0,1,0,1,1.0
155,10,v23-scene-d10,Sova,5.421377,2.820167,5.477504,2.782728,5.183529,2.789537,nearby-help,0,1,0,1,1.0
156,10,v23-scene-d10,Sova,5.477504,2.782728,4.946586,2.847245,5.229553,2.758837,conditional-access,1,0,1,1,1.0
157,10,v23-scene-d10,Vonn,4.781682,4.337919,4.193102,4.636206,4.547379,4.399494,conditional-access,1,0,0,1,0.75
158,10,v23-scene-d10,Sova,4.946586,2.847245,4.292487,2.962054,4.7942,2.811741,avoidance-path,1,0,1,1,1.0
159,10,v23-scene-d10,Melo,6.901386,4.783509,6.948895,4.790559,6.784137,4.921477,nearby-help,0,0,0,1,0.75
160,11,v23-scene-d11,Keth,8.036713,3.207939,8.056603,3.191774,8.003105,3.17951,nearby-help,0,0,0,0,0.5
161,11,v23-scene-d11,Melo,6.948895,4.790559,6.956647,4.798595,6.823094,4.927258,nearby-help,0,0,0,1,0.75
162,11,v23-scene-d11,Vonn,4.193102,4.636206,3.727462,4.88044,4.064744,4.644089,conditional-access,1,0,0,1,0.75
163,11,v23-scene-d11,Vonn,3.727462,4.88044,4.017967,4.642303,3.682919,4.84436,approach-and-request,0,1,1,1,1.0
164,11,v23-scene-d11,Nari,5.757613,5.019161,5.749854,4.987965,5.540242,5.163312,nearby-help,0,1,0,1,1.0
165,11,v23-scene-d11,Vonn,4.017967,4.642303,3.585346,4.929304,3.921133,4.649088,conditional-access,1,0,1,1,1.0
166,11,v23-scene-d11,Nari,5.749854,4.987965,5.751557,4.940231,5.53388,5.137731,nearby-help,0,1,0,1,1.0
167,11,v23-scene-d11,Vonn,3.585346,4.929304,3.173446,5.212964,3.566383,4.884429,conditional-access,1,0,0,1,0.75
168,11,v23-scene-d11,Ori,8.615993,5.315267,8.612284,5.224348,8.616714,5.460119,nearby-help,0,1,0,1,1.0
169,11,v23-scene-d11,Sova,4.292487,2.962054,3.899028,3.040636,4.257839,2.905884,conditional-access,1,0,1,1,1.0
170,11,v23-scene-d11,Ori,8.612284,5.224348,8.674276,5.761254,8.613672,5.385565,conditional-access,1,0,1,1,1.0
171,11,v23-scene-d11,Sova,3.899028,3.040636,4.314556,2.885364,3.935203,2.970322,approach-and-request,0,1,1,1,1.0
172,11,v23-scene-d11,Ori,8.674276,5.761254,8.670261,5.524515,8.664506,5.825829,approach-and-request,0,1,0,1,0.75
173,11,v23-scene-d11,Vonn,3.173446,5.212964,2.733819,5.422816,3.228626,5.117031,conditional-access,1,0,1,1,1.0
174,11,v23-scene-d11,Melo,6.956647,4.798595,7.002642,4.792632,6.82945,4.933848,nearby-help,0,0,0,1,0.75
175,11,v23-scene-d11,Keth,8.056603,3.191774,8.086743,3.175045,8.019414,3.166255,nearby-help,0,0,0,1,0.75
176,12,v23-scene-d12,Melo,7.002642,4.792632,7.027166,5.008958,6.867166,4.928958,object-inspection,0,0,1,1,1.0
177,12,v23-scene-d12,Keth,8.086743,3.175045,8.081423,3.159459,8.044129,3.152537,nearby-help,0,1,0,0,0.75
178,12,v23-scene-d12,Keth,8.081423,3.159459,8.066428,3.139422,8.039767,3.139756,nearby-help,0,1,0,0,0.75
179,12,v23-scene-d12,Nari,5.751557,4.940231,5.75568,4.93018,5.535277,5.098589,nearby-help,0,1,0,1,1.0
180,12,v23-scene-d12,Sova,4.314556,2.885364,4.595829,2.842285,4.275936,2.842998,nearby-help,0,1,0,1,1.0
181,12,v23-scene-d12,Ori,8.670261,5.524515,8.634576,5.395674,8.661214,5.631702,nearby-help,0,1,0,1,1.0
182,12,v23-scene-d12,Nari,5.75568,4.93018,5.771019,4.887776,5.538658,5.090347,nearby-help,0,1,0,1,1.0
183,12,v23-scene-d12,Nari,5.771019,4.887776,5.335645,5.409318,5.551235,5.055577,conditional-access,1,0,1,1,1.0
184,12,v23-scene-d12,Keth,8.066428,3.139422,8.087775,3.070858,8.027471,3.123326,nearby-help,0,0,0,1,0.75
185,12,v23-scene-d12,Keth,8.087775,3.070858,8.043607,3.218964,8.044976,3.067103,conditional-access,0,0,1,1,0.75
186,12,v23-scene-d12,Vonn,2.733819,5.422816,2.159102,5.741088,2.868132,5.28911,avoidance-path,1,0,1,1,1.0
187,12,v23-scene-d12,Sova,4.595829,2.842285,4.880419,2.803444,4.50658,2.807673,nearby-help,0,1,0,1,1.0
188,12,v23-scene-d12,Ori,8.634576,5.395674,8.677328,5.317077,8.631952,5.526053,nearby-help,0,1,0,1,1.0
189,12,v23-scene-d12,Melo,7.027166,5.008958,7.068234,4.943245,6.887276,5.106346,nearby-help,0,1,0,1,1.0
190,12,v23-scene-d12,Keth,8.043607,3.218964,7.819401,3.372616,8.008757,3.188551,avoidance-path,0,0,1,1,0.75
191,12,v23-scene-d12,Keth,7.819401,3.372616,7.881733,3.24666,7.824908,3.314545,approach-and-request,0,0,1,1,0.75
192,13,v23-scene-d13,Sova,4.880419,2.803444,5.056928,2.813522,4.739944,2.775824,nearby-help,0,1,0,1,1.0
193,13,v23-scene-d13,Ori,8.677328,5.317077,8.657478,5.277856,8.667009,5.461603,nearby-help,0,1,0,1,1.0
194,13,v23-scene-d13,Sova,5.056928,2.813522,5.169129,2.804279,4.884681,2.784088,nearby-help,0,1,0,1,1.0
195,13,v23-scene-d13,Nari,5.335645,5.409318,5.422742,5.2107,5.194229,5.483241,approach-and-request,0,1,1,1,1.0
196,13,v23-scene-d13,Nari,5.422742,5.2107,4.863648,5.764608,5.265649,5.320374,avoidance-path,1,0,1,1,1.0
197,13,v23-scene-d13,Vonn,2.159102,5.741088,1.698894,6.031108,2.396864,5.550092,avoidance-path,1,0,0,1,0.75
198,13,v23-scene-d13,Keth,7.881733,3.24666,7.887653,3.380095,7.876021,3.211261,conditional-access,1,0,1,1,1.0
199,13,v23-scene-d13,Ori,8.657478,5.277856,8.66496,5.190812,8.650732,5.429442,nearby-help,0,1,0,1,1.0
200,13,v23-scene-d13,Nari,4.863648,5.764608,4.476701,6.201828,4.807191,5.774579,conditional-access,1,0,1,1,1.0
201,13,v23-scene-d13,Ori,8.66496,5.190812,8.697392,5.133132,8.656867,5.358066,nearby-help,0,1,0,1,1.0
202,13,v23-scene-d13,Melo,7.068234,4.943245,7.109204,4.86207,6.920952,5.052461,nearby-help,0,1,0,1,1.0
203,13,v23-scene-d13,Nari,4.476701,6.201828,4.848903,5.804186,4.489895,6.133099,approach-and-request,0,1,1,1,1.0
204,13,v23-scene-d13,Ori,8.697392,5.133132,8.732892,5.124753,8.683462,5.310768,nearby-help,0,0,0,1,0.75
205,13,v23-scene-d13,Nari,4.848903,5.804186,5.148598,5.592501,4.7951,5.807032,nearby-help,0,1,0,1,1.0
206,13,v23-scene-d13,Sova,5.169129,2.804279,5.304397,2.812398,4.976686,2.776509,nearby-help,0,1,0,1,1.0
207,13,v23-scene-d13,Vonn,1.698894,6.031108,2.542352,5.52206,2.019493,5.787909,approach-and-request,0,1,0,1,0.75
208,14,v23-scene-d14,Keth,7.887653,3.380095,7.709176,3.516156,7.880876,3.320678,avoidance-path,0,0,1,1,0.75
209,14,v23-scene-d14,Melo,7.109204,4.86207,7.086445,4.835015,6.954547,4.985898,nearby-help,0,1,0,1,1.0
210,14,v23-scene-d14,Keth,7.709176,3.516156,7.568388,3.664636,7.734525,3.432248,avoidance-path,0,0,1,1,0.75
