tick_id,day,settlement_id,resident_id,avatar_choice,trust_before,trust_after,curiosity_before,curiosity_after,guardedness_before,guardedness_after,history_hash_before,history_hash_after,changed_trust_without_erasing_history,private_workspace_not_dumped
51,3,glass_harbor,Sera,touch_restricted_object,0.586,0.568,0.486,0.48,0.394,0.394,df171a3cd02e78ac,df171a3cd02e78ac,True,True
52,3,cinder_garden,Juno,step_back,0.588,0.598,0.504,0.51,0.32,0.32,0ad5dd650cb2abd4,0ad5dd650cb2abd4,True,True
53,3,lichen_bridge,Luma,ask_custom_reason,0.61,0.62,0.492,0.51,0.33,0.33,f5bc8303eb405971,f5bc8303eb405971,True,True
54,4,moss_ward,Ari,offer_greeting,0.612,0.614,0.522,0.528,0.33,0.33,783acf4770fd4ba5,783acf4770fd4ba5,True,True
55,4,glass_harbor,Oren,ask_translation,0.552,0.562,0.474,0.492,0.4,0.4,e02a4db275b853e9,e02a4db275b853e9,True,True
56,4,cinder_garden,Vale,repeat_local_phrase,0.604,0.606,0.51,0.516,0.316,0.316,8cd57eaedc18761c,8cd57eaedc18761c,True,True
57,4,lichen_bridge,Sol,offer_trade_good,0.622,0.624,0.51,0.528,0.33,0.33,ec6f1203ce2d2b95,ec6f1203ce2d2b95,True,True
58,4,orchid_engine,Bea,touch_restricted_object,0.538,0.52,0.498,0.492,0.412,0.412,32ddc75f7ae49d2d,32ddc75f7ae49d2d,True,True
59,4,moss_ward,Fay,step_back,0.578,0.588,0.498,0.504,0.358,0.358,783acf4770fd4ba5,783acf4770fd4ba5,True,True
60,4,glass_harbor,Puck,ask_custom_reason,0.62,0.63,0.492,0.51,0.33,0.33,e02a4db275b853e9,e02a4db275b853e9,True,True
61,4,cinder_garden,Wren,interrupt_protocol,0.55,0.54,0.504,0.498,0.374,0.374,8cd57eaedc18761c,8cd57eaedc18761c,True,True
62,4,lichen_bridge,Kio,wait_for_resident_lead,0.554,0.556,0.486,0.492,0.394,0.394,ec6f1203ce2d2b95,ec6f1203ce2d2b95,True,True
63,4,orchid_engine,Cai,observe_before_speaking,0.61,0.62,0.498,0.504,0.31,0.31,32ddc75f7ae49d2d,32ddc75f7ae49d2d,True,True
64,4,moss_ward,Milo,offer_greeting,0.6,0.602,0.504,0.51,0.338,0.338,783acf4770fd4ba5,783acf4770fd4ba5,True,True
65,4,glass_harbor,Sera,ask_translation,0.574,0.584,0.48,0.498,0.382,0.382,e02a4db275b853e9,e02a4db275b853e9,True,True
66,4,cinder_garden,Juno,repeat_local_phrase,0.604,0.606,0.51,0.516,0.316,0.316,8cd57eaedc18761c,8cd57eaedc18761c,True,True
67,4,lichen_bridge,Luma,offer_trade_good,0.622,0.624,0.51,0.528,0.33,0.33,ec6f1203ce2d2b95,ec6f1203ce2d2b95,True,True
68,4,orchid_engine,Dax,touch_restricted_object,0.56,0.542,0.504,0.498,0.394,0.394,32ddc75f7ae49d2d,32ddc75f7ae49d2d,True,True
69,4,moss_ward,Tala,step_back,0.566,0.576,0.492,0.498,0.368,0.368,783acf4770fd4ba5,783acf4770fd4ba5,True,True
70,4,glass_harbor,Nia,ask_custom_reason,0.64,0.65,0.498,0.516,0.312,0.312,e02a4db275b853e9,e02a4db275b853e9,True,True
71,4,cinder_garden,Pax,interrupt_protocol,0.562,0.552,0.522,0.516,0.366,0.366,8cd57eaedc18761c,8cd57eaedc18761c,True,True
72,5,orchid_engine,Bea,ask_translation,0.526,0.536,0.492,0.51,0.4,0.4,fbb0241d964bb4c1,fbb0241d964bb4c1,True,True
73,5,moss_ward,Fay,repeat_local_phrase,0.594,0.596,0.504,0.51,0.354,0.354,907c5fb8148035c5,907c5fb8148035c5,True,True
74,5,glass_harbor,Puck,offer_trade_good,0.632,0.634,0.51,0.528,0.33,0.33,1d53a51d106c979e,1d53a51d106c979e,True,True
75,5,cinder_garden,Wren,touch_restricted_object,0.528,0.51,0.498,0.492,0.412,0.412,c926263b5d86c0a3,c926263b5d86c0a3,True,True
76,5,lichen_bridge,Kio,step_back,0.566,0.576,0.492,0.498,0.376,0.376,6966fed9346e88f1,6966fed9346e88f1,True,True
77,5,orchid_engine,Cai,ask_custom_reason,0.622,0.632,0.504,0.522,0.302,0.302,fbb0241d964bb4c1,fbb0241d964bb4c1,True,True
78,5,moss_ward,Milo,interrupt_protocol,0.59,0.58,0.51,0.504,0.356,0.356,907c5fb8148035c5,907c5fb8148035c5,True,True
79,5,glass_harbor,Sera,wait_for_resident_lead,0.594,0.596,0.498,0.504,0.372,0.372,1d53a51d106c979e,1d53a51d106c979e,True,True
80,5,cinder_garden,Juno,observe_before_speaking,0.616,0.626,0.516,0.522,0.298,0.298,c926263b5d86c0a3,c926263b5d86c0a3,True,True
81,5,lichen_bridge,Luma,offer_greeting,0.63,0.632,0.528,0.534,0.326,0.326,6966fed9346e88f1,6966fed9346e88f1,True,True
82,5,orchid_engine,Dax,ask_translation,0.548,0.558,0.498,0.516,0.382,0.382,fbb0241d964bb4c1,fbb0241d964bb4c1,True,True
83,5,moss_ward,Tala,repeat_local_phrase,0.582,0.584,0.498,0.504,0.364,0.364,907c5fb8148035c5,907c5fb8148035c5,True,True
84,5,glass_harbor,Nia,offer_trade_good,0.652,0.654,0.516,0.534,0.312,0.312,1d53a51d106c979e,1d53a51d106c979e,True,True
85,5,cinder_garden,Pax,touch_restricted_object,0.54,0.522,0.516,0.51,0.404,0.404,c926263b5d86c0a3,c926263b5d86c0a3,True,True
86,5,lichen_bridge,Rin,step_back,0.554,0.564,0.486,0.492,0.386,0.386,6966fed9346e88f1,6966fed9346e88f1,True,True
87,5,orchid_engine,Eli,ask_custom_reason,0.602,0.612,0.498,0.516,0.32,0.32,fbb0241d964bb4c1,fbb0241d964bb4c1,True,True
88,5,moss_ward,Ari,interrupt_protocol,0.602,0.592,0.528,0.522,0.348,0.348,907c5fb8148035c5,907c5fb8148035c5,True,True
89,5,glass_harbor,Oren,wait_for_resident_lead,0.572,0.574,0.492,0.498,0.39,0.39,1d53a51d106c979e,1d53a51d106c979e,True,True
90,6,lichen_bridge,Kio,repeat_local_phrase,0.582,0.584,0.498,0.504,0.372,0.372,3c9bdb897cd98825,3c9bdb897cd98825,True,True
91,6,orchid_engine,Cai,offer_trade_good,0.634,0.636,0.522,0.54,0.302,0.302,70427c9a7e65d0ea,70427c9a7e65d0ea,True,True
92,6,moss_ward,Milo,touch_restricted_object,0.568,0.55,0.504,0.498,0.394,0.394,d9665b6435e55524,d9665b6435e55524,True,True
93,6,glass_harbor,Sera,step_back,0.606,0.616,0.504,0.51,0.354,0.354,34b1c53cc5f7a9a8,34b1c53cc5f7a9a8,True,True
94,6,cinder_garden,Juno,ask_custom_reason,0.628,0.638,0.522,0.54,0.29,0.29,663054e6f3c173cc,663054e6f3c173cc,True,True
95,6,lichen_bridge,Luma,interrupt_protocol,0.62,0.61,0.534,0.528,0.344,0.344,3c9bdb897cd98825,3c9bdb897cd98825,True,True
96,6,orchid_engine,Dax,wait_for_resident_lead,0.568,0.57,0.516,0.522,0.372,0.372,70427c9a7e65d0ea,70427c9a7e65d0ea,True,True
97,6,moss_ward,Tala,observe_before_speaking,0.594,0.604,0.504,0.51,0.346,0.346,d9665b6435e55524,d9665b6435e55524,True,True
98,6,glass_harbor,Nia,offer_greeting,0.66,0.662,0.534,0.54,0.308,0.308,34b1c53cc5f7a9a8,34b1c53cc5f7a9a8,True,True
99,6,cinder_garden,Pax,ask_translation,0.528,0.538,0.51,0.528,0.392,0.392,663054e6f3c173cc,663054e6f3c173cc,True,True
100,6,lichen_bridge,Rin,repeat_local_phrase,0.57,0.572,0.492,0.498,0.382,0.382,3c9bdb897cd98825,3c9bdb897cd98825,True,True
101,6,orchid_engine,Eli,offer_trade_good,0.614,0.616,0.516,0.534,0.32,0.32,70427c9a7e65d0ea,70427c9a7e65d0ea,True,True
102,6,moss_ward,Ari,touch_restricted_object,0.58,0.562,0.522,0.516,0.386,0.386,d9665b6435e55524,d9665b6435e55524,True,True
103,6,glass_harbor,Oren,step_back,0.584,0.594,0.498,0.504,0.372,0.372,34b1c53cc5f7a9a8,34b1c53cc5f7a9a8,True,True
104,6,cinder_garden,Vale,ask_custom_reason,0.608,0.618,0.516,0.534,0.308,0.308,663054e6f3c173cc,663054e6f3c173cc,True,True
105,6,lichen_bridge,Sol,interrupt_protocol,0.612,0.602,0.528,0.522,0.348,0.348,3c9bdb897cd98825,3c9bdb897cd98825,True,True
106,6,orchid_engine,Bea,wait_for_resident_lead,0.546,0.548,0.51,0.516,0.39,0.39,70427c9a7e65d0ea,70427c9a7e65d0ea,True,True
107,6,moss_ward,Fay,observe_before_speaking,0.606,0.616,0.51,0.516,0.336,0.336,d9665b6435e55524,d9665b6435e55524,True,True
108,7,cinder_garden,Juno,offer_trade_good,0.64,0.642,0.54,0.558,0.29,0.29,e4596e7a4ddd0c2d,e4596e7a4ddd0c2d,True,True
109,7,lichen_bridge,Luma,touch_restricted_object,0.598,0.58,0.528,0.522,0.382,0.382,b08d368521d4cb86,b08d368521d4cb86,True,True
110,7,orchid_engine,Dax,step_back,0.58,0.59,0.522,0.528,0.354,0.354,f9c56491d32ce8ce,f9c56491d32ce8ce,True,True
111,7,moss_ward,Tala,ask_custom_reason,0.606,0.616,0.51,0.528,0.338,0.338,73cda779396de6d6,73cda779396de6d6,True,True
112,7,glass_harbor,Nia,interrupt_protocol,0.65,0.64,0.54,0.534,0.326,0.326,9cc4ca73fb86df56,9cc4ca73fb86df56,True,True
113,7,cinder_garden,Pax,wait_for_resident_lead,0.548,0.55,0.528,0.534,0.382,0.382,e4596e7a4ddd0c2d,e4596e7a4ddd0c2d,True,True
114,7,lichen_bridge,Rin,observe_before_speaking,0.582,0.592,0.498,0.504,0.364,0.364,b08d368521d4cb86,b08d368521d4cb86,True,True
115,7,orchid_engine,Eli,offer_greeting,0.622,0.624,0.534,0.54,0.316,0.316,f9c56491d32ce8ce,f9c56491d32ce8ce,True,True
116,7,moss_ward,Ari,ask_translation,0.568,0.578,0.516,0.534,0.374,0.374,73cda779396de6d6,73cda779396de6d6,True,True
117,7,glass_harbor,Oren,repeat_local_phrase,0.6,0.602,0.504,0.51,0.368,0.368,9cc4ca73fb86df56,9cc4ca73fb86df56,True,True
118,7,cinder_garden,Vale,offer_trade_good,0.62,0.622,0.534,0.552,0.308,0.308,e4596e7a4ddd0c2d,e4596e7a4ddd0c2d,True,True
119,7,lichen_bridge,Sol,touch_restricted_object,0.59,0.572,0.522,0.516,0.386,0.386,b08d368521d4cb86,b08d368521d4cb86,True,True
120,7,orchid_engine,Bea,step_back,0.558,0.568,0.516,0.522,0.372,0.372,f9c56491d32ce8ce,f9c56491d32ce8ce,True,True
121,7,moss_ward,Fay,ask_custom_reason,0.618,0.628,0.516,0.534,0.328,0.328,73cda779396de6d6,73cda779396de6d6,True,True
122,7,glass_harbor,Puck,interrupt_protocol,0.622,0.612,0.528,0.522,0.348,0.348,9cc4ca73fb86df56,9cc4ca73fb86df56,True,True
123,7,cinder_garden,Wren,wait_for_resident_lead,0.52,0.522,0.492,0.498,0.402,0.402,e4596e7a4ddd0c2d,e4596e7a4ddd0c2d,True,True
124,7,lichen_bridge,Kio,observe_before_speaking,0.594,0.604,0.504,0.51,0.354,0.354,b08d368521d4cb86,b08d368521d4cb86,True,True
125,7,orchid_engine,Cai,offer_greeting,0.642,0.644,0.54,0.546,0.298,0.298,f9c56491d32ce8ce,f9c56491d32ce8ce,True,True
126,8,glass_harbor,Nia,touch_restricted_object,0.628,0.61,0.534,0.528,0.364,0.364,83bab7194bca192a,83bab7194bca192a,True,True
127,8,cinder_garden,Pax,step_back,0.56,0.57,0.534,0.54,0.364,0.364,b53f3b196ae0535f,b53f3b196ae0535f,True,True
128,8,lichen_bridge,Rin,ask_custom_reason,0.594,0.604,0.504,0.522,0.356,0.356,476f6d1b9989b876,476f6d1b9989b876,True,True
129,8,orchid_engine,Eli,interrupt_protocol,0.612,0.602,0.54,0.534,0.334,0.334,197c35a118d79546,197c35a118d79546,True,True
130,8,moss_ward,Ari,wait_for_resident_lead,0.588,0.59,0.534,0.54,0.364,0.364,e9a6ba23fd21db8a,e9a6ba23fd21db8a,True,True
131,8,glass_harbor,Oren,observe_before_speaking,0.612,0.622,0.51,0.516,0.35,0.35,83bab7194bca192a,83bab7194bca192a,True,True
132,8,cinder_garden,Vale,offer_greeting,0.628,0.63,0.552,0.558,0.304,0.304,b53f3b196ae0535f,b53f3b196ae0535f,True,True
133,8,lichen_bridge,Sol,ask_translation,0.578,0.588,0.516,0.534,0.374,0.374,476f6d1b9989b876,476f6d1b9989b876,True,True
134,8,orchid_engine,Bea,repeat_local_phrase,0.574,0.576,0.522,0.528,0.368,0.368,197c35a118d79546,197c35a118d79546,True,True
135,8,moss_ward,Fay,offer_trade_good,0.63,0.632,0.534,0.552,0.328,0.328,e9a6ba23fd21db8a,e9a6ba23fd21db8a,True,True
136,8,glass_harbor,Puck,touch_restricted_object,0.6,0.582,0.522,0.516,0.386,0.386,83bab7194bca192a,83bab7194bca192a,True,True
137,8,cinder_garden,Wren,step_back,0.532,0.542,0.498,0.504,0.384,0.384,b53f3b196ae0535f,b53f3b196ae0535f,True,True
138,8,lichen_bridge,Kio,ask_custom_reason,0.606,0.616,0.51,0.528,0.346,0.346,476f6d1b9989b876,476f6d1b9989b876,True,True
139,8,orchid_engine,Cai,interrupt_protocol,0.632,0.622,0.546,0.54,0.316,0.316,197c35a118d79546,197c35a118d79546,True,True
140,8,moss_ward,Milo,wait_for_resident_lead,0.56,0.562,0.498,0.504,0.384,0.384,e9a6ba23fd21db8a,e9a6ba23fd21db8a,True,True
141,8,glass_harbor,Sera,observe_before_speaking,0.626,0.636,0.51,0.516,0.336,0.336,83bab7194bca192a,83bab7194bca192a,True,True
142,8,cinder_garden,Juno,offer_greeting,0.648,0.65,0.558,0.564,0.286,0.286,b53f3b196ae0535f,b53f3b196ae0535f,True,True
143,8,lichen_bridge,Luma,ask_translation,0.586,0.596,0.522,0.54,0.37,0.37,476f6d1b9989b876,476f6d1b9989b876,True,True
144,9,moss_ward,Ari,step_back,0.6,0.61,0.54,0.546,0.346,0.346,ba35707e4d5ce121,ba35707e4d5ce121,True,True
145,9,glass_harbor,Oren,ask_custom_reason,0.624,0.634,0.516,0.534,0.342,0.342,a2f1e7370e2b1a64,a2f1e7370e2b1a64,True,True
146,9,cinder_garden,Vale,interrupt_protocol,0.618,0.608,0.558,0.552,0.322,0.322,413f06d94142f25a,413f06d94142f25a,True,True
147,9,lichen_bridge,Sol,wait_for_resident_lead,0.598,0.6,0.534,0.54,0.364,0.364,a6c64162a5786c47,a6c64162a5786c47,True,True
148,9,orchid_engine,Bea,observe_before_speaking,0.586,0.596,0.528,0.534,0.35,0.35,23c330394ca53d9b,23c330394ca53d9b,True,True
149,9,moss_ward,Fay,offer_greeting,0.638,0.64,0.552,0.558,0.324,0.324,ba35707e4d5ce121,ba35707e4d5ce121,True,True
150,9,glass_harbor,Puck,ask_translation,0.588,0.598,0.516,0.534,0.374,0.374,a2f1e7370e2b1a64,a2f1e7370e2b1a64,True,True
151,9,cinder_garden,Wren,repeat_local_phrase,0.548,0.55,0.504,0.51,0.38,0.38,413f06d94142f25a,413f06d94142f25a,True,True
152,9,lichen_bridge,Kio,offer_trade_good,0.618,0.62,0.528,0.546,0.346,0.346,a6c64162a5786c47,a6c64162a5786c47,True,True
153,9,orchid_engine,Cai,touch_restricted_object,0.61,0.592,0.54,0.534,0.354,0.354,23c330394ca53d9b,23c330394ca53d9b,True,True
154,9,moss_ward,Milo,step_back,0.572,0.582,0.504,0.51,0.366,0.366,ba35707e4d5ce121,ba35707e4d5ce121,True,True
155,9,glass_harbor,Sera,ask_custom_reason,0.638,0.648,0.516,0.534,0.328,0.328,a2f1e7370e2b1a64,a2f1e7370e2b1a64,True,True
156,9,cinder_garden,Juno,interrupt_protocol,0.638,0.628,0.564,0.558,0.304,0.304,413f06d94142f25a,413f06d94142f25a,True,True
157,9,lichen_bridge,Luma,wait_for_resident_lead,0.606,0.608,0.54,0.546,0.36,0.36,a6c64162a5786c47,a6c64162a5786c47,True,True
158,9,orchid_engine,Dax,observe_before_speaking,0.6,0.61,0.528,0.534,0.336,0.336,23c330394ca53d9b,23c330394ca53d9b,True,True
159,9,moss_ward,Tala,offer_greeting,0.622,0.624,0.528,0.534,0.334,0.334,ba35707e4d5ce121,ba35707e4d5ce121,True,True
160,9,glass_harbor,Nia,ask_translation,0.616,0.626,0.528,0.546,0.352,0.352,a2f1e7370e2b1a64,a2f1e7370e2b1a64,True,True
161,9,cinder_garden,Pax,repeat_local_phrase,0.576,0.578,0.54,0.546,0.36,0.36,413f06d94142f25a,413f06d94142f25a,True,True
162,10,orchid_engine,Bea,ask_custom_reason,0.598,0.608,0.534,0.552,0.342,0.342,41302edf5f45ee0a,41302edf5f45ee0a,True,True
163,10,moss_ward,Fay,interrupt_protocol,0.628,0.618,0.558,0.552,0.342,0.342,1a4c4c6c4b7602df,1a4c4c6c4b7602df,True,True
164,10,glass_harbor,Puck,wait_for_resident_lead,0.608,0.61,0.534,0.54,0.364,0.364,4d6bf0e7160d624b,4d6bf0e7160d624b,True,True
165,10,cinder_garden,Wren,observe_before_speaking,0.56,0.57,0.51,0.516,0.362,0.362,3f4f645e05ab86bd,3f4f645e05ab86bd,True,True
166,10,lichen_bridge,Kio,offer_greeting,0.626,0.628,0.546,0.552,0.342,0.342,7d0b761b14664f7c,7d0b761b14664f7c,True,True
167,10,orchid_engine,Cai,ask_translation,0.598,0.608,0.534,0.552,0.342,0.342,41302edf5f45ee0a,41302edf5f45ee0a,True,True
168,10,moss_ward,Milo,repeat_local_phrase,0.588,0.59,0.51,0.516,0.362,0.362,1a4c4c6c4b7602df,1a4c4c6c4b7602df,True,True
169,10,glass_harbor,Sera,offer_trade_good,0.65,0.652,0.534,0.552,0.328,0.328,4d6bf0e7160d624b,4d6bf0e7160d624b,True,True
170,10,cinder_garden,Juno,touch_restricted_object,0.616,0.598,0.558,0.552,0.342,0.342,3f4f645e05ab86bd,3f4f645e05ab86bd,True,True
171,10,lichen_bridge,Luma,step_back,0.618,0.628,0.546,0.552,0.342,0.342,7d0b761b14664f7c,7d0b761b14664f7c,True,True
172,10,orchid_engine,Dax,ask_custom_reason,0.612,0.622,0.534,0.552,0.328,0.328,41302edf5f45ee0a,41302edf5f45ee0a,True,True
173,10,moss_ward,Tala,interrupt_protocol,0.612,0.602,0.534,0.528,0.352,0.352,1a4c4c6c4b7602df,1a4c4c6c4b7602df,True,True
174,10,glass_harbor,Nia,wait_for_resident_lead,0.636,0.638,0.546,0.552,0.342,0.342,4d6bf0e7160d624b,4d6bf0e7160d624b,True,True
175,10,cinder_garden,Pax,observe_before_speaking,0.588,0.598,0.546,0.552,0.342,0.342,3f4f645e05ab86bd,3f4f645e05ab86bd,True,True
176,10,lichen_bridge,Rin,offer_greeting,0.61,0.612,0.522,0.528,0.352,0.352,7d0b761b14664f7c,7d0b761b14664f7c,True,True
177,10,orchid_engine,Eli,ask_translation,0.608,0.618,0.534,0.552,0.322,0.322,41302edf5f45ee0a,41302edf5f45ee0a,True,True
178,10,moss_ward,Ari,repeat_local_phrase,0.616,0.618,0.546,0.552,0.342,0.342,1a4c4c6c4b7602df,1a4c4c6c4b7602df,True,True
179,10,glass_harbor,Oren,offer_trade_good,0.636,0.638,0.534,0.552,0.342,0.342,4d6bf0e7160d624b,4d6bf0e7160d624b,True,True
180,11,lichen_bridge,Kio,interrupt_protocol,0.616,0.606,0.552,0.546,0.36,0.36,e54764e5b09c3c42,e54764e5b09c3c42,True,True
181,11,orchid_engine,Cai,wait_for_resident_lead,0.618,0.62,0.552,0.558,0.332,0.332,9f85a962a1d8e8a1,9f85a962a1d8e8a1,True,True
182,11,moss_ward,Milo,observe_before_speaking,0.6,0.61,0.516,0.522,0.344,0.344,d12769d3ca692b19,d12769d3ca692b19,True,True
