tick_id,day,settlement_id,resident_id,object_id,apology_action,forgiveness_state,trust_before,trust_after,resentment_before,resentment_after,gaze_keyframes,posture_keyframes,gesture_keyframes,forgiveness_limit_visible,repair_partial_not_magic,no_forced_forgiveness
140,8,orchard,Pim,dry cord,absent,observed,0.677,0.677,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
145,9,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.677,0.679,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
148,9,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.719,0.721,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
150,9,signal,Oda,wind wrap,absent,observed,0.688,0.688,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
152,9,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.703,0.705,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
155,9,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.662,0.664,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
160,9,roofward,Sera,herb ledger,absent,observed,0.726,0.726,0.056,0.056,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
162,10,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.679,0.681,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
165,10,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.726,0.728,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
169,10,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.705,0.707,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
170,10,riverbend,Cee,binding cord,absent,observed,0.676,0.676,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
172,10,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.664,0.666,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
175,10,repair_ring,Wren,cool cloth,ask_about_debt,observed,0.699,0.699,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
179,10,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.689,0.691,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
180,11,repair_ring,Wren,cool cloth,inspect_role_board,observed,0.699,0.699,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
182,11,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.728,0.73,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
185,11,orchard,Ivo,seed satchel,ask_about_debt,observed,0.673,0.673,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
186,11,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.713,0.715,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
189,11,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.667,0.669,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
190,11,signal,Ren,oil lantern,inspect_role_board,observed,0.704,0.704,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
195,11,archive,Vell,memory tag,ask_about_debt,observed,0.675,0.675,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
196,11,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.697,0.699,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
199,12,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.738,0.74,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
200,12,archive,Vell,memory tag,inspect_role_board,observed,0.675,0.675,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
203,12,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.723,0.725,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
205,12,roofward,Bex,shade cloth,ask_about_debt,observed,0.687,0.687,0.056,0.056,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
206,12,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.677,0.679,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
210,12,riverbend,Ari,cedar plank,inspect_role_board,observed,0.67,0.67,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
213,12,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.699,0.701,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
215,12,repair_ring,Pax,copper wire,absent,observed,0.725,0.725,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
216,13,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.745,0.747,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
220,13,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.73,0.732,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
223,13,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.679,0.681,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
225,13,orchard,Pim,dry cord,absent,observed,0.69,0.69,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
230,13,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.711,0.713,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
233,13,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.685,0.687,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
235,14,signal,Oda,wind wrap,absent,observed,0.713,0.713,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
237,14,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.737,0.739,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
240,14,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.681,0.683,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
245,14,roofward,Sera,herb ledger,absent,observed,0.754,0.754,0.056,0.056,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
247,14,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.713,0.715,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
250,14,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.687,0.689,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
254,15,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.739,0.741,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
255,15,riverbend,Cee,binding cord,absent,observed,0.689,0.689,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
257,15,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.683,0.685,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
260,15,repair_ring,Wren,cool cloth,ask_about_debt,observed,0.718,0.718,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
264,15,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.721,0.723,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
265,15,orchard,Ivo,seed satchel,inspect_role_board,observed,0.682,0.682,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
267,15,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.69,0.692,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
270,16,orchard,Ivo,seed satchel,ask_about_debt,observed,0.682,0.682,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
271,16,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.749,0.751,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
274,16,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.693,0.695,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
275,16,signal,Ren,oil lantern,inspect_role_board,observed,0.718,0.718,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
280,16,archive,Vell,memory tag,ask_about_debt,observed,0.684,0.684,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
281,16,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.723,0.725,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
284,16,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.692,0.694,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
285,16,roofward,Bex,shade cloth,inspect_role_board,observed,0.7,0.7,0.056,0.056,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
288,17,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.756,0.758,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
290,17,roofward,Bex,shade cloth,ask_about_debt,observed,0.705,0.705,0.056,0.056,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
291,17,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.695,0.697,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
295,17,riverbend,Ari,cedar plank,inspect_role_board,observed,0.673,0.673,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
298,17,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.73,0.732,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
300,17,repair_ring,Pax,copper wire,absent,observed,0.764,0.764,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
301,17,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.694,0.696,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
305,17,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.7,0.702,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
308,18,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.699,0.701,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
310,18,orchard,Pim,dry cord,absent,observed,0.702,0.702,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
315,18,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.732,0.734,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
318,18,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.696,0.698,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
320,18,archive,Nia,signal spool,absent,observed,0.701,0.701,0.056,0.056,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
322,18,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.702,0.704,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
325,19,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.701,0.703,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
330,19,roofward,Sera,herb ledger,absent,observed,0.781,0.781,0.056,0.056,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
332,19,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.74,0.742,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
335,19,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.699,0.701,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
339,19,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.705,0.707,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
340,19,repair_ring,Wren,cool cloth,inspect_role_board,observed,0.73,0.73,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
342,20,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.711,0.713,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
345,20,repair_ring,Wren,cool cloth,ask_about_debt,observed,0.73,0.73,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
349,20,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.75,0.752,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
350,20,orchard,Ivo,seed satchel,inspect_role_board,observed,0.685,0.685,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
352,20,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.709,0.711,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
355,20,signal,Ren,oil lantern,ask_about_debt,observed,0.737,0.737,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
356,20,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.707,0.709,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
359,20,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.784,0.786,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
360,21,signal,Ren,oil lantern,inspect_role_board,observed,0.742,0.742,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
365,21,archive,Vell,memory tag,ask_about_debt,observed,0.697,0.697,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
366,21,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.757,0.759,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
369,21,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.711,0.713,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
370,21,roofward,Bex,shade cloth,inspect_role_board,observed,0.725,0.725,0.056,0.056,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
373,21,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.709,0.711,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
375,21,riverbend,Ari,cedar plank,ask_about_debt,observed,0.68,0.68,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
376,21,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.793,0.795,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
380,22,riverbend,Ari,cedar plank,inspect_role_board,observed,0.683,0.683,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
383,22,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.76,0.762,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
385,22,repair_ring,Pax,copper wire,absent,observed,0.784,0.784,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
386,22,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.714,0.716,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
390,22,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.711,0.713,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
393,22,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.795,0.797,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
395,22,signal,Oda,wind wrap,absent,observed,0.762,0.762,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
