tick_id,day,settlement_id,resident_id,partner_id,planned_social_task,dominant_need,need_interference,schedule_adjustment,trust_delta,completion_state,need_visible_to_resident,avatar_not_required,private_workspace_sealed
61,4,glass_harbor,Sera,Nia,tea maker with Nia at salt steps,safety,0.190089,completed at normal pace,0.003,complete,True,True,True
62,4,cinder_garden,Juno,Pax,ember tender with Pax at ash path,safety,0.130558,completed at normal pace,0.003,complete,True,True,True
63,4,lichen_bridge,Luma,Rin,rope weaver with Rin at lichen wall,temperature,0.222493,completed at normal pace,0.003,complete,True,True,True
64,4,orchid_engine,Dax,Eli,orchid keeper with Eli at sleep cot,safety,0.181453,completed at normal pace,0.003,complete,True,True,True
65,4,moss_ward,Tala,Ari,water carrier with Ari at warm hearth,wetness,0.21682,completed at normal pace,0.003,complete,True,True,True
66,4,glass_harbor,Nia,Oren,net mender with Oren at salt steps,safety,0.19174,completed at normal pace,0.003,complete,True,True,True
67,4,cinder_garden,Pax,Vale,seed sorter with Vale at ash path,safety,0.174434,completed at normal pace,0.003,complete,True,True,True
68,4,lichen_bridge,Rin,Sol,signal keeper with Sol at lichen wall,safety,0.189598,completed at normal pace,0.003,complete,True,True,True
69,4,orchid_engine,Eli,Bea,meal runner with Bea at sleep cot,safety,0.205623,completed at normal pace,0.003,complete,True,True,True
70,4,moss_ward,Ari,Fay,cook with Fay at warm hearth,wetness,0.213884,completed at normal pace,0.003,complete,True,True,True
71,4,glass_harbor,Oren,Puck,salt washer with Puck at salt steps,wetness,0.229243,completed at normal pace,0.003,complete,True,True,True
72,5,lichen_bridge,Kio,Luma,bridge caller with Luma at rope bridge,safety,0.195128,completed at normal pace,0.003,complete,True,True,True
73,5,orchid_engine,Cai,Dax,gear washer with Dax at orchid bay,safety,0.228007,completed at normal pace,0.003,complete,True,True,True
74,5,moss_ward,Milo,Tala,blanket keeper with Tala at moss lane,wetness,0.212639,completed at normal pace,0.003,complete,True,True,True
75,5,glass_harbor,Sera,Nia,tea maker with Nia at steam alcove,safety,0.215144,completed at normal pace,0.003,complete,True,True,True
76,5,cinder_garden,Juno,Pax,ember tender with Pax at cool basin,safety,0.139642,completed at normal pace,0.003,complete,True,True,True
77,5,lichen_bridge,Luma,Rin,rope weaver with Rin at rope bridge,wetness,0.260183,completed at normal pace,0.003,complete,True,True,True
78,5,orchid_engine,Dax,Eli,orchid keeper with Eli at orchid bay,safety,0.177915,completed at normal pace,0.003,complete,True,True,True
79,5,moss_ward,Tala,Ari,water carrier with Ari at moss lane,wetness,0.224802,completed at normal pace,0.003,complete,True,True,True
80,5,glass_harbor,Nia,Oren,net mender with Oren at steam alcove,wetness,0.198445,completed at normal pace,0.003,complete,True,True,True
81,5,cinder_garden,Pax,Vale,seed sorter with Vale at cool basin,safety,0.184308,completed at normal pace,0.003,complete,True,True,True
82,5,lichen_bridge,Rin,Sol,signal keeper with Sol at rope bridge,wetness,0.218502,completed at normal pace,0.003,complete,True,True,True
83,5,orchid_engine,Eli,Bea,meal runner with Bea at orchid bay,safety,0.203661,completed at normal pace,0.003,complete,True,True,True
84,5,moss_ward,Ari,Fay,cook with Fay at moss lane,wetness,0.205528,completed at normal pace,0.003,complete,True,True,True
85,5,glass_harbor,Oren,Puck,salt washer with Puck at steam alcove,wetness,0.25745,completed at normal pace,0.003,complete,True,True,True
86,5,cinder_garden,Vale,Wren,ash sweeper with Wren at cool basin,temperature,0.161641,completed at normal pace,0.003,complete,True,True,True
87,5,lichen_bridge,Sol,Kio,meal marker with Kio at rope bridge,wetness,0.242376,completed at normal pace,0.003,complete,True,True,True
88,5,orchid_engine,Bea,Cai,valve listener with Cai at orchid bay,safety,0.160128,completed at normal pace,0.003,complete,True,True,True
89,5,moss_ward,Fay,Milo,path watcher with Milo at moss lane,wetness,0.275876,completed at normal pace,0.003,complete,True,True,True
90,6,cinder_garden,Juno,Pax,ember tender with Pax at seed shelf,safety,0.149502,completed at normal pace,0.003,complete,True,True,True
91,6,lichen_bridge,Luma,Rin,rope weaver with Rin at meal room,wetness,0.290554,completed at normal pace,0.003,complete,True,True,True
92,6,orchid_engine,Dax,Eli,orchid keeper with Eli at meal shelf,safety,0.196942,completed at normal pace,0.003,complete,True,True,True
93,6,moss_ward,Tala,Ari,water carrier with Ari at tool nook,wetness,0.251811,completed at normal pace,0.003,complete,True,True,True
94,6,glass_harbor,Nia,Oren,net mender with Oren at lamp pier,wetness,0.238586,completed at normal pace,0.003,complete,True,True,True
95,6,cinder_garden,Pax,Vale,seed sorter with Vale at seed shelf,safety,0.185957,completed at normal pace,0.003,complete,True,True,True
96,6,lichen_bridge,Rin,Sol,signal keeper with Sol at meal room,wetness,0.253963,completed at normal pace,0.003,complete,True,True,True
97,6,orchid_engine,Eli,Bea,meal runner with Bea at meal shelf,safety,0.239692,completed at normal pace,0.003,complete,True,True,True
98,6,moss_ward,Ari,Fay,cook with Fay at tool nook,wetness,0.211609,completed at normal pace,0.003,complete,True,True,True
99,6,glass_harbor,Oren,Puck,salt washer with Puck at lamp pier,wetness,0.309204,completed at normal pace,0.003,complete,True,True,True
100,6,cinder_garden,Vale,Wren,ash sweeper with Wren at seed shelf,temperature,0.173582,completed at normal pace,0.003,complete,True,True,True
101,6,lichen_bridge,Sol,Kio,meal marker with Kio at meal room,wetness,0.269568,completed at normal pace,0.003,complete,True,True,True
102,6,orchid_engine,Bea,Cai,valve listener with Cai at meal shelf,safety,0.172648,completed at normal pace,0.003,complete,True,True,True
103,6,moss_ward,Fay,Milo,path watcher with Milo at tool nook,wetness,0.304492,completed at normal pace,0.003,complete,True,True,True
104,6,glass_harbor,Puck,Sera,lamp guard with Sera at lamp pier,wetness,0.25346,completed at normal pace,0.003,complete,True,True,True
105,6,cinder_garden,Wren,Juno,shade caller with Juno at seed shelf,safety,0.173994,completed at normal pace,0.003,complete,True,True,True
106,6,lichen_bridge,Kio,Luma,bridge caller with Luma at meal room,wetness,0.226153,completed at normal pace,0.003,complete,True,True,True
107,6,orchid_engine,Cai,Dax,gear washer with Dax at meal shelf,wetness,0.261954,completed at normal pace,0.003,complete,True,True,True
108,7,glass_harbor,Nia,Oren,net mender with Oren at net room,wetness,0.233279,completed at normal pace,0.003,complete,True,True,True
109,7,cinder_garden,Pax,Vale,seed sorter with Vale at shade tent,safety,0.197437,completed at normal pace,0.003,complete,True,True,True
110,7,lichen_bridge,Rin,Sol,signal keeper with Sol at rest alcove,wetness,0.242462,completed at normal pace,0.003,complete,True,True,True
111,7,orchid_engine,Eli,Bea,meal runner with Bea at engine ring,wetness,0.277448,completed at normal pace,0.003,complete,True,True,True
112,7,moss_ward,Ari,Fay,cook with Fay at rain gate,wetness,0.235678,completed at normal pace,0.003,complete,True,True,True
113,7,glass_harbor,Oren,Puck,salt washer with Puck at net room,wetness,0.316437,completed at normal pace,0.003,complete,True,True,True
114,7,cinder_garden,Vale,Wren,ash sweeper with Wren at shade tent,temperature,0.186007,completed at normal pace,0.003,complete,True,True,True
115,7,lichen_bridge,Sol,Kio,meal marker with Kio at rest alcove,wetness,0.280574,completed at normal pace,0.003,complete,True,True,True
116,7,orchid_engine,Bea,Cai,valve listener with Cai at engine ring,wetness,0.202638,completed at normal pace,0.003,complete,True,True,True
117,7,moss_ward,Fay,Milo,path watcher with Milo at rain gate,wetness,0.344113,completed at normal pace,0.003,complete,True,True,True
118,7,glass_harbor,Puck,Sera,lamp guard with Sera at net room,wetness,0.258934,completed at normal pace,0.003,complete,True,True,True
119,7,cinder_garden,Wren,Juno,shade caller with Juno at shade tent,safety,0.178017,completed at normal pace,0.003,complete,True,True,True
120,7,lichen_bridge,Kio,Luma,bridge caller with Luma at rest alcove,wetness,0.213636,completed at normal pace,0.003,complete,True,True,True
121,7,orchid_engine,Cai,Dax,gear washer with Dax at engine ring,wetness,0.305812,completed at normal pace,0.003,complete,True,True,True
122,7,moss_ward,Milo,Tala,blanket keeper with Tala at rain gate,wetness,0.261495,completed at normal pace,0.003,complete,True,True,True
123,7,glass_harbor,Sera,Nia,tea maker with Nia at net room,temperature,0.233968,completed at normal pace,0.003,complete,True,True,True
124,7,cinder_garden,Juno,Pax,ember tender with Pax at shade tent,temperature,0.142576,completed at normal pace,0.003,complete,True,True,True
125,7,lichen_bridge,Luma,Rin,rope weaver with Rin at rest alcove,wetness,0.303868,completed at normal pace,0.003,complete,True,True,True
126,8,moss_ward,Ari,Fay,cook with Fay at dry loft,wetness,0.234548,completed at normal pace,0.003,complete,True,True,True
127,8,glass_harbor,Oren,Puck,salt washer with Puck at quiet bunk,wetness,0.340734,completed at normal pace,0.003,complete,True,True,True
128,8,cinder_garden,Vale,Wren,ash sweeper with Wren at ember bed,temperature,0.189172,completed at normal pace,0.003,complete,True,True,True
129,8,lichen_bridge,Sol,Kio,meal marker with Kio at signal post,wetness,0.28905,completed at normal pace,0.003,complete,True,True,True
130,8,orchid_engine,Bea,Cai,valve listener with Cai at gear wash,wetness,0.216806,completed at normal pace,0.003,complete,True,True,True
131,8,moss_ward,Fay,Milo,path watcher with Milo at dry loft,wetness,0.342711,completed at normal pace,0.003,complete,True,True,True
132,8,glass_harbor,Puck,Sera,lamp guard with Sera at quiet bunk,wetness,0.286819,completed at normal pace,0.003,complete,True,True,True
133,8,cinder_garden,Wren,Juno,shade caller with Juno at ember bed,safety,0.192192,completed at normal pace,0.003,complete,True,True,True
134,8,lichen_bridge,Kio,Luma,bridge caller with Luma at signal post,wetness,0.210435,completed at normal pace,0.003,complete,True,True,True
135,8,orchid_engine,Cai,Dax,gear washer with Dax at gear wash,wetness,0.321539,completed at normal pace,0.003,complete,True,True,True
136,8,moss_ward,Milo,Tala,blanket keeper with Tala at dry loft,wetness,0.260289,completed at normal pace,0.003,complete,True,True,True
137,8,glass_harbor,Sera,Nia,tea maker with Nia at quiet bunk,temperature,0.252924,completed at normal pace,0.003,complete,True,True,True
138,8,cinder_garden,Juno,Pax,ember tender with Pax at ember bed,temperature,0.1514,completed at normal pace,0.003,complete,True,True,True
139,8,lichen_bridge,Luma,Rin,rope weaver with Rin at signal post,wetness,0.310126,completed at normal pace,0.003,complete,True,True,True
140,8,orchid_engine,Dax,Eli,orchid keeper with Eli at gear wash,safety,0.215898,completed at normal pace,0.003,complete,True,True,True
141,8,moss_ward,Tala,Ari,water carrier with Ari at dry loft,wetness,0.263604,completed at normal pace,0.003,complete,True,True,True
142,8,glass_harbor,Nia,Oren,net mender with Oren at quiet bunk,wetness,0.244516,completed at normal pace,0.003,complete,True,True,True
143,8,cinder_garden,Pax,Vale,seed sorter with Vale at ember bed,safety,0.209419,completed at normal pace,0.003,complete,True,True,True
144,9,orchid_engine,Bea,Cai,valve listener with Cai at sleep cot,safety,0.203257,completed at normal pace,0.003,complete,True,True,True
145,9,moss_ward,Fay,Milo,path watcher with Milo at warm hearth,wetness,0.360878,completed at normal pace,0.003,complete,True,True,True
146,9,glass_harbor,Puck,Sera,lamp guard with Sera at salt steps,wetness,0.265706,completed at normal pace,0.003,complete,True,True,True
147,9,cinder_garden,Wren,Juno,shade caller with Juno at ash path,safety,0.207786,completed at normal pace,0.003,complete,True,True,True
148,9,lichen_bridge,Kio,Luma,bridge caller with Luma at lichen wall,wetness,0.2238,completed at normal pace,0.003,complete,True,True,True
149,9,orchid_engine,Cai,Dax,gear washer with Dax at sleep cot,wetness,0.312582,completed at normal pace,0.003,complete,True,True,True
150,9,moss_ward,Milo,Tala,blanket keeper with Tala at warm hearth,wetness,0.289519,completed at normal pace,0.003,complete,True,True,True
151,9,glass_harbor,Sera,Nia,tea maker with Nia at salt steps,temperature,0.261594,completed at normal pace,0.003,complete,True,True,True
152,9,cinder_garden,Juno,Pax,ember tender with Pax at ash path,safety,0.153378,completed at normal pace,0.003,complete,True,True,True
153,9,lichen_bridge,Luma,Rin,rope weaver with Rin at lichen wall,wetness,0.342456,completed at normal pace,0.003,complete,True,True,True
154,9,orchid_engine,Dax,Eli,orchid keeper with Eli at sleep cot,safety,0.215336,completed at normal pace,0.003,complete,True,True,True
155,9,moss_ward,Tala,Ari,water carrier with Ari at warm hearth,wetness,0.304225,completed at normal pace,0.003,complete,True,True,True
156,9,glass_harbor,Nia,Oren,net mender with Oren at salt steps,wetness,0.236767,completed at normal pace,0.003,complete,True,True,True
157,9,cinder_garden,Pax,Vale,seed sorter with Vale at ash path,safety,0.223128,completed at normal pace,0.003,complete,True,True,True
158,9,lichen_bridge,Rin,Sol,signal keeper with Sol at lichen wall,wetness,0.263327,completed at normal pace,0.003,complete,True,True,True
159,9,orchid_engine,Eli,Bea,meal runner with Bea at sleep cot,safety,0.271109,completed at normal pace,0.003,complete,True,True,True
160,9,moss_ward,Ari,Fay,cook with Fay at warm hearth,wetness,0.262376,completed at normal pace,0.003,complete,True,True,True
161,9,glass_harbor,Oren,Puck,salt washer with Puck at salt steps,wetness,0.350688,completed at normal pace,0.003,complete,True,True,True
162,10,lichen_bridge,Kio,Luma,bridge caller with Luma at rope bridge,wetness,0.254369,completed at normal pace,0.003,complete,True,True,True
163,10,orchid_engine,Cai,Dax,gear washer with Dax at orchid bay,wetness,0.318943,completed at normal pace,0.003,complete,True,True,True
164,10,moss_ward,Milo,Tala,blanket keeper with Tala at moss lane,wetness,0.282135,completed at normal pace,0.003,complete,True,True,True
165,10,glass_harbor,Sera,Nia,tea maker with Nia at steam alcove,wetness,0.287964,completed at normal pace,0.003,complete,True,True,True
166,10,cinder_garden,Juno,Pax,ember tender with Pax at cool basin,safety,0.16318,completed at normal pace,0.003,complete,True,True,True
167,10,lichen_bridge,Luma,Rin,rope weaver with Rin at rope bridge,wetness,0.37255,completed at normal pace,0.003,complete,True,True,True
168,10,orchid_engine,Dax,Eli,orchid keeper with Eli at orchid bay,safety,0.221717,completed at normal pace,0.003,complete,True,True,True
169,10,moss_ward,Tala,Ari,water carrier with Ari at moss lane,wetness,0.313649,completed at normal pace,0.003,complete,True,True,True
170,10,glass_harbor,Nia,Oren,net mender with Oren at steam alcove,wetness,0.254565,completed at normal pace,0.003,complete,True,True,True
171,10,cinder_garden,Pax,Vale,seed sorter with Vale at cool basin,safety,0.233797,completed at normal pace,0.003,complete,True,True,True
172,10,lichen_bridge,Rin,Sol,signal keeper with Sol at rope bridge,wetness,0.300276,completed at normal pace,0.003,complete,True,True,True
173,10,orchid_engine,Eli,Bea,meal runner with Bea at orchid bay,temperature,0.270422,completed at normal pace,0.003,complete,True,True,True
174,10,moss_ward,Ari,Fay,cook with Fay at moss lane,wetness,0.256144,completed at normal pace,0.003,complete,True,True,True
175,10,glass_harbor,Oren,Puck,salt washer with Puck at steam alcove,wetness,0.374917,completed at normal pace,0.003,complete,True,True,True
176,10,cinder_garden,Vale,Wren,ash sweeper with Wren at cool basin,temperature,0.191242,completed at normal pace,0.003,complete,True,True,True
177,10,lichen_bridge,Sol,Kio,meal marker with Kio at rope bridge,wetness,0.334699,completed at normal pace,0.003,complete,True,True,True
178,10,orchid_engine,Bea,Cai,valve listener with Cai at orchid bay,safety,0.188441,completed at normal pace,0.003,complete,True,True,True
179,10,moss_ward,Fay,Milo,path watcher with Milo at moss lane,wetness,0.368404,completed at normal pace,0.003,complete,True,True,True
180,11,cinder_garden,Juno,Pax,ember tender with Pax at seed shelf,temperature,0.160834,completed at normal pace,0.003,complete,True,True,True
181,11,lichen_bridge,Luma,Rin,rope weaver with Rin at meal room,wetness,0.386522,completed at normal pace,0.003,complete,True,True,True
182,11,orchid_engine,Dax,Eli,orchid keeper with Eli at meal shelf,safety,0.230651,completed at normal pace,0.003,complete,True,True,True
183,11,moss_ward,Tala,Ari,water carrier with Ari at tool nook,wetness,0.342505,completed at normal pace,0.003,complete,True,True,True
184,11,glass_harbor,Nia,Oren,net mender with Oren at lamp pier,wetness,0.259013,completed at normal pace,0.003,complete,True,True,True
185,11,cinder_garden,Pax,Vale,seed sorter with Vale at seed shelf,safety,0.236545,completed at normal pace,0.003,complete,True,True,True
186,11,lichen_bridge,Rin,Sol,signal keeper with Sol at meal room,wetness,0.302347,completed at normal pace,0.003,complete,True,True,True
187,11,orchid_engine,Eli,Bea,meal runner with Bea at meal shelf,wetness,0.306192,completed at normal pace,0.003,complete,True,True,True
188,11,moss_ward,Ari,Fay,cook with Fay at tool nook,wetness,0.254887,completed at normal pace,0.003,complete,True,True,True
189,11,glass_harbor,Oren,Puck,salt washer with Puck at lamp pier,wetness,0.388529,completed at normal pace,0.003,complete,True,True,True
190,11,cinder_garden,Vale,Wren,ash sweeper with Wren at seed shelf,temperature,0.204786,completed at normal pace,0.003,complete,True,True,True
191,11,lichen_bridge,Sol,Kio,meal marker with Kio at meal room,wetness,0.3618,completed at normal pace,0.003,complete,True,True,True
192,11,orchid_engine,Bea,Cai,valve listener with Cai at meal shelf,wetness,0.214275,completed at normal pace,0.003,complete,True,True,True
193,11,moss_ward,Fay,Milo,path watcher with Milo at tool nook,wetness,0.388776,completed at normal pace,0.003,complete,True,True,True
194,11,glass_harbor,Puck,Sera,lamp guard with Sera at lamp pier,wetness,0.289884,completed at normal pace,0.003,complete,True,True,True
195,11,cinder_garden,Wren,Juno,shade caller with Juno at seed shelf,safety,0.2106,completed at normal pace,0.003,complete,True,True,True
196,11,lichen_bridge,Kio,Luma,bridge caller with Luma at meal room,wetness,0.258801,completed at normal pace,0.003,complete,True,True,True
197,11,orchid_engine,Cai,Dax,gear washer with Dax at meal shelf,wetness,0.352301,completed at normal pace,0.003,complete,True,True,True
198,12,glass_harbor,Nia,Oren,net mender with Oren at net room,wetness,0.26342,completed at normal pace,0.003,complete,True,True,True
199,12,cinder_garden,Pax,Vale,seed sorter with Vale at shade tent,safety,0.249288,completed at normal pace,0.003,complete,True,True,True
200,12,lichen_bridge,Rin,Sol,signal keeper with Sol at rest alcove,wetness,0.295984,completed at normal pace,0.003,complete,True,True,True
201,12,orchid_engine,Eli,Bea,meal runner with Bea at engine ring,wetness,0.34601,completed at normal pace,0.003,complete,True,True,True
202,12,moss_ward,Ari,Fay,cook with Fay at rain gate,wetness,0.26114,completed at normal pace,0.003,complete,True,True,True
203,12,glass_harbor,Oren,Puck,salt washer with Puck at net room,wetness,0.393084,completed at normal pace,0.003,complete,True,True,True
204,12,cinder_garden,Vale,Wren,ash sweeper with Wren at shade tent,temperature,0.218278,completed at normal pace,0.003,complete,True,True,True
205,12,lichen_bridge,Sol,Kio,meal marker with Kio at rest alcove,wetness,0.373955,completed at normal pace,0.003,complete,True,True,True
206,12,orchid_engine,Bea,Cai,valve listener with Cai at engine ring,wetness,0.247243,completed at normal pace,0.003,complete,True,True,True
207,12,moss_ward,Fay,Milo,path watcher with Milo at rain gate,wetness,0.40269,completed at normal pace,0.003,complete,True,True,True
208,12,glass_harbor,Puck,Sera,lamp guard with Sera at net room,wetness,0.305419,completed at normal pace,0.003,complete,True,True,True
209,12,cinder_garden,Wren,Juno,shade caller with Juno at shade tent,safety,0.216175,completed at normal pace,0.003,complete,True,True,True
210,12,lichen_bridge,Kio,Luma,bridge caller with Luma at rest alcove,wetness,0.265857,completed at normal pace,0.003,complete,True,True,True
211,12,orchid_engine,Cai,Dax,gear washer with Dax at engine ring,wetness,0.395077,completed at normal pace,0.003,complete,True,True,True
212,12,moss_ward,Milo,Tala,blanket keeper with Tala at rain gate,wetness,0.291453,completed at normal pace,0.003,complete,True,True,True
213,12,glass_harbor,Sera,Nia,tea maker with Nia at net room,wetness,0.308047,completed at normal pace,0.003,complete,True,True,True
214,12,cinder_garden,Juno,Pax,ember tender with Pax at shade tent,temperature,0.159716,completed at normal pace,0.003,complete,True,True,True
215,12,lichen_bridge,Luma,Rin,rope weaver with Rin at rest alcove,wetness,0.396214,completed at normal pace,0.003,complete,True,True,True
216,13,moss_ward,Ari,Fay,cook with Fay at dry loft,wetness,0.25596,completed at normal pace,0.003,complete,True,True,True
217,13,glass_harbor,Oren,Puck,salt washer with Puck at quiet bunk,wetness,0.40766,completed at normal pace,0.003,complete,True,True,True
