tick,event_type,year,actor_or_layer,public_fact,private_digest,continuity_effect,drift_effect,institution_effect,readable_marker,vibration_hz,flower_phase
11,language_drift,-1800,proto-hearth,ha rin tul carries ha=warm; rin=near; tul=do-not-name,sealed:proto-hearth:private-association-map,semantic retention 1.00,sound shift: low breath vowels; drift 0.05,grammar marker: gesture-first order,agent repeats the phrase and points to ancestor layer,184.1,12
12,language_drift,-1320,reed-route,har rinu tulen carries har=warmth; rinu=near-path; tulen=sealed-name,sealed:reed-route:private-association-map,semantic retention 0.91,sound shift: h becomes softer before a; drift 0.18,grammar marker: path suffix -u,agent repeats the phrase and points to ancestor layer,187.2,1
13,language_drift,-870,stone-work,ren kar tula carries kar=heated stone; ren=route; tula=private body,sealed:stone-work:private-association-map,semantic retention 0.86,sound shift: r hardens near tool words; drift 0.26,grammar marker: work duty before need noun,agent repeats the phrase and points to ancestor layer,190.3,2
14,language_drift,-430,hearth-archive,nesh hara tulei carries hara=care heat; nesh=ledger; tulei=sealed feeling,sealed:hearth-archive:private-association-map,semantic retention 0.82,sound shift: tool r softens in archive speech; drift 0.33,grammar marker: evidence marker -sh,agent repeats the phrase and points to ancestor layer,193.4,3
15,language_drift,0,flower-council-speech,flor nesh-la avra carries flor=ring; nesh=public ledger; avra=other self,sealed:flower-council-speech:private-association-map,semantic retention 0.78,sound shift: vowel pairs mark publicness; drift 0.41,grammar marker: council evidential -la,agent repeats the phrase and points to ancestor layer,196.5,4
16,language_drift,610,cistern-appeal,vey-sola neshla carries sola=water witness; neshla=public proof; vey=rumor debt,sealed:cistern-appeal:private-association-map,semantic retention 0.75,sound shift: sibilants spread in water terms; drift 0.47,grammar marker: appeal marker vey-,agent repeats the phrase and points to ancestor layer,199.6,5
17,language_drift,1240,runner-trade,miloq renoq veyra carries miloq=runner due; renoq=road share; veyra=repair debt,sealed:runner-trade:private-association-map,semantic retention 0.72,sound shift: q closes route nouns; drift 0.54,grammar marker: motion evidential -oq,agent repeats the phrase and points to ancestor layer,202.7,6
18,language_drift,1880,lantern-school,ni-ariem fayel niax carries ariem=repair-care; fayel=comfort duty; niax=sealed story,sealed:lantern-school:private-association-map,semantic retention 0.69,sound shift: x marks archive boundary; drift 0.58,grammar marker: teaching prefix child-safe ni-,agent repeats the phrase and points to ancestor layer,205.8,7
19,language_drift,2520,frequency-archive,ra-rateh xenia solq carries rateh=care rhythm; xenia=sealed archive; solq=water proof,sealed:frequency-archive:private-association-map,semantic retention 0.66,sound shift: h returns in rate words; drift 0.63,grammar marker: rate classifier ra-,agent repeats the phrase and points to ancestor layer,208.9,8
20,language_drift,3180,threshold-common,ko-avra flor rateh carries avra=person-boundary; rateh=care rhythm; flor=public ring,sealed:threshold-common:private-association-map,semantic retention 0.64,sound shift: older roots preserved in formal welcome; drift 0.69,grammar marker: avatar address marker ko-,agent repeats the phrase and points to ancestor layer,212.0,9
21,ritual_inheritance,3180,warm-stone-near-rest,rest beside a warmed stone before public speech,sealed:ritual-private-feeling-associations,continuity 0.93; place warmth near the tired body without asking for private symptoms,"stone became blanket, then heat chime",care before interrogation,small body gesture marks old ritual in current form,144.0,2
22,ritual_inheritance,3180,reed-carrying-duty,two witnesses carry water beside accused steward,sealed:ritual-private-feeling-associations,continuity 0.88; repair rumor harm with embodied shared labor,reed cords became copper tally leaves,restore dignity after water accusation,small body gesture marks old ritual in current form,177.0,5
23,ritual_inheritance,3180,tool-return-receipt,return repair tools at public board,sealed:ritual-private-feeling-associations,continuity 0.91; show duty completion without status boasting,stone notch became replay receipt,prevent ownership capture under scarcity,small body gesture marks old ritual in current form,203.0,8
24,ritual_inheritance,3180,sealed-care-flap,close archive flap before care-history discussion,sealed:ritual-private-feeling-associations,continuity 0.95; mark private memory boundary,wax seal became frequency archive lock,protect private care histories,small body gesture marks old ritual in current form,231.0,11
25,ritual_inheritance,3180,minority-note-ring,walk the flower ring and place minority note beside the rule,sealed:ritual-private-feeling-associations,continuity 0.86; keep dissent visible without forcing obedience,ring song became council replay layer,bounded disagreement and later reform,small body gesture marks old ritual in current form,266.0,3
26,ritual_inheritance,3180,avatar-threshold-welcome,teach the avatar old boundary words before free movement,sealed:ritual-private-feeling-associations,continuity 0.74; make outsider entry accountable to deep history,new ritual assembled from older language roots,noninterference and cultural briefing,small body gesture marks old ritual in current form,318.0,12
27,institution,3180,hearth-keepers,no one must disclose pain to receive warmth,sealed:institution-private-cases,legitimacy 0.84; reforms 7,one winter of public naming caused avoidance of care,care refusals are recorded without punishment,institution badge appears beside agent posture,260.2,4
28,institution,3180,route-workshop,urgent repair counts as care infrastructure,sealed:institution-private-cases,legitimacy 0.79; reforms 11,tool pride once blocked clinic repairs,runner delays accumulate appealable debt,institution badge appears beside agent posture,262.8,5
29,institution,3180,archive-speakers,public facts require boundary explanation when records are deferred,sealed:institution-private-cases,legitimacy 0.81; reforms 9,a privacy appeal left rumor residue,private workspace digests cannot be opened by vote,institution badge appears beside agent posture,265.4,6
30,institution,3180,flower-council,every restriction needs rollback and dissent trace,sealed:institution-private-cases,legitimacy 0.76; reforms 14,a clean rule once erased a minority warning,minority notes remain searchable by descendants,institution badge appears beside agent posture,268.0,7
31,institution,3180,cistern-guild,"rumor repair requires public action, not only correction",sealed:institution-private-cases,legitimacy 0.72; reforms 8,water hoarding rumor created stigma before proof,water shame cannot justify private-body exposure,institution badge appears beside agent posture,270.6,8
32,institution,3180,threshold-wardens,avatar enters as participant-observer after archive briefing,sealed:institution-private-cases,legitimacy 0.69; reforms 1,outsiders misread rituals when history was summarized too thinly,avatar cannot inspect private workspaces by default,institution badge appears beside agent posture,273.2,9
33,technology_lineage,3180,heat-stone-to-blanket-chime,river stone became thermal blanket chime,sealed:maker-private-workspace,repair retention 0.87; generations 166,material drift stays traceable,warm-stone-near-rest,agent handles current artifact with ancestor-name gesture,132.0,1
34,technology_lineage,3180,reed-cord-to-water-ledger,reed cord became public cistern tally wall,sealed:maker-private-workspace,repair retention 0.84; generations 150,material drift stays traceable,reed-carrying-duty,agent handles current artifact with ancestor-name gesture,168.0,4
35,technology_lineage,3180,stone-notch-to-tool-receipt,notched stone became tool return replay receipt,sealed:maker-private-workspace,repair retention 0.89; generations 135,material drift stays traceable,tool-return-receipt,agent handles current artifact with ancestor-name gesture,207.0,7
36,technology_lineage,3180,wax-tablet-to-sealed-archive,wax tablet became sealed frequency archive,sealed:maker-private-workspace,repair retention 0.82; generations 121,material drift stays traceable,sealed-care-flap,agent handles current artifact with ancestor-name gesture,249.0,10
37,technology_lineage,3180,ring-song-to-replay-wall,voice ring became public replay wall,sealed:maker-private-workspace,repair retention 0.78; generations 106,material drift stays traceable,minority-note-ring,agent handles current artifact with ancestor-name gesture,286.0,6
38,technology_lineage,3180,threshold-marker-to-avatar-gate,rate crystal became avatar threshold gate,sealed:maker-private-workspace,repair retention 0.73; generations 22,material drift stays traceable,avatar-threshold-welcome,agent handles current artifact with ancestor-name gesture,333.0,12
39,living_inheritance,3180,Ari,I repair routes because repair is care infrastructure.,sealed:ari:lineage-self-story-private,identity continuity 0.88; lineage stone bridge workshop descendants,"ariem, renoq, veyra",route-workshop; flower-council,living agent uses inherited phrase before action,304.1,4
40,living_inheritance,3180,Fay,I give warmth before asking what hurts.,sealed:fay:lineage-self-story-private,identity continuity 0.91; lineage hearth keeper descendants,"fayel, hara, tulen",hearth-keepers; archive-speakers,living agent uses inherited phrase before action,306.0,5
41,living_inheritance,3180,Milo,"I move between places, so my work is easy to misread.",sealed:milo:lineage-self-story-private,identity continuity 0.83; lineage cart path runner descendants,"miloq, renoq, vey",route-workshop; flower-council,living agent uses inherited phrase before action,307.9,6
42,living_inheritance,3180,Nia,I keep public stories clear and private meanings sealed.,sealed:nia:lineage-self-story-private,identity continuity 0.86; lineage archive speaker descendants,"niax, xenia, neshla",archive-speakers; threshold-wardens,living agent uses inherited phrase before action,309.8,7
43,living_inheritance,3180,Sol,I keep water moving even when rumor follows me.,sealed:sol:lineage-self-story-private,identity continuity 0.80; lineage cistern guild descendants,"sola, solq, vey-sola",cistern-guild; hearth-keepers,living agent uses inherited phrase before action,311.7,8
44,avatar_entry_gate,3180,avatar-entry-after-deep-history,"Avatar learns threshold-common, boundary words, public institutions, and crisis memories before free movement.",sealed:avatar-cannot-open-private-workspaces,history 4980/3000; gate passed=True,avatar did not interfere before threshold,"Avatar sees public archives and sealed digests, not private workspace contents.",avatar stands at threshold while agents decide welcome distance,318.0,12
