tick,day,conflict_id,remembering_agent,remembered_decision,days_since_decision,memory_weight,gratitude_delta,resentment_delta,trust_delta,memory_reused_in_choice,sealed_private_workspace
29,3,v16-conflict-d01-t11,Ori,protect_boundary,2,0.916,0.16,0.0,0.185,1,1
30,3,v16-conflict-d02-t00,Nari,defer_until_rest,1,0.966,0.055,0.135,-0.055,0,1
31,3,v16-conflict-d02-t01,Sova,rotate_priority,1,0.938,0.055,0.135,-0.055,1,1
32,3,v16-conflict-d02-t02,Vonn,ask_public_reason,1,0.938,0.055,0.015,0.065,1,1
33,3,v16-conflict-d02-t03,Melo,rotate_priority,1,0.966,0.055,0.135,-0.055,1,1
34,3,v16-conflict-d02-t04,Keth,protect_boundary,1,0.938,0.185,0.015,0.17,1,1
35,3,v16-conflict-d02-t06,Ori,protect_boundary,1,0.938,0.185,0.015,0.195,1,1
36,4,v16-conflict-d01-t07,Ori,ask_public_reason,3,0.922,0.005,0.0,0.03,1,1
37,4,v16-conflict-d01-t08,Keth,defer_until_rest,3,0.894,0.005,0.105,-0.075,1,1
38,4,v16-conflict-d01-t09,Sova,rotate_priority,3,0.894,0.005,0.105,-0.075,1,1
39,4,v16-conflict-d01-t10,Nari,repair_first,3,0.922,0.135,0.0,0.16,1,1
40,4,v16-conflict-d01-t11,Melo,protect_boundary,3,0.894,0.135,0.0,0.135,1,1
41,4,v16-conflict-d02-t00,Vonn,defer_until_rest,2,0.916,0.03,0.12,-0.065,1,1
42,4,v16-conflict-d02-t01,Ori,rotate_priority,2,0.944,0.03,0.12,-0.065,1,1
43,4,v16-conflict-d02-t02,Keth,ask_public_reason,2,0.916,0.03,0.0,0.055,0,1
44,4,v16-conflict-d02-t03,Sova,rotate_priority,2,0.916,0.03,0.12,-0.065,1,1
45,4,v16-conflict-d02-t04,Nari,protect_boundary,2,0.944,0.16,0.0,0.185,1,1
46,4,v16-conflict-d02-t06,Melo,protect_boundary,2,0.916,0.16,0.0,0.185,1,1
47,4,v16-conflict-d02-t07,Vonn,defer_until_rest,2,0.916,0.03,0.12,-0.065,1,1
48,5,v16-conflict-d01-t08,Vonn,defer_until_rest,4,0.9,0.0,0.09,-0.065,1,1
49,5,v16-conflict-d01-t09,Melo,rotate_priority,4,0.872,0.0,0.09,-0.065,1,1
50,5,v16-conflict-d01-t10,Keth,repair_first,4,0.872,0.11,0.0,0.135,1,1
51,5,v16-conflict-d01-t11,Ori,protect_boundary,4,0.9,0.11,0.0,0.11,1,1
52,5,v16-conflict-d02-t00,Nari,defer_until_rest,3,0.894,0.005,0.105,-0.075,1,1
53,5,v16-conflict-d02-t01,Sova,rotate_priority,3,0.894,0.005,0.105,-0.075,1,1
54,5,v16-conflict-d02-t02,Vonn,ask_public_reason,3,0.922,0.005,0.0,0.03,1,1
55,5,v16-conflict-d02-t03,Melo,rotate_priority,3,0.894,0.005,0.105,-0.075,1,1
56,5,v16-conflict-d02-t04,Keth,protect_boundary,3,0.894,0.135,0.0,0.16,0,1
57,5,v16-conflict-d02-t06,Ori,protect_boundary,3,0.922,0.135,0.0,0.135,1,1
58,5,v16-conflict-d02-t07,Nari,defer_until_rest,3,0.894,0.005,0.105,-0.075,1,1
59,5,v16-conflict-d02-t08,Sova,split_access,3,0.894,0.005,0.0,0.03,1,1
60,6,v16-conflict-d01-t10,Sova,repair_first,5,0.878,0.085,0.0,0.11,1,1
61,6,v16-conflict-d01-t11,Nari,protect_boundary,5,0.85,0.085,0.0,0.11,1,1
62,6,v16-conflict-d02-t00,Melo,defer_until_rest,4,0.872,0.0,0.09,-0.065,1,1
63,6,v16-conflict-d02-t01,Vonn,rotate_priority,4,0.9,0.0,0.09,-0.065,1,1
64,6,v16-conflict-d02-t02,Ori,ask_public_reason,4,0.872,0.0,0.0,0.025,1,1
65,6,v16-conflict-d02-t03,Keth,rotate_priority,4,0.872,0.0,0.09,-0.065,1,1
66,6,v16-conflict-d02-t04,Sova,protect_boundary,4,0.9,0.11,0.0,0.135,1,1
67,6,v16-conflict-d02-t06,Nari,protect_boundary,4,0.872,0.11,0.0,0.135,1,1
68,6,v16-conflict-d02-t07,Melo,defer_until_rest,4,0.872,0.0,0.09,-0.09,1,1
69,6,v16-conflict-d02-t08,Vonn,split_access,4,0.9,0.0,0.0,0.025,0,1
70,6,v16-conflict-d02-t09,Ori,protect_boundary,4,0.872,0.11,0.0,0.135,1,1
71,6,v16-conflict-d02-t10,Keth,split_access,4,0.872,0.0,0.0,0.025,1,1
72,7,v16-conflict-d01-t11,Keth,protect_boundary,6,0.856,0.06,0.0,0.085,1,1
73,7,v16-conflict-d02-t00,Ori,defer_until_rest,5,0.85,0.0,0.075,-0.05,1,1
74,7,v16-conflict-d02-t01,Nari,rotate_priority,5,0.85,0.0,0.075,-0.075,1,1
75,7,v16-conflict-d02-t02,Sova,ask_public_reason,5,0.878,0.0,0.0,0.025,1,1
76,7,v16-conflict-d02-t03,Vonn,rotate_priority,5,0.85,0.0,0.075,-0.05,1,1
77,7,v16-conflict-d02-t04,Melo,protect_boundary,5,0.85,0.085,0.0,0.11,1,1
78,7,v16-conflict-d02-t06,Keth,protect_boundary,5,0.878,0.085,0.0,0.11,1,1
79,7,v16-conflict-d02-t07,Ori,defer_until_rest,5,0.85,0.0,0.075,-0.05,1,1
80,7,v16-conflict-d02-t08,Nari,split_access,5,0.85,0.0,0.0,0.025,1,1
81,7,v16-conflict-d02-t09,Sova,protect_boundary,5,0.878,0.085,0.0,0.11,1,1
82,7,v16-conflict-d02-t10,Vonn,split_access,5,0.85,0.0,0.0,0.025,0,1
83,7,v16-conflict-d03-t00,Melo,protect_boundary,4,0.872,0.11,0.0,0.135,1,1
84,8,v16-conflict-d02-t00,Melo,defer_until_rest,6,0.856,0.0,0.06,-0.035,1,1
85,8,v16-conflict-d02-t01,Vonn,rotate_priority,6,0.828,0.0,0.06,-0.06,1,1
86,8,v16-conflict-d02-t02,Ori,ask_public_reason,6,0.828,0.0,0.0,0.025,1,1
87,8,v16-conflict-d02-t03,Keth,rotate_priority,6,0.856,0.0,0.06,-0.035,1,1
88,8,v16-conflict-d02-t04,Sova,protect_boundary,6,0.828,0.06,0.0,0.085,1,1
89,8,v16-conflict-d02-t06,Nari,protect_boundary,6,0.828,0.06,0.0,0.085,1,1
90,8,v16-conflict-d02-t07,Melo,defer_until_rest,6,0.856,0.0,0.06,-0.035,1,1
91,8,v16-conflict-d02-t08,Vonn,split_access,6,0.828,0.0,0.0,0.0,1,1
92,8,v16-conflict-d02-t09,Ori,protect_boundary,6,0.828,0.06,0.0,0.085,1,1
93,8,v16-conflict-d02-t10,Keth,split_access,6,0.856,0.0,0.0,0.025,1,1
94,8,v16-conflict-d03-t00,Sova,protect_boundary,5,0.85,0.085,0.0,0.11,1,1
95,8,v16-conflict-d03-t01,Nari,repair_first,5,0.85,0.085,0.0,0.11,0,1
96,9,v16-conflict-d04-t01,Nari,defer_until_rest,5,0.878,0.0,0.075,-0.05,1,1
97,9,v16-conflict-d04-t02,Sova,ask_public_reason,5,0.85,0.0,0.0,0.025,1,1
98,9,v16-conflict-d04-t03,Vonn,split_access,5,0.85,0.0,0.0,0.025,1,1
99,9,v16-conflict-d04-t05,Melo,split_access,5,0.878,0.0,0.0,0.025,1,1
100,9,v16-conflict-d04-t06,Keth,repair_first,5,0.85,0.085,0.0,0.11,1,1
101,9,v16-conflict-d04-t07,Ori,defer_until_rest,5,0.85,0.0,0.075,-0.05,1,1
102,9,v16-conflict-d04-t08,Nari,defer_until_rest,5,0.878,0.0,0.075,-0.075,1,1
103,9,v16-conflict-d04-t09,Sova,ask_public_reason,5,0.85,0.0,0.0,0.025,1,1
104,9,v16-conflict-d04-t10,Vonn,protect_boundary,5,0.85,0.085,0.0,0.11,1,1
105,9,v16-conflict-d04-t11,Melo,repair_first,5,0.878,0.085,0.0,0.11,1,1
106,9,v16-conflict-d05-t00,Keth,rotate_priority,4,0.872,0.0,0.09,-0.065,1,1
107,9,v16-conflict-d05-t01,Ori,rotate_priority,4,0.872,0.0,0.09,-0.065,1,1
108,10,v16-conflict-d06-t01,Ori,rotate_priority,4,0.9,0.0,0.09,-0.09,0,1
109,10,v16-conflict-d06-t02,Keth,ask_public_reason,4,0.872,0.0,0.0,0.025,1,1
110,10,v16-conflict-d06-t03,Sova,protect_boundary,4,0.872,0.11,0.0,0.135,1,1
111,10,v16-conflict-d06-t04,Nari,protect_boundary,4,0.9,0.11,0.0,0.135,1,1
112,10,v16-conflict-d06-t05,Melo,protect_boundary,4,0.872,0.11,0.0,0.135,1,1
113,10,v16-conflict-d06-t06,Vonn,rotate_priority,4,0.872,0.0,0.09,-0.065,1,1
114,10,v16-conflict-d06-t07,Ori,repair_first,4,0.9,0.11,0.0,0.135,1,1
115,10,v16-conflict-d06-t09,Keth,split_access,4,0.872,0.0,0.0,0.025,1,1
116,10,v16-conflict-d06-t10,Sova,protect_boundary,4,0.872,0.11,0.0,0.135,1,1
117,10,v16-conflict-d06-t11,Nari,repair_first,4,0.9,0.11,0.0,0.135,1,1
118,10,v16-conflict-d07-t00,Melo,split_access,3,0.894,0.005,0.0,0.03,1,1
119,10,v16-conflict-d07-t01,Vonn,protect_boundary,3,0.894,0.135,0.0,0.135,1,1
120,11,v16-conflict-d08-t04,Vonn,repair_first,3,0.922,0.135,0.0,0.16,1,1
121,11,v16-conflict-d08-t05,Melo,rotate_priority,3,0.894,0.005,0.105,-0.075,0,1
122,11,v16-conflict-d08-t06,Keth,protect_boundary,3,0.894,0.135,0.0,0.16,1,1
123,11,v16-conflict-d08-t08,Ori,defer_until_rest,3,0.922,0.005,0.105,-0.075,1,1
124,11,v16-conflict-d08-t09,Nari,ask_public_reason,3,0.894,0.005,0.0,0.03,1,1
125,11,v16-conflict-d08-t10,Sova,defer_until_rest,3,0.894,0.005,0.105,-0.1,1,1
126,11,v16-conflict-d08-t11,Vonn,repair_first,3,0.922,0.135,0.0,0.16,1,1
127,11,v16-conflict-d09-t00,Melo,defer_until_rest,2,0.916,0.03,0.12,-0.065,1,1
128,11,v16-conflict-d09-t01,Keth,protect_boundary,2,0.916,0.16,0.0,0.185,1,1
129,11,v16-conflict-d09-t02,Ori,rotate_priority,2,0.944,0.03,0.12,-0.065,1,1
130,11,v16-conflict-d09-t03,Nari,repair_first,2,0.916,0.16,0.0,0.185,1,1
131,11,v16-conflict-d09-t04,Sova,ask_public_reason,2,0.916,0.03,0.0,0.055,1,1
132,12,v16-conflict-d10-t06,Sova,defer_until_rest,2,0.944,0.03,0.12,-0.065,1,1
133,12,v16-conflict-d10-t07,Nari,defer_until_rest,2,0.916,0.03,0.12,-0.065,1,1
134,12,v16-conflict-d10-t08,Melo,defer_until_rest,2,0.916,0.03,0.12,-0.065,0,1
135,12,v16-conflict-d10-t09,Vonn,protect_boundary,2,0.944,0.16,0.0,0.185,1,1
136,12,v16-conflict-d10-t10,Ori,split_access,2,0.916,0.03,0.0,0.03,1,1
137,12,v16-conflict-d11-t00,Keth,rotate_priority,1,0.938,0.055,0.135,-0.055,1,1
138,12,v16-conflict-d11-t01,Sova,rotate_priority,1,0.966,0.055,0.135,-0.055,1,1
139,12,v16-conflict-d11-t02,Nari,split_access,1,0.938,0.055,0.015,0.065,1,1
140,12,v16-conflict-d11-t03,Melo,ask_public_reason,1,0.938,0.055,0.015,0.065,1,1
141,12,v16-conflict-d11-t04,Vonn,defer_until_rest,1,0.966,0.055,0.135,-0.055,1,1
142,12,v16-conflict-d11-t06,Ori,rotate_priority,1,0.938,0.055,0.135,-0.08,1,1
143,12,v16-conflict-d11-t07,Keth,repair_first,1,0.938,0.185,0.015,0.195,1,1
144,13,v16-conflict-d12-t07,Keth,protect_boundary,1,0.966,0.185,0.015,0.195,1,1
145,13,v16-conflict-d12-t08,Ori,defer_until_rest,1,0.938,0.055,0.135,-0.055,1,1
146,13,v16-conflict-d12-t09,Nari,ask_public_reason,1,0.938,0.055,0.015,0.065,1,1
147,13,v16-conflict-d12-t11,Sova,rotate_priority,1,0.966,0.055,0.135,-0.055,0,1
148,13,v16-conflict-d06-t00,Vonn,defer_until_rest,7,0.806,0.0,0.045,-0.02,1,1
149,13,v16-conflict-d06-t01,Melo,rotate_priority,7,0.806,0.0,0.045,-0.02,1,1
150,13,v16-conflict-d06-t02,Keth,ask_public_reason,7,0.834,0.0,0.0,0.025,1,1
151,13,v16-conflict-d06-t03,Ori,protect_boundary,7,0.806,0.035,0.0,0.06,1,1
152,13,v16-conflict-d06-t04,Nari,protect_boundary,7,0.806,0.035,0.0,0.06,1,1
153,13,v16-conflict-d06-t05,Sova,protect_boundary,7,0.834,0.035,0.0,0.035,1,1
154,13,v16-conflict-d06-t06,Vonn,rotate_priority,7,0.806,0.0,0.045,-0.02,1,1
155,13,v16-conflict-d06-t07,Melo,repair_first,7,0.806,0.035,0.0,0.06,1,1
156,14,v16-conflict-d07-t09,Melo,split_access,7,0.834,0.0,0.0,0.025,1,1
157,14,v16-conflict-d07-t10,Vonn,ask_public_reason,7,0.806,0.0,0.0,0.025,1,1
158,14,v16-conflict-d07-t11,Ori,rotate_priority,7,0.806,0.0,0.045,-0.02,1,1
159,14,v16-conflict-d08-t00,Keth,repair_first,6,0.856,0.06,0.0,0.06,1,1
160,14,v16-conflict-d08-t02,Sova,ask_public_reason,6,0.828,0.0,0.0,0.025,0,1
161,14,v16-conflict-d08-t03,Nari,ask_public_reason,6,0.828,0.0,0.0,0.025,1,1
162,14,v16-conflict-d08-t04,Melo,repair_first,6,0.856,0.06,0.0,0.085,1,1
163,14,v16-conflict-d08-t05,Vonn,rotate_priority,6,0.828,0.0,0.06,-0.035,1,1
164,14,v16-conflict-d08-t06,Ori,protect_boundary,6,0.828,0.06,0.0,0.085,1,1
165,14,v16-conflict-d08-t08,Keth,defer_until_rest,6,0.856,0.0,0.06,-0.035,1,1
166,14,v16-conflict-d08-t09,Sova,ask_public_reason,6,0.828,0.0,0.0,0.025,1,1
167,14,v16-conflict-d08-t10,Nari,defer_until_rest,6,0.828,0.0,0.06,-0.035,1,1
168,15,v16-conflict-d09-t11,Nari,defer_until_rest,6,0.856,0.0,0.06,-0.035,1,1
169,15,v16-conflict-d10-t01,Sova,ask_public_reason,5,0.85,0.0,0.0,0.025,1,1
170,15,v16-conflict-d10-t02,Vonn,defer_until_rest,5,0.85,0.0,0.075,-0.075,1,1
171,15,v16-conflict-d10-t03,Melo,split_access,5,0.878,0.0,0.0,0.025,1,1
172,15,v16-conflict-d10-t04,Keth,rotate_priority,5,0.85,0.0,0.075,-0.05,1,1
173,15,v16-conflict-d10-t05,Ori,protect_boundary,5,0.85,0.085,0.0,0.11,0,1
174,15,v16-conflict-d10-t06,Nari,defer_until_rest,5,0.878,0.0,0.075,-0.05,1,1
175,15,v16-conflict-d10-t07,Sova,defer_until_rest,5,0.85,0.0,0.075,-0.05,1,1
176,15,v16-conflict-d10-t08,Vonn,defer_until_rest,5,0.85,0.0,0.075,-0.075,1,1
177,15,v16-conflict-d10-t09,Melo,protect_boundary,5,0.878,0.085,0.0,0.11,1,1
178,15,v16-conflict-d10-t10,Keth,split_access,5,0.85,0.0,0.0,0.025,1,1
179,15,v16-conflict-d11-t00,Ori,rotate_priority,4,0.872,0.0,0.09,-0.065,1,1
180,16,v16-conflict-d12-t00,Ori,protect_boundary,4,0.9,0.11,0.0,0.135,1,1
181,16,v16-conflict-d12-t01,Keth,protect_boundary,4,0.872,0.11,0.0,0.135,1,1
182,16,v16-conflict-d12-t02,Sova,protect_boundary,4,0.872,0.11,0.0,0.135,1,1
183,16,v16-conflict-d12-t03,Nari,ask_public_reason,4,0.9,0.0,0.0,0.025,1,1
184,16,v16-conflict-d12-t05,Melo,split_access,4,0.872,0.0,0.0,0.025,1,1
185,16,v16-conflict-d12-t06,Vonn,split_access,4,0.872,0.0,0.0,0.025,1,1
186,16,v16-conflict-d12-t07,Ori,protect_boundary,4,0.9,0.11,0.0,0.135,0,1
187,16,v16-conflict-d12-t08,Keth,defer_until_rest,4,0.872,0.0,0.09,-0.09,1,1
188,16,v16-conflict-d12-t09,Sova,ask_public_reason,4,0.872,0.0,0.0,0.025,1,1
189,16,v16-conflict-d12-t11,Nari,rotate_priority,4,0.9,0.0,0.09,-0.065,1,1
190,16,v16-conflict-d13-t00,Melo,ask_public_reason,3,0.894,0.005,0.0,0.03,1,1
191,16,v16-conflict-d13-t01,Vonn,protect_boundary,3,0.894,0.135,0.0,0.16,1,1
192,17,v16-conflict-d14-t02,Vonn,split_access,3,0.922,0.005,0.0,0.03,1,1
193,17,v16-conflict-d14-t04,Melo,repair_first,3,0.894,0.135,0.0,0.135,1,1
194,17,v16-conflict-d14-t05,Keth,rotate_priority,3,0.894,0.005,0.105,-0.075,1,1
195,17,v16-conflict-d14-t06,Ori,repair_first,3,0.922,0.135,0.0,0.16,1,1
196,17,v16-conflict-d14-t07,Nari,repair_first,3,0.894,0.135,0.0,0.16,1,1
197,17,v16-conflict-d14-t08,Sova,split_access,3,0.894,0.005,0.0,0.03,1,1
198,17,v16-conflict-d14-t09,Vonn,split_access,3,0.922,0.005,0.0,0.03,1,1
199,17,v16-conflict-d14-t10,Melo,ask_public_reason,3,0.894,0.005,0.0,0.03,0,1
200,17,v16-conflict-d14-t11,Keth,rotate_priority,3,0.894,0.005,0.105,-0.075,1,1
201,17,v16-conflict-d15-t00,Ori,protect_boundary,2,0.944,0.16,0.0,0.185,1,1
202,17,v16-conflict-d15-t01,Nari,protect_boundary,2,0.916,0.16,0.0,0.185,1,1
203,17,v16-conflict-d15-t03,Sova,defer_until_rest,2,0.916,0.03,0.12,-0.065,1,1
204,18,v16-conflict-d16-t01,Sova,rotate_priority,2,0.944,0.03,0.12,-0.09,1,1
205,18,v16-conflict-d16-t02,Nari,repair_first,2,0.916,0.16,0.0,0.185,1,1
206,18,v16-conflict-d16-t03,Melo,ask_public_reason,2,0.916,0.03,0.0,0.055,1,1
207,18,v16-conflict-d16-t04,Vonn,split_access,2,0.944,0.03,0.0,0.055,1,1
208,18,v16-conflict-d16-t05,Ori,protect_boundary,2,0.916,0.16,0.0,0.185,1,1
209,18,v16-conflict-d16-t06,Keth,defer_until_rest,2,0.916,0.03,0.12,-0.065,1,1
210,18,v16-conflict-d16-t08,Sova,rotate_priority,2,0.944,0.03,0.12,-0.09,1,1
211,18,v16-conflict-d16-t09,Nari,protect_boundary,2,0.916,0.16,0.0,0.185,1,1
212,18,v16-conflict-d16-t10,Melo,ask_public_reason,2,0.916,0.03,0.0,0.055,0,1
213,18,v16-conflict-d16-t11,Vonn,repair_first,2,0.944,0.16,0.0,0.185,1,1
214,18,v16-conflict-d17-t00,Ori,split_access,1,0.938,0.055,0.015,0.065,1,1
215,18,v16-conflict-d17-t02,Keth,split_access,1,0.938,0.055,0.015,0.065,1,1
216,19,v16-conflict-d18-t05,Keth,repair_first,1,0.966,0.185,0.015,0.195,1,1
217,19,v16-conflict-d18-t07,Ori,defer_until_rest,1,0.938,0.055,0.135,-0.055,1,1
218,19,v16-conflict-d18-t08,Nari,split_access,1,0.938,0.055,0.015,0.065,1,1
219,19,v16-conflict-d18-t09,Sova,rotate_priority,1,0.966,0.055,0.135,-0.055,1,1
220,19,v16-conflict-d18-t10,Vonn,ask_public_reason,1,0.938,0.055,0.015,0.065,1,1
221,19,v16-conflict-d18-t11,Melo,protect_boundary,1,0.938,0.185,0.015,0.17,1,1
222,19,v16-conflict-d12-t00,Keth,protect_boundary,7,0.834,0.035,0.0,0.06,1,1
223,19,v16-conflict-d12-t01,Ori,protect_boundary,7,0.806,0.035,0.0,0.06,1,1
224,19,v16-conflict-d12-t02,Nari,protect_boundary,7,0.806,0.035,0.0,0.06,1,1
225,19,v16-conflict-d12-t03,Sova,ask_public_reason,7,0.834,0.0,0.0,0.025,0,1
226,19,v16-conflict-d12-t05,Vonn,split_access,7,0.806,0.0,0.0,0.025,1,1
227,19,v16-conflict-d12-t06,Melo,split_access,7,0.806,0.0,0.0,0.0,1,1
228,20,v16-conflict-d13-t06,Melo,split_access,7,0.834,0.0,0.0,0.025,1,1
229,20,v16-conflict-d13-t07,Vonn,repair_first,7,0.806,0.035,0.0,0.06,1,1
230,20,v16-conflict-d13-t08,Ori,repair_first,7,0.806,0.035,0.0,0.06,1,1
231,20,v16-conflict-d13-t10,Keth,repair_first,7,0.834,0.035,0.0,0.06,1,1
232,20,v16-conflict-d13-t11,Sova,rotate_priority,7,0.806,0.0,0.045,-0.02,1,1
233,20,v16-conflict-d14-t00,Nari,split_access,6,0.828,0.0,0.0,0.025,1,1
234,20,v16-conflict-d14-t01,Melo,rotate_priority,6,0.856,0.0,0.06,-0.035,1,1
235,20,v16-conflict-d14-t02,Vonn,split_access,6,0.828,0.0,0.0,0.025,1,1
236,20,v16-conflict-d14-t04,Ori,repair_first,6,0.828,0.06,0.0,0.085,1,1
237,20,v16-conflict-d14-t05,Keth,rotate_priority,6,0.856,0.0,0.06,-0.035,1,1
238,20,v16-conflict-d14-t06,Sova,repair_first,6,0.828,0.06,0.0,0.06,0,1
239,20,v16-conflict-d14-t07,Nari,repair_first,6,0.828,0.06,0.0,0.085,1,1
240,21,v16-conflict-d15-t09,Nari,protect_boundary,6,0.856,0.06,0.0,0.085,1,1
241,21,v16-conflict-d15-t10,Sova,ask_public_reason,6,0.828,0.0,0.0,0.025,1,1
242,21,v16-conflict-d15-t11,Vonn,repair_first,6,0.828,0.06,0.0,0.085,1,1
243,21,v16-conflict-d16-t00,Melo,ask_public_reason,5,0.878,0.0,0.0,0.025,1,1
244,21,v16-conflict-d16-t01,Keth,rotate_priority,5,0.85,0.0,0.075,-0.075,1,1
245,21,v16-conflict-d16-t02,Ori,repair_first,5,0.85,0.085,0.0,0.11,1,1
246,21,v16-conflict-d16-t03,Nari,ask_public_reason,5,0.878,0.0,0.0,0.025,1,1
247,21,v16-conflict-d16-t04,Sova,split_access,5,0.85,0.0,0.0,0.025,1,1
248,21,v16-conflict-d16-t05,Vonn,protect_boundary,5,0.85,0.085,0.0,0.11,1,1
249,21,v16-conflict-d16-t06,Melo,defer_until_rest,5,0.878,0.0,0.075,-0.05,1,1
250,21,v16-conflict-d16-t08,Keth,rotate_priority,5,0.85,0.0,0.075,-0.05,1,1
251,21,v16-conflict-d16-t09,Ori,protect_boundary,5,0.85,0.085,0.0,0.11,0,1
