tick_id,day,route_id,source_session,target_session,snapshot_id,export_clicked,import_clicked,exchange_success,snapshot_hash,restored_branch,restored_animation_pose,visible_exchange_notice
15,2,signal_orchard,session:1,session:2,shared:signal_orchard:v4,False,True,True,v33-739947,dusk road,careful pointing,snapshot shared
16,2,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v2,False,False,False,v33-768409,fen track,pending import,idle
17,2,central_repair_ring,session:1,session:2,shared:central_repair_ring:v3,True,False,False,v33-932414,inner repair yard,pending import,exchange pending
18,2,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v4,True,False,True,v33-994575,orchard ridge detour,open forward lean,snapshot shared
19,2,roofward_archive,session:1,session:2,shared:roofward_archive:v2,False,False,False,v33-877307,cool archive lane,pending import,idle
20,2,archive_signal,session:1,session:2,shared:archive_signal:v5,False,True,True,v33-724519,paper lane,listening tilt,snapshot shared
21,2,signal_orchard,session:1,session:2,shared:signal_orchard:v5,True,False,True,v33-854998,river lantern loop,listening tilt,snapshot shared
22,2,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v3,True,False,True,v33-756721,fen track,listening tilt,snapshot shared
23,2,central_repair_ring,session:1,session:2,shared:central_repair_ring:v3,False,False,False,v33-024410,inner repair yard,pending import,idle
24,3,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v5,True,False,True,v33-994699,orchard ridge detour,open forward lean,snapshot shared
25,3,roofward_archive,session:1,session:2,shared:roofward_archive:v2,False,False,False,v33-914737,cool archive lane,pending import,idle
26,3,archive_signal,session:1,session:2,shared:archive_signal:v6,True,False,True,v33-856507,stone kiosk path,route-board reach,snapshot shared
27,3,signal_orchard,session:1,session:2,shared:signal_orchard:v6,False,True,True,v33-710421,dusk road,listening tilt,snapshot shared
28,3,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v4,True,False,True,v33-942379,market plank route,route-board reach,snapshot shared
29,3,central_repair_ring,session:1,session:2,shared:central_repair_ring:v4,True,False,True,v33-011524,inner repair yard,guarded crossed arms,snapshot shared
30,3,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v6,True,False,True,v33-994970,orchard ridge detour,open forward lean,snapshot shared
31,3,roofward_archive,session:1,session:2,shared:roofward_archive:v2,False,False,False,v33-914737,cool archive lane,pending import,idle
32,3,archive_signal,session:1,session:2,shared:archive_signal:v7,False,True,True,v33-760241,paper lane,route-board reach,snapshot shared
33,3,signal_orchard,session:1,session:2,shared:signal_orchard:v7,True,False,True,v33-892504,river lantern loop,route-board reach,snapshot shared
34,3,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v4,True,False,False,v33-955090,market plank route,pending import,exchange pending
35,3,central_repair_ring,session:1,session:2,shared:central_repair_ring:v4,False,False,False,v33-024535,inner repair yard,pending import,idle
36,4,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v7,True,False,True,v33-995094,orchard ridge detour,open forward lean,snapshot shared
37,4,roofward_archive,session:1,session:2,shared:roofward_archive:v2,False,False,False,v33-914936,cool archive lane,pending import,idle
38,4,archive_signal,session:1,session:2,shared:archive_signal:v8,True,False,True,v33-760560,paper lane,open forward lean,snapshot shared
39,4,signal_orchard,session:1,session:2,shared:signal_orchard:v8,False,True,True,v33-746119,dusk road,open forward lean,snapshot shared
40,4,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v4,False,False,False,v33-955289,market plank route,pending import,idle
41,4,central_repair_ring,session:1,session:2,shared:central_repair_ring:v5,True,False,True,v33-030489,inner repair yard,relieved reset stance,snapshot shared
42,4,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v8,True,False,True,v33-995365,orchard ridge detour,open forward lean,snapshot shared
43,4,roofward_archive,session:1,session:2,shared:roofward_archive:v2,False,False,False,v33-914936,cool archive lane,pending import,idle
44,4,archive_signal,session:1,session:2,shared:archive_signal:v9,False,True,True,v33-760680,paper lane,open forward lean,snapshot shared
45,4,signal_orchard,session:1,session:2,shared:signal_orchard:v9,True,False,True,v33-893225,river lantern loop,open forward lean,snapshot shared
46,4,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v5,True,False,True,v33-942701,market plank route,open forward lean,snapshot shared
47,4,central_repair_ring,session:1,session:2,shared:central_repair_ring:v5,False,False,False,v33-043575,inner repair yard,pending import,idle
48,5,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v9,True,False,True,v33-995489,orchard ridge detour,open forward lean,snapshot shared
49,5,roofward_archive,session:1,session:2,shared:roofward_archive:v2,False,False,False,v33-967698,cool archive lane,pending import,idle
50,5,archive_signal,session:1,session:2,shared:archive_signal:v10,True,False,True,v33-918329,stone kiosk path,guarded crossed arms,snapshot shared
51,5,signal_orchard,session:1,session:2,shared:signal_orchard:v9,False,True,False,v33-758314,dusk road,pending import,exchange pending
52,5,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v5,False,False,False,v33-008801,market plank route,pending import,idle
53,5,central_repair_ring,session:1,session:2,shared:central_repair_ring:v6,True,False,True,v33-030614,inner repair yard,relieved reset stance,snapshot shared
54,5,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v10,True,False,True,v33-005263,orchard ridge detour,open forward lean,snapshot shared
55,5,roofward_archive,session:1,session:2,shared:roofward_archive:v2,False,False,False,v33-967698,cool archive lane,pending import,idle
56,5,archive_signal,session:1,session:2,shared:archive_signal:v11,False,True,True,v33-819556,paper lane,guarded crossed arms,snapshot shared
57,5,signal_orchard,session:1,session:2,shared:signal_orchard:v10,True,False,True,v33-804586,dusk road,guarded crossed arms,snapshot shared
58,5,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v6,True,False,True,v33-995991,market plank route,guarded crossed arms,snapshot shared
59,5,central_repair_ring,session:1,session:2,shared:central_repair_ring:v6,False,False,False,v33-043700,inner repair yard,pending import,idle
60,6,roofward_archive,session:1,session:2,shared:roofward_archive:v3,True,False,True,v33-865093,cool archive lane,listening tilt,snapshot shared
61,6,archive_signal,session:1,session:2,shared:archive_signal:v11,False,False,False,v33-776203,paper lane,pending import,idle
62,6,signal_orchard,session:1,session:2,shared:signal_orchard:v11,True,False,True,v33-910653,river lantern loop,route-board reach,snapshot shared
63,6,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v7,False,True,True,v33-793340,fen track,open forward lean,snapshot shared
64,6,central_repair_ring,session:1,session:2,shared:central_repair_ring:v6,False,False,False,v33-965465,inner repair yard,pending import,idle
65,6,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v11,True,False,True,v33-966661,orchard ridge detour,listening tilt,snapshot shared
66,6,roofward_archive,session:1,session:2,shared:roofward_archive:v4,True,False,True,v33-865357,cool archive lane,listening tilt,snapshot shared
67,6,archive_signal,session:1,session:2,shared:archive_signal:v11,False,False,False,v33-776203,paper lane,pending import,idle
68,6,signal_orchard,session:1,session:2,shared:signal_orchard:v11,False,True,False,v33-774604,dusk road,pending import,exchange pending
69,6,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v8,True,False,True,v33-943358,market plank route,open forward lean,snapshot shared
70,6,central_repair_ring,session:1,session:2,shared:central_repair_ring:v7,True,False,True,v33-917879,outer bell path,careful pointing,snapshot shared
71,6,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v12,False,True,True,v33-805813,river ford,listening tilt,snapshot shared
72,7,roofward_archive,session:1,session:2,shared:roofward_archive:v5,True,False,True,v33-865479,cool archive lane,listening tilt,snapshot shared
73,7,archive_signal,session:1,session:2,shared:archive_signal:v11,False,False,False,v33-745639,paper lane,pending import,idle
74,7,signal_orchard,session:1,session:2,shared:signal_orchard:v12,True,False,True,v33-873634,river lantern loop,listening tilt,snapshot shared
75,7,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v9,False,True,True,v33-793856,fen track,open forward lean,snapshot shared
76,7,central_repair_ring,session:1,session:2,shared:central_repair_ring:v7,False,False,False,v33-898148,outer bell path,pending import,idle
77,7,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v13,True,False,True,v33-805938,river ford,listening tilt,snapshot shared
78,7,roofward_archive,session:1,session:2,shared:roofward_archive:v6,True,False,True,v33-865743,cool archive lane,listening tilt,snapshot shared
79,7,archive_signal,session:1,session:2,shared:archive_signal:v11,False,False,False,v33-745639,paper lane,pending import,idle
80,7,signal_orchard,session:1,session:2,shared:signal_orchard:v13,False,True,True,v33-727716,dusk road,listening tilt,snapshot shared
81,7,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v10,True,False,True,v33-953175,market plank route,open forward lean,snapshot shared
82,7,central_repair_ring,session:1,session:2,shared:central_repair_ring:v8,True,False,True,v33-885862,outer bell path,listening tilt,snapshot shared
83,7,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v13,False,False,False,v33-817974,river ford,pending import,idle
84,8,roofward_archive,session:1,session:2,shared:roofward_archive:v7,True,False,True,v33-897815,cool archive lane,careful pointing,snapshot shared
85,8,archive_signal,session:1,session:2,shared:archive_signal:v11,False,False,False,v33-781301,paper lane,pending import,idle
86,8,signal_orchard,session:1,session:2,shared:signal_orchard:v14,True,False,True,v33-911588,river lantern loop,route-board reach,snapshot shared
87,8,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v11,False,True,True,v33-802734,fen track,open forward lean,snapshot shared
88,8,central_repair_ring,session:1,session:2,shared:central_repair_ring:v8,False,False,False,v33-935924,outer bell path,pending import,idle
89,8,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v14,True,False,True,v33-837245,river ford,careful pointing,snapshot shared
90,8,roofward_archive,session:1,session:2,shared:roofward_archive:v8,True,False,True,v33-898079,cool archive lane,careful pointing,snapshot shared
91,8,archive_signal,session:1,session:2,shared:archive_signal:v12,True,False,True,v33-874588,stone kiosk path,route-board reach,snapshot shared
92,8,signal_orchard,session:1,session:2,shared:signal_orchard:v15,False,True,True,v33-911709,river lantern loop,route-board reach,snapshot shared
93,8,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v12,True,False,True,v33-953713,market plank route,open forward lean,snapshot shared
94,8,central_repair_ring,session:1,session:2,shared:central_repair_ring:v9,True,False,True,v33-923413,outer bell path,route-board reach,snapshot shared
95,8,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v14,False,False,False,v33-849431,river ford,pending import,idle
96,9,roofward_archive,session:1,session:2,shared:roofward_archive:v9,True,False,True,v33-898201,cool archive lane,careful pointing,snapshot shared
97,9,archive_signal,session:1,session:2,shared:archive_signal:v12,False,False,False,v33-887273,stone kiosk path,pending import,idle
98,9,signal_orchard,session:1,session:2,shared:signal_orchard:v16,True,False,True,v33-912172,river lantern loop,open forward lean,snapshot shared
99,9,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v13,False,True,True,v33-803254,fen track,open forward lean,snapshot shared
100,9,central_repair_ring,session:1,session:2,shared:central_repair_ring:v9,False,False,False,v33-936248,outer bell path,pending import,idle
101,9,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v15,True,False,True,v33-912048,river ford,relieved reset stance,snapshot shared
102,9,roofward_archive,session:1,session:2,shared:roofward_archive:v9,True,False,False,v33-987702,cool archive lane,pending import,exchange pending
103,9,archive_signal,session:1,session:2,shared:archive_signal:v12,False,False,False,v33-887273,stone kiosk path,pending import,idle
104,9,signal_orchard,session:1,session:2,shared:signal_orchard:v17,False,True,True,v33-764238,dusk road,open forward lean,snapshot shared
105,9,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v14,True,False,True,v33-962289,market plank route,open forward lean,snapshot shared
106,9,central_repair_ring,session:1,session:2,shared:central_repair_ring:v10,True,False,True,v33-932761,outer bell path,open forward lean,snapshot shared
107,9,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v15,False,False,False,v33-924609,river ford,pending import,idle
108,10,roofward_archive,session:1,session:2,shared:roofward_archive:v10,True,False,True,v33-984479,cool archive lane,relieved reset stance,snapshot shared
109,10,archive_signal,session:1,session:2,shared:archive_signal:v12,False,False,False,v33-939720,stone kiosk path,pending import,idle
110,10,signal_orchard,session:1,session:2,shared:signal_orchard:v18,True,False,True,v33-965552,river lantern loop,guarded crossed arms,snapshot shared
111,10,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v15,False,True,True,v33-811462,fen track,open forward lean,snapshot shared
112,10,central_repair_ring,session:1,session:2,shared:central_repair_ring:v10,False,False,False,v33-998864,outer bell path,pending import,idle
113,10,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v16,True,False,True,v33-912173,river ford,relieved reset stance,snapshot shared
114,10,roofward_archive,session:1,session:2,shared:roofward_archive:v11,True,False,True,v33-984602,cool archive lane,relieved reset stance,snapshot shared
115,10,archive_signal,session:1,session:2,shared:archive_signal:v12,False,False,False,v33-939720,stone kiosk path,pending import,idle
116,10,signal_orchard,session:1,session:2,shared:signal_orchard:v19,False,True,True,v33-814765,dusk road,guarded crossed arms,snapshot shared
117,10,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v16,True,False,True,v33-962829,market plank route,open forward lean,snapshot shared
118,10,central_repair_ring,session:1,session:2,shared:central_repair_ring:v11,True,False,True,v33-986054,outer bell path,guarded crossed arms,snapshot shared
119,10,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v16,False,False,False,v33-924734,river ford,pending import,idle
120,11,roofward_archive,session:1,session:2,shared:roofward_archive:v12,True,False,True,v33-984725,cool archive lane,relieved reset stance,snapshot shared
121,11,archive_signal,session:1,session:2,shared:archive_signal:v12,False,False,False,v33-958191,stone kiosk path,pending import,idle
122,11,signal_orchard,session:1,session:2,shared:signal_orchard:v20,True,False,True,v33-983608,river lantern loop,relieved reset stance,snapshot shared
123,11,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v17,False,True,True,v33-811984,fen track,open forward lean,snapshot shared
124,11,central_repair_ring,session:1,session:2,shared:central_repair_ring:v11,False,False,False,v33-017791,outer bell path,pending import,idle
125,11,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v17,True,False,True,v33-912298,river ford,relieved reset stance,snapshot shared
126,11,roofward_archive,session:1,session:2,shared:roofward_archive:v13,True,False,True,v33-984991,cool archive lane,relieved reset stance,snapshot shared
127,11,archive_signal,session:1,session:2,shared:archive_signal:v12,False,False,False,v33-958191,stone kiosk path,pending import,idle
128,11,signal_orchard,session:1,session:2,shared:signal_orchard:v21,False,True,True,v33-830597,dusk road,relieved reset stance,snapshot shared
129,11,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v18,True,False,True,v33-963369,market plank route,open forward lean,snapshot shared
130,11,central_repair_ring,session:1,session:2,shared:central_repair_ring:v12,True,False,True,v33-004906,outer bell path,relieved reset stance,snapshot shared
131,11,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v18,False,True,True,v33-912561,river ford,relieved reset stance,snapshot shared
132,12,archive_signal,session:2,session:3,shared:archive_signal:v13,True,False,True,v33-927130,stone kiosk path,guarded crossed arms,snapshot shared
133,12,signal_orchard,session:2,session:3,shared:signal_orchard:v22,True,False,True,v33-727446,dusk road,listening tilt,snapshot shared
134,12,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v19,True,False,True,v33-925351,market plank route,listening tilt,snapshot shared
135,12,central_repair_ring,session:2,session:3,shared:central_repair_ring:v13,False,True,True,v33-041445,inner repair yard,relieved reset stance,snapshot shared
136,12,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v18,False,False,False,v33-818737,river ford,pending import,idle
137,12,roofward_archive,session:2,session:3,shared:roofward_archive:v14,True,False,True,v33-966496,cool archive lane,guarded crossed arms,snapshot shared
138,12,archive_signal,session:2,session:3,shared:archive_signal:v14,True,False,True,v33-927392,stone kiosk path,guarded crossed arms,snapshot shared
139,12,signal_orchard,session:2,session:3,shared:signal_orchard:v22,False,False,False,v33-739182,dusk road,pending import,idle
140,12,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v20,False,True,True,v33-775351,fen track,listening tilt,snapshot shared
141,12,central_repair_ring,session:2,session:3,shared:central_repair_ring:v14,True,False,True,v33-005446,outer bell path,relieved reset stance,snapshot shared
142,12,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v19,True,False,True,v33-806826,river ford,listening tilt,snapshot shared
143,12,roofward_archive,session:2,session:3,shared:roofward_archive:v15,False,True,True,v33-876035,glass stair,guarded crossed arms,snapshot shared
144,13,archive_signal,session:2,session:3,shared:archive_signal:v15,True,False,True,v33-927513,stone kiosk path,guarded crossed arms,snapshot shared
145,13,signal_orchard,session:2,session:3,shared:signal_orchard:v22,False,False,False,v33-774844,dusk road,pending import,idle
146,13,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v21,True,False,True,v33-962863,market plank route,route-board reach,snapshot shared
147,13,central_repair_ring,session:2,session:3,shared:central_repair_ring:v15,False,True,True,v33-963674,inner repair yard,careful pointing,snapshot shared
148,13,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v19,False,False,False,v33-855408,river ford,pending import,idle
149,13,roofward_archive,session:2,session:3,shared:roofward_archive:v16,True,False,True,v33-876158,glass stair,guarded crossed arms,snapshot shared
150,13,archive_signal,session:2,session:3,shared:archive_signal:v16,True,False,True,v33-927775,stone kiosk path,guarded crossed arms,snapshot shared
151,13,signal_orchard,session:2,session:3,shared:signal_orchard:v22,False,False,False,v33-774844,dusk road,pending import,idle
152,13,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v22,False,True,True,v33-811973,fen track,route-board reach,snapshot shared
153,13,central_repair_ring,session:2,session:3,shared:central_repair_ring:v15,True,False,False,v33-941091,outer bell path,pending import,exchange pending
154,13,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v20,True,False,True,v33-005632,orchard ridge detour,route-board reach,snapshot shared
155,13,roofward_archive,session:2,session:3,shared:roofward_archive:v16,False,False,False,v33-888569,glass stair,pending import,idle
156,14,archive_signal,session:2,session:3,shared:archive_signal:v17,True,False,True,v33-927896,stone kiosk path,guarded crossed arms,snapshot shared
157,14,signal_orchard,session:2,session:3,shared:signal_orchard:v22,False,False,False,v33-775043,dusk road,pending import,idle
158,14,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v23,True,False,True,v33-036347,market plank route,relieved reset stance,snapshot shared
159,14,central_repair_ring,session:2,session:3,shared:central_repair_ring:v16,False,True,True,v33-964092,inner repair yard,careful pointing,snapshot shared
160,14,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v20,False,False,False,v33-018842,orchard ridge detour,pending import,idle
161,14,roofward_archive,session:2,session:3,shared:roofward_archive:v17,True,False,True,v33-876281,glass stair,guarded crossed arms,snapshot shared
162,14,archive_signal,session:2,session:3,shared:archive_signal:v18,True,False,True,v33-928158,stone kiosk path,guarded crossed arms,snapshot shared
163,14,signal_orchard,session:2,session:3,shared:signal_orchard:v22,False,False,False,v33-775043,dusk road,pending import,idle
164,14,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v24,False,True,True,v33-880374,fen track,relieved reset stance,snapshot shared
165,14,central_repair_ring,session:2,session:3,shared:central_repair_ring:v17,True,False,True,v33-928995,outer bell path,careful pointing,snapshot shared
166,14,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v21,True,False,True,v33-005956,orchard ridge detour,open forward lean,snapshot shared
167,14,roofward_archive,session:2,session:3,shared:roofward_archive:v17,False,False,False,v33-888692,glass stair,pending import,idle
168,15,archive_signal,session:2,session:3,shared:archive_signal:v19,True,False,True,v33-928279,stone kiosk path,guarded crossed arms,snapshot shared
169,15,signal_orchard,session:2,session:3,shared:signal_orchard:v22,False,False,False,v33-825285,dusk road,pending import,idle
170,15,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v24,True,False,False,v33-029583,market plank route,pending import,exchange pending
171,15,central_repair_ring,session:2,session:3,shared:central_repair_ring:v18,False,True,True,v33-972684,inner repair yard,careful pointing,snapshot shared
172,15,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v21,False,False,False,v33-073619,orchard ridge detour,pending import,idle
173,15,roofward_archive,session:2,session:3,shared:roofward_archive:v18,True,False,True,v33-876404,glass stair,guarded crossed arms,snapshot shared
174,15,archive_signal,session:2,session:3,shared:archive_signal:v20,True,False,True,v33-927451,stone kiosk path,guarded crossed arms,snapshot shared
175,15,signal_orchard,session:2,session:3,shared:signal_orchard:v23,True,False,True,v33-964351,river lantern loop,guarded crossed arms,snapshot shared
176,15,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v25,False,True,True,v33-862820,fen track,guarded crossed arms,snapshot shared
177,15,central_repair_ring,session:2,session:3,shared:central_repair_ring:v19,True,False,True,v33-937506,outer bell path,careful pointing,snapshot shared
178,15,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v22,True,False,True,v33-060508,orchard ridge detour,guarded crossed arms,snapshot shared
179,15,roofward_archive,session:2,session:3,shared:roofward_archive:v18,False,False,False,v33-888815,glass stair,pending import,idle
180,16,archive_signal,session:2,session:3,shared:archive_signal:v21,True,False,True,v33-875350,stone kiosk path,open forward lean,snapshot shared
181,16,signal_orchard,session:2,session:3,shared:signal_orchard:v23,False,False,False,v33-995905,river lantern loop,pending import,idle
182,16,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v26,True,False,True,v33-035988,market plank route,relieved reset stance,snapshot shared
183,16,central_repair_ring,session:2,session:3,shared:central_repair_ring:v20,False,True,True,v33-972095,inner repair yard,careful pointing,snapshot shared
184,16,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v22,False,False,False,v33-092992,orchard ridge detour,pending import,idle
185,16,roofward_archive,session:2,session:3,shared:roofward_archive:v19,True,False,True,v33-825565,glass stair,open forward lean,snapshot shared
186,16,archive_signal,session:2,session:3,shared:archive_signal:v22,True,False,True,v33-875612,stone kiosk path,open forward lean,snapshot shared
187,16,signal_orchard,session:2,session:3,shared:signal_orchard:v23,False,False,False,v33-995905,river lantern loop,pending import,idle
188,16,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v27,False,True,True,v33-881294,fen track,relieved reset stance,snapshot shared
189,16,central_repair_ring,session:2,session:3,shared:central_repair_ring:v21,True,False,True,v33-936913,outer bell path,careful pointing,snapshot shared
190,16,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v23,True,False,True,v33-079806,orchard ridge detour,relieved reset stance,snapshot shared
191,16,roofward_archive,session:2,session:3,shared:roofward_archive:v20,False,True,True,v33-824717,glass stair,open forward lean,snapshot shared
192,17,archive_signal,session:2,session:3,shared:archive_signal:v23,True,False,True,v33-875733,stone kiosk path,open forward lean,snapshot shared
193,17,signal_orchard,session:2,session:3,shared:signal_orchard:v23,False,False,False,v33-918577,river lantern loop,pending import,idle
194,17,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v28,True,False,True,v33-958213,market plank route,careful pointing,snapshot shared
195,17,central_repair_ring,session:2,session:3,shared:central_repair_ring:v22,False,True,True,v33-972641,inner repair yard,careful pointing,snapshot shared
196,17,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v23,False,False,False,v33-013514,orchard ridge detour,pending import,idle
197,17,roofward_archive,session:2,session:3,shared:roofward_archive:v21,True,False,True,v33-824641,glass stair,route-board reach,snapshot shared
198,17,archive_signal,session:2,session:3,shared:archive_signal:v24,True,False,True,v33-875796,stone kiosk path,route-board reach,snapshot shared
199,17,signal_orchard,session:2,session:3,shared:signal_orchard:v23,False,False,False,v33-918577,river lantern loop,pending import,idle
200,17,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v29,False,True,True,v33-807593,fen track,careful pointing,snapshot shared
201,17,central_repair_ring,session:2,session:3,shared:central_repair_ring:v23,True,False,True,v33-937455,outer bell path,careful pointing,snapshot shared
202,17,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v24,True,False,True,v33-000703,orchard ridge detour,careful pointing,snapshot shared
203,17,roofward_archive,session:2,session:3,shared:roofward_archive:v22,True,True,True,v33-832765,glass stair,route-board reach,snapshot shared
204,18,signal_orchard,session:2,session:3,shared:signal_orchard:v23,True,False,False,v33-995905,river lantern loop,pending import,exchange pending
205,18,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v29,False,False,False,v33-824889,fen track,pending import,idle
206,18,central_repair_ring,session:2,session:3,shared:central_repair_ring:v24,True,False,True,v33-015586,outer bell path,relieved reset stance,snapshot shared
207,18,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v25,False,True,True,v33-000828,orchard ridge detour,careful pointing,snapshot shared
208,18,roofward_archive,session:2,session:3,shared:roofward_archive:v22,False,False,False,v33-845026,glass stair,pending import,idle
209,18,archive_signal,session:2,session:3,shared:archive_signal:v25,True,False,True,v33-946734,stone kiosk path,relieved reset stance,snapshot shared
210,18,signal_orchard,session:2,session:3,shared:signal_orchard:v24,True,False,True,v33-983233,river lantern loop,relieved reset stance,snapshot shared
211,18,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v29,False,False,False,v33-824889,fen track,pending import,idle
212,18,central_repair_ring,session:2,session:3,shared:central_repair_ring:v25,False,True,True,v33-052230,inner repair yard,relieved reset stance,snapshot shared
213,18,riverbend_roofward,session:2,session:3,shared:riverbend_roofward:v26,True,False,True,v33-009227,orchard ridge detour,careful pointing,snapshot shared
214,18,roofward_archive,session:2,session:3,shared:roofward_archive:v23,True,False,True,v33-832888,glass stair,route-board reach,snapshot shared
215,18,archive_signal,session:2,session:3,shared:archive_signal:v26,False,True,True,v33-847014,paper lane,relieved reset stance,snapshot shared
216,19,signal_orchard,session:2,session:3,shared:signal_orchard:v25,True,False,True,v33-983354,river lantern loop,relieved reset stance,snapshot shared
217,19,orchard_riverbend,session:2,session:3,shared:orchard_riverbend:v30,True,False,True,v33-963206,market plank route,open forward lean,snapshot shared
