tick_id,day,week,settlement_id,resident_id,circadian_hour,sleep_state,sleep_quality,fatigue_before,fatigue_after,rest_debt_before,rest_debt_after,dream_workspace_private,visible_sleep_marker,frequency_hz,flower_phase,bounded_cycle
75,5,1,moss_ward,Tala,16.5,awake,0.0,0.153685,0.171685,0.078234,0.088234,True,upright work rhythm,6.473391,0.443725,True
76,5,1,glass_harbor,Nia,18.0,awake,0.0,0.225432,0.243432,0.14582,0.15582,True,upright work rhythm,7.702807,0.460233,True
77,5,1,cinder_garden,Pax,19.5,awake,0.0,0.237432,0.255432,0.14582,0.15582,True,upright work rhythm,10.327727,0.490942,True
78,5,1,lichen_bridge,Rin,21.0,awake,0.0,0.225432,0.249432,0.14582,0.15582,True,upright work rhythm,9.055267,0.48275,True
79,5,1,orchid_engine,Eli,22.5,asleep,0.76306,0.231432,0.178018,0.14582,0.088591,True,"curled posture, low breath rhythm",11.415987,0.511158,True
80,6,1,glass_harbor,Nia,0.0,asleep,0.77792,0.243432,0.188978,0.15582,0.097476,True,"curled posture, low breath rhythm",6.840481,0.481067,True
81,6,1,cinder_garden,Pax,1.5,asleep,0.77436,0.255432,0.201227,0.15582,0.097743,True,"curled posture, low breath rhythm",9.465503,0.511775,True
82,6,1,lichen_bridge,Rin,3.0,asleep,0.77956,0.249432,0.194863,0.15582,0.097353,True,"curled posture, low breath rhythm",8.192894,0.503583,True
83,6,1,orchid_engine,Eli,4.5,asleep,0.78356,0.178018,0.123169,0.088591,0.029824,True,"curled posture, low breath rhythm",10.553499,0.531992,True
84,6,1,moss_ward,Ari,6.0,awake,0.0,0.247702,0.265702,0.153966,0.163966,True,upright work rhythm,6.021938,0.4906,True
85,6,1,glass_harbor,Oren,7.5,awake,0.0,0.247825,0.271825,0.154098,0.164098,True,upright work rhythm,7.224448,0.507108,True
86,6,1,cinder_garden,Vale,9.0,awake,0.0,0.253755,0.271755,0.154023,0.164023,True,upright work rhythm,9.844419,0.537817,True
87,6,1,lichen_bridge,Sol,10.5,awake,0.0,0.178015,0.202015,0.088587,0.098587,True,upright work rhythm,8.545826,0.529625,True
88,6,1,orchid_engine,Bea,12.0,awake,0.0,0.24689,0.26489,0.153096,0.163096,True,upright work rhythm,10.961605,0.558033,True
89,6,1,moss_ward,Fay,13.5,awake,0.0,0.246925,0.264925,0.153134,0.163134,True,upright work rhythm,6.371619,0.516642,True
90,6,1,glass_harbor,Puck,15.0,awake,0.0,0.246946,0.270946,0.153156,0.163156,True,upright work rhythm,7.574088,0.53315,True
91,6,1,cinder_garden,Wren,16.5,awake,0.0,0.170077,0.188077,0.086512,0.096512,True,upright work rhythm,10.160112,0.563858,True
92,6,1,lichen_bridge,Kio,18.0,awake,0.0,0.254564,0.278564,0.15489,0.16489,True,upright work rhythm,8.927211,0.555667,True
93,6,1,orchid_engine,Cai,19.5,awake,0.0,0.242672,0.260672,0.155006,0.165006,True,upright work rhythm,11.309875,0.584075,True
94,6,1,moss_ward,Milo,21.0,awake,0.0,0.242567,0.260567,0.154893,0.164893,True,upright work rhythm,6.719832,0.542683,True
95,6,1,glass_harbor,Sera,22.5,asleep,0.78356,0.173622,0.118773,0.090309,0.031542,True,"curled posture, low breath rhythm",7.861697,0.559192,True
96,7,1,lichen_bridge,Kio,0.0,asleep,0.79116,0.278564,0.223183,0.16489,0.105553,True,"curled posture, low breath rhythm",8.064505,0.5765,True
97,7,1,orchid_engine,Cai,1.5,asleep,0.78776,0.260672,0.205529,0.165006,0.105924,True,"curled posture, low breath rhythm",10.447267,0.604908,True
98,7,1,moss_ward,Milo,3.0,asleep,0.78806,0.260567,0.205403,0.164893,0.105789,True,"curled posture, low breath rhythm",5.857215,0.563517,True
99,7,1,glass_harbor,Sera,4.5,asleep,0.7948,0.118773,0.063137,0.031542,0.0,True,"curled posture, low breath rhythm",6.998886,0.580025,True
100,7,1,cinder_garden,Juno,6.0,awake,0.0,0.247755,0.271755,0.154023,0.164023,True,upright work rhythm,9.704419,0.610733,True
101,7,1,lichen_bridge,Luma,7.5,awake,0.0,0.247688,0.265688,0.153951,0.163951,True,upright work rhythm,8.431932,0.602542,True
102,7,1,orchid_engine,Dax,9.0,awake,0.0,0.241702,0.259702,0.153966,0.163966,True,upright work rhythm,10.819478,0.63095,True
103,7,1,moss_ward,Tala,10.5,awake,0.0,0.171685,0.189685,0.088234,0.098234,True,upright work rhythm,6.200771,0.589558,True
104,7,1,glass_harbor,Nia,12.0,awake,0.0,0.188978,0.206978,0.097476,0.107476,True,upright work rhythm,7.407861,0.606067,True
105,7,1,cinder_garden,Pax,13.5,awake,0.0,0.201227,0.225227,0.097743,0.107743,True,upright work rhythm,10.035343,0.636775,True
106,7,1,lichen_bridge,Rin,15.0,awake,0.0,0.194863,0.212863,0.097353,0.107353,True,upright work rhythm,8.760274,0.628583,True
107,7,1,orchid_engine,Eli,16.5,awake,0.0,0.123169,0.141169,0.029824,0.039824,True,upright work rhythm,11.120879,0.656992,True
108,7,1,moss_ward,Ari,18.0,awake,0.0,0.265702,0.283702,0.163966,0.173966,True,upright work rhythm,6.589318,0.6156,True
109,7,1,glass_harbor,Oren,19.5,awake,0.0,0.271825,0.289825,0.164098,0.174098,True,upright work rhythm,7.791828,0.632108,True
110,7,1,cinder_garden,Vale,21.0,awake,0.0,0.271755,0.295755,0.164023,0.174023,True,upright work rhythm,10.414259,0.662817,True
111,7,1,lichen_bridge,Sol,22.5,asleep,0.79292,0.202015,0.146511,0.098587,0.039119,True,"curled posture, low breath rhythm",9.083069,0.654625,True
112,8,2,moss_ward,Ari,0.0,asleep,0.79472,0.283702,0.228071,0.173966,0.114362,True,"curled posture, low breath rhythm",5.739509,0.637433,True
113,8,2,glass_harbor,Oren,1.5,asleep,0.79212,0.289825,0.234376,0.174098,0.114689,True,"curled posture, low breath rhythm",6.942094,0.653942,True
114,8,2,cinder_garden,Vale,3.0,asleep,0.79512,0.295755,0.240096,0.174023,0.114389,True,"curled posture, low breath rhythm",9.56444,0.68465,True
115,8,2,lichen_bridge,Sol,4.5,asleep,0.7996,0.146511,0.090539,0.039119,0.0,True,"curled posture, low breath rhythm",8.233121,0.676458,True
116,8,2,orchid_engine,Bea,6.0,awake,0.0,0.26489,0.28289,0.163096,0.173096,True,upright work rhythm,10.701985,0.704867,True
117,8,2,moss_ward,Fay,7.5,awake,0.0,0.264925,0.282925,0.163134,0.173134,True,upright work rhythm,6.111999,0.663475,True
118,8,2,glass_harbor,Puck,9.0,awake,0.0,0.270946,0.288946,0.163156,0.173156,True,upright work rhythm,7.314468,0.679983,True
119,8,2,cinder_garden,Wren,10.5,awake,0.0,0.188077,0.206077,0.096512,0.106512,True,upright work rhythm,9.900492,0.710692,True
120,8,2,lichen_bridge,Kio,12.0,awake,0.0,0.223183,0.241183,0.105553,0.115553,True,upright work rhythm,8.644885,0.7025,True
121,8,2,orchid_engine,Cai,13.5,awake,0.0,0.205529,0.223529,0.105924,0.115924,True,upright work rhythm,11.027647,0.730908,True
122,8,2,moss_ward,Milo,15.0,awake,0.0,0.205403,0.223403,0.105789,0.115789,True,upright work rhythm,6.437595,0.689517,True
123,8,2,glass_harbor,Sera,16.5,awake,0.0,0.063137,0.081137,0.0,0.01,True,upright work rhythm,7.579266,0.706025,True
124,8,2,cinder_garden,Juno,18.0,awake,0.0,0.271755,0.289755,0.164023,0.174023,True,upright work rhythm,10.284799,0.736733,True
125,8,2,lichen_bridge,Luma,19.5,awake,0.0,0.265688,0.283688,0.163951,0.173951,True,upright work rhythm,9.012312,0.728542,True
126,8,2,orchid_engine,Dax,21.0,awake,0.0,0.259702,0.277702,0.163966,0.173966,True,upright work rhythm,11.399858,0.75695,True
127,8,2,moss_ward,Tala,22.5,asleep,0.79092,0.189685,0.13432,0.098234,0.038915,True,"curled posture, low breath rhythm",6.751071,0.715558,True
128,9,2,cinder_garden,Juno,0.0,asleep,0.79512,0.289755,0.234096,0.174023,0.114389,True,"curled posture, low breath rhythm",9.42198,0.757567,True
129,9,2,lichen_bridge,Luma,1.5,asleep,0.79212,0.283688,0.228239,0.173951,0.114542,True,"curled posture, low breath rhythm",8.149578,0.749375,True
130,9,2,orchid_engine,Dax,3.0,asleep,0.79472,0.277702,0.222071,0.173966,0.114362,True,"curled posture, low breath rhythm",10.537049,0.777783,True
131,9,2,moss_ward,Tala,4.5,asleep,0.7964,0.13432,0.078572,0.038915,0.0,True,"curled posture, low breath rhythm",5.888215,0.736392,True
132,9,2,glass_harbor,Nia,6.0,awake,0.0,0.206978,0.224978,0.107476,0.117476,True,upright work rhythm,7.148241,0.7529,True
133,9,2,cinder_garden,Pax,7.5,awake,0.0,0.225227,0.249227,0.107743,0.117743,True,upright work rhythm,9.778183,0.783608,True
134,9,2,lichen_bridge,Rin,9.0,awake,0.0,0.212863,0.230863,0.107353,0.117353,True,upright work rhythm,8.500654,0.775417,True
135,9,2,orchid_engine,Eli,10.5,awake,0.0,0.141169,0.165169,0.039824,0.049824,True,upright work rhythm,10.863719,0.803825,True
136,9,2,moss_ward,Ari,12.0,awake,0.0,0.228071,0.252071,0.114362,0.124362,True,upright work rhythm,6.309349,0.762433,True
137,9,2,glass_harbor,Oren,13.5,awake,0.0,0.234376,0.252376,0.114689,0.124689,True,upright work rhythm,7.509474,0.778942,True
138,9,2,cinder_garden,Vale,15.0,awake,0.0,0.240096,0.264096,0.114389,0.124389,True,upright work rhythm,10.13428,0.80965,True
139,9,2,lichen_bridge,Sol,16.5,awake,0.0,0.090539,0.108539,0.0,0.01,True,upright work rhythm,8.800501,0.801458,True
140,9,2,orchid_engine,Bea,18.0,awake,0.0,0.28289,0.30689,0.173096,0.183096,True,upright work rhythm,11.271825,0.829867,True
141,9,2,moss_ward,Fay,19.5,awake,0.0,0.282925,0.306925,0.173134,0.183134,True,upright work rhythm,6.681839,0.788475,True
142,9,2,glass_harbor,Puck,21.0,awake,0.0,0.288946,0.306946,0.173156,0.183156,True,upright work rhythm,7.881848,0.804983,True
143,9,2,cinder_garden,Wren,22.5,asleep,0.79412,0.206077,0.150489,0.106512,0.046953,True,"curled posture, low breath rhythm",10.4377,0.835692,True
144,10,2,orchid_engine,Bea,0.0,asleep,0.79742,0.30689,0.25107,0.183096,0.12329,True,"curled posture, low breath rhythm",10.408939,0.8507,True
145,10,2,moss_ward,Fay,1.5,asleep,0.79492,0.306925,0.25128,0.183134,0.123515,True,"curled posture, low breath rhythm",5.819025,0.809308,True
146,10,2,glass_harbor,Puck,3.0,asleep,0.79662,0.306946,0.251182,0.183156,0.12341,True,"curled posture, low breath rhythm",7.018985,0.825817,True
147,10,2,cinder_garden,Wren,4.5,asleep,0.8016,0.150489,0.094377,0.046953,0.0,True,"curled posture, low breath rhythm",9.574695,0.856525,True
148,10,2,lichen_bridge,Kio,6.0,awake,0.0,0.241183,0.265183,0.115553,0.125553,True,upright work rhythm,8.374725,0.848333,True
149,10,2,orchid_engine,Cai,7.5,awake,0.0,0.223529,0.241529,0.115924,0.125924,True,upright work rhythm,10.755027,0.876742,True
150,10,2,moss_ward,Milo,9.0,awake,0.0,0.223403,0.241403,0.115789,0.125789,True,upright work rhythm,6.164975,0.83535,True
151,10,2,glass_harbor,Sera,10.5,awake,0.0,0.081137,0.099137,0.01,0.02,True,upright work rhythm,7.306646,0.851858,True
152,10,2,cinder_garden,Juno,12.0,awake,0.0,0.234096,0.252096,0.114389,0.124389,True,upright work rhythm,9.98936,0.882567,True
153,10,2,lichen_bridge,Luma,13.5,awake,0.0,0.228239,0.252239,0.114542,0.124542,True,upright work rhythm,8.719418,0.874375,True
154,10,2,orchid_engine,Dax,15.0,awake,0.0,0.222071,0.240071,0.114362,0.124362,True,upright work rhythm,11.104429,0.902783,True
155,10,2,moss_ward,Tala,16.5,awake,0.0,0.078572,0.096572,0.0,0.01,True,upright work rhythm,6.455595,0.861392,True
156,10,2,glass_harbor,Nia,18.0,awake,0.0,0.224978,0.242978,0.117476,0.127476,True,upright work rhythm,7.715621,0.8779,True
157,10,2,cinder_garden,Pax,19.5,awake,0.0,0.249227,0.267227,0.117743,0.127743,True,upright work rhythm,10.345563,0.908608,True
158,10,2,lichen_bridge,Rin,21.0,awake,0.0,0.230863,0.254863,0.117353,0.127353,True,upright work rhythm,9.070494,0.900417,True
159,10,2,orchid_engine,Eli,22.5,asleep,0.79412,0.165169,0.10958,0.049824,0.0,True,"curled posture, low breath rhythm",11.400928,0.928825,True
160,11,2,glass_harbor,Nia,0.0,asleep,0.79812,0.242978,0.187109,0.127476,0.067617,True,"curled posture, low breath rhythm",6.852715,0.898733,True
161,11,2,cinder_garden,Pax,1.5,asleep,0.79452,0.267227,0.21161,0.127743,0.068154,True,"curled posture, low breath rhythm",9.48276,0.929442,True
162,11,2,lichen_bridge,Rin,3.0,asleep,0.80372,0.254863,0.198602,0.127353,0.067074,True,"curled posture, low breath rhythm",8.207427,0.92125,True
163,11,2,orchid_engine,Eli,4.5,asleep,0.8008,0.10958,0.053524,0.0,0.0,True,"curled posture, low breath rhythm",10.537945,0.949658,True
164,11,2,moss_ward,Ari,6.0,awake,0.0,0.252071,0.270071,0.124362,0.134362,True,upright work rhythm,6.036729,0.908267,True
165,11,2,glass_harbor,Oren,7.5,awake,0.0,0.252376,0.276376,0.124689,0.134689,True,upright work rhythm,7.239314,0.924775,True
166,11,2,cinder_garden,Vale,9.0,awake,0.0,0.264096,0.282096,0.124389,0.134389,True,upright work rhythm,9.86166,0.955483,True
167,11,2,lichen_bridge,Sol,10.5,awake,0.0,0.108539,0.132539,0.01,0.02,True,upright work rhythm,8.530341,0.947292,True
168,11,2,orchid_engine,Bea,12.0,awake,0.0,0.25107,0.26907,0.12329,0.13329,True,upright work rhythm,10.976319,0.9757,True
169,11,2,moss_ward,Fay,13.5,awake,0.0,0.25128,0.26928,0.123515,0.133515,True,upright work rhythm,6.386405,0.934308,True
170,11,2,glass_harbor,Puck,15.0,awake,0.0,0.251182,0.275182,0.12341,0.13341,True,upright work rhythm,7.588825,0.950817,True
171,11,2,cinder_garden,Wren,16.5,awake,0.0,0.094377,0.112377,0.0,0.01,True,upright work rhythm,10.142075,0.981525,True
172,11,2,lichen_bridge,Kio,18.0,awake,0.0,0.265183,0.289183,0.125553,0.135553,True,upright work rhythm,8.944565,0.973333,True
173,11,2,orchid_engine,Cai,19.5,awake,0.0,0.241529,0.259529,0.125924,0.135924,True,upright work rhythm,11.322407,0.001742,True
174,11,2,moss_ward,Milo,21.0,awake,0.0,0.241403,0.259403,0.125789,0.135789,True,upright work rhythm,6.732355,0.96035,True
175,11,2,glass_harbor,Sera,22.5,asleep,0.79452,0.099137,0.043521,0.02,0.0,True,"curled posture, low breath rhythm",7.843843,0.976858,True
176,12,2,lichen_bridge,Kio,0.0,asleep,0.80522,0.289183,0.232817,0.135553,0.075162,True,"curled posture, low breath rhythm",8.081455,0.994167,True
177,12,2,orchid_engine,Cai,1.5,asleep,0.79732,0.259529,0.203716,0.135924,0.076125,True,"curled posture, low breath rhythm",10.459524,0.022575,True
178,12,2,moss_ward,Milo,3.0,asleep,0.79802,0.259403,0.203541,0.135789,0.075937,True,"curled posture, low breath rhythm",5.869452,0.981183,True
179,12,2,glass_harbor,Sera,4.5,asleep,0.802,0.043521,0.0,0.0,0.0,True,"curled posture, low breath rhythm",6.986,0.997692,True
180,12,2,cinder_garden,Juno,6.0,awake,0.0,0.252096,0.276096,0.124389,0.134389,True,upright work rhythm,9.7192,0.0284,True
181,12,2,lichen_bridge,Luma,7.5,awake,0.0,0.252239,0.270239,0.124542,0.134542,True,upright work rhythm,8.446798,0.020208,True
182,12,2,orchid_engine,Dax,9.0,awake,0.0,0.240071,0.258071,0.124362,0.134362,True,upright work rhythm,10.831809,0.048617,True
183,12,2,moss_ward,Tala,10.5,awake,0.0,0.096572,0.114572,0.01,0.02,True,upright work rhythm,6.182975,0.007225,True
184,12,2,glass_harbor,Nia,12.0,awake,0.0,0.187109,0.205109,0.067617,0.077617,True,upright work rhythm,7.420095,0.023733,True
185,12,2,cinder_garden,Pax,13.5,awake,0.0,0.21161,0.23561,0.068154,0.078154,True,upright work rhythm,10.0526,0.054442,True
186,12,2,lichen_bridge,Rin,15.0,awake,0.0,0.198602,0.216602,0.067074,0.077074,True,upright work rhythm,8.774807,0.04625,True
187,12,2,orchid_engine,Eli,16.5,awake,0.0,0.053524,0.071524,0.0,0.01,True,upright work rhythm,11.105325,0.074658,True
188,12,2,moss_ward,Ari,18.0,awake,0.0,0.270071,0.288071,0.134362,0.144362,True,upright work rhythm,6.604109,0.033267,True
189,12,2,glass_harbor,Oren,19.5,awake,0.0,0.276376,0.294376,0.134689,0.144689,True,upright work rhythm,7.806694,0.049775,True
190,12,2,cinder_garden,Vale,21.0,awake,0.0,0.282096,0.306096,0.134389,0.144389,True,upright work rhythm,10.4315,0.080483,True
191,12,2,lichen_bridge,Sol,22.5,asleep,0.79772,0.132539,0.076698,0.02,0.0,True,"curled posture, low breath rhythm",9.067446,0.072292,True
