tick,day,branch_state_id,conflict_id,selected_outcome,stored_day,restored_day,survives_reload,survives_day_advance,branch_state_matches_memory,rollback_scope
32,3,v16-state-03-08,v16-conflict-d03-t08,repair_first,3,6,1,1,1,single-agent-access-only
33,3,v16-state-03-09,v16-conflict-d03-t09,ask_public_reason,3,4,1,1,1,single-conflict
34,3,v16-state-03-10,v16-conflict-d03-t10,protect_boundary,3,5,1,1,1,single-conflict
35,3,v16-state-03-11,v16-conflict-d03-t11,split_access,3,6,1,1,1,single-conflict
36,4,v16-state-04-00,v16-conflict-d04-t00,defer_until_rest,4,5,1,1,1,single-agent-access-only
37,4,v16-state-04-01,v16-conflict-d04-t01,defer_until_rest,4,6,1,1,1,single-conflict
38,4,v16-state-04-02,v16-conflict-d04-t02,ask_public_reason,4,7,1,1,1,single-conflict
39,4,v16-state-04-03,v16-conflict-d04-t03,split_access,4,5,1,1,1,single-conflict
40,4,v16-state-04-04,v16-conflict-d04-t04,protect_boundary,4,6,1,1,1,single-agent-access-only
41,4,v16-state-04-05,v16-conflict-d04-t05,split_access,4,7,1,1,1,single-conflict
42,4,v16-state-04-06,v16-conflict-d04-t06,repair_first,4,5,1,1,1,single-conflict
43,4,v16-state-04-07,v16-conflict-d04-t07,defer_until_rest,4,6,1,1,1,single-conflict
44,4,v16-state-04-08,v16-conflict-d04-t08,defer_until_rest,4,7,1,1,1,single-agent-access-only
45,4,v16-state-04-09,v16-conflict-d04-t09,ask_public_reason,4,5,1,1,1,single-conflict
46,4,v16-state-04-10,v16-conflict-d04-t10,protect_boundary,4,6,1,1,1,single-conflict
47,4,v16-state-04-11,v16-conflict-d04-t11,repair_first,4,7,1,1,1,single-conflict
48,5,v16-state-05-00,v16-conflict-d05-t00,rotate_priority,5,6,1,1,1,single-agent-access-only
49,5,v16-state-05-01,v16-conflict-d05-t01,rotate_priority,5,7,1,1,1,single-conflict
50,5,v16-state-05-02,v16-conflict-d05-t02,rotate_priority,5,8,1,1,1,single-conflict
51,5,v16-state-05-03,v16-conflict-d05-t03,protect_boundary,5,6,1,1,1,single-conflict
52,5,v16-state-05-04,v16-conflict-d05-t04,rotate_priority,5,7,1,1,1,single-agent-access-only
53,5,v16-state-05-05,v16-conflict-d05-t05,ask_public_reason,5,8,1,1,1,single-conflict
54,5,v16-state-05-06,v16-conflict-d05-t06,defer_until_rest,5,6,1,1,1,single-conflict
55,5,v16-state-05-07,v16-conflict-d05-t07,rotate_priority,5,7,1,1,1,single-conflict
56,5,v16-state-05-08,v16-conflict-d05-t08,split_access,5,8,1,1,1,single-agent-access-only
57,5,v16-state-05-09,v16-conflict-d05-t09,rotate_priority,5,6,1,1,1,single-conflict
58,5,v16-state-05-10,v16-conflict-d05-t10,defer_until_rest,5,7,1,0,0,single-conflict
59,5,v16-state-05-11,v16-conflict-d05-t11,protect_boundary,5,8,1,1,1,single-conflict
60,6,v16-state-06-00,v16-conflict-d06-t00,defer_until_rest,6,7,1,1,1,single-agent-access-only
61,6,v16-state-06-01,v16-conflict-d06-t01,rotate_priority,6,8,1,1,1,single-conflict
62,6,v16-state-06-02,v16-conflict-d06-t02,ask_public_reason,6,9,0,1,0,single-conflict
63,6,v16-state-06-03,v16-conflict-d06-t03,protect_boundary,6,7,1,1,1,single-conflict
64,6,v16-state-06-04,v16-conflict-d06-t04,protect_boundary,6,8,1,1,1,single-agent-access-only
65,6,v16-state-06-05,v16-conflict-d06-t05,protect_boundary,6,9,1,1,1,single-conflict
66,6,v16-state-06-06,v16-conflict-d06-t06,rotate_priority,6,7,1,1,1,single-conflict
67,6,v16-state-06-07,v16-conflict-d06-t07,repair_first,6,8,1,1,1,single-conflict
68,6,v16-state-06-08,v16-conflict-d06-t08,ask_public_reason,6,9,1,1,1,single-agent-access-only
69,6,v16-state-06-09,v16-conflict-d06-t09,split_access,6,7,1,1,1,single-conflict
70,6,v16-state-06-10,v16-conflict-d06-t10,protect_boundary,6,8,1,1,1,single-conflict
71,6,v16-state-06-11,v16-conflict-d06-t11,repair_first,6,9,1,1,1,single-conflict
72,7,v16-state-07-00,v16-conflict-d07-t00,split_access,7,8,1,1,1,single-agent-access-only
73,7,v16-state-07-01,v16-conflict-d07-t01,protect_boundary,7,9,1,1,1,single-conflict
74,7,v16-state-07-02,v16-conflict-d07-t02,split_access,7,10,1,1,1,single-conflict
75,7,v16-state-07-03,v16-conflict-d07-t03,split_access,7,8,1,1,1,single-conflict
76,7,v16-state-07-04,v16-conflict-d07-t04,ask_public_reason,7,9,1,1,1,single-agent-access-only
77,7,v16-state-07-05,v16-conflict-d07-t05,protect_boundary,7,10,1,1,1,single-conflict
78,7,v16-state-07-06,v16-conflict-d07-t06,ask_public_reason,7,8,1,1,1,single-conflict
79,7,v16-state-07-07,v16-conflict-d07-t07,defer_until_rest,7,9,1,1,1,single-conflict
80,7,v16-state-07-08,v16-conflict-d07-t08,defer_until_rest,7,10,1,1,1,single-agent-access-only
81,7,v16-state-07-09,v16-conflict-d07-t09,split_access,7,8,1,1,1,single-conflict
82,7,v16-state-07-10,v16-conflict-d07-t10,ask_public_reason,7,9,1,1,1,single-conflict
83,7,v16-state-07-11,v16-conflict-d07-t11,rotate_priority,7,10,1,1,1,single-conflict
84,8,v16-state-08-00,v16-conflict-d08-t00,repair_first,8,9,1,1,1,single-agent-access-only
85,8,v16-state-08-01,v16-conflict-d08-t01,ask_public_reason,8,10,1,1,1,single-conflict
86,8,v16-state-08-02,v16-conflict-d08-t02,ask_public_reason,8,11,1,1,1,single-conflict
87,8,v16-state-08-03,v16-conflict-d08-t03,ask_public_reason,8,9,1,0,0,single-conflict
88,8,v16-state-08-04,v16-conflict-d08-t04,repair_first,8,10,1,1,1,single-agent-access-only
89,8,v16-state-08-05,v16-conflict-d08-t05,rotate_priority,8,11,1,1,1,single-conflict
90,8,v16-state-08-06,v16-conflict-d08-t06,protect_boundary,8,9,1,1,1,single-conflict
91,8,v16-state-08-07,v16-conflict-d08-t07,rotate_priority,8,10,1,1,1,single-conflict
92,8,v16-state-08-08,v16-conflict-d08-t08,defer_until_rest,8,11,1,1,1,single-agent-access-only
93,8,v16-state-08-09,v16-conflict-d08-t09,ask_public_reason,8,9,0,1,0,single-conflict
94,8,v16-state-08-10,v16-conflict-d08-t10,defer_until_rest,8,10,1,1,1,single-conflict
95,8,v16-state-08-11,v16-conflict-d08-t11,repair_first,8,11,1,1,1,single-conflict
96,9,v16-state-09-00,v16-conflict-d09-t00,defer_until_rest,9,10,1,1,1,single-agent-access-only
97,9,v16-state-09-01,v16-conflict-d09-t01,protect_boundary,9,11,1,1,1,single-conflict
98,9,v16-state-09-02,v16-conflict-d09-t02,rotate_priority,9,12,1,1,1,single-conflict
99,9,v16-state-09-03,v16-conflict-d09-t03,repair_first,9,10,1,1,1,single-conflict
100,9,v16-state-09-04,v16-conflict-d09-t04,ask_public_reason,9,11,1,1,1,single-agent-access-only
101,9,v16-state-09-05,v16-conflict-d09-t05,protect_boundary,9,12,1,1,1,single-conflict
102,9,v16-state-09-06,v16-conflict-d09-t06,defer_until_rest,9,10,1,1,1,single-conflict
103,9,v16-state-09-07,v16-conflict-d09-t07,repair_first,9,11,1,1,1,single-conflict
104,9,v16-state-09-08,v16-conflict-d09-t08,defer_until_rest,9,12,1,1,1,single-agent-access-only
105,9,v16-state-09-09,v16-conflict-d09-t09,protect_boundary,9,10,1,1,1,single-conflict
106,9,v16-state-09-10,v16-conflict-d09-t10,defer_until_rest,9,11,1,1,1,single-conflict
107,9,v16-state-09-11,v16-conflict-d09-t11,defer_until_rest,9,12,1,1,1,single-conflict
108,10,v16-state-10-00,v16-conflict-d10-t00,rotate_priority,10,11,1,1,0,single-agent-access-only
109,10,v16-state-10-01,v16-conflict-d10-t01,ask_public_reason,10,12,1,1,1,single-conflict
110,10,v16-state-10-02,v16-conflict-d10-t02,defer_until_rest,10,13,1,1,1,single-conflict
111,10,v16-state-10-03,v16-conflict-d10-t03,split_access,10,11,1,1,1,single-conflict
112,10,v16-state-10-04,v16-conflict-d10-t04,rotate_priority,10,12,1,1,1,single-agent-access-only
113,10,v16-state-10-05,v16-conflict-d10-t05,protect_boundary,10,13,1,1,1,single-conflict
114,10,v16-state-10-06,v16-conflict-d10-t06,defer_until_rest,10,11,1,1,1,single-conflict
115,10,v16-state-10-07,v16-conflict-d10-t07,defer_until_rest,10,12,1,1,1,single-conflict
116,10,v16-state-10-08,v16-conflict-d10-t08,defer_until_rest,10,13,1,0,0,single-agent-access-only
117,10,v16-state-10-09,v16-conflict-d10-t09,protect_boundary,10,11,1,1,1,single-conflict
118,10,v16-state-10-10,v16-conflict-d10-t10,split_access,10,12,1,1,1,single-conflict
119,10,v16-state-10-11,v16-conflict-d10-t11,repair_first,10,13,1,1,1,single-conflict
120,11,v16-state-11-00,v16-conflict-d11-t00,rotate_priority,11,12,1,1,1,single-agent-access-only
121,11,v16-state-11-01,v16-conflict-d11-t01,rotate_priority,11,13,1,1,1,single-conflict
122,11,v16-state-11-02,v16-conflict-d11-t02,split_access,11,14,1,1,1,single-conflict
123,11,v16-state-11-03,v16-conflict-d11-t03,ask_public_reason,11,12,1,1,1,single-conflict
124,11,v16-state-11-04,v16-conflict-d11-t04,defer_until_rest,11,13,0,1,0,single-agent-access-only
125,11,v16-state-11-05,v16-conflict-d11-t05,protect_boundary,11,14,1,1,1,single-conflict
126,11,v16-state-11-06,v16-conflict-d11-t06,rotate_priority,11,12,1,1,1,single-conflict
127,11,v16-state-11-07,v16-conflict-d11-t07,repair_first,11,13,1,1,1,single-conflict
128,11,v16-state-11-08,v16-conflict-d11-t08,protect_boundary,11,14,1,1,1,single-agent-access-only
129,11,v16-state-11-09,v16-conflict-d11-t09,ask_public_reason,11,12,1,1,1,single-conflict
130,11,v16-state-11-10,v16-conflict-d11-t10,defer_until_rest,11,13,1,1,1,single-conflict
131,11,v16-state-11-11,v16-conflict-d11-t11,ask_public_reason,11,14,1,1,1,single-conflict
132,12,v16-state-12-00,v16-conflict-d12-t00,protect_boundary,12,13,1,1,1,single-agent-access-only
133,12,v16-state-12-01,v16-conflict-d12-t01,protect_boundary,12,14,1,1,1,single-conflict
134,12,v16-state-12-02,v16-conflict-d12-t02,protect_boundary,12,15,1,1,1,single-conflict
135,12,v16-state-12-03,v16-conflict-d12-t03,ask_public_reason,12,13,1,1,1,single-conflict
136,12,v16-state-12-04,v16-conflict-d12-t04,ask_public_reason,12,14,1,1,1,single-agent-access-only
137,12,v16-state-12-05,v16-conflict-d12-t05,split_access,12,15,1,1,1,single-conflict
138,12,v16-state-12-06,v16-conflict-d12-t06,split_access,12,13,1,1,1,single-conflict
139,12,v16-state-12-07,v16-conflict-d12-t07,protect_boundary,12,14,1,1,1,single-conflict
140,12,v16-state-12-08,v16-conflict-d12-t08,defer_until_rest,12,15,1,1,1,single-agent-access-only
141,12,v16-state-12-09,v16-conflict-d12-t09,ask_public_reason,12,13,1,1,1,single-conflict
142,12,v16-state-12-10,v16-conflict-d12-t10,rotate_priority,12,14,1,1,1,single-conflict
143,12,v16-state-12-11,v16-conflict-d12-t11,rotate_priority,12,15,1,1,1,single-conflict
144,13,v16-state-13-00,v16-conflict-d13-t00,ask_public_reason,13,14,1,1,1,single-agent-access-only
145,13,v16-state-13-01,v16-conflict-d13-t01,protect_boundary,13,15,1,0,0,single-conflict
146,13,v16-state-13-02,v16-conflict-d13-t02,repair_first,13,16,1,1,1,single-conflict
147,13,v16-state-13-03,v16-conflict-d13-t03,defer_until_rest,13,14,1,1,1,single-conflict
148,13,v16-state-13-04,v16-conflict-d13-t04,ask_public_reason,13,15,1,1,1,single-agent-access-only
149,13,v16-state-13-05,v16-conflict-d13-t05,protect_boundary,13,16,1,1,1,single-conflict
150,13,v16-state-13-06,v16-conflict-d13-t06,split_access,13,14,1,1,1,single-conflict
151,13,v16-state-13-07,v16-conflict-d13-t07,repair_first,13,15,1,1,1,single-conflict
152,13,v16-state-13-08,v16-conflict-d13-t08,repair_first,13,16,1,1,1,single-agent-access-only
153,13,v16-state-13-09,v16-conflict-d13-t09,defer_until_rest,13,14,1,1,1,single-conflict
154,13,v16-state-13-10,v16-conflict-d13-t10,repair_first,13,15,1,1,1,single-conflict
155,13,v16-state-13-11,v16-conflict-d13-t11,rotate_priority,13,16,0,1,0,single-conflict
156,14,v16-state-14-00,v16-conflict-d14-t00,split_access,14,15,1,1,1,single-agent-access-only
157,14,v16-state-14-01,v16-conflict-d14-t01,rotate_priority,14,16,1,1,1,single-conflict
158,14,v16-state-14-02,v16-conflict-d14-t02,split_access,14,17,1,1,1,single-conflict
159,14,v16-state-14-03,v16-conflict-d14-t03,ask_public_reason,14,15,1,1,1,single-conflict
160,14,v16-state-14-04,v16-conflict-d14-t04,repair_first,14,16,1,1,1,single-agent-access-only
161,14,v16-state-14-05,v16-conflict-d14-t05,rotate_priority,14,17,1,1,1,single-conflict
162,14,v16-state-14-06,v16-conflict-d14-t06,repair_first,14,15,1,1,1,single-conflict
163,14,v16-state-14-07,v16-conflict-d14-t07,repair_first,14,16,1,1,1,single-conflict
164,14,v16-state-14-08,v16-conflict-d14-t08,split_access,14,17,1,1,1,single-agent-access-only
165,14,v16-state-14-09,v16-conflict-d14-t09,split_access,14,15,1,1,1,single-conflict
166,14,v16-state-14-10,v16-conflict-d14-t10,ask_public_reason,14,16,1,1,1,single-conflict
167,14,v16-state-14-11,v16-conflict-d14-t11,rotate_priority,14,17,1,1,1,single-conflict
168,15,v16-state-15-00,v16-conflict-d15-t00,protect_boundary,15,16,1,1,1,single-agent-access-only
169,15,v16-state-15-01,v16-conflict-d15-t01,protect_boundary,15,17,1,1,1,single-conflict
170,15,v16-state-15-02,v16-conflict-d15-t02,split_access,15,18,1,1,1,single-conflict
171,15,v16-state-15-03,v16-conflict-d15-t03,defer_until_rest,15,16,1,1,1,single-conflict
172,15,v16-state-15-04,v16-conflict-d15-t04,protect_boundary,15,17,1,1,1,single-agent-access-only
173,15,v16-state-15-05,v16-conflict-d15-t05,repair_first,15,18,1,1,1,single-conflict
174,15,v16-state-15-06,v16-conflict-d15-t06,ask_public_reason,15,16,1,0,0,single-conflict
175,15,v16-state-15-07,v16-conflict-d15-t07,split_access,15,17,1,1,1,single-conflict
176,15,v16-state-15-08,v16-conflict-d15-t08,ask_public_reason,15,18,1,1,1,single-agent-access-only
177,15,v16-state-15-09,v16-conflict-d15-t09,protect_boundary,15,16,1,1,1,single-conflict
178,15,v16-state-15-10,v16-conflict-d15-t10,ask_public_reason,15,17,1,1,1,single-conflict
179,15,v16-state-15-11,v16-conflict-d15-t11,repair_first,15,18,1,1,1,single-conflict
180,16,v16-state-16-00,v16-conflict-d16-t00,ask_public_reason,16,17,1,1,1,single-agent-access-only
181,16,v16-state-16-01,v16-conflict-d16-t01,rotate_priority,16,18,1,1,1,single-conflict
182,16,v16-state-16-02,v16-conflict-d16-t02,repair_first,16,19,1,1,1,single-conflict
183,16,v16-state-16-03,v16-conflict-d16-t03,ask_public_reason,16,17,1,1,1,single-conflict
184,16,v16-state-16-04,v16-conflict-d16-t04,split_access,16,18,1,1,1,single-agent-access-only
185,16,v16-state-16-05,v16-conflict-d16-t05,protect_boundary,16,19,1,1,1,single-conflict
186,16,v16-state-16-06,v16-conflict-d16-t06,defer_until_rest,16,17,0,1,0,single-conflict
187,16,v16-state-16-07,v16-conflict-d16-t07,defer_until_rest,16,18,1,1,1,single-conflict
188,16,v16-state-16-08,v16-conflict-d16-t08,rotate_priority,16,19,1,1,1,single-agent-access-only
189,16,v16-state-16-09,v16-conflict-d16-t09,protect_boundary,16,17,1,1,1,single-conflict
190,16,v16-state-16-10,v16-conflict-d16-t10,ask_public_reason,16,18,1,1,1,single-conflict
191,16,v16-state-16-11,v16-conflict-d16-t11,repair_first,16,19,1,1,1,single-conflict
192,17,v16-state-17-00,v16-conflict-d17-t00,split_access,17,18,1,1,1,single-agent-access-only
193,17,v16-state-17-01,v16-conflict-d17-t01,rotate_priority,17,19,1,1,1,single-conflict
194,17,v16-state-17-02,v16-conflict-d17-t02,split_access,17,20,1,1,1,single-conflict
195,17,v16-state-17-03,v16-conflict-d17-t03,defer_until_rest,17,18,1,1,1,single-conflict
196,17,v16-state-17-04,v16-conflict-d17-t04,rotate_priority,17,19,1,1,1,single-agent-access-only
197,17,v16-state-17-05,v16-conflict-d17-t05,split_access,17,20,1,1,1,single-conflict
198,17,v16-state-17-06,v16-conflict-d17-t06,protect_boundary,17,18,1,1,1,single-conflict
199,17,v16-state-17-07,v16-conflict-d17-t07,split_access,17,19,1,1,1,single-conflict
200,17,v16-state-17-08,v16-conflict-d17-t08,defer_until_rest,17,20,1,1,1,single-agent-access-only
201,17,v16-state-17-09,v16-conflict-d17-t09,protect_boundary,17,18,1,1,1,single-conflict
202,17,v16-state-17-10,v16-conflict-d17-t10,repair_first,17,19,1,1,1,single-conflict
203,17,v16-state-17-11,v16-conflict-d17-t11,defer_until_rest,17,20,1,0,0,single-conflict
204,18,v16-state-18-00,v16-conflict-d18-t00,protect_boundary,18,19,1,1,1,single-agent-access-only
205,18,v16-state-18-01,v16-conflict-d18-t01,split_access,18,20,1,1,1,single-conflict
206,18,v16-state-18-02,v16-conflict-d18-t02,rotate_priority,18,21,1,1,1,single-conflict
207,18,v16-state-18-03,v16-conflict-d18-t03,rotate_priority,18,19,1,1,1,single-conflict
208,18,v16-state-18-04,v16-conflict-d18-t04,rotate_priority,18,20,1,1,1,single-agent-access-only
209,18,v16-state-18-05,v16-conflict-d18-t05,repair_first,18,21,1,1,1,single-conflict
210,18,v16-state-18-06,v16-conflict-d18-t06,repair_first,18,19,1,1,1,single-conflict
211,18,v16-state-18-07,v16-conflict-d18-t07,defer_until_rest,18,20,1,1,1,single-conflict
212,18,v16-state-18-08,v16-conflict-d18-t08,split_access,18,21,1,1,1,single-agent-access-only
213,18,v16-state-18-09,v16-conflict-d18-t09,rotate_priority,18,19,1,1,1,single-conflict
214,18,v16-state-18-10,v16-conflict-d18-t10,ask_public_reason,18,20,1,1,1,single-conflict
215,18,v16-state-18-11,v16-conflict-d18-t11,protect_boundary,18,21,1,1,1,single-conflict
216,19,v16-state-19-00,v16-conflict-d19-t00,split_access,19,20,1,1,1,single-agent-access-only
217,19,v16-state-19-01,v16-conflict-d19-t01,rotate_priority,19,21,0,1,0,single-conflict
218,19,v16-state-19-02,v16-conflict-d19-t02,repair_first,19,21,1,1,1,single-conflict
219,19,v16-state-19-03,v16-conflict-d19-t03,ask_public_reason,19,20,1,1,1,single-conflict
220,19,v16-state-19-04,v16-conflict-d19-t04,repair_first,19,21,1,1,1,single-agent-access-only
221,19,v16-state-19-05,v16-conflict-d19-t05,rotate_priority,19,21,1,1,1,single-conflict
222,19,v16-state-19-06,v16-conflict-d19-t06,protect_boundary,19,20,1,1,1,single-conflict
223,19,v16-state-19-07,v16-conflict-d19-t07,ask_public_reason,19,21,1,1,1,single-conflict
224,19,v16-state-19-08,v16-conflict-d19-t08,split_access,19,21,1,1,1,single-agent-access-only
225,19,v16-state-19-09,v16-conflict-d19-t09,protect_boundary,19,20,1,1,1,single-conflict
226,19,v16-state-19-10,v16-conflict-d19-t10,split_access,19,21,1,1,1,single-conflict
227,19,v16-state-19-11,v16-conflict-d19-t11,rotate_priority,19,21,1,1,1,single-conflict
228,20,v16-state-20-00,v16-conflict-d20-t00,split_access,20,21,1,1,1,single-agent-access-only
229,20,v16-state-20-01,v16-conflict-d20-t01,repair_first,20,21,1,1,1,single-conflict
230,20,v16-state-20-02,v16-conflict-d20-t02,repair_first,20,21,1,1,1,single-conflict
231,20,v16-state-20-03,v16-conflict-d20-t03,defer_until_rest,20,21,1,1,1,single-conflict
232,20,v16-state-20-04,v16-conflict-d20-t04,repair_first,20,21,1,0,0,single-agent-access-only
233,20,v16-state-20-05,v16-conflict-d20-t05,defer_until_rest,20,21,1,1,1,single-conflict
234,20,v16-state-20-06,v16-conflict-d20-t06,rotate_priority,20,21,1,1,1,single-conflict
235,20,v16-state-20-07,v16-conflict-d20-t07,defer_until_rest,20,21,1,1,1,single-conflict
236,20,v16-state-20-08,v16-conflict-d20-t08,repair_first,20,21,1,1,1,single-agent-access-only
237,20,v16-state-20-09,v16-conflict-d20-t09,rotate_priority,20,21,1,1,1,single-conflict
238,20,v16-state-20-10,v16-conflict-d20-t10,defer_until_rest,20,21,1,1,0,single-conflict
239,20,v16-state-20-11,v16-conflict-d20-t11,ask_public_reason,20,21,1,1,1,single-conflict
240,21,v16-state-21-00,v16-conflict-d21-t00,repair_first,21,21,1,0,0,single-agent-access-only
241,21,v16-state-21-01,v16-conflict-d21-t01,protect_boundary,21,21,1,0,0,single-conflict
242,21,v16-state-21-02,v16-conflict-d21-t02,protect_boundary,21,21,1,0,0,single-conflict
243,21,v16-state-21-03,v16-conflict-d21-t03,repair_first,21,21,1,0,0,single-conflict
244,21,v16-state-21-04,v16-conflict-d21-t04,defer_until_rest,21,21,1,0,0,single-agent-access-only
245,21,v16-state-21-05,v16-conflict-d21-t05,split_access,21,21,1,0,0,single-conflict
246,21,v16-state-21-06,v16-conflict-d21-t06,ask_public_reason,21,21,1,0,0,single-conflict
247,21,v16-state-21-07,v16-conflict-d21-t07,repair_first,21,21,1,0,0,single-conflict
248,21,v16-state-21-08,v16-conflict-d21-t08,ask_public_reason,21,21,0,0,0,single-agent-access-only
249,21,v16-state-21-09,v16-conflict-d21-t09,protect_boundary,21,21,1,0,0,single-conflict
250,21,v16-state-21-10,v16-conflict-d21-t10,repair_first,21,21,1,0,0,single-conflict
251,21,v16-state-21-11,v16-conflict-d21-t11,ask_public_reason,21,21,1,0,0,single-conflict
