day,import_hash,export_hash,save_restore_available,carried_autonomy_hash,sleep_rows,rehearsal_rows,reentry_rows,durable_keys
26,50a70922e375a4ea,b31e41dc25fb8417,False,f1fd65676b12ad58,156,156,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
27,50a70922e375a4ea,bad275f79a2423ca,False,f1fd65676b12ad58,162,162,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
28,c40d2f02a1376383,c40d2f02a1376383,True,f1fd65676b12ad58,168,168,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
29,a858cae7b0299119,a858cae7b0299119,True,f1fd65676b12ad58,174,174,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
30,a858cae7b0299119,de2fb8d17ce57eee,False,f1fd65676b12ad58,180,180,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
31,a858cae7b0299119,60c0a4c7b54ee79f,False,f1fd65676b12ad58,186,186,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
32,a858cae7b0299119,291058acd167f590,False,f1fd65676b12ad58,192,192,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
33,a858cae7b0299119,d439ead1f5a38602,False,f1fd65676b12ad58,198,198,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
34,a858cae7b0299119,9711a36db8f6ad3d,False,f1fd65676b12ad58,204,204,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
35,435f3ee78889c4ad,435f3ee78889c4ad,True,f1fd65676b12ad58,210,210,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
36,435f3ee78889c4ad,6eb4ec9c6fab998c,False,f1fd65676b12ad58,216,216,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
37,435f3ee78889c4ad,a4101c14c1764e7c,False,f1fd65676b12ad58,222,222,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
38,435f3ee78889c4ad,0c92ca7c8c8ade21,False,f1fd65676b12ad58,228,228,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
39,435f3ee78889c4ad,37be2d525c329162,False,f1fd65676b12ad58,234,234,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
40,435f3ee78889c4ad,08a6f7f95b759dbe,False,f1fd65676b12ad58,240,240,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
41,435f3ee78889c4ad,eb90a9110d5cb095,False,f1fd65676b12ad58,246,246,4,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
42,f1d5c67791408c60,f1d5c67791408c60,True,f1fd65676b12ad58,252,252,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
43,f1d5c67791408c60,35397dc8a5766936,False,f1fd65676b12ad58,258,258,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
44,f1d5c67791408c60,c61f69cd81df31a8,False,f1fd65676b12ad58,264,264,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
45,f1d5c67791408c60,1e6d8c7263e5cff7,False,f1fd65676b12ad58,270,270,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
46,f1d5c67791408c60,7f03859d89f8d97b,False,f1fd65676b12ad58,276,276,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
47,f1d5c67791408c60,a796770c30307598,False,f1fd65676b12ad58,282,282,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
48,f1d5c67791408c60,99976e206e5d5ef1,False,f1fd65676b12ad58,288,288,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
49,aa7c3bc9f3a874a9,aa7c3bc9f3a874a9,True,f1fd65676b12ad58,294,294,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
50,aa7c3bc9f3a874a9,65ffe85042c748e4,False,f1fd65676b12ad58,300,300,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
51,aa7c3bc9f3a874a9,c7035d11db7134f0,False,f1fd65676b12ad58,306,306,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
52,aa7c3bc9f3a874a9,9e7fef478a42eba2,False,f1fd65676b12ad58,312,312,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
53,aa7c3bc9f3a874a9,fae06c007cff1108,False,f1fd65676b12ad58,318,318,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
54,aa7c3bc9f3a874a9,d69726bb9e1239af,False,f1fd65676b12ad58,324,324,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
55,aa7c3bc9f3a874a9,c6822eb6910cf3aa,False,f1fd65676b12ad58,330,330,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
56,93b50f622be80c2a,93b50f622be80c2a,True,f1fd65676b12ad58,336,336,5,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
