tick,day,resident,minigame_id,step,action,failure_cause,failure_animation,recoverable,retry_visible,progress_before,progress_after
67,4,Tovan,repair-04-tovan,return,Tovan attempts return while avatar route is ask_help,none,steady success pulse,True,False,0.802222,0.857222
68,4,Nia,repair-04-nia,align,Nia attempts align while avatar route is offer_tool,misaligned brace,shake head and reset,True,True,0.857778,0.825778
69,4,Ari,repair-04-ari,bind,Ari attempts bind while avatar route is apologize,tool slips,sparks fade,True,True,0.913333,0.881333
70,4,Fay,repair-04-fay,brace,Fay attempts brace while avatar route is ask_sensory,none,thread unspools,True,False,0.968889,1.0
71,4,Milo,repair-04-milo,dry,Milo attempts dry while avatar route is request_space,misaligned brace,tool clatters softly,True,True,0.98,0.948
72,5,Sera,repair-05-sera,return,Sera attempts return while avatar route is thank_resident,tool slips,steady success pulse,True,True,0.16,0.128
73,5,Tovan,repair-05-tovan,align,Tovan attempts align while avatar route is ask_repair,none,shake head and reset,True,False,0.215556,0.270556
74,5,Nia,repair-05-nia,bind,Nia attempts bind while avatar route is ask_help,misaligned brace,sparks fade,True,True,0.271111,0.239111
75,5,Ari,repair-05-ari,brace,Ari attempts brace while avatar route is offer_tool,tool slips,thread unspools,True,True,0.326667,0.294667
76,5,Fay,repair-05-fay,dry,Fay attempts dry while avatar route is apologize,none,tool clatters softly,True,False,0.382222,0.437222
77,5,Milo,repair-05-milo,test,Milo attempts test while avatar route is ask_sensory,misaligned brace,patch peels back,True,True,0.437778,0.405778
78,5,Sera,repair-05-sera,return,Sera attempts return while avatar route is request_space,tool slips,steady success pulse,True,True,0.493333,0.461333
79,5,Tovan,repair-05-tovan,align,Tovan attempts align while avatar route is thank_resident,none,shake head and reset,True,False,0.548889,0.603889
80,5,Nia,repair-05-nia,bind,Nia attempts bind while avatar route is ask_repair,misaligned brace,sparks fade,True,True,0.604444,0.572444
81,5,Ari,repair-05-ari,brace,Ari attempts brace while avatar route is ask_help,tool slips,thread unspools,True,True,0.66,0.628
82,5,Fay,repair-05-fay,dry,Fay attempts dry while avatar route is offer_tool,none,tool clatters softly,True,False,0.715556,0.770556
83,5,Milo,repair-05-milo,test,Milo attempts test while avatar route is apologize,misaligned brace,patch peels back,True,True,0.771111,0.739111
84,5,Sera,repair-05-sera,return,Sera attempts return while avatar route is ask_sensory,tool slips,steady success pulse,True,True,0.826667,0.794667
85,5,Tovan,repair-05-tovan,align,Tovan attempts align while avatar route is request_space,none,shake head and reset,True,False,0.882222,0.937222
86,5,Nia,repair-05-nia,bind,Nia attempts bind while avatar route is thank_resident,misaligned brace,sparks fade,True,True,0.937778,0.905778
87,5,Ari,repair-05-ari,brace,Ari attempts brace while avatar route is ask_repair,tool slips,thread unspools,True,True,0.98,0.948
88,5,Fay,repair-05-fay,dry,Fay attempts dry while avatar route is ask_help,none,tool clatters softly,True,False,0.98,1.0
89,5,Milo,repair-05-milo,test,Milo attempts test while avatar route is offer_tool,misaligned brace,patch peels back,True,True,0.98,0.948
90,6,Sera,repair-06-sera,align,Sera attempts align while avatar route is apologize,tool slips,shake head and reset,True,True,0.0,0.0
91,6,Tovan,repair-06-tovan,bind,Tovan attempts bind while avatar route is ask_sensory,none,sparks fade,True,False,0.055556,0.110556
92,6,Nia,repair-06-nia,brace,Nia attempts brace while avatar route is request_space,misaligned brace,thread unspools,True,True,0.111111,0.079111
93,6,Ari,repair-06-ari,dry,Ari attempts dry while avatar route is thank_resident,tool slips,tool clatters softly,True,True,0.166667,0.134667
94,6,Fay,repair-06-fay,test,Fay attempts test while avatar route is ask_repair,none,patch peels back,True,False,0.222222,0.277222
95,6,Milo,repair-06-milo,return,Milo attempts return while avatar route is ask_help,misaligned brace,steady success pulse,True,True,0.277778,0.245778
96,6,Sera,repair-06-sera,align,Sera attempts align while avatar route is offer_tool,tool slips,shake head and reset,True,True,0.333333,0.301333
97,6,Tovan,repair-06-tovan,bind,Tovan attempts bind while avatar route is apologize,none,sparks fade,True,False,0.388889,0.443889
98,6,Nia,repair-06-nia,brace,Nia attempts brace while avatar route is ask_sensory,misaligned brace,thread unspools,True,True,0.444444,0.412444
99,6,Ari,repair-06-ari,dry,Ari attempts dry while avatar route is request_space,tool slips,tool clatters softly,True,True,0.5,0.468
100,6,Fay,repair-06-fay,test,Fay attempts test while avatar route is thank_resident,none,patch peels back,True,False,0.555556,0.610556
101,6,Milo,repair-06-milo,return,Milo attempts return while avatar route is ask_repair,misaligned brace,steady success pulse,True,True,0.611111,0.579111
102,6,Sera,repair-06-sera,align,Sera attempts align while avatar route is ask_help,tool slips,shake head and reset,True,True,0.666667,0.634667
103,6,Tovan,repair-06-tovan,bind,Tovan attempts bind while avatar route is offer_tool,none,sparks fade,True,False,0.722222,0.777222
104,6,Nia,repair-06-nia,brace,Nia attempts brace while avatar route is apologize,misaligned brace,thread unspools,True,True,0.777778,0.745778
105,6,Ari,repair-06-ari,dry,Ari attempts dry while avatar route is ask_sensory,tool slips,tool clatters softly,True,True,0.833333,0.801333
106,6,Fay,repair-06-fay,test,Fay attempts test while avatar route is request_space,none,patch peels back,True,False,0.888889,0.943889
107,6,Milo,repair-06-milo,return,Milo attempts return while avatar route is thank_resident,misaligned brace,steady success pulse,True,True,0.944444,0.912444
108,7,Sera,repair-07-sera,bind,Sera attempts bind while avatar route is ask_repair,tool slips,sparks fade,True,True,0.08,0.048
109,7,Tovan,repair-07-tovan,brace,Tovan attempts brace while avatar route is ask_help,none,thread unspools,True,False,0.135556,0.190556
110,7,Nia,repair-07-nia,dry,Nia attempts dry while avatar route is offer_tool,misaligned brace,tool clatters softly,True,True,0.191111,0.159111
111,7,Ari,repair-07-ari,test,Ari attempts test while avatar route is apologize,tool slips,patch peels back,True,True,0.246667,0.214667
112,7,Fay,repair-07-fay,return,Fay attempts return while avatar route is ask_sensory,none,steady success pulse,True,False,0.302222,0.357222
113,7,Milo,repair-07-milo,align,Milo attempts align while avatar route is request_space,misaligned brace,shake head and reset,True,True,0.357778,0.325778
114,7,Sera,repair-07-sera,bind,Sera attempts bind while avatar route is thank_resident,tool slips,sparks fade,True,True,0.413333,0.381333
115,7,Tovan,repair-07-tovan,brace,Tovan attempts brace while avatar route is ask_repair,none,thread unspools,True,False,0.468889,0.523889
116,7,Nia,repair-07-nia,dry,Nia attempts dry while avatar route is ask_help,misaligned brace,tool clatters softly,True,True,0.524444,0.492444
117,7,Ari,repair-07-ari,test,Ari attempts test while avatar route is offer_tool,tool slips,patch peels back,True,True,0.58,0.548
118,7,Fay,repair-07-fay,return,Fay attempts return while avatar route is apologize,none,steady success pulse,True,False,0.635556,0.690556
119,7,Milo,repair-07-milo,align,Milo attempts align while avatar route is ask_sensory,misaligned brace,shake head and reset,True,True,0.691111,0.659111
120,7,Sera,repair-07-sera,bind,Sera attempts bind while avatar route is request_space,tool slips,sparks fade,True,True,0.746667,0.714667
121,7,Tovan,repair-07-tovan,brace,Tovan attempts brace while avatar route is thank_resident,none,thread unspools,True,False,0.802222,0.857222
122,7,Nia,repair-07-nia,dry,Nia attempts dry while avatar route is ask_repair,misaligned brace,tool clatters softly,True,True,0.857778,0.825778
123,7,Ari,repair-07-ari,test,Ari attempts test while avatar route is ask_help,tool slips,patch peels back,True,True,0.913333,0.881333
124,7,Fay,repair-07-fay,return,Fay attempts return while avatar route is offer_tool,none,steady success pulse,True,False,0.968889,1.0
125,7,Milo,repair-07-milo,align,Milo attempts align while avatar route is apologize,misaligned brace,shake head and reset,True,True,0.98,0.948
126,8,Sera,repair-08-sera,brace,Sera attempts brace while avatar route is ask_sensory,tool slips,thread unspools,True,True,0.16,0.128
127,8,Tovan,repair-08-tovan,dry,Tovan attempts dry while avatar route is request_space,none,tool clatters softly,True,False,0.215556,0.270556
128,8,Nia,repair-08-nia,test,Nia attempts test while avatar route is thank_resident,misaligned brace,patch peels back,True,True,0.271111,0.239111
129,8,Ari,repair-08-ari,return,Ari attempts return while avatar route is ask_repair,tool slips,steady success pulse,True,True,0.326667,0.294667
130,8,Fay,repair-08-fay,align,Fay attempts align while avatar route is ask_help,none,shake head and reset,True,False,0.382222,0.437222
131,8,Milo,repair-08-milo,bind,Milo attempts bind while avatar route is offer_tool,misaligned brace,sparks fade,True,True,0.437778,0.405778
132,8,Sera,repair-08-sera,brace,Sera attempts brace while avatar route is apologize,tool slips,thread unspools,True,True,0.493333,0.461333
133,8,Tovan,repair-08-tovan,dry,Tovan attempts dry while avatar route is ask_sensory,none,tool clatters softly,True,False,0.548889,0.603889
134,8,Nia,repair-08-nia,test,Nia attempts test while avatar route is request_space,misaligned brace,patch peels back,True,True,0.604444,0.572444
135,8,Ari,repair-08-ari,return,Ari attempts return while avatar route is thank_resident,tool slips,steady success pulse,True,True,0.66,0.628
136,8,Fay,repair-08-fay,align,Fay attempts align while avatar route is ask_repair,none,shake head and reset,True,False,0.715556,0.770556
137,8,Milo,repair-08-milo,bind,Milo attempts bind while avatar route is ask_help,misaligned brace,sparks fade,True,True,0.771111,0.739111
138,8,Sera,repair-08-sera,brace,Sera attempts brace while avatar route is offer_tool,tool slips,thread unspools,True,True,0.826667,0.794667
139,8,Tovan,repair-08-tovan,dry,Tovan attempts dry while avatar route is apologize,none,tool clatters softly,True,False,0.882222,0.937222
140,8,Nia,repair-08-nia,test,Nia attempts test while avatar route is ask_sensory,misaligned brace,patch peels back,True,True,0.937778,0.905778
141,8,Ari,repair-08-ari,return,Ari attempts return while avatar route is request_space,tool slips,steady success pulse,True,True,0.98,0.948
142,8,Fay,repair-08-fay,align,Fay attempts align while avatar route is thank_resident,none,shake head and reset,True,False,0.98,1.0
143,8,Milo,repair-08-milo,bind,Milo attempts bind while avatar route is ask_repair,misaligned brace,sparks fade,True,True,0.98,0.948
144,9,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is ask_help,tool slips,tool clatters softly,True,True,0.0,0.0
145,9,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is offer_tool,none,patch peels back,True,False,0.055556,0.110556
146,9,Nia,repair-09-nia,return,Nia attempts return while avatar route is apologize,misaligned brace,steady success pulse,True,True,0.111111,0.079111
147,9,Ari,repair-09-ari,align,Ari attempts align while avatar route is ask_sensory,tool slips,shake head and reset,True,True,0.166667,0.134667
148,9,Fay,repair-09-fay,bind,Fay attempts bind while avatar route is request_space,none,sparks fade,True,False,0.222222,0.277222
149,9,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is thank_resident,misaligned brace,thread unspools,True,True,0.277778,0.245778
150,9,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is ask_repair,tool slips,tool clatters softly,True,True,0.333333,0.301333
151,9,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is ask_help,none,patch peels back,True,False,0.388889,0.443889
152,9,Nia,repair-09-nia,return,Nia attempts return while avatar route is offer_tool,misaligned brace,steady success pulse,True,True,0.444444,0.412444
153,9,Ari,repair-09-ari,align,Ari attempts align while avatar route is apologize,tool slips,shake head and reset,True,True,0.5,0.468
154,9,Fay,repair-09-fay,bind,Fay attempts bind while avatar route is ask_sensory,none,sparks fade,True,False,0.555556,0.610556
155,9,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is request_space,misaligned brace,thread unspools,True,True,0.611111,0.579111
156,9,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is thank_resident,tool slips,tool clatters softly,True,True,0.666667,0.634667
157,9,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is ask_repair,none,patch peels back,True,False,0.722222,0.777222
158,9,Nia,repair-09-nia,return,Nia attempts return while avatar route is ask_help,misaligned brace,steady success pulse,True,True,0.777778,0.745778
159,9,Ari,repair-09-ari,align,Ari attempts align while avatar route is offer_tool,tool slips,shake head and reset,True,True,0.833333,0.801333
160,9,Fay,repair-09-fay,bind,Fay attempts bind while avatar route is apologize,none,sparks fade,True,False,0.888889,0.943889
161,9,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is ask_sensory,misaligned brace,thread unspools,True,True,0.944444,0.912444
162,10,Sera,repair-10-sera,test,Sera attempts test while avatar route is request_space,tool slips,patch peels back,True,True,0.08,0.048
163,10,Tovan,repair-10-tovan,return,Tovan attempts return while avatar route is thank_resident,none,steady success pulse,True,False,0.135556,0.190556
164,10,Nia,repair-10-nia,align,Nia attempts align while avatar route is ask_repair,misaligned brace,shake head and reset,True,True,0.191111,0.159111
165,10,Ari,repair-10-ari,bind,Ari attempts bind while avatar route is ask_help,tool slips,sparks fade,True,True,0.246667,0.214667
166,10,Fay,repair-10-fay,brace,Fay attempts brace while avatar route is offer_tool,none,thread unspools,True,False,0.302222,0.357222
167,10,Milo,repair-10-milo,dry,Milo attempts dry while avatar route is apologize,misaligned brace,tool clatters softly,True,True,0.357778,0.325778
168,10,Sera,repair-10-sera,test,Sera attempts test while avatar route is ask_sensory,tool slips,patch peels back,True,True,0.413333,0.381333
169,10,Tovan,repair-10-tovan,return,Tovan attempts return while avatar route is request_space,none,steady success pulse,True,False,0.468889,0.523889
170,10,Nia,repair-10-nia,align,Nia attempts align while avatar route is thank_resident,misaligned brace,shake head and reset,True,True,0.524444,0.492444
171,10,Ari,repair-10-ari,bind,Ari attempts bind while avatar route is ask_repair,tool slips,sparks fade,True,True,0.58,0.548
172,10,Fay,repair-10-fay,brace,Fay attempts brace while avatar route is ask_help,none,thread unspools,True,False,0.635556,0.690556
173,10,Milo,repair-10-milo,dry,Milo attempts dry while avatar route is offer_tool,misaligned brace,tool clatters softly,True,True,0.691111,0.659111
174,10,Sera,repair-10-sera,test,Sera attempts test while avatar route is apologize,tool slips,patch peels back,True,True,0.746667,0.714667
175,10,Tovan,repair-10-tovan,return,Tovan attempts return while avatar route is ask_sensory,none,steady success pulse,True,False,0.802222,0.857222
176,10,Nia,repair-10-nia,align,Nia attempts align while avatar route is request_space,misaligned brace,shake head and reset,True,True,0.857778,0.825778
177,10,Ari,repair-10-ari,bind,Ari attempts bind while avatar route is thank_resident,tool slips,sparks fade,True,True,0.913333,0.881333
178,10,Fay,repair-10-fay,brace,Fay attempts brace while avatar route is ask_repair,none,thread unspools,True,False,0.968889,1.0
179,10,Milo,repair-10-milo,dry,Milo attempts dry while avatar route is ask_help,misaligned brace,tool clatters softly,True,True,0.98,0.948
180,11,Sera,repair-11-sera,return,Sera attempts return while avatar route is offer_tool,tool slips,steady success pulse,True,True,0.16,0.128
181,11,Tovan,repair-11-tovan,align,Tovan attempts align while avatar route is apologize,none,shake head and reset,True,False,0.215556,0.270556
182,11,Nia,repair-11-nia,bind,Nia attempts bind while avatar route is ask_sensory,misaligned brace,sparks fade,True,True,0.271111,0.239111
183,11,Ari,repair-11-ari,brace,Ari attempts brace while avatar route is request_space,tool slips,thread unspools,True,True,0.326667,0.294667
184,11,Fay,repair-11-fay,dry,Fay attempts dry while avatar route is thank_resident,none,tool clatters softly,True,False,0.382222,0.437222
185,11,Milo,repair-11-milo,test,Milo attempts test while avatar route is ask_repair,misaligned brace,patch peels back,True,True,0.437778,0.405778
186,11,Sera,repair-11-sera,return,Sera attempts return while avatar route is ask_help,tool slips,steady success pulse,True,True,0.493333,0.461333
187,11,Tovan,repair-11-tovan,align,Tovan attempts align while avatar route is offer_tool,none,shake head and reset,True,False,0.548889,0.603889
188,11,Nia,repair-11-nia,bind,Nia attempts bind while avatar route is apologize,misaligned brace,sparks fade,True,True,0.604444,0.572444
189,11,Ari,repair-11-ari,brace,Ari attempts brace while avatar route is ask_sensory,tool slips,thread unspools,True,True,0.66,0.628
190,11,Fay,repair-11-fay,dry,Fay attempts dry while avatar route is request_space,none,tool clatters softly,True,False,0.715556,0.770556
191,11,Milo,repair-11-milo,test,Milo attempts test while avatar route is thank_resident,misaligned brace,patch peels back,True,True,0.771111,0.739111
192,11,Sera,repair-11-sera,return,Sera attempts return while avatar route is ask_repair,tool slips,steady success pulse,True,True,0.826667,0.794667
193,11,Tovan,repair-11-tovan,align,Tovan attempts align while avatar route is ask_help,none,shake head and reset,True,False,0.882222,0.937222
194,11,Nia,repair-11-nia,bind,Nia attempts bind while avatar route is offer_tool,misaligned brace,sparks fade,True,True,0.937778,0.905778
195,11,Ari,repair-11-ari,brace,Ari attempts brace while avatar route is apologize,tool slips,thread unspools,True,True,0.98,0.948
196,11,Fay,repair-11-fay,dry,Fay attempts dry while avatar route is ask_sensory,none,tool clatters softly,True,False,0.98,1.0
197,11,Milo,repair-11-milo,test,Milo attempts test while avatar route is request_space,misaligned brace,patch peels back,True,True,0.98,0.948
198,12,Sera,repair-00-sera,align,Sera attempts align while avatar route is thank_resident,tool slips,shake head and reset,True,True,0.0,0.0
199,12,Tovan,repair-00-tovan,bind,Tovan attempts bind while avatar route is ask_repair,none,sparks fade,True,False,0.055556,0.110556
200,12,Nia,repair-00-nia,brace,Nia attempts brace while avatar route is ask_help,misaligned brace,thread unspools,True,True,0.111111,0.079111
201,12,Ari,repair-00-ari,dry,Ari attempts dry while avatar route is offer_tool,tool slips,tool clatters softly,True,True,0.166667,0.134667
202,12,Fay,repair-00-fay,test,Fay attempts test while avatar route is apologize,none,patch peels back,True,False,0.222222,0.277222
203,12,Milo,repair-00-milo,return,Milo attempts return while avatar route is ask_sensory,misaligned brace,steady success pulse,True,True,0.277778,0.245778
204,12,Sera,repair-00-sera,align,Sera attempts align while avatar route is request_space,tool slips,shake head and reset,True,True,0.333333,0.301333
205,12,Tovan,repair-00-tovan,bind,Tovan attempts bind while avatar route is thank_resident,none,sparks fade,True,False,0.388889,0.443889
206,12,Nia,repair-00-nia,brace,Nia attempts brace while avatar route is ask_repair,misaligned brace,thread unspools,True,True,0.444444,0.412444
207,12,Ari,repair-00-ari,dry,Ari attempts dry while avatar route is ask_help,tool slips,tool clatters softly,True,True,0.5,0.468
208,12,Fay,repair-00-fay,test,Fay attempts test while avatar route is offer_tool,none,patch peels back,True,False,0.555556,0.610556
209,12,Milo,repair-00-milo,return,Milo attempts return while avatar route is apologize,misaligned brace,steady success pulse,True,True,0.611111,0.579111
210,12,Sera,repair-00-sera,align,Sera attempts align while avatar route is ask_sensory,tool slips,shake head and reset,True,True,0.666667,0.634667
211,12,Tovan,repair-00-tovan,bind,Tovan attempts bind while avatar route is request_space,none,sparks fade,True,False,0.722222,0.777222
212,12,Nia,repair-00-nia,brace,Nia attempts brace while avatar route is thank_resident,misaligned brace,thread unspools,True,True,0.777778,0.745778
213,12,Ari,repair-00-ari,dry,Ari attempts dry while avatar route is ask_repair,tool slips,tool clatters softly,True,True,0.833333,0.801333
214,12,Fay,repair-00-fay,test,Fay attempts test while avatar route is ask_help,none,patch peels back,True,False,0.888889,0.943889
215,12,Milo,repair-00-milo,return,Milo attempts return while avatar route is offer_tool,misaligned brace,steady success pulse,True,True,0.944444,0.912444
216,13,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is apologize,tool slips,sparks fade,True,True,0.08,0.048
217,13,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is ask_sensory,none,thread unspools,True,False,0.135556,0.190556
218,13,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is request_space,misaligned brace,tool clatters softly,True,True,0.191111,0.159111
219,13,Ari,repair-01-ari,test,Ari attempts test while avatar route is thank_resident,tool slips,patch peels back,True,True,0.246667,0.214667
220,13,Fay,repair-01-fay,return,Fay attempts return while avatar route is ask_repair,none,steady success pulse,True,False,0.302222,0.357222
