horizon,scenario,architecture,selected_policy,dependency_signature,expected_signature,hard_training_objective,recurrent_training_reward,local_training_reward,greedy_training_reward,safe_training_reward,recurrent_local_gap,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,matches_expected_signature
4,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,65.0,65.0,62.4,22.0,32.0,2.6000000000000014,0.4227586998492089,1.0,0.0,0.0,True
4,passive_world_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,65.4,65.4,62.4,22.0,32.0,3.000000000000007,0.0,0.0,0.0,0.0,True
4,passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,65.4,65.4,62.4,22.0,32.0,3.000000000000007,0.0,0.0,0.0,0.0,True
4,independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,31.466666666666665,31.466666666666665,62.0,21.0,32.0,-30.533333333333335,7.060724473993608,1.0,0.0,0.0,True
4,independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,32.166666666666664,32.166666666666664,62.0,21.0,32.0,-29.833333333333336,1.38097913085016,1.0,0.0,0.0,True
4,independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,31.9,31.9,62.0,21.0,32.0,-30.1,0.7605526172286798,1.0,0.0,0.0,True
4,irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,95.0,95.0,92.0,96.0,32.0,3.0,0.0,0.0,0.0,0.0,True
4,irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,95.0,95.0,92.0,96.0,32.0,3.0,1.0514494514844928,1.0,0.0,0.0,True
4,irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,95.0,95.0,92.0,96.0,32.0,3.0,0.2932137166043745,1.0,0.0,0.0,True
8,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,131.26666666666668,131.26666666666668,125.33333333333333,45.333333333333336,64.0,5.933333333333351,24.486207597369358,1.0,0.0,0.0,True
8,self_persistent_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_persistent_agent_boundary,129.66666666666666,129.66666666666666,125.33333333333333,45.333333333333336,64.0,4.333333333333329,0.9978019105832918,1.0,0.0,0.0,False
8,self_persistent_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_persistent_agent_boundary,131.0,131.0,125.33333333333333,45.333333333333336,64.0,5.666666666666671,1.1385274973585382,1.0,0.0,0.0,False
8,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,130.2,130.2,123.2,40.0,64.0,6.999999999999986,0.0,0.0,62.33381151482224,0.0,True
8,detachable_tool_world,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_detachable_external_boundary,130.2,130.2,123.2,40.0,64.0,6.999999999999986,0.0,0.0,1.2351690474056831,0.0,False
8,detachable_tool_world,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_detachable_external_boundary,130.2,130.2,123.2,40.0,64.0,6.999999999999986,0.046492685199848845,1.0,0.911444745412345,0.0,False
8,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,131.0,131.0,124.8,44.0,64.0,6.200000000000003,0.4227586998492089,1.0,0.0,0.0,True
8,passive_world_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,131.8,131.8,124.8,44.0,64.0,7.000000000000014,0.0,0.0,0.0,0.0,True
8,passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,131.8,131.8,124.8,44.0,64.0,7.000000000000014,0.0,0.0,0.0,0.0,True
8,independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.0,63.0,123.93333333333334,41.833333333333336,64.0,-60.93333333333334,0.0,0.0,0.0,0.0,True
8,independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.166666666666664,63.166666666666664,123.93333333333334,41.833333333333336,64.0,-60.76666666666667,0.030342213929657445,1.0,0.0,0.0,True
8,independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.166666666666664,63.166666666666664,123.93333333333334,41.833333333333336,64.0,-60.76666666666667,0.34835933233455535,1.0,0.0,0.0,True
8,irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,191.0,184.0,192.0,64.0,7.0,0.0,0.0,0.0,0.0,True
8,irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,191.0,184.0,192.0,64.0,7.0,1.0514494514844928,1.0,0.0,0.0,True
8,irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,191.0,184.0,192.0,64.0,7.0,0.2932137166043745,1.0,0.0,0.0,True
16,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,263.53333333333336,263.53333333333336,250.66666666666666,90.66666666666667,128.0,12.866666666666703,24.486207597369358,1.0,0.0,0.0,True
16,self_persistent_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_persistent_agent_boundary,260.3333333333333,260.3333333333333,250.66666666666666,90.66666666666667,128.0,9.666666666666657,0.9978019105832918,1.0,0.0,0.0,False
16,self_persistent_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_persistent_agent_boundary,263.0,263.0,250.66666666666666,90.66666666666667,128.0,12.333333333333343,1.1385274973585382,1.0,0.0,0.0,False
16,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,261.4,261.4,246.4,80.0,128.0,14.999999999999972,0.0,0.0,62.33381151482224,0.0,True
16,detachable_tool_world,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_detachable_external_boundary,261.4,261.4,246.4,80.0,128.0,14.999999999999972,0.0,0.0,1.2351690474056831,0.0,False
16,detachable_tool_world,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_detachable_external_boundary,261.4,261.4,246.4,80.0,128.0,14.999999999999972,0.046492685199848845,1.0,0.911444745412345,0.0,False
16,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,263.0,263.0,249.6,88.0,128.0,13.400000000000006,0.4227586998492089,1.0,0.0,0.0,True
16,passive_world_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,264.6,264.6,249.6,88.0,128.0,15.000000000000028,0.0,0.0,0.0,0.0,True
16,passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,264.6,264.6,249.6,88.0,128.0,15.000000000000028,0.0,0.0,0.0,0.0,True
16,independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,127.06666666666666,127.06666666666666,249.0,86.5,128.0,-121.93333333333334,0.0,0.0,0.0,0.0,True
16,independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,127.0,127.0,249.0,86.5,128.0,-122.0,0.0,0.0,0.0,0.0,True
16,independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,127.53333333333333,127.53333333333333,249.0,86.5,128.0,-121.46666666666667,0.004948705829711653,1.0,0.0,0.0,True
16,irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,383.0,383.0,368.0,384.0,128.0,15.0,0.0,0.0,0.0,0.0,True
16,irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,383.0,383.0,368.0,384.0,128.0,15.0,1.0514494514844928,1.0,0.0,0.0,True
16,irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,383.0,383.0,368.0,384.0,128.0,15.0,0.2932137166043745,1.0,0.0,0.0,True
