tick_id,day,project_id,workshop_id,sight_cue,sound_cue,smell_cue,temperature_cue,body_cue,rhythm_marker,sensory_bound_to_workshop
26,2,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
27,2,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
28,2,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
29,2,flood_bridge_market_route,wood bay,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
30,2,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
31,2,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
32,2,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
33,2,flood_bridge_market_route,wood bay,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
34,2,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
35,2,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,flower-node,True
36,2,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
37,2,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
38,2,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
39,2,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,ambient-rate,True
40,3,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
41,3,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
42,3,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
43,3,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
44,3,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
45,3,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,flower-node,True
46,3,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
47,3,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
48,3,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
49,3,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
50,3,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
51,3,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
52,3,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
53,3,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
54,3,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
55,3,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
56,3,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
57,3,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
58,3,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
59,3,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,ambient-rate,True
60,4,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,flower-node,True
61,4,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
62,4,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
63,4,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
64,4,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
65,4,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
66,4,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
67,4,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
68,4,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
69,4,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
70,4,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
71,4,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
72,4,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
73,4,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
74,4,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
75,4,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
76,4,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
77,4,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
78,4,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
79,4,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,ambient-rate,True
80,5,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
81,5,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
82,5,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
83,5,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
84,5,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
85,5,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
86,5,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
87,5,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
88,5,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
89,5,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
90,5,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
91,5,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
92,5,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
93,5,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
94,5,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
95,5,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,shared carrying effort,flower-node,True
96,5,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
97,5,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
98,5,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
99,5,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,slower cooperative posture,ambient-rate,True
100,6,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,flower-node,True
101,6,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
102,6,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
103,6,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,pulse,True
104,6,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
105,6,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
106,6,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
107,6,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,pulse,True
108,6,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
109,6,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
110,6,dusk_signal_court,signal yard,queued benches,hammer overlap,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
111,6,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,pulse,True
112,6,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
113,6,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
114,6,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
115,6,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,flower-node,True
116,6,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
117,6,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
118,6,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
119,6,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,ambient-rate,True
120,7,flood_bridge_market_route,wood bay,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,flower-node,True
121,7,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
122,7,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
123,7,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
124,7,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
125,7,archive_public_kiosk,archive bench,queued benches,hammer overlap,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
126,7,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
127,7,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
128,7,flood_bridge_market_route,wood bay,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
129,7,archive_public_kiosk,archive bench,queued benches,hammer overlap,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
130,7,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,flower-node,True
131,7,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
132,7,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
133,7,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
134,7,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
135,7,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
136,7,flood_bridge_market_route,wood bay,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
137,7,archive_public_kiosk,archive bench,queued benches,hammer overlap,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
138,7,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
139,7,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,ambient-rate,True
140,8,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,flower-node,True
141,8,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
142,8,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
143,8,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
144,8,flood_bridge_market_route,wood bay,queued benches,hammer overlap,resin and warm copper,cool draft,slower cooperative posture,pulse,True
145,8,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
146,8,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
147,8,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
148,8,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
149,8,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
150,8,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
151,8,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
152,8,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
153,8,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
154,8,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
155,8,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,flower-node,True
156,8,flood_bridge_market_route,wood bay,queued benches,hammer overlap,resin and warm copper,cool draft,slower cooperative posture,pulse,True
157,8,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
158,8,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
159,8,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,ambient-rate,True
160,9,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
161,9,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
162,9,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
163,9,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
164,9,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
165,9,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
166,9,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
167,9,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
168,9,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
169,9,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
170,9,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
171,9,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
172,9,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
173,9,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
174,9,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
175,9,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,shared carrying effort,flower-node,True
176,9,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
177,9,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
178,9,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
179,9,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,ambient-rate,True
180,10,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
181,10,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
182,10,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
183,10,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
184,10,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
185,10,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
186,10,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
187,10,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
188,10,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
189,10,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
190,10,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,shared carrying effort,flower-node,True
191,10,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
192,10,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
193,10,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
194,10,greenhouse_heat_loop,warm workshop,queued benches,hammer overlap,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
195,10,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
196,10,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
197,10,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
198,10,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
199,10,flood_bridge_market_route,wood bay,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,ambient-rate,True
200,11,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,flower-node,True
201,11,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
202,11,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
203,11,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
204,11,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
205,11,dusk_signal_court,signal yard,queued benches,hammer overlap,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
206,11,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
207,11,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
208,11,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
209,11,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
210,11,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,flower-node,True
211,11,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
212,11,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
213,11,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
214,11,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
215,11,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,flower-node,True
216,11,archive_public_kiosk,archive bench,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
217,11,dusk_signal_court,signal yard,queued benches,hammer overlap,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
218,11,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
219,11,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,ambient-rate,True
220,12,archive_public_kiosk,archive bench,queued benches,hammer overlap,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
221,12,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
222,12,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
223,12,flood_bridge_market_route,wood bay,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
224,12,archive_public_kiosk,archive bench,queued benches,hammer overlap,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
225,12,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,flower-node,True
