tick_id,day,settlement_id,object_id,lender_id,borrower_id,route_weather,exposure_temperature_delta,wetness_delta,cold_risk_before,cold_risk_after,loan_condition,borrower_choice,shelter_available,object_protected,visible_weather_tag,bounded_exposure
14,1,glass_harbor,brass lantern,Nia,Sera,sleet,-0.143,0.216,0.028,0.10788,route light:0.87,route changed through shelter,True,True,True,True
15,1,cinder_garden,seed tray,Pax,Juno,clear,0.015,0.0,0.034,0.04,food:0.872,loan continues with weather tag,True,True,True,True
16,1,lichen_bridge,meal ledger,Sol,Luma,cold fog,-0.075,0.088,0.1665,0.21036,nutrition:0.864,loan continues with weather tag,True,True,True,True
17,1,orchid_engine,valve key,Bea,Dax,drizzle,-0.03,0.08,0.083,0.0836,repair:0.864,loan continues with weather tag,True,True,True,True
18,2,glass_harbor,tea kettle,Sera,Oren,wind,-0.03,0.016,0.28268,0.2972,comfort:0.862,loan continues with weather tag,True,True,True,True
19,2,cinder_garden,shade pole,Vale,Vale,dry gale,0.015,0.0,0.04,0.046,shelter:0.864,loan continues with weather tag,True,True,True,True
20,2,lichen_bridge,rope kit,Luma,Sol,crosswind,-0.0225,0.016,0.21036,0.22188,repair:0.864,loan continues with weather tag,True,True,True,True
21,2,orchid_engine,meal box,Eli,Bea,steam leak,0.0525,0.112,0.115,0.094,food:0.872,loan delayed until weather clears,True,True,True,True
22,2,moss_ward,water jar,Fay,Fay,cold rain,-0.0825,0.24,0.10508,0.16328,hydration:0.862,route changed through shelter,True,True,True,True
23,2,glass_harbor,net spool,Oren,Puck,wind,-0.03,0.016,0.28268,0.2972,repair:0.862,loan continues with weather tag,True,True,True,True
24,2,cinder_garden,ash broom,Wren,Wren,dry gale,0.015,0.0,0.034,0.04,cleaning:0.872,loan continues with weather tag,True,True,True,True
25,2,lichen_bridge,signal bell,Rin,Kio,crosswind,-0.033,0.016,0.22436,0.24008,warning:0.854,loan continues with weather tag,True,True,True,True
26,2,orchid_engine,orchid lamp,Dax,Cai,steam leak,0.0525,0.112,0.1276,0.12424,comfort:0.864,loan continues with weather tag,True,True,True,True
27,2,moss_ward,lamp hook,Ari,Milo,cold rain,-0.0825,0.24,0.04708,0.10528,safety:0.862,route changed through shelter,True,True,True,True
28,2,glass_harbor,brass lantern,Nia,Sera,wind,-0.044,0.016,0.10788,0.12548,route light:0.866,loan delayed until weather clears,True,True,True,True
29,2,cinder_garden,seed tray,Pax,Juno,dry gale,0.015,0.0,0.04,0.046,food:0.864,loan continues with weather tag,True,True,True,True
30,2,lichen_bridge,meal ledger,Sol,Luma,crosswind,-0.0225,0.016,0.21036,0.22188,nutrition:0.856,loan continues with weather tag,True,True,True,True
31,2,orchid_engine,valve key,Bea,Dax,steam leak,0.0525,0.112,0.0836,0.12224,repair:0.856,loan continues with weather tag,True,True,True,True
32,2,moss_ward,moss cart,Milo,Tala,cold rain,-0.121,0.24,0.086,0.1596,transport:0.862,route changed through shelter,True,True,True,True
33,2,glass_harbor,tea kettle,Sera,Nia,wind,-0.03,0.016,0.208,0.22252,comfort:0.844,loan continues with weather tag,True,False,True,True
34,2,cinder_garden,shade pole,Vale,Pax,dry gale,0.015,0.0,0.075,0.081,shelter:0.856,loan continues with weather tag,True,True,True,True
35,2,lichen_bridge,rope kit,Luma,Rin,crosswind,-0.0225,0.016,0.13486,0.14386,repair:0.86,loan delayed until weather clears,True,True,True,True
36,3,moss_ward,water jar,Fay,Fay,wind,-0.03,0.016,0.34328,0.35696,hydration:0.852,route changed through shelter,True,True,True,True
37,3,glass_harbor,net spool,Oren,Puck,fog,-0.03,0.056,0.3442,0.36208,repair:0.852,route changed through shelter,True,True,True,True
38,3,cinder_garden,ash broom,Wren,Wren,dust wind,0.0375,0.0,0.081,0.096,cleaning:0.864,loan continues with weather tag,True,True,True,True
39,3,lichen_bridge,signal bell,Rin,Kio,clear,0.022,0.0,0.22458,0.21578,warning:0.846,loan continues with weather tag,True,True,True,True
40,3,orchid_engine,orchid lamp,Dax,Cai,cold draft,-0.0675,0.016,0.18124,0.15676,comfort:0.856,loan continues with weather tag,True,True,True,True
41,3,moss_ward,lamp hook,Ari,Milo,wind,-0.03,0.016,0.28528,0.2998,safety:0.854,loan continues with weather tag,True,True,True,True
42,3,glass_harbor,brass lantern,Nia,Sera,fog,-0.044,0.056,0.17248,0.19008,route light:0.862,loan delayed until weather clears,True,True,True,True
43,3,cinder_garden,seed tray,Pax,Juno,dust wind,0.0375,0.0,0.087,0.102,food:0.856,loan continues with weather tag,True,True,True,True
45,3,orchid_engine,valve key,Bea,Dax,cold draft,-0.0675,0.016,0.12224,0.09776,repair:0.848,loan continues with weather tag,True,True,True,True
46,3,moss_ward,moss cart,Milo,Tala,wind,-0.044,0.016,0.1596,0.17972,transport:0.854,loan continues with weather tag,True,True,True,True
47,3,glass_harbor,tea kettle,Sera,Nia,fog,-0.03,0.056,0.22252,0.24334,comfort:0.836,loan continues with weather tag,True,True,True,True
48,3,cinder_garden,shade pole,Vale,Pax,dust wind,0.0375,0.0,0.081,0.096,shelter:0.848,loan continues with weather tag,True,True,True,True
49,3,lichen_bridge,rope kit,Luma,Rin,clear,0.015,0.0,0.14386,0.13786,repair:0.856,loan delayed until weather clears,True,True,True,True
50,3,orchid_engine,meal box,Eli,Eli,cold draft,-0.0675,0.016,0.1426,0.13612,food:0.864,loan continues with weather tag,True,True,True,True
51,3,moss_ward,water jar,Fay,Ari,wind,-0.03,0.016,0.25928,0.2738,hydration:0.844,loan continues with weather tag,True,True,True,True
52,3,glass_harbor,net spool,Oren,Oren,fog,-0.03,0.056,0.4087,0.42658,repair:0.842,route changed through shelter,True,True,True,True
53,3,cinder_garden,ash broom,Wren,Vale,dust wind,0.0375,0.0,0.092,0.107,cleaning:0.856,loan continues with weather tag,True,True,True,True
55,4,moss_ward,lamp hook,Ari,Milo,rain,-0.0375,0.192,0.2698,0.30496,safety:0.844,route changed through shelter,True,True,True,True
57,4,cinder_garden,seed tray,Pax,Juno,cold night,-0.09,0.008,0.152,0.11726,food:0.848,loan continues with weather tag,True,True,True,True
58,4,lichen_bridge,meal ledger,Sol,Luma,hail,-0.105,0.108,0.17238,0.23139,nutrition:0.848,loan continues with weather tag,True,True,True,True
59,4,orchid_engine,valve key,Bea,Dax,engine heat,0.0825,0.0,0.19076,0.15776,repair:0.84,loan continues with weather tag,True,True,True,True
60,4,moss_ward,moss cart,Milo,Tala,rain,-0.055,0.192,0.17422,0.21638,transport:0.844,route changed through shelter,True,True,True,True
61,4,glass_harbor,tea kettle,Sera,Nia,clear,0.015,0.0,0.30784,0.30184,comfort:0.828,loan continues with weather tag,True,True,True,True
62,4,cinder_garden,shade pole,Vale,Pax,cold night,-0.09,0.008,0.146,0.11126,shelter:0.84,loan continues with weather tag,True,True,True,True
63,4,lichen_bridge,rope kit,Luma,Rin,hail,-0.105,0.108,0.13786,0.17986,repair:0.852,loan delayed until weather clears,True,True,True,True
65,4,moss_ward,water jar,Fay,Ari,rain,-0.0375,0.192,0.2738,0.30896,hydration:0.834,route changed through shelter,True,True,True,True
67,4,cinder_garden,ash broom,Wren,Vale,cold night,-0.09,0.008,0.107,0.07226,cleaning:0.848,loan continues with weather tag,True,True,True,True
68,4,lichen_bridge,signal bell,Rin,Sol,hail,-0.154,0.108,0.17238,0.25099,warning:0.838,loan continues with weather tag,True,True,True,True
69,4,orchid_engine,orchid lamp,Dax,Bea,engine heat,0.0825,0.0,0.245,0.278,comfort:0.848,loan continues with weather tag,True,True,True,True
70,4,moss_ward,lamp hook,Ari,Fay,rain,-0.0375,0.192,0.45746,0.49262,safety:0.834,route changed through shelter,True,True,True,True
71,4,glass_harbor,brass lantern,Nia,Puck,clear,0.022,0.0,0.33258,0.32378,route light:0.854,loan continues with weather tag,True,True,True,True
72,5,lichen_bridge,meal ledger,Sol,Luma,rain,-0.0375,0.192,0.40289,0.43805,nutrition:0.838,route changed through shelter,True,True,True,True
73,5,orchid_engine,valve key,Bea,Dax,clear,0.015,0.0,0.16476,0.17076,repair:0.832,loan continues with weather tag,True,True,True,True
75,5,glass_harbor,tea kettle,Sera,Nia,spray,-0.0375,0.096,0.26784,0.29796,comfort:0.82,loan continues with weather tag,True,True,True,True
76,5,cinder_garden,shade pole,Vale,Pax,heat,0.09,0.0,0.01476,0.03076,shelter:0.832,loan continues with weather tag,True,True,True,True
77,5,lichen_bridge,rope kit,Luma,Rin,rain,-0.0375,0.192,0.35136,0.38652,repair:0.842,route changed through shelter,True,True,True,True
79,5,moss_ward,water jar,Fay,Ari,clear,0.015,0.0,0.41496,0.40896,hydration:0.824,route changed through shelter,True,True,True,True
80,5,glass_harbor,net spool,Oren,Oren,spray,-0.0375,0.096,0.39258,0.41766,repair:0.832,route changed through shelter,True,True,True,True
81,5,cinder_garden,ash broom,Wren,Vale,heat,0.09,0.0,0.07226,0.10826,cleaning:0.84,loan continues with weather tag,True,True,True,True
82,5,lichen_bridge,signal bell,Rin,Sol,rain,-0.055,0.192,0.25099,0.29315,warning:0.828,route changed through shelter,True,True,True,True
83,5,orchid_engine,orchid lamp,Dax,Bea,clear,0.015,0.0,0.278,0.284,comfort:0.84,loan continues with weather tag,True,True,True,True
85,5,glass_harbor,brass lantern,Nia,Puck,spray,-0.055,0.096,0.32378,0.3609,route light:0.846,loan continues with weather tag,True,True,True,True
86,5,cinder_garden,seed tray,Pax,Wren,heat,0.09,0.0,0.0295,0.0655,food:0.84,loan continues with weather tag,True,True,True,True
87,5,lichen_bridge,meal ledger,Sol,Kio,rain,-0.0375,0.192,0.39928,0.43444,nutrition:0.828,route changed through shelter,True,True,True,True
89,5,moss_ward,moss cart,Milo,Milo,clear,0.022,0.0,0.37696,0.36816,transport:0.834,route changed through shelter,True,True,True,True
91,6,lichen_bridge,rope kit,Luma,Rin,cold fog,-0.075,0.088,0.43252,0.47176,repair:0.832,route changed through shelter,True,True,True,True
92,6,orchid_engine,meal box,Eli,Eli,drizzle,-0.03,0.08,0.24112,0.24172,food:0.856,loan continues with weather tag,True,True,True,True
93,6,moss_ward,water jar,Fay,Ari,mist,-0.0225,0.064,0.35046,0.36618,hydration:0.814,route changed through shelter,True,True,True,True
94,6,glass_harbor,net spool,Oren,Oren,sleet,-0.0975,0.216,0.45716,0.51884,repair:0.822,route changed through shelter,True,True,True,True
95,6,cinder_garden,ash broom,Wren,Vale,clear,0.015,0.0,0.227,0.233,cleaning:0.832,loan continues with weather tag,True,True,True,True
96,6,lichen_bridge,signal bell,Rin,Sol,cold fog,-0.11,0.088,0.39915,0.45239,warning:0.818,route changed through shelter,True,True,True,True
97,6,orchid_engine,orchid lamp,Dax,Bea,drizzle,-0.03,0.08,0.29,0.2906,comfort:0.832,loan continues with weather tag,True,True,True,True
98,6,moss_ward,lamp hook,Ari,Fay,mist,-0.0225,0.064,0.45862,0.47434,safety:0.824,route changed through shelter,True,True,True,True
99,6,glass_harbor,brass lantern,Nia,Puck,sleet,-0.143,0.216,0.3609,0.44078,route light:0.836,route changed through shelter,True,True,True,True
101,6,lichen_bridge,meal ledger,Sol,Kio,cold fog,-0.075,0.088,0.43444,0.47368,nutrition:0.818,route changed through shelter,True,True,True,True
102,6,orchid_engine,valve key,Bea,Cai,drizzle,-0.03,0.08,0.19676,0.19736,repair:0.824,loan continues with weather tag,True,True,True,True
103,6,moss_ward,moss cart,Milo,Milo,mist,-0.033,0.064,0.36816,0.38808,transport:0.824,route changed through shelter,True,True,True,True
104,6,glass_harbor,tea kettle,Sera,Sera,sleet,-0.0975,0.216,0.26008,0.32176,comfort:0.81,route changed through shelter,True,True,True,True
105,6,cinder_garden,shade pole,Vale,Juno,clear,0.015,0.0,0.196,0.202,shelter:0.828,loan delayed until weather clears,True,True,True,True
106,6,lichen_bridge,rope kit,Luma,Luma,cold fog,-0.075,0.088,0.58155,0.59079,repair:0.822,route changed through shelter,True,True,True,True
107,6,orchid_engine,meal box,Eli,Dax,drizzle,-0.03,0.08,0.12676,0.12736,food:0.848,loan continues with weather tag,True,True,True,True
108,7,glass_harbor,net spool,Oren,Oren,wind,-0.03,0.016,0.61984,0.62152,repair:0.812,route changed through shelter,True,True,True,True
109,7,cinder_garden,ash broom,Wren,Vale,dry gale,0.015,0.0,0.208,0.214,cleaning:0.824,loan continues with weather tag,True,True,True,True
110,7,lichen_bridge,signal bell,Rin,Sol,crosswind,-0.033,0.016,0.55929,0.56097,warning:0.808,route changed through shelter,True,True,True,True
111,7,orchid_engine,orchid lamp,Dax,Bea,steam leak,0.0525,0.112,0.2856,0.32424,comfort:0.824,loan continues with weather tag,True,True,True,True
112,7,moss_ward,lamp hook,Ari,Fay,cold rain,-0.0825,0.24,0.53234,0.59054,safety:0.814,route changed through shelter,True,True,True,True
113,7,glass_harbor,brass lantern,Nia,Puck,wind,-0.044,0.016,0.60038,0.60206,route light:0.826,route changed through shelter,True,True,True,True
114,7,cinder_garden,seed tray,Pax,Wren,dry gale,0.015,0.0,0.082,0.088,food:0.832,loan continues with weather tag,True,True,True,True
115,7,lichen_bridge,meal ledger,Sol,Kio,crosswind,-0.0225,0.016,0.57378,0.57546,nutrition:0.808,route changed through shelter,True,True,True,True
116,7,orchid_engine,valve key,Bea,Cai,steam leak,0.0525,0.112,0.19236,0.231,repair:0.816,loan continues with weather tag,True,True,True,True
117,7,moss_ward,moss cart,Milo,Milo,cold rain,-0.121,0.24,0.38808,0.46168,transport:0.814,route changed through shelter,True,True,True,True
118,7,glass_harbor,tea kettle,Sera,Sera,wind,-0.03,0.016,0.32176,0.33628,comfort:0.802,loan continues with weather tag,True,True,True,True
119,7,cinder_garden,shade pole,Vale,Juno,dry gale,0.015,0.0,0.202,0.208,shelter:0.824,loan delayed until weather clears,True,True,True,True
120,7,lichen_bridge,rope kit,Luma,Luma,crosswind,-0.0225,0.016,0.59079,0.59247,repair:0.812,route changed through shelter,True,True,True,True
121,7,orchid_engine,meal box,Eli,Dax,steam leak,0.0525,0.112,0.12736,0.166,food:0.83,loan continues with weather tag,True,False,True,True
122,7,moss_ward,water jar,Fay,Tala,cold rain,-0.0825,0.24,0.34638,0.40458,hydration:0.804,route changed through shelter,True,True,True,True
123,7,glass_harbor,net spool,Oren,Nia,wind,-0.03,0.016,0.51746,0.53114,repair:0.802,route changed through shelter,True,True,True,True
124,7,cinder_garden,ash broom,Wren,Pax,dry gale,0.015,0.0,0.221,0.227,cleaning:0.816,loan continues with weather tag,True,True,True,True
125,7,lichen_bridge,signal bell,Rin,Rin,crosswind,-0.033,0.016,0.56976,0.57644,warning:0.798,route changed through shelter,True,True,True,True
126,8,moss_ward,lamp hook,Ari,Fay,wind,-0.03,0.016,0.668,0.668,safety:0.804,route changed through shelter,True,True,True,True
127,8,glass_harbor,brass lantern,Nia,Puck,fog,-0.044,0.056,0.54906,0.57254,route light:0.816,route changed through shelter,True,True,True,True
128,8,cinder_garden,seed tray,Pax,Wren,dust wind,0.0375,0.0,0.143,0.158,food:0.824,loan continues with weather tag,True,True,True,True
129,8,lichen_bridge,meal ledger,Sol,Kio,clear,0.015,0.0,0.49996,0.49396,nutrition:0.798,route changed through shelter,True,True,True,True
130,8,orchid_engine,valve key,Bea,Cai,cold draft,-0.0675,0.016,0.35,0.32468,repair:0.806,route changed through shelter,True,True,True,True
131,8,moss_ward,moss cart,Milo,Milo,wind,-0.044,0.016,0.60038,0.60206,transport:0.804,route changed through shelter,True,True,True,True
132,8,glass_harbor,tea kettle,Sera,Sera,fog,-0.03,0.056,0.38328,0.40116,comfort:0.792,route changed through shelter,True,True,True,True
133,8,cinder_garden,shade pole,Vale,Juno,dust wind,0.0375,0.0,0.263,0.278,shelter:0.82,loan delayed until weather clears,True,True,True,True
135,8,orchid_engine,meal box,Eli,Dax,cold draft,-0.0675,0.016,0.166,0.14152,food:0.822,loan continues with weather tag,True,True,True,True
136,8,moss_ward,water jar,Fay,Tala,wind,-0.03,0.016,0.40458,0.41826,hydration:0.794,route changed through shelter,True,True,True,True
137,8,glass_harbor,net spool,Oren,Nia,fog,-0.03,0.056,0.53114,0.54902,repair:0.792,route changed through shelter,True,True,True,True
138,8,cinder_garden,ash broom,Wren,Pax,dust wind,0.0375,0.0,0.227,0.242,cleaning:0.808,loan continues with weather tag,True,True,True,True
139,8,lichen_bridge,signal bell,Rin,Rin,clear,0.022,0.0,0.57644,0.56764,warning:0.788,route changed through shelter,True,True,True,True
140,8,orchid_engine,orchid lamp,Dax,Eli,cold draft,-0.0675,0.016,0.35572,0.3304,comfort:0.814,route changed through shelter,True,True,True,True
141,8,moss_ward,lamp hook,Ari,Ari,wind,-0.03,0.016,0.59548,0.59716,safety:0.794,route changed through shelter,True,True,True,True
142,8,glass_harbor,brass lantern,Nia,Oren,fog,-0.044,0.056,0.65302,0.6589,route light:0.806,route changed through shelter,True,True,True,True
143,8,cinder_garden,seed tray,Pax,Vale,dust wind,0.0375,0.0,0.319,0.334,food:0.806,loan continues with weather tag,True,False,True,True
145,9,moss_ward,moss cart,Milo,Milo,rain,-0.055,0.192,0.59156,0.61172,transport:0.794,route changed through shelter,True,True,True,True
147,9,cinder_garden,shade pole,Vale,Juno,cold night,-0.09,0.008,0.283,0.247,shelter:0.816,loan delayed until weather clears,True,True,True,True
148,9,lichen_bridge,rope kit,Luma,Luma,hail,-0.105,0.108,0.54297,0.57931,repair:0.802,route changed through shelter,True,True,True,True
149,9,orchid_engine,meal box,Eli,Dax,engine heat,0.0825,0.0,0.21252,0.17952,food:0.814,loan continues with weather tag,True,True,True,True
150,9,moss_ward,water jar,Fay,Tala,rain,-0.0375,0.192,0.41276,0.44792,hydration:0.784,route changed through shelter,True,True,True,True
151,9,glass_harbor,net spool,Oren,Nia,clear,0.015,0.0,0.61352,0.60752,repair:0.782,route changed through shelter,True,True,True,True
152,9,cinder_garden,ash broom,Wren,Pax,cold night,-0.09,0.008,0.292,0.25726,cleaning:0.8,loan continues with weather tag,True,True,True,True
153,9,lichen_bridge,signal bell,Rin,Rin,hail,-0.154,0.108,0.56764,0.58778,warning:0.778,route changed through shelter,True,True,True,True
155,9,moss_ward,lamp hook,Ari,Ari,rain,-0.0375,0.192,0.59716,0.61732,safety:0.784,route changed through shelter,True,True,True,True
157,9,cinder_garden,seed tray,Pax,Vale,cold night,-0.09,0.008,0.334,0.29926,food:0.798,loan continues with weather tag,True,True,True,True
158,9,lichen_bridge,meal ledger,Sol,Sol,hail,-0.105,0.108,0.51147,0.54781,nutrition:0.788,route changed through shelter,True,True,True,True
159,9,orchid_engine,valve key,Bea,Bea,engine heat,0.0825,0.0,0.43224,0.46524,repair:0.796,route changed through shelter,True,True,True,True
160,9,moss_ward,moss cart,Milo,Fay,rain,-0.055,0.192,0.668,0.668,transport:0.784,route changed through shelter,True,True,True,True
161,9,glass_harbor,tea kettle,Sera,Puck,clear,0.015,0.0,0.60304,0.59704,comfort:0.782,route changed through shelter,True,True,True,True
162,10,lichen_bridge,rope kit,Luma,Luma,rain,-0.0375,0.192,0.61081,0.63097,repair:0.792,route changed through shelter,True,True,True,True
163,10,orchid_engine,meal box,Eli,Dax,clear,0.015,0.0,0.16352,0.16952,food:0.806,loan continues with weather tag,True,True,True,True
165,10,glass_harbor,net spool,Oren,Nia,spray,-0.0375,0.096,0.51352,0.5386,repair:0.772,route changed through shelter,True,True,True,True
166,10,cinder_garden,ash broom,Wren,Pax,heat,0.09,0.0,0.14076,0.17676,cleaning:0.792,loan continues with weather tag,True,True,True,True
167,10,lichen_bridge,signal bell,Rin,Rin,rain,-0.055,0.192,0.55928,0.60144,warning:0.768,route changed through shelter,True,True,True,True
169,10,moss_ward,lamp hook,Ari,Ari,clear,0.015,0.0,0.6435,0.6375,safety:0.774,route changed through shelter,True,True,True,True
170,10,glass_harbor,brass lantern,Nia,Oren,spray,-0.055,0.096,0.6249,0.65498,route light:0.796,route changed through shelter,True,True,True,True
171,10,cinder_garden,seed tray,Pax,Vale,heat,0.09,0.0,0.29926,0.33526,food:0.79,loan continues with weather tag,True,True,True,True
172,10,lichen_bridge,meal ledger,Sol,Sol,rain,-0.0375,0.192,0.54781,0.56797,nutrition:0.778,route changed through shelter,True,True,True,True
173,10,orchid_engine,valve key,Bea,Bea,clear,0.015,0.0,0.46524,0.47124,repair:0.786,route changed through shelter,True,True,True,True
175,10,glass_harbor,tea kettle,Sera,Puck,spray,-0.0375,0.096,0.59704,0.62212,comfort:0.772,route changed through shelter,True,True,True,True
176,10,cinder_garden,shade pole,Vale,Wren,heat,0.09,0.0,0.0915,0.1275,shelter:0.798,loan continues with weather tag,True,False,True,True
177,10,lichen_bridge,rope kit,Luma,Kio,rain,-0.0375,0.192,0.63846,0.65862,repair:0.782,route changed through shelter,True,True,True,True
179,10,moss_ward,water jar,Fay,Milo,clear,0.015,0.0,0.63372,0.62772,hydration:0.774,route changed through shelter,True,True,True,True
181,11,lichen_bridge,signal bell,Rin,Rin,cold fog,-0.11,0.088,0.668,0.668,warning:0.758,route changed through shelter,True,True,True,True
182,11,orchid_engine,orchid lamp,Dax,Eli,drizzle,-0.03,0.08,0.4534,0.4498,comfort:0.804,route changed through shelter,True,True,True,True
183,11,moss_ward,lamp hook,Ari,Ari,mist,-0.0225,0.064,0.6035,0.61922,safety:0.764,route changed through shelter,True,True,True,True
184,11,glass_harbor,brass lantern,Nia,Oren,sleet,-0.143,0.216,0.668,0.668,route light:0.786,route changed through shelter,True,True,True,True
185,11,cinder_garden,seed tray,Pax,Vale,clear,0.015,0.0,0.295,0.301,food:0.782,loan continues with weather tag,True,True,True,True
186,11,lichen_bridge,meal ledger,Sol,Sol,cold fog,-0.075,0.088,0.62397,0.63321,nutrition:0.768,route changed through shelter,True,True,True,True
187,11,orchid_engine,valve key,Bea,Bea,drizzle,-0.03,0.08,0.47724,0.47364,repair:0.776,route changed through shelter,True,True,True,True
188,11,moss_ward,moss cart,Milo,Fay,mist,-0.033,0.064,0.634,0.65392,transport:0.774,route changed through shelter,True,True,True,True
189,11,glass_harbor,tea kettle,Sera,Puck,sleet,-0.0975,0.216,0.62212,0.6582,comfort:0.762,route changed through shelter,True,True,True,True
191,11,lichen_bridge,rope kit,Luma,Kio,cold fog,-0.075,0.088,0.65862,0.66786,repair:0.772,route changed through shelter,True,True,True,True
192,11,orchid_engine,meal box,Eli,Cai,drizzle,-0.03,0.08,0.36468,0.36108,food:0.796,route changed through shelter,True,True,True,True
193,11,moss_ward,water jar,Fay,Milo,mist,-0.0225,0.064,0.62772,0.64344,hydration:0.764,route changed through shelter,True,True,True,True
194,11,glass_harbor,net spool,Oren,Sera,sleet,-0.0975,0.216,0.47116,0.53284,repair:0.762,route changed through shelter,True,True,True,True
195,11,cinder_garden,ash broom,Wren,Juno,clear,0.015,0.0,0.267,0.273,cleaning:0.784,loan continues with weather tag,True,True,True,True
196,11,lichen_bridge,signal bell,Rin,Luma,cold fog,-0.11,0.088,0.668,0.668,warning:0.748,route changed through shelter,True,True,True,True
197,11,orchid_engine,orchid lamp,Dax,Dax,drizzle,-0.03,0.08,0.17052,0.17112,comfort:0.796,loan continues with weather tag,True,True,True,True
198,12,glass_harbor,brass lantern,Nia,Oren,wind,-0.044,0.016,0.668,0.668,route light:0.776,route changed through shelter,True,True,True,True
199,12,cinder_garden,seed tray,Pax,Vale,dry gale,0.015,0.0,0.321,0.327,food:0.774,loan continues with weather tag,True,True,True,True
200,12,lichen_bridge,meal ledger,Sol,Sol,crosswind,-0.0225,0.016,0.668,0.668,nutrition:0.758,route changed through shelter,True,True,True,True
201,12,orchid_engine,valve key,Bea,Bea,steam leak,0.0525,0.112,0.42364,0.4564,repair:0.766,route changed through shelter,True,True,True,True
202,12,moss_ward,moss cart,Milo,Fay,cold rain,-0.121,0.24,0.668,0.668,transport:0.764,route changed through shelter,True,True,True,True
203,12,glass_harbor,tea kettle,Sera,Puck,wind,-0.03,0.016,0.608,0.62,comfort:0.752,route changed through shelter,True,True,True,True
204,12,cinder_garden,shade pole,Vale,Wren,dry gale,0.015,0.0,0.144,0.15,shelter:0.79,loan continues with weather tag,True,True,True,True
205,12,lichen_bridge,rope kit,Luma,Kio,crosswind,-0.0225,0.016,0.608,0.617,repair:0.762,route changed through shelter,True,True,True,True
206,12,orchid_engine,meal box,Eli,Cai,steam leak,0.0525,0.112,0.35608,0.38884,food:0.786,route changed through shelter,True,True,True,True
207,12,moss_ward,water jar,Fay,Milo,cold rain,-0.0825,0.24,0.64344,0.668,hydration:0.754,route changed through shelter,True,True,True,True
208,12,glass_harbor,net spool,Oren,Sera,wind,-0.03,0.016,0.53284,0.54652,repair:0.752,route changed through shelter,True,True,True,True
209,12,cinder_garden,ash broom,Wren,Juno,dry gale,0.015,0.0,0.273,0.279,cleaning:0.766,loan continues with weather tag,True,False,True,True
210,12,lichen_bridge,signal bell,Rin,Luma,crosswind,-0.033,0.016,0.668,0.668,warning:0.738,route changed through shelter,True,True,True,True
211,12,orchid_engine,orchid lamp,Dax,Dax,steam leak,0.0525,0.112,0.17112,0.20976,comfort:0.788,loan continues with weather tag,True,True,True,True
212,12,moss_ward,lamp hook,Ari,Tala,cold rain,-0.0825,0.24,0.57792,0.63612,safety:0.754,route changed through shelter,True,True,True,True
213,12,glass_harbor,brass lantern,Nia,Nia,wind,-0.044,0.016,0.668,0.668,route light:0.766,route changed through shelter,True,True,True,True
214,12,cinder_garden,seed tray,Pax,Pax,dry gale,0.015,0.0,0.34,0.34,food:0.766,loan continues with weather tag,True,True,True,True
215,12,lichen_bridge,meal ledger,Sol,Rin,crosswind,-0.0225,0.016,0.6525,0.65918,nutrition:0.748,route changed through shelter,True,True,True,True
216,13,moss_ward,moss cart,Milo,Fay,wind,-0.044,0.016,0.668,0.668,transport:0.754,route changed through shelter,True,True,True,True
217,13,glass_harbor,tea kettle,Sera,Puck,fog,-0.03,0.056,0.66,0.668,comfort:0.742,route changed through shelter,True,True,True,True
