tick,day,slot,resident,room,canvas_focus,conversation_frame,sensory_frame,gesture_frame,inventory_frame,minigame_frame,consequence_frame,replay_frame_key,boundary_visible
62,4,8,Nia,fiber loft,Nia@fiber loft,62,62,62,62,62,62,v57-replay-00062,True
63,4,9,Ari,glasshouse,Ari@glasshouse,63,63,63,63,63,63,v57-replay-00063,True
64,4,10,Fay,river gate,Fay@river gate,64,64,64,64,64,64,v57-replay-00064,True
65,4,11,Milo,west hearth,Milo@west hearth,65,65,65,65,65,65,v57-replay-00065,True
66,4,12,Sera,rain court,Sera@rain court,66,66,66,66,66,66,v57-replay-00066,True
67,4,13,Tovan,tool alcove,Tovan@tool alcove,67,67,67,67,67,67,v57-replay-00067,True
68,4,14,Nia,fiber loft,Nia@fiber loft,68,68,68,68,68,68,v57-replay-00068,True
69,4,15,Ari,glasshouse,Ari@glasshouse,69,69,69,69,69,69,v57-replay-00069,True
70,4,16,Fay,river gate,Fay@river gate,70,70,70,70,70,70,v57-replay-00070,True
71,4,17,Milo,west hearth,Milo@west hearth,71,71,71,71,71,71,v57-replay-00071,True
72,5,0,Sera,tool alcove,Sera@tool alcove,72,72,72,72,72,72,v57-replay-00072,True
73,5,1,Tovan,fiber loft,Tovan@fiber loft,73,73,73,73,73,73,v57-replay-00073,True
74,5,2,Nia,glasshouse,Nia@glasshouse,74,74,74,74,74,74,v57-replay-00074,True
75,5,3,Ari,river gate,Ari@river gate,75,75,75,75,75,75,v57-replay-00075,True
76,5,4,Fay,west hearth,Fay@west hearth,76,76,76,76,76,76,v57-replay-00076,True
77,5,5,Milo,rain court,Milo@rain court,77,77,77,77,77,77,v57-replay-00077,True
78,5,6,Sera,tool alcove,Sera@tool alcove,78,78,78,78,78,78,v57-replay-00078,True
79,5,7,Tovan,fiber loft,Tovan@fiber loft,79,79,79,79,79,79,v57-replay-00079,True
80,5,8,Nia,glasshouse,Nia@glasshouse,80,80,80,80,80,80,v57-replay-00080,True
81,5,9,Ari,river gate,Ari@river gate,81,81,81,81,81,81,v57-replay-00081,True
82,5,10,Fay,west hearth,Fay@west hearth,82,82,82,82,82,82,v57-replay-00082,True
83,5,11,Milo,rain court,Milo@rain court,83,83,83,83,83,83,v57-replay-00083,True
84,5,12,Sera,tool alcove,Sera@tool alcove,84,84,84,84,84,84,v57-replay-00084,True
85,5,13,Tovan,fiber loft,Tovan@fiber loft,85,85,85,85,85,85,v57-replay-00085,True
86,5,14,Nia,glasshouse,Nia@glasshouse,86,86,86,86,86,86,v57-replay-00086,True
87,5,15,Ari,river gate,Ari@river gate,87,87,87,87,87,87,v57-replay-00087,True
88,5,16,Fay,west hearth,Fay@west hearth,88,88,88,88,88,88,v57-replay-00088,True
89,5,17,Milo,rain court,Milo@rain court,89,89,89,89,89,89,v57-replay-00089,True
90,6,0,Sera,fiber loft,Sera@fiber loft,90,90,90,90,90,90,v57-replay-00090,True
91,6,1,Tovan,glasshouse,Tovan@glasshouse,91,91,91,91,91,91,v57-replay-00091,True
92,6,2,Nia,river gate,Nia@river gate,92,92,92,92,92,92,v57-replay-00092,True
93,6,3,Ari,west hearth,Ari@west hearth,93,93,93,93,93,93,v57-replay-00093,True
94,6,4,Fay,rain court,Fay@rain court,94,94,94,94,94,94,v57-replay-00094,True
95,6,5,Milo,tool alcove,Milo@tool alcove,95,95,95,95,95,95,v57-replay-00095,True
96,6,6,Sera,fiber loft,Sera@fiber loft,96,96,96,96,96,96,v57-replay-00096,True
97,6,7,Tovan,glasshouse,Tovan@glasshouse,97,97,97,97,97,97,v57-replay-00097,True
98,6,8,Nia,river gate,Nia@river gate,98,98,98,98,98,98,v57-replay-00098,True
99,6,9,Ari,west hearth,Ari@west hearth,99,99,99,99,99,99,v57-replay-00099,True
100,6,10,Fay,rain court,Fay@rain court,100,100,100,100,100,100,v57-replay-00100,True
101,6,11,Milo,tool alcove,Milo@tool alcove,101,101,101,101,101,101,v57-replay-00101,True
102,6,12,Sera,fiber loft,Sera@fiber loft,102,102,102,102,102,102,v57-replay-00102,True
103,6,13,Tovan,glasshouse,Tovan@glasshouse,103,103,103,103,103,103,v57-replay-00103,True
104,6,14,Nia,river gate,Nia@river gate,104,104,104,104,104,104,v57-replay-00104,True
105,6,15,Ari,west hearth,Ari@west hearth,105,105,105,105,105,105,v57-replay-00105,True
106,6,16,Fay,rain court,Fay@rain court,106,106,106,106,106,106,v57-replay-00106,True
107,6,17,Milo,tool alcove,Milo@tool alcove,107,107,107,107,107,107,v57-replay-00107,True
108,7,0,Sera,glasshouse,Sera@glasshouse,108,108,108,108,108,108,v57-replay-00108,True
109,7,1,Tovan,river gate,Tovan@river gate,109,109,109,109,109,109,v57-replay-00109,True
110,7,2,Nia,west hearth,Nia@west hearth,110,110,110,110,110,110,v57-replay-00110,True
111,7,3,Ari,rain court,Ari@rain court,111,111,111,111,111,111,v57-replay-00111,True
112,7,4,Fay,tool alcove,Fay@tool alcove,112,112,112,112,112,112,v57-replay-00112,True
113,7,5,Milo,fiber loft,Milo@fiber loft,113,113,113,113,113,113,v57-replay-00113,True
114,7,6,Sera,glasshouse,Sera@glasshouse,114,114,114,114,114,114,v57-replay-00114,True
115,7,7,Tovan,river gate,Tovan@river gate,115,115,115,115,115,115,v57-replay-00115,True
116,7,8,Nia,west hearth,Nia@west hearth,116,116,116,116,116,116,v57-replay-00116,True
117,7,9,Ari,rain court,Ari@rain court,117,117,117,117,117,117,v57-replay-00117,True
118,7,10,Fay,tool alcove,Fay@tool alcove,118,118,118,118,118,118,v57-replay-00118,True
119,7,11,Milo,fiber loft,Milo@fiber loft,119,119,119,119,119,119,v57-replay-00119,True
120,7,12,Sera,glasshouse,Sera@glasshouse,120,120,120,120,120,120,v57-replay-00120,True
121,7,13,Tovan,river gate,Tovan@river gate,121,121,121,121,121,121,v57-replay-00121,True
122,7,14,Nia,west hearth,Nia@west hearth,122,122,122,122,122,122,v57-replay-00122,True
123,7,15,Ari,rain court,Ari@rain court,123,123,123,123,123,123,v57-replay-00123,True
124,7,16,Fay,tool alcove,Fay@tool alcove,124,124,124,124,124,124,v57-replay-00124,True
125,7,17,Milo,fiber loft,Milo@fiber loft,125,125,125,125,125,125,v57-replay-00125,True
126,8,0,Sera,river gate,Sera@river gate,126,126,126,126,126,126,v57-replay-00126,True
127,8,1,Tovan,west hearth,Tovan@west hearth,127,127,127,127,127,127,v57-replay-00127,True
128,8,2,Nia,rain court,Nia@rain court,128,128,128,128,128,128,v57-replay-00128,True
129,8,3,Ari,tool alcove,Ari@tool alcove,129,129,129,129,129,129,v57-replay-00129,True
130,8,4,Fay,fiber loft,Fay@fiber loft,130,130,130,130,130,130,v57-replay-00130,True
131,8,5,Milo,glasshouse,Milo@glasshouse,131,131,131,131,131,131,v57-replay-00131,True
132,8,6,Sera,river gate,Sera@river gate,132,132,132,132,132,132,v57-replay-00132,True
133,8,7,Tovan,west hearth,Tovan@west hearth,133,133,133,133,133,133,v57-replay-00133,True
134,8,8,Nia,rain court,Nia@rain court,134,134,134,134,134,134,v57-replay-00134,True
135,8,9,Ari,tool alcove,Ari@tool alcove,135,135,135,135,135,135,v57-replay-00135,True
136,8,10,Fay,fiber loft,Fay@fiber loft,136,136,136,136,136,136,v57-replay-00136,True
137,8,11,Milo,glasshouse,Milo@glasshouse,137,137,137,137,137,137,v57-replay-00137,True
138,8,12,Sera,river gate,Sera@river gate,138,138,138,138,138,138,v57-replay-00138,True
139,8,13,Tovan,west hearth,Tovan@west hearth,139,139,139,139,139,139,v57-replay-00139,True
140,8,14,Nia,rain court,Nia@rain court,140,140,140,140,140,140,v57-replay-00140,True
141,8,15,Ari,tool alcove,Ari@tool alcove,141,141,141,141,141,141,v57-replay-00141,True
142,8,16,Fay,fiber loft,Fay@fiber loft,142,142,142,142,142,142,v57-replay-00142,True
143,8,17,Milo,glasshouse,Milo@glasshouse,143,143,143,143,143,143,v57-replay-00143,True
144,9,0,Sera,west hearth,Sera@west hearth,144,144,144,144,144,144,v57-replay-00144,True
145,9,1,Tovan,rain court,Tovan@rain court,145,145,145,145,145,145,v57-replay-00145,True
146,9,2,Nia,tool alcove,Nia@tool alcove,146,146,146,146,146,146,v57-replay-00146,True
147,9,3,Ari,fiber loft,Ari@fiber loft,147,147,147,147,147,147,v57-replay-00147,True
148,9,4,Fay,glasshouse,Fay@glasshouse,148,148,148,148,148,148,v57-replay-00148,True
149,9,5,Milo,river gate,Milo@river gate,149,149,149,149,149,149,v57-replay-00149,True
150,9,6,Sera,west hearth,Sera@west hearth,150,150,150,150,150,150,v57-replay-00150,True
151,9,7,Tovan,rain court,Tovan@rain court,151,151,151,151,151,151,v57-replay-00151,True
152,9,8,Nia,tool alcove,Nia@tool alcove,152,152,152,152,152,152,v57-replay-00152,True
153,9,9,Ari,fiber loft,Ari@fiber loft,153,153,153,153,153,153,v57-replay-00153,True
154,9,10,Fay,glasshouse,Fay@glasshouse,154,154,154,154,154,154,v57-replay-00154,True
155,9,11,Milo,river gate,Milo@river gate,155,155,155,155,155,155,v57-replay-00155,True
156,9,12,Sera,west hearth,Sera@west hearth,156,156,156,156,156,156,v57-replay-00156,True
157,9,13,Tovan,rain court,Tovan@rain court,157,157,157,157,157,157,v57-replay-00157,True
158,9,14,Nia,tool alcove,Nia@tool alcove,158,158,158,158,158,158,v57-replay-00158,True
159,9,15,Ari,fiber loft,Ari@fiber loft,159,159,159,159,159,159,v57-replay-00159,True
160,9,16,Fay,glasshouse,Fay@glasshouse,160,160,160,160,160,160,v57-replay-00160,True
161,9,17,Milo,river gate,Milo@river gate,161,161,161,161,161,161,v57-replay-00161,True
162,10,0,Sera,rain court,Sera@rain court,162,162,162,162,162,162,v57-replay-00162,True
163,10,1,Tovan,tool alcove,Tovan@tool alcove,163,163,163,163,163,163,v57-replay-00163,True
164,10,2,Nia,fiber loft,Nia@fiber loft,164,164,164,164,164,164,v57-replay-00164,True
165,10,3,Ari,glasshouse,Ari@glasshouse,165,165,165,165,165,165,v57-replay-00165,True
166,10,4,Fay,river gate,Fay@river gate,166,166,166,166,166,166,v57-replay-00166,True
167,10,5,Milo,west hearth,Milo@west hearth,167,167,167,167,167,167,v57-replay-00167,True
168,10,6,Sera,rain court,Sera@rain court,168,168,168,168,168,168,v57-replay-00168,True
169,10,7,Tovan,tool alcove,Tovan@tool alcove,169,169,169,169,169,169,v57-replay-00169,True
170,10,8,Nia,fiber loft,Nia@fiber loft,170,170,170,170,170,170,v57-replay-00170,True
171,10,9,Ari,glasshouse,Ari@glasshouse,171,171,171,171,171,171,v57-replay-00171,True
172,10,10,Fay,river gate,Fay@river gate,172,172,172,172,172,172,v57-replay-00172,True
173,10,11,Milo,west hearth,Milo@west hearth,173,173,173,173,173,173,v57-replay-00173,True
174,10,12,Sera,rain court,Sera@rain court,174,174,174,174,174,174,v57-replay-00174,True
175,10,13,Tovan,tool alcove,Tovan@tool alcove,175,175,175,175,175,175,v57-replay-00175,True
176,10,14,Nia,fiber loft,Nia@fiber loft,176,176,176,176,176,176,v57-replay-00176,True
177,10,15,Ari,glasshouse,Ari@glasshouse,177,177,177,177,177,177,v57-replay-00177,True
178,10,16,Fay,river gate,Fay@river gate,178,178,178,178,178,178,v57-replay-00178,True
179,10,17,Milo,west hearth,Milo@west hearth,179,179,179,179,179,179,v57-replay-00179,True
180,11,0,Sera,tool alcove,Sera@tool alcove,180,180,180,180,180,180,v57-replay-00180,True
181,11,1,Tovan,fiber loft,Tovan@fiber loft,181,181,181,181,181,181,v57-replay-00181,True
182,11,2,Nia,glasshouse,Nia@glasshouse,182,182,182,182,182,182,v57-replay-00182,True
183,11,3,Ari,river gate,Ari@river gate,183,183,183,183,183,183,v57-replay-00183,True
184,11,4,Fay,west hearth,Fay@west hearth,184,184,184,184,184,184,v57-replay-00184,True
185,11,5,Milo,rain court,Milo@rain court,185,185,185,185,185,185,v57-replay-00185,True
186,11,6,Sera,tool alcove,Sera@tool alcove,186,186,186,186,186,186,v57-replay-00186,True
187,11,7,Tovan,fiber loft,Tovan@fiber loft,187,187,187,187,187,187,v57-replay-00187,True
188,11,8,Nia,glasshouse,Nia@glasshouse,188,188,188,188,188,188,v57-replay-00188,True
189,11,9,Ari,river gate,Ari@river gate,189,189,189,189,189,189,v57-replay-00189,True
190,11,10,Fay,west hearth,Fay@west hearth,190,190,190,190,190,190,v57-replay-00190,True
191,11,11,Milo,rain court,Milo@rain court,191,191,191,191,191,191,v57-replay-00191,True
192,11,12,Sera,tool alcove,Sera@tool alcove,192,192,192,192,192,192,v57-replay-00192,True
193,11,13,Tovan,fiber loft,Tovan@fiber loft,193,193,193,193,193,193,v57-replay-00193,True
194,11,14,Nia,glasshouse,Nia@glasshouse,194,194,194,194,194,194,v57-replay-00194,True
195,11,15,Ari,river gate,Ari@river gate,195,195,195,195,195,195,v57-replay-00195,True
196,11,16,Fay,west hearth,Fay@west hearth,196,196,196,196,196,196,v57-replay-00196,True
197,11,17,Milo,rain court,Milo@rain court,197,197,197,197,197,197,v57-replay-00197,True
198,12,0,Sera,fiber loft,Sera@fiber loft,198,198,198,198,198,198,v57-replay-00198,True
199,12,1,Tovan,glasshouse,Tovan@glasshouse,199,199,199,199,199,199,v57-replay-00199,True
200,12,2,Nia,river gate,Nia@river gate,200,200,200,200,200,200,v57-replay-00200,True
201,12,3,Ari,west hearth,Ari@west hearth,201,201,201,201,201,201,v57-replay-00201,True
202,12,4,Fay,rain court,Fay@rain court,202,202,202,202,202,202,v57-replay-00202,True
203,12,5,Milo,tool alcove,Milo@tool alcove,203,203,203,203,203,203,v57-replay-00203,True
204,12,6,Sera,fiber loft,Sera@fiber loft,204,204,204,204,204,204,v57-replay-00204,True
205,12,7,Tovan,glasshouse,Tovan@glasshouse,205,205,205,205,205,205,v57-replay-00205,True
206,12,8,Nia,river gate,Nia@river gate,206,206,206,206,206,206,v57-replay-00206,True
207,12,9,Ari,west hearth,Ari@west hearth,207,207,207,207,207,207,v57-replay-00207,True
208,12,10,Fay,rain court,Fay@rain court,208,208,208,208,208,208,v57-replay-00208,True
209,12,11,Milo,tool alcove,Milo@tool alcove,209,209,209,209,209,209,v57-replay-00209,True
210,12,12,Sera,fiber loft,Sera@fiber loft,210,210,210,210,210,210,v57-replay-00210,True
211,12,13,Tovan,glasshouse,Tovan@glasshouse,211,211,211,211,211,211,v57-replay-00211,True
212,12,14,Nia,river gate,Nia@river gate,212,212,212,212,212,212,v57-replay-00212,True
213,12,15,Ari,west hearth,Ari@west hearth,213,213,213,213,213,213,v57-replay-00213,True
214,12,16,Fay,rain court,Fay@rain court,214,214,214,214,214,214,v57-replay-00214,True
215,12,17,Milo,tool alcove,Milo@tool alcove,215,215,215,215,215,215,v57-replay-00215,True
216,13,0,Sera,glasshouse,Sera@glasshouse,216,216,216,216,216,216,v57-replay-00216,True
217,13,1,Tovan,river gate,Tovan@river gate,217,217,217,217,217,217,v57-replay-00217,True
218,13,2,Nia,west hearth,Nia@west hearth,218,218,218,218,218,218,v57-replay-00218,True
219,13,3,Ari,rain court,Ari@rain court,219,219,219,219,219,219,v57-replay-00219,True
220,13,4,Fay,tool alcove,Fay@tool alcove,220,220,220,220,220,220,v57-replay-00220,True
221,13,5,Milo,fiber loft,Milo@fiber loft,221,221,221,221,221,221,v57-replay-00221,True
222,13,6,Sera,glasshouse,Sera@glasshouse,222,222,222,222,222,222,v57-replay-00222,True
223,13,7,Tovan,river gate,Tovan@river gate,223,223,223,223,223,223,v57-replay-00223,True
224,13,8,Nia,west hearth,Nia@west hearth,224,224,224,224,224,224,v57-replay-00224,True
225,13,9,Ari,rain court,Ari@rain court,225,225,225,225,225,225,v57-replay-00225,True
226,13,10,Fay,tool alcove,Fay@tool alcove,226,226,226,226,226,226,v57-replay-00226,True
227,13,11,Milo,fiber loft,Milo@fiber loft,227,227,227,227,227,227,v57-replay-00227,True
228,13,12,Sera,glasshouse,Sera@glasshouse,228,228,228,228,228,228,v57-replay-00228,True
229,13,13,Tovan,river gate,Tovan@river gate,229,229,229,229,229,229,v57-replay-00229,True
230,13,14,Nia,west hearth,Nia@west hearth,230,230,230,230,230,230,v57-replay-00230,True
231,13,15,Ari,rain court,Ari@rain court,231,231,231,231,231,231,v57-replay-00231,True
232,13,16,Fay,tool alcove,Fay@tool alcove,232,232,232,232,232,232,v57-replay-00232,True
233,13,17,Milo,fiber loft,Milo@fiber loft,233,233,233,233,233,233,v57-replay-00233,True
234,14,0,Sera,river gate,Sera@river gate,234,234,234,234,234,234,v57-replay-00234,True
235,14,1,Tovan,west hearth,Tovan@west hearth,235,235,235,235,235,235,v57-replay-00235,True
236,14,2,Nia,rain court,Nia@rain court,236,236,236,236,236,236,v57-replay-00236,True
237,14,3,Ari,tool alcove,Ari@tool alcove,237,237,237,237,237,237,v57-replay-00237,True
238,14,4,Fay,fiber loft,Fay@fiber loft,238,238,238,238,238,238,v57-replay-00238,True
239,14,5,Milo,glasshouse,Milo@glasshouse,239,239,239,239,239,239,v57-replay-00239,True
240,14,6,Sera,river gate,Sera@river gate,240,240,240,240,240,240,v57-replay-00240,True
241,14,7,Tovan,west hearth,Tovan@west hearth,241,241,241,241,241,241,v57-replay-00241,True
242,14,8,Nia,rain court,Nia@rain court,242,242,242,242,242,242,v57-replay-00242,True
243,14,9,Ari,tool alcove,Ari@tool alcove,243,243,243,243,243,243,v57-replay-00243,True
244,14,10,Fay,fiber loft,Fay@fiber loft,244,244,244,244,244,244,v57-replay-00244,True
245,14,11,Milo,glasshouse,Milo@glasshouse,245,245,245,245,245,245,v57-replay-00245,True
246,14,12,Sera,river gate,Sera@river gate,246,246,246,246,246,246,v57-replay-00246,True
247,14,13,Tovan,west hearth,Tovan@west hearth,247,247,247,247,247,247,v57-replay-00247,True
248,14,14,Nia,rain court,Nia@rain court,248,248,248,248,248,248,v57-replay-00248,True
249,14,15,Ari,tool alcove,Ari@tool alcove,249,249,249,249,249,249,v57-replay-00249,True
250,14,16,Fay,fiber loft,Fay@fiber loft,250,250,250,250,250,250,v57-replay-00250,True
251,14,17,Milo,glasshouse,Milo@glasshouse,251,251,251,251,251,251,v57-replay-00251,True
252,15,0,Sera,west hearth,Sera@west hearth,252,252,252,252,252,252,v57-replay-00252,True
253,15,1,Tovan,rain court,Tovan@rain court,253,253,253,253,253,253,v57-replay-00253,True
254,15,2,Nia,tool alcove,Nia@tool alcove,254,254,254,254,254,254,v57-replay-00254,True
255,15,3,Ari,fiber loft,Ari@fiber loft,255,255,255,255,255,255,v57-replay-00255,True
256,15,4,Fay,glasshouse,Fay@glasshouse,256,256,256,256,256,256,v57-replay-00256,True
257,15,5,Milo,river gate,Milo@river gate,257,257,257,257,257,257,v57-replay-00257,True
258,15,6,Sera,west hearth,Sera@west hearth,258,258,258,258,258,258,v57-replay-00258,True
259,15,7,Tovan,rain court,Tovan@rain court,259,259,259,259,259,259,v57-replay-00259,True
260,15,8,Nia,tool alcove,Nia@tool alcove,260,260,260,260,260,260,v57-replay-00260,True
261,15,9,Ari,fiber loft,Ari@fiber loft,261,261,261,261,261,261,v57-replay-00261,True
262,15,10,Fay,glasshouse,Fay@glasshouse,262,262,262,262,262,262,v57-replay-00262,True
263,15,11,Milo,river gate,Milo@river gate,263,263,263,263,263,263,v57-replay-00263,True
264,15,12,Sera,west hearth,Sera@west hearth,264,264,264,264,264,264,v57-replay-00264,True
265,15,13,Tovan,rain court,Tovan@rain court,265,265,265,265,265,265,v57-replay-00265,True
266,15,14,Nia,tool alcove,Nia@tool alcove,266,266,266,266,266,266,v57-replay-00266,True
267,15,15,Ari,fiber loft,Ari@fiber loft,267,267,267,267,267,267,v57-replay-00267,True
268,15,16,Fay,glasshouse,Fay@glasshouse,268,268,268,268,268,268,v57-replay-00268,True
269,15,17,Milo,river gate,Milo@river gate,269,269,269,269,269,269,v57-replay-00269,True
270,16,0,Sera,rain court,Sera@rain court,270,270,270,270,270,270,v57-replay-00270,True
271,16,1,Tovan,tool alcove,Tovan@tool alcove,271,271,271,271,271,271,v57-replay-00271,True
272,16,2,Nia,fiber loft,Nia@fiber loft,272,272,272,272,272,272,v57-replay-00272,True
273,16,3,Ari,glasshouse,Ari@glasshouse,273,273,273,273,273,273,v57-replay-00273,True
274,16,4,Fay,river gate,Fay@river gate,274,274,274,274,274,274,v57-replay-00274,True
275,16,5,Milo,west hearth,Milo@west hearth,275,275,275,275,275,275,v57-replay-00275,True
276,16,6,Sera,rain court,Sera@rain court,276,276,276,276,276,276,v57-replay-00276,True
277,16,7,Tovan,tool alcove,Tovan@tool alcove,277,277,277,277,277,277,v57-replay-00277,True
278,16,8,Nia,fiber loft,Nia@fiber loft,278,278,278,278,278,278,v57-replay-00278,True
279,16,9,Ari,glasshouse,Ari@glasshouse,279,279,279,279,279,279,v57-replay-00279,True
280,16,10,Fay,river gate,Fay@river gate,280,280,280,280,280,280,v57-replay-00280,True
281,16,11,Milo,west hearth,Milo@west hearth,281,281,281,281,281,281,v57-replay-00281,True
282,16,12,Sera,rain court,Sera@rain court,282,282,282,282,282,282,v57-replay-00282,True
283,16,13,Tovan,tool alcove,Tovan@tool alcove,283,283,283,283,283,283,v57-replay-00283,True
284,16,14,Nia,fiber loft,Nia@fiber loft,284,284,284,284,284,284,v57-replay-00284,True
285,16,15,Ari,glasshouse,Ari@glasshouse,285,285,285,285,285,285,v57-replay-00285,True
286,16,16,Fay,river gate,Fay@river gate,286,286,286,286,286,286,v57-replay-00286,True
287,16,17,Milo,west hearth,Milo@west hearth,287,287,287,287,287,287,v57-replay-00287,True
288,17,0,Sera,tool alcove,Sera@tool alcove,288,288,288,288,288,288,v57-replay-00288,True
289,17,1,Tovan,fiber loft,Tovan@fiber loft,289,289,289,289,289,289,v57-replay-00289,True
