tick_id,day,settlement_id,room_id,action,temperature,wetness,pain,energy,comfort,arousal,body_delta_reason,care_action_available,body_state_visible,localstorage_body_key
75,7,orchard,satchel shed,dry_off,0.649,0.242,0.028,0.645,0.684,0.279836,environmental exposure,True,True,ssrm.v39.body.orchard
76,7,repair_ring,arrival court,move_north,0.452,0.141,0.0,0.626,0.629,0.254342,environmental exposure,True,True,ssrm.v39.body.repair_ring
77,7,riverbend,plank hall,rest,0.513,0.317,0.014,0.686,0.658,0.268554,environmental exposure,True,True,ssrm.v39.body.riverbend
78,7,roofward,ledger loft,dry_off,0.87,0.194,0.024,0.639,0.742,0.274236,care/rest action,True,True,ssrm.v39.body.roofward
79,7,archive,stone stacks,move_north,0.656,0.093,0.0,0.62,0.739,0.230914,environmental exposure,True,True,ssrm.v39.body.archive
80,7,signal,lantern walk,inspect_object,0.662,0.476,0.01,0.68,0.664,0.293028,movement effort,True,True,ssrm.v39.body.signal
81,7,orchard,satchel shed,place_object,0.679,0.238,0.024,0.639,0.69,0.274656,environmental exposure,True,True,ssrm.v39.body.orchard
82,7,repair_ring,wire bench,ask_dialect_memory,0.482,0.137,0.0,0.62,0.635,0.248092,environmental exposure,True,True,ssrm.v39.body.repair_ring
83,7,riverbend,plank hall,inspect_object,0.517,0.357,0.01,0.68,0.638,0.264768,environmental exposure,True,True,ssrm.v39.body.riverbend
84,8,roofward,arrival court,talk_resident,0.874,0.234,0.02,0.633,0.722,0.268512,environmental exposure,True,True,ssrm.v39.body.roofward
85,8,archive,ink niche,wait_for_schedule,0.686,0.089,0.0,0.614,0.745,0.222864,environmental exposure,True,True,ssrm.v39.body.archive
86,8,signal,lantern walk,warm_up,0.692,0.472,0.006,0.674,0.699,0.28954,care/rest action,True,True,ssrm.v39.body.signal
87,8,orchard,satchel shed,avoid_hazard,0.709,0.234,0.02,0.633,0.696,0.269244,environmental exposure,True,True,ssrm.v39.body.orchard
88,8,repair_ring,spark lane,move_east,0.486,0.177,0.0,0.595,0.615,0.242482,environmental exposure,True,True,ssrm.v39.body.repair_ring
89,8,riverbend,plank hall,warm_up,0.547,0.397,0.006,0.674,0.673,0.260842,environmental exposure,True,True,ssrm.v39.body.riverbend
90,8,roofward,arrival court,avoid_hazard,0.878,0.274,0.05,0.627,0.702,0.264328,environmental exposure,True,True,ssrm.v39.body.roofward
91,8,archive,stone stacks,move_east,0.661,0.085,0.0,0.589,0.725,0.215014,environmental exposure,True,True,ssrm.v39.body.archive
92,8,signal,lantern walk,pick_up_object,0.696,0.468,0.002,0.668,0.705,0.28582,movement effort,True,True,ssrm.v39.body.signal
93,8,orchard,satchel shed,talk_resident,0.739,0.23,0.016,0.627,0.702,0.2636,environmental exposure,True,True,ssrm.v39.body.orchard
94,8,repair_ring,bell alcove,wait_for_schedule,0.49,0.173,0.0,0.589,0.621,0.23676,movement effort,True,True,ssrm.v39.body.repair_ring
95,8,riverbend,plank hall,pick_up_object,0.551,0.437,0.002,0.668,0.653,0.257436,environmental exposure,True,True,ssrm.v39.body.riverbend
96,9,roofward,glass stair,ask_dialect_memory,0.853,0.27,0.046,0.621,0.682,0.260224,environmental exposure,True,True,ssrm.v39.body.roofward
97,9,archive,stone stacks,rest,0.636,0.081,0.0,0.624,0.76,0.206704,environmental exposure,True,True,ssrm.v39.body.archive
98,9,signal,lantern walk,dry_off,0.7,0.433,0.0,0.662,0.74,0.28127,care/rest action,True,True,ssrm.v39.body.signal
99,9,orchard,seed lane,move_north,0.743,0.27,0.034,0.602,0.682,0.259136,environmental exposure,True,True,ssrm.v39.body.orchard
100,9,repair_ring,bell alcove,inspect_object,0.494,0.169,0.0,0.583,0.627,0.230926,movement effort,True,True,ssrm.v39.body.repair_ring
101,9,riverbend,plank hall,dry_off,0.555,0.477,0.0,0.662,0.688,0.25395,environmental exposure,True,True,ssrm.v39.body.riverbend
102,9,roofward,warm lane,move_north,0.883,0.266,0.042,0.596,0.688,0.255888,environmental exposure,True,True,ssrm.v39.body.roofward
103,9,archive,stone stacks,inspect_object,0.611,0.077,0.0,0.618,0.74,0.198594,environmental exposure,True,True,ssrm.v39.body.archive
104,9,signal,lantern walk,place_object,0.704,0.429,0.0,0.656,0.746,0.276608,movement effort,True,True,ssrm.v39.body.signal
105,9,orchard,seed lane,ask_dialect_memory,0.747,0.31,0.03,0.596,0.662,0.255192,environmental exposure,True,True,ssrm.v39.body.orchard
106,9,repair_ring,bell alcove,rest,0.498,0.165,0.0,0.618,0.662,0.224632,care/rest action,True,True,ssrm.v39.body.repair_ring
107,9,riverbend,plank hall,place_object,0.559,0.517,0.0,0.656,0.668,0.251104,environmental exposure,True,True,ssrm.v39.body.riverbend
108,10,roofward,ledger loft,wait_for_schedule,0.887,0.262,0.038,0.59,0.694,0.25132,movement effort,True,True,ssrm.v39.body.roofward
109,10,archive,stone stacks,warm_up,0.586,0.073,0.0,0.612,0.775,0.190024,environmental exposure,True,True,ssrm.v39.body.archive
110,10,signal,lantern walk,avoid_hazard,0.708,0.425,0.0,0.65,0.752,0.271834,movement effort,True,True,ssrm.v39.body.signal
111,10,orchard,satchel shed,move_east,0.777,0.306,0.026,0.571,0.668,0.251016,environmental exposure,True,True,ssrm.v39.body.orchard
112,10,repair_ring,bell alcove,pick_up_object,0.502,0.161,0.0,0.612,0.668,0.218226,movement effort,True,True,ssrm.v39.body.repair_ring
113,10,riverbend,dry ridge,avoid_hazard,0.563,0.513,0.0,0.65,0.674,0.248146,movement effort,True,True,ssrm.v39.body.riverbend
114,10,roofward,arrival court,move_east,0.891,0.302,0.034,0.565,0.674,0.247272,environmental exposure,True,True,ssrm.v39.body.roofward
115,10,archive,stone stacks,pick_up_object,0.561,0.069,0.0,0.606,0.755,0.181654,environmental exposure,True,True,ssrm.v39.body.archive
116,10,signal,lantern walk,talk_resident,0.712,0.421,0.0,0.644,0.758,0.266948,movement effort,True,True,ssrm.v39.body.signal
117,10,orchard,seed lane,wait_for_schedule,0.781,0.346,0.022,0.565,0.648,0.24736,environmental exposure,True,True,ssrm.v39.body.orchard
118,10,repair_ring,bell alcove,warm_up,0.532,0.157,0.0,0.606,0.703,0.21136,care/rest action,True,True,ssrm.v39.body.repair_ring
119,10,riverbend,dry ridge,talk_resident,0.567,0.509,0.0,0.644,0.68,0.245076,movement effort,True,True,ssrm.v39.body.riverbend
120,11,roofward,arrival court,rest,0.895,0.342,0.016,0.6,0.709,0.242664,environmental exposure,True,True,ssrm.v39.body.roofward
121,11,archive,stone stacks,dry_off,0.536,0.034,0.0,0.6,0.79,0.172514,environmental exposure,True,True,ssrm.v39.body.archive
122,11,signal,lens room,move_north,0.742,0.417,0.0,0.619,0.764,0.26195,environmental exposure,True,True,ssrm.v39.body.signal
123,11,orchard,seed lane,inspect_object,0.785,0.386,0.018,0.559,0.628,0.244224,environmental exposure,True,True,ssrm.v39.body.orchard
124,11,repair_ring,bell alcove,place_object,0.536,0.153,0.0,0.6,0.709,0.204382,movement effort,True,True,ssrm.v39.body.repair_ring
125,11,riverbend,arrival court,move_north,0.542,0.505,0.0,0.619,0.66,0.242206,environmental exposure,True,True,ssrm.v39.body.riverbend
126,11,roofward,arrival court,inspect_object,0.899,0.382,0.012,0.594,0.689,0.238576,environmental exposure,True,True,ssrm.v39.body.roofward
127,11,archive,stone stacks,place_object,0.511,0.03,0.0,0.594,0.77,0.163574,environmental exposure,True,True,ssrm.v39.body.archive
128,11,signal,lens room,ask_dialect_memory,0.772,0.413,0.0,0.613,0.77,0.25684,environmental exposure,True,True,ssrm.v39.body.signal
129,11,orchard,seed lane,rest,0.789,0.426,0.0,0.594,0.663,0.240528,environmental exposure,True,True,ssrm.v39.body.orchard
130,11,repair_ring,bell alcove,dry_off,0.54,0.118,0.0,0.594,0.744,0.196634,care/rest action,True,True,ssrm.v39.body.repair_ring
131,11,riverbend,arrival court,ask_dialect_memory,0.517,0.501,0.0,0.613,0.64,0.239536,environmental exposure,True,True,ssrm.v39.body.riverbend
132,12,roofward,arrival court,warm_up,0.929,0.422,0.008,0.588,0.724,0.234348,environmental exposure,True,True,ssrm.v39.body.roofward
133,12,archive,stone stacks,avoid_hazard,0.486,0.026,0.03,0.588,0.75,0.155734,environmental exposure,True,True,ssrm.v39.body.archive
134,12,signal,arrival court,move_east,0.776,0.453,0.0,0.588,0.75,0.25237,environmental exposure,True,True,ssrm.v39.body.signal
135,12,orchard,seed lane,pick_up_object,0.793,0.466,0.0,0.588,0.643,0.237472,environmental exposure,True,True,ssrm.v39.body.orchard
136,12,repair_ring,bell alcove,talk_resident,0.544,0.114,0.0,0.588,0.75,0.188774,movement effort,True,True,ssrm.v39.body.repair_ring
137,12,riverbend,dry ridge,move_east,0.521,0.497,0.0,0.588,0.646,0.236754,movement effort,True,True,ssrm.v39.body.riverbend
138,12,roofward,arrival court,pick_up_object,0.933,0.462,0.004,0.582,0.704,0.23064,environmental exposure,True,True,ssrm.v39.body.roofward
139,12,archive,stone stacks,talk_resident,0.461,0.022,0.026,0.582,0.73,0.147974,environmental exposure,True,True,ssrm.v39.body.archive
140,12,signal,mast base,wait_for_schedule,0.751,0.449,0.0,0.582,0.73,0.2481,environmental exposure,True,True,ssrm.v39.body.signal
141,12,orchard,seed lane,warm_up,0.823,0.506,0.0,0.582,0.678,0.234396,environmental exposure,True,True,ssrm.v39.body.orchard
142,12,repair_ring,arrival court,avoid_hazard,0.519,0.11,0.03,0.582,0.73,0.182014,environmental exposure,True,True,ssrm.v39.body.repair_ring
143,12,riverbend,arrival court,wait_for_schedule,0.496,0.493,0.0,0.582,0.626,0.234172,environmental exposure,True,True,ssrm.v39.body.riverbend
144,13,roofward,arrival court,dry_off,0.937,0.502,0.0,0.576,0.739,0.226792,environmental exposure,True,True,ssrm.v39.body.roofward
145,13,archive,ink niche,move_north,0.491,0.018,0.022,0.557,0.736,0.139982,environmental exposure,True,True,ssrm.v39.body.archive
146,13,signal,mast base,inspect_object,0.726,0.445,0.0,0.576,0.71,0.24403,environmental exposure,True,True,ssrm.v39.body.signal
147,13,orchard,seed lane,place_object,0.827,0.546,0.0,0.576,0.658,0.23196,environmental exposure,True,True,ssrm.v39.body.orchard
148,13,repair_ring,arrival court,ask_dialect_memory,0.494,0.106,0.026,0.576,0.71,0.175334,environmental exposure,True,True,ssrm.v39.body.repair_ring
149,13,riverbend,plank hall,inspect_object,0.5,0.533,0.0,0.576,0.606,0.23223,environmental exposure,True,True,ssrm.v39.body.riverbend
150,13,roofward,arrival court,place_object,0.941,0.542,0.0,0.57,0.719,0.223584,environmental exposure,True,True,ssrm.v39.body.roofward
151,13,archive,ink niche,ask_dialect_memory,0.521,0.014,0.018,0.551,0.742,0.131758,environmental exposure,True,True,ssrm.v39.body.archive
152,13,signal,mast base,rest,0.701,0.441,0.0,0.611,0.745,0.2395,environmental exposure,True,True,ssrm.v39.body.signal
153,13,orchard,seed lane,dry_off,0.831,0.586,0.0,0.57,0.693,0.229504,environmental exposure,True,True,ssrm.v39.body.orchard
154,13,repair_ring,wire bench,move_north,0.524,0.102,0.022,0.551,0.716,0.168422,environmental exposure,True,True,ssrm.v39.body.repair_ring
155,13,riverbend,plank hall,rest,0.504,0.573,0.0,0.611,0.641,0.230268,environmental exposure,True,True,ssrm.v39.body.riverbend
156,14,archive,arrival court,move_north,0.525,0.054,0.036,0.526,0.722,0.124714,environmental exposure,True,True,ssrm.v39.body.archive
157,14,signal,mast base,inspect_object,0.676,0.437,0.0,0.605,0.725,0.23517,environmental exposure,True,True,ssrm.v39.body.signal
158,14,orchard,seed lane,place_object,0.835,0.626,0.0,0.564,0.673,0.227688,environmental exposure,True,True,ssrm.v39.body.orchard
159,14,repair_ring,wire bench,ask_dialect_memory,0.554,0.098,0.018,0.545,0.722,0.161278,environmental exposure,True,True,ssrm.v39.body.repair_ring
160,14,riverbend,plank hall,inspect_object,0.508,0.613,0.0,0.605,0.621,0.228946,environmental exposure,True,True,ssrm.v39.body.riverbend
161,14,roofward,glass stair,place_object,0.916,0.538,0.0,0.564,0.699,0.220576,environmental exposure,True,True,ssrm.v39.body.roofward
162,14,archive,arrival court,ask_dialect_memory,0.529,0.094,0.032,0.52,0.702,0.11819,environmental exposure,True,True,ssrm.v39.body.archive
163,14,signal,mast base,rest,0.651,0.433,0.0,0.64,0.76,0.23038,environmental exposure,True,True,ssrm.v39.body.signal
164,14,orchard,seed lane,dry_off,0.839,0.666,0.0,0.558,0.708,0.225852,environmental exposure,True,True,ssrm.v39.body.orchard
165,14,repair_ring,bell alcove,move_north,0.558,0.094,0.014,0.52,0.728,0.153902,movement effort,True,True,ssrm.v39.body.repair_ring
166,14,riverbend,plank hall,rest,0.512,0.653,0.0,0.64,0.656,0.227604,environmental exposure,True,True,ssrm.v39.body.riverbend
167,14,roofward,glass stair,dry_off,0.891,0.503,0.0,0.558,0.734,0.216798,environmental exposure,True,True,ssrm.v39.body.roofward
168,15,archive,stone stacks,move_east,0.504,0.09,0.028,0.495,0.682,0.111746,environmental exposure,True,True,ssrm.v39.body.archive
169,15,signal,mast base,pick_up_object,0.626,0.429,0.0,0.634,0.74,0.22579,environmental exposure,True,True,ssrm.v39.body.signal
170,15,orchard,seed lane,talk_resident,0.843,0.706,0.0,0.552,0.688,0.224656,environmental exposure,True,True,ssrm.v39.body.orchard
171,15,repair_ring,wire bench,wait_for_schedule,0.588,0.09,0.01,0.514,0.734,0.146294,environmental exposure,True,True,ssrm.v39.body.repair_ring
172,15,riverbend,plank hall,pick_up_object,0.516,0.693,0.0,0.634,0.636,0.226902,environmental exposure,True,True,ssrm.v39.body.riverbend
173,15,roofward,warm lane,talk_resident,0.921,0.499,0.0,0.552,0.74,0.212908,environmental exposure,True,True,ssrm.v39.body.roofward
174,15,archive,spool room,wait_for_schedule,0.508,0.086,0.024,0.489,0.688,0.10507,movement effort,True,True,ssrm.v39.body.archive
175,15,signal,mast base,warm_up,0.601,0.425,0.0,0.628,0.775,0.22074,environmental exposure,True,True,ssrm.v39.body.signal
176,15,orchard,seed lane,avoid_hazard,0.847,0.746,0.03,0.546,0.668,0.225,environmental exposure,True,True,ssrm.v39.body.orchard
177,15,repair_ring,bell alcove,move_east,0.592,0.086,0.006,0.489,0.74,0.138454,movement effort,True,True,ssrm.v39.body.repair_ring
178,15,riverbend,plank hall,warm_up,0.546,0.733,0.0,0.628,0.671,0.22618,environmental exposure,True,True,ssrm.v39.body.riverbend
179,15,roofward,warm lane,avoid_hazard,0.951,0.495,0.0,0.546,0.746,0.208906,environmental exposure,True,True,ssrm.v39.body.roofward
180,16,archive,ink niche,inspect_object,0.538,0.082,0.02,0.483,0.694,0.098162,environmental exposure,True,True,ssrm.v39.body.archive
181,16,signal,mast base,place_object,0.576,0.421,0.0,0.622,0.755,0.21589,environmental exposure,True,True,ssrm.v39.body.signal
182,16,orchard,seed lane,ask_dialect_memory,0.851,0.786,0.026,0.54,0.648,0.225864,environmental exposure,True,True,ssrm.v39.body.orchard
183,16,repair_ring,bell alcove,rest,0.596,0.082,0.0,0.524,0.775,0.129974,care/rest action,True,True,ssrm.v39.body.repair_ring
184,16,riverbend,plank hall,place_object,0.55,0.773,0.0,0.622,0.651,0.226098,environmental exposure,True,True,ssrm.v39.body.riverbend
185,16,roofward,ledger loft,ask_dialect_memory,0.955,0.491,0.0,0.54,0.752,0.204792,movement effort,True,True,ssrm.v39.body.roofward
186,16,archive,ink niche,rest,0.568,0.078,0.002,0.518,0.729,0.090254,environmental exposure,True,True,ssrm.v39.body.archive
187,16,signal,mast base,dry_off,0.551,0.386,0.0,0.616,0.79,0.21027,environmental exposure,True,True,ssrm.v39.body.signal
188,16,orchard,market plank,move_north,0.826,0.782,0.022,0.515,0.628,0.226808,environmental exposure,True,True,ssrm.v39.body.orchard
189,16,repair_ring,bell alcove,inspect_object,0.6,0.078,0.0,0.518,0.781,0.121382,movement effort,True,True,ssrm.v39.body.repair_ring
190,16,riverbend,plank hall,dry_off,0.554,0.813,0.0,0.616,0.686,0.225996,environmental exposure,True,True,ssrm.v39.body.riverbend
191,16,roofward,glass stair,move_north,0.93,0.487,0.0,0.515,0.732,0.200878,environmental exposure,True,True,ssrm.v39.body.roofward
192,17,archive,arrival court,pick_up_object,0.572,0.118,0.0,0.512,0.709,0.082926,environmental exposure,True,True,ssrm.v39.body.archive
193,17,signal,mast base,talk_resident,0.526,0.382,0.0,0.61,0.77,0.20485,environmental exposure,True,True,ssrm.v39.body.signal
194,17,orchard,satchel shed,wait_for_schedule,0.856,0.778,0.018,0.509,0.634,0.22752,environmental exposure,True,True,ssrm.v39.body.orchard
195,17,repair_ring,bell alcove,warm_up,0.63,0.074,0.0,0.512,0.816,0.11233,care/rest action,True,True,ssrm.v39.body.repair_ring
196,17,riverbend,plank hall,talk_resident,0.558,0.853,0.0,0.61,0.666,0.226534,environmental exposure,True,True,ssrm.v39.body.riverbend
197,17,roofward,ledger loft,wait_for_schedule,0.934,0.483,0.0,0.509,0.738,0.196852,movement effort,True,True,ssrm.v39.body.roofward
198,17,archive,arrival court,warm_up,0.602,0.158,0.0,0.506,0.744,0.075578,environmental exposure,True,True,ssrm.v39.body.archive
199,17,signal,mast base,avoid_hazard,0.501,0.378,0.03,0.604,0.75,0.20053,environmental exposure,True,True,ssrm.v39.body.signal
200,17,orchard,arrival court,move_east,0.86,0.774,0.014,0.484,0.64,0.228,movement effort,True,True,ssrm.v39.body.orchard
