tick_id,day,settlement_id,avatar_x,avatar_y,local_room,nearby_object,movement_action,collision_guard,sensory_cue_visible,movement_saved
0,1,riverbend,0.455,0.5,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
40,4,orchard,0.5,0.538,ritual lane,memory marker,step,True,cart creak; apple soil; damp air,True
41,4,repair_ring,0.815,0.462,ritual lane,memory marker,step,True,bell hum; hot copper; warm metal,True
42,4,riverbend,0.14,0.5,ritual lane,owned tool,step,True,river slap; cedar resin; cold spray,True
43,4,roofward,0.5,0.576,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
44,4,archive,0.86,0.424,resident threshold,memory marker,step,True,page flutter; ink linen; cool stone,True
45,4,signal,0.14,0.5,resident threshold,memory marker,step,True,static crickets; lamp oil; cool dusk,True
46,4,orchard,0.5,0.576,resident threshold,ritual gate,step,True,cart creak; apple soil; damp air,True
47,4,repair_ring,0.86,0.424,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
48,5,riverbend,0.095,0.538,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
49,5,roofward,0.5,0.538,arrival court,memory marker,pause,True,hinge ticks; thyme paper; warm draft,True
50,5,archive,0.905,0.424,arrival court,owned tool,step,True,page flutter; ink linen; cool stone,True
51,5,signal,0.095,0.538,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
52,5,orchard,0.5,0.538,ritual lane,memory marker,step,True,cart creak; apple soil; damp air,True
53,5,repair_ring,0.905,0.424,ritual lane,memory marker,pause,True,bell hum; hot copper; warm metal,True
54,5,riverbend,0.05,0.576,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
55,5,roofward,0.5,0.5,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
56,5,archive,0.95,0.424,resident threshold,memory marker,pause,True,page flutter; ink linen; cool stone,True
57,5,signal,0.05,0.576,resident threshold,memory marker,step,True,static crickets; lamp oil; cool dusk,True
58,5,orchard,0.5,0.5,resident threshold,memory marker,pause,True,cart creak; apple soil; damp air,True
59,5,repair_ring,0.95,0.424,resident threshold,owned tool,step,True,bell hum; hot copper; warm metal,True
60,6,roofward,0.455,0.462,arrival court,memory marker,pause,True,hinge ticks; thyme paper; warm draft,True
61,6,archive,0.95,0.424,arrival court,owned tool,step,True,page flutter; ink linen; cool stone,True
62,6,signal,0.095,0.614,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
63,6,orchard,0.455,0.462,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
64,6,repair_ring,0.95,0.424,ritual lane,memory marker,pause,True,bell hum; hot copper; warm metal,True
65,6,riverbend,0.095,0.614,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
66,6,roofward,0.41,0.424,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
67,6,archive,0.95,0.424,ritual lane,memory marker,pause,True,page flutter; ink linen; cool stone,True
68,6,signal,0.14,0.652,resident threshold,memory marker,step,True,static crickets; lamp oil; cool dusk,True
69,6,orchard,0.41,0.424,resident threshold,memory marker,pause,True,cart creak; apple soil; damp air,True
70,6,repair_ring,0.95,0.424,resident threshold,owned tool,step,True,bell hum; hot copper; warm metal,True
71,6,riverbend,0.14,0.652,resident threshold,memory marker,step,True,river slap; cedar resin; cold spray,True
72,7,roofward,0.365,0.424,arrival court,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
73,7,archive,0.95,0.462,arrival court,owned tool,step,True,page flutter; ink linen; cool stone,True
74,7,signal,0.185,0.614,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
75,7,orchard,0.365,0.424,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
76,7,repair_ring,0.95,0.462,ritual lane,memory marker,step,True,bell hum; hot copper; warm metal,True
77,7,riverbend,0.185,0.614,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
78,7,roofward,0.32,0.424,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
79,7,archive,0.95,0.5,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
80,7,signal,0.23,0.576,resident threshold,ritual gate,step,True,static crickets; lamp oil; cool dusk,True
81,7,orchard,0.32,0.424,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
82,7,repair_ring,0.95,0.5,resident threshold,owned tool,step,True,bell hum; hot copper; warm metal,True
83,7,riverbend,0.23,0.576,resident threshold,ritual gate,step,True,river slap; cedar resin; cold spray,True
84,8,roofward,0.275,0.462,arrival court,owned tool,step,True,hinge ticks; thyme paper; warm draft,True
85,8,archive,0.95,0.462,arrival court,memory marker,step,True,page flutter; ink linen; cool stone,True
86,8,signal,0.275,0.576,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
87,8,orchard,0.275,0.462,arrival court,memory marker,pause,True,cart creak; apple soil; damp air,True
88,8,repair_ring,0.95,0.462,ritual lane,memory marker,step,True,bell hum; hot copper; warm metal,True
89,8,riverbend,0.275,0.576,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
90,8,roofward,0.23,0.5,ritual lane,memory marker,pause,True,hinge ticks; thyme paper; warm draft,True
91,8,archive,0.95,0.424,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
92,8,signal,0.32,0.576,resident threshold,memory marker,pause,True,static crickets; lamp oil; cool dusk,True
93,8,orchard,0.23,0.5,resident threshold,owned tool,step,True,cart creak; apple soil; damp air,True
94,8,repair_ring,0.95,0.424,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
95,8,riverbend,0.32,0.576,resident threshold,memory marker,pause,True,river slap; cedar resin; cold spray,True
96,9,roofward,0.185,0.462,arrival court,owned tool,step,True,hinge ticks; thyme paper; warm draft,True
97,9,archive,0.95,0.424,arrival court,memory marker,step,True,page flutter; ink linen; cool stone,True
98,9,signal,0.365,0.614,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
99,9,orchard,0.185,0.462,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
100,9,repair_ring,0.95,0.424,ritual lane,ritual gate,step,True,bell hum; hot copper; warm metal,True
101,9,riverbend,0.365,0.614,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
102,9,roofward,0.14,0.424,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
103,9,archive,0.95,0.424,ritual lane,ritual gate,step,True,page flutter; ink linen; cool stone,True
104,9,signal,0.41,0.652,resident threshold,memory marker,step,True,static crickets; lamp oil; cool dusk,True
105,9,orchard,0.14,0.424,resident threshold,owned tool,step,True,cart creak; apple soil; damp air,True
106,9,repair_ring,0.95,0.424,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
107,9,riverbend,0.41,0.652,resident threshold,memory marker,step,True,river slap; cedar resin; cold spray,True
108,10,roofward,0.095,0.424,arrival court,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
109,10,archive,0.95,0.462,arrival court,memory marker,step,True,page flutter; ink linen; cool stone,True
110,10,signal,0.455,0.614,arrival court,memory marker,pause,True,static crickets; lamp oil; cool dusk,True
111,10,orchard,0.095,0.424,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
112,10,repair_ring,0.95,0.462,ritual lane,memory marker,pause,True,bell hum; hot copper; warm metal,True
113,10,riverbend,0.455,0.614,ritual lane,memory marker,pause,True,river slap; cedar resin; cold spray,True
114,10,roofward,0.05,0.424,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
115,10,archive,0.95,0.5,ritual lane,memory marker,pause,True,page flutter; ink linen; cool stone,True
116,10,signal,0.5,0.576,resident threshold,owned tool,step,True,static crickets; lamp oil; cool dusk,True
117,10,orchard,0.05,0.424,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
118,10,repair_ring,0.95,0.5,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
119,10,riverbend,0.5,0.576,resident threshold,owned tool,step,True,river slap; cedar resin; cold spray,True
120,11,roofward,0.05,0.462,arrival court,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
121,11,archive,0.95,0.462,arrival court,memory marker,step,True,page flutter; ink linen; cool stone,True
122,11,signal,0.545,0.576,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
123,11,orchard,0.05,0.462,arrival court,ritual gate,step,True,cart creak; apple soil; damp air,True
124,11,repair_ring,0.95,0.462,ritual lane,memory marker,step,True,bell hum; hot copper; warm metal,True
125,11,riverbend,0.545,0.576,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
126,11,roofward,0.05,0.5,ritual lane,ritual gate,step,True,hinge ticks; thyme paper; warm draft,True
127,11,archive,0.95,0.424,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
128,11,signal,0.59,0.576,resident threshold,owned tool,step,True,static crickets; lamp oil; cool dusk,True
129,11,orchard,0.05,0.5,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
130,11,repair_ring,0.95,0.424,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
131,11,riverbend,0.59,0.576,resident threshold,owned tool,step,True,river slap; cedar resin; cold spray,True
132,12,archive,0.905,0.386,arrival court,memory marker,step,True,page flutter; ink linen; cool stone,True
133,12,signal,0.59,0.576,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
134,12,orchard,0.095,0.538,arrival court,ritual gate,step,True,cart creak; apple soil; damp air,True
135,12,repair_ring,0.905,0.386,arrival court,memory marker,step,True,bell hum; hot copper; warm metal,True
136,12,riverbend,0.59,0.576,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
137,12,roofward,0.095,0.538,ritual lane,ritual gate,step,True,hinge ticks; thyme paper; warm draft,True
138,12,archive,0.86,0.348,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
139,12,signal,0.59,0.576,ritual lane,owned tool,step,True,static crickets; lamp oil; cool dusk,True
140,12,orchard,0.14,0.576,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
141,12,repair_ring,0.86,0.348,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
142,12,riverbend,0.59,0.576,resident threshold,owned tool,step,True,river slap; cedar resin; cold spray,True
143,12,roofward,0.14,0.576,resident threshold,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
144,13,archive,0.815,0.348,arrival court,memory marker,pause,True,page flutter; ink linen; cool stone,True
145,13,signal,0.59,0.614,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
146,13,orchard,0.185,0.538,arrival court,memory marker,pause,True,cart creak; apple soil; damp air,True
147,13,repair_ring,0.815,0.348,arrival court,owned tool,step,True,bell hum; hot copper; warm metal,True
148,13,riverbend,0.59,0.614,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
149,13,roofward,0.185,0.538,ritual lane,memory marker,pause,True,hinge ticks; thyme paper; warm draft,True
150,13,archive,0.77,0.348,ritual lane,owned tool,step,True,page flutter; ink linen; cool stone,True
151,13,signal,0.59,0.652,ritual lane,memory marker,step,True,static crickets; lamp oil; cool dusk,True
152,13,orchard,0.23,0.5,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
153,13,repair_ring,0.77,0.348,resident threshold,memory marker,pause,True,bell hum; hot copper; warm metal,True
154,13,riverbend,0.59,0.652,resident threshold,memory marker,step,True,river slap; cedar resin; cold spray,True
155,13,roofward,0.23,0.5,resident threshold,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
156,14,archive,0.725,0.386,arrival court,memory marker,step,True,page flutter; ink linen; cool stone,True
157,14,signal,0.59,0.614,arrival court,ritual gate,step,True,static crickets; lamp oil; cool dusk,True
158,14,orchard,0.275,0.5,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
159,14,repair_ring,0.725,0.386,arrival court,owned tool,step,True,bell hum; hot copper; warm metal,True
160,14,riverbend,0.59,0.614,ritual lane,ritual gate,step,True,river slap; cedar resin; cold spray,True
161,14,roofward,0.275,0.5,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
162,14,archive,0.68,0.424,ritual lane,owned tool,step,True,page flutter; ink linen; cool stone,True
163,14,signal,0.59,0.576,ritual lane,memory marker,step,True,static crickets; lamp oil; cool dusk,True
164,14,orchard,0.32,0.5,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
165,14,repair_ring,0.68,0.424,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
166,14,riverbend,0.59,0.576,resident threshold,memory marker,step,True,river slap; cedar resin; cold spray,True
167,14,roofward,0.32,0.5,resident threshold,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
168,15,archive,0.635,0.386,arrival court,memory marker,step,True,page flutter; ink linen; cool stone,True
169,15,signal,0.59,0.576,arrival court,memory marker,pause,True,static crickets; lamp oil; cool dusk,True
170,15,orchard,0.365,0.538,arrival court,owned tool,step,True,cart creak; apple soil; damp air,True
171,15,repair_ring,0.635,0.386,arrival court,memory marker,step,True,bell hum; hot copper; warm metal,True
172,15,riverbend,0.59,0.576,ritual lane,memory marker,pause,True,river slap; cedar resin; cold spray,True
173,15,roofward,0.365,0.538,ritual lane,owned tool,step,True,hinge ticks; thyme paper; warm draft,True
174,15,archive,0.59,0.348,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
175,15,signal,0.59,0.576,ritual lane,memory marker,step,True,static crickets; lamp oil; cool dusk,True
176,15,orchard,0.41,0.576,resident threshold,memory marker,pause,True,cart creak; apple soil; damp air,True
177,15,repair_ring,0.59,0.348,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
178,15,riverbend,0.59,0.576,resident threshold,memory marker,step,True,river slap; cedar resin; cold spray,True
179,15,roofward,0.41,0.576,resident threshold,memory marker,pause,True,hinge ticks; thyme paper; warm draft,True
180,16,archive,0.545,0.348,arrival court,ritual gate,step,True,page flutter; ink linen; cool stone,True
181,16,signal,0.59,0.614,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
182,16,orchard,0.455,0.538,arrival court,owned tool,step,True,cart creak; apple soil; damp air,True
183,16,repair_ring,0.545,0.348,arrival court,memory marker,step,True,bell hum; hot copper; warm metal,True
184,16,riverbend,0.59,0.614,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
185,16,roofward,0.455,0.538,ritual lane,owned tool,step,True,hinge ticks; thyme paper; warm draft,True
186,16,archive,0.5,0.348,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
187,16,signal,0.59,0.652,ritual lane,memory marker,step,True,static crickets; lamp oil; cool dusk,True
188,16,orchard,0.5,0.5,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
189,16,repair_ring,0.5,0.348,resident threshold,ritual gate,step,True,bell hum; hot copper; warm metal,True
190,16,riverbend,0.59,0.652,resident threshold,memory marker,step,True,river slap; cedar resin; cold spray,True
191,16,roofward,0.5,0.5,resident threshold,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
192,17,archive,0.455,0.386,arrival court,memory marker,pause,True,page flutter; ink linen; cool stone,True
193,17,signal,0.59,0.614,arrival court,owned tool,step,True,static crickets; lamp oil; cool dusk,True
194,17,orchard,0.545,0.5,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
195,17,repair_ring,0.455,0.386,arrival court,memory marker,step,True,bell hum; hot copper; warm metal,True
196,17,riverbend,0.59,0.614,ritual lane,owned tool,step,True,river slap; cedar resin; cold spray,True
197,17,roofward,0.545,0.5,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
198,17,archive,0.41,0.424,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
199,17,signal,0.59,0.576,ritual lane,memory marker,pause,True,static crickets; lamp oil; cool dusk,True
200,17,orchard,0.59,0.5,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
201,17,repair_ring,0.41,0.424,resident threshold,memory marker,pause,True,bell hum; hot copper; warm metal,True
202,17,riverbend,0.59,0.576,resident threshold,memory marker,pause,True,river slap; cedar resin; cold spray,True
203,17,roofward,0.59,0.5,resident threshold,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
204,18,signal,0.545,0.538,arrival court,owned tool,step,True,static crickets; lamp oil; cool dusk,True
205,18,orchard,0.59,0.5,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
206,18,repair_ring,0.455,0.462,arrival court,memory marker,step,True,bell hum; hot copper; warm metal,True
207,18,riverbend,0.545,0.538,arrival court,owned tool,step,True,river slap; cedar resin; cold spray,True
208,18,roofward,0.59,0.5,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
209,18,archive,0.455,0.462,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
210,18,signal,0.5,0.5,ritual lane,memory marker,pause,True,static crickets; lamp oil; cool dusk,True
211,18,orchard,0.59,0.5,ritual lane,memory marker,step,True,cart creak; apple soil; damp air,True
212,18,repair_ring,0.5,0.5,resident threshold,memory marker,pause,True,bell hum; hot copper; warm metal,True
213,18,riverbend,0.5,0.5,resident threshold,memory marker,pause,True,river slap; cedar resin; cold spray,True
214,18,roofward,0.59,0.5,resident threshold,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
215,18,archive,0.5,0.5,resident threshold,memory marker,pause,True,page flutter; ink linen; cool stone,True
216,19,signal,0.455,0.5,arrival court,owned tool,step,True,static crickets; lamp oil; cool dusk,True
217,19,orchard,0.59,0.538,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
218,19,repair_ring,0.545,0.462,arrival court,memory marker,step,True,bell hum; hot copper; warm metal,True
219,19,riverbend,0.455,0.5,arrival court,owned tool,step,True,river slap; cedar resin; cold spray,True
220,19,roofward,0.59,0.538,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
221,19,archive,0.545,0.462,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
222,19,signal,0.41,0.5,ritual lane,memory marker,step,True,static crickets; lamp oil; cool dusk,True
223,19,orchard,0.59,0.576,ritual lane,ritual gate,step,True,cart creak; apple soil; damp air,True
224,19,repair_ring,0.59,0.424,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
225,19,riverbend,0.41,0.5,resident threshold,memory marker,step,True,river slap; cedar resin; cold spray,True
226,19,roofward,0.59,0.576,resident threshold,ritual gate,step,True,hinge ticks; thyme paper; warm draft,True
227,19,archive,0.59,0.424,resident threshold,memory marker,step,True,page flutter; ink linen; cool stone,True
228,20,signal,0.365,0.538,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
229,20,orchard,0.59,0.538,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
230,20,repair_ring,0.635,0.424,arrival court,memory marker,pause,True,bell hum; hot copper; warm metal,True
231,20,riverbend,0.365,0.538,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
232,20,roofward,0.59,0.538,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
233,20,archive,0.635,0.424,ritual lane,memory marker,pause,True,page flutter; ink linen; cool stone,True
234,20,signal,0.32,0.576,ritual lane,memory marker,step,True,static crickets; lamp oil; cool dusk,True
235,20,orchard,0.59,0.5,ritual lane,memory marker,pause,True,cart creak; apple soil; damp air,True
236,20,repair_ring,0.68,0.424,resident threshold,owned tool,step,True,bell hum; hot copper; warm metal,True
237,20,riverbend,0.32,0.576,resident threshold,memory marker,step,True,river slap; cedar resin; cold spray,True
238,20,roofward,0.59,0.5,resident threshold,memory marker,pause,True,hinge ticks; thyme paper; warm draft,True
239,20,archive,0.68,0.424,resident threshold,owned tool,step,True,page flutter; ink linen; cool stone,True
240,21,signal,0.275,0.538,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
241,21,orchard,0.59,0.5,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
242,21,repair_ring,0.725,0.462,arrival court,memory marker,step,True,bell hum; hot copper; warm metal,True
243,21,riverbend,0.275,0.538,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
244,21,roofward,0.59,0.5,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
245,21,archive,0.725,0.462,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
246,21,signal,0.23,0.5,ritual lane,ritual gate,step,True,static crickets; lamp oil; cool dusk,True
247,21,orchard,0.59,0.5,ritual lane,memory marker,step,True,cart creak; apple soil; damp air,True
248,21,repair_ring,0.77,0.5,resident threshold,owned tool,step,True,bell hum; hot copper; warm metal,True
249,21,riverbend,0.23,0.5,resident threshold,ritual gate,step,True,river slap; cedar resin; cold spray,True
250,21,roofward,0.59,0.5,resident threshold,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
251,21,archive,0.77,0.5,resident threshold,owned tool,step,True,page flutter; ink linen; cool stone,True
252,22,signal,0.185,0.5,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
253,22,orchard,0.59,0.538,arrival court,memory marker,pause,True,cart creak; apple soil; damp air,True
254,22,repair_ring,0.815,0.462,arrival court,memory marker,step,True,bell hum; hot copper; warm metal,True
255,22,riverbend,0.185,0.5,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
256,22,roofward,0.59,0.538,ritual lane,memory marker,pause,True,hinge ticks; thyme paper; warm draft,True
257,22,archive,0.815,0.462,ritual lane,memory marker,step,True,page flutter; ink linen; cool stone,True
258,22,signal,0.14,0.5,ritual lane,memory marker,pause,True,static crickets; lamp oil; cool dusk,True
259,22,orchard,0.59,0.576,ritual lane,owned tool,step,True,cart creak; apple soil; damp air,True
260,22,repair_ring,0.86,0.424,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
261,22,riverbend,0.14,0.5,resident threshold,memory marker,pause,True,river slap; cedar resin; cold spray,True
262,22,roofward,0.59,0.576,resident threshold,owned tool,step,True,hinge ticks; thyme paper; warm draft,True
263,22,archive,0.86,0.424,resident threshold,memory marker,step,True,page flutter; ink linen; cool stone,True
264,23,signal,0.095,0.538,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
265,23,orchard,0.59,0.538,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
266,23,repair_ring,0.905,0.424,arrival court,ritual gate,step,True,bell hum; hot copper; warm metal,True
267,23,riverbend,0.095,0.538,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
268,23,roofward,0.59,0.538,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
269,23,archive,0.905,0.424,ritual lane,ritual gate,step,True,page flutter; ink linen; cool stone,True
270,23,signal,0.05,0.576,ritual lane,memory marker,step,True,static crickets; lamp oil; cool dusk,True
271,23,orchard,0.59,0.5,ritual lane,owned tool,step,True,cart creak; apple soil; damp air,True
272,23,repair_ring,0.95,0.424,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
273,23,riverbend,0.05,0.576,resident threshold,memory marker,step,True,river slap; cedar resin; cold spray,True
274,23,roofward,0.59,0.5,resident threshold,owned tool,step,True,hinge ticks; thyme paper; warm draft,True
275,23,archive,0.95,0.424,resident threshold,memory marker,step,True,page flutter; ink linen; cool stone,True
276,24,orchard,0.545,0.462,arrival court,memory marker,step,True,cart creak; apple soil; damp air,True
277,24,repair_ring,0.95,0.424,arrival court,ritual gate,step,True,bell hum; hot copper; warm metal,True
278,24,riverbend,0.095,0.614,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
279,24,roofward,0.545,0.462,arrival court,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
280,24,archive,0.95,0.424,ritual lane,ritual gate,step,True,page flutter; ink linen; cool stone,True
281,24,signal,0.095,0.614,ritual lane,memory marker,step,True,static crickets; lamp oil; cool dusk,True
282,24,orchard,0.5,0.424,ritual lane,owned tool,step,True,cart creak; apple soil; damp air,True
