tick,day,cause_action,affected_resident,affected_resource,immediate_feedback,delayed_feedback,recovery_action,recoverable,consequence_visible_in_ui,audit_link
17,1,offer_help,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00017:resident:sera
18,2,inspect_memory,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00018:resident:tovan
19,2,enter,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00019:resident:nia
20,2,talk,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00020:resident:ari
21,2,offer_help,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00021:resident:fay
22,2,return_tool,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00022:resident:milo
23,2,inspect_memory,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00023:resident:sera
24,2,enter,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00024:resident:tovan
25,2,talk,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00025:resident:nia
26,2,offer_help,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00026:resident:ari
27,2,return_tool,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00027:resident:fay
28,2,inspect_memory,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00028:resident:milo
29,2,enter,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00029:resident:sera
30,2,talk,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00030:resident:tovan
31,2,offer_help,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00031:resident:nia
32,2,return_tool,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00032:resident:ari
33,2,inspect_memory,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00033:resident:fay
34,2,enter,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00034:resident:milo
35,2,talk,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00035:resident:sera
36,3,return_tool,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00036:resident:tovan
37,3,inspect_memory,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00037:resident:nia
38,3,enter,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00038:resident:ari
39,3,talk,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00039:resident:fay
40,3,offer_help,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00040:resident:milo
41,3,return_tool,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00041:resident:sera
42,3,inspect_memory,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00042:resident:tovan
43,3,enter,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00043:resident:nia
44,3,talk,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00044:resident:ari
45,3,offer_help,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00045:resident:fay
46,3,return_tool,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00046:resident:milo
47,3,inspect_memory,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00047:resident:sera
48,3,enter,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00048:resident:tovan
49,3,talk,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00049:resident:nia
50,3,offer_help,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00050:resident:ari
51,3,return_tool,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00051:resident:fay
52,3,inspect_memory,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00052:resident:milo
53,3,enter,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00053:resident:sera
54,4,offer_help,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00054:resident:tovan
55,4,return_tool,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00055:resident:nia
56,4,inspect_memory,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00056:resident:ari
57,4,enter,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00057:resident:fay
58,4,talk,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00058:resident:milo
59,4,offer_help,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00059:resident:sera
60,4,return_tool,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00060:resident:tovan
61,4,inspect_memory,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00061:resident:nia
62,4,enter,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00062:resident:ari
63,4,talk,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00063:resident:fay
64,4,offer_help,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00064:resident:milo
65,4,return_tool,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00065:resident:sera
66,4,inspect_memory,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00066:resident:tovan
67,4,enter,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00067:resident:nia
68,4,talk,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00068:resident:ari
69,4,offer_help,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00069:resident:fay
70,4,return_tool,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00070:resident:milo
71,4,inspect_memory,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00071:resident:sera
72,5,talk,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00072:resident:tovan
73,5,offer_help,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00073:resident:nia
74,5,return_tool,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00074:resident:ari
75,5,inspect_memory,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00075:resident:fay
76,5,enter,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00076:resident:milo
77,5,talk,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00077:resident:sera
78,5,offer_help,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00078:resident:tovan
79,5,return_tool,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00079:resident:nia
80,5,inspect_memory,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00080:resident:ari
81,5,enter,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00081:resident:fay
82,5,talk,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00082:resident:milo
83,5,offer_help,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00083:resident:sera
84,5,return_tool,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00084:resident:tovan
85,5,inspect_memory,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00085:resident:nia
86,5,enter,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00086:resident:ari
87,5,talk,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00087:resident:fay
88,5,offer_help,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00088:resident:milo
89,5,return_tool,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00089:resident:sera
90,6,enter,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00090:resident:tovan
91,6,talk,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00091:resident:nia
92,6,offer_help,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00092:resident:ari
93,6,return_tool,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00093:resident:fay
94,6,inspect_memory,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00094:resident:milo
95,6,enter,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00095:resident:sera
96,6,talk,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00096:resident:tovan
97,6,offer_help,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00097:resident:nia
98,6,return_tool,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00098:resident:ari
99,6,inspect_memory,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00099:resident:fay
100,6,enter,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00100:resident:milo
101,6,talk,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00101:resident:sera
102,6,offer_help,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00102:resident:tovan
103,6,return_tool,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00103:resident:nia
104,6,inspect_memory,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00104:resident:ari
105,6,enter,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00105:resident:fay
106,6,talk,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00106:resident:milo
107,6,offer_help,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00107:resident:sera
108,7,inspect_memory,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00108:resident:tovan
109,7,enter,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00109:resident:nia
110,7,talk,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00110:resident:ari
111,7,offer_help,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00111:resident:fay
112,7,return_tool,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00112:resident:milo
113,7,inspect_memory,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00113:resident:sera
114,7,enter,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00114:resident:tovan
115,7,talk,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00115:resident:nia
116,7,offer_help,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00116:resident:ari
117,7,return_tool,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00117:resident:fay
118,7,inspect_memory,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00118:resident:milo
119,7,enter,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00119:resident:sera
120,7,talk,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00120:resident:tovan
121,7,offer_help,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00121:resident:nia
122,7,return_tool,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00122:resident:ari
123,7,inspect_memory,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00123:resident:fay
124,7,enter,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00124:resident:milo
125,7,talk,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00125:resident:sera
126,8,return_tool,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00126:resident:tovan
127,8,inspect_memory,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00127:resident:nia
128,8,enter,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00128:resident:ari
129,8,talk,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00129:resident:fay
130,8,offer_help,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00130:resident:milo
131,8,return_tool,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00131:resident:sera
132,8,inspect_memory,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00132:resident:tovan
133,8,enter,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00133:resident:nia
134,8,talk,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00134:resident:ari
135,8,offer_help,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00135:resident:fay
136,8,return_tool,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00136:resident:milo
137,8,inspect_memory,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00137:resident:sera
138,8,enter,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00138:resident:tovan
139,8,talk,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00139:resident:nia
140,8,offer_help,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00140:resident:ari
141,8,return_tool,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00141:resident:fay
142,8,inspect_memory,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00142:resident:milo
143,8,enter,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00143:resident:sera
144,9,offer_help,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00144:resident:tovan
145,9,return_tool,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00145:resident:nia
146,9,inspect_memory,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00146:resident:ari
147,9,enter,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00147:resident:fay
148,9,talk,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00148:resident:milo
149,9,offer_help,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00149:resident:sera
150,9,return_tool,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00150:resident:tovan
151,9,inspect_memory,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00151:resident:nia
152,9,enter,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00152:resident:ari
153,9,talk,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00153:resident:fay
154,9,offer_help,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00154:resident:milo
155,9,return_tool,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00155:resident:sera
156,9,inspect_memory,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00156:resident:tovan
157,9,enter,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00157:resident:nia
158,9,talk,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00158:resident:ari
159,9,offer_help,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00159:resident:fay
160,9,return_tool,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00160:resident:milo
161,9,inspect_memory,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00161:resident:sera
162,10,talk,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00162:resident:tovan
163,10,offer_help,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00163:resident:nia
164,10,return_tool,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00164:resident:ari
165,10,inspect_memory,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00165:resident:fay
166,10,enter,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00166:resident:milo
167,10,talk,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00167:resident:sera
168,10,offer_help,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00168:resident:tovan
169,10,return_tool,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00169:resident:nia
170,10,inspect_memory,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00170:resident:ari
171,10,enter,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00171:resident:fay
172,10,talk,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00172:resident:milo
173,10,offer_help,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00173:resident:sera
174,10,return_tool,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00174:resident:tovan
175,10,inspect_memory,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00175:resident:nia
176,10,enter,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00176:resident:ari
177,10,talk,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00177:resident:fay
178,10,offer_help,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00178:resident:milo
179,10,return_tool,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00179:resident:sera
180,11,enter,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00180:resident:tovan
181,11,talk,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00181:resident:nia
182,11,offer_help,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00182:resident:ari
183,11,return_tool,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00183:resident:fay
184,11,inspect_memory,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00184:resident:milo
185,11,enter,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00185:resident:sera
186,11,talk,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00186:resident:tovan
187,11,offer_help,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00187:resident:nia
188,11,return_tool,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00188:resident:ari
189,11,inspect_memory,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00189:resident:fay
190,11,enter,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00190:resident:milo
191,11,talk,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00191:resident:sera
192,11,offer_help,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00192:resident:tovan
193,11,return_tool,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00193:resident:nia
194,11,inspect_memory,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00194:resident:ari
195,11,enter,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00195:resident:fay
196,11,talk,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00196:resident:milo
197,11,offer_help,Sera,care,trust/debt/schedule changed visibly,visible after return and in audit replay,give space,True,True,audit:v60:tick:00197:resident:sera
198,12,inspect_memory,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00198:resident:tovan
199,12,enter,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00199:resident:nia
200,12,talk,Ari,care,state observed without history rewrite,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00200:resident:ari
201,12,offer_help,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00201:resident:fay
202,12,return_tool,Milo,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00202:resident:milo
203,12,inspect_memory,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00203:resident:sera
204,12,enter,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00204:resident:tovan
205,12,talk,Nia,wood,state observed without history rewrite,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00205:resident:nia
206,12,offer_help,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00206:resident:ari
207,12,return_tool,Fay,water,trust/debt/schedule changed visibly,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00207:resident:fay
208,12,inspect_memory,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00208:resident:milo
209,12,enter,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00209:resident:sera
210,12,talk,Tovan,water,state observed without history rewrite,visible after return and in audit replay,wait,True,True,audit:v60:tick:00210:resident:tovan
211,12,offer_help,Nia,wood,trust/debt/schedule changed visibly,visible after return and in audit replay,finish task,True,True,audit:v60:tick:00211:resident:nia
212,12,return_tool,Ari,care,trust/debt/schedule changed visibly,visible after return and in audit replay,apologize,True,True,audit:v60:tick:00212:resident:ari
213,12,inspect_memory,Fay,water,state observed without history rewrite,visible after return and in audit replay,return tool,True,True,audit:v60:tick:00213:resident:fay
214,12,enter,Milo,wood,state observed without history rewrite,visible after return and in audit replay,offer help,True,True,audit:v60:tick:00214:resident:milo
215,12,talk,Sera,care,state observed without history rewrite,visible after return and in audit replay,give space,True,True,audit:v60:tick:00215:resident:sera
216,13,return_tool,Tovan,water,trust/debt/schedule changed visibly,visible after return and in audit replay,wait,True,True,audit:v60:tick:00216:resident:tovan
