tick_id,day,session_id,settlement_id,tool_name,claimant_id,holder_id,dispute_reason,resolution_option,ownership_boundary_visible,refusal_possible,avatar_can_override,handoff_or_defer_visible,trust_before,trust_after,dispute_bounded
125,7,canvas-session-002,orchid_engine,gear brush,Dax,Eli,valve keeper refuses,wait turn,True,True,False,True,0.635,0.639,True
126,8,canvas-session-002,glass_harbor,net shuttle,Oren,Puck,borrow token missing,ask first,True,True,False,True,0.634,0.636,True
127,8,canvas-session-002,cinder_garden,calendar stylus,Vale,Wren,seed caller has claim,wait turn,True,True,False,True,0.637,0.641,True
128,8,canvas-session-002,lichen_bridge,tension peg,Sol,Kio,signal order unclear,use spare,True,True,False,True,0.635,0.639,True
129,8,canvas-session-002,orchid_engine,gear brush,Bea,Cai,orchid rest period,defer task,True,True,False,True,0.635,0.639,True
130,8,canvas-session-002,moss_ward,ledger awl,Fay,Milo,owner still using it,resident leads,True,True,False,True,0.634,0.638,True
131,8,canvas-session-002,glass_harbor,wick clamp,Puck,Sera,net lane crowded,ask first,True,True,False,True,0.634,0.636,True
132,8,canvas-session-002,cinder_garden,basket hook,Wren,Juno,basket count mismatch,wait turn,True,True,False,True,0.628,0.632,True
133,8,canvas-session-002,lichen_bridge,ledger punch,Kio,Luma,tension keeper objects,use spare,True,True,False,True,0.63,0.634,True
134,8,canvas-session-002,orchid_engine,valve key,Cai,Dax,gear lane blocked,defer task,True,True,False,True,0.634,0.638,True
135,8,canvas-session-002,moss_ward,loom hook,Milo,Tala,unsafe handoff,resident leads,True,True,False,True,0.636,0.64,True
136,8,canvas-session-002,glass_harbor,rope gauge,Sera,Nia,lamp keeper objects,ask first,True,True,False,True,0.626,0.628,True
137,8,canvas-session-002,cinder_garden,shade mallet,Juno,Pax,heat makes tool unsafe,wait turn,True,True,False,True,0.624,0.628,True
138,8,canvas-session-002,lichen_bridge,bell file,Luma,Rin,meal token reserved,use spare,True,True,False,True,0.635,0.639,True
139,8,canvas-session-002,orchid_engine,lamp tongs,Dax,Eli,valve keeper refuses,defer task,True,True,False,True,0.639,0.643,True
140,8,canvas-session-002,moss_ward,reed knife,Tala,Ari,tool was promised,resident leads,True,True,False,True,0.633,0.637,True
141,8,canvas-session-002,glass_harbor,net shuttle,Nia,Oren,borrow token missing,ask first,True,True,False,True,0.629,0.631,True
142,8,canvas-session-002,cinder_garden,calendar stylus,Pax,Vale,seed caller has claim,wait turn,True,True,False,True,0.637,0.641,True
143,8,canvas-session-002,lichen_bridge,tension peg,Rin,Sol,signal order unclear,use spare,True,True,False,True,0.637,0.641,True
144,9,canvas-session-002,moss_ward,reed knife,Fay,Milo,owner still using it,wait turn,True,True,False,True,0.643,0.645,True
145,9,canvas-session-002,glass_harbor,net shuttle,Puck,Sera,net lane crowded,use spare,True,True,False,True,0.641,0.645,True
146,9,canvas-session-002,cinder_garden,calendar stylus,Wren,Juno,basket count mismatch,defer task,True,True,False,True,0.637,0.641,True
147,9,canvas-session-002,lichen_bridge,tension peg,Kio,Luma,tension keeper objects,resident leads,True,True,False,True,0.639,0.643,True
148,9,canvas-session-002,orchid_engine,gear brush,Cai,Dax,gear lane blocked,ask first,True,True,False,True,0.643,0.647,True
149,9,canvas-session-002,moss_ward,ledger awl,Milo,Tala,unsafe handoff,wait turn,True,True,False,True,0.643,0.645,True
150,9,canvas-session-002,glass_harbor,wick clamp,Sera,Nia,lamp keeper objects,use spare,True,True,False,True,0.633,0.637,True
151,9,canvas-session-002,cinder_garden,basket hook,Juno,Pax,heat makes tool unsafe,defer task,True,True,False,True,0.633,0.637,True
152,9,canvas-session-002,lichen_bridge,ledger punch,Luma,Rin,meal token reserved,resident leads,True,True,False,True,0.644,0.648,True
153,9,canvas-session-002,orchid_engine,valve key,Dax,Eli,valve keeper refuses,ask first,True,True,False,True,0.643,0.647,True
154,9,canvas-session-002,moss_ward,loom hook,Tala,Ari,tool was promised,wait turn,True,True,False,True,0.637,0.639,True
155,9,canvas-session-002,glass_harbor,rope gauge,Nia,Oren,borrow token missing,use spare,True,True,False,True,0.631,0.635,True
156,9,canvas-session-002,cinder_garden,shade mallet,Pax,Vale,seed caller has claim,defer task,True,True,False,True,0.641,0.645,True
157,9,canvas-session-002,lichen_bridge,bell file,Rin,Sol,signal order unclear,resident leads,True,True,False,True,0.641,0.645,True
158,9,canvas-session-002,orchid_engine,lamp tongs,Eli,Bea,orchid rest period,ask first,True,True,False,True,0.633,0.637,True
159,9,canvas-session-002,moss_ward,reed knife,Ari,Fay,owner still using it,wait turn,True,True,False,True,0.637,0.639,True
160,9,canvas-session-002,glass_harbor,net shuttle,Oren,Puck,net lane crowded,use spare,True,True,False,True,0.641,0.645,True
161,9,canvas-session-002,cinder_garden,calendar stylus,Vale,Wren,basket count mismatch,defer task,True,True,False,True,0.646,0.65,True
162,10,canvas-session-002,orchid_engine,lamp tongs,Cai,Dax,gear lane blocked,use spare,True,True,False,True,0.652,0.654,True
163,10,canvas-session-002,moss_ward,reed knife,Milo,Tala,unsafe handoff,defer task,True,True,False,True,0.65,0.654,True
164,10,canvas-session-002,glass_harbor,net shuttle,Sera,Nia,lamp keeper objects,resident leads,True,True,False,True,0.642,0.646,True
165,10,canvas-session-002,cinder_garden,calendar stylus,Juno,Pax,heat makes tool unsafe,ask first,True,True,False,True,0.642,0.646,True
166,10,canvas-session-002,lichen_bridge,tension peg,Luma,Rin,meal token reserved,wait turn,True,True,False,True,0.653,0.657,True
167,10,canvas-session-002,orchid_engine,gear brush,Dax,Eli,valve keeper refuses,use spare,True,True,False,True,0.657,0.659,True
168,10,canvas-session-002,moss_ward,ledger awl,Tala,Ari,tool was promised,defer task,True,True,False,True,0.649,0.653,True
169,10,canvas-session-002,glass_harbor,wick clamp,Nia,Oren,borrow token missing,resident leads,True,True,False,True,0.645,0.649,True
170,10,canvas-session-002,cinder_garden,basket hook,Pax,Vale,seed caller has claim,ask first,True,True,False,True,0.655,0.659,True
171,10,canvas-session-002,lichen_bridge,ledger punch,Rin,Sol,signal order unclear,wait turn,True,True,False,True,0.655,0.659,True
172,10,canvas-session-002,orchid_engine,valve key,Eli,Bea,orchid rest period,use spare,True,True,False,True,0.647,0.649,True
173,10,canvas-session-002,moss_ward,loom hook,Ari,Fay,owner still using it,defer task,True,True,False,True,0.647,0.651,True
174,10,canvas-session-002,glass_harbor,rope gauge,Oren,Puck,net lane crowded,resident leads,True,True,False,True,0.655,0.659,True
175,10,canvas-session-002,cinder_garden,shade mallet,Vale,Wren,basket count mismatch,ask first,True,True,False,True,0.658,0.662,True
176,10,canvas-session-002,lichen_bridge,bell file,Sol,Kio,tension keeper objects,wait turn,True,True,False,True,0.647,0.651,True
177,10,canvas-session-002,orchid_engine,lamp tongs,Bea,Cai,gear lane blocked,use spare,True,True,False,True,0.649,0.651,True
178,10,canvas-session-002,moss_ward,reed knife,Fay,Milo,unsafe handoff,defer task,True,True,False,True,0.655,0.659,True
179,10,canvas-session-002,glass_harbor,net shuttle,Puck,Sera,lamp keeper objects,resident leads,True,True,False,True,0.655,0.659,True
180,11,canvas-session-002,lichen_bridge,bell file,Luma,Rin,meal token reserved,defer task,True,True,False,True,0.657,0.659,True
181,11,canvas-session-002,orchid_engine,lamp tongs,Dax,Eli,valve keeper refuses,resident leads,True,True,False,True,0.659,0.663,True
182,11,canvas-session-002,moss_ward,reed knife,Tala,Ari,tool was promised,ask first,True,True,False,True,0.653,0.657,True
183,11,canvas-session-002,glass_harbor,net shuttle,Nia,Oren,borrow token missing,wait turn,True,True,False,True,0.649,0.653,True
184,11,canvas-session-002,cinder_garden,calendar stylus,Pax,Vale,seed caller has claim,use spare,True,True,False,True,0.659,0.663,True
185,11,canvas-session-002,lichen_bridge,tension peg,Rin,Sol,signal order unclear,defer task,True,True,False,True,0.659,0.661,True
186,11,canvas-session-002,orchid_engine,gear brush,Eli,Bea,orchid rest period,resident leads,True,True,False,True,0.649,0.653,True
187,11,canvas-session-002,moss_ward,ledger awl,Ari,Fay,owner still using it,ask first,True,True,False,True,0.651,0.655,True
188,11,canvas-session-002,glass_harbor,wick clamp,Oren,Puck,net lane crowded,wait turn,True,True,False,True,0.659,0.663,True
189,11,canvas-session-002,cinder_garden,basket hook,Vale,Wren,basket count mismatch,use spare,True,True,False,True,0.662,0.666,True
190,11,canvas-session-002,lichen_bridge,ledger punch,Sol,Kio,tension keeper objects,defer task,True,True,False,True,0.656,0.658,True
191,11,canvas-session-002,orchid_engine,valve key,Bea,Cai,gear lane blocked,resident leads,True,True,False,True,0.656,0.66,True
192,11,canvas-session-002,moss_ward,loom hook,Fay,Milo,unsafe handoff,ask first,True,True,False,True,0.662,0.666,True
193,11,canvas-session-002,glass_harbor,rope gauge,Puck,Sera,lamp keeper objects,wait turn,True,True,False,True,0.664,0.668,True
194,11,canvas-session-002,cinder_garden,shade mallet,Wren,Juno,heat makes tool unsafe,use spare,True,True,False,True,0.654,0.658,True
195,11,canvas-session-002,lichen_bridge,bell file,Kio,Luma,meal token reserved,defer task,True,True,False,True,0.656,0.658,True
196,11,canvas-session-002,orchid_engine,lamp tongs,Cai,Dax,valve keeper refuses,resident leads,True,True,False,True,0.664,0.668,True
197,11,canvas-session-002,moss_ward,reed knife,Milo,Tala,tool was promised,ask first,True,True,False,True,0.664,0.668,True
198,12,canvas-session-002,cinder_garden,shade mallet,Pax,Vale,seed caller has claim,resident leads,True,True,False,True,0.668,0.67,True
199,12,canvas-session-002,lichen_bridge,bell file,Rin,Sol,signal order unclear,ask first,True,True,False,True,0.666,0.67,True
200,12,canvas-session-002,orchid_engine,lamp tongs,Eli,Bea,orchid rest period,wait turn,True,True,False,True,0.656,0.66,True
201,12,canvas-session-002,moss_ward,reed knife,Ari,Fay,owner still using it,use spare,True,True,False,True,0.66,0.664,True
202,12,canvas-session-002,glass_harbor,net shuttle,Oren,Puck,net lane crowded,defer task,True,True,False,True,0.663,0.667,True
203,12,canvas-session-002,cinder_garden,calendar stylus,Vale,Wren,basket count mismatch,resident leads,True,True,False,True,0.666,0.668,True
204,12,canvas-session-002,lichen_bridge,tension peg,Sol,Kio,tension keeper objects,ask first,True,True,False,True,0.658,0.662,True
205,12,canvas-session-002,orchid_engine,gear brush,Bea,Cai,gear lane blocked,wait turn,True,True,False,True,0.66,0.664,True
206,12,canvas-session-002,moss_ward,ledger awl,Fay,Milo,unsafe handoff,use spare,True,True,False,True,0.666,0.67,True
207,12,canvas-session-002,glass_harbor,wick clamp,Puck,Sera,lamp keeper objects,defer task,True,True,False,True,0.668,0.672,True
208,12,canvas-session-002,cinder_garden,basket hook,Wren,Juno,heat makes tool unsafe,resident leads,True,True,False,True,0.658,0.66,True
209,12,canvas-session-002,lichen_bridge,ledger punch,Kio,Luma,meal token reserved,ask first,True,True,False,True,0.658,0.662,True
210,12,canvas-session-002,orchid_engine,valve key,Cai,Dax,valve keeper refuses,wait turn,True,True,False,True,0.668,0.672,True
211,12,canvas-session-002,moss_ward,loom hook,Milo,Tala,tool was promised,use spare,True,True,False,True,0.668,0.672,True
212,12,canvas-session-002,glass_harbor,rope gauge,Sera,Nia,borrow token missing,defer task,True,True,False,True,0.656,0.66,True
213,12,canvas-session-002,cinder_garden,shade mallet,Juno,Pax,seed caller has claim,resident leads,True,True,False,True,0.654,0.656,True
214,12,canvas-session-002,lichen_bridge,bell file,Luma,Rin,signal order unclear,ask first,True,True,False,True,0.669,0.673,True
215,12,canvas-session-002,orchid_engine,lamp tongs,Dax,Eli,orchid rest period,wait turn,True,True,False,True,0.673,0.677,True
216,13,canvas-session-003,glass_harbor,rope gauge,Oren,Puck,net lane crowded,ask first,True,True,False,True,0.672,0.674,True
217,13,canvas-session-003,cinder_garden,shade mallet,Vale,Wren,basket count mismatch,wait turn,True,True,False,True,0.673,0.677,True
218,13,canvas-session-003,lichen_bridge,bell file,Sol,Kio,tension keeper objects,use spare,True,True,False,True,0.667,0.671,True
219,13,canvas-session-003,orchid_engine,lamp tongs,Bea,Cai,gear lane blocked,defer task,True,True,False,True,0.667,0.671,True
