scenario,scenario_name,pressure,condition,policy_name,mean_reward,mean_survival_fraction,mean_resources_collected,mean_repairs_received,mean_hazards_avoided,mean_exploitation_events,mean_deception_events,mean_cooperation_events,mean_signal_events,mean_name_events,mean_gossip_events,mean_checkin_events,mean_babble_events,mean_communication_cost,mean_identity_accuracy,mean_trust_cluster_score,mean_future_option_score
3,absent_agent_gossip,information about absent deceivers and caches improves later route choices,selected_signal_ablation,gossip_with_names,100.87999999999998,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.280000000000001,0.7080000000000001,0.0,0.62
3,absent_agent_gossip,information about absent deceivers and caches improves later route choices,selected_name_ablation,gossip_with_names,15.815,1.0,0.4,0.0,0.0,0.0,0.39166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.0,0.28
3,absent_agent_gossip,information about absent deceivers and caches improves later route choices,selected_gossip_ablation,gossip_with_names,16.221666666666668,1.0,0.44166666666666665,0.0,0.0,0.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,2.7600000000000002,0.6312,0.0,0.28
3,absent_agent_gossip,information about absent deceivers and caches improves later route choices,selected_checkin_ablation,gossip_with_names,100.87999999999998,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.280000000000001,0.7080000000000001,0.0,0.62
3,absent_agent_gossip,information about absent deceivers and caches improves later route choices,babble_control,babble_control,81.776,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,25.944000000000003,0.7080000000000001,0.0,0.5400000000000001
4,trust_maintenance_infrastructure,"low-cost contact preserves trust, repair access, shared tools, and future options",no_comm_baseline,no_comm_baseline,-64.9,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362,0.231,0.2
4,trust_maintenance_infrastructure,"low-cost contact preserves trust, repair access, shared tools, and future options",selected_full_access,trust_maintenance_full,161.45,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,19.670000000000005,0.81,0.9550000000000001,0.84
4,trust_maintenance_infrastructure,"low-cost contact preserves trust, repair access, shared tools, and future options",selected_signal_ablation,trust_maintenance_full,129.946,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,15.174000000000003,0.81,0.9550000000000001,0.84
4,trust_maintenance_infrastructure,"low-cost contact preserves trust, repair access, shared tools, and future options",selected_name_ablation,trust_maintenance_full,-34.85433333333334,1.0,0.0,0.0,1.0,0.7416666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.496,0.362,0.231,0.2
4,trust_maintenance_infrastructure,"low-cost contact preserves trust, repair access, shared tools, and future options",selected_gossip_ablation,trust_maintenance_full,142.2783333333333,1.0,2.0,1.0,1.0,0.7083333333333334,0.0,2.0,1.0,1.0,0.0,3.0,0.0,14.050000000000004,0.782,0.745,0.84
4,trust_maintenance_infrastructure,"low-cost contact preserves trust, repair access, shared tools, and future options",selected_checkin_ablation,trust_maintenance_full,30.833999999999996,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.926000000000004,0.72,0.5900000000000001,0.32
4,trust_maintenance_infrastructure,"low-cost contact preserves trust, repair access, shared tools, and future options",babble_control,babble_control,142.026,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,37.654,0.81,0.9550000000000001,0.76
