generation,year,epoch,settlement_id,population_band,climate_pressure,resource_pressure,conflict_pressure,cooperation_rate,inherited_story_count,pre_avatar
10,300,1,archive,172,0.405,0.428,0.228,0.61492,18,True
10,300,1,signal,183,0.45,0.466,0.132,0.56548,18,True
10,300,1,orchard,194,0.18,0.2,0.228,0.58492,18,True
10,300,1,repair_ring,205,0.225,0.238,0.132,0.62548,18,True
11,330,2,riverbend,157,0.36,0.428,0.26,0.5614,20,True
11,330,2,roofward,168,0.405,0.466,0.164,0.60196,20,True
11,330,2,archive,179,0.45,0.2,0.26,0.6214,20,True
11,330,2,signal,190,0.18,0.238,0.164,0.57196,20,True
11,330,2,orchard,201,0.225,0.276,0.26,0.5914,20,True
11,330,2,repair_ring,212,0.27,0.314,0.164,0.63196,20,True
12,360,2,riverbend,164,0.405,0.2,0.1,0.589,22,True
12,360,2,roofward,175,0.45,0.238,0.196,0.60844,22,True
12,360,2,archive,186,0.18,0.276,0.1,0.649,22,True
12,360,2,signal,197,0.225,0.314,0.196,0.57844,22,True
12,360,2,orchard,208,0.27,0.352,0.1,0.619,22,True
12,360,2,repair_ring,219,0.315,0.39,0.196,0.63844,22,True
13,390,2,riverbend,171,0.45,0.276,0.132,0.59548,24,True
13,390,2,roofward,182,0.18,0.314,0.228,0.61492,24,True
13,390,2,archive,193,0.225,0.352,0.132,0.65548,24,True
13,390,2,signal,204,0.27,0.39,0.228,0.58492,24,True
13,390,2,orchard,215,0.315,0.428,0.132,0.62548,24,True
13,390,2,repair_ring,226,0.36,0.466,0.228,0.64492,24,True
14,420,2,riverbend,178,0.18,0.352,0.164,0.60196,26,True
14,420,2,roofward,189,0.225,0.39,0.26,0.6214,26,True
14,420,2,archive,200,0.27,0.428,0.164,0.66196,26,True
14,420,2,signal,211,0.315,0.466,0.26,0.5914,26,True
14,420,2,orchard,222,0.36,0.2,0.164,0.63196,26,True
14,420,2,repair_ring,233,0.405,0.238,0.26,0.6514,26,True
15,450,2,riverbend,185,0.225,0.428,0.196,0.60844,28,True
15,450,2,roofward,196,0.27,0.466,0.1,0.649,28,True
15,450,2,archive,207,0.315,0.2,0.196,0.66844,28,True
15,450,2,signal,218,0.36,0.238,0.1,0.619,28,True
15,450,2,orchard,229,0.405,0.276,0.196,0.63844,28,True
15,450,2,repair_ring,240,0.45,0.314,0.1,0.679,28,True
16,480,2,riverbend,192,0.27,0.2,0.228,0.61492,30,True
16,480,2,roofward,203,0.315,0.238,0.132,0.65548,30,True
16,480,2,archive,214,0.36,0.276,0.228,0.67492,30,True
16,480,2,signal,225,0.405,0.314,0.132,0.62548,30,True
16,480,2,orchard,236,0.45,0.352,0.228,0.64492,30,True
16,480,2,repair_ring,247,0.18,0.39,0.132,0.68548,30,True
17,510,2,riverbend,199,0.315,0.276,0.26,0.6214,32,True
17,510,2,roofward,210,0.36,0.314,0.164,0.66196,32,True
17,510,2,archive,221,0.405,0.352,0.26,0.6814,32,True
17,510,2,signal,232,0.45,0.39,0.164,0.63196,32,True
17,510,2,orchard,243,0.18,0.428,0.26,0.6514,32,True
17,510,2,repair_ring,254,0.225,0.466,0.164,0.69196,32,True
18,540,2,riverbend,206,0.36,0.352,0.1,0.649,34,True
18,540,2,roofward,217,0.405,0.39,0.196,0.66844,34,True
18,540,2,archive,228,0.45,0.428,0.1,0.709,34,True
18,540,2,signal,239,0.18,0.466,0.196,0.63844,34,True
18,540,2,orchard,250,0.225,0.2,0.1,0.679,34,True
18,540,2,repair_ring,261,0.27,0.238,0.196,0.69844,34,True
19,570,2,riverbend,213,0.405,0.428,0.132,0.65548,36,True
19,570,2,roofward,224,0.45,0.466,0.228,0.67492,36,True
19,570,2,archive,235,0.18,0.2,0.132,0.71548,36,True
19,570,2,signal,246,0.225,0.238,0.228,0.64492,36,True
19,570,2,orchard,257,0.27,0.276,0.132,0.68548,36,True
19,570,2,repair_ring,268,0.315,0.314,0.228,0.70492,36,True
20,600,2,riverbend,220,0.45,0.2,0.164,0.66196,38,True
20,600,2,roofward,231,0.18,0.238,0.26,0.6814,38,True
20,600,2,archive,242,0.225,0.276,0.164,0.72196,38,True
20,600,2,signal,253,0.27,0.314,0.26,0.6514,38,True
20,600,2,orchard,264,0.315,0.352,0.164,0.69196,38,True
20,600,2,repair_ring,275,0.36,0.39,0.26,0.7114,38,True
21,630,3,riverbend,227,0.18,0.276,0.196,0.66844,40,True
21,630,3,roofward,238,0.225,0.314,0.1,0.709,40,True
21,630,3,archive,249,0.27,0.352,0.196,0.72844,40,True
21,630,3,signal,260,0.315,0.39,0.1,0.679,40,True
21,630,3,orchard,271,0.36,0.428,0.196,0.69844,40,True
21,630,3,repair_ring,282,0.405,0.466,0.1,0.739,40,True
22,660,3,riverbend,234,0.225,0.352,0.228,0.67492,42,True
22,660,3,roofward,245,0.27,0.39,0.132,0.71548,42,True
22,660,3,archive,256,0.315,0.428,0.228,0.73492,42,True
22,660,3,signal,267,0.36,0.466,0.132,0.68548,42,True
22,660,3,orchard,278,0.405,0.2,0.228,0.70492,42,True
22,660,3,repair_ring,289,0.45,0.238,0.132,0.74548,42,True
23,690,3,riverbend,241,0.27,0.428,0.26,0.6814,44,True
23,690,3,roofward,252,0.315,0.466,0.164,0.72196,44,True
23,690,3,archive,263,0.36,0.2,0.26,0.7414,44,True
23,690,3,signal,274,0.405,0.238,0.164,0.69196,44,True
23,690,3,orchard,285,0.45,0.276,0.26,0.7114,44,True
23,690,3,repair_ring,296,0.18,0.314,0.164,0.75196,44,True
24,720,3,riverbend,248,0.315,0.2,0.1,0.709,46,True
24,720,3,roofward,259,0.36,0.238,0.196,0.72844,46,True
24,720,3,archive,270,0.405,0.276,0.1,0.769,46,True
24,720,3,signal,281,0.45,0.314,0.196,0.69844,46,True
24,720,3,orchard,292,0.18,0.352,0.1,0.739,46,True
24,720,3,repair_ring,303,0.225,0.39,0.196,0.75844,46,True
25,750,3,riverbend,255,0.36,0.276,0.132,0.71548,48,True
25,750,3,roofward,266,0.405,0.314,0.228,0.73492,48,True
25,750,3,archive,277,0.45,0.352,0.132,0.77548,48,True
25,750,3,signal,288,0.18,0.39,0.228,0.70492,48,True
25,750,3,orchard,299,0.225,0.428,0.132,0.74548,48,True
25,750,3,repair_ring,310,0.27,0.466,0.228,0.76492,48,True
26,780,3,riverbend,262,0.405,0.352,0.164,0.72196,50,True
26,780,3,roofward,273,0.45,0.39,0.26,0.7414,50,True
26,780,3,archive,284,0.18,0.428,0.164,0.78196,50,True
26,780,3,signal,295,0.225,0.466,0.26,0.7114,50,True
26,780,3,orchard,306,0.27,0.2,0.164,0.75196,50,True
26,780,3,repair_ring,317,0.315,0.238,0.26,0.7714,50,True
27,810,3,riverbend,269,0.45,0.428,0.196,0.72844,52,True
27,810,3,roofward,280,0.18,0.466,0.1,0.769,52,True
27,810,3,archive,291,0.225,0.2,0.196,0.78844,52,True
27,810,3,signal,302,0.27,0.238,0.1,0.739,52,True
27,810,3,orchard,313,0.315,0.276,0.196,0.75844,52,True
27,810,3,repair_ring,324,0.36,0.314,0.1,0.799,52,True
28,840,3,riverbend,276,0.18,0.2,0.228,0.73492,54,True
28,840,3,roofward,287,0.225,0.238,0.132,0.77548,54,True
28,840,3,archive,298,0.27,0.276,0.228,0.79492,54,True
28,840,3,signal,309,0.315,0.314,0.132,0.74548,54,True
28,840,3,orchard,320,0.36,0.352,0.228,0.76492,54,True
28,840,3,repair_ring,331,0.405,0.39,0.132,0.80548,54,True
29,870,3,riverbend,283,0.225,0.276,0.26,0.7414,56,True
29,870,3,roofward,294,0.27,0.314,0.164,0.78196,56,True
29,870,3,archive,305,0.315,0.352,0.26,0.8014,56,True
29,870,3,signal,316,0.36,0.39,0.164,0.75196,56,True
29,870,3,orchard,327,0.405,0.428,0.26,0.7714,56,True
29,870,3,repair_ring,338,0.45,0.466,0.164,0.81196,56,True
30,900,3,riverbend,290,0.27,0.352,0.1,0.769,58,True
30,900,3,roofward,301,0.315,0.39,0.196,0.78844,58,True
30,900,3,archive,312,0.36,0.428,0.1,0.829,58,True
30,900,3,signal,323,0.405,0.466,0.196,0.75844,58,True
30,900,3,orchard,334,0.45,0.2,0.1,0.799,58,True
30,900,3,repair_ring,345,0.18,0.238,0.196,0.81844,58,True
31,930,4,riverbend,297,0.315,0.428,0.132,0.77548,60,True
31,930,4,roofward,308,0.36,0.466,0.228,0.79492,60,True
31,930,4,archive,319,0.405,0.2,0.132,0.83548,60,True
31,930,4,signal,330,0.45,0.238,0.228,0.76492,60,True
31,930,4,orchard,341,0.18,0.276,0.132,0.80548,60,True
31,930,4,repair_ring,352,0.225,0.314,0.228,0.82492,60,True
32,960,4,riverbend,304,0.36,0.2,0.164,0.78196,62,True
32,960,4,roofward,315,0.405,0.238,0.26,0.8014,62,True
32,960,4,archive,326,0.45,0.276,0.164,0.84196,62,True
32,960,4,signal,337,0.18,0.314,0.26,0.7714,62,True
32,960,4,orchard,348,0.225,0.352,0.164,0.81196,62,True
32,960,4,repair_ring,359,0.27,0.39,0.26,0.8314,62,True
33,990,4,riverbend,311,0.405,0.276,0.196,0.78844,64,True
33,990,4,roofward,322,0.45,0.314,0.1,0.829,64,True
33,990,4,archive,333,0.18,0.352,0.196,0.84844,64,True
33,990,4,signal,344,0.225,0.39,0.1,0.799,64,True
33,990,4,orchard,355,0.27,0.428,0.196,0.81844,64,True
33,990,4,repair_ring,366,0.315,0.466,0.1,0.859,64,True
34,1020,4,riverbend,318,0.45,0.352,0.228,0.79492,66,True
34,1020,4,roofward,329,0.18,0.39,0.132,0.83548,66,True
34,1020,4,archive,340,0.225,0.428,0.228,0.85492,66,True
34,1020,4,signal,351,0.27,0.466,0.132,0.80548,66,True
34,1020,4,orchard,362,0.315,0.2,0.228,0.82492,66,True
34,1020,4,repair_ring,373,0.36,0.238,0.132,0.86548,66,True
35,1050,4,riverbend,325,0.18,0.428,0.26,0.8014,68,True
35,1050,4,roofward,336,0.225,0.466,0.164,0.84196,68,True
35,1050,4,archive,347,0.27,0.2,0.26,0.8614,68,True
35,1050,4,signal,358,0.315,0.238,0.164,0.81196,68,True
35,1050,4,orchard,369,0.36,0.276,0.26,0.8314,68,True
35,1050,4,repair_ring,380,0.405,0.314,0.164,0.87196,68,True
36,1080,4,riverbend,332,0.225,0.2,0.1,0.829,70,True
36,1080,4,roofward,343,0.27,0.238,0.196,0.84844,70,True
36,1080,4,archive,354,0.315,0.276,0.1,0.889,70,True
36,1080,4,signal,365,0.36,0.314,0.196,0.81844,70,True
36,1080,4,orchard,376,0.405,0.352,0.1,0.859,70,True
36,1080,4,repair_ring,387,0.45,0.39,0.196,0.87844,70,True
37,1110,4,riverbend,339,0.27,0.276,0.132,0.83548,72,True
37,1110,4,roofward,350,0.315,0.314,0.228,0.85492,72,True
37,1110,4,archive,361,0.36,0.352,0.132,0.89548,72,True
37,1110,4,signal,372,0.405,0.39,0.228,0.82492,72,True
37,1110,4,orchard,383,0.45,0.428,0.132,0.86548,72,True
37,1110,4,repair_ring,394,0.18,0.466,0.228,0.88492,72,True
38,1140,4,riverbend,346,0.315,0.352,0.164,0.84196,74,True
38,1140,4,roofward,357,0.36,0.39,0.26,0.8614,74,True
38,1140,4,archive,368,0.405,0.428,0.164,0.90196,74,True
38,1140,4,signal,379,0.45,0.466,0.26,0.8314,74,True
38,1140,4,orchard,390,0.18,0.2,0.164,0.87196,74,True
38,1140,4,repair_ring,401,0.225,0.238,0.26,0.8914,74,True
39,1170,4,riverbend,353,0.36,0.428,0.196,0.84844,76,True
39,1170,4,roofward,364,0.405,0.466,0.1,0.889,76,True
39,1170,4,archive,375,0.45,0.2,0.196,0.90844,76,True
39,1170,4,signal,386,0.18,0.238,0.1,0.859,76,True
39,1170,4,orchard,397,0.225,0.276,0.196,0.87844,76,True
39,1170,4,repair_ring,408,0.27,0.314,0.1,0.919,76,True
40,1200,4,riverbend,360,0.405,0.2,0.228,0.85492,78,True
40,1200,4,roofward,371,0.45,0.238,0.132,0.89548,78,True
40,1200,4,archive,382,0.18,0.276,0.228,0.91492,78,True
40,1200,4,signal,393,0.225,0.314,0.132,0.86548,78,True
40,1200,4,orchard,404,0.27,0.352,0.228,0.88492,78,True
40,1200,4,repair_ring,415,0.315,0.39,0.132,0.92548,78,True
41,1230,5,riverbend,367,0.45,0.276,0.26,0.8614,80,True
41,1230,5,roofward,378,0.18,0.314,0.164,0.90196,80,True
41,1230,5,archive,389,0.225,0.352,0.26,0.9214,80,True
41,1230,5,signal,400,0.27,0.39,0.164,0.87196,80,True
41,1230,5,orchard,411,0.315,0.428,0.26,0.8914,80,True
41,1230,5,repair_ring,422,0.36,0.466,0.164,0.93196,80,True
42,1260,5,riverbend,374,0.18,0.352,0.1,0.889,82,True
42,1260,5,roofward,385,0.225,0.39,0.196,0.90844,82,True
42,1260,5,archive,396,0.27,0.428,0.1,0.94,82,True
42,1260,5,signal,407,0.315,0.466,0.196,0.87844,82,True
42,1260,5,orchard,418,0.36,0.2,0.1,0.919,82,True
42,1260,5,repair_ring,429,0.405,0.238,0.196,0.93844,82,True
43,1290,5,riverbend,381,0.225,0.428,0.132,0.89548,84,True
43,1290,5,roofward,392,0.27,0.466,0.228,0.91492,84,True
43,1290,5,archive,403,0.315,0.2,0.132,0.94,84,True
43,1290,5,signal,414,0.36,0.238,0.228,0.88492,84,True
43,1290,5,orchard,425,0.405,0.276,0.132,0.92548,84,True
43,1290,5,repair_ring,436,0.45,0.314,0.228,0.94,84,True
44,1320,5,riverbend,388,0.27,0.2,0.164,0.90196,86,True
44,1320,5,roofward,399,0.315,0.238,0.26,0.9214,86,True
44,1320,5,archive,410,0.36,0.276,0.164,0.94,86,True
44,1320,5,signal,421,0.405,0.314,0.26,0.8914,86,True
44,1320,5,orchard,432,0.45,0.352,0.164,0.93196,86,True
44,1320,5,repair_ring,443,0.18,0.39,0.26,0.94,86,True
45,1350,5,riverbend,395,0.315,0.276,0.196,0.90844,88,True
45,1350,5,roofward,406,0.36,0.314,0.1,0.94,88,True
45,1350,5,archive,417,0.405,0.352,0.196,0.94,88,True
45,1350,5,signal,428,0.45,0.39,0.1,0.919,88,True
45,1350,5,orchard,439,0.18,0.428,0.196,0.93844,88,True
45,1350,5,repair_ring,450,0.225,0.466,0.1,0.94,88,True
46,1380,5,riverbend,402,0.36,0.352,0.228,0.91492,90,True
46,1380,5,roofward,413,0.405,0.39,0.132,0.94,90,True
46,1380,5,archive,424,0.45,0.428,0.228,0.94,90,True
46,1380,5,signal,435,0.18,0.466,0.132,0.92548,90,True
46,1380,5,orchard,446,0.225,0.2,0.228,0.94,90,True
46,1380,5,repair_ring,457,0.27,0.238,0.132,0.94,90,True
47,1410,5,riverbend,409,0.405,0.428,0.26,0.9214,92,True
47,1410,5,roofward,420,0.45,0.466,0.164,0.94,92,True
47,1410,5,archive,431,0.18,0.2,0.26,0.94,92,True
47,1410,5,signal,442,0.225,0.238,0.164,0.93196,92,True
47,1410,5,orchard,453,0.27,0.276,0.26,0.94,92,True
47,1410,5,repair_ring,464,0.315,0.314,0.164,0.94,92,True
48,1440,5,riverbend,416,0.45,0.2,0.1,0.94,94,True
48,1440,5,roofward,427,0.18,0.238,0.196,0.94,94,True
48,1440,5,archive,438,0.225,0.276,0.1,0.94,94,True
48,1440,5,signal,449,0.27,0.314,0.196,0.93844,94,True
48,1440,5,orchard,460,0.315,0.352,0.1,0.94,94,True
48,1440,5,repair_ring,471,0.36,0.39,0.196,0.94,94,True
49,1470,5,riverbend,423,0.18,0.276,0.132,0.94,96,True
49,1470,5,roofward,434,0.225,0.314,0.228,0.94,96,True
49,1470,5,archive,445,0.27,0.352,0.132,0.94,96,True
49,1470,5,signal,456,0.315,0.39,0.228,0.94,96,True
49,1470,5,orchard,467,0.36,0.428,0.132,0.94,96,True
49,1470,5,repair_ring,478,0.405,0.466,0.228,0.94,96,True
50,1500,5,riverbend,430,0.225,0.352,0.164,0.94,98,True
50,1500,5,roofward,441,0.27,0.39,0.26,0.94,98,True
50,1500,5,archive,452,0.315,0.428,0.164,0.94,98,True
50,1500,5,signal,463,0.36,0.466,0.26,0.94,98,True
50,1500,5,orchard,474,0.405,0.2,0.164,0.94,98,True
50,1500,5,repair_ring,485,0.45,0.238,0.26,0.94,98,True
51,1530,6,riverbend,437,0.27,0.428,0.196,0.94,100,True
51,1530,6,roofward,448,0.315,0.466,0.1,0.94,100,True
51,1530,6,archive,459,0.36,0.2,0.196,0.94,100,True
51,1530,6,signal,470,0.405,0.238,0.1,0.94,100,True
51,1530,6,orchard,481,0.45,0.276,0.196,0.94,100,True
51,1530,6,repair_ring,492,0.18,0.314,0.1,0.94,100,True
52,1560,6,riverbend,444,0.315,0.2,0.228,0.94,102,True
52,1560,6,roofward,455,0.36,0.238,0.132,0.94,102,True
52,1560,6,archive,466,0.405,0.276,0.228,0.94,102,True
52,1560,6,signal,477,0.45,0.314,0.132,0.94,102,True
52,1560,6,orchard,488,0.18,0.352,0.228,0.94,102,True
52,1560,6,repair_ring,499,0.225,0.39,0.132,0.94,102,True
53,1590,6,riverbend,451,0.36,0.276,0.26,0.94,104,True
53,1590,6,roofward,462,0.405,0.314,0.164,0.94,104,True
53,1590,6,archive,473,0.45,0.352,0.26,0.94,104,True
53,1590,6,signal,484,0.18,0.39,0.164,0.94,104,True
53,1590,6,orchard,495,0.225,0.428,0.26,0.94,104,True
53,1590,6,repair_ring,506,0.27,0.466,0.164,0.94,104,True
54,1620,6,riverbend,458,0.405,0.352,0.1,0.94,106,True
54,1620,6,roofward,469,0.45,0.39,0.196,0.94,106,True
54,1620,6,archive,480,0.18,0.428,0.1,0.94,106,True
54,1620,6,signal,491,0.225,0.466,0.196,0.94,106,True
54,1620,6,orchard,502,0.27,0.2,0.1,0.94,106,True
54,1620,6,repair_ring,513,0.315,0.238,0.196,0.94,106,True
55,1650,6,riverbend,465,0.45,0.428,0.132,0.94,108,True
55,1650,6,roofward,476,0.18,0.466,0.228,0.94,108,True
55,1650,6,archive,487,0.225,0.2,0.132,0.94,108,True
55,1650,6,signal,498,0.27,0.238,0.228,0.94,108,True
55,1650,6,orchard,509,0.315,0.276,0.132,0.94,108,True
55,1650,6,repair_ring,520,0.36,0.314,0.228,0.94,108,True
56,1680,6,riverbend,472,0.18,0.2,0.164,0.94,110,True
56,1680,6,roofward,483,0.225,0.238,0.26,0.94,110,True
56,1680,6,archive,494,0.27,0.276,0.164,0.94,110,True
56,1680,6,signal,505,0.315,0.314,0.26,0.94,110,True
56,1680,6,orchard,516,0.36,0.352,0.164,0.94,110,True
56,1680,6,repair_ring,527,0.405,0.39,0.26,0.94,110,True
57,1710,6,riverbend,479,0.225,0.276,0.196,0.94,112,True
57,1710,6,roofward,490,0.27,0.314,0.1,0.94,112,True
57,1710,6,archive,501,0.315,0.352,0.196,0.94,112,True
57,1710,6,signal,512,0.36,0.39,0.1,0.94,112,True
57,1710,6,orchard,523,0.405,0.428,0.196,0.94,112,True
57,1710,6,repair_ring,534,0.45,0.466,0.1,0.94,112,True
58,1740,6,riverbend,486,0.27,0.352,0.228,0.94,114,True
58,1740,6,roofward,497,0.315,0.39,0.132,0.94,114,True
58,1740,6,archive,508,0.36,0.428,0.228,0.94,114,True
58,1740,6,signal,519,0.405,0.466,0.132,0.94,114,True
58,1740,6,orchard,530,0.45,0.2,0.228,0.94,114,True
58,1740,6,repair_ring,541,0.18,0.238,0.132,0.94,114,True
59,1770,6,riverbend,493,0.315,0.428,0.26,0.94,116,True
59,1770,6,roofward,504,0.36,0.466,0.164,0.94,116,True
59,1770,6,archive,515,0.405,0.2,0.26,0.94,116,True
59,1770,6,signal,526,0.45,0.238,0.164,0.94,116,True
59,1770,6,orchard,537,0.18,0.276,0.26,0.94,116,True
59,1770,6,repair_ring,548,0.225,0.314,0.164,0.94,116,True
60,1800,6,riverbend,500,0.36,0.2,0.1,0.94,118,True
60,1800,6,roofward,511,0.405,0.238,0.196,0.94,118,True
60,1800,6,archive,522,0.45,0.276,0.1,0.94,118,True
60,1800,6,signal,533,0.18,0.314,0.196,0.94,118,True
60,1800,6,orchard,544,0.225,0.352,0.1,0.94,118,True
60,1800,6,repair_ring,555,0.27,0.39,0.196,0.94,118,True
61,1830,7,riverbend,507,0.405,0.276,0.132,0.94,120,True
61,1830,7,roofward,518,0.45,0.314,0.228,0.94,120,True
61,1830,7,archive,529,0.18,0.352,0.132,0.94,120,True
61,1830,7,signal,540,0.225,0.39,0.228,0.94,120,True
61,1830,7,orchard,551,0.27,0.428,0.132,0.94,120,True
61,1830,7,repair_ring,562,0.315,0.466,0.228,0.94,120,True
62,1860,7,riverbend,514,0.45,0.352,0.164,0.94,122,True
62,1860,7,roofward,525,0.18,0.39,0.26,0.94,122,True
62,1860,7,archive,536,0.225,0.428,0.164,0.94,122,True
62,1860,7,signal,547,0.27,0.466,0.26,0.94,122,True
62,1860,7,orchard,558,0.315,0.2,0.164,0.94,122,True
62,1860,7,repair_ring,569,0.36,0.238,0.26,0.94,122,True
63,1890,7,riverbend,521,0.18,0.428,0.196,0.94,124,True
63,1890,7,roofward,532,0.225,0.466,0.1,0.94,124,True
63,1890,7,archive,543,0.27,0.2,0.196,0.94,124,True
63,1890,7,signal,554,0.315,0.238,0.1,0.94,124,True
63,1890,7,orchard,565,0.36,0.276,0.196,0.94,124,True
63,1890,7,repair_ring,576,0.405,0.314,0.1,0.94,124,True
64,1920,7,riverbend,528,0.225,0.2,0.228,0.94,126,True
64,1920,7,roofward,539,0.27,0.238,0.132,0.94,126,True
64,1920,7,archive,550,0.315,0.276,0.228,0.94,126,True
64,1920,7,signal,561,0.36,0.314,0.132,0.94,126,True
64,1920,7,orchard,572,0.405,0.352,0.228,0.94,126,True
64,1920,7,repair_ring,583,0.45,0.39,0.132,0.94,126,True
65,1950,7,riverbend,535,0.27,0.276,0.26,0.94,128,True
65,1950,7,roofward,546,0.315,0.314,0.164,0.94,128,True
65,1950,7,archive,557,0.36,0.352,0.26,0.94,128,True
65,1950,7,signal,568,0.405,0.39,0.164,0.94,128,True
65,1950,7,orchard,579,0.45,0.428,0.26,0.94,128,True
65,1950,7,repair_ring,590,0.18,0.466,0.164,0.94,128,True
66,1980,7,riverbend,542,0.315,0.352,0.1,0.94,130,True
66,1980,7,roofward,553,0.36,0.39,0.196,0.94,130,True
66,1980,7,archive,564,0.405,0.428,0.1,0.94,130,True
66,1980,7,signal,575,0.45,0.466,0.196,0.94,130,True
66,1980,7,orchard,586,0.18,0.2,0.1,0.94,130,True
66,1980,7,repair_ring,597,0.225,0.238,0.196,0.94,130,True
67,2010,7,riverbend,549,0.36,0.428,0.132,0.94,132,True
67,2010,7,roofward,560,0.405,0.466,0.228,0.94,132,True
67,2010,7,archive,571,0.45,0.2,0.132,0.94,132,True
67,2010,7,signal,582,0.18,0.238,0.228,0.94,132,True
67,2010,7,orchard,593,0.225,0.276,0.132,0.94,132,True
67,2010,7,repair_ring,604,0.27,0.314,0.228,0.94,132,True
68,2040,7,riverbend,556,0.405,0.2,0.164,0.94,134,True
68,2040,7,roofward,567,0.45,0.238,0.26,0.94,134,True
68,2040,7,archive,578,0.18,0.276,0.164,0.94,134,True
68,2040,7,signal,589,0.225,0.314,0.26,0.94,134,True
68,2040,7,orchard,600,0.27,0.352,0.164,0.94,134,True
68,2040,7,repair_ring,611,0.315,0.39,0.26,0.94,134,True
69,2070,7,riverbend,563,0.45,0.276,0.196,0.94,136,True
69,2070,7,roofward,574,0.18,0.314,0.1,0.94,136,True
69,2070,7,archive,585,0.225,0.352,0.196,0.94,136,True
69,2070,7,signal,596,0.27,0.39,0.1,0.94,136,True
69,2070,7,orchard,607,0.315,0.428,0.196,0.94,136,True
69,2070,7,repair_ring,618,0.36,0.466,0.1,0.94,136,True
70,2100,7,riverbend,570,0.18,0.352,0.228,0.94,138,True
70,2100,7,roofward,581,0.225,0.39,0.132,0.94,138,True
70,2100,7,archive,592,0.27,0.428,0.228,0.94,138,True
