tick_id,day,session_id,settlement_id,resident_id,phrase,prior_memory,visible_consequence,trust_before,trust_after,proximity_before,proximity_after,consequence_saved,reply_bounded_to_phrasebook,no_autonomous_language_claim,no_llm_call
21,2,canvas-session-001,moss_ward,Fay,path dry,prior:path dry:canvas-session-001,shares safer route,0.589,0.592,0.444,0.448,True,True,True,True
22,2,canvas-session-001,glass_harbor,Puck,net keeper,prior:net keeper:canvas-session-001,faces avatar longer,0.589,0.594,0.444,0.448,True,True,True,True
23,2,canvas-session-001,cinder_garden,Wren,cool hand,prior:cool hand:canvas-session-001,accepts slow handoff,0.587,0.592,0.444,0.448,True,True,True,True
24,2,canvas-session-001,lichen_bridge,Kio,rope safe,prior:rope safe:canvas-session-001,shares a bowl marker,0.587,0.592,0.444,0.448,True,True,True,True
25,2,canvas-session-001,orchid_engine,Cai,gear lane,prior:gear lane:canvas-session-001,waits without flinch,0.589,0.594,0.444,0.448,True,True,True,True
26,2,canvas-session-001,moss_ward,Milo,ledger no touch,prior:ledger no touch:canvas-session-001,keeps respectful distance,0.589,0.594,0.446,0.45,True,True,True,True
27,2,canvas-session-001,glass_harbor,Sera,lamp bright,prior:lamp bright:canvas-session-001,warns before fog,0.58,0.585,0.44,0.444,True,True,True,True
28,2,canvas-session-001,cinder_garden,Juno,shade first,prior:shade first:canvas-session-001,moves closer to shade,0.58,0.583,0.44,0.444,True,True,True,True
29,2,canvas-session-001,lichen_bridge,Luma,bowl shared,prior:bowl shared:canvas-session-001,offers spare knot,0.585,0.59,0.444,0.448,True,True,True,True
30,2,canvas-session-001,orchid_engine,Dax,valve wait,prior:valve wait:canvas-session-001,keeps valve boundary,0.589,0.594,0.444,0.448,True,True,True,True
31,2,canvas-session-001,moss_ward,Tala,loom wait,prior:loom wait:canvas-session-001,approaches after help,0.589,0.594,0.446,0.452,True,True,True,True
32,2,canvas-session-001,glass_harbor,Nia,tea first,prior:tea first:canvas-session-001,lets avatar carry small part,0.589,0.594,0.444,0.448,True,True,True,True
33,2,canvas-session-001,cinder_garden,Pax,seed sleep,prior:seed sleep:canvas-session-001,remembers cooled path,0.591,0.596,0.444,0.448,True,True,True,True
34,2,canvas-session-001,lichen_bridge,Rin,signal hush,prior:signal hush:canvas-session-001,signals from a distance,0.591,0.596,0.444,0.448,True,True,True,True
35,2,canvas-session-001,orchid_engine,Eli,orchid rest,prior:orchid rest:canvas-session-001,trusts slow repair,0.593,0.596,0.444,0.448,True,True,True,True
36,3,canvas-session-001,glass_harbor,Sera,net keeper,prior:net keeper:canvas-session-001,faces avatar longer,0.589,0.594,0.444,0.448,True,True,True,True
37,3,canvas-session-001,cinder_garden,Juno,cool hand,prior:cool hand:canvas-session-001,accepts slow handoff,0.585,0.59,0.444,0.448,True,True,True,True
38,3,canvas-session-001,lichen_bridge,Luma,rope safe,prior:rope safe:canvas-session-001,shares a bowl marker,0.594,0.599,0.448,0.452,True,True,True,True
39,3,canvas-session-001,orchid_engine,Dax,gear lane,prior:gear lane:canvas-session-001,waits without flinch,0.598,0.603,0.448,0.452,True,True,True,True
40,3,canvas-session-001,moss_ward,Tala,ledger no touch,prior:ledger no touch:canvas-session-001,keeps respectful distance,0.594,0.599,0.452,0.456,True,True,True,True
41,3,canvas-session-001,glass_harbor,Nia,lamp bright,prior:lamp bright:canvas-session-001,warns before fog,0.594,0.599,0.448,0.452,True,True,True,True
42,3,canvas-session-001,cinder_garden,Pax,shade first,prior:shade first:canvas-session-001,moves closer to shade,0.596,0.599,0.448,0.452,True,True,True,True
43,3,canvas-session-001,lichen_bridge,Rin,bowl shared,prior:bowl shared:canvas-session-001,offers spare knot,0.596,0.601,0.448,0.452,True,True,True,True
44,3,canvas-session-001,orchid_engine,Eli,valve wait,prior:valve wait:canvas-session-001,keeps valve boundary,0.596,0.601,0.448,0.452,True,True,True,True
45,3,canvas-session-001,moss_ward,Ari,loom wait,prior:loom wait:canvas-session-001,approaches after help,0.593,0.598,0.444,0.45,True,True,True,True
46,3,canvas-session-001,glass_harbor,Oren,tea first,prior:tea first:canvas-session-001,lets avatar carry small part,0.595,0.6,0.444,0.448,True,True,True,True
47,3,canvas-session-001,cinder_garden,Vale,seed sleep,prior:seed sleep:canvas-session-001,remembers cooled path,0.6,0.605,0.448,0.452,True,True,True,True
48,3,canvas-session-001,lichen_bridge,Sol,signal hush,prior:signal hush:canvas-session-001,signals from a distance,0.6,0.605,0.448,0.452,True,True,True,True
49,3,canvas-session-001,orchid_engine,Bea,orchid rest,prior:orchid rest:canvas-session-001,trusts slow repair,0.602,0.605,0.448,0.452,True,True,True,True
50,3,canvas-session-001,moss_ward,Fay,path dry,prior:path dry:canvas-session-001,shares safer route,0.6,0.605,0.448,0.452,True,True,True,True
51,3,canvas-session-001,glass_harbor,Puck,net keeper,prior:net keeper:canvas-session-001,faces avatar longer,0.6,0.605,0.448,0.452,True,True,True,True
52,3,canvas-session-001,cinder_garden,Wren,cool hand,prior:cool hand:canvas-session-001,accepts slow handoff,0.598,0.603,0.448,0.452,True,True,True,True
53,3,canvas-session-001,lichen_bridge,Kio,rope safe,prior:rope safe:canvas-session-001,shares a bowl marker,0.6,0.605,0.448,0.452,True,True,True,True
54,4,canvas-session-001,moss_ward,Ari,ledger no touch,prior:ledger no touch:canvas-session-001,keeps respectful distance,0.598,0.603,0.45,0.454,True,True,True,True
55,4,canvas-session-001,glass_harbor,Oren,lamp bright,prior:lamp bright:canvas-session-001,warns before fog,0.6,0.605,0.448,0.452,True,True,True,True
56,4,canvas-session-001,cinder_garden,Vale,shade first,prior:shade first:canvas-session-001,moves closer to shade,0.605,0.608,0.452,0.456,True,True,True,True
57,4,canvas-session-001,lichen_bridge,Sol,bowl shared,prior:bowl shared:canvas-session-001,offers spare knot,0.605,0.61,0.452,0.456,True,True,True,True
58,4,canvas-session-001,orchid_engine,Bea,valve wait,prior:valve wait:canvas-session-001,keeps valve boundary,0.605,0.61,0.452,0.456,True,True,True,True
59,4,canvas-session-001,moss_ward,Fay,loom wait,prior:loom wait:canvas-session-001,approaches after help,0.607,0.612,0.452,0.458,True,True,True,True
60,4,canvas-session-001,glass_harbor,Puck,tea first,prior:tea first:canvas-session-001,lets avatar carry small part,0.609,0.614,0.452,0.456,True,True,True,True
61,4,canvas-session-001,cinder_garden,Wren,seed sleep,prior:seed sleep:canvas-session-001,remembers cooled path,0.607,0.612,0.452,0.456,True,True,True,True
62,4,canvas-session-001,lichen_bridge,Kio,signal hush,prior:signal hush:canvas-session-001,signals from a distance,0.609,0.614,0.452,0.456,True,True,True,True
63,4,canvas-session-001,orchid_engine,Cai,orchid rest,prior:orchid rest:canvas-session-001,trusts slow repair,0.606,0.609,0.448,0.452,True,True,True,True
64,4,canvas-session-001,moss_ward,Milo,path dry,prior:path dry:canvas-session-001,shares safer route,0.604,0.609,0.45,0.454,True,True,True,True
65,4,canvas-session-001,glass_harbor,Sera,net keeper,prior:net keeper:canvas-session-001,faces avatar longer,0.6,0.605,0.448,0.452,True,True,True,True
66,4,canvas-session-001,cinder_garden,Juno,cool hand,prior:cool hand:canvas-session-001,accepts slow handoff,0.598,0.603,0.448,0.452,True,True,True,True
67,4,canvas-session-001,lichen_bridge,Luma,rope safe,prior:rope safe:canvas-session-001,shares a bowl marker,0.607,0.612,0.452,0.456,True,True,True,True
68,4,canvas-session-001,orchid_engine,Dax,gear lane,prior:gear lane:canvas-session-001,waits without flinch,0.611,0.616,0.452,0.456,True,True,True,True
69,4,canvas-session-001,moss_ward,Tala,ledger no touch,prior:ledger no touch:canvas-session-001,keeps respectful distance,0.605,0.61,0.456,0.46,True,True,True,True
70,4,canvas-session-001,glass_harbor,Nia,lamp bright,prior:lamp bright:canvas-session-001,warns before fog,0.605,0.608,0.452,0.456,True,True,True,True
71,4,canvas-session-001,cinder_garden,Pax,shade first,prior:shade first:canvas-session-001,moves closer to shade,0.607,0.612,0.452,0.456,True,True,True,True
72,5,canvas-session-001,orchid_engine,Cai,valve wait,prior:valve wait:canvas-session-001,keeps valve boundary,0.611,0.616,0.452,0.456,True,True,True,True
73,5,canvas-session-001,moss_ward,Milo,loom wait,prior:loom wait:canvas-session-001,approaches after help,0.613,0.618,0.454,0.46,True,True,True,True
74,5,canvas-session-001,glass_harbor,Sera,tea first,prior:tea first:canvas-session-001,lets avatar carry small part,0.609,0.614,0.452,0.456,True,True,True,True
75,5,canvas-session-001,cinder_garden,Juno,seed sleep,prior:seed sleep:canvas-session-001,remembers cooled path,0.607,0.612,0.452,0.456,True,True,True,True
76,5,canvas-session-001,lichen_bridge,Luma,signal hush,prior:signal hush:canvas-session-001,signals from a distance,0.616,0.621,0.456,0.46,True,True,True,True
77,5,canvas-session-001,orchid_engine,Dax,orchid rest,prior:orchid rest:canvas-session-001,trusts slow repair,0.618,0.621,0.456,0.46,True,True,True,True
78,5,canvas-session-001,moss_ward,Tala,path dry,prior:path dry:canvas-session-001,shares safer route,0.614,0.619,0.46,0.464,True,True,True,True
79,5,canvas-session-001,glass_harbor,Nia,net keeper,prior:net keeper:canvas-session-001,faces avatar longer,0.612,0.617,0.456,0.46,True,True,True,True
80,5,canvas-session-001,cinder_garden,Pax,cool hand,prior:cool hand:canvas-session-001,accepts slow handoff,0.616,0.621,0.456,0.46,True,True,True,True
81,5,canvas-session-001,lichen_bridge,Rin,rope safe,prior:rope safe:canvas-session-001,shares a bowl marker,0.613,0.618,0.452,0.456,True,True,True,True
82,5,canvas-session-001,orchid_engine,Eli,gear lane,prior:gear lane:canvas-session-001,waits without flinch,0.607,0.612,0.452,0.456,True,True,True,True
83,5,canvas-session-001,moss_ward,Ari,ledger no touch,prior:ledger no touch:canvas-session-001,keeps respectful distance,0.609,0.614,0.454,0.458,True,True,True,True
84,5,canvas-session-001,glass_harbor,Oren,lamp bright,prior:lamp bright:canvas-session-001,warns before fog,0.613,0.616,0.452,0.456,True,True,True,True
85,5,canvas-session-001,cinder_garden,Vale,shade first,prior:shade first:canvas-session-001,moves closer to shade,0.616,0.621,0.456,0.46,True,True,True,True
86,5,canvas-session-001,lichen_bridge,Sol,bowl shared,prior:bowl shared:canvas-session-001,offers spare knot,0.614,0.619,0.456,0.46,True,True,True,True
87,5,canvas-session-001,orchid_engine,Bea,valve wait,prior:valve wait:canvas-session-001,keeps valve boundary,0.612,0.617,0.456,0.46,True,True,True,True
88,5,canvas-session-001,moss_ward,Fay,loom wait,prior:loom wait:canvas-session-001,approaches after help,0.616,0.621,0.458,0.464,True,True,True,True
89,5,canvas-session-001,glass_harbor,Puck,tea first,prior:tea first:canvas-session-001,lets avatar carry small part,0.618,0.623,0.456,0.46,True,True,True,True
90,6,canvas-session-001,lichen_bridge,Rin,signal hush,prior:signal hush:canvas-session-001,signals from a distance,0.618,0.623,0.456,0.46,True,True,True,True
91,6,canvas-session-001,orchid_engine,Eli,orchid rest,prior:orchid rest:canvas-session-001,trusts slow repair,0.612,0.615,0.456,0.46,True,True,True,True
92,6,canvas-session-001,moss_ward,Ari,path dry,prior:path dry:canvas-session-001,shares safer route,0.614,0.619,0.458,0.462,True,True,True,True
93,6,canvas-session-001,glass_harbor,Oren,net keeper,prior:net keeper:canvas-session-001,faces avatar longer,0.616,0.621,0.456,0.46,True,True,True,True
94,6,canvas-session-001,cinder_garden,Vale,cool hand,prior:cool hand:canvas-session-001,accepts slow handoff,0.621,0.626,0.46,0.464,True,True,True,True
95,6,canvas-session-001,lichen_bridge,Sol,rope safe,prior:rope safe:canvas-session-001,shares a bowl marker,0.619,0.624,0.46,0.464,True,True,True,True
96,6,canvas-session-001,orchid_engine,Bea,gear lane,prior:gear lane:canvas-session-001,waits without flinch,0.617,0.622,0.46,0.464,True,True,True,True
97,6,canvas-session-001,moss_ward,Fay,ledger no touch,prior:ledger no touch:canvas-session-001,keeps respectful distance,0.621,0.626,0.464,0.468,True,True,True,True
98,6,canvas-session-001,glass_harbor,Puck,lamp bright,prior:lamp bright:canvas-session-001,warns before fog,0.623,0.626,0.46,0.464,True,True,True,True
99,6,canvas-session-001,cinder_garden,Wren,shade first,prior:shade first:canvas-session-001,moves closer to shade,0.612,0.617,0.456,0.46,True,True,True,True
100,6,canvas-session-001,lichen_bridge,Kio,bowl shared,prior:bowl shared:canvas-session-001,offers spare knot,0.614,0.619,0.456,0.46,True,True,True,True
101,6,canvas-session-001,orchid_engine,Cai,valve wait,prior:valve wait:canvas-session-001,keeps valve boundary,0.616,0.621,0.456,0.46,True,True,True,True
102,6,canvas-session-001,moss_ward,Milo,loom wait,prior:loom wait:canvas-session-001,approaches after help,0.618,0.623,0.46,0.466,True,True,True,True
103,6,canvas-session-001,glass_harbor,Sera,tea first,prior:tea first:canvas-session-001,lets avatar carry small part,0.614,0.619,0.456,0.46,True,True,True,True
104,6,canvas-session-001,cinder_garden,Juno,seed sleep,prior:seed sleep:canvas-session-001,remembers cooled path,0.612,0.617,0.456,0.46,True,True,True,True
105,6,canvas-session-001,lichen_bridge,Luma,signal hush,prior:signal hush:canvas-session-001,signals from a distance,0.623,0.626,0.46,0.464,True,True,True,True
106,6,canvas-session-001,orchid_engine,Dax,orchid rest,prior:orchid rest:canvas-session-001,trusts slow repair,0.625,0.63,0.46,0.464,True,True,True,True
107,6,canvas-session-001,moss_ward,Tala,path dry,prior:path dry:canvas-session-001,shares safer route,0.623,0.628,0.464,0.468,True,True,True,True
108,7,canvas-session-002,cinder_garden,Wren,cool hand,prior:cool hand:canvas-session-002,accepts slow handoff,0.621,0.626,0.46,0.464,True,True,True,True
109,7,canvas-session-002,lichen_bridge,Kio,rope safe,prior:rope safe:canvas-session-002,shares a bowl marker,0.621,0.626,0.46,0.464,True,True,True,True
110,7,canvas-session-002,orchid_engine,Cai,gear lane,prior:gear lane:canvas-session-002,waits without flinch,0.625,0.63,0.46,0.464,True,True,True,True
111,7,canvas-session-002,moss_ward,Milo,ledger no touch,prior:ledger no touch:canvas-session-002,keeps respectful distance,0.627,0.632,0.466,0.47,True,True,True,True
112,7,canvas-session-002,glass_harbor,Sera,lamp bright,prior:lamp bright:canvas-session-002,warns before fog,0.619,0.622,0.46,0.464,True,True,True,True
113,7,canvas-session-002,cinder_garden,Juno,shade first,prior:shade first:canvas-session-002,moves closer to shade,0.617,0.622,0.46,0.464,True,True,True,True
114,7,canvas-session-002,lichen_bridge,Luma,bowl shared,prior:bowl shared:canvas-session-002,offers spare knot,0.626,0.631,0.464,0.468,True,True,True,True
115,7,canvas-session-002,orchid_engine,Dax,valve wait,prior:valve wait:canvas-session-002,keeps valve boundary,0.63,0.635,0.464,0.468,True,True,True,True
116,7,canvas-session-002,moss_ward,Tala,loom wait,prior:loom wait:canvas-session-002,approaches after help,0.628,0.633,0.468,0.474,True,True,True,True
117,7,canvas-session-002,glass_harbor,Nia,tea first,prior:tea first:canvas-session-002,lets avatar carry small part,0.621,0.626,0.46,0.464,True,True,True,True
118,7,canvas-session-002,cinder_garden,Pax,seed sleep,prior:seed sleep:canvas-session-002,remembers cooled path,0.627,0.632,0.46,0.464,True,True,True,True
119,7,canvas-session-002,lichen_bridge,Rin,signal hush,prior:signal hush:canvas-session-002,signals from a distance,0.629,0.632,0.46,0.464,True,True,True,True
120,7,canvas-session-002,orchid_engine,Eli,orchid rest,prior:orchid rest:canvas-session-002,trusts slow repair,0.623,0.628,0.46,0.464,True,True,True,True
121,7,canvas-session-002,moss_ward,Ari,path dry,prior:path dry:canvas-session-002,shares safer route,0.627,0.632,0.462,0.466,True,True,True,True
122,7,canvas-session-002,glass_harbor,Oren,net keeper,prior:net keeper:canvas-session-002,faces avatar longer,0.629,0.634,0.46,0.464,True,True,True,True
123,7,canvas-session-002,cinder_garden,Vale,cool hand,prior:cool hand:canvas-session-002,accepts slow handoff,0.632,0.637,0.464,0.468,True,True,True,True
124,7,canvas-session-002,lichen_bridge,Sol,rope safe,prior:rope safe:canvas-session-002,shares a bowl marker,0.63,0.635,0.464,0.468,True,True,True,True
125,7,canvas-session-002,orchid_engine,Bea,gear lane,prior:gear lane:canvas-session-002,waits without flinch,0.63,0.635,0.464,0.468,True,True,True,True
126,8,canvas-session-002,glass_harbor,Nia,lamp bright,prior:lamp bright:canvas-session-002,warns before fog,0.626,0.629,0.464,0.468,True,True,True,True
127,8,canvas-session-002,cinder_garden,Pax,shade first,prior:shade first:canvas-session-002,moves closer to shade,0.632,0.637,0.464,0.468,True,True,True,True
128,8,canvas-session-002,lichen_bridge,Rin,bowl shared,prior:bowl shared:canvas-session-002,offers spare knot,0.632,0.637,0.464,0.468,True,True,True,True
129,8,canvas-session-002,orchid_engine,Eli,valve wait,prior:valve wait:canvas-session-002,keeps valve boundary,0.628,0.633,0.464,0.468,True,True,True,True
130,8,canvas-session-002,moss_ward,Ari,loom wait,prior:loom wait:canvas-session-002,approaches after help,0.632,0.637,0.466,0.472,True,True,True,True
131,8,canvas-session-002,glass_harbor,Oren,tea first,prior:tea first:canvas-session-002,lets avatar carry small part,0.636,0.641,0.464,0.468,True,True,True,True
132,8,canvas-session-002,cinder_garden,Vale,seed sleep,prior:seed sleep:canvas-session-002,remembers cooled path,0.641,0.646,0.468,0.472,True,True,True,True
133,8,canvas-session-002,lichen_bridge,Sol,signal hush,prior:signal hush:canvas-session-002,signals from a distance,0.639,0.642,0.468,0.472,True,True,True,True
134,8,canvas-session-002,orchid_engine,Bea,orchid rest,prior:orchid rest:canvas-session-002,trusts slow repair,0.639,0.644,0.468,0.472,True,True,True,True
135,8,canvas-session-002,moss_ward,Fay,path dry,prior:path dry:canvas-session-002,shares safer route,0.638,0.643,0.468,0.472,True,True,True,True
136,8,canvas-session-002,glass_harbor,Puck,net keeper,prior:net keeper:canvas-session-002,faces avatar longer,0.636,0.641,0.464,0.468,True,True,True,True
137,8,canvas-session-002,cinder_garden,Wren,cool hand,prior:cool hand:canvas-session-002,accepts slow handoff,0.632,0.637,0.464,0.468,True,True,True,True
138,8,canvas-session-002,lichen_bridge,Kio,rope safe,prior:rope safe:canvas-session-002,shares a bowl marker,0.634,0.639,0.464,0.468,True,True,True,True
139,8,canvas-session-002,orchid_engine,Cai,gear lane,prior:gear lane:canvas-session-002,waits without flinch,0.638,0.643,0.464,0.468,True,True,True,True
140,8,canvas-session-002,moss_ward,Milo,ledger no touch,prior:ledger no touch:canvas-session-002,keeps respectful distance,0.64,0.643,0.47,0.474,True,True,True,True
141,8,canvas-session-002,glass_harbor,Sera,lamp bright,prior:lamp bright:canvas-session-002,warns before fog,0.628,0.633,0.464,0.468,True,True,True,True
142,8,canvas-session-002,cinder_garden,Juno,shade first,prior:shade first:canvas-session-002,moves closer to shade,0.628,0.633,0.464,0.468,True,True,True,True
143,8,canvas-session-002,lichen_bridge,Luma,bowl shared,prior:bowl shared:canvas-session-002,offers spare knot,0.639,0.644,0.468,0.472,True,True,True,True
144,9,canvas-session-002,moss_ward,Fay,loom wait,prior:loom wait:canvas-session-002,approaches after help,0.645,0.65,0.472,0.478,True,True,True,True
145,9,canvas-session-002,glass_harbor,Puck,tea first,prior:tea first:canvas-session-002,lets avatar carry small part,0.645,0.65,0.468,0.472,True,True,True,True
146,9,canvas-session-002,cinder_garden,Wren,seed sleep,prior:seed sleep:canvas-session-002,remembers cooled path,0.641,0.646,0.468,0.472,True,True,True,True
147,9,canvas-session-002,lichen_bridge,Kio,signal hush,prior:signal hush:canvas-session-002,signals from a distance,0.643,0.646,0.468,0.472,True,True,True,True
148,9,canvas-session-002,orchid_engine,Cai,orchid rest,prior:orchid rest:canvas-session-002,trusts slow repair,0.647,0.652,0.468,0.472,True,True,True,True
149,9,canvas-session-002,moss_ward,Milo,path dry,prior:path dry:canvas-session-002,shares safer route,0.645,0.65,0.474,0.478,True,True,True,True
150,9,canvas-session-002,glass_harbor,Sera,net keeper,prior:net keeper:canvas-session-002,faces avatar longer,0.637,0.642,0.468,0.472,True,True,True,True
151,9,canvas-session-002,cinder_garden,Juno,cool hand,prior:cool hand:canvas-session-002,accepts slow handoff,0.637,0.642,0.468,0.472,True,True,True,True
152,9,canvas-session-002,lichen_bridge,Luma,rope safe,prior:rope safe:canvas-session-002,shares a bowl marker,0.648,0.653,0.472,0.476,True,True,True,True
153,9,canvas-session-002,orchid_engine,Dax,gear lane,prior:gear lane:canvas-session-002,waits without flinch,0.647,0.652,0.468,0.472,True,True,True,True
154,9,canvas-session-002,moss_ward,Tala,ledger no touch,prior:ledger no touch:canvas-session-002,keeps respectful distance,0.639,0.644,0.474,0.478,True,True,True,True
155,9,canvas-session-002,glass_harbor,Nia,lamp bright,prior:lamp bright:canvas-session-002,warns before fog,0.635,0.64,0.468,0.472,True,True,True,True
156,9,canvas-session-002,cinder_garden,Pax,shade first,prior:shade first:canvas-session-002,moves closer to shade,0.645,0.65,0.468,0.472,True,True,True,True
157,9,canvas-session-002,lichen_bridge,Rin,bowl shared,prior:bowl shared:canvas-session-002,offers spare knot,0.645,0.65,0.468,0.472,True,True,True,True
158,9,canvas-session-002,orchid_engine,Eli,valve wait,prior:valve wait:canvas-session-002,keeps valve boundary,0.637,0.642,0.468,0.472,True,True,True,True
159,9,canvas-session-002,moss_ward,Ari,loom wait,prior:loom wait:canvas-session-002,approaches after help,0.639,0.644,0.472,0.478,True,True,True,True
160,9,canvas-session-002,glass_harbor,Oren,tea first,prior:tea first:canvas-session-002,lets avatar carry small part,0.645,0.65,0.468,0.472,True,True,True,True
161,9,canvas-session-002,cinder_garden,Vale,seed sleep,prior:seed sleep:canvas-session-002,remembers cooled path,0.65,0.653,0.472,0.476,True,True,True,True
162,10,canvas-session-002,orchid_engine,Dax,orchid rest,prior:orchid rest:canvas-session-002,trusts slow repair,0.652,0.657,0.472,0.476,True,True,True,True
163,10,canvas-session-002,moss_ward,Tala,path dry,prior:path dry:canvas-session-002,shares safer route,0.644,0.649,0.478,0.482,True,True,True,True
164,10,canvas-session-002,glass_harbor,Nia,net keeper,prior:net keeper:canvas-session-002,faces avatar longer,0.64,0.645,0.472,0.476,True,True,True,True
165,10,canvas-session-002,cinder_garden,Pax,cool hand,prior:cool hand:canvas-session-002,accepts slow handoff,0.65,0.655,0.472,0.476,True,True,True,True
166,10,canvas-session-002,lichen_bridge,Rin,rope safe,prior:rope safe:canvas-session-002,shares a bowl marker,0.65,0.655,0.472,0.476,True,True,True,True
167,10,canvas-session-002,orchid_engine,Eli,gear lane,prior:gear lane:canvas-session-002,waits without flinch,0.642,0.647,0.472,0.476,True,True,True,True
168,10,canvas-session-002,moss_ward,Ari,ledger no touch,prior:ledger no touch:canvas-session-002,keeps respectful distance,0.644,0.647,0.478,0.482,True,True,True,True
169,10,canvas-session-002,glass_harbor,Oren,lamp bright,prior:lamp bright:canvas-session-002,warns before fog,0.65,0.655,0.472,0.476,True,True,True,True
170,10,canvas-session-002,cinder_garden,Vale,shade first,prior:shade first:canvas-session-002,moves closer to shade,0.653,0.658,0.476,0.48,True,True,True,True
171,10,canvas-session-002,lichen_bridge,Sol,bowl shared,prior:bowl shared:canvas-session-002,offers spare knot,0.642,0.647,0.472,0.476,True,True,True,True
172,10,canvas-session-002,orchid_engine,Bea,valve wait,prior:valve wait:canvas-session-002,keeps valve boundary,0.644,0.649,0.472,0.476,True,True,True,True
173,10,canvas-session-002,moss_ward,Fay,loom wait,prior:loom wait:canvas-session-002,approaches after help,0.65,0.655,0.478,0.484,True,True,True,True
174,10,canvas-session-002,glass_harbor,Puck,tea first,prior:tea first:canvas-session-002,lets avatar carry small part,0.65,0.655,0.472,0.476,True,True,True,True
175,10,canvas-session-002,cinder_garden,Wren,seed sleep,prior:seed sleep:canvas-session-002,remembers cooled path,0.646,0.649,0.472,0.476,True,True,True,True
176,10,canvas-session-002,lichen_bridge,Kio,signal hush,prior:signal hush:canvas-session-002,signals from a distance,0.646,0.651,0.472,0.476,True,True,True,True
177,10,canvas-session-002,orchid_engine,Cai,orchid rest,prior:orchid rest:canvas-session-002,trusts slow repair,0.654,0.659,0.472,0.476,True,True,True,True
178,10,canvas-session-002,moss_ward,Milo,path dry,prior:path dry:canvas-session-002,shares safer route,0.654,0.659,0.478,0.482,True,True,True,True
179,10,canvas-session-002,glass_harbor,Sera,net keeper,prior:net keeper:canvas-session-002,faces avatar longer,0.646,0.651,0.472,0.476,True,True,True,True
180,11,canvas-session-002,lichen_bridge,Sol,rope safe,prior:rope safe:canvas-session-002,shares a bowl marker,0.651,0.656,0.476,0.48,True,True,True,True
