tick_id,day,settlement_id,scheduler_slice,wall_clock_ms,heartbeat_hz,flower_phase,active_resident_count,due_task_count,queue_latency_ms,scheduler_drift_ms,realtime_coherent,visible_scheduler_panel
54,4,riverbend,day:4:slice:06,13500,7.89,0.375,2,2,139,10,True,True
55,4,roofward,day:4:slice:07,13750,8.28,0.458868,2,3,69,-6,True,True
56,4,archive,day:4:slice:08,14000,6.4,0.542735,2,1,67,1,True,True
57,4,signal,day:4:slice:09,14250,9.13,0.626603,2,2,101,8,True,True
58,4,orchard,day:4:slice:10,14500,5.7,0.71047,2,3,114,-8,True,True
59,4,repair_ring,day:4:slice:11,14750,10.06,0.794338,2,1,106,-1,True,True
60,4,riverbend,day:4:slice:12,15000,7.87,0.416667,2,2,63,6,True,True
61,4,roofward,day:4:slice:13,15250,8.26,0.500534,2,3,88,-10,True,True
62,4,archive,day:4:slice:14,15500,6.46,0.584402,2,1,80,-3,True,True
63,4,signal,day:4:slice:15,15750,9.19,0.668269,2,2,96,4,True,True
64,5,orchard,day:5:slice:00,16000,5.68,0.752137,2,1,131,-11,False,True
65,5,repair_ring,day:5:slice:01,16250,10.04,0.836004,2,2,123,-4,True,True
66,5,riverbend,day:5:slice:02,16500,7.85,0.458333,2,3,62,3,True,True
67,5,roofward,day:5:slice:03,16750,8.24,0.542201,2,1,96,10,True,True
68,5,archive,day:5:slice:04,17000,6.44,0.626068,2,2,97,-6,True,True
69,5,signal,day:5:slice:05,17250,9.17,0.709936,2,3,95,1,True,True
70,5,orchard,day:5:slice:06,17500,5.74,0.793803,2,1,129,8,True,True
71,5,repair_ring,day:5:slice:07,17750,10.1,0.877671,2,2,71,-8,True,True
72,5,riverbend,day:5:slice:08,18000,7.83,0.5,2,3,63,-1,True,True
73,5,roofward,day:5:slice:09,18250,8.22,0.583868,2,1,91,6,True,True
74,5,archive,day:5:slice:10,18500,6.42,0.667735,2,2,116,-10,True,True
75,5,signal,day:5:slice:11,18750,9.15,0.751603,2,3,108,-3,True,True
76,5,orchard,day:5:slice:12,19000,5.72,0.83547,2,1,124,4,True,True
77,5,repair_ring,day:5:slice:13,19250,10.08,0.919338,2,2,87,11,False,True
78,5,riverbend,day:5:slice:14,19500,7.89,0.541667,2,3,82,-5,True,True
79,5,roofward,day:5:slice:15,19750,8.28,0.625534,2,1,86,2,True,True
80,6,archive,day:6:slice:00,20000,6.4,0.709402,2,3,124,10,True,True
81,6,signal,day:6:slice:01,20250,9.13,0.793269,2,1,125,-6,True,True
82,6,orchard,day:6:slice:02,20500,5.7,0.877137,2,2,52,1,True,True
83,6,repair_ring,day:6:slice:03,20750,10.06,0.961004,2,3,86,8,True,True
84,6,riverbend,day:6:slice:04,21000,7.87,0.583333,2,1,99,-8,True,True
85,6,roofward,day:6:slice:05,21250,8.26,0.667201,2,2,91,-1,True,True
86,6,archive,day:6:slice:06,21500,6.46,0.751068,2,3,119,6,True,True
87,6,signal,day:6:slice:07,21750,9.19,0.834936,2,1,73,-10,True,True
88,6,orchard,day:6:slice:08,22000,5.68,0.918803,2,2,65,-3,True,True
89,6,repair_ring,day:6:slice:09,22250,10.04,0.002671,2,3,81,4,True,True
90,6,riverbend,day:6:slice:10,22500,7.85,0.625,2,1,115,11,False,True
91,6,roofward,day:6:slice:11,22750,8.24,0.708868,2,2,110,-5,True,True
92,6,archive,day:6:slice:12,23000,6.44,0.792735,2,3,114,2,True,True
93,6,signal,day:6:slice:13,23250,9.17,0.876603,2,1,77,9,True,True
94,6,orchard,day:6:slice:14,23500,5.74,0.96047,2,2,84,-7,True,True
95,6,repair_ring,day:6:slice:15,23750,10.1,0.044338,2,3,76,0,True,True
96,7,riverbend,day:7:slice:00,24000,7.83,0.666667,2,2,114,8,True,True
97,7,roofward,day:7:slice:01,24250,8.22,0.750534,2,3,127,-8,True,True
98,7,archive,day:7:slice:02,24500,6.42,0.834402,2,1,48,-1,True,True
99,7,signal,day:7:slice:03,24750,9.15,0.918269,2,2,76,6,True,True
100,7,orchard,day:7:slice:04,25000,5.72,0.002137,2,3,101,-10,True,True
101,7,repair_ring,day:7:slice:05,25250,10.08,0.086004,2,1,93,-3,True,True
102,7,riverbend,day:7:slice:06,25500,7.89,0.708333,2,2,109,4,True,True
103,7,roofward,day:7:slice:07,25750,8.28,0.792201,2,3,143,11,False,True
104,7,archive,day:7:slice:08,26000,6.4,0.876068,2,1,67,-5,True,True
105,7,signal,day:7:slice:09,26250,9.13,0.959936,2,2,71,2,True,True
106,7,orchard,day:7:slice:10,26500,5.7,0.043803,2,3,105,9,True,True
107,7,repair_ring,day:7:slice:11,26750,10.06,0.127671,2,1,112,-7,True,True
108,7,riverbend,day:7:slice:12,27000,7.87,0.75,2,2,104,0,True,True
109,7,roofward,day:7:slice:13,27250,8.26,0.833868,2,3,67,7,True,True
110,7,archive,day:7:slice:14,27500,6.46,0.917735,2,1,86,-9,True,True
111,7,signal,day:7:slice:15,27750,9.19,0.001603,2,2,78,-2,True,True
112,8,orchard,day:8:slice:00,28000,5.68,0.08547,2,1,104,6,True,True
113,8,repair_ring,day:8:slice:01,28250,10.04,0.169338,2,2,129,-10,True,True
114,8,riverbend,day:8:slice:02,28500,7.85,0.791667,2,3,121,-3,True,True
115,8,roofward,day:8:slice:03,28750,8.24,0.875534,2,1,66,4,True,True
116,8,archive,day:8:slice:04,29000,6.44,0.959402,2,2,100,11,False,True
117,8,signal,day:8:slice:05,29250,9.17,0.043269,2,3,95,-5,True,True
118,8,orchard,day:8:slice:06,29500,5.74,0.127137,2,1,99,2,True,True
119,8,repair_ring,day:8:slice:07,29750,10.1,0.211004,2,2,133,9,True,True
120,8,riverbend,day:8:slice:08,30000,7.83,0.833333,2,3,69,-7,True,True
121,8,roofward,day:8:slice:09,30250,8.22,0.917201,2,1,61,0,True,True
122,8,archive,day:8:slice:10,30500,6.42,0.001068,2,2,95,7,True,True
123,8,signal,day:8:slice:11,30750,9.15,0.084936,2,3,114,-9,True,True
124,8,orchard,day:8:slice:12,31000,5.72,0.168803,2,1,106,-2,True,True
125,8,repair_ring,day:8:slice:13,31250,10.08,0.252671,2,2,57,5,True,True
126,8,riverbend,day:8:slice:14,31500,7.89,0.875,2,3,88,-11,False,True
127,8,roofward,day:8:slice:15,31750,8.28,0.958868,2,1,80,-4,True,True
128,9,archive,day:9:slice:00,32000,6.4,0.042735,2,3,94,4,True,True
129,9,signal,day:9:slice:01,32250,9.13,0.126603,2,1,128,11,False,True
130,9,orchard,day:9:slice:02,32500,5.7,0.21047,2,2,123,-5,True,True
131,9,repair_ring,day:9:slice:03,32750,10.06,0.294338,2,3,56,2,True,True
132,9,riverbend,day:9:slice:04,33000,7.87,0.916667,2,1,90,9,True,True
133,9,roofward,day:9:slice:05,33250,8.26,0.000534,2,2,97,-7,True,True
134,9,archive,day:9:slice:06,33500,6.46,0.084402,2,3,89,0,True,True
135,9,signal,day:9:slice:07,33750,9.19,0.168269,2,1,123,7,True,True
136,9,orchard,day:9:slice:08,34000,5.68,0.252137,2,2,71,-9,True,True
137,9,repair_ring,day:9:slice:09,34250,10.04,0.336004,2,3,63,-2,True,True
138,9,riverbend,day:9:slice:10,34500,7.85,0.958333,2,1,85,5,True,True
139,9,roofward,day:9:slice:11,34750,8.24,0.042201,2,2,116,-11,False,True
140,9,archive,day:9:slice:12,35000,6.44,0.126068,2,3,108,-4,True,True
141,9,signal,day:9:slice:13,35250,9.17,0.209936,2,1,118,3,True,True
142,9,orchard,day:9:slice:14,35500,5.74,0.293803,2,2,81,10,True,True
143,9,repair_ring,day:9:slice:15,35750,10.1,0.377671,2,3,82,-6,True,True
144,10,roofward,day:10:slice:00,36000,8.21,0.076923,2,2,84,2,True,True
145,10,archive,day:10:slice:01,36250,6.41,0.160791,2,3,118,9,True,True
146,10,signal,day:10:slice:02,36500,9.14,0.244658,2,1,125,-7,True,True
147,10,orchard,day:10:slice:03,36750,5.71,0.328526,2,2,46,0,True,True
148,10,repair_ring,day:10:slice:04,37000,10.07,0.412393,2,3,80,7,True,True
149,10,riverbend,day:10:slice:05,37250,7.88,0.034722,2,1,99,-9,True,True
150,10,roofward,day:10:slice:06,37500,8.27,0.11859,2,2,91,-2,True,True
151,10,archive,day:10:slice:07,37750,6.47,0.202457,2,3,113,5,True,True
152,10,signal,day:10:slice:08,38000,9.12,0.286325,2,1,144,-11,False,True
153,10,orchard,day:10:slice:09,38250,5.69,0.370192,2,2,65,-4,True,True
154,10,repair_ring,day:10:slice:10,38500,10.05,0.45406,2,3,75,3,True,True
155,10,riverbend,day:10:slice:11,38750,7.86,0.076389,2,1,109,10,True,True
156,10,roofward,day:10:slice:12,39000,8.25,0.160256,2,2,110,-6,True,True
157,10,archive,day:10:slice:13,39250,6.45,0.244124,2,3,108,1,True,True
158,10,signal,day:10:slice:14,39500,9.18,0.327991,2,1,71,8,True,True
159,10,orchard,day:10:slice:15,39750,5.75,0.411859,2,2,84,-8,True,True
160,11,repair_ring,day:11:slice:00,40000,10.03,0.495726,2,1,74,0,True,True
161,11,riverbend,day:11:slice:01,40250,7.84,0.118056,2,2,108,7,True,True
162,11,roofward,day:11:slice:02,40500,8.23,0.201923,2,3,127,-9,True,True
163,11,archive,day:11:slice:03,40750,6.43,0.285791,2,1,48,-2,True,True
164,11,signal,day:11:slice:04,41000,9.16,0.369658,2,2,70,5,True,True
165,11,orchard,day:11:slice:05,41250,5.73,0.453526,2,3,101,-11,False,True
166,11,repair_ring,day:11:slice:06,41500,10.09,0.537393,2,1,93,-4,True,True
167,11,riverbend,day:11:slice:07,41750,7.9,0.159722,2,2,103,3,True,True
168,11,roofward,day:11:slice:08,42000,8.21,0.24359,2,3,137,10,True,True
169,11,archive,day:11:slice:09,42250,6.41,0.327457,2,1,67,-6,True,True
170,11,signal,day:11:slice:10,42500,9.14,0.411325,2,2,65,1,True,True
171,11,orchard,day:11:slice:11,42750,5.71,0.495192,2,3,99,8,True,True
172,11,repair_ring,day:11:slice:12,43000,10.07,0.57906,2,1,112,-8,True,True
173,11,riverbend,day:11:slice:13,43250,7.88,0.201389,2,2,104,-1,True,True
174,11,roofward,day:11:slice:14,43500,8.27,0.285256,2,3,61,6,True,True
175,11,archive,day:11:slice:15,43750,6.47,0.369124,2,1,86,-10,True,True
176,12,signal,day:12:slice:00,44000,9.12,0.452991,2,3,76,-2,True,True
177,12,orchard,day:12:slice:01,44250,5.69,0.536859,2,1,98,5,True,True
178,12,repair_ring,day:12:slice:02,44500,10.05,0.620726,2,2,129,-11,False,True
179,12,riverbend,day:12:slice:03,44750,7.86,0.243056,2,3,121,-4,True,True
180,12,roofward,day:12:slice:04,45000,8.25,0.326923,2,1,60,3,True,True
181,12,archive,day:12:slice:05,45250,6.45,0.410791,2,2,94,10,True,True
182,12,signal,day:12:slice:06,45500,9.18,0.494658,2,3,95,-6,True,True
183,12,orchard,day:12:slice:07,45750,5.75,0.578526,2,1,93,1,True,True
184,12,repair_ring,day:12:slice:08,46000,10.03,0.662393,2,2,127,8,True,True
185,12,riverbend,day:12:slice:09,46250,7.84,0.284722,2,3,69,-8,True,True
186,12,roofward,day:12:slice:10,46500,8.23,0.36859,2,1,61,-1,True,True
187,12,archive,day:12:slice:11,46750,6.43,0.452457,2,2,89,6,True,True
188,12,signal,day:12:slice:12,47000,9.16,0.536325,2,3,114,-10,True,True
189,12,orchard,day:12:slice:13,47250,5.73,0.620192,2,1,106,-3,True,True
190,12,repair_ring,day:12:slice:14,47500,10.09,0.70406,2,2,122,4,True,True
191,12,riverbend,day:12:slice:15,47750,7.9,0.326389,2,3,85,11,False,True
192,13,roofward,day:13:slice:00,48000,8.21,0.410256,2,2,78,-4,True,True
193,13,archive,day:13:slice:01,48250,6.41,0.494124,2,3,88,3,True,True
194,13,signal,day:13:slice:02,48500,9.14,0.577991,2,1,122,10,True,True
195,13,orchard,day:13:slice:03,48750,5.71,0.661859,2,2,123,-6,True,True
196,13,repair_ring,day:13:slice:04,49000,10.07,0.745726,2,3,50,1,True,True
197,13,riverbend,day:13:slice:05,49250,7.88,0.368056,2,1,84,8,True,True
198,13,roofward,day:13:slice:06,49500,8.27,0.451923,2,2,97,-8,True,True
199,13,archive,day:13:slice:07,49750,6.47,0.535791,2,3,89,-1,True,True
200,13,signal,day:13:slice:08,50000,9.12,0.619658,2,1,117,6,True,True
201,13,orchard,day:13:slice:09,50250,5.69,0.703526,2,2,142,-10,False,True
202,13,repair_ring,day:13:slice:10,50500,10.05,0.787393,2,3,63,-3,True,True
203,13,riverbend,day:13:slice:11,50750,7.86,0.409722,2,1,79,4,True,True
204,13,roofward,day:13:slice:12,51000,8.25,0.49359,2,2,113,11,False,True
205,13,archive,day:13:slice:13,51250,6.45,0.577457,2,3,108,-5,True,True
206,13,signal,day:13:slice:14,51500,9.18,0.661325,2,1,112,2,True,True
207,13,orchard,day:13:slice:15,51750,5.75,0.745192,2,2,75,9,True,True
208,14,repair_ring,day:14:slice:00,52000,10.03,0.82906,2,1,80,-6,True,True
209,14,riverbend,day:14:slice:01,52250,7.84,0.451389,2,2,78,1,True,True
210,14,roofward,day:14:slice:02,52500,8.23,0.535256,2,3,112,8,True,True
211,14,archive,day:14:slice:03,52750,6.43,0.619124,2,1,125,-8,True,True
212,14,signal,day:14:slice:04,53000,9.16,0.702991,2,2,46,-1,True,True
213,14,orchard,day:14:slice:05,53250,5.73,0.786859,2,3,74,6,True,True
214,14,repair_ring,day:14:slice:06,53500,10.09,0.870726,2,1,99,-10,True,True
215,14,riverbend,day:14:slice:07,53750,7.9,0.493056,2,2,91,-3,True,True
216,14,roofward,day:14:slice:08,54000,8.21,0.576923,2,3,107,4,True,True
217,14,archive,day:14:slice:09,54250,6.41,0.660791,2,1,141,11,False,True
218,14,signal,day:14:slice:10,54500,9.14,0.744658,2,2,65,-5,True,True
219,14,orchard,day:14:slice:11,54750,5.71,0.828526,2,3,69,2,True,True
220,14,repair_ring,day:14:slice:12,55000,10.07,0.912393,2,1,103,9,True,True
221,14,riverbend,day:14:slice:13,55250,7.88,0.534722,2,2,110,-7,True,True
222,14,roofward,day:14:slice:14,55500,8.27,0.61859,2,3,102,0,True,True
223,14,archive,day:14:slice:15,55750,6.47,0.702457,2,1,65,7,True,True
224,15,signal,day:15:slice:00,56000,9.12,0.786325,2,3,82,-8,True,True
225,15,orchard,day:15:slice:01,56250,5.69,0.870192,2,1,74,-1,True,True
226,15,repair_ring,day:15:slice:02,56500,10.05,0.95406,2,2,102,6,True,True
227,15,riverbend,day:15:slice:03,56750,7.86,0.576389,2,3,127,-10,True,True
228,15,roofward,day:15:slice:04,57000,8.25,0.660256,2,1,119,-3,True,True
229,15,archive,day:15:slice:05,57250,6.45,0.744124,2,2,64,4,True,True
230,15,signal,day:15:slice:06,57500,9.18,0.827991,2,3,98,11,False,True
231,15,orchard,day:15:slice:07,57750,5.75,0.911859,2,1,93,-5,True,True
232,15,repair_ring,day:15:slice:08,58000,10.03,0.995726,2,2,97,2,True,True
233,15,riverbend,day:15:slice:09,58250,7.84,0.618056,2,3,131,9,True,True
234,15,roofward,day:15:slice:10,58500,8.23,0.701923,2,1,67,-7,True,True
235,15,archive,day:15:slice:11,58750,6.43,0.785791,2,2,59,0,True,True
236,15,signal,day:15:slice:12,59000,9.16,0.869658,2,3,93,7,True,True
237,15,orchard,day:15:slice:13,59250,5.73,0.953526,2,1,112,-9,True,True
238,15,repair_ring,day:15:slice:14,59500,10.09,0.037393,2,2,104,-2,True,True
239,15,riverbend,day:15:slice:15,59750,7.9,0.659722,2,3,126,5,True,True
240,16,roofward,day:16:slice:00,60000,8.21,0.74359,2,2,84,-10,True,True
241,16,archive,day:16:slice:01,60250,6.41,0.827457,2,3,76,-3,True,True
242,16,signal,day:16:slice:02,60500,9.14,0.911325,2,1,92,4,True,True
243,16,orchard,day:16:slice:03,60750,5.71,0.995192,2,2,126,11,False,True
244,16,repair_ring,day:16:slice:04,61000,10.07,0.07906,2,3,121,-5,True,True
245,16,riverbend,day:16:slice:05,61250,7.88,0.701389,2,1,54,2,True,True
246,16,roofward,day:16:slice:06,61500,8.27,0.785256,2,2,88,9,True,True
247,16,archive,day:16:slice:07,61750,6.47,0.869124,2,3,95,-7,True,True
248,16,signal,day:16:slice:08,62000,9.12,0.952991,2,1,87,0,True,True
249,16,orchard,day:16:slice:09,62250,5.69,0.036859,2,2,121,7,True,True
250,16,repair_ring,day:16:slice:10,62500,10.05,0.120726,2,3,69,-9,True,True
251,16,riverbend,day:16:slice:11,62750,7.86,0.743056,2,1,61,-2,True,True
252,16,roofward,day:16:slice:12,63000,8.25,0.826923,2,2,83,5,True,True
253,16,archive,day:16:slice:13,63250,6.45,0.910791,2,3,114,-11,False,True
254,16,signal,day:16:slice:14,63500,9.18,0.994658,2,1,106,-4,True,True
255,16,orchard,day:16:slice:15,63750,5.75,0.078526,2,2,116,3,True,True
256,17,repair_ring,day:17:slice:00,64000,10.03,0.162393,2,1,83,11,False,True
257,17,riverbend,day:17:slice:01,64250,7.84,0.784722,2,2,78,-5,True,True
258,17,roofward,day:17:slice:02,64500,8.23,0.86859,2,3,82,2,True,True
259,17,archive,day:17:slice:03,64750,6.43,0.952457,2,1,116,9,True,True
260,17,signal,day:17:slice:04,65000,9.16,0.036325,2,2,123,-7,True,True
261,17,orchard,day:17:slice:05,65250,5.73,0.120192,2,3,44,0,True,True
262,17,repair_ring,day:17:slice:06,65500,10.09,0.20406,2,1,78,7,True,True
263,17,riverbend,day:17:slice:07,65750,7.9,0.826389,2,2,97,-9,True,True
264,17,roofward,day:17:slice:08,66000,8.21,0.910256,2,3,89,-2,True,True
265,17,archive,day:17:slice:09,66250,6.41,0.994124,2,1,111,5,True,True
266,17,signal,day:17:slice:10,66500,9.14,0.077991,2,2,142,-11,False,True
267,17,orchard,day:17:slice:11,66750,5.71,0.161859,2,3,63,-4,True,True
268,17,repair_ring,day:17:slice:12,67000,10.07,0.245726,2,1,73,3,True,True
269,17,riverbend,day:17:slice:13,67250,7.88,0.868056,2,2,107,10,True,True
270,17,roofward,day:17:slice:14,67500,8.27,0.951923,2,3,108,-6,True,True
271,17,archive,day:17:slice:15,67750,6.47,0.035791,2,1,106,1,True,True
272,18,signal,day:18:slice:00,68000,9.12,0.119658,2,3,73,9,True,True
273,18,orchard,day:18:slice:01,68250,5.69,0.203526,2,1,80,-7,True,True
274,18,repair_ring,day:18:slice:02,68500,10.05,0.287393,2,2,72,0,True,True
275,18,riverbend,day:18:slice:03,68750,7.86,0.909722,2,3,106,7,True,True
276,18,roofward,day:18:slice:04,69000,8.25,0.99359,2,1,125,-9,True,True
277,18,archive,day:18:slice:05,69250,6.45,0.077457,2,2,117,-2,True,True
278,18,signal,day:18:slice:06,69500,9.18,0.161325,2,3,68,5,True,True
279,18,orchard,day:18:slice:07,69750,5.75,0.245192,2,1,99,-11,False,True
280,18,repair_ring,day:18:slice:08,70000,10.03,0.32906,2,2,91,-4,True,True
281,18,riverbend,day:18:slice:09,70250,7.84,0.951389,2,3,101,3,True,True
282,18,roofward,day:18:slice:10,70500,8.23,0.035256,2,1,135,10,True,True
283,18,archive,day:18:slice:11,70750,6.43,0.119124,2,2,65,-6,True,True
284,18,signal,day:18:slice:12,71000,9.16,0.202991,2,3,63,1,True,True
285,18,orchard,day:18:slice:13,71250,5.73,0.286859,2,1,97,8,True,True
286,18,repair_ring,day:18:slice:14,71500,10.09,0.370726,2,2,110,-8,True,True
287,18,riverbend,day:18:slice:15,71750,7.9,0.993056,2,3,102,-1,True,True
288,19,roofward,day:19:slice:00,72000,8.21,0.076923,2,2,63,7,True,True
289,19,archive,day:19:slice:01,72250,6.41,0.160791,2,3,82,-9,True,True
290,19,signal,day:19:slice:02,72500,9.14,0.244658,2,1,74,-2,True,True
291,19,orchard,day:19:slice:03,72750,5.71,0.328526,2,2,96,5,True,True
292,19,repair_ring,day:19:slice:04,73000,10.07,0.412393,2,3,127,-11,False,True
293,19,riverbend,day:19:slice:05,73250,7.88,0.034722,2,1,119,-4,True,True
294,19,roofward,day:19:slice:06,73500,8.27,0.11859,2,2,58,3,True,True
295,19,archive,day:19:slice:07,73750,6.47,0.202457,2,3,92,10,True,True
296,19,signal,day:19:slice:08,74000,9.12,0.286325,2,1,93,-6,True,True
297,19,orchard,day:19:slice:09,74250,5.69,0.370192,2,2,91,1,True,True
298,19,repair_ring,day:19:slice:10,74500,10.05,0.45406,2,3,125,8,True,True
299,19,riverbend,day:19:slice:11,74750,7.86,0.076389,2,1,67,-8,True,True
300,19,roofward,day:19:slice:12,75000,8.25,0.160256,2,2,59,-1,True,True
301,19,archive,day:19:slice:13,75250,6.45,0.244124,2,3,87,6,True,True
302,19,signal,day:19:slice:14,75500,9.18,0.327991,2,1,112,-10,True,True
303,19,orchard,day:19:slice:15,75750,5.75,0.411859,2,2,104,-3,True,True
304,20,riverbend,day:20:slice:00,76000,7.83,0.111111,2,1,124,5,True,True
305,20,roofward,day:20:slice:01,76250,8.22,0.194979,2,2,84,-11,False,True
306,20,archive,day:20:slice:02,76500,6.42,0.278846,2,3,76,-4,True,True
307,20,signal,day:20:slice:03,76750,9.15,0.362714,2,1,86,3,True,True
308,20,orchard,day:20:slice:04,77000,5.72,0.446581,2,2,120,10,True,True
309,20,repair_ring,day:20:slice:05,77250,10.08,0.530449,2,3,121,-6,True,True
310,20,riverbend,day:20:slice:06,77500,7.89,0.152778,2,1,48,1,True,True
311,20,roofward,day:20:slice:07,77750,8.28,0.236645,2,2,82,8,True,True
312,20,archive,day:20:slice:08,78000,6.4,0.320513,2,3,95,-8,True,True
313,20,signal,day:20:slice:09,78250,9.13,0.40438,2,1,87,-1,True,True
314,20,orchard,day:20:slice:10,78500,5.7,0.488248,2,2,115,6,True,True
315,20,repair_ring,day:20:slice:11,78750,10.06,0.572115,2,3,140,-10,True,True
316,20,riverbend,day:20:slice:12,79000,7.87,0.194444,2,1,61,-3,True,True
317,20,roofward,day:20:slice:13,79250,8.26,0.278312,2,2,77,4,True,True
318,20,archive,day:20:slice:14,79500,6.46,0.362179,2,3,111,11,False,True
319,20,signal,day:20:slice:15,79750,9.19,0.446047,2,1,106,-5,True,True
320,21,orchard,day:21:slice:00,80000,5.68,0.529915,2,3,114,3,True,True
321,21,repair_ring,day:21:slice:01,80250,10.04,0.613782,2,1,77,10,True,True
322,21,riverbend,day:21:slice:02,80500,7.85,0.236111,2,2,78,-6,True,True
323,21,roofward,day:21:slice:03,80750,8.24,0.319979,2,3,76,1,True,True
324,21,archive,day:21:slice:04,81000,6.44,0.403846,2,1,110,8,True,True
325,21,signal,day:21:slice:05,81250,9.17,0.487714,2,2,123,-8,True,True
326,21,orchard,day:21:slice:06,81500,5.74,0.571581,2,3,115,-1,True,True
327,21,repair_ring,day:21:slice:07,81750,10.1,0.655449,2,1,72,6,True,True
328,21,riverbend,day:21:slice:08,82000,7.83,0.277778,2,2,97,-10,True,True
329,21,roofward,day:21:slice:09,82250,8.22,0.361645,2,3,89,-3,True,True
330,21,archive,day:21:slice:10,82500,6.42,0.445513,2,1,105,4,True,True
