loop_id,day,tick,phase,world_frame_id,utterance_id,conflict_id,schedule_step_id,memory_id,sensory_id,replay_id,loop_note
loop_free_8_lo62,8,140,pentad,world_free_8_lo62,free_8_lo62,conflict_free_8_lo62,sched_free_8_lo62,mem_free_8_lo62,sense_world_free_8_lo62,replay_081,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_8_sa63,8,145,hexad,world_free_8_sa63,free_8_sa63,conflict_free_8_sa63,sched_free_8_sa63,mem_free_8_sa63,sense_world_free_8_sa63,replay_081,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_8_ni64,8,150,flower,world_free_8_ni64,free_8_ni64,conflict_free_8_ni64,sched_free_8_ni64,mem_free_8_ni64,sense_world_free_8_ni64,replay_081,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_13_ka60,13,155,fruit,world_free_13_ka60,free_13_ka60,conflict_free_13_ka60,sched_free_13_ka60,mem_free_13_ka60,sense_world_free_13_ka60,replay_101,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_13_mu61,13,160,return,world_free_13_mu61,free_13_mu61,conflict_free_13_mu61,sched_free_13_mu61,mem_free_13_mu61,sense_world_free_13_mu61,replay_101,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_13_lo62,13,165,seed,world_free_13_lo62,free_13_lo62,conflict_free_13_lo62,sched_free_13_lo62,mem_free_13_lo62,sense_world_free_13_lo62,replay_101,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_13_sa63,13,170,vesica,world_free_13_sa63,free_13_sa63,conflict_free_13_sa63,sched_free_13_sa63,mem_free_13_sa63,sense_world_free_13_sa63,replay_101,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_13_ni64,13,175,triad,world_free_13_ni64,free_13_ni64,conflict_free_13_ni64,sched_free_13_ni64,mem_free_13_ni64,sense_world_free_13_ni64,replay_101,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_21_ka60,21,180,square,world_free_21_ka60,free_21_ka60,conflict_free_21_ka60,sched_free_21_ka60,mem_free_21_ka60,sense_world_free_21_ka60,replay_121,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_21_mu61,21,185,pentad,world_free_21_mu61,free_21_mu61,conflict_free_21_mu61,sched_free_21_mu61,mem_free_21_mu61,sense_world_free_21_mu61,replay_121,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_21_lo62,21,190,hexad,world_free_21_lo62,free_21_lo62,conflict_free_21_lo62,sched_free_21_lo62,mem_free_21_lo62,sense_world_free_21_lo62,replay_121,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_21_sa63,21,195,flower,world_free_21_sa63,free_21_sa63,conflict_free_21_sa63,sched_free_21_sa63,mem_free_21_sa63,sense_world_free_21_sa63,replay_121,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_21_ni64,21,200,fruit,world_free_21_ni64,free_21_ni64,conflict_free_21_ni64,sched_free_21_ni64,mem_free_21_ni64,sense_world_free_21_ni64,replay_121,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
