frame_id,generation,household,learner_id,life_stage,observed_token,practiced_variant,caregiver_scaffold,play_imitation,correction_without_shame,boundary_lesson,learning_confidence,autonomy_preserved
44,8,Routehall,Routehall-learner-g08-2,apprentice_practice,tek,tek-hand,0.7922,0.548,0.8412,"learn by play, not pressure",0.830692,0.86
44,8,Routehall,Routehall-learner-g08-3,adult_transmission,nari,nari-voice,0.9122,0.428,0.8112,you may refuse unsafe imitation,0.851292,0.91
45,8,Marketroof,Marketroof-learner-g08-1,child_observation,vonn,vonn-seed,0.6766,0.608,0.8352,you may refuse unsafe imitation,0.79522,0.803
45,8,Marketroof,Marketroof-learner-g08-2,apprentice_practice,melo,melo-hand,0.7966,0.548,0.8352,"learn by play, not pressure",0.83082,0.853
45,8,Marketroof,Marketroof-learner-g08-3,adult_transmission,keth,keth-voice,0.9166,0.428,0.8052,"learn by play, not pressure",0.85142,0.903
46,8,Quietledger,Quietledger-learner-g08-1,child_observation,sova,sova-seed,0.6678,0.608,0.8496,you may refuse unsafe imitation,0.7953,0.819
46,8,Quietledger,Quietledger-learner-g08-2,apprentice_practice,nari,nari-hand,0.7878,0.548,0.8496,you may refuse unsafe imitation,0.8309,0.869
46,8,Quietledger,Quietledger-learner-g08-3,adult_transmission,vonn,vonn-voice,0.9078,0.428,0.8196,you may refuse unsafe imitation,0.8515,0.919
47,8,Orchardring,Orchardring-learner-g08-1,child_observation,tek,tek-seed,0.681,0.608,0.8352,"learn by play, not pressure",0.796188,0.801
47,8,Orchardring,Orchardring-learner-g08-2,apprentice_practice,lum,lum-hand,0.801,0.548,0.8352,"learn by play, not pressure",0.831788,0.851
47,8,Orchardring,Orchardring-learner-g08-3,adult_transmission,melo,melo-voice,0.921,0.428,0.8052,"learn by play, not pressure",0.852388,0.901
48,8,Rainloft,Rainloft-learner-g08-1,child_observation,nari,nari-seed,0.67,0.608,0.846,you may refuse unsafe imitation,0.79528,0.815
48,8,Rainloft,Rainloft-learner-g08-2,apprentice_practice,sova,sova-hand,0.79,0.548,0.846,you may refuse unsafe imitation,0.83088,0.865
48,8,Rainloft,Rainloft-learner-g08-3,adult_transmission,vonn,vonn-voice,0.91,0.428,0.816,you may refuse unsafe imitation,0.85148,0.915
49,9,Hearthnest,Hearthnest-learner-g09-1,child_observation,lum,lum-seed,0.7044,0.614,0.8568,"learn by play, not pressure",0.80544,0.812
49,9,Hearthnest,Hearthnest-learner-g09-2,apprentice_practice,ori,ori-hand,0.8244,0.554,0.8568,"learn by play, not pressure",0.84104,0.862
49,9,Hearthnest,Hearthnest-learner-g09-3,adult_transmission,sova,sova-voice,0.9444,0.434,0.8268,you may refuse unsafe imitation,0.86164,0.912
50,9,Routehall,Routehall-learner-g09-1,child_observation,tek,tek-seed,0.6802,0.614,0.8412,"learn by play, not pressure",0.797932,0.81
50,9,Routehall,Routehall-learner-g09-2,apprentice_practice,nari,nari-hand,0.8002,0.554,0.8412,you may refuse unsafe imitation,0.833532,0.86
50,9,Routehall,Routehall-learner-g09-3,adult_transmission,keth,keth-voice,0.9202,0.434,0.8112,"learn by play, not pressure",0.854132,0.91
51,9,Marketroof,Marketroof-learner-g09-1,child_observation,melo,melo-seed,0.6846,0.614,0.8352,"learn by play, not pressure",0.79806,0.803
51,9,Marketroof,Marketroof-learner-g09-2,apprentice_practice,keth,keth-hand,0.8046,0.554,0.8352,"learn by play, not pressure",0.83366,0.853
51,9,Marketroof,Marketroof-learner-g09-3,adult_transmission,vonn,vonn-voice,0.9246,0.434,0.8052,you may refuse unsafe imitation,0.85426,0.903
52,9,Quietledger,Quietledger-learner-g09-1,child_observation,nari,nari-seed,0.6758,0.614,0.8496,you may refuse unsafe imitation,0.79814,0.819
52,9,Quietledger,Quietledger-learner-g09-2,apprentice_practice,vonn,vonn-hand,0.7958,0.554,0.8496,you may refuse unsafe imitation,0.83374,0.869
52,9,Quietledger,Quietledger-learner-g09-3,adult_transmission,sova,sova-voice,0.9158,0.434,0.8196,you may refuse unsafe imitation,0.85434,0.919
53,9,Orchardring,Orchardring-learner-g09-1,child_observation,lum,lum-seed,0.689,0.614,0.8352,"learn by play, not pressure",0.799028,0.801
53,9,Orchardring,Orchardring-learner-g09-2,apprentice_practice,melo,melo-hand,0.809,0.554,0.8352,"learn by play, not pressure",0.834628,0.851
53,9,Orchardring,Orchardring-learner-g09-3,adult_transmission,tek,tek-voice,0.929,0.434,0.8052,"learn by play, not pressure",0.855228,0.901
54,9,Rainloft,Rainloft-learner-g09-1,child_observation,sova,sova-seed,0.678,0.614,0.846,you may refuse unsafe imitation,0.79812,0.815
54,9,Rainloft,Rainloft-learner-g09-2,apprentice_practice,vonn,vonn-hand,0.798,0.554,0.846,you may refuse unsafe imitation,0.83372,0.865
54,9,Rainloft,Rainloft-learner-g09-3,adult_transmission,nari,nari-voice,0.918,0.434,0.816,you may refuse unsafe imitation,0.85432,0.915
55,10,Hearthnest,Hearthnest-learner-g10-1,child_observation,ori,ori-seed,0.7124,0.62,0.8568,"learn by play, not pressure",0.80828,0.812
55,10,Hearthnest,Hearthnest-learner-g10-2,apprentice_practice,sova,sova-hand,0.8324,0.56,0.8568,you may refuse unsafe imitation,0.84388,0.862
55,10,Hearthnest,Hearthnest-learner-g10-3,adult_transmission,lum,lum-voice,0.9524,0.44,0.8268,"learn by play, not pressure",0.86448,0.912
56,10,Routehall,Routehall-learner-g10-1,child_observation,nari,nari-seed,0.6882,0.62,0.8412,you may refuse unsafe imitation,0.800772,0.81
56,10,Routehall,Routehall-learner-g10-2,apprentice_practice,keth,keth-hand,0.8082,0.56,0.8412,"learn by play, not pressure",0.836372,0.86
56,10,Routehall,Routehall-learner-g10-3,adult_transmission,tek,tek-voice,0.9282,0.44,0.8112,"learn by play, not pressure",0.856972,0.91
57,10,Marketroof,Marketroof-learner-g10-1,child_observation,keth,keth-seed,0.6926,0.62,0.8352,"learn by play, not pressure",0.8009,0.803
57,10,Marketroof,Marketroof-learner-g10-2,apprentice_practice,vonn,vonn-hand,0.8126,0.56,0.8352,you may refuse unsafe imitation,0.8365,0.853
57,10,Marketroof,Marketroof-learner-g10-3,adult_transmission,melo,melo-voice,0.9326,0.44,0.8052,"learn by play, not pressure",0.8571,0.903
58,10,Quietledger,Quietledger-learner-g10-1,child_observation,vonn,vonn-seed,0.6838,0.62,0.8496,you may refuse unsafe imitation,0.80098,0.819
58,10,Quietledger,Quietledger-learner-g10-2,apprentice_practice,sova,sova-hand,0.8038,0.56,0.8496,you may refuse unsafe imitation,0.83658,0.869
58,10,Quietledger,Quietledger-learner-g10-3,adult_transmission,nari,nari-voice,0.9238,0.44,0.8196,you may refuse unsafe imitation,0.85718,0.919
59,10,Orchardring,Orchardring-learner-g10-1,child_observation,melo,melo-seed,0.697,0.62,0.8352,"learn by play, not pressure",0.801868,0.801
59,10,Orchardring,Orchardring-learner-g10-2,apprentice_practice,tek,tek-hand,0.817,0.56,0.8352,"learn by play, not pressure",0.837468,0.851
59,10,Orchardring,Orchardring-learner-g10-3,adult_transmission,lum,lum-voice,0.937,0.44,0.8052,"learn by play, not pressure",0.858068,0.901
60,10,Rainloft,Rainloft-learner-g10-1,child_observation,vonn,vonn-seed,0.686,0.62,0.846,you may refuse unsafe imitation,0.80096,0.815
60,10,Rainloft,Rainloft-learner-g10-2,apprentice_practice,nari,nari-hand,0.806,0.56,0.846,you may refuse unsafe imitation,0.83656,0.865
60,10,Rainloft,Rainloft-learner-g10-3,adult_transmission,sova,sova-voice,0.926,0.44,0.816,you may refuse unsafe imitation,0.85716,0.915
61,11,Hearthnest,Hearthnest-learner-g11-1,child_observation,sova,sova-seed,0.7204,0.626,0.8568,you may refuse unsafe imitation,0.81112,0.812
61,11,Hearthnest,Hearthnest-learner-g11-2,apprentice_practice,lum,lum-hand,0.8404,0.566,0.8568,"learn by play, not pressure",0.84672,0.862
61,11,Hearthnest,Hearthnest-learner-g11-3,adult_transmission,ori,ori-voice,0.9604,0.446,0.8268,"learn by play, not pressure",0.86732,0.912
62,11,Routehall,Routehall-learner-g11-1,child_observation,keth,keth-seed,0.6962,0.626,0.8412,"learn by play, not pressure",0.803612,0.81
62,11,Routehall,Routehall-learner-g11-2,apprentice_practice,tek,tek-hand,0.8162,0.566,0.8412,"learn by play, not pressure",0.839212,0.86
