tick_index,agent,energy_budget,warmth_debt,hydration_debt,hunger_debt,pain_load,safety_deficit,sensory_overload,movement_cost,rest_debt,attachment_deficit,autonomy_debt,dignity_pressure,total_body_pressure
62,Sol,0.9615,0.483241,0.474,0.28,0.146247,0.186687,0.085742,0.344417,0.012485,0.2944,0.2776,0.11,0.287142
63,Ari,0.884805,0.0,0.548,0.465,0.178109,0.192506,0.084014,0.393293,0.050861,0.3032,0.2728,0.11,0.239328
64,Fay,0.633491,0.0,0.594,0.46,0.049021,0.260363,0.376747,0.174162,0.107387,0.2816,0.2592,0.11,0.24724
65,Milo,0.921474,0.0,0.534,0.29,0.040819,0.394571,0.301272,0.160138,0.018381,0.4792,0.4688,0.26,0.244277
66,Sol,0.949343,0.0,0.488,0.375,0.054581,0.166399,0.079633,0.135758,0.018237,0.2944,0.2776,0.11,0.169492
67,Ari,0.866191,0.0,0.562,0.48,0.30826,0.214877,0.072578,0.128797,0.059596,0.3032,0.2728,0.11,0.236441
68,Fay,0.620963,0.0,0.608,0.475,0.043993,0.16149,0.07091,0.123876,0.112527,0.2816,0.0592,0.0,0.183625
69,Milo,1.0,0.0,0.488,0.215,0.036843,0.0,0.077807,0.120376,0.0,0.2992,0.2688,0.11,0.125023
70,Sol,1.0,0.0,0.502,0.39,0.053145,0.0,0.080575,0.121396,0.023616,0.0144,0.2776,0.0,0.133787
71,Ari,0.853264,0.0,0.576,0.495,0.04847,0.164112,0.076306,0.122905,0.064872,0.4832,0.6928,0.48,0.220844
72,Fay,0.607934,0.0,0.622,0.49,0.044346,0.164825,0.081114,0.127406,0.117957,0.2816,0.2592,0.11,0.199055
73,Milo,1.0,0.0,0.502,0.23,0.037837,0.160492,0.071641,0.130319,0.0,0.2992,0.0688,0.11,0.140755
74,Sol,0.982071,0.0,0.516,0.405,0.056876,0.05707,0.330295,0.15871,0.0,0.0144,0.2776,0.11,0.176833
75,Ari,0.83912,0.0,0.59,0.51,0.051098,0.16476,0.07669,0.149177,0.070872,0.0232,0.2728,0.0,0.183642
76,Fay,0.591412,0.0,0.636,0.505,0.052829,0.166276,0.080345,0.212245,0.125689,0.2816,0.2592,0.11,0.213379
77,Milo,0.980528,0.31719,0.566,0.245,0.108437,0.17669,0.078133,0.344324,0.011847,0.2992,0.2688,0.11,0.254667
78,Sol,0.956388,0.0,0.58,0.42,0.193834,0.192039,0.072725,0.407289,0.014491,0.2944,0.2776,0.11,0.237277
79,Ari,0.816551,0.0,0.654,0.525,0.05647,0.274964,0.417718,0.202903,0.084818,0.3032,0.2728,0.11,0.269907
80,Fay,0.570373,0.0,0.7,0.52,0.051657,0.411332,0.346877,0.200516,0.138164,0.4616,0.4592,0.26,0.30619
81,Milo,0.967078,0.0,0.58,0.34,0.043325,0.166478,0.086915,0.185197,0.018876,0.2992,0.2688,0.11,0.179928
82,Sol,0.93546,0.0,0.594,0.435,0.342546,0.22315,0.077001,0.183412,0.025176,0.2944,0.2776,0.11,0.245131
83,Ari,0.800876,0.0,0.668,0.54,0.054181,0.1647,0.074575,0.180005,0.091619,0.3032,0.0728,0.0,0.203838
84,Fay,0.716306,0.0,0.654,0.445,0.048121,0.0,0.086542,0.16516,0.0,0.2816,0.2592,0.11,0.168742
85,Milo,1.0,0.0,0.594,0.355,0.041734,0.0,0.087837,0.169294,0.025489,0.0192,0.2688,0.0,0.144139
86,Sol,0.921551,0.0,0.608,0.45,0.057054,0.164801,0.073095,0.160488,0.031479,0.4744,0.6976,0.48,0.221674
87,Ari,0.786023,0.0,0.682,0.555,0.051473,0.165221,0.077896,0.152931,0.097745,0.3032,0.2728,0.11,0.214261
88,Fay,0.863059,0.0,0.668,0.46,0.046013,0.163803,0.076876,0.144077,0.0,0.2816,0.0592,0.11,0.180608
89,Milo,0.982559,0.0,0.608,0.37,0.040413,0.060745,0.35207,0.156079,0.0,0.0192,0.2688,0.11,0.182888
90,Sol,0.908424,0.0,0.622,0.465,0.054298,0.166353,0.079666,0.132927,0.037155,0.0144,0.2776,0.0,0.178524
91,Fay,0.848248,0.0,0.682,0.475,0.04983,0.162574,0.070651,0.182248,0.006729,0.2816,0.2592,0.11,0.197921
92,Milo,0.963124,0.301454,0.672,0.385,0.104408,0.173428,0.070458,0.304034,0.010601,0.2992,0.2688,0.11,0.268456
93,Sol,0.883575,0.0,0.686,0.48,0.18923,0.195578,0.086663,0.361255,0.050654,0.2944,0.2776,0.11,0.253261
94,Ari,0.765503,0.0,0.746,0.57,0.051208,0.264573,0.388535,0.150278,0.1097,0.3032,0.2728,0.11,0.274058
95,Fay,0.829909,0.0,0.746,0.49,0.046496,0.404651,0.329223,0.148912,0.01746,0.4616,0.4592,0.26,0.286464
96,Milo,0.950068,0.0,0.686,0.48,0.038384,0.163057,0.079312,0.135787,0.016137,0.2992,0.2688,0.11,0.195237
97,Sol,0.863513,0.0,0.7,0.495,0.33832,0.223554,0.080908,0.14115,0.060259,0.2944,0.2776,0.11,0.25984
98,Ari,0.750339,0.0,0.76,0.585,0.050913,0.168139,0.087364,0.147329,0.115852,0.3032,0.0728,0.0,0.217411
99,Fay,0.977422,0.0,0.7,0.415,0.045185,0.0,0.082683,0.135802,0.0,0.2816,0.2592,0.11,0.16648
100,Milo,1.0,0.0,0.7,0.495,0.040577,0.0,0.080568,0.157716,0.022296,0.0192,0.2688,0.0,0.164689
101,Sol,0.848524,0.0,0.714,0.51,0.057297,0.169543,0.087761,0.16292,0.066908,0.4744,0.6976,0.48,0.243947
102,Ari,0.734563,0.0,0.774,0.6,0.052716,0.163625,0.072129,0.165363,0.122207,0.3032,0.2728,0.11,0.230608
103,Fay,1.0,0.0,0.714,0.43,0.047503,0.167235,0.086671,0.158983,0.0,0.2816,0.0592,0.11,0.186042
104,Milo,0.980396,0.0,0.714,0.51,0.043598,0.047774,0.309544,0.187928,0.0,0.0192,0.2688,0.11,0.203181
105,Sol,0.833328,0.0,0.728,0.525,0.058041,0.165013,0.073139,0.170361,0.073481,0.0144,0.2776,0.0,0.201903
106,Ari,0.716137,0.0,0.788,0.615,0.058639,0.167429,0.080316,0.224593,0.130335,0.3032,0.2728,0.11,0.243149
107,Fay,0.977781,0.363536,0.778,0.445,0.125072,0.178146,0.072286,0.346668,0.012013,0.2816,0.2592,0.11,0.303287
108,Milo,0.954509,0.0,0.778,0.525,0.142918,0.186387,0.086884,0.402131,0.013964,0.2992,0.2688,0.11,0.258468
109,Sol,0.811715,0.0,0.792,0.54,0.059801,0.263964,0.381263,0.187955,0.086389,0.2944,0.2776,0.11,0.277989
110,Ari,0.695132,0.0,0.852,0.63,0.054112,0.40072,0.31218,0.179317,0.141632,0.4832,0.4728,0.26,0.325808
111,Fay,0.962868,0.0,0.792,0.54,0.047577,0.165764,0.082028,0.159721,0.018343,0.2816,0.2592,0.11,0.214906
112,Milo,0.935775,0.0,0.792,0.54,0.237174,0.200101,0.070832,0.155693,0.022441,0.2992,0.2688,0.11,0.250032
113,Sol,0.796875,0.0,0.806,0.555,0.056265,0.164287,0.071983,0.152601,0.092456,0.2944,0.0776,0.0,0.215822
114,Ari,0.840614,0.0,0.806,0.555,0.050162,0.0,0.087881,0.13982,0.0,0.3032,0.2728,0.11,0.193302
115,Fay,1.0,0.0,0.806,0.555,0.046317,0.0,0.082298,0.147121,0.024333,0.0016,0.2592,0.0,0.179493
116,Milo,0.921455,0.0,0.806,0.555,0.039211,0.163932,0.081531,0.144061,0.028246,0.4792,0.6888,0.48,0.246629
117,Sol,0.78231,0.0,0.82,0.57,0.055064,0.16434,0.072899,0.140587,0.098212,0.2944,0.2776,0.11,0.227752
118,Ari,0.984859,0.0,0.82,0.57,0.048414,0.198765,0.18463,0.12234,0.0,0.3032,0.0728,0.11,0.223286
119,Fay,0.978314,0.0,0.82,0.57,0.047014,0.093592,0.45059,0.154094,0.0,0.0016,0.2592,0.11,0.237986
120,Milo,0.907303,0.0,0.82,0.57,0.03836,0.163501,0.080717,0.13555,0.033802,0.0192,0.2688,0.0,0.204705
