tick_id,day,settlement_id,resident_id,turn_index,avatar_phrase,resident_phrase,intent,response_key,confidence_before,confidence_after,misunderstanding_risk,bounded_phrasebook,no_llm_call,private_workspace_not_dumped,frequency_hz,flower_phase
36,3,orchid_engine,Bea,6,I do not turn key,cup before engine,respect boundary,step_back,0.408,0.418,0.332,True,True,True,10.67732,0.236167
37,3,moss_ward,Fay,7,I need translation,speak slower,answer bounded phrase,answer_known,0.404,0.41,0.376,True,True,True,6.03382,0.194796
38,3,glass_harbor,Puck,8,I wait by lamp,tea before crossing,repair uncertainty,ask_clarify,0.402,0.42,0.338,True,True,True,7.18424,0.212426
39,3,cinder_garden,Wren,8,I ask seed path,seed rows sleep,repair uncertainty,gesture_repair,0.408,0.426,0.332,True,True,True,9.75064,0.238056
40,3,lichen_bridge,Kio,7,I offer rope help,meal room welcomes,repair uncertainty,admit_unknown,0.404,0.422,0.336,True,True,True,8.42778,0.231685
41,3,orchid_engine,Cai,7,I do not turn key,cup before engine,offer bounded aid,offer_trade,0.402,0.406,0.338,True,True,True,10.76066,0.259315
42,3,moss_ward,Milo,8,I need translation,speak slower,respect boundary,step_back,0.408,0.418,0.332,True,True,True,6.11932,0.217944
43,3,glass_harbor,Sera,9,I wait by lamp,tea before crossing,answer bounded phrase,answer_known,0.404,0.41,0.376,True,True,True,7.26582,0.235574
44,3,cinder_garden,Juno,9,I ask seed path,seed rows sleep,repair uncertainty,ask_clarify,0.402,0.42,0.338,True,True,True,9.83624,0.261204
45,3,lichen_bridge,Luma,8,I offer rope help,meal room welcomes,repair uncertainty,gesture_repair,0.408,0.426,0.332,True,True,True,8.51264,0.254833
46,3,orchid_engine,Dax,8,I do not turn key,cup before engine,repair uncertainty,admit_unknown,0.386,0.404,0.354,True,True,True,10.84326,0.282463
47,3,moss_ward,Tala,9,I need translation,speak slower,offer bounded aid,offer_trade,0.398,0.402,0.342,True,True,True,6.2015,0.241093
48,3,glass_harbor,Nia,10,I wait by lamp,tea before crossing,respect boundary,step_back,0.416,0.426,0.324,True,True,True,7.35494,0.258722
49,3,cinder_garden,Pax,10,I ask seed path,seed rows sleep,answer bounded phrase,answer_known,0.402,0.408,0.378,True,True,True,9.91672,0.284352
50,3,lichen_bridge,Rin,9,I offer rope help,meal room welcomes,repair uncertainty,ask_clarify,0.39,0.408,0.35,True,True,True,8.59242,0.277981
51,3,orchid_engine,Eli,9,I do not turn key,cup before engine,repair uncertainty,gesture_repair,0.386,0.404,0.354,True,True,True,10.92878,0.305611
52,3,moss_ward,Ari,10,I need translation,speak slower,repair uncertainty,admit_unknown,0.402,0.42,0.338,True,True,True,6.29224,0.264241
53,3,glass_harbor,Oren,11,I wait by lamp,tea before crossing,offer bounded aid,offer_trade,0.408,0.412,0.332,True,True,True,7.43458,0.28187
54,4,lichen_bridge,Kio,10,I need translation,gesture again,answer bounded phrase,answer_known,0.422,0.428,0.358,True,True,True,8.66882,0.297333
55,4,orchid_engine,Cai,10,I wait outside ring,valve listener first,repair uncertainty,ask_clarify,0.406,0.424,0.334,True,True,True,11.00388,0.324963
56,4,moss_ward,Milo,11,I ask rain custom,rain clay is named,repair uncertainty,gesture_repair,0.418,0.436,0.322,True,True,True,6.36306,0.283593
57,4,glass_harbor,Sera,12,I offer salt token,net has keeper,repair uncertainty,admit_unknown,0.41,0.428,0.33,True,True,True,7.50904,0.301222
58,4,cinder_garden,Juno,11,I do not cross rows,ash path open,offer bounded aid,offer_trade,0.42,0.424,0.32,True,True,True,10.07722,0.326852
59,4,lichen_bridge,Luma,11,I need translation,gesture again,respect boundary,step_back,0.426,0.436,0.314,True,True,True,8.75536,0.320481
60,4,orchid_engine,Dax,11,I wait outside ring,valve listener first,answer bounded phrase,answer_known,0.404,0.41,0.376,True,True,True,11.0843,0.348111
61,4,moss_ward,Tala,12,I ask rain custom,rain clay is named,repair uncertainty,ask_clarify,0.402,0.42,0.338,True,True,True,6.44472,0.306741
62,4,glass_harbor,Nia,13,I offer salt token,net has keeper,repair uncertainty,gesture_repair,0.426,0.444,0.314,True,True,True,7.59868,0.32437
63,4,cinder_garden,Pax,12,I do not cross rows,ash path open,repair uncertainty,admit_unknown,0.408,0.426,0.332,True,True,True,10.15994,0.35
64,4,lichen_bridge,Rin,12,I need translation,gesture again,offer bounded aid,offer_trade,0.408,0.412,0.332,True,True,True,8.8334,0.34363
65,4,orchid_engine,Eli,12,I wait outside ring,valve listener first,respect boundary,step_back,0.404,0.414,0.336,True,True,True,11.1715,0.371259
66,4,moss_ward,Ari,13,I ask rain custom,rain clay is named,answer bounded phrase,answer_known,0.42,0.426,0.36,True,True,True,6.53328,0.329889
67,4,glass_harbor,Oren,14,I offer salt token,net has keeper,repair uncertainty,ask_clarify,0.412,0.43,0.328,True,True,True,7.6778,0.347519
68,4,cinder_garden,Vale,13,I do not cross rows,ash path open,repair uncertainty,gesture_repair,0.404,0.422,0.336,True,True,True,10.24378,0.373148
69,4,lichen_bridge,Sol,13,I need translation,gesture again,repair uncertainty,admit_unknown,0.402,0.42,0.338,True,True,True,8.92072,0.366778
70,4,orchid_engine,Bea,13,I wait outside ring,valve listener first,offer bounded aid,offer_trade,0.418,0.422,0.322,True,True,True,11.257,0.394407
71,4,moss_ward,Fay,14,I ask rain custom,rain clay is named,respect boundary,step_back,0.41,0.42,0.33,True,True,True,6.61472,0.353037
72,5,cinder_garden,Juno,14,I bow to shade,shade cloth first,repair uncertainty,ask_clarify,0.424,0.442,0.316,True,True,True,10.32044,0.3925
73,5,lichen_bridge,Luma,14,I ask bell custom,rope has tension,repair uncertainty,gesture_repair,0.436,0.454,0.304,True,True,True,8.99858,0.38613
74,5,orchid_engine,Dax,14,I offer gear cloth,gear lane open,repair uncertainty,admit_unknown,0.41,0.428,0.33,True,True,True,11.32804,0.413759
75,5,moss_ward,Tala,15,I do not touch,trade can wait,offer bounded aid,offer_trade,0.42,0.424,0.32,True,True,True,6.6857,0.372389
76,5,glass_harbor,Nia,15,I need translation,repeat with bell,respect boundary,step_back,0.444,0.454,0.296,True,True,True,7.83958,0.390019
77,5,cinder_garden,Pax,15,I bow to shade,shade cloth first,answer bounded phrase,answer_known,0.426,0.432,0.354,True,True,True,10.40098,0.415648
78,5,lichen_bridge,Rin,15,I ask bell custom,rope has tension,repair uncertainty,ask_clarify,0.412,0.43,0.328,True,True,True,9.07662,0.409278
79,5,orchid_engine,Eli,15,I offer gear cloth,gear lane open,repair uncertainty,gesture_repair,0.414,0.432,0.326,True,True,True,11.41472,0.436907
80,5,moss_ward,Ari,16,I do not touch,trade can wait,repair uncertainty,admit_unknown,0.426,0.444,0.314,True,True,True,6.77702,0.395537
81,5,glass_harbor,Oren,16,I need translation,repeat with bell,offer bounded aid,offer_trade,0.43,0.434,0.31,True,True,True,7.91878,0.413167
82,5,cinder_garden,Vale,16,I bow to shade,shade cloth first,respect boundary,step_back,0.422,0.432,0.318,True,True,True,10.48468,0.438796
83,5,lichen_bridge,Sol,16,I ask bell custom,rope has tension,answer bounded phrase,answer_known,0.42,0.426,0.36,True,True,True,9.16176,0.432426
84,5,orchid_engine,Bea,16,I offer gear cloth,gear lane open,repair uncertainty,ask_clarify,0.422,0.44,0.318,True,True,True,11.50022,0.460056
85,5,moss_ward,Fay,17,I do not touch,trade can wait,repair uncertainty,gesture_repair,0.42,0.438,0.32,True,True,True,6.85794,0.418685
86,5,glass_harbor,Puck,17,I need translation,repeat with bell,repair uncertainty,admit_unknown,0.42,0.438,0.32,True,True,True,8.00728,0.436315
87,5,cinder_garden,Wren,17,I bow to shade,shade cloth first,offer bounded aid,offer_trade,0.426,0.43,0.314,True,True,True,10.56962,0.461944
88,5,lichen_bridge,Kio,17,I ask bell custom,rope has tension,respect boundary,step_back,0.428,0.438,0.312,True,True,True,9.25024,0.455574
89,5,orchid_engine,Cai,17,I offer gear cloth,gear lane open,answer bounded phrase,answer_known,0.424,0.43,0.356,True,True,True,11.58544,0.483204
90,6,glass_harbor,Nia,18,I ask net owner,lamp stays bright,repair uncertainty,gesture_repair,0.454,0.472,0.286,True,True,True,8.0828,0.455667
91,6,cinder_garden,Pax,18,I offer cool stone,cool hand means wait,repair uncertainty,admit_unknown,0.432,0.45,0.308,True,True,True,10.6442,0.481296
92,6,lichen_bridge,Rin,18,I do not step on rope,bell has keeper,offer bounded aid,offer_trade,0.43,0.434,0.31,True,True,True,9.3176,0.474926
93,6,orchid_engine,Eli,18,I need translation,say it with palms,respect boundary,step_back,0.432,0.442,0.308,True,True,True,11.65562,0.502556
94,6,moss_ward,Ari,18,I wait,warm cup first,answer bounded phrase,answer_known,0.444,0.45,0.336,True,True,True,7.01806,0.461185
95,6,glass_harbor,Oren,19,I ask net owner,lamp stays bright,repair uncertainty,ask_clarify,0.434,0.452,0.306,True,True,True,8.16252,0.478815
96,6,cinder_garden,Vale,19,I offer cool stone,cool hand means wait,repair uncertainty,gesture_repair,0.432,0.45,0.308,True,True,True,10.7279,0.504444
97,6,lichen_bridge,Sol,19,I do not step on rope,bell has keeper,repair uncertainty,admit_unknown,0.426,0.444,0.314,True,True,True,9.40498,0.498074
98,6,orchid_engine,Bea,19,I need translation,say it with palms,offer bounded aid,offer_trade,0.44,0.444,0.3,True,True,True,11.7412,0.525704
99,6,moss_ward,Fay,19,I wait,warm cup first,respect boundary,step_back,0.438,0.448,0.302,True,True,True,7.09884,0.484333
100,6,glass_harbor,Puck,20,I ask net owner,lamp stays bright,answer bounded phrase,answer_known,0.438,0.444,0.342,True,True,True,8.24832,0.501963
101,6,cinder_garden,Wren,20,I offer cool stone,cool hand means wait,repair uncertainty,ask_clarify,0.43,0.448,0.31,True,True,True,10.81336,0.527593
102,6,lichen_bridge,Kio,20,I do not step on rope,bell has keeper,repair uncertainty,gesture_repair,0.438,0.456,0.302,True,True,True,9.49346,0.521222
103,6,orchid_engine,Cai,20,I need translation,say it with palms,repair uncertainty,admit_unknown,0.43,0.448,0.31,True,True,True,11.82866,0.548852
104,6,moss_ward,Milo,20,I wait,warm cup first,offer bounded aid,offer_trade,0.436,0.44,0.304,True,True,True,7.18022,0.507481
105,6,glass_harbor,Sera,21,I ask net owner,lamp stays bright,respect boundary,step_back,0.428,0.438,0.312,True,True,True,8.32924,0.525111
106,6,cinder_garden,Juno,21,I offer cool stone,cool hand means wait,answer bounded phrase,answer_known,0.442,0.448,0.338,True,True,True,10.902,0.550741
107,6,lichen_bridge,Luma,21,I do not step on rope,bell has keeper,repair uncertainty,ask_clarify,0.454,0.472,0.286,True,True,True,9.5818,0.54437
108,7,moss_ward,Ari,21,I offer trade,blanket path clear,repair uncertainty,admit_unknown,0.45,0.468,0.29,True,True,True,7.26128,0.526833
109,7,glass_harbor,Oren,22,I do not dim lamp,fog catcher closed,offer bounded aid,offer_trade,0.452,0.456,0.288,True,True,True,8.4035,0.544463
110,7,cinder_garden,Vale,22,I need translation,repeat without hurry,respect boundary,step_back,0.45,0.46,0.29,True,True,True,10.97062,0.570093
111,7,lichen_bridge,Sol,22,I touch rope post,signal hush first,answer bounded phrase,answer_known,0.444,0.45,0.336,True,True,True,9.64602,0.563722
112,7,orchid_engine,Bea,21,I ask valve custom,orchid lamp rests,repair uncertainty,ask_clarify,0.444,0.462,0.296,True,True,True,11.98442,0.591352
113,7,moss_ward,Fay,22,I offer trade,blanket path clear,repair uncertainty,gesture_repair,0.448,0.466,0.292,True,True,True,7.34258,0.549981
114,7,glass_harbor,Puck,23,I do not dim lamp,fog catcher closed,repair uncertainty,admit_unknown,0.444,0.462,0.296,True,True,True,8.49154,0.567611
115,7,cinder_garden,Wren,23,I need translation,repeat without hurry,offer bounded aid,offer_trade,0.448,0.452,0.292,True,True,True,11.05434,0.593241
116,7,lichen_bridge,Kio,23,I touch rope post,signal hush first,respect boundary,step_back,0.456,0.466,0.284,True,True,True,9.73618,0.58687
117,7,orchid_engine,Cai,22,I ask valve custom,orchid lamp rests,answer bounded phrase,answer_known,0.448,0.454,0.332,True,True,True,12.0697,0.6145
118,7,moss_ward,Milo,23,I offer trade,blanket path clear,repair uncertainty,ask_clarify,0.44,0.458,0.3,True,True,True,7.42344,0.57313
119,7,glass_harbor,Sera,24,I do not dim lamp,fog catcher closed,repair uncertainty,gesture_repair,0.438,0.456,0.302,True,True,True,8.57298,0.590759
120,7,cinder_garden,Juno,24,I need translation,repeat without hurry,repair uncertainty,admit_unknown,0.448,0.466,0.292,True,True,True,11.14522,0.616389
121,7,lichen_bridge,Luma,24,I touch rope post,signal hush first,offer bounded aid,offer_trade,0.472,0.476,0.268,True,True,True,9.82278,0.610019
122,7,orchid_engine,Dax,23,I ask valve custom,orchid lamp rests,respect boundary,step_back,0.428,0.438,0.312,True,True,True,12.14824,0.637648
123,7,moss_ward,Tala,24,I offer trade,blanket path clear,answer bounded phrase,answer_known,0.424,0.43,0.356,True,True,True,7.50396,0.596278
124,7,glass_harbor,Nia,25,I do not dim lamp,fog catcher closed,repair uncertainty,ask_clarify,0.472,0.49,0.268,True,True,True,8.66784,0.613907
125,7,cinder_garden,Pax,25,I need translation,repeat without hurry,repair uncertainty,gesture_repair,0.45,0.468,0.29,True,True,True,11.22872,0.639537
126,8,orchid_engine,Bea,24,I do not turn key,cup before engine,offer bounded aid,offer_trade,0.462,0.466,0.278,True,True,True,12.2254,0.657
127,8,moss_ward,Fay,25,I need translation,speak slower,respect boundary,step_back,0.466,0.476,0.274,True,True,True,7.58348,0.61563
128,8,glass_harbor,Puck,26,I wait by lamp,tea before crossing,answer bounded phrase,answer_known,0.462,0.468,0.318,True,True,True,8.73258,0.633259
129,8,cinder_garden,Wren,26,I ask seed path,seed rows sleep,repair uncertainty,ask_clarify,0.452,0.47,0.288,True,True,True,11.29756,0.658889
130,8,lichen_bridge,Kio,25,I offer rope help,meal room welcomes,repair uncertainty,gesture_repair,0.466,0.484,0.274,True,True,True,9.9794,0.652519
131,8,orchid_engine,Cai,25,I do not turn key,cup before engine,repair uncertainty,admit_unknown,0.454,0.472,0.286,True,True,True,12.31344,0.680148
132,8,moss_ward,Milo,26,I need translation,speak slower,offer bounded aid,offer_trade,0.458,0.462,0.282,True,True,True,7.66442,0.638778
133,8,glass_harbor,Sera,27,I wait by lamp,tea before crossing,respect boundary,step_back,0.456,0.466,0.284,True,True,True,8.81388,0.656407
134,8,cinder_garden,Juno,27,I ask seed path,seed rows sleep,answer bounded phrase,answer_known,0.466,0.472,0.314,True,True,True,11.38626,0.682037
135,8,lichen_bridge,Luma,26,I offer rope help,meal room welcomes,repair uncertainty,ask_clarify,0.476,0.494,0.264,True,True,True,10.066,0.675667
136,8,orchid_engine,Dax,26,I do not turn key,cup before engine,repair uncertainty,gesture_repair,0.438,0.456,0.302,True,True,True,12.39146,0.703296
137,8,moss_ward,Tala,27,I need translation,speak slower,repair uncertainty,admit_unknown,0.43,0.448,0.31,True,True,True,7.7477,0.661926
138,8,glass_harbor,Nia,28,I wait by lamp,tea before crossing,offer bounded aid,offer_trade,0.49,0.494,0.25,True,True,True,8.90882,0.679556
139,8,cinder_garden,Pax,28,I ask seed path,seed rows sleep,respect boundary,step_back,0.468,0.478,0.272,True,True,True,11.46962,0.705185
140,8,lichen_bridge,Rin,27,I offer rope help,meal room welcomes,answer bounded phrase,answer_known,0.434,0.44,0.346,True,True,True,10.13534,0.698815
141,8,orchid_engine,Eli,27,I do not turn key,cup before engine,repair uncertainty,ask_clarify,0.442,0.46,0.298,True,True,True,12.47736,0.726444
142,8,moss_ward,Ari,28,I need translation,speak slower,repair uncertainty,gesture_repair,0.468,0.486,0.272,True,True,True,7.8458,0.685074
143,8,glass_harbor,Oren,29,I wait by lamp,tea before crossing,repair uncertainty,admit_unknown,0.456,0.474,0.284,True,True,True,8.98672,0.702704
144,9,lichen_bridge,Kio,28,I need translation,gesture again,respect boundary,step_back,0.484,0.494,0.256,True,True,True,10.2203,0.718167
145,9,orchid_engine,Cai,28,I wait outside ring,valve listener first,answer bounded phrase,answer_known,0.472,0.478,0.308,True,True,True,12.55448,0.745796
146,9,moss_ward,Milo,29,I ask rain custom,rain clay is named,repair uncertainty,ask_clarify,0.462,0.48,0.278,True,True,True,7.90816,0.704426
147,9,glass_harbor,Sera,30,I offer salt token,net has keeper,repair uncertainty,gesture_repair,0.466,0.484,0.274,True,True,True,9.0571,0.722056
148,9,cinder_garden,Juno,29,I do not cross rows,ash path open,repair uncertainty,admit_unknown,0.472,0.49,0.268,True,True,True,11.62948,0.747685
149,9,lichen_bridge,Luma,29,I need translation,gesture again,offer bounded aid,offer_trade,0.494,0.498,0.246,True,True,True,10.30698,0.741315
150,9,orchid_engine,Dax,29,I wait outside ring,valve listener first,respect boundary,step_back,0.456,0.466,0.284,True,True,True,12.63236,0.768944
151,9,moss_ward,Tala,30,I ask rain custom,rain clay is named,answer bounded phrase,answer_known,0.448,0.454,0.332,True,True,True,7.98874,0.727574
152,9,glass_harbor,Nia,31,I offer salt token,net has keeper,repair uncertainty,ask_clarify,0.494,0.512,0.246,True,True,True,9.15256,0.745204
153,9,cinder_garden,Pax,30,I do not cross rows,ash path open,repair uncertainty,gesture_repair,0.478,0.496,0.262,True,True,True,11.71284,0.770833
154,9,lichen_bridge,Rin,30,I need translation,gesture again,repair uncertainty,admit_unknown,0.44,0.458,0.3,True,True,True,10.37856,0.764463
155,9,orchid_engine,Eli,30,I wait outside ring,valve listener first,offer bounded aid,offer_trade,0.46,0.464,0.28,True,True,True,12.71834,0.792093
156,9,moss_ward,Ari,31,I ask rain custom,rain clay is named,respect boundary,step_back,0.486,0.496,0.254,True,True,True,8.0867,0.750722
157,9,glass_harbor,Oren,32,I offer salt token,net has keeper,answer bounded phrase,answer_known,0.474,0.48,0.306,True,True,True,9.22776,0.768352
158,9,cinder_garden,Vale,31,I do not cross rows,ash path open,repair uncertainty,ask_clarify,0.46,0.478,0.28,True,True,True,11.79184,0.793981
159,9,lichen_bridge,Sol,31,I need translation,gesture again,repair uncertainty,gesture_repair,0.45,0.468,0.29,True,True,True,10.46776,0.787611
160,9,orchid_engine,Bea,31,I wait outside ring,valve listener first,repair uncertainty,admit_unknown,0.466,0.484,0.274,True,True,True,12.80914,0.815241
161,9,moss_ward,Fay,32,I ask rain custom,rain clay is named,offer bounded aid,offer_trade,0.476,0.48,0.264,True,True,True,8.16264,0.77387
162,10,cinder_garden,Juno,32,I bow to shade,shade cloth first,answer bounded phrase,answer_known,0.49,0.496,0.29,True,True,True,11.87052,0.813333
163,10,lichen_bridge,Luma,32,I ask bell custom,rope has tension,repair uncertainty,ask_clarify,0.498,0.516,0.242,True,True,True,10.5502,0.806963
164,10,orchid_engine,Dax,32,I offer gear cloth,gear lane open,repair uncertainty,gesture_repair,0.466,0.484,0.274,True,True,True,12.8761,0.834593
165,10,moss_ward,Tala,33,I do not touch,trade can wait,repair uncertainty,admit_unknown,0.454,0.472,0.286,True,True,True,8.23196,0.793222
166,10,glass_harbor,Nia,33,I need translation,repeat with bell,offer bounded aid,offer_trade,0.512,0.516,0.228,True,True,True,9.39354,0.810852
167,10,cinder_garden,Pax,33,I bow to shade,shade cloth first,respect boundary,step_back,0.496,0.506,0.244,True,True,True,11.95556,0.836481
168,10,lichen_bridge,Rin,33,I ask bell custom,rope has tension,answer bounded phrase,answer_known,0.458,0.464,0.322,True,True,True,10.6196,0.830111
169,10,orchid_engine,Eli,33,I offer gear cloth,gear lane open,repair uncertainty,ask_clarify,0.464,0.482,0.276,True,True,True,12.96156,0.857741
170,10,moss_ward,Ari,34,I do not touch,trade can wait,repair uncertainty,gesture_repair,0.496,0.514,0.244,True,True,True,8.33044,0.81637
171,10,glass_harbor,Oren,34,I need translation,repeat with bell,repair uncertainty,admit_unknown,0.48,0.498,0.26,True,True,True,9.47098,0.834
172,10,cinder_garden,Vale,34,I bow to shade,shade cloth first,offer bounded aid,offer_trade,0.478,0.482,0.262,True,True,True,12.03282,0.85963
173,10,lichen_bridge,Sol,34,I ask bell custom,rope has tension,respect boundary,step_back,0.468,0.478,0.272,True,True,True,10.71048,0.853259
174,10,orchid_engine,Bea,34,I offer gear cloth,gear lane open,answer bounded phrase,answer_known,0.484,0.49,0.296,True,True,True,13.05018,0.880889
175,10,moss_ward,Fay,35,I do not touch,trade can wait,repair uncertainty,ask_clarify,0.48,0.498,0.26,True,True,True,8.40586,0.839519
176,10,glass_harbor,Puck,35,I need translation,repeat with bell,repair uncertainty,gesture_repair,0.468,0.486,0.272,True,True,True,9.5538,0.857148
177,10,cinder_garden,Wren,35,I bow to shade,shade cloth first,repair uncertainty,admit_unknown,0.47,0.488,0.27,True,True,True,12.1206,0.882778
178,10,lichen_bridge,Kio,35,I ask bell custom,rope has tension,offer bounded aid,offer_trade,0.494,0.498,0.246,True,True,True,10.79998,0.876407
179,10,orchid_engine,Cai,35,I offer gear cloth,gear lane open,respect boundary,step_back,0.478,0.488,0.262,True,True,True,13.13538,0.904037
180,11,glass_harbor,Nia,36,I ask net owner,lamp stays bright,repair uncertainty,ask_clarify,0.516,0.534,0.224,True,True,True,9.63676,0.8765
181,11,cinder_garden,Pax,36,I offer cool stone,cool hand means wait,repair uncertainty,gesture_repair,0.506,0.524,0.234,True,True,True,12.19878,0.90213
182,11,lichen_bridge,Rin,36,I do not step on rope,bell has keeper,repair uncertainty,admit_unknown,0.464,0.482,0.276,True,True,True,10.86386,0.895759
183,11,orchid_engine,Eli,36,I need translation,say it with palms,offer bounded aid,offer_trade,0.482,0.486,0.258,True,True,True,13.20254,0.923389
184,11,moss_ward,Ari,36,I wait,warm cup first,respect boundary,step_back,0.514,0.524,0.226,True,True,True,8.57134,0.882019
185,11,glass_harbor,Oren,37,I ask net owner,lamp stays bright,answer bounded phrase,answer_known,0.498,0.504,0.282,True,True,True,9.71202,0.899648
186,11,cinder_garden,Vale,37,I offer cool stone,cool hand means wait,repair uncertainty,ask_clarify,0.482,0.5,0.258,True,True,True,12.27604,0.925278
187,11,lichen_bridge,Sol,37,I do not step on rope,bell has keeper,repair uncertainty,gesture_repair,0.478,0.496,0.262,True,True,True,10.9537,0.918907
188,11,orchid_engine,Bea,37,I need translation,say it with palms,repair uncertainty,admit_unknown,0.49,0.508,0.25,True,True,True,13.29444,0.946537
189,11,moss_ward,Fay,37,I wait,warm cup first,offer bounded aid,offer_trade,0.498,0.502,0.242,True,True,True,8.64684,0.905167
