tick_id,day,settlement_id,reload_index,phrasebook_count,gesture_count,question_count,sensory_count,memory_count,checksum,restored_phrasebook_visible,restored_gesture_visible,restored_question_visible,restored_sensory_visible,restored_memory_visible,replay_exportable
2250,126,glass_harbor,54,451,263,252,451,451,9719846c54567bf0,True,True,True,True,True,True
2259,126,moss_ward,53,452,263,252,452,452,54ac564b140a2c71,True,True,True,True,True,True
2268,127,moss_ward,54,454,265,253,454,454,4c8ab85a1de81aa6,True,True,True,True,True,True
2277,127,orchid_engine,54,455,265,253,455,455,305f927de254b377,True,True,True,True,True,True
2286,128,orchid_engine,55,457,267,254,457,457,7be5f210d685dc6c,True,True,True,True,True,True
2295,128,lichen_bridge,55,459,268,253,459,459,61fc45a0c58789d1,True,True,True,True,True,True
2304,129,lichen_bridge,56,461,270,254,461,461,cf032ab92aea6d1d,True,True,True,True,True,True
2313,129,cinder_garden,55,463,271,256,463,463,4bc080567ccd9053,True,True,True,True,True,True
2322,130,cinder_garden,56,465,273,258,465,465,c72f90d8c314c5c4,True,True,True,True,True,True
2331,130,glass_harbor,55,467,272,261,467,467,07d77cd14465d3a3,True,True,True,True,True,True
2340,131,glass_harbor,56,469,274,262,469,469,6529702f638a08ad,True,True,True,True,True,True
2349,131,moss_ward,55,470,273,262,470,470,b5614299aeae026a,True,True,True,True,True,True
2358,132,moss_ward,56,472,275,264,472,472,1905bb5b44da7d34,True,True,True,True,True,True
2367,132,orchid_engine,56,473,275,263,473,473,4a396c7f6e45d772,True,True,True,True,True,True
2376,133,orchid_engine,57,475,277,264,475,475,62a7054d99037377,True,True,True,True,True,True
2385,133,lichen_bridge,57,477,279,264,477,477,aae75f2eaee7f61c,True,True,True,True,True,True
2394,134,lichen_bridge,58,479,281,265,479,479,624f98d3af9dede2,True,True,True,True,True,True
2403,134,cinder_garden,57,481,281,265,481,481,4a1877c48e1331fa,True,True,True,True,True,True
2412,135,cinder_garden,58,483,283,266,483,483,d3569d0b21297612,True,True,True,True,True,True
2421,135,glass_harbor,57,485,283,270,485,485,8b9bbf3fb90d744d,True,True,True,True,True,True
2430,136,glass_harbor,58,487,285,272,487,487,4a9bfcd2e9ddde13,True,True,True,True,True,True
2439,136,moss_ward,57,488,284,273,488,488,2835cd7d106f1006,True,True,True,True,True,True
2448,137,moss_ward,58,490,286,274,490,490,cba10cbb4ed1bd4e,True,True,True,True,True,True
2457,137,orchid_engine,58,491,285,273,491,491,3e5ed41d5c9a2c13,True,True,True,True,True,True
2466,138,orchid_engine,59,493,287,275,493,493,c54aec2cdec52627,True,True,True,True,True,True
