seed,row_id,source_belief_id,source_schedule_id,source_bottleneck_id,ordinary_action,hidden_law_exposed,avatar_answer
36307,36307-PDT-06,36307-BEL-004,36307-SCH-01,36307-BOT-06,offerHelp,False,False
36307,36307-PDT-07,36307-BEL-004,36307-SCH-01,36307-BOT-07,askSchedule,False,False
36319,36319-PDT-01,36319-BEL-004,36319-SCH-01,36319-BOT-01,askSchedule,False,False
36319,36319-PDT-02,36319-BEL-004,36319-SCH-01,36319-BOT-02,borrowTool,False,False
36319,36319-PDT-03,36319-BEL-004,36319-SCH-01,36319-BOT-03,offerHelp,False,False
36319,36319-PDT-04,36319-BEL-004,36319-SCH-01,36319-BOT-04,runScheduledAnomalyInvestigation,False,False
36319,36319-PDT-05,36319-BEL-004,36319-SCH-01,36319-BOT-05,askSchedule,False,False
36319,36319-PDT-06,36319-BEL-004,36319-SCH-01,36319-BOT-06,offerHelp,False,False
36319,36319-PDT-07,36319-BEL-004,36319-SCH-01,36319-BOT-07,askSchedule,False,False
36343,36343-PDT-01,36343-BEL-004,36343-SCH-01,36343-BOT-01,askSchedule,False,False
36343,36343-PDT-02,36343-BEL-004,36343-SCH-01,36343-BOT-02,borrowTool,False,False
36343,36343-PDT-03,36343-BEL-004,36343-SCH-01,36343-BOT-03,offerHelp,False,False
36343,36343-PDT-04,36343-BEL-004,36343-SCH-01,36343-BOT-04,runScheduledAnomalyInvestigation,False,False
36343,36343-PDT-05,36343-BEL-004,36343-SCH-01,36343-BOT-05,askSchedule,False,False
36343,36343-PDT-06,36343-BEL-004,36343-SCH-01,36343-BOT-06,offerHelp,False,False
36343,36343-PDT-07,36343-BEL-004,36343-SCH-01,36343-BOT-07,askSchedule,False,False
